,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,commonStock,capitalStock,retainedEarnings,otherLiab,goodWill,otherAssets,cash,cashAndEquivalents,totalCurrentLiabilities,currentDeferredRevenue,netDebt,shortTermDebt,shortLongTermDebt,shortLongTermDebtTotal,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,noncontrollingInterestInConsolidatedEntity,temporaryEquityRedeemableNoncontrollingInterests,accumulatedOtherComprehensiveIncome,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,nonCurrrentAssetsOther,deferredLongTermAssetCharges,nonCurrentAssetsTotal,capitalLeaseObligations,longTermDebtTotal,nonCurrentLiabilitiesOther,nonCurrentLiabilitiesTotal,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurpluse,liabilitiesAndStockholdersEquity,cashAndShortTermInvestments,propertyPlantAndEquipmentGross,propertyPlantAndEquipmentNet,accumulatedDepreciation,netWorkingCapital,netInvestedCapital,commonStockSharesOutstanding,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,beginPeriodCashFlow,endPeriodCashFlow,totalCashFromOperatingActivities,issuanceOfCapitalStock,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,salePurchaseOfStock,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeReceivables,cashFlowsOtherOperating,exchangeRateChanges,cashAndCashEquivalentsChanges,changeInWorkingCapital,stockBasedCompensation,otherNonCashItems,freeCashFlow,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,sellingAndMarketingExpenses,grossProfit,reconciledDepreciation,ebit,ebitda,depreciationAndAmortization,nonOperatingIncomeNetOther,operatingIncome,otherOperatingExpenses,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,prev_close,adjusted_close
count,76.70250264363764,51.84807895664434,0.3376806485724357,65.20338385618611,76.42474444836094,76.46598519562919,23.855128657032076,70.87980260838914,64.43813887909764,8.473387381036305,73.61191399365526,42.46880507578428,43.67747620726119,57.01832922100811,74.26048642932675,4.325696157913288,74.65491716602044,32.38033133591822,74.78991892844554,59.63200563976031,17.885794853718718,69.17976735988721,73.44272118434967,46.412054987663026,75.32640112795207,20.658442016214313,32.401480437081425,37.324638702855125,69.77158970743743,46.615438843849134,54.196334155798375,67.42897426859358,15.23968981318294,20.89848431441664,15.241099753260487,64.02361649629891,15.24286217835742,48.45118082481495,20.239337328163554,27.14839619316179,28.909411350017624,0.9337328163553049,72.07014451885794,4.423686993302785,74.58512513218189,11.136411702502643,24.833627070849488,25.66055692633063,73.36446951004582,0.9337328163553049,3.9513570673246385,0.9689813182939725,24.284455410645048,75.18928445541064,73.24180472329925,47.36552696510398,65.95382446246035,4.27881565033486,10.390200916461051,12.514628128304548,80.17412759957702,25.97039125837152,34.93620021149101,34.50722594289743,27.263306309481848,73.26224885442369,20.86852308776877,73.5213253436729,70.16073316884032,72.6136764187522,74.56855833627071,2.9048290447655973,67.25061684878392,36.171307719421925,57.246739513570674,45.5794853718717,46.411702502643635,44.74797321113853,72.7275290800141,32.61755375396546,76.09658089531194,17.512865703207613,21.83221713077194,8.359887204793797,23.213605921748325,70.28621783574198,41.905853314527505,70.82334273624824,72.50317348377997,40.53984485190409,34.79478138222849,75.47813822284908,43.002115655853316,68.06734837799718,16.425952045133993,80.04407616361073,60.19851904090268,75.15373765867419,79.34132581100141,71.0888575458392,18.27574047954866,81.26516220028209,77.5768688293371,67.52574047954866,14.237306064880112,12.894922425952045,14.792313117066291,36.2203808180536,37.7845557122708,34.84978843441467,77.39985895627645,80.45275035260931,77.57157968970381,67.55148095909732,74.3540197461213,36.293723554301835,51.85613540197461,51.71897038081806,4.347672778561354,,
mean,954979721641.4185,15976317302.762774,7752460638467.621,-761024972017.0359,770716244466.7101,166496690755.20673,2173978203.295942,-2633564871417.052,29715337160.875538,27956778262.026382,84529585173.87442,44519241622.2901,181165689085.6732,-512975072409.8074,1619798027949.5562,44791024826.224495,234494865691.9879,-9208540249872.15,101424980258.37044,83334597203.16045,78356683876252.69,203789610602.48663,-4992268929417.773,70921401234.90466,272363291531.85754,285032326215.591,155652211071.59558,297250146368.2203,35954049452.38702,56665629793088.13,9085238900269.988,9539061498099.371,950778093.1164707,226107491.19142288,188374826.3887371,6588378552.407078,600392340.6802466,19050121176.41889,1941039621.2378428,4301266470.762939,-132139287388605.1,0.0,915570700678.9175,164391445.4357302,1404792745380.1426,10950401966.498117,251453014254.19553,38065924968.98872,1462166413277.0513,0.0,208005853.04158577,798940.1651091891,24544107860.72127,1069143423483.4546,151298841199.0223,161008688252.82382,157517838673.05798,-3367644724.735314,5820139425.315662,546709541456.7789,125628507004.20732,30779029694283.332,8887711.908906223,11867907524700.598,31774655184143.195,5277831384052.227,-29690735137541.586,5908650624450.799,194860579920.49393,34439332742.30461,-4819202066311.274,482762033.3234321,12363104055098.207,5356810028119.7705,8065738289417.77,15025460855388.861,-5516139611231.095,3537482258.6766996,8228799937056.418,-30974998372348.664,3915708521407.6094,-5891600.070991767,44741200.103164844,-3873927.2313950825,67211520.837856,-1696104605.7793481,-20927108544403.547,62163267351.37588,22019376397.838005,384222615.0556846,0.0,6413101332.100201,4340607529.167179,12995532412.708519,89783052476.6882,-10124906857.41363,6479709725.452333,101052836043.70346,18113377201.448647,-149225125913.67273,34691377.336852185,194169342801.96606,65793582667.14298,9074914070.135483,2985792431.6501913,13518863975.988392,5693241575.595258,24822835.23072116,13416934.388293518,0.0,1673997744.7712018,40599769558.67121,6685730409.239068,16592983886333.262,-149143535776.80414,38149011.73558545,3212111170.00758,1836448718.4209168,14780884.106697338,,
std,681144116617.982,19513361060.29466,788350787863.4154,9253070670782.678,547842377873.89484,159992539734.81448,2058724672.8210704,31241630650912.06,51297521555.65796,310593944.8772669,82280530780.20023,66215385247.64847,1416615205019.2097,3076734370233.9775,16275608448461.037,14554994464.130716,423360362158.3635,65241141635427.78,136007421736.54506,147433121454.47998,315567787060767.25,236426998381.46866,42772282402652.3,107405754083.00227,10909848966863.143,159507611523.3433,70089073099.06366,472381547013.4375,30298415707.62475,227346386868680.4,60707052129601.67,57732795470136.3,1117312853.8022366,226890926.24512723,346248396.53258455,38368478549.70006,787050574.1069783,10016249386.714685,5533470466.366204,1810679830.5372574,497467837402047.6,0.0,8789584093074.878,47618826.013966165,8731734078089.016,6391856921.33388,125151085430.20338,19589823727.421078,2858419863759.936,0.0,113362400.80084513,224171.8498512058,14801106401.775257,652098812105.4828,148327000967.60858,76969000649.43188,83507357790.97656,637815827.6264786,16264040098.834179,72148282858.53264,243918237225.68854,107369098326925.45,1789129993.3500881,70261664122732.12,110958430006167.27,43597998146715.06,107187007481032.98,47328783001068.62,363073909320.48145,1035420549717.6483,46981150732753.93,1103616544.3573105,67889883356735.14,30758937471748.83,58036499948373.07,78848613133817.8,46470811925505.96,20646278190.138596,76026872303212.25,107601920811302.17,37658702002411.22,150411225.00216016,610677171.958288,26008279.7104203,849542672.8680382,6895635487355.18,92409418434947.05,7187732606890.33,337133786104.6953,623922112.9421487,0.0,17690821249.427265,9211061126.499537,34371000745.89838,77575395195.84068,80011883456.36221,5361373436.170515,335926358144.31586,37522681610.48995,438676263125.90985,84924299.55265488,507548548821.31885,87046102155.33287,30099506907.92738,2434898634.5333834,6283589707.320588,3334396116.9856625,132516466.1926913,75306107.23623715,0.0,4396866203.605281,27859241951.638916,24287785965.000183,134574394670309.95,386805402751.3766,199368448.10253823,7556009210.351167,4622758027.412964,9774986.55730339,,
min,39038808548.23182,-732133923.1248122,6666180989541.667,-81456426771533.66,23632743215.85153,6232818838.065467,169214673.4368912,-356698267380183.9,745805812.132593,27641221291.84498,-133411649857.44164,3464087262.7478533,649642324.8160294,-7921505983898.66,2306261069.457427,26637205026.360783,4590673472.405232,-427865357724221.8,-176954279327.3813,863026824.8593242,679947966.9788876,26056760753.272884,-358288837744139.25,1909093273.221621,-79888319583612.56,15412320815.598135,1915314977.587121,-6401495773.797245,3049791798.7085204,7577911071.579013,-47588338592.702896,5741705573.531335,105493280.81373101,54493339.167912304,-10156435.77502812,-98662075680.34581,57884054.07082631,3478194804.1932077,147252827.92020997,1332728100.5532904,-2642386544768878.5,0.0,-629228145949.6719,95208250.01598401,50430501638.280464,1045493063.7867036,4481114720.260367,4175160635.1625247,16027097230.367718,0.0,104390588.10576923,704100.4175365345,-2794411534.1906652,186354541124.85413,7682393107.748047,17221235782.439648,33566592954.293533,-4249988108.853189,-22035847506.144615,435519203899.06714,151005252.36100426,-34799172937.61044,-4932642900.112774,-80889686393.05003,-24992800439.907166,-465360927821.3738,-385865214751886.06,-3354228020787.6787,12832191923.651703,-3066897311651.709,-353277224267330.0,14798080.684766214,-24668162936.489067,-35441346918.4259,-11141726333.512985,-35831682655.14401,-378962641340563.4,-12017509804.042887,-807537824194.585,-371759771788466.25,55597416.56044059,-359651603.1545773,-1627928732.0124834,-78144134.03996803,-2067470086.7845616,-55266146999095.64,-397970372741369.5,-55487266667495.82,-300323660347.54364,59668752.73182382,0.0,-52887072016.162384,-3070496540.990983,-89472913.07579452,55068309575.38076,-209043291096.20026,-3260158272.891031,-16855244515.74694,-34357476325.542953,-1223861995296.4531,-172067970.85856196,-37847478109.829666,-17692460781.667313,-1549236106.6766534,-1667334046.9658394,7943340247.989489,1893558269.4497619,-91481173.50630097,-139644111.25116652,0.0,-9645875858.067951,-2823055305.8763766,-57547584145.10944,-5792737423.434269,-1238135789106.9697,-260648832.17376015,-21286809930.641342,-8429413624.5044985,653931.1373439274,,
25%,447662411815.2611,5406688026.381958,7168406206895.833,238316808697.30063,347091255577.9806,79892989428.94215,901713994.7769865,-9481607130.354113,15035320154.588137,27755330353.751495,40179277432.525444,5960284577.909164,6682007230.779847,240445060085.3938,29720904244.674927,37265079140.78824,39119833756.97785,52601571873.60388,30551830582.42939,10741778715.050837,14443795544.032269,117621704803.20064,20782038617.663166,4327587574.508522,115775302096.81299,165395863198.747,140485419101.68176,45384123732.74621,14884100344.563988,20720849371.097965,6042678065.483089,15944752159.376854,201031293.26927266,101334809.90844545,-4248538.245219348,-3947085357.8711953,122955977.95579961,11323469254.675123,269797024.4188451,2956531536.438224,-3144217952.584934,0.0,-227181453477.537,135244126.98151848,192329907933.8642,6747330190.240997,211034766021.49768,32163161540.01864,66929415248.37972,0.0,140920561.27139422,708275.7828810021,20190531514.333614,652834823569.0065,58678273681.61897,93508462064.81796,88788134353.83023,-3827420096.3715405,-6289098353.08319,491864493760.317,16873813339.714857,-11778879469.998072,-507251102.5930206,-23347354604.50377,-3020389221.5500984,-5904008130.688571,-21635587686.532135,-4689311332.850715,50990245843.300964,49871076017.77729,-573531469.8745492,20350274.568097662,3645523996.6309266,-2554133536.656976,149936842.35027352,-1551317959.381366,-1334594840.4863424,-844096232.9203905,-478640165.54989946,214763807.00042838,2033988160.2948635,-78311760.45222612,-204771318.5115916,-15901977.159872102,-253189620.19025293,-12443298523.98041,-1792207393.6648626,-3011034551.5870194,-4124525387.8483996,112805468.47414564,0.0,2014081385.5093293,-29994079.863871243,2504918278.355706,57384816709.914246,-36332607285.240685,3433191120.803745,2953823914.0297265,6620144259.569023,441739003.7115787,9280995.26052507,2820422434.1749134,18752237355.201244,1647519503.4753392,1468848778.2220843,9996656870.536125,3899992993.5310316,206534.1858919903,239590.20208142727,0.0,220723365.50740525,21932950902.317726,2156708523.748303,11050695074.76108,-4015692489.2829943,-6619408.289073101,138604099.95028093,112485257.16374364,10320264.59506243,,
50%,942744350601.3268,11950973760.701572,7731833813630.208,414975948449.8328,776758987961.8698,138686740833.05573,2166196340.7082467,9615932318.84084,23456788277.06844,27915649798.512478,85990321420.82799,16783274968.391594,12466582289.080479,573769656193.7255,67705696549.08233,41796153844.59412,70549004548.60693,58190798213.50067,94504397979.66559,26188644320.03084,37541413336.36386,169116914101.72656,37093118775.46364,9096168133.940441,200136249659.8852,321227171616.3092,176356704039.51923,112884972221.01338,30241666790.111275,42220893065.69613,11628921030.943619,27585060219.163208,519683410.01671916,144692236.14424515,25521349.55005624,6817060179.08186,234486502.70629567,19378493818.449875,442222646.6849712,4257601720.0319605,-1387302106.2743464,0.0,-104352232938.2125,163023218.21328673,336820247457.6343,12417671681.396122,277284831353.4567,38979821674.09743,173789317870.17462,0.0,174522983.74759614,728881.2108559499,28771080536.596157,991163689676.6519,133058066354.46571,176438348706.4283,164023085939.31912,-3451958062.3724427,7383696278.883814,558141503445.397,71921161965.60367,-3845434494.5217657,24515267.95186669,-10987214949.28235,3099343759.463128,-1177029053.0203269,-12438965072.663445,1188554162.993634,64466110914.0676,63264532220.51558,7227763736.788673,32219791.558797132,5658849423.279531,94236151.10501152,1150779666.352049,-121096391.87910755,164265328.87247634,1150873356.5889614,12137680675.958336,3335475924.6257625,5588390978.251397,-6835756.711355678,15578072.911725368,-264544.7589928057,44326963.41277802,-3769790066.1155114,-253978696.58084777,1343043070.465845,4672755019.979348,320764155.76584333,0.0,6205015461.7533245,5938210.614159253,6088899120.718056,61477951718.30527,20162619063.086292,4965376325.527086,8621119081.711271,13259359918.26348,3139463504.403579,27953204.00496689,8157705317.386947,32239168090.1211,3421508462.903139,3021121697.3401036,11345518003.319855,5290174238.466646,647858.3221480582,4236580.110933212,0.0,1558445106.10421,38746787157.091415,9627396035.342411,22937565294.0568,-1312270310.2619698,-1644302.477147635,851740547.9916805,408122684.46358234,14444856.655505108,,
75%,1317551339732.5234,22216760236.735622,8235526289143.2295,540933296492.65155,1074784637255.8047,199732009123.8857,2999408280.064498,37154862865.29767,25858237238.238045,28100856560.307373,128694083859.14922,37690888278.28639,19049913211.285206,782009424573.2104,124204116427.2409,53352766309.230194,181749085475.77295,63956212654.16753,160717058184.2684,92978422823.0058,96063561264.23946,249172304872.25104,56652422579.66914,120946622993.77869,327101554991.60345,411241741447.226,194907724957.7267,534880073877.31396,47906475588.62342,124436082760.94353,15968314006.550613,45046112502.442085,1771836930.4759119,287892098.17202294,289003877.1806805,22411199555.30236,1138557867.5839713,25786566459.551353,743465937.4211732,5605170889.824539,-806850485.289818,0.0,-24294952863.50995,194372276.84465533,504023603716.63715,15420401180.62223,330511187406.26495,46163340291.557396,736730654347.9807,0.0,293753327.0086538,736188.1002087683,32543244312.044456,1374480178147.871,192107310671.7978,210917143202.4953,206254039897.3416,-2901193901.1040916,18726400648.10321,595666802323.1224,143174253195.7592,434559928.3034198,420141851.66000193,-5099266143.04676,9451520143.362946,8978436871.812323,-3231706563.6126785,8736055471.472595,80104474718.33287,79653326368.85391,14115098956.64704,84080277.78738688,8801811593.36188,510775980.8225519,4706057614.891154,988123493.0193387,1214571934.2373447,1767231758.2687817,29072520219.582516,6773704441.478951,8325060207.103329,65428276.4132066,327485687.1015381,9782318.769384492,335107616.5642172,9180175123.014784,17494801238.37227,6502662171.698464,15736682017.949028,426576457.97014606,0.0,9590133643.90668,6403764782.203959,8188489950.047496,72405596247.4637,29311899105.91116,9366243985.181267,13829389990.443699,20684619385.125137,6294494395.899499,67719689.37854777,14934108834.518276,90309188120.03845,5278619576.487455,4479783211.095219,14578229136.312271,6706792082.813336,2416070.995145631,11116937.44464776,0.0,2754225514.6262527,54585443525.46793,14679326418.164865,92492507497.5428,251339769.5284823,2736073.0976970852,5639751776.823803,1984338668.142918,18701595.916572075,,
max,2708213931568.1187,89226143486.97112,8992344609885.416,837547368827.7599,2268499451391.802,653821486999.9773,6285210678.68475,917470338732.3446,227688373471.96136,28451647353.015926,226107177372.8698,215736639904.68903,12853428266986.604,2491483365611.438,170931953413203.44,67633194385.59921,1627252933853.015,371780992506.86505,461884119292.18243,595796957650.3103,1221358862996847.2,1801641850813.5603,993870945369.7869,282908047192.38007,8213467153017.368,486760691082.6321,232242955330.35577,1587505892511.8113,130192170062.2316,1130756094762908.8,390382499242005.3,355943294106818.06,3025192708.555245,885626571.7390484,999218713.9720304,82038290468.663,2196879333.733187,35463675890.7594,19849407382.744614,7475858041.239927,-388546292.5275978,0.0,81318040510813.86,241411214.05894107,81836379821519.2,18294556144.616146,397537202690.03613,69809617701.36528,9009713588208.922,0.0,378013790.55,1403365.553235908,35855734565.19117,2910635624286.7837,611958538477.6637,284387784971.3699,349217349482.78015,-2347167520.2334538,28853323196.593067,654063935278.0277,1083918374599.7815,369440317476490.94,4925752087.193202,412431985170463.56,381283378418342.06,354868045077362.1,20397462862.33872,353305252234368.44,1148783895729.4998,1007792955144.2817,20510789575013.81,2319423604.4487104,370727962095136.1,172961902210035.94,399847448596646.3,405688851045871.75,710216835192.5583,111381637652.72646,721023836976379.9,22741187483.889633,361050754371126.0,345455987.20410204,1506800499.5412395,48084792.52358113,2744161231.714784,55260310341134.17,131232601845.28545,56308996629394.92,865791302175.5659,3374833996.1194067,0.0,70706667002.89026,28123007822.812904,189351485390.9711,260803249305.35254,83467966347.34615,18843565105.277493,1233615556745.601,126511484065.55812,92164069137.13194,228261969.62913907,1664250964802.196,305513083845.4787,196055411113.34674,7227626330.448718,29887872704.90245,14540821550.739737,831267095.5077184,356010924.6943138,0.0,21008453728.253555,121997165072.35527,68543096735.04747,1097575858767270.8,27937226684.43599,887711839.4393263,33091106925.592384,17073484413.596706,31944528.751418844,,
earliest_val,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pct_nan,4.267365121844964,27.092487224042735,98.23752479120327,13.713972277671937,4.331097412561298,4.337854868920924,44.4514964436658,9.67860914742647,8.324658757503103,11.385198144979606,6.389442912022389,28.989843787057872,31.54817800081016,16.60474411786335,5.800248049333134,57.39844649925942,4.788433649746929,44.841320878932365,5.874937313013358,22.234995173614326,41.32159603496464,14.002748803127329,9.209986705724104,21.681892968122956,3.609261970464986,43.73613148119546,18.972560480683416,40.43414835756751,10.90055964775898,18.75166833175619,29.565695316772693,8.280494885414457,68.97516442634218,53.66087242702315,68.96875560780788,19.790680491388986,68.95681029060583,28.656886302901434,63.07890171055251,34.31086498493709,54.318272213003446,95.70117556168475,7.966822304052523,87.9761000740058,5.076610271985291,37.936505669708644,31.016492141117936,24.927542070276772,6.5130685179773335,95.70117556168475,83.9763621026324,95.61616523111492,34.00782040946881,6.33016850412084,7.222362460285502,43.90107492064159,20.865017780330366,88.29314710623703,25.02449785417639,9.541641039111713,2.0306440639931664,19.5537902694805,27.803158280522457,26.299076242678808,29.90372786972007,6.34159331188879,34.38007719875958,4.8246675085798065,8.422208455922247,6.853656117318804,4.707203452731921,67.3706194326568,13.203876785834684,32.05092048984282,29.093263763923222,36.62133529406206,27.321764901801867,33.33011105682359,8.512511832236772,25.91434874118154,2.296274932816954,52.404840700690094,41.199725670467984,80.14566667295807,38.17401118485981,8.014293029219994,30.849343054412124,8.918113434132541,7.063135819838596,42.60136008933405,55.04326918506519,2.906393715103526,33.47191054211717,5.885618407033093,68.2898787097054,5.054382617907073,19.34316724541854,5.323969420525688,5.197505636214575,9.74874389674797,50.63770517971898,2.1888991969884475,6.042975251290076,6.808842074076128,18.410240605537314,25.266568044599506,13.453929703159229,52.445542038329684,47.835283961923125,54.98044061730009,5.975671423191837,2.5113006159146747,4.249220275267917,10.397200291774913,4.6337246757976995,51.718784356937995,7.1549960555915675,11.767657605898583,85.36837849495173,,
