,2023-10-31,2023-07-31,2023-04-30,2023-01-31,2022-10-31,2022-07-31,2022-04-30,2022-01-31,2021-10-31,2021-07-31,2021-04-30,2021-01-31,2020-10-31,2020-07-31,2020-04-30,2020-01-31,2019-10-31,2019-07-31,2019-04-30,2019-01-31,2018-10-31,2018-07-31,2018-04-30,2018-01-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-07-31,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2012-07-31,2012-04-30,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-07-31,2010-04-30,2010-01-31,2009-10-31,2009-07-31,2009-04-30,2009-01-31,2008-10-31,2008-07-31,2008-04-30,2008-01-31,2007-10-31,2007-07-31,2007-04-30,2007-01-31,2006-10-31,2006-07-31,2006-04-30,2006-01-31,2005-10-31,2005-07-31,2005-04-30,2005-01-31,2004-10-31,2004-07-31,2004-04-30,2004-01-31,2003-10-31,2003-07-31,2003-04-30,2003-01-31,2002-10-31,2002-07-31,2002-04-30,2002-01-31,2001-10-31,2001-07-31,2001-04-30,2001-01-31,2000-10-31,2000-07-31,2000-04-30,2000-01-31,1999-10-31,1999-07-31,1999-04-30,1999-01-31
date,2023-10-31,2023-07-31,2023-04-30,2023-01-31,2022-10-31,2022-07-31,2022-04-30,2022-01-31,2021-10-31,2021-07-31,2021-04-30,2021-01-31,2020-10-31,2020-07-31,2020-04-30,2020-01-31,2019-10-31,2019-07-31,2019-04-30,2019-01-31,2018-10-31,2018-07-31,2018-04-30,2018-01-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-07-31,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2012-07-31,2012-04-30,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-07-31,2010-04-30,2010-01-31,2009-10-31,2009-07-31,2009-04-30,2009-01-31,2008-10-31,2008-07-31,2008-04-30,2008-01-31,2007-10-31,2007-07-31,2007-04-30,2007-01-31,2006-10-31,2006-07-31,2006-04-30,2006-01-31,2005-10-31,2005-07-31,2005-04-30,2005-01-31,2004-10-31,2004-07-31,2004-04-30,2004-01-31,2003-10-31,2003-07-31,2003-04-30,2003-01-31,2002-10-31,2002-07-31,2002-04-30,2002-01-31,2001-10-31,2001-07-31,2001-04-30,2001-01-31,2000-10-31,2000-07-31,2000-04-30,2000-01-31,1999-10-31,1999-07-31,1999-04-30,1999-01-31
filing_date,2023-11-20,2023-08-31,2023-05-26,2023-03-03,2022-12-21,2022-09-01,2022-05-31,2022-03-03,2021-12-17,2021-09-01,2021-06-01,2021-03-02,2020-12-18,2020-09-01,2020-06-01,2020-03-03,2019-12-19,2019-08-30,2019-05-30,2019-03-05,2018-12-20,2018-08-30,2018-05-31,2018-03-06,2017-12-21,2017-09-06,2017-06-06,2017-03-08,2016-12-20,2016-09-07,2016-06-07,2016-03-08,2015-12-21,2015-09-02,2015-06-05,2015-03-10,2014-12-22,2014-09-02,2014-06-04,2014-03-05,2013-12-19,2013-09-06,2013-06-03,2013-03-06,2012-12-20,2012-09-05,2012-06-04,2012-03-05,2011-12-16,2011-09-07,2011-06-07,2011-03-09,2010-12-20,2010-09-07,2010-06-07,2010-03-10,2009-12-21,2009-09-04,2009-06-09,2009-03-12,2008-12-19,2008-09-05,2008-06-05,2008-03-07,2007-12-21,2007-09-07,2007-06-05,2007-03-09,2006-12-22,2006-09-06,2006-06-06,2006-03-09,2006-01-17,2005-09-07,2005-06-06,2005-03-10,2004-12-21,2004-09-02,2004-06-03,2004-03-04,2003-12-22,2003-09-09,2003-06-04,2003-03-12,2002-12-20,2002-09-13,2002-06-05,2002-03-06,2002-01-22,2001-09-14,2001-06-14,2001-03-19,2001-01-17,2000-09-01,2000-06-12,2000-03-15,2000-01-25,1999-07-31,1999-04-30,1999-01-31
currency_symbol,,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
totalAssets,10763000000.00,10675000000.00,10792000000.00,10919000000.00,10516000000.00,10484000000.00,10455000000.00,10327000000.00,10705000000.00,10491000000.00,10398000000.00,9674000000.00,9627000000.00,9546000000.00,9455000000.00,9501000000.00,9452000000.00,8625000000.00,9022000000.00,8952000000.00,8541000000.00,8349000000.00,8784000000.00,8698000000.00,8429000000.00,8261000000.00,8016000000.00,7872000000.00,7817000000.00,7734000000.00,7640000000.00,7302000000.00,7476000000.00,7251000000.00,7412000000.00,7519000000.00,10760000000.00,10380000000.00,11026000000.00,10638000000.00,10686000000.00,10278000000.00,10587000000.00,10653000000.00,10536000000.00,9757000000.00,9413000000.00,9099000000.00,9057000000.00,8753000000.00,8649000000.00,8044000000.00,9696000000.00,9100000000.00,7767000000.00,7599000000.00,7612000000.00,6573000000.00,6576000000.00,7162000000.00,7437000000.00,7541000000.00,7674000000.00,7459000000.00,7554000000.00,7024000000.00,7283000000.00,7193000000.00,7369000000.00,7729000000.00,8057000000.00,8026000000.00,6751000000.00,7352000000.00,7268000000.00,7150000000.00,7056000000.00,6741000000.00,6675000000.00,6384000000.00,6297000000.00,5990000000.00,7617000000.00,7770000000.00,8203000000.00,8437000000.00,8238000000.00,8558000000.00,7986000000.00,8622000000.00,9080000000.00,9208000000.00,8425000000.00,7827000000.00,7321000000.00,7107000000.00,5444000000.00,,,
intangibleAssets,475000000.00,502000000.00,798000000.00,810000000.00,821000000.00,849000000.00,898000000.00,929000000.00,981000000.00,1032000000.00,1005000000.00,787000000.00,831000000.00,876000000.00,921000000.00,1059000000.00,1107000000.00,511000000.00,538000000.00,566000000.00,491000000.00,515000000.00,314000000.00,341000000.00,361000000.00,375000000.00,373000000.00,411000000.00,408000000.00,442000000.00,490000000.00,513000000.00,445000000.00,484000000.00,516000000.00,559000000.00,667000000.00,758000000.00,825000000.00,859000000.00,916000000.00,945000000.00,995000000.00,1069000000.00,1086000000.00,1085000000.00,394000000.00,414000000.00,429000000.00,462000000.00,493000000.00,467000000.00,494000000.00,513000000.00,126000000.00,148000000.00,167000000.00,178000000.00,189000000.00,206000000.00,228000000.00,241000000.00,237000000.00,236000000.00,736000000.00,732000000.00,517000000.00,517000000.00,83000000.00,86000000.00,481000000.00,375000000.00,362000000.00,461000000.00,458000000.00,459000000.00,443000000.00,388000000.00,393000000.00,410000000.00,402000000.00,391000000.00,414000000.00,422000000.00,685000000.00,780000000.00,863000000.00,952000000.00,1070000000.00,1178000000.00,1238000000.00,1213000000.00,557000000.00,,,,,,,
earningAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherCurrentAssets,274000000.00,290000000.00,270000000.00,258000000.00,282000000.00,258000000.00,262000000.00,232000000.00,222000000.00,264000000.00,268000000.00,312000000.00,216000000.00,211000000.00,211000000.00,204000000.00,198000000.00,176000000.00,181000000.00,169000000.00,187000000.00,180000000.00,166000000.00,151000000.00,192000000.00,189000000.00,186000000.00,190000000.00,189000000.00,198000000.00,192000000.00,297000000.00,294000000.00,274000000.00,291000000.00,389000000.00,376000000.00,453000000.00,424000000.00,394000000.00,329000000.00,325000000.00,341000000.00,348000000.00,341000000.00,302000000.00,258000000.00,302000000.00,284000000.00,308000000.00,350000000.00,292000000.00,385000000.00,389000000.00,288000000.00,297000000.00,321000000.00,283000000.00,294000000.00,343000000.00,363000000.00,400000000.00,408000000.00,522000000.00,467000000.00,383000000.00,373000000.00,340000000.00,377000000.00,412000000.00,361000000.00,377000000.00,721000000.00,242000000.00,206000000.00,183000000.00,192000000.00,250000000.00,255000000.00,178000000.00,191000000.00,289000000.00,275000000.00,258000000.00,271000000.00,700000000.00,816000000.00,833000000.00,1161000000.00,784000000.00,825000000.00,769000000.00,605000000.00,712000000.00,568000000.00,560000000.00,404000000.00,,,
totalLiab,4918000000.00,5117000000.00,5011000000.00,5310000000.00,5227000000.00,5393000000.00,5333000000.00,5173000000.00,5316000000.00,5545000000.00,5588000000.00,4870000000.00,4754000000.00,4565000000.00,4687000000.00,4653000000.00,4704000000.00,3878000000.00,3897000000.00,3916000000.00,3970000000.00,3781000000.00,4167000000.00,4172000000.00,3599000000.00,3650000000.00,3641000000.00,3572000000.00,3573000000.00,3388000000.00,3475000000.00,3254000000.00,3318000000.00,3145000000.00,3251000000.00,3279000000.00,5473000000.00,4740000000.00,5386000000.00,5191000000.00,5397000000.00,5488000000.00,5279000000.00,5302000000.00,5351000000.00,4884000000.00,4688000000.00,4600000000.00,4741000000.00,4553000000.00,4688000000.00,4705000000.00,6460000000.00,6290000000.00,5135000000.00,5001000000.00,5106000000.00,4084000000.00,4157000000.00,4591000000.00,4878000000.00,4356000000.00,4518000000.00,4286000000.00,4320000000.00,3736000000.00,3728000000.00,3536000000.00,3710000000.00,3937000000.00,3983000000.00,3844000000.00,2670000000.00,3404000000.00,3399000000.00,3382000000.00,3487000000.00,3412000000.00,3488000000.00,3315000000.00,3473000000.00,3270000000.00,3416000000.00,3421000000.00,3576000000.00,3436000000.00,3110000000.00,3163000000.00,2327000000.00,3135000000.00,3464000000.00,3667000000.00,3160000000.00,2925000000.00,2679000000.00,2621000000.00,2062000000.00,,,
totalStockholderEquity,5845000000.00,5558000000.00,5781000000.00,5609000000.00,5289000000.00,5091000000.00,5122000000.00,5154000000.00,5389000000.00,4946000000.00,4810000000.00,4804000000.00,4873000000.00,4981000000.00,4768000000.00,4848000000.00,4748000000.00,4747000000.00,5125000000.00,5036000000.00,4567000000.00,4564000000.00,4613000000.00,4522000000.00,4826000000.00,4608000000.00,4372000000.00,4297000000.00,4241000000.00,4343000000.00,4162000000.00,4045000000.00,4155000000.00,4103000000.00,4158000000.00,4237000000.00,5284000000.00,5637000000.00,5637000000.00,5444000000.00,5286000000.00,4787000000.00,5305000000.00,5348000000.00,5182000000.00,4870000000.00,4722000000.00,4496000000.00,4308000000.00,4192000000.00,3953000000.00,3332000000.00,3228000000.00,2802000000.00,2624000000.00,2590000000.00,2506000000.00,2489000000.00,2419000000.00,2571000000.00,2559000000.00,3185000000.00,3156000000.00,3173000000.00,3234000000.00,3288000000.00,3555000000.00,3657000000.00,3648000000.00,3792000000.00,4074000000.00,4182000000.00,4081000000.00,3948000000.00,3869000000.00,3768000000.00,3569000000.00,3329000000.00,3187000000.00,3069000000.00,2824000000.00,2720000000.00,4201000000.00,4349000000.00,4627000000.00,5001000000.00,5128000000.00,5395000000.00,5659000000.00,5487000000.00,5616000000.00,5541000000.00,5265000000.00,4902000000.00,4642000000.00,4486000000.00,3382000000.00,,,
deferredLongTermLiab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
