,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31
filing_date,2023-10-26,2023-07-27,2023-05-04,2023-02-23,2022-10-27,2022-07-25,2022-05-05,2022-02-24,2021-10-28,2021-07-29,2021-05-05,2021-02-25,2020-10-30,2020-07-29,2020-04-29,2020-02-21,2019-10-31,2019-07-31,2019-05-09,2019-02-26,2018-11-02,2018-08-02,2018-05-09,2018-02-26,2017-10-27,2017-08-03,2017-05-10,2017-03-15,2016-12-01,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
totalAssets,13917000000.00,14128000000.00,14369000000.00,14783000000.00,14885000000.00,15709000000.00,15988000000.00,15003000000.00,14197000000.00,14438000000.00,14931000000.00,14864000000.00,14223000000.00,13300000000.00,13651000000.00,14640000000.00,14670000000.00,15349000000.00,15956000000.00,15938000000.00,16185000000.00,16518000000.00,17096000000.00,17447000000.00,17254000000.00,16929000000.00,17076000000.00,16734000000.00,17305000000.00,16374000000.00,16403000000.00,16413000000.00,,,,18680000000.00
intangibleAssets,37000000.00,39000000.00,30000000.00,29000000.00,30000000.00,31000000.00,,36000000.00,,,,45000000.00,,,,52000000.00,,,,57000000.00,0.00,0.00,0.00,62000000.00,0.00,0.00,135000000.00,135000000.00,155000000.00,155000000.00,153000000.00,53000000.00,,,,230000000.00
earningAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherCurrentAssets,420000000.00,337000000.00,561000000.00,417000000.00,650000000.00,647000000.00,435000000.00,358000000.00,251000000.00,233000000.00,238000000.00,290000000.00,270000000.00,264000000.00,277000000.00,288000000.00,245000000.00,250000000.00,285000000.00,301000000.00,255000000.00,283000000.00,270000000.00,271000000.00,217000000.00,347000000.00,424000000.00,334000000.00,269000000.00,281000000.00,328000000.00,333000000.00,,,,438000000.00
totalLiab,7825000000.00,7670000000.00,8073000000.00,8211000000.00,7993000000.00,8417000000.00,9731000000.00,8754000000.00,8736000000.00,9020000000.00,10058000000.00,9873000000.00,9204000000.00,7976000000.00,7840000000.00,8784000000.00,8260000000.00,8490000000.00,8873000000.00,8544000000.00,8900000000.00,9410000000.00,9579000000.00,10652000000.00,9136000000.00,8730000000.00,8913000000.00,9044000000.00,8179000000.00,5421000000.00,4583000000.00,4900000000.00,,,,5607000000.00
totalStockholderEquity,4509000000.00,4842000000.00,4690000000.00,5058000000.00,5371000000.00,5666000000.00,4579000000.00,4638000000.00,3878000000.00,3769000000.00,3248000000.00,3287000000.00,3395000000.00,3705000000.00,4275000000.00,4082000000.00,4539000000.00,4895000000.00,5157000000.00,5389000000.00,5216000000.00,5024000000.00,5368000000.00,4520000000.00,5862000000.00,5954000000.00,5876000000.00,5648000000.00,6980000000.00,8773000000.00,9698000000.00,9442000000.00,,,,10599000000.00
deferredLongTermLiab,,,1643000000.00,1512000000.00,1254000000.00,1369000000.00,2396000000.00,1647000000.00,1802000000.00,1753000000.00,1481000000.00,1257000000.00,968000000.00,535000000.00,496000000.00,951000000.00,763000000.00,846000000.00,944000000.00,483000000.00,867000000.00,823000000.00,715000000.00,1384000000.00,992000000.00,616000000.00,642000000.00,604000000.00,614000000.00,,,,,,,
