,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31
filing_date,2023-11-14,2023-08-14,2023-05-15,2023-03-31,2022-11-14,2022-08-15,2022-05-16,2022-03-10,2021-11-09,2021-08-09,2021-05-10,2021-02-26,2020-11-06,2020-07-31,2020-05-11,2020-02-24,2019-11-08,2019-08-09,2019-05-03,2019-02-19,2018-11-02,2018-08-03,2018-05-04,2018-02-16,2017-11-03,2017-08-04,2017-05-01,2017-02-21,2016-11-04,2016-08-05,2016-05-10,2016-02-16,2015-11-02,2015-07-31,2015-05-06,2015-02-09,2014-10-31,2014-08-01,2014-05-02,2014-02-10,2013-11-01,2013-08-02,2013-05-03,2013-02-08,2012-11-02,2012-08-03,2012-04-20,2012-02-23,2011-10-28,2011-07-29,2011-04-29,2011-02-11,2010-11-05,2010-08-06,2010-05-07,2010-02-24,2009-11-09,2009-08-10,2009-05-07,2009-03-16,2008-11-07,2008-08-08,2008-05-12,2008-02-29,2007-11-09,2007-08-09,2007-05-10,2007-03-01,2006-11-09,2006-08-09,2006-05-10,2006-03-16,2005-11-09,2005-08-09,2005-05-10,2005-03-16,2004-11-09,2004-08-09,2004-05-10,2004-03-15,2003-11-14,2003-08-14,2003-05-15
currency_symbol,,,,,,,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
totalAssets,867258000.00,817470000.00,808004000.00,1002318000.00,1074141000.00,1084755000.00,920883000.00,803036000.00,879609000.00,1030097000.00,883344000.00,1212389000.00,945335000.00,785800000.00,2358307000.00,4000114000.00,4099538000.00,4063892000.00,4673158000.00,4099450000.00,4536412000.00,4254376000.00,4460519000.00,4160529000.00,4215599000.00,4368891000.00,4720492000.00,4141554000.00,4034597000.00,3985044000.00,3791289000.00,4204806000.00,4182234000.00,4694670000.00,4366617000.00,4014489000.00,3764696000.00,3431738000.00,2641279000.00,2194966000.00,2220099000.00,2460053000.00,2211410000.00,2074158000.00,1595786000.00,1379465000.00,1072644000.00,955060000.00,948678000.00,918379000.00,803308000.00,455333000.00,465621000.00,405815000.00,340620000.00,13217075000.00,283325000.00,269587000.00,273678000.00,1560291000.00,3286041000.00,3965985000.00,3246574000.00,2701894000.00,4867199000.00,11064676000.00,12127535000.00,13217075000.00,,,,18435790000.00,,,,12928288000.00,,,,11333613000.00,,8755318000.00,5501107000.00
intangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8605000.00,,9372000.00,9817000.00,10147000.00,9837000.00,10228000.00,11274000.00,11600000.00,21825000.00,,,,26485000.00,,,,14404000.00,,,,16090000.00,,16972000.00,17300000.00
earningAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherCurrentAssets,,,,,,,,,-21166000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
totalLiab,86713000.00,86611000.00,86508000.00,86405000.00,859931000.00,871057000.00,702786000.00,578909000.00,654932000.00,73129000.00,73074000.00,966119000.00,73115000.00,74022000.00,74383000.00,3672866000.00,74272000.00,74216000.00,74160000.00,,107687000.00,98003000.00,91454000.00,,73824000.00,73768000.00,73712000.00,73656000.00,73601000.00,73545000.00,73489000.00,75300000.00,75300000.00,75300000.00,75300000.00,40000000.00,40000000.00,40000000.00,40000000.00,40000000.00,40000000.00,40000000.00,15000000.00,15000000.00,15000000.00,15000000.00,15000000.00,15000000.00,15000000.00,15000000.00,15000000.00,15000000.00,15948000.00,15927000.00,15907000.00,12046030000.00,16816000.00,51775000.00,51736000.00,254357000.00,313358000.00,320051000.00,319906000.00,323575000.00,323609000.00,323526000.00,323466000.00,324453000.00,970000.00,970000.00,970000.00,324686000.00,970000.00,970000.00,970000.00,128370000.00,970000.00,970000.00,970000.00,54189000.00,970000.00,25509000.00,
totalStockholderEquity,213351000.00,220012000.00,215145000.00,217340000.00,214210000.00,213698000.00,218097000.00,224127000.00,224677000.00,228752000.00,239487000.00,246270000.00,236886000.00,238985000.00,232809000.00,327248000.00,308177000.00,324289000.00,356411000.00,274444000.00,310690000.00,306467000.00,319005000.00,386317000.00,392572000.00,354627000.00,374481000.00,383416000.00,434188000.00,432483000.00,433673000.00,484031000.00,478008000.00,545388000.00,570533000.00,642032000.00,698977000.00,622632000.00,621747000.00,551828000.00,529653000.00,540592000.00,545816000.00,465156000.00,299118000.00,221092000.00,221119000.00,183372000.00,185439000.00,210117000.00,219888000.00,216744000.00,191124000.00,181764000.00,156270000.00,1171045000.00,136979000.00,91676000.00,121705000.00,143256000.00,268097000.00,343686000.00,344408000.00,393691000.00,698214000.00,1012635000.00,989213000.00,1171045000.00,,,,1304170000.00,,,,1578524000.00,,,,1554339000.00,,1136093000.00,1011647000.00
deferredLongTermLiab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
