,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31
filing_date,2023-09-30,2023-08-14,2023-05-15,2023-03-27,2022-11-02,2022-08-11,2022-05-13,2022-03-31,2021-11-15,2021-08-16,2021-05-17,2021-03-03,2020-11-06,2020-08-14,2020-05-11,2020-02-28,2019-11-06,2019-08-07,2019-05-08,2019-02-27,2018-11-07,2018-08-09,2018-05-08,2018-03-01,2017-11-07,2017-08-08,2017-05-09,2017-03-01,2016-11-07,2016-08-08,2016-05-09,2016-02-29,2015-11-09,2015-08-10,2015-05-07,2015-03-02,2014-11-05,2014-07-22,2014-04-29,2014-02-20,2013-10-22,2013-07-23,2013-05-09,2013-02-07
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
totalAssets,50001000.00,99017000.00,103318000.00,117647000.00,115678000.00,67013000.00,74985000.00,81476000.00,88763000.00,96700000.00,123987000.00,99752000.00,89821000.00,42242000.00,49055000.00,53248000.00,53636000.00,53114000.00,47998000.00,49367000.00,54914000.00,53442000.00,52867000.00,60387000.00,58709000.00,60463000.00,63229000.00,65748000.00,65941000.00,61216000.00,68135000.00,2525776000.00,2810701000.00,2752402000.00,2734465000.00,2760698000.00,2809894000.00,2679023000.00,2202410000.00,1405104000.00,773400000.00,421019000.00,118239000.00,105815000.00
intangibleAssets,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
earningAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherCurrentAssets,,,,,10158000.00,-44321000.00,1752000.00,1837000.00,2883000.00,2875000.00,2882000.00,4222000.00,4278000.00,2328000.00,2588000.00,1609000.00,2010000.00,3070000.00,2102000.00,1552000.00,1172000.00,1371000.00,1440000.00,1022000.00,3168000.00,2857000.00,2510000.00,1964000.00,1415000.00,1379000.00,2319000.00,7886000.00,9806000.00,8605000.00,5384000.00,4251000.00,22568000.00,15404000.00,1808000.00,2293000.00,1744000.00,868000.00,88104000.00,440000.00
totalLiab,162212000.00,197193000.00,197540000.00,207537000.00,201542000.00,146091000.00,149997000.00,158004000.00,156933000.00,175291000.00,204194000.00,266330000.00,296657000.00,261209000.00,260586000.00,261176000.00,260453000.00,256899000.00,255607000.00,256523000.00,255192000.00,253476000.00,253113000.00,257282000.00,255939000.00,254373000.00,253407000.00,258027000.00,254963000.00,253599000.00,252772000.00,1560998000.00,1760194000.00,1640566000.00,1600521000.00,1610904000.00,1680257000.00,1535897000.00,960840000.00,612137000.00,344825000.00,3347000.00,14968000.00,934000.00
totalStockholderEquity,-112211000.00,-98176000.00,-94222000.00,-89890000.00,-85864000.00,-79078000.00,-75012000.00,-76528000.00,-68170000.00,-78591000.00,-80207000.00,-166578000.00,-206836000.00,-218967000.00,-211531000.00,-207928000.00,-206817000.00,-203785000.00,-207609000.00,-207156000.00,-200278000.00,-200034000.00,-200246000.00,-196895000.00,-197230000.00,-193910000.00,-190178000.00,-192279000.00,-189022000.00,-192383000.00,-184637000.00,-180861000.00,-171400000.00,-173239000.00,-169437000.00,-177117000.00,-187177000.00,-167382000.00,-26863000.00,7540000.00,3521000.00,3927000.00,4344000.00,4970000.00
deferredLongTermLiab,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4251000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
