,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,1999-12-31,1999-09-30,1999-06-30,1999-03-31,1998-12-31,1998-09-30,1998-06-30,1998-03-31,1997-12-31,1997-09-30,1997-06-30,1997-03-31,1996-12-31,1996-09-30,1996-06-30,1996-03-31,1995-12-31,1995-09-30,1995-06-30,1995-03-31
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,1999-12-31,1999-09-30,1999-06-30,1999-03-31,1998-12-31,1998-09-30,1998-06-30,1998-03-31,1997-12-31,1997-09-30,1997-06-30,1997-03-31,1996-12-31,1996-09-30,1996-06-30,1996-03-31,1995-12-31,1995-09-30,1995-06-30,1995-03-31
filing_date,2023-10-23,2023-07-31,2023-04-24,2023-03-01,2022-10-24,2022-07-25,2022-04-25,2022-02-24,2021-10-26,2021-07-27,2021-04-27,2021-02-23,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-11-04,2019-07-25,2019-04-25,2019-02-14,2018-10-25,2018-07-26,2018-04-26,2018-03-01,2017-10-27,2017-08-04,2017-05-03,2017-02-24,2016-11-02,2016-08-04,2016-05-06,2016-02-29,2015-11-09,2015-08-06,2015-05-07,2015-03-02,2014-11-05,2014-08-08,2014-05-09,2014-02-24,2013-11-01,2013-08-02,2013-05-03,2013-02-22,2012-11-07,2012-08-08,2012-05-08,2012-02-29,2011-11-07,2011-08-04,2011-05-04,2011-02-25,2010-11-03,2010-08-04,2010-05-04,2010-02-26,2009-11-05,2009-08-05,2009-05-06,2009-03-02,2008-11-05,2008-08-01,2008-05-06,2008-02-29,2007-11-07,2007-08-06,2007-05-07,2007-02-28,2006-11-08,2006-08-09,2006-05-09,2006-03-15,2005-11-08,2005-08-08,2005-05-10,2005-03-08,2004-11-08,2004-08-06,2004-05-07,2004-03-15,2003-11-13,2003-08-14,2003-05-13,2002-12-31,2002-11-14,2002-08-14,2002-04-01,,2001-11-14,2001-08-14,2001-05-11,2001-03-30,2000-11-14,2000-08-14,2000-05-11,1999-12-31,1999-11-15,1999-08-13,1999-05-14,1998-12-31,1998-11-16,1998-08-14,1998-05-15,1997-12-31,1997-11-12,1997-08-13,1997-05-14,1997-03-31,1996-11-14,1996-08-14,1996-04-01,,1995-11-14,1995-08-14,1995-06-29
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
totalAssets,1789923000.00,1819220000.00,1826100000.00,1858463000.00,1887771000.00,1931846000.00,1446362000.00,1441265000.00,1416412000.00,1363541000.00,1335610000.00,1353457000.00,1676747000.00,2715702000.00,3152955000.00,1940331000.00,3219620000.00,3180198000.00,3237966000.00,2826692000.00,2698898000.00,2618950000.00,2719009000.00,2692264000.00,2595004000.00,2548130000.00,2624484000.00,2615736000.00,2551390000.00,2541447000.00,2548767000.00,2658875000.00,2335674000.00,2354707000.00,2404660000.00,2456844000.00,2287928000.00,2369487000.00,1861230000.00,1827176000.00,1917481000.00,1875212000.00,1861826000.00,1812929000.00,1769476000.00,1771067000.00,1816405000.00,1735149000.00,1667045000.00,1555593000.00,1548758000.00,1502072000.00,1403145000.00,1341001000.00,1373729000.00,1321456000.00,1261023000.00,1257455000.00,1232144000.00,1233270000.00,1169583000.00,1190983000.00,1151002000.00,1113176000.00,1077507000.00,1023931000.00,1017257000.00,979606000.00,940489000.00,907250000.00,882630000.00,858515000.00,786330000.00,747211000.00,704337000.00,700288000.00,639907000.00,606882000.00,584186000.00,555292000.00,522346000.00,494626000.00,491753000.00,483648000.00,446539000.00,401729000.00,397196000.00,397196000.00,393656000.00,389881000.00,385764000.00,380379000.00,361656000.00,335530000.00,326147000.00,318408000.00,297646000.00,291546000.00,276367000.00,272174000.00,273289000.00,266510000.00,248062000.00,239382000.00,201354000.00,196677000.00,195340000.00,198103000.00,187200000.00,180200000.00,158700000.00,158600000.00,155700000.00,157400000.00,157500000.00
intangibleAssets,110677000.00,113269000.00,115863000.00,118528000.00,121259000.00,110258000.00,4288000.00,5095000.00,5681000.00,5844000.00,7480000.00,9097000.00,9503000.00,176104000.00,183269000.00,14234000.00,198216000.00,207066000.00,216559000.00,335271000.00,230874000.00,224513000.00,231340000.00,235551000.00,245025000.00,235041000.00,240680000.00,247672000.00,255195000.00,261111000.00,268235000.00,275912000.00,279187000.00,285120000.00,290509000.00,297471000.00,314080000.00,325692000.00,2944000.00,3535000.00,4207000.00,4328000.00,5185000.00,6026000.00,6665000.00,7045000.00,5998000.00,6066000.00,4137000.00,3083000.00,3541000.00,3832000.00,4445000.00,4919000.00,4919000.00,5200000.00,6630000.00,6255000.00,6706000.00,7496000.00,5547000.00,5547000.00,5188000.00,4814000.00,4826000.00,121563000.00,,115436000.00,111364000.00,105867000.00,101085000.00,101085000.00,97241000.00,93917000.00,80647000.00,74874000.00,68606000.00,62714000.00,57959000.00,55485000.00,52069000.00,29630000.00,27885000.00,25985000.00,24337000.00,22537000.00,22096000.00,22096000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
earningAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherCurrentAssets,23911000.00,,,22075000.00,23518000.00,16592000.00,21780000.00,16201000.00,24771000.00,26715000.00,35592000.00,34838000.00,67671000.00,87413000.00,75627000.00,65499000.00,74210000.00,68329000.00,60513000.00,65300000.00,80977000.00,82165000.00,81267000.00,78362000.00,98967000.00,97898000.00,84273000.00,84351000.00,72046000.00,68409000.00,93656000.00,63138000.00,68067000.00,66875000.00,58588000.00,65916000.00,75736000.00,71159000.00,59351000.00,71276000.00,68796000.00,75702000.00,59224000.00,88491000.00,,,,,,,,,,,,,,,,,,,,,,40880000.00,,,,,,,,470611000.00,,425567000.00,405784000.00,386091000.00,365681000.00,343013000.00,319478000.00,313775000.00,318870000.00,317287000.00,281155000.00,264979000.00,258932000.00,13382000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
totalLiab,1089245000.00,1108640000.00,1122197000.00,1163061000.00,1184051000.00,1211333000.00,715454000.00,723099000.00,694882000.00,630026000.00,596222000.00,642132000.00,950862000.00,1194503000.00,1706341000.00,1102550000.00,1351965000.00,1330640000.00,1424458000.00,1065984000.00,935392000.00,874137000.00,962817000.00,964260000.00,1021048000.00,1006057000.00,1124291000.00,1134138000.00,1094294000.00,1081799000.00,1130845000.00,1292257000.00,992312000.00,1037618000.00,1129863000.00,1233323000.00,1086682000.00,1180699000.00,682215000.00,687213000.00,677075000.00,659684000.00,672946000.00,676803000.00,677043000.00,691211000.00,763312000.00,758595000.00,728674000.00,554460000.00,531265000.00,522655000.00,435206000.00,392689000.00,448801000.00,434196000.00,399363000.00,421095000.00,431757000.00,471726000.00,429752000.00,476013000.00,459845000.00,439796000.00,406856000.00,369457000.00,383203000.00,372591000.00,354408000.00,339716000.00,420371000.00,424044000.00,366923000.00,337555000.00,311034000.00,325110000.00,278949000.00,256316000.00,245846000.00,235106000.00,212585000.00,195079000.00,202011000.00,203103000.00,174176000.00,135858000.00,177229000.00,177229000.00,175630000.00,169357000.00,170965000.00,171841000.00,159270000.00,140988000.00,136233000.00,134690000.00,119806000.00,116917000.00,107701000.00,103303000.00,103353000.00,99214000.00,125906000.00,122927000.00,89209000.00,88988000.00,85000000.00,90768000.00,87500000.00,84100000.00,67600000.00,67600000.00,66300000.00,71100000.00,72500000.00
totalStockholderEquity,700678000.00,710580000.00,703903000.00,695402000.00,703720000.00,720513000.00,730908000.00,718166000.00,721530000.00,733515000.00,739388000.00,711325000.00,725885000.00,1521199000.00,1446614000.00,837781000.00,1867655000.00,1849558000.00,1813508000.00,1760708000.00,1763506000.00,1744813000.00,1756192000.00,1728004000.00,1573956000.00,1542073000.00,1500193000.00,1481598000.00,1457096000.00,1459648000.00,1417922000.00,1366618000.00,1343362000.00,1317089000.00,1274797000.00,1223521000.00,1201246000.00,1188788000.00,1179015000.00,1139963000.00,1240406000.00,1215528000.00,1188880000.00,1136126000.00,1092433000.00,1079856000.00,1053093000.00,976554000.00,938371000.00,1001133000.00,1017493000.00,979417000.00,967939000.00,948312000.00,924928000.00,887260000.00,861660000.00,836360000.00,800387000.00,761544000.00,739831000.00,714970000.00,691157000.00,673380000.00,670651000.00,654474000.00,634054000.00,607015000.00,586081000.00,567534000.00,462259000.00,434471000.00,419407000.00,409656000.00,393303000.00,375178000.00,360958000.00,350566000.00,338340000.00,320186000.00,309761000.00,299547000.00,289742000.00,280545000.00,272363000.00,265871000.00,219967000.00,219967000.00,218026000.00,220524000.00,214799000.00,208538000.00,202386000.00,194542000.00,189914000.00,183718000.00,177840000.00,174629000.00,168666000.00,168871000.00,169936000.00,167296000.00,122156000.00,116455000.00,112145000.00,107689000.00,110340000.00,107335000.00,99700000.00,96100000.00,91100000.00,,89400000.00,86300000.00,85000000.00
deferredLongTermLiab,,,,,,,,,,,,,,234380000.00,217768000.00,,297110000.00,288291000.00,279224000.00,267500000.00,248102000.00,257620000.00,241137000.00,222592000.00,259146000.00,260032000.00,268074000.00,276116000.00,271566000.00,295844000.00,306671000.00,307481000.00,162764000.00,198138000.00,237177000.00,268551000.00,183880000.00,211820000.00,199821000.00,226958000.00,244037000.00,254510000.00,261334000.00,263721000.00,245026000.00,268733000.00,284515000.00,286962000.00,273562000.00,258676000.00,250459000.00,227513000.00,186317000.00,141456000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
