,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31
filing_date,2023-11-21,2023-08-23,2023-06-06,2023-02-28,2022-11-16,2022-08-24,2022-05-24,2022-02-15,2021-11-16,2021-08-24,2021-06-02,2021-02-22,2020-11-10,2020-08-18,2020-05-19,2020-02-18,2019-11-12,2019-08-13,2019-05-22,2019-02-19,2018-11-13,2018-08-14,2018-05-22,2018-02-21,2017-11-14,2017-08-15,2017-05-24,2017-02-28,2016-11-15,2016-08-25,2016-05-31,2016-03-01,2015-11-17,2015-08-25,2015-06-02,2015-03-03,2014-11-12,2014-08-20,2014-05-28,2014-02-25,2013-11-12,2013-08-19,2013-05-28,2013-02-25,2012-11-13,2012-08-20,2012-05-29,2012-02-28,2011-11-16,2011-08-24,2011-06-01,2011-03-01,2010-11-17,2010-08-25,2010-06-02,2010-03-02,2009-11-19,2009-06-30,2009-06-04,2009-03-04,2008-11-12,2008-08-21,2008-05-29,2008-02-27,2007-11-15,2007-08-23,2007-05-31,2007-02-28,2006-11-16,2006-08-23,2006-06-01,2006-03-16,2005-11-17,2005-08-17,2005-05-27,2005-03-17,2004-11-12,2004-08-16,2004-05-21,2004-03-12,2003-11-06,2003-08-15,2003-05-20,2003-03-27,2002-11-19,2002-08-14,2002-05-23,2002-03-28,2001-09-30,2001-06-30,2001-03-31,,,,
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
totalAssets,12239587000.00,12304376000.00,12182238000.00,12018482000.00,12132079000.00,12137963000.00,12002481000.00,12194209000.00,11864171000.00,11838725000.00,11868488000.00,11839636000.00,11972763000.00,11930665000.00,12072572000.00,11248525000.00,11106802000.00,11267946000.00,11081511000.00,9040648000.00,8972353000.00,8835556000.00,8614953000.00,8482301000.00,8468224000.00,8437413000.00,8428657000.00,8315033000.00,8414645000.00,8437529000.00,8438963000.00,8134565000.00,8181536000.00,8167875000.00,8146695000.00,7962358000.00,7997737000.00,7969525000.00,7913074000.00,5564774000.00,4944699000.00,4852288000.00,4747485000.00,4613814000.00,4357206000.00,4169146000.00,4045112000.00,3655754000.00,3678068000.00,3603468000.00,3573383000.00,3354217000.00,3394325000.00,3328727000.00,3202808000.00,3072963000.00,3165898000.00,3044971000.00,3001728000.00,2964065000.00,3008259000.00,2973980000.00,2873127000.00,2805566000.00,2766566000.00,2875389000.00,2781314000.00,2682681000.00,2661585000.00,2622720000.00,2615728000.00,2542149000.00,2562574000.00,2508731000.00,2406383000.00,2201962000.00,2146022000.00,2125947000.00,2063280000.00,1983071000.00,2011249000.00,2002088000.00,1989851000.00,1965225000.00,2083203000.00,2070098000.00,2049204000.00,1950615000.00,1375392000.00,1364314000.00,1349754000.00,1356360000.00,1381945000.00,1350312000.00,1358325000.00
intangibleAssets,598699000.00,606450000.00,612104000.00,620901000.00,625673000.00,634262000.00,642120000.00,651217000.00,658545000.00,665193000.00,672455000.00,681127000.00,686315000.00,692482000.00,698032000.00,709756000.00,514512000.00,521969000.00,527702000.00,550593000.00,562698000.00,571953000.00,583346000.00,597674000.00,608520000.00,618879000.00,626974000.00,640903000.00,652361000.00,664678000.00,676427000.00,687125000.00,702719000.00,714702000.00,729765000.00,748125000.00,763338000.00,779401000.00,789825000.00,49872000.00,53963000.00,56155000.00,57994000.00,28845000.00,28649000.00,29468000.00,30288000.00,31380000.00,29122000.00,24839000.00,25062000.00,25360000.00,25583000.00,25834000.00,26085000.00,26419000.00,26670000.00,26921000.00,27195000.00,27567000.00,27888000.00,28185000.00,28259000.00,26844000.00,27095000.00,27345000.00,27596000.00,27926000.00,27920000.00,67208000.00,67094000.00,67094000.00,54344000.00,,,,,,,,,,,,,,,,,,,,,,
earningAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherCurrentAssets,185249000.00,188169000.00,177127000.00,163695000.00,199069000.00,182061000.00,182399000.00,232245000.00,174406000.00,180589000.00,149003000.00,146811000.00,158819000.00,153188000.00,138749000.00,155241000.00,140487000.00,126758000.00,126108000.00,198408000.00,168578000.00,151662000.00,127522000.00,105106000.00,105970000.00,95115000.00,83779000.00,70466000.00,98672000.00,96200000.00,78558000.00,77408000.00,96863000.00,90491000.00,76341000.00,119589000.00,97232000.00,89741000.00,70872000.00,42761000.00,68435000.00,66555000.00,59170000.00,47614000.00,70582000.00,60883000.00,52578000.00,52754000.00,67063000.00,59245000.00,48278000.00,76965000.00,51931000.00,48669000.00,33984000.00,63173000.00,46381000.00,43848000.00,34037000.00,49977000.00,46078000.00,41685000.00,27570000.00,53719000.00,43805000.00,45128000.00,29418000.00,40459000.00,38207000.00,41088000.00,28742000.00,45369000.00,34312000.00,31380000.00,26284000.00,17687000.00,27152000.00,27734000.00,24254000.00,16387000.00,24453000.00,34664000.00,42936000.00,20210000.00,32065000.00,49970000.00,41328000.00,42027000.00,18462000.00,18878000.00,12398000.00,10274000.00,20561000.00,19270000.00,16550000.00
totalLiab,9599431000.00,9581189000.00,9546077000.00,9340201000.00,9416004000.00,9343154000.00,9092801000.00,9065918000.00,8667636000.00,8537160000.00,8366921000.00,8280124000.00,8210099000.00,8204146000.00,8535543000.00,7699444000.00,7651860000.00,7596644000.00,7534288000.00,5489835000.00,5312717000.00,5177607000.00,5068332000.00,5067105000.00,5237437000.00,5309136000.00,5404982000.00,5398841000.00,5558924000.00,5688632000.00,5809824000.00,5673917000.00,5768460000.00,5878746000.00,6000107000.00,5959446000.00,6072238000.00,6155000000.00,6246443000.00,4048569000.00,3476851000.00,3483309000.00,3477038000.00,3403120000.00,3209728000.00,3110045000.00,3066463000.00,2807840000.00,2900442000.00,2839190000.00,2689499000.00,2314843000.00,2252287000.00,2262277000.00,2093425000.00,1790598000.00,1873342000.00,1781883000.00,1821923000.00,1888899000.00,1950748000.00,1935381000.00,1922464000.00,1781771000.00,1701176000.00,1663364000.00,1663355000.00,1651827000.00,1671131000.00,1689624000.00,1676223000.00,1622378000.00,1649515000.00,1638314000.00,1646895000.00,1479647000.00,1383449000.00,1366199000.00,1374388000.00,1351827000.00,1413962000.00,1461109000.00,1503705000.00,1496869000.00,1627012000.00,1643206000.00,1657712000.00,1662044000.00,1179019000.00,1184955000.00,1187681000.00,1200089000.00,1223563000.00,1203685000.00,1222785000.00
totalStockholderEquity,2640156000.00,2723187000.00,2636161000.00,2678281000.00,2716075000.00,2794809000.00,2909680000.00,3128291000.00,3196535000.00,3301565000.00,3501567000.00,3559512000.00,3762664000.00,3726519000.00,3537029000.00,3549081000.00,3454942000.00,3671302000.00,3547223000.00,3550813000.00,3659636000.00,3657949000.00,3546621000.00,3415196000.00,3230787000.00,3128277000.00,3023675000.00,2916192000.00,2855721000.00,2748897000.00,2629139000.00,2460648000.00,2413076000.00,2289129000.00,2146588000.00,2002912000.00,1925499000.00,1814525000.00,1666631000.00,1516205000.00,1467848000.00,1368979000.00,1270447000.00,1210694000.00,1147478000.00,1059101000.00,978649000.00,847914000.00,777626000.00,764278000.00,883884000.00,1039374000.00,1142038000.00,1066450000.00,1109383000.00,1282365000.00,1292556000.00,1263088000.00,1179805000.00,1075166000.00,1057511000.00,1038599000.00,950663000.00,1023795000.00,1065390000.00,1212025000.00,1117959000.00,1030854000.00,990454000.00,933096000.00,939505000.00,919771000.00,913059000.00,870417000.00,759488000.00,722315000.00,762573000.00,759748000.00,688892000.00,631244000.00,597287000.00,540979000.00,486146000.00,468356000.00,456191000.00,426892000.00,391492000.00,288571000.00,196373000.00,179359000.00,162073000.00,156271000.00,158382000.00,146627000.00,135540000.00
deferredLongTermLiab,,432680000.00,422984000.00,,,,,,375069000.00,357343000.00,357343000.00,342445000.00,342730000.00,338086000.00,333265000.00,334013000.00,318309000.00,313903000.00,310404000.00,318353000.00,320160000.00,314091000.00,310686000.00,303620000.00,429194000.00,438782000.00,446128000.00,454282000.00,455348000.00,446124000.00,442294000.00,433925000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
