,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2008-12-31
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2008-12-31
filing_date,2023-10-27,2023-07-28,2023-04-28,2023-02-10,2022-10-28,2022-07-29,2022-04-29,2022-02-11,2021-10-29,2021-07-30,2021-04-30,2021-02-16,2020-10-30,2020-07-31,2020-05-01,2020-02-14,2019-11-01,2019-08-02,2019-05-03,2019-02-15,2018-11-02,2018-08-03,2018-05-04,2018-02-16,2017-11-03,2017-08-04,2017-05-05,2017-02-17,2016-11-04,2016-07-29,2016-04-29,2016-02-19,2015-11-06,2015-07-31,2015-05-01,2015-02-20,2014-11-07,2014-08-01,2014-05-02,2014-02-21,2013-11-08,2013-08-02,2013-05-03,2013-02-22,2012-11-09,2012-08-03,2012-05-04,2012-03-09,2011-11-10,2011-08-12,2011-05-13,2011-03-30,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
totalAssets,3010719000.00,3012460000.00,3020224000.00,2987881000.00,3008577000.00,3007190000.00,3011134000.00,3017927000.00,3051070000.00,3045531000.00,3049346000.00,2817309000.00,2844114000.00,2846282000.00,2756185000.00,2790333000.00,2788958000.00,2718758000.00,2217048000.00,2198250000.00,2196776000.00,2186040000.00,2213566000.00,2259864000.00,2275618000.00,2171176000.00,2115341000.00,1986933000.00,1989228000.00,1971913000.00,1977826000.00,1978419000.00,1996075000.00,1974313000.00,1966149000.00,1941762000.00,1938660000.00,1892423000.00,1878958000.00,1832443000.00,1840846000.00,1836759000.00,1824470000.00,1827587000.00,1860937000.00,1713448000.00,1722471000.00,1709281000.00,1724761000.00,1722765000.00,1652482000.00,1117357000.00,1103713000.00,1099549000.00,,938991000.00,,971118000.00
intangibleAssets,59905000.00,61096000.00,62076000.00,64234000.00,65869000.00,68588000.00,71114000.00,70268000.00,71911000.00,63174000.00,65108000.00,67066000.00,69842000.00,72792000.00,75533000.00,76839000.00,77498000.00,79928000.00,38046000.00,38589000.00,30044000.00,29845000.00,30002000.00,30409000.00,31894000.00,29843000.00,29183000.00,30260000.00,31516000.00,33302000.00,35336000.00,37094000.00,38402000.00,40073000.00,41637000.00,43671000.00,43279000.00,45291000.00,47294000.00,50659000.00,52834000.00,56561000.00,61025000.00,46751000.00,49816000.00,41872000.00,812000.00,46646000.00,51954000.00,46403000.00,50857000.00,22695000.00,25278000.00,,,19671000.00,,24840000.00
earningAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherCurrentAssets,,,,,9633000.00,10446000.00,9004000.00,9136000.00,10511000.00,14956000.00,9503000.00,10418000.00,7987000.00,11189000.00,4457000.00,10148000.00,10494000.00,9702000.00,9777000.00,9316000.00,9918000.00,9385000.00,9889000.00,9344000.00,10124000.00,9211000.00,9836000.00,9950000.00,10246000.00,9450000.00,9295000.00,11623000.00,25208000.00,11311000.00,10252000.00,10994000.00,11835000.00,10766000.00,10568000.00,9124000.00,10065000.00,9206000.00,8803000.00,7421000.00,39643000.00,38200000.00,35252000.00,32510000.00,31552000.00,29742000.00,26902000.00,46862000.00,47572000.00,4675000.00,,38647000.00,,646000.00
totalLiab,1842069000.00,1836344000.00,1840498000.00,1802356000.00,1810854000.00,1807222000.00,1805247000.00,1807804000.00,1832379000.00,1818385000.00,1813907000.00,1563903000.00,1578132000.00,1569794000.00,1475164000.00,1496661000.00,1490734000.00,1426836000.00,1411715000.00,1395779000.00,1381285000.00,1368405000.00,1384233000.00,1415720000.00,1427067000.00,1318813000.00,1253632000.00,1148382000.00,1174716000.00,1166015000.00,1157425000.00,1149492000.00,1163562000.00,1164031000.00,1198595000.00,1175186000.00,1167689000.00,1154730000.00,1156482000.00,1145865000.00,1149602000.00,1140235000.00,1145314000.00,1141858000.00,1205640000.00,1051045000.00,1051286000.00,1029553000.00,1034288000.00,1025510000.00,944267000.00,962236000.00,949834000.00,944335000.00,,768028000.00,,781944000.00
totalStockholderEquity,1209296000.00,1214732000.00,1217129000.00,1221265000.00,1230358000.00,1231702000.00,1235940000.00,1238964000.00,1245039000.00,1251383000.00,1257599000.00,1271442000.00,1280939000.00,1300953000.00,1304242000.00,1313917000.00,1317270000.00,1309744000.00,807251000.00,802977000.00,812419000.00,813797000.00,823040000.00,833710000.00,836460000.00,839065000.00,834881000.00,809556000.00,792404000.00,783415000.00,793625000.00,799562000.00,801963000.00,780725000.00,737492000.00,735303000.00,738223000.00,704305000.00,686454000.00,648511000.00,651787000.00,655044000.00,634078000.00,638361000.00,610814000.00,614781000.00,620468000.00,626031000.00,633092000.00,637445000.00,644645000.00,121874000.00,120292000.00,118929000.00,,133173000.00,,148864000.00
deferredLongTermLiab,,,,,39687000.00,42669000.00,,39184000.00,38863000.00,38016000.00,39065000.00,39167000.00,41238000.00,43053000.00,45696000.00,46398000.00,43390000.00,42606000.00,29571000.00,29543000.00,23465000.00,22677000.00,21970000.00,21549000.00,0.00,0.00,0.00,18444000.00,0.00,0.00,0.00,19461000.00,0.00,0.00,0.00,25585000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,
otherCurrentLiab,8952000.00,8680000.00,-1709228000.00,-22018000.00,-23356000.00,-1672438000.00,-1667132000.00,-1671931000.00,7996000.00,6728000.00,6629000.00,-25977000.00,-24664000.00,-23637000.00,8346000.00,8316000.00,7855000.00,-16468000.00,-11370000.00,-10183000.00,-7263000.00,-8773000.00,-6758000.00,6570000.00,6736000.00,6779000.00,6195000.00,-4634000.00,6098000.00,6072000.00,-3207000.00,-4566000.00,-2967000.00,-3633000.00,-4074000.00,5521000.00,5276000.00,5323000.00,5222000.00,-3488000.00,5010000.00,5093000.00,5067000.00,4856000.00,,,,-15799000.00,,,,14292000.00,12883000.00,11096000.00,,9555000.00,,
commonStock,607000.00,607000.00,607000.00,607000.00,605000.00,605000.00,605000.00,605000.00,605000.00,605000.00,605000.00,605000.00,603000.00,601000.00,601000.00,601000.00,599000.00,597000.00,475000.00,474000.00,473000.00,473000.00,473000.00,473000.00,471000.00,471000.00,464000.00,457000.00,456000.00,454000.00,454000.00,454000.00,454000.00,449000.00,438000.00,437000.00,436000.00,426000.00,419000.00,405000.00,405000.00,405000.00,397000.00,397000.00,393000.00,393000.00,393000.00,393000.00,393000.00,393000.00,393000.00,,,,,,,
capitalStock,607000.00,607000.00,607000.00,607000.00,605000.00,605000.00,605000.00,605000.00,605000.00,605000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retainedEarnings,-270817000.00,-262745000.00,-254879000.00,-251167000.00,-241549000.00,-235107000.00,-226474000.00,-217785000.00,-207910000.00,-199956000.00,-192098000.00,-176560000.00,-164462000.00,-154516000.00,-150226000.00,-144378000.00,-139307000.00,-135497000.00,-130841000.00,-128778000.00,-122293000.00,-120008000.00,-110550000.00,-97280000.00,-91695000.00,-88595000.00,-81921000.00,-77296000.00,-74328000.00,-71433000.00,-67724000.00,-64066000.00,-60976000.00,-64024000.00,-62409000.00,-60291000.00,-57269000.00,-54186000.00,-48619000.00,-44090000.00,-40007000.00,-35868000.00,-30584000.00,-25625000.00,-46004000.00,-40699000.00,-34269000.00,-28007000.00,-20233000.00,-15168000.00,-612000.00,,,,,,,
otherLiab,,,,,91063000.00,91383000.00,87422000.00,94070000.00,94801000.00,89843000.00,61602000.00,97890000.00,62809000.00,64745000.00,67110000.00,69729000.00,61764000.00,61544000.00,54413000.00,57590000.00,56022000.00,58045000.00,57031000.00,52508000.00,53958000.00,52678000.00,53723000.00,54186000.00,68059000.00,69324000.00,59471000.00,57754000.00,58103000.00,59563000.00,61522000.00,61295000.00,61035000.00,62765000.00,63503000.00,63395000.00,63949000.00,64331000.00,64928000.00,67667000.00,66622000.00,59190000.00,60422000.00,60598000.00,62619000.00,61224000.00,63696000.00,56090000.00,48551000.00,,,16384000.00,,17757000.00
goodWill,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,
otherAssets,2823853000.00,1620000.00,1782000.00,2843270000.00,2848205000.00,2851643000.00,2844134000.00,2870958000.00,3043649000.00,2670683000.00,39065000.00,2673038000.00,41238000.00,43053000.00,45696000.00,46398000.00,43390000.00,9702000.00,29571000.00,29543000.00,23465000.00,22677000.00,21970000.00,2119068000.00,2124024000.00,2086178000.00,1869282000.00,1884400000.00,1870136000.00,1872955000.00,1878305000.00,1880931000.00,1884844000.00,1885324000.00,1859019000.00,1828801000.00,1789314000.00,1763902000.00,1749255000.00,1731237000.00,1725815000.00,1725957000.00,1733986000.00,1738393000.00,1780301000.00,1547380000.00,1554928000.00,1525776000.00,1533866000.00,1563006000.00,1485010000.00,1021399000.00,1014565000.00,,,867693000.00,,905025000.00
cash,89968000.00,84709000.00,87328000.00,49571000.00,63431000.00,60750000.00,73573000.00,139524000.00,171923000.00,368266000.00,380434000.00,137333000.00,155327000.00,146131000.00,52371000.00,99303000.00,115568000.00,44778000.00,54538000.00,47956000.00,56220000.00,51326000.00,55336000.00,82610000.00,94207000.00,31380000.00,190110000.00,44801000.00,61959000.00,43886000.00,44007000.00,39925000.00,40158000.00,34949000.00,54639000.00,59357000.00,95145000.00,78859000.00,79486000.00,48987000.00,65722000.00,63340000.00,43972000.00,42479000.00,34917000.00,98584000.00,100652000.00,112723000.00,123222000.00,92535000.00,100396000.00,41953000.00,37363000.00,31592000.00,,24189000.00,,18978000.00
