,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,1999-12-31
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,1999-12-31
filing_date,2023-09-30,2023-06-30,2023-03-31,2023-03-24,2022-09-30,2022-06-30,2022-04-28,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-03-29,2020-09-30,2020-06-30,2020-03-31,2020-03-27,2019-09-30,2019-06-30,2019-03-31,2019-03-15,2018-09-30,2018-06-30,2018-03-31,2018-03-29,2017-09-30,2017-06-30,2017-03-31,2017-03-30,2016-09-30,2016-06-30,2016-03-31,2016-03-31,2015-09-30,2015-06-30,2015-03-31,2015-03-31,2014-09-30,2014-06-30,2014-04-01,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2013-03-29,2012-09-30,2012-06-30,2012-04-02,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2011-03-31,2010-09-30,2010-06-30,2010-03-31,2010-03-31,2009-09-30,2009-06-30,2009-04-01,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2008-03-31,2007-09-30,2007-06-30,2007-03-31,2007-03-29,2006-09-30,2006-06-30,2006-03-31,2006-03-30,2005-09-30,2005-06-30,2005-03-31,2005-03-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-06-30,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,
currency_symbol,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD,CAD
totalAssets,76616631.00,76932845.00,77474606.00,78050210.00,85821670.00,86115458.00,87232290.00,87232290.00,87444274.00,87736681.00,88395787.00,76448771.00,76889227.00,75020788.00,75723275.00,74063855.00,75302179.00,75488119.00,73042598.00,73928394.00,74384213.00,75353555.00,66485105.00,66803196.00,65633341.00,66048790.00,50755745.00,47513895.00,47660917.00,40829627.00,37364168.00,38215348.00,34947418.00,44751481.00,45598116.00,42018646.00,52444106.00,47707942.00,48987933.00,48987933.00,50116249.00,49513984.00,47020941.00,49132316.00,49912312.00,50040837.00,53905269.00,53905269.00,43528724.00,40013243.00,36356062.00,36343355.00,36420761.00,26492849.00,26660600.00,25659423.00,23577652.00,23866203.00,24402080.00,24402080.00,25581920.00,27713317.00,27588325.00,27969639.00,28925586.00,28625642.00,28772437.00,28719562.00,28181386.00,27741946.00,19464360.00,16366755.00,11797329.00,10050122.00,10212087.00,10215275.00,11238229.00,10695340.00,10591469.00,10341770.00,6834870.00,5300783.00,5635752.00,5635752.00,4782657.00,7103685.00,6853989.00,6297093.00,4445645.00,4567286.00,4672555.00,4780243.00,6523307.00,6508586.00,7019704.00,2650252.44
intangibleAssets,,,,,,,,,,,,,,,,,19495.00,21352.00,23209.00,17940.31,16227.50,22418.00,23450.00,20208.85,19928.05,19824.91,21010.29,22502.60,0.00,0.00,0.00,22445.63,0.00,0.00,0.00,41308.84,0.00,0.00,0.00,63970.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
earningAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherCurrentAssets,,1000460.00,974397000000.00,974397000000.00,994559.00,1034765.00,979628.00,979628.00,963540.00,980213.00,883567.00,1007822.00,1069892.00,1056424.00,937995.00,1636874.00,2467845.00,3073665.00,84389.00,103716.00,109282.00,157185.00,119770.00,124992.00,118844.00,176702.00,187095.00,132519.00,145255.00,180611.00,122326.00,147481.00,135774.00,6117417.00,125245.00,151095.00,137832.00,124668.00,138577.00,138577.00,595997.00,1065639.00,579852.00,552511.00,597725.00,576526.00,537238.00,537238.00,220732.00,9497628.00,9280202.00,9083633.00,491691.77,439601.73,370297.42,667300.38,561167.23,407636.74,785091.20,369000.66,190699.86,551366.17,571094.44,529748.17,638426.63,1535403.26,676002.77,514623.90,829075.92,-1.00,580330.39,-2.00,1.00,196654.43,261308.19,177057.36,272561.60,288072.02,167213.87,80956.05,53222.95,111366.84,113752.47,86475.49,0.00,0.00,0.00,0.00,3776.67,4564.72,7164.72,10010.68,6568.14,11437.80,7438.46,9682.55
totalLiab,8150842.00,8077358.00,8113194.00,8234533.00,6680733.00,6848064.00,7048153.00,7048153.00,5389261.00,5265352.00,5419282.00,5271337.00,5363627.00,5313649.00,5838826.00,5478705.00,5597454.00,5368673.00,2471542.00,2563289.00,2426120.00,2733770.00,2325212.00,2072883.00,2002599.00,1757684.00,2053701.00,2292705.00,1873875.00,1759234.00,2100316.00,2232651.00,2438068.00,2481884.00,2612528.00,2382060.00,675100.00,549970.00,1097158.00,1097158.00,747797.00,397938.00,819182.00,1060829.00,153971.00,322850.00,565097.00,565097.00,677233.00,701075.00,687422.00,649481.00,1564650.00,322705.00,409852.00,488579.00,201254.00,349242.00,335270.00,335270.00,902762.00,1018523.00,671533.00,707486.00,940218.00,563176.00,734330.00,748903.00,741631.00,573279.00,722609.00,566202.00,1023704.00,608242.00,597249.00,458787.00,641604.00,612096.00,462782.00,487289.00,596240.00,394967.00,454267.00,454267.00,368723.00,478264.00,1299613.00,458188.00,48281.00,10378.00,26664.00,75055.00,27828.00,39909.00,47601.00,95442.29
totalStockholderEquity,68465789.00,68855487.00,69361412.00,69815677.00,79140937.00,79267394.00,80184137.00,80184137.00,82055013.00,82471329.00,82976505.00,71177434.00,71525600.00,69707139.00,69884449.00,68585150.00,69704725.00,70119446.00,70571056.00,71365105.00,71958093.00,72619785.00,64159893.00,64730313.00,63630742.00,64291106.00,48702044.00,45221190.00,45787042.00,39070393.00,35263852.00,35982697.00,32509350.00,42269597.00,42985588.00,39636586.00,51769006.00,47157972.00,47890775.00,47890775.00,49368452.00,49116046.00,46201759.00,48071487.00,49758341.00,49717987.00,53340172.00,53340172.00,42851491.00,39312168.00,35668640.00,35693874.00,34856111.00,26170144.00,26250748.00,25170844.00,23376398.00,23516961.00,24066810.00,24066810.00,24679158.00,26694793.00,26916793.00,27262153.00,27985368.00,28062465.00,28038107.00,27970659.00,27439755.00,27168667.00,18741752.00,15800554.00,10773625.00,9441879.00,9614838.00,9756488.00,10596625.00,10083244.00,10128687.00,9854481.00,6238630.00,4905816.00,5181485.00,5181485.00,4413934.00,6625421.00,5554376.00,5838905.00,4397364.00,4556908.00,4645891.00,4705188.00,6495479.00,6468677.00,6972103.00,2554810.15
deferredLongTermLiab,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
