,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,1999-12-31,1999-09-30,1999-06-30,1999-03-31,1998-12-31,1998-09-30,1998-06-30,1998-03-31,1997-12-31,1997-09-30,1997-06-30,1997-03-31,1996-12-31,1996-09-30,1996-06-30,1996-03-31,1995-12-31,1995-09-30,1995-06-30,1995-03-31,1994-12-31,1994-09-30,1994-06-30,1994-03-31,1993-12-31,1993-09-30,1993-06-30,1993-03-31,1992-12-31,1992-09-30,1992-06-30,1992-03-31,1991-12-31,1991-09-30,1991-06-30,1991-03-31,1990-03-31,1989-03-31
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,1999-12-31,1999-09-30,1999-06-30,1999-03-31,1998-12-31,1998-09-30,1998-06-30,1998-03-31,1997-12-31,1997-09-30,1997-06-30,1997-03-31,1996-12-31,1996-09-30,1996-06-30,1996-03-31,1995-12-31,1995-09-30,1995-06-30,1995-03-31,1994-12-31,1994-09-30,1994-06-30,1994-03-31,1993-12-31,1993-09-30,1993-06-30,1993-03-31,1992-12-31,1992-09-30,1992-06-30,1992-03-31,1991-12-31,1991-09-30,1991-06-30,1991-03-31,1990-03-31,1989-03-31
filing_date,2023-10-26,2023-07-27,2023-04-26,2023-02-10,2022-10-28,2022-07-29,2022-04-29,2022-02-11,2021-10-28,2021-07-29,2021-04-29,2021-02-11,2020-10-22,2020-07-23,2020-04-28,2020-02-12,2019-10-24,2019-07-25,2019-04-25,2019-02-13,2018-10-24,2018-07-26,2018-04-26,2018-02-13,2017-10-25,2017-07-27,2017-04-27,2017-02-14,2016-10-26,2016-07-28,2016-04-28,2016-02-11,2015-10-22,2015-07-30,2015-04-30,2015-02-12,2014-10-23,2014-07-30,2014-04-30,2014-02-12,2013-10-24,2013-07-31,2013-05-01,2013-02-12,2012-10-24,2012-08-02,2012-05-02,2012-02-10,2011-10-26,2011-07-29,2011-05-02,2011-02-10,2010-10-28,2010-08-02,2010-05-03,2010-02-11,2009-10-29,2009-07-30,2009-05-08,2009-02-23,2008-10-31,2008-08-01,2008-05-05,2008-02-25,2007-11-05,2007-08-03,2007-05-04,2007-02-28,2006-11-08,2006-08-07,2006-05-08,2006-02-24,2005-11-07,2005-08-05,2005-05-06,2005-03-15,2004-11-08,2004-08-06,2004-05-07,2004-03-10,2003-11-17,2003-08-13,2003-05-14,2003-03-27,2002-11-14,2002-08-14,2002-05-13,2002-03-28,2001-11-14,2001-08-02,2001-04-02,,2000-11-07,2000-08-14,2000-05-15,2000-03-28,1999-11-15,1999-08-16,1999-05-14,1999-03-30,1998-11-16,1998-08-14,1998-05-13,1998-03-30,1997-11-12,1997-08-14,1997-05-15,1997-03-27,1996-11-12,1996-08-08,1996-04-01,1995-12-31,1995-11-09,1995-08-14,1995-05-15,1995-03-30,1994-11-10,1994-08-08,1994-05-13,1994-03-30,1993-09-30,1993-06-30,1993-03-31,1992-12-31,1992-09-30,1992-06-30,1992-03-31,1991-12-31,1991-09-30,1991-06-30,1991-03-31,1990-03-31,1989-03-31
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
totalAssets,1973046000.00,2044187000.00,2052971000.00,2074626000.00,1989713000.00,1462265000.00,1588232000.00,1623764000.00,1550187000.00,1604961000.00,1632943000.00,1606033000.00,1496384000.00,1486988000.00,1517259000.00,1554264000.00,1455339000.00,1470054000.00,1429524000.00,1490701000.00,1489182000.00,1534935000.00,1560834000.00,1544704000.00,1441672000.00,1441058000.00,1512171000.00,1540508000.00,1475139000.00,1518906000.00,1566847000.00,1589965000.00,1525846000.00,1612739000.00,1605293000.00,1627892000.00,1536424000.00,1535142000.00,1522631000.00,1533654000.00,1425344000.00,1617314000.00,1616876000.00,1566493000.00,1605472000.00,1657890000.00,1672496000.00,1626531000.00,1766242000.00,1781733000.00,1796619000.00,1787568000.00,1743382000.00,1754978000.00,1790407000.00,1912301000.00,1680116000.00,1655500000.00,1601729000.00,1601442000.00,1611134000.00,1646183000.00,1629961000.00,1575234000.00,1616625000.00,1601922000.00,1563257000.00,1568034000.00,1497318000.00,1479716000.00,1465714000.00,1377054000.00,1369174000.00,1359228000.00,1340568000.00,1303446000.00,1280052000.00,1279806000.00,1257473000.00,1166097000.00,1210367000.00,1245370000.00,1227513000.00,1237546000.00,1231844000.00,1241053000.00,1234351000.00,1230344000.00,1246468000.00,1253782000.00,1268837000.00,1268837000.00,706969000.00,787365000.00,256718000.00,272060000.00,1554994000.00,1456717000.00,1442703000.00,1132592000.00,1126903000.00,1070918000.00,928248000.00,784460000.00,782284000.00,675262000.00,777970000.00,725897000.00,764092000.00,717020000.00,575058000.00,575058000.00,587132000.00,552185000.00,539985000.00,518369000.00,572101000.00,559181000.00,594064000.00,561300000.00,626300000.00,468000000.00,,354400000.00,,,354500000.00,371600000.00,430700000.00,379600000.00,335000000.00,,
intangibleAssets,,,,303000000.00,303000.00,,,41531000.00,,,,44496000.00,,,,55366000.00,,,,79424000.00,0.00,0.00,0.00,105784000.00,0.00,0.00,0.00,134606000.00,0.00,0.00,0.00,145710000.00,0.00,0.00,0.00,171407000.00,0.00,0.00,0.00,168875000.00,0.00,0.00,0.00,169208000.00,0.00,0.00,0.00,189661000.00,0.00,,0.00,205862000.00,0.00,,,223992000.00,,,,243493000.00,,,,264209000.00,,,,284925000.00,,,,305325000.00,,,,326025000.00,,,,346725000.00,,,,367425000.00,,,,,,10.00,3430708000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
earningAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherCurrentAssets,,,,,-419357000.00,,,-394768000.00,,,,,,,,415128000.00,,,,529348000.00,,,,144420000.00,,,,289112000.00,,,,23791000.00,,,,-79226000.00,,,,470693000.00,,,,924144000.00,,,,635695000.00,,,,458423000.00,,,,371115000.00,,,,2019992000.00,,,,1793603000.00,,,,692000.00,,,,,,-103896.00,,427518000.00,,,,782188000.00,,,,1013268000.00,,,,-1841000.00,,,1090083000.00,,,,,,1046223000.00,773620000.00,902934000.00,685989000.00,563214000.00,557587000.00,496732000.00,403110000.00,384892000.00,308376000.00,411027000.00,384951000.00,264623000.00,233242000.00,236773000.00,236773000.00,239728000.00,210553000.00,234984000.00,244509000.00,247062000.00,258848000.00,293935000.00,296700000.00,438000000.00,341500000.00,,225300000.00,,,243600000.00,255300000.00,305100000.00,274500000.00,226500000.00,,
totalLiab,552000.00,352000.00,1217000.00,1623000.00,419966000.00,728000.00,994000.00,2140000.00,528000.00,765000.00,7654000.00,1876000.00,392000.00,266000.00,825000.00,192110000.00,737000.00,637000.00,55000.00,412313000.00,525000.00,629000.00,126000.00,515660000.00,224000.00,547000.00,313000.00,430569000.00,355000.00,159000.00,5951000.00,469753000.00,277000.00,595000.00,6416000.00,432355000.00,556000.00,246000.00,5991000.00,529004000.00,5080000.00,184000.00,8619000.00,499076000.00,5008000.00,3691000.00,5297000.00,368049000.00,261000.00,152000.00,7840000.00,422860000.00,73000.00,214000.00,7663000.00,278398000.00,1318000.00,2166000.00,4966000.00,310132000.00,7037000.00,7110000.00,9161000.00,389475000.00,7946000.00,7848000.00,11050000.00,8846000.00,6574000.00,7550000.00,8628000.00,8208000.00,7716000.00,7715000.00,6417000.00,275264000.00,6744000.00,7569000.00,13329000.00,524703000.00,7126000.00,7120000.00,6598000.00,7003000.00,7523000.00,7923000.00,8191000.00,194538000.00,10917000.00,8972000.00,238640000.00,8287000.00,8172000.00,7749000.00,7715000.00,6452000.00,1075107000.00,987459000.00,982263000.00,699408000.00,708955000.00,651622000.00,522840000.00,382178000.00,391445000.00,297602000.00,279958000.00,235186000.00,281913000.00,242070000.00,168349000.00,168349000.00,187371000.00,160331000.00,156194000.00,137040000.00,195062000.00,287566000.00,377218000.00,347300000.00,417600000.00,358800000.00,,221900000.00,,,230000000.00,250800000.00,314700000.00,268400000.00,226700000.00,,
totalStockholderEquity,1972494000.00,2043835000.00,2051754000.00,2073003000.00,1569747000.00,1461537000.00,1587238000.00,1621624000.00,1549659000.00,1604196000.00,1625289000.00,1604157000.00,1495992000.00,1486722000.00,1516434000.00,1552538000.00,1454602000.00,1469417000.00,1429469000.00,1490057000.00,1488657000.00,1534306000.00,1560708000.00,1543550000.00,1441448000.00,1440511000.00,1511858000.00,1539889000.00,1474784000.00,1518747000.00,1560896000.00,1589691000.00,1525569000.00,1612144000.00,1598877000.00,1627510000.00,1535868000.00,1534896000.00,1516640000.00,1532878000.00,1420264000.00,1617130000.00,1608257000.00,1560082000.00,1600464000.00,1654199000.00,1667199000.00,1626173000.00,1765981000.00,1781581000.00,1788779000.00,1787110000.00,1743309000.00,1754764000.00,1782744000.00,1910118000.00,1678798000.00,1653334000.00,1596763000.00,1596155000.00,1604097000.00,1639073000.00,1620800000.00,1567460000.00,1608679000.00,1594074000.00,1552207000.00,1559188000.00,1490744000.00,1472166000.00,1457086000.00,1368846000.00,1361458000.00,1351513000.00,1334151000.00,1295670000.00,1273308000.00,1272237000.00,1244144000.00,1158606000.00,1203241000.00,1238250000.00,1220915000.00,1230543000.00,1224321000.00,1233130000.00,1226160000.00,1222037000.00,1235551000.00,1244810000.00,1260550000.00,1260550000.00,698797000.00,779616000.00,249003000.00,265608000.00,476854000.00,467062000.00,458949000.00,430300000.00,415286000.00,416908000.00,403202000.00,398051000.00,386662000.00,371996000.00,483301000.00,476020000.00,467502000.00,460600000.00,406709000.00,406709000.00,399761000.00,391854000.00,383791000.00,381329000.00,377039000.00,271615000.00,216846000.00,214000000.00,208700000.00,109200000.00,,132500000.00,,,124500000.00,120800000.00,116000000.00,111200000.00,108300000.00,,
deferredLongTermLiab,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
