,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31
filing_date,2023-11-06,2023-08-07,2023-05-05,2023-02-17,2022-11-04,2022-08-04,2022-05-06,2022-02-18,2021-11-02,2021-08-02,2021-05-07,2021-02-19,2020-11-04,2020-08-04,2020-05-08,2020-02-21,2019-11-06,2019-08-05,2019-05-03,2019-02-27,2018-11-07,2018-08-07,2018-05-04,2018-02-16,2017-11-07,2017-08-07,2017-05-05,2017-02-17,2016-11-07,2016-08-05,2016-05-06,2016-02-19,2015-11-06,2015-08-07,2015-05-08,2015-02-20,2014-11-07,2014-08-07,2014-05-09,2014-02-21,2013-11-12,2013-08-09,2013-05-08,2013-03-15,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
totalAssets,136221000000.00,135367000000.00,134544000000.00,138805000000.00,141325000000.00,143186000000.00,143211000000.00,146529000000.00,148858000000.00,147972000000.00,150501000000.00,150565000000.00,149621000000.00,149530000000.00,91199000000.00,89115000000.00,59441000000.00,57142000000.00,56769000000.00,59352000000.00,66164000000.00,61641000000.00,69342000000.00,70786000000.00,68840000000.00,66994000000.00,65664000000.00,66099000000.00,66626000000.00,67211000000.00,53720000000.00,53050000000.00,54832000000.00,53855000000.00,26699000000.00,27547000000.00,28454000000.00,29045000000.00,28657000000.00,29198000000.00,28252000000.00,27910000000.00,27169000000.00,27008000000.00,22729979000.00,17709554000.00,18961563000.00,19657166000.00,,,,21134705000.00
intangibleAssets,58603000000.00,62862000000.00,64848000000.00,67439000000.00,68725000000.00,71823000000.00,73986000000.00,75951000000.00,77456000000.00,79340000000.00,81293000000.00,82876000000.00,74643000000.00,76463000000.00,18203000000.00,18649000000.00,19036000000.00,20459000000.00,20846000000.00,21233000000.00,26625000000.00,26903000000.00,27230000000.00,27559000000.00,28167000000.00,28366000000.00,28629000000.00,28897000000.00,29113000000.00,29450000000.00,19512000000.00,19709000000.00,19822000000.00,19937000000.00,1478000000.00,1513000000.00,1540000000.00,1695000000.00,1802000000.00,1890000000.00,1993000000.00,2101000000.00,2153000000.00,2323000000.00,2431057000.00,2540297000.00,2744549000.00,2910167000.00,,,,9888360000.00
earningAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherCurrentAssets,4541000000.00,4540000000.00,4460000000.00,4401000000.00,4570000000.00,4506000000.00,4721000000.00,4993000000.00,4333000000.00,4099000000.00,3932000000.00,3562000000.00,3169000000.00,2803000000.00,2410000000.00,2354000000.00,2060000000.00,2307000000.00,1803000000.00,1895000000.00,2114000000.00,2729000000.00,3391000000.00,4741000000.00,2700000000.00,3316000000.00,3195000000.00,3562000000.00,1711000000.00,1985000000.00,1480000000.00,1458000000.00,2248000000.00,2608000000.00,2106000000.00,2299000000.00,4824000000.00,2689000000.00,2535000000.00,2000000000.00,1977000000.00,2068000000.00,2108000000.00,1989000000.00,2288746000.00,2061643000.00,2145500000.00,2011506000.00,,,,2125854000.00
totalLiab,124092000000.00,122469000000.00,121241000000.00,121518000000.00,125298000000.00,128498000000.00,126897000000.00,131093000000.00,135281000000.00,135378000000.00,136768000000.00,137468000000.00,134332000000.00,134798000000.00,98614000000.00,97287000000.00,67667000000.00,65708000000.00,64595000000.00,67798000000.00,69085000000.00,65016000000.00,65789000000.00,65689000000.00,62153000000.00,60985000000.00,60666000000.00,61463000000.00,60157000000.00,61571000000.00,49077000000.00,49105000000.00,49969000000.00,48351000000.00,25322000000.00,25805000000.00,23809000000.00,23827000000.00,23960000000.00,24706000000.00,24675000000.00,24352000000.00,24212000000.00,23645000000.00,7061143000.00,6204479000.00,6910794000.00,7433453000.00,,,,5431706000.00
totalStockholderEquity,12094000000.00,12866000000.00,13274000000.00,17254000000.00,15994000000.00,14653000000.00,16283000000.00,15408000000.00,13550000000.00,12569000000.00,13710000000.00,13076000000.00,15270000000.00,14708000000.00,-7415000000.00,-8172000000.00,-8226000000.00,-8566000000.00,-7826000000.00,-8446000000.00,-2921000000.00,-3375000000.00,3553000000.00,5097000000.00,6687000000.00,6009000000.00,4998000000.00,4636000000.00,6469000000.00,5640000000.00,4643000000.00,3945000000.00,4863000000.00,5504000000.00,1377000000.00,1742000000.00,4645000000.00,5218000000.00,4697000000.00,4492000000.00,3577000000.00,3558000000.00,2957000000.00,3363000000.00,15668836000.00,11505075000.00,12050769000.00,12223713000.00,,,,15702999000.00
deferredLongTermLiab,,2124000000.00,2110000000.00,2190000000.00,1972000000.00,2255000000.00,2831000000.00,3009000000.00,3602000000.00,3661000000.00,3768000000.00,3646000000.00,4485000000.00,4785000000.00,959000000.00,1130000000.00,1058000000.00,1148000000.00,1116000000.00,1067000000.00,1490000000.00,1670000000.00,2304000000.00,2490000000.00,6147000000.00,6391000000.00,6797000000.00,6890000000.00,6124000000.00,7180000000.00,5412000000.00,5276000000.00,5996000000.00,6059000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,
otherCurrentLiab,29658000000.00,27036000000.00,24789000000.00,22468000000.00,21533000000.00,20288000000.00,22569000000.00,19817000000.00,21861000000.00,20783000000.00,20604000000.00,17883000000.00,19404000000.00,19275000000.00,12709000000.00,10380000000.00,12217000000.00,11300000000.00,11826000000.00,10385000000.00,11366000000.00,10694000000.00,10677000000.00,8752000000.00,9212000000.00,8839000000.00,8419000000.00,7972000000.00,9077000000.00,8755000000.00,8239000000.00,6866000000.00,8045000000.00,7251000000.00,6460000000.00,6073000000.00,6312000000.00,6046000000.00,6196000000.00,5515000000.00,6441000000.00,6373000000.00,6330000000.00,5178000000.00,4943985000.00,4502603000.00,5038830000.00,5479648000.00,,,,3404464000.00
