,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,1999-12-31,1999-09-30,1999-06-30,1999-03-31,1998-12-31,1998-09-30,1998-06-30,1998-03-31,1997-12-31,1997-09-30,1997-06-30
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,1999-12-31,1999-09-30,1999-06-30,1999-03-31,1998-12-31,1998-09-30,1998-06-30,1998-03-31,1997-12-31,1997-09-30,1997-06-30
filing_date,2023-09-30,2023-08-03,2023-03-31,2023-03-17,2022-09-30,2022-08-09,2022-03-31,2022-03-18,2021-09-30,2021-06-30,2021-03-31,2021-03-22,2020-09-30,2020-06-30,2020-03-31,2020-03-24,2019-09-30,2019-06-30,2019-03-31,2019-03-22,2018-09-30,2018-06-30,2018-03-31,2018-03-19,2017-09-30,2017-06-30,2017-03-31,2017-03-22,2016-09-30,2016-06-30,2016-03-31,2016-03-14,2015-09-30,2015-06-30,2015-03-31,2015-03-25,2014-09-30,2014-06-30,2014-03-31,2014-03-25,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,1999-12-31,1999-09-30,1999-06-30,1999-03-31,1998-12-31,1998-09-30,1998-06-30,1998-03-31,1997-12-31,1997-09-30,1997-06-30
currency_symbol,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL,BRL
totalAssets,137914200000.00,133294400000.00,135466700000.00,137958100000.00,142063954000.00,136633408000.00,127399920000.00,138602500000.00,135133255000.00,124440135000.00,133417831000.00,125196600000.00,127056787000.00,121393008000.00,113687561000.00,101742900000.00,102475317000.00,98738979000.00,96905532000.00,94126100000.00,95691043000.00,90921356000.00,82378945000.00,86851900000.00,83020423000.00,84124011000.00,80733942000.00,83841400000.00,79110196000.00,76656712000.00,80248015000.00,90176300000.00,88043173000.00,74436200000.00,75101200000.00,72143200000.00,65125900000.00,62989000000.00,63297000000.00,68674000000.00,59618974000.00,50982700000.00,48728570000.00,54159900000.00,49391546000.00,48521976000.00,45822291000.00,46139400000.00,45166496000.00,41842844000.00,41698184000.00,42678300000.00,42934285000.00,41063436000.00,40174500000.00,40101000000.00,39253762000.00,40094900000.00,41670600000.00,41813000000.00,34323307668.00,33278572182.06,34209291045.00,35475800000.00,34683193695.50,34693585400.00,34451304878.10,35558964085.00,35475117196.00,32460481434.57,32554500919.62,33471890180.82,33141869887.50,30208776318.00,31271578579.64,33016500000.00,31828726546.39,14068563191.73,14162573290.50,14830100000.00,14138352441.08,11765448280.80,12793467526.20,12381391245.72,12209957737.76,11015581096.20,9952515263.20,11028616633.80,9892333259.50,8594008295.70,8744123312.64,8638819954.46,8245947361.41,8126031812.49,5296422542.40,5425908739.30,5138659530.00,4912432200.00,5229367236.45,4694219460.00,4544175320.00,4376805720.00,4387341900.00,4630060800.00,4400075750.00,4119657850.00
intangibleAssets,9464800000.00,9141400000.00,9250400000.00,9222200000.00,9176199000.00,8552850000.00,7732029000.00,8689000000.00,8205130000.00,7603171000.00,8363842000.00,7580600000.00,8062660000.00,7912013000.00,7842459000.00,6306400000.00,6328636000.00,5881138000.00,5845036000.00,5840600000.00,5752561000.00,4956525000.00,4606773000.00,4674700000.00,4591168000.00,5239605000.00,5098985000.00,5245900000.00,4740515000.00,4800948000.00,5061496000.00,5092200000.00,5057876000.00,4129400000.00,4337900000.00,3754900000.00,3500600000.00,3237900000.00,3188700000.00,3213600000.00,3112286000.00,3139800000.00,2900501000.00,2935400000.00,2611392000.00,2636089000.00,1734097000.00,1763000000.00,1791373000.00,1732448000.00,1807216000.00,1823200000.00,1833822000.00,1915955000.00,1920300000.00,1932600000.00,1922023000.00,2085100000.00,2353400000.00,2492900000.00,441459876.00,433844819.28,415422624.00,8646205000.00,,,,8439321000.00,,,,7176392000.00,,16981619382.00,17711284820.81,6909792000.00,,1770744155.13,,643938000.00,,,,626898582.18,,,,617562272.10,,,,614695022.94,,,,23955951.30,,,,,,,,,,
earningAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherCurrentAssets,1037700000.00,1290600000.00,1320000000.00,1037900000.00,1290491000.00,1223404000.00,1221750000.00,1082900000.00,1173693000.00,1139967000.00,1024665000.00,850100000.00,825405000.00,975988000.00,1052380000.00,985500000.00,861474000.00,1103052000.00,1105090000.00,1202900000.00,919741000.00,1195149000.00,1291059000.00,24157100000.00,1049532000.00,1251873000.00,1135715000.00,1392200000.00,967338000.00,1182472000.00,1264188000.00,1268000000.00,1292365000.00,1324500000.00,1267900000.00,1388800000.00,,,,1397000000.00,130746000.00,-100000.00,3959000.00,1055300000.00,4516000.00,4216000.00,,400000.00,400000.00,3141000.00,50481000.00,51800000.00,60182000.00,60182000.00,60000000.00,60100000.00,62399000.00,62400000.00,66600000.00,67800000.00,2325511864.00,291751527.92,510006951.00,927500000.00,547631923.30,465078032.80,441247950.00,177671370.00,749118365.50,674542852.20,1345223018.88,689368437.66,998494695.00,925001406.00,982306580.01,339800000.00,697751398.36,756723367.08,591483359.09,255900000.00,963464927.60,711918948.48,743087962.11,420796102.50,630866718.04,571958172.40,438796716.80,536669596.20,477888870.00,430064035.50,385955696.81,246949668.72,436425979.11,502113868.70,300150275.20,213792069.40,281296755.00,117177736.00,538684497.87,201406940.00,292744400.00,,47185500.00,147758400.00,26730200.00,992102400.00
totalLiab,46353000000.00,46928400000.00,49029800000.00,54630300000.00,50512483000.00,49046382000.00,47203479000.00,54584900000.00,46968457000.00,44338329000.00,49787436000.00,50045500000.00,47482642000.00,45860711000.00,41578491000.00,39186900000.00,35453865000.00,35810203000.00,36414895000.00,36578700000.00,35668688000.00,37481815000.00,32610697000.00,86851900000.00,34080745000.00,34391949000.00,32053069000.00,37190200000.00,29946276000.00,30594093000.00,31227909000.00,39842600000.00,37740450000.00,28510400000.00,28988800000.00,28498500000.00,21501800000.00,21040400000.00,23191400000.00,24676600000.00,19933375000.00,18879500000.00,18981298000.00,24236100000.00,20672041000.00,20688674000.00,18277455000.00,20310600000.00,19969762000.00,16819214000.00,17363704000.00,18113400000.00,18589063000.00,16901938000.00,17283000000.00,17804900000.00,17717569000.00,18339200000.00,19592800000.00,20801400000.00,18094969880.00,16602692663.60,16816569590.00,17868600000.00,17412609389.70,16709795406.00,15547444545.30,16115264115.00,15756078180.00,12629161103.79,12878995231.92,13494469942.59,13154648265.00,12962327364.00,14138803860.30,15822300000.00,13889037208.77,9880473317.43,9586009564.52,10325500000.00,9982363875.40,7361947161.60,8078882682.33,8172594823.20,8284678700.52,7458126637.20,6715070837.60,7576313321.40,6202625824.00,5107053498.00,4972953409.76,5049745176.51,4743270274.16,4853515018.37,3430092015.20,3761800316.30,3530310750.00,3316785680.00,3618290729.76,3207408540.00,3111031480.00,2908617680.00,2917087200.00,3010521600.00,2721112450.00,2387246400.00
totalStockholderEquity,90254900000.00,85074600000.00,84999600000.00,81955600000.00,90178032000.00,86263126000.00,78923098000.00,82643000000.00,86771210000.00,78889789000.00,82044123000.00,73815600000.00,78006278000.00,73922755000.00,70359906000.00,61278000000.00,65751759000.00,61625190000.00,59108516000.00,56340600000.00,58957736000.00,52260753000.00,48823821000.00,46008800000.00,47166109000.00,47769219000.00,46844755000.00,44825000000.00,47431606000.00,44301007000.00,47077862000.00,48331900000.00,48274753000.00,44190400000.00,44318000000.00,42221600000.00,42395300000.00,40814500000.00,38922500000.00,42838800000.00,38633977000.00,30988300000.00,28687612000.00,28863700000.00,27495803000.00,26727978000.00,27309386000.00,25611300000.00,25007983000.00,24822342000.00,24140591000.00,24361900000.00,24111097000.00,23926067000.00,22628700000.00,22017400000.00,21339295000.00,21515000000.00,21836200000.00,20787500000.00,16229351736.00,16672973238.88,17355360113.00,17419900000.00,17110059242.50,17811608443.20,18681393196.20,19221538252.50,19531798908.50,19758809913.78,19565797412.49,19854896307.96,19856503012.50,17072819757.00,16923667831.07,16995900000.00,17666881592.03,3949762056.84,4338301352.74,4308200000.00,4014261709.08,4303858682.88,4585340160.81,4129596489.84,3849348511.24,3460037626.60,3138178337.60,3363377800.80,3278091931.00,3092461338.90,3249070067.62,3076647585.73,3001902246.20,1205669598.18,1790388323.20,1606388917.60,1543692690.00,1541298200.00,1561271239.29,1436066520.00,1384432120.00,1417297640.00,1417839000.00,1557266400.00,1605564800.00,1652104550.00
deferredLongTermLiab,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,702200000.00,,,,715800000.00,,,,625200000.00,,,,653700000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
