,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-03-31,2000-12-31,2001-09-30,2001-06-30
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-03-31,2000-12-31,,
filing_date,2023-10-27,2023-07-28,2023-04-28,2023-03-01,2022-10-28,2022-07-28,2022-05-04,2022-03-01,2021-10-26,2021-07-28,2021-04-27,2021-03-01,2020-11-03,2020-07-31,2020-05-11,2020-03-02,2019-10-30,2019-07-31,2019-05-08,2019-02-28,2018-10-24,2018-07-25,2018-04-26,2018-02-27,2017-10-25,2017-07-26,2017-04-27,2017-02-23,2016-10-26,2016-07-27,2016-04-27,2016-02-19,2015-10-22,2015-07-23,2015-04-22,2015-02-24,2014-10-22,2014-07-23,2014-04-24,2014-02-25,2013-10-24,2013-07-24,2013-04-24,2013-02-21,2012-10-24,2012-07-26,2012-04-26,2012-02-22,2011-10-26,2011-07-27,2011-04-27,2011-02-28,2010-10-28,2010-07-28,2010-04-30,2010-03-01,2009-10-30,2009-07-31,2009-04-30,2009-03-16,2008-10-30,2008-07-31,2008-05-07,2008-02-29,2007-11-07,2007-08-09,2007-05-09,2007-03-08,2006-11-07,2006-08-08,2006-05-09,2006-03-16,2005-10-09,2005-08-05,2005-05-06,2005-03-15,2004-11-08,2004-08-06,2004-05-10,2004-03-11,2003-11-14,2003-08-14,2003-05-15,2003-03-25,2002-11-14,2002-08-14,2002-05-08,,,,,
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,,
totalAssets,8255000000.00,8165900000.00,8182800000.00,8021400000.00,7816300000.00,7638800000.00,7860100000.00,8002600000.00,3571400000.00,3524900000.00,3582300000.00,3676300000.00,3530600000.00,2934400000.00,3069200000.00,2911300000.00,2816500000.00,2814000000.00,2904900000.00,2695400000.00,2516300000.00,2520900000.00,2429400000.00,2356700000.00,2269800000.00,2367000000.00,2399700000.00,2336100000.00,2326500000.00,2372100000.00,2335500000.00,2305900000.00,2243400000.00,2311800000.00,2177600000.00,2192000000.00,1925500000.00,1935900000.00,1873500000.00,1888600000.00,1775500000.00,1755300000.00,1657600000.00,1661400000.00,1490200000.00,1490400000.00,1482600000.00,1419400000.00,1308900000.00,1338200000.00,1441500000.00,1486300000.00,1326500000.00,1338700000.00,1346600000.00,1400900000.00,1271600000.00,1426300000.00,1472300000.00,1654300000.00,2064500000.00,2163400000.00,2019700000.00,2016300000.00,1915357000.00,1987556000.00,1978212000.00,2030837000.00,1930747000.00,1974287000.00,1963756000.00,1930800000.00,1782181000.00,1888499000.00,1938975000.00,1897959000.00,1793917000.00,1937606000.00,1881042000.00,1814279000.00,1676093000.00,1691230000.00,1619168000.00,1605644000.00,1503873000.00,1532560000.00,1504372000.00,1460657000.00,,1404200000.00,,
intangibleAssets,1800100000.00,1800100000.00,1800100000.00,1800100000.00,1327300000.00,1327300000.00,1335700000.00,1335700000.00,425200000.00,425200000.00,425200000.00,425200000.00,101900000.00,113200000.00,113200000.00,121700000.00,65800000.00,65800000.00,65800000.00,65800000.00,69500000.00,69500000.00,60400000.00,49600000.00,54700000.00,54700000.00,54800000.00,48500000.00,48500000.00,48500000.00,48500000.00,48500000.00,130200000.00,131200000.00,102900000.00,152600000.00,61900000.00,61900000.00,58100000.00,93100000.00,52800000.00,28400000.00,28400000.00,63400000.00,18700000.00,18700000.00,18700000.00,52100000.00,18800000.00,18800000.00,18800000.00,55200000.00,,,,18500000.00,,,,15700000.00,560500000.00,560400000.00,560700000.00,536469000.00,516591000.00,501884000.00,39518000.00,39518000.00,449785000.00,450362000.00,42853000.00,42853000.00,467188000.00,464947000.00,461189000.00,505834000.00,455184000.00,457162000.00,430625000.00,407336000.00,476271000.00,446426000.00,402133000.00,402133000.00,399198000.00,408713000.00,392287000.00,392856000.00,,364164000.00,,
earningAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherCurrentAssets,812800000.00,346600000.00,298800000.00,181700000.00,298600000.00,257500000.00,1112800000.00,157700000.00,183400000.00,179700000.00,182100000.00,141800000.00,170100000.00,110600000.00,122100000.00,90400000.00,128900000.00,128400000.00,120600000.00,92500000.00,125500000.00,130700000.00,119200000.00,94600000.00,117700000.00,129200000.00,103900000.00,88500000.00,93700000.00,97200000.00,94600000.00,84100000.00,96100000.00,100100000.00,95400000.00,85200000.00,79900000.00,323400000.00,317200000.00,66100000.00,75200000.00,292200000.00,66000000.00,331700000.00,270600000.00,160400000.00,167800000.00,170200000.00,115600000.00,123500000.00,149200000.00,202900000.00,138300000.00,135700000.00,152800000.00,143600000.00,149800000.00,250100000.00,171900000.00,104600000.00,84400000.00,91900000.00,96100000.00,93626000.00,20228000.00,18976000.00,22359000.00,70389000.00,12451000.00,19677000.00,49310000.00,51498000.00,60538000.00,44660000.00,16065000.00,33553000.00,46517000.00,131786000.00,44040000.00,45228000.00,47405000.00,44846000.00,29265000.00,33600000.00,37974000.00,35388000.00,38680000.00,25253000.00,,19694000.00,,
totalLiab,994500000.00,5097400000.00,5133600000.00,5118100000.00,5173500000.00,5228400000.00,5677600000.00,5887100000.00,2270100000.00,2376600000.00,2584300000.00,2770800000.00,2718700000.00,2221300000.00,2408300000.00,2265000000.00,2216500000.00,2257700000.00,2400300000.00,2222200000.00,2035300000.00,2070400000.00,2005100000.00,1962500000.00,1922500000.00,2048900000.00,2101500000.00,2056400000.00,2070900000.00,2152500000.00,2093700000.00,1991400000.00,1928900000.00,1944100000.00,1799100000.00,1747100000.00,1401600000.00,1407100000.00,1361800000.00,1398000000.00,1304600000.00,1301700000.00,1228600000.00,1258600000.00,1104800000.00,1127200000.00,1134600000.00,1092800000.00,995500000.00,1027000000.00,1133700000.00,1199200000.00,1047700000.00,1073000000.00,1094100000.00,1157300000.00,1030600000.00,1193000000.00,1245800000.00,1431600000.00,1473600000.00,1571000000.00,1432600000.00,1432075000.00,1328171000.00,1399628000.00,1408854000.00,1419004000.00,1328431000.00,1386657000.00,1397474000.00,1383034000.00,1256539000.00,1384043000.00,1445368000.00,1417936000.00,1325943000.00,1482015000.00,1438182000.00,1380572000.00,1221564000.00,1253247000.00,1186979000.00,1178693000.00,1072934000.00,1116326000.00,1098559000.00,1117106000.00,,1082318000.00,,
totalStockholderEquity,3248500000.00,3068500000.00,3049200000.00,2903300000.00,2642800000.00,2410400000.00,2182500000.00,2115500000.00,1301300000.00,1148300000.00,998000000.00,905500000.00,811900000.00,713100000.00,660900000.00,646300000.00,600000000.00,556300000.00,504600000.00,473200000.00,481000000.00,450500000.00,424300000.00,394200000.00,347300000.00,318100000.00,298200000.00,279700000.00,255600000.00,219600000.00,241800000.00,314500000.00,314500000.00,367700000.00,378500000.00,444900000.00,523900000.00,528800000.00,511700000.00,490600000.00,470900000.00,453600000.00,429000000.00,402800000.00,385400000.00,363200000.00,348000000.00,326600000.00,313400000.00,311200000.00,307800000.00,287100000.00,278800000.00,265700000.00,252500000.00,243600000.00,241000000.00,233300000.00,226500000.00,222700000.00,590900000.00,592400000.00,587100000.00,584225000.00,587186000.00,587928000.00,569358000.00,611833000.00,602316000.00,587630000.00,566282000.00,547766000.00,525642000.00,504456000.00,493607000.00,480023000.00,467974000.00,455591000.00,442860000.00,433707000.00,454529000.00,437983000.00,432189000.00,426951000.00,430939000.00,416234000.00,405813000.00,343551000.00,,321882000.00,,
deferredLongTermLiab,,101700000.00,99300000.00,100700000.00,,,,,35300000.00,34600000.00,36200000.00,34600000.00,24700000.00,24700000.00,24900000.00,26000000.00,20400000.00,20700000.00,21300000.00,21700000.00,17400000.00,16600000.00,16300000.00,12500000.00,9100000.00,9000000.00,9200000.00,8900000.00,18700000.00,13700000.00,12200000.00,13700000.00,4500000.00,4200000.00,5300000.00,3900000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
