,2023-07-31,2023-04-30,2023-01-31,2022-10-31,2022-07-31,2022-04-30,2022-01-31,2021-10-31,2021-07-31,2021-04-30,2021-01-31,2020-10-31,2020-07-31,2020-04-30,2020-01-31,2019-10-31,2019-07-31,2019-04-30,2019-01-31,2018-10-31,2018-07-31,2018-04-30,2018-01-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-07-31,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2012-07-31,2012-04-30,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-07-31,2010-04-30,2010-01-31,2009-10-31,2009-07-31,2009-04-30,2009-01-31,2008-10-31,2008-07-31,2008-04-30,2008-01-31,2007-10-31,2007-07-31,2007-04-30,2007-01-31,2006-10-31,2006-07-31,2006-04-30,2006-01-31,2005-10-31,2005-07-31,2005-04-30,2005-01-31,2004-10-31,2004-07-31,2004-04-30,2004-01-31,2003-10-31,2003-07-31,2003-04-30,2003-01-31,2002-10-31,2002-07-31,2002-04-30,2002-01-31,2001-10-31,2001-07-31,2001-04-30,2001-01-31,2000-10-31,2000-07-31,2000-04-30,2000-01-31,1999-10-31,1999-07-31,1999-04-30,1999-01-31,1998-10-31,1998-07-31,1998-04-30,1998-01-31,1997-10-31,1997-07-31,1997-04-30,1997-01-31,1996-10-31,1996-07-31,1996-04-30,1996-01-31,1995-10-31,1995-07-31,1995-04-30,1995-01-31,1994-10-31,1994-07-31,1994-04-30,1994-01-31,1993-10-31,1993-07-31,1993-04-30,1993-01-31,1992-10-31,1992-07-31,1992-04-30,1992-01-31,1991-10-31,1991-07-31,1991-04-30,1991-01-31,1990-10-31,1990-07-31,1990-04-30,1990-01-31,1989-10-31,1989-07-31,1989-04-30,1989-01-31,1988-10-31,1988-07-31,1988-04-30,1988-01-31,1987-10-31,1987-07-31,1987-04-30,1987-01-31,1986-10-31,1986-07-31,1986-04-30,1986-01-31,1985-10-31
date,2023-07-31,2023-04-30,2023-01-31,2022-10-31,2022-07-31,2022-04-30,2022-01-31,2021-10-31,2021-07-31,2021-04-30,2021-01-31,2020-10-31,2020-07-31,2020-04-30,2020-01-31,2019-10-31,2019-07-31,2019-04-30,2019-01-31,2018-10-31,2018-07-31,2018-04-30,2018-01-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-07-31,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2012-07-31,2012-04-30,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-07-31,2010-04-30,2010-01-31,2009-10-31,2009-07-31,2009-04-30,2009-01-31,2008-10-31,2008-07-31,2008-04-30,2008-01-31,2007-10-31,2007-07-31,2007-04-30,2007-01-31,2006-10-31,2006-07-31,2006-04-30,2006-01-31,2005-10-31,2005-07-31,2005-04-30,2005-01-31,2004-10-31,2004-07-31,2004-04-30,2004-01-31,2003-10-31,2003-07-31,2003-04-30,2003-01-31,2002-10-31,2002-07-31,2002-04-30,2002-01-31,2001-10-31,2001-07-31,2001-04-30,2001-01-31,2000-10-31,2000-07-31,2000-04-30,2000-01-31,1999-10-31,1999-07-31,1999-04-30,1999-01-31,1998-10-31,1998-07-31,1998-04-30,1998-01-31,1997-10-31,1997-07-31,1997-04-30,1997-01-31,1996-10-31,1996-07-31,1996-04-30,1996-01-31,1995-10-31,1995-07-31,1995-04-30,1995-01-31,1994-10-31,1994-07-31,1994-04-30,1994-01-31,1993-10-31,1993-07-31,1993-04-30,1993-01-31,1992-10-31,1992-07-31,1992-04-30,1992-01-31,1991-10-31,1991-07-31,1991-04-30,1991-01-31,1990-10-31,1990-07-31,1990-04-30,1990-01-31,1989-10-31,1989-07-31,1989-04-30,1989-01-31,1988-10-31,1988-07-31,1988-04-30,1988-01-31,1987-10-31,1987-07-31,1987-04-30,1987-01-31,1986-10-31,1986-07-31,1986-04-30,1986-01-31,1985-10-31
filing_date,2023-09-07,2023-06-07,2023-03-08,2022-12-21,2022-09-09,2022-06-09,2022-03-09,2021-12-22,2021-09-09,2021-06-09,2021-03-10,2020-12-17,2020-09-09,2020-06-18,2020-03-05,2019-12-20,2019-09-06,2019-06-06,2019-03-07,2018-12-21,2018-09-07,2018-06-07,2018-03-07,2017-12-22,2017-09-07,2017-06-08,2017-03-08,2016-12-21,2016-09-08,2016-06-09,2016-03-09,2015-12-17,2015-09-03,2015-06-03,2015-03-04,2014-12-17,2014-09-04,2014-06-04,2014-03-05,2013-12-18,2013-09-05,2013-06-05,2013-03-07,2012-12-20,2012-09-06,2012-06-07,2012-03-06,2011-12-23,2011-09-09,2011-06-09,2011-03-10,2010-12-23,2010-09-03,2010-06-04,2010-03-04,2009-12-22,2009-09-03,2009-06-05,2009-03-06,2008-12-22,2008-09-08,2008-06-06,2008-03-10,2007-12-21,2007-09-10,2007-06-08,2007-03-09,2006-12-22,2006-09-08,2006-06-12,2006-03-29,,2005-09-09,2005-06-09,2005-03-10,2005-01-14,2004-09-09,2004-06-09,2004-03-11,2004-01-14,2003-09-11,2003-06-11,2003-03-12,2002-12-17,2002-09-12,2002-06-14,2002-03-14,2001-12-24,2001-09-14,2001-06-14,2001-03-16,2001-01-29,2000-09-13,2000-06-15,2000-03-15,2000-01-28,1999-09-14,1999-06-11,1999-03-16,1999-01-28,1998-09-14,1998-06-12,1998-03-16,1998-01-29,1997-09-15,1997-06-13,1997-03-17,1997-01-28,1996-09-13,1996-06-13,1996-03-15,1996-01-26,1995-09-14,1995-06-13,1995-03-17,1995-01-27,1994-09-13,1994-06-14,1994-03-16,1993-10-31,1993-07-31,1993-04-30,1993-01-31,1992-10-31,1992-07-31,1992-04-30,1992-01-31,1991-10-31,1991-07-31,1991-04-30,1991-01-31,1990-10-31,1990-07-31,1990-04-30,1990-01-31,1989-10-31,1989-07-31,1989-04-30,1989-01-31,1988-10-31,1988-07-31,1988-04-30,1988-01-31,1987-10-31,1987-07-31,1987-04-30,1987-01-31,1986-10-31,1986-07-31,1986-04-30,1986-01-31,1985-10-31
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
totalAssets,4970000000.00,4932900000.00,4918000000.00,4868900000.00,4607600000.00,4586300000.00,4504900000.00,4436200000.00,3897400000.00,3792000000.00,3782200000.00,3776900000.00,3668300000.00,4079200000.00,3847100000.00,3692600000.00,3744000000.00,3729900000.00,3686400000.00,3627500000.00,3740400000.00,3749900000.00,3797000000.00,3812600000.00,2352900000.00,2394200000.00,2411900000.00,2281200000.00,2239400000.00,2184500000.00,2255200000.00,2149800000.00,2264200000.00,2205600000.00,2230900000.00,2192900000.00,2168200000.00,2155500000.00,2165211000.00,2119236000.00,2103403000.00,2076390000.00,2088148000.00,1869251000.00,1886895000.00,1875944000.00,1886800000.00,1879598000.00,1926835000.00,1916991000.00,1955839000.00,1548670000.00,1528798000.00,1481909000.00,1524201000.00,1521153000.00,1561264000.00,1521179000.00,1571637000.00,1549913000.00,1611491000.00,1622114000.00,1628332000.00,1120673000.00,1044511000.00,1006179000.00,993091000.00,1016274000.00,920774000.00,899250000.00,903710000.00,903710000.00,877354000.00,871930000.00,874904000.00,842524000.00,800614000.00,796429000.00,789325000.00,795983000.00,739980000.00,729890000.00,717473000.00,704939000.00,704667000.00,668106000.00,677706000.00,683100000.00,656245000.00,661017000.00,638237000.00,641985000.00,608221000.00,594354000.00,571768000.00,563484000.00,544365000.00,522359000.00,513987000.00,501363000.00,495924000.00,479068000.00,481555000.00,467152000.00,409469000.00,402343000.00,394892000.00,379770000.00,370719000.00,354135000.00,348476000.00,334973000.00,323481000.00,319148000.00,309949000.00,299470000.00,284661000.00,283871000.00,270707000.00,268100000.00,236900000.00,233400000.00,230000000.00,226300000.00,225300000.00,226200000.00,223100000.00,211700000.00,215600000.00,216200000.00,211400000.00,201700000.00,199400000.00,197600000.00,193600000.00,190000000.00,,,,172000000.00,,,,152200000.00,,,,142100000.00,,,,134600000.00
intangibleAssets,321500000.00,340800000.00,360100000.00,378500000.00,381500000.00,399500000.00,407300000.00,424800000.00,207700000.00,218300000.00,229000000.00,239700000.00,251200000.00,262900000.00,284600000.00,297200000.00,310400000.00,325800000.00,340700000.00,355700000.00,369600000.00,387100000.00,404300000.00,430100000.00,95900000.00,101500000.00,104400000.00,103800000.00,111500000.00,124300000.00,130300000.00,111400000.00,119000000.00,118700000.00,122300000.00,128800000.00,127200000.00,134100000.00,137593000.00,144401000.00,149311000.00,156488000.00,160918000.00,109138000.00,114662000.00,117834000.00,123307000.00,128994000.00,135119000.00,140924000.00,162398000.00,65774000.00,62749000.00,54731000.00,57425000.00,60199000.00,63084000.00,56772000.00,59358000.00,62179000.00,52171000.00,54459000.00,56877000.00,24573000.00,24332000.00,25542000.00,22782000.00,23881000.00,24759000.00,26115000.00,268022000.00,268022000.00,267836000.00,259869000.00,261972000.00,249737000.00,245146000.00,244654000.00,202154000.00,201866000.00,182814000.00,185540000.00,181216000.00,171975000.00,165875000.00,124465000.00,113199000.00,113199000.00,119118000.00,114304000.00,109634000.00,110097000.00,110512000.00,109578000.00,107909000.00,105583000.00,105818000.00,106049000.00,102426000.00,102776000.00,102227000.00,100512000.00,99198000.00,100313000.00,84073000.00,82828000.00,80763000.00,76366000.00,76569000.00,69208000.00,69080000.00,69279000.00,68965000.00,65684000.00,65905000.00,61373000.00,61629000.00,61953000.00,57532000.00,57800000.00,37400000.00,35400000.00,34800000.00,32600000.00,32300000.00,32600000.00,32300000.00,30800000.00,33100000.00,33400000.00,32300000.00,32200000.00,30600000.00,30500000.00,30700000.00,29100000.00,,,,25000000.00,,,,22900000.00,,,,18600000.00,,,,17300000.00
earningAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherCurrentAssets,65300000.00,63100000.00,57300000.00,51600000.00,66600000.00,64100000.00,63800000.00,60100000.00,53900000.00,58400000.00,55400000.00,55900000.00,69000000.00,64200000.00,59500000.00,55400000.00,53500000.00,50900000.00,43700000.00,37000000.00,38200000.00,33300000.00,32100000.00,32800000.00,31300000.00,30600000.00,29300000.00,30000000.00,27600000.00,25100000.00,37200000.00,27000000.00,29600000.00,30100000.00,30800000.00,30200000.00,124100000.00,121900000.00,120114000.00,111777000.00,98545000.00,97387000.00,95966000.00,90728000.00,93521000.00,94952000.00,91139000.00,91585000.00,94012000.00,97911000.00,3705000.00,4260000.00,5554000.00,6009000.00,8480000.00,10787000.00,16780000.00,21180000.00,17004000.00,34508000.00,74041000.00,144990000.00,146387000.00,111435000.00,112253000.00,113143000.00,108327000.00,90980000.00,92582000.00,99175000.00,98276000.00,94876000.00,40561000.00,13912000.00,87452000.00,79010000.00,79412000.00,82501000.00,83917000.00,80376000.00,28831000.00,74901000.00,72245000.00,69927000.00,75045000.00,67521000.00,70594000.00,69314000.00,63966000.00,51973000.00,50365000.00,49126000.00,49644000.00,48130000.00,49009000.00,44558000.00,45045000.00,43730000.00,41813000.00,38950000.00,38988000.00,38925000.00,36596000.00,36973000.00,15000.00,35650000.00,34029000.00,31980000.00,33274000.00,33665000.00,31574000.00,30563000.00,28412000.00,27433000.00,25455000.00,23866000.00,23542000.00,23222000.00,20962000.00,21000000.00,19100000.00,18600000.00,17000000.00,16600000.00,15600000.00,15900000.00,16600000.00,15300000.00,12400000.00,11700000.00,8400000.00,9500000.00,6900000.00,7400000.00,6600000.00,5300000.00,,,,5100000.00,,,,4500000.00,,,,5300000.00,,,,5100000.00
totalLiab,3109900000.00,3150100000.00,3181500000.00,3151700000.00,2927400000.00,2916700000.00,2849700000.00,2827000000.00,2317100000.00,2192200000.00,2213100000.00,2276600000.00,2217000000.00,2684000000.00,2287400000.00,2150600000.00,2240300000.00,2248500000.00,2225300000.00,2172900000.00,2284000000.00,2313300000.00,2380200000.00,2436900000.00,1384300000.00,1456600000.00,1504500000.00,1307200000.00,1241500000.00,1192300000.00,1259500000.00,1142300000.00,1277600000.00,1205400000.00,1247300000.00,1224100000.00,1214500000.00,1214700000.00,1237256000.00,1201729000.00,1209163000.00,1201657000.00,1228685000.00,1018853000.00,1061403000.00,1058102000.00,1081641000.00,1083712000.00,1142697000.00,1156734000.00,1206950000.00,809645000.00,811908000.00,780275000.00,828085000.00,834103000.00,886647000.00,857460000.00,918226000.00,905862000.00,974048000.00,1001693000.00,1021860000.00,514915000.00,450852000.00,424376000.00,441581000.00,475027000.00,429056000.00,425289000.00,427784000.00,427784000.00,404667000.00,407736000.00,417390000.00,400363000.00,345887000.00,343412000.00,340254000.00,351947000.00,340953000.00,339422000.00,335460000.00,318269000.00,323048000.00,299383000.00,307594000.00,321923000.00,297355000.00,317916000.00,304186000.00,319276000.00,301219000.00,300382000.00,287349000.00,280133000.00,270537000.00,260085000.00,261167000.00,257429000.00,265671000.00,259473000.00,271208000.00,262939000.00,214563000.00,215021000.00,213409000.00,209077000.00,207165000.00,197002000.00,196540000.00,186787000.00,181196000.00,181533000.00,176100000.00,168739000.00,158598000.00,161775000.00,151609000.00,151500000.00,128100000.00,127800000.00,126900000.00,125500000.00,128100000.00,131900000.00,131700000.00,122100000.00,129600000.00,132900000.00,130300000.00,122100000.00,122800000.00,123400000.00,121400000.00,120600000.00,,,,110100000.00,,,,81000000.00,,,,73900000.00,,,,70500000.00
totalStockholderEquity,1860100000.00,1782800000.00,1736500000.00,1717200000.00,1680200000.00,1669600000.00,1655200000.00,1609200000.00,1580300000.00,1599800000.00,1569100000.00,1500300000.00,1451300000.00,1395200000.00,1559700000.00,1542000000.00,1503700000.00,1481400000.00,1461100000.00,1454600000.00,1456400000.00,1436600000.00,1416800000.00,1375700000.00,968600000.00,937600000.00,907400000.00,974000000.00,997900000.00,992200000.00,995700000.00,1007500000.00,986600000.00,1000200000.00,983600000.00,968800000.00,953700000.00,940800000.00,927955000.00,917507000.00,894240000.00,874733000.00,859463000.00,850398000.00,825492000.00,817842000.00,805159000.00,795886000.00,784138000.00,760257000.00,748889000.00,739025000.00,716890000.00,701634000.00,696116000.00,687050000.00,674617000.00,663719000.00,653411000.00,644051000.00,637443000.00,620421000.00,606472000.00,605758000.00,593659000.00,581803000.00,551510000.00,541247000.00,491718000.00,473961000.00,475926000.00,475926000.00,472687000.00,464194000.00,457514000.00,442161000.00,454727000.00,453017000.00,449071000.00,444036000.00,399027000.00,390468000.00,382013000.00,386670000.00,381619000.00,368723000.00,370112000.00,361177000.00,358890000.00,343101000.00,334051000.00,322709000.00,307002000.00,293972000.00,284419000.00,283351000.00,273828000.00,262274000.00,252820000.00,243934000.00,230253000.00,219595000.00,210347000.00,204213000.00,194906000.00,187322000.00,181483000.00,170693000.00,163554000.00,157133000.00,151936000.00,148186000.00,142285000.00,137615000.00,133849000.00,130731000.00,126063000.00,122096000.00,119098000.00,116600000.00,108800000.00,105600000.00,103100000.00,100800000.00,97200000.00,94300000.00,91400000.00,89600000.00,86000000.00,83300000.00,81100000.00,79600000.00,76600000.00,74200000.00,72200000.00,69400000.00,,,,61900000.00,,,,71200000.00,,,,68200000.00,,,,64100000.00
deferredLongTermLiab,,88800000.00,95800000.00,,64900000.00,65600000.00,32000000.00,,,,3700000.00,,25900000.00,32400000.00,46400000.00,47700000.00,31600000.00,32600000.00,29200000.00,37800000.00,43500000.00,39900000.00,32800000.00,57300000.00,3200000.00,3300000.00,3400000.00,3500000.00,0.00,0.00,0.00,19100000.00,17200000.00,27200000.00,19900000.00,16400000.00,16400000.00,15400000.00,15007000.00,13074000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
