,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31
filing_date,2023-10-27,2023-07-28,2023-05-05,2023-02-17,2022-11-04,2022-07-29,2022-05-06,2022-02-18,2021-10-29,2021-07-30,2021-05-07,2021-02-19,2020-10-30,2020-07-31,2020-05-08,2020-02-14,2019-11-01,2019-08-02,2019-05-10,2019-02-15,2018-11-02,2018-08-03,2018-05-04,2018-02-23,2017-11-03,2017-08-04,2017-05-05,2017-03-03,2016-11-09,2016-08-05,2016-05-06,2016-02-26,2015-11-06,2015-07-31,2015-05-01,2015-02-13,2014-11-07,2014-08-01,2014-05-01,2014-02-14,2013-11-08,2013-08-02,2013-05-03,2013-02-15,2012-11-02,2012-08-03,2012-05-04,2012-03-02,2011-11-04,2011-08-05,2011-05-06,2011-03-04,2010-11-05,2010-08-06,2010-05-07,2010-03-09,2009-11-06,2009-08-07,2009-05-11,2009-03-09,2008-11-10,2008-08-08,2008-05-08,2008-03-05,2007-11-09,2007-08-07,2007-05-07,2007-02-28,2006-11-08,2006-08-09,2006-05-09,2006-03-15,2005-11-09,2005-08-09,2005-05-13,2005-03-31,2004-11-12,2004-08-03,2004-05-13
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,
totalAssets,15902689000.00,16157627000.00,16588224000.00,17038985000.00,17762129000.00,17579590000.00,16308906000.00,15073845000.00,12169584000.00,9060800000.00,8130859000.00,7660986000.00,6689218000.00,6390124000.00,6934650000.00,6239160000.00,5395634000.00,5601730000.00,4597725000.00,4612175000.00,4534260000.00,4204320000.00,3748768000.00,3625945000.00,3058177862.00,2935445368.00,2914427834.00,2970786246.00,2650220728.00,1916746481.00,1872420460.00,1827391944.00,1847430495.00,1833045973.00,1901690415.00,1880422590.00,1917155437.00,1902972869.00,1900310225.00,1877472482.00,1976560005.00,1933342583.00,1856950128.00,1701881280.00,1666978182.00,1690969525.00,1753500765.00,1776714330.00,1749448086.00,1763634233.00,1766684286.00,1731207928.00,1798000000.00,1821517810.00,1946563701.00,2060774772.00,2191883597.00,2302770048.00,2495754371.00,2579236489.00,2768697205.00,2902069766.00,2822290232.00,2901493534.00,2931272757.00,2921308320.00,2500892065.00,2204345211.00,1817013838.00,1662820528.00,1597557160.00,1396075357.00,1234819116.00,1205872607.00,1053956113.00,912295177.00,877981908.00,743274328.00,549413662.00
intangibleAssets,392203000.00,394410000.00,396634000.00,401471000.00,403886000.00,411534000.00,422036000.00,422734000.00,417283000.00,418653000.00,406980000.00,379974000.00,335235000.00,313288000.00,288954000.00,286420000.00,283688000.00,276648000.00,277639000.00,273770000.00,259401000.00,257021000.00,255732000.00,252608000.00,247875659.00,243083459.00,238931168.00,227742986.00,224297210.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
earningAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherCurrentAssets,,,,,1466407000.00,-53037000.00,-404207186.00,-84318000.00,-12664000.00,-11084000.00,885581000.00,1184389000.00,741401000.00,,,5818122000.00,-5011000.00,-16986000.00,-1975000.00,-1287000.00,-97505000.00,-10162000.00,-3719000.00,-688000.00,-12613313.00,-5628805.00,-37030187.00,-1464732.00,-493412.00,-781782.00,28154683.00,586938.00,16976936.00,8741947.00,-10995.00,14345218.00,25802275.00,-358110.00,11163350.00,11379618.00,11487320.00,-25283.00,-458876.00,-24094.00,-363808.00,3657984.00,45576567.00,65704490.00,47085781.00,43692326.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
totalLiab,12662188000.00,12997986000.00,13430767000.00,13967106000.00,14808123000.00,14666594000.00,13536858000.00,12523861000.00,10034177000.00,7104033000.00,6460167000.00,6178301000.00,5365982000.00,5132348000.00,5708600000.00,4883133000.00,4197238000.00,4415752000.00,3520342000.00,3546609000.00,3567788000.00,3260808000.00,2860898000.00,2761389000.00,2212434653.00,2097463770.00,2154761951.00,2223748318.00,1924789186.00,1351073266.00,1311065949.00,1262301169.00,1281766484.00,1276823533.00,1350764213.00,1344967119.00,1382989035.00,1426381550.00,1432419929.00,1439876200.00,1538808285.00,1536118513.00,1493561108.00,1470620158.00,1454654049.00,1478576929.00,1572920385.00,1603653797.00,1551777935.00,1556574584.00,1547122455.00,1524792685.00,1563400000.00,1578443771.00,1843064999.00,1962140802.00,1968936188.00,2030828226.00,2209301930.00,2298241821.00,2309923896.00,2432890780.00,2386880349.00,2433376191.00,2441832729.00,2429478592.00,2129601561.00,1842765882.00,1463339824.00,1296901286.00,1235343086.00,1044775284.00,883200313.00,858696083.00,723690229.00,589292273.00,582061920.00,455010791.00,394567669.00
totalStockholderEquity,3104785000.00,3023708000.00,3021506000.00,2936996000.00,2820839000.00,2779477000.00,2638785000.00,2418122000.00,2008873000.00,1832858000.00,1528431000.00,1344371000.00,1193037000.00,1105906000.00,1076178000.00,1184610000.00,1028014000.00,1017019000.00,909243000.00,895238000.00,797313000.00,769999000.00,714606000.00,695825000.00,680501908.00,674579943.00,596936316.00,587140735.00,570619035.00,565673215.00,561354511.00,565090775.00,565664011.00,556222440.00,550926202.00,535455471.00,534166402.00,476591319.00,467890296.00,437596282.00,436787642.00,395288632.00,361453763.00,229329349.00,210392352.00,210459835.00,178647618.00,171126405.00,195736016.00,205124578.00,217626942.00,204415381.00,234600000.00,241135000.00,101559276.00,96693606.00,220949249.00,270002356.00,284570267.00,281005649.00,458951142.00,469178986.00,367879894.00,395263085.00,413077142.00,414231249.00,304453048.00,296111077.00,289524411.00,300164571.00,296620636.00,287608517.00,287802298.00,283709184.00,269483751.00,262753173.00,247344723.00,239547000.00,111218807.00
deferredLongTermLiab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
