,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,1999-12-31,1999-09-30,1999-06-30,1999-03-31,1998-12-31,1998-09-30,1998-06-30,1998-03-31,1997-12-31,1997-09-30,1997-06-30,1997-03-31,1996-12-31,1996-09-30,1996-06-30,1996-03-31,1995-12-31,1995-09-30,1995-06-30,1995-03-31,1994-12-31,1994-09-30,1994-06-30,1994-03-31,1993-12-31,1993-09-30,1993-06-30,1993-03-31,1992-12-31,1992-09-30,1992-06-30,1992-03-31,1991-12-31,1991-09-30,1991-06-30,1991-03-31,1990-12-31,1990-09-30,1990-06-30,1990-03-31,1989-12-31,1989-09-30,1989-06-30,1989-03-31,1988-12-31,1988-09-30,1988-06-30,1988-03-31,1987-12-31,1987-09-30,1987-06-30,1987-03-31,1986-12-31,1986-09-30,1986-06-30,1986-03-31,1985-12-31,1985-09-30
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,1999-12-31,1999-09-30,1999-06-30,1999-03-31,1998-12-31,1998-09-30,1998-06-30,1998-03-31,1997-12-31,1997-09-30,1997-06-30,1997-03-31,1996-12-31,1996-09-30,1996-06-30,1996-03-31,1995-12-31,1995-09-30,1995-06-30,1995-03-31,1994-12-31,1994-09-30,1994-06-30,1994-03-31,1993-12-31,1993-09-30,1993-06-30,1993-03-31,1992-12-31,1992-09-30,1992-06-30,1992-03-31,1991-12-31,1991-09-30,1991-06-30,1991-03-31,1990-12-31,1990-09-30,1990-06-30,1990-03-31,1989-12-31,1989-09-30,1989-06-30,1989-03-31,1988-12-31,1988-09-30,1988-06-30,1988-03-31,1987-12-31,1987-09-30,1987-06-30,1987-03-31,1986-12-31,1986-09-30,1986-06-30,1986-03-31,1985-12-31,1985-09-30
filing_date,2023-11-01,2023-08-03,2023-05-04,2023-02-17,2022-11-01,2022-08-02,2022-05-03,2022-02-18,2021-11-03,2021-08-04,2021-05-05,2021-02-19,2020-11-04,2020-07-29,2020-04-29,2020-02-21,2019-10-31,2019-07-31,2019-05-01,2019-02-22,2018-10-31,2018-08-01,2018-05-02,2018-02-16,2017-11-02,2017-08-02,2017-05-03,2017-02-17,2016-11-03,2016-08-03,2016-05-04,2016-02-19,2015-11-05,2015-08-04,2015-05-06,2015-02-27,2014-11-06,2014-08-05,2014-05-07,2014-02-21,2013-11-07,2013-08-06,2013-05-08,2013-02-15,2012-11-07,2012-08-07,2012-05-08,2012-02-21,2011-11-04,2011-08-04,2011-05-06,2011-02-18,2010-11-05,2010-08-05,2010-05-04,2010-02-19,2009-11-06,2009-08-07,2009-05-05,2009-02-20,2008-11-03,2008-07-25,2008-05-02,2008-02-19,2007-11-02,2007-08-03,2007-05-07,2007-02-23,2006-11-07,2006-08-08,2006-05-04,2006-02-22,2005-11-02,2005-08-03,2005-05-06,2005-03-02,2004-11-04,2004-08-06,2004-04-29,2004-02-25,2003-11-10,2003-08-12,2003-05-15,2003-02-19,2002-11-05,2002-08-13,2002-05-02,2002-02-21,2001-11-01,2001-08-14,2001-05-15,2001-02-15,2000-11-13,2000-08-03,2000-05-15,2000-03-14,1999-11-08,1999-08-13,1999-05-14,1999-03-09,1998-11-12,1998-08-14,1998-05-14,1998-03-09,1997-11-13,1997-08-12,1997-05-13,1997-03-11,1996-11-13,1996-08-13,1996-05-15,1996-03-11,1995-11-14,1995-08-10,1995-05-09,1995-03-10,1994-11-10,1994-08-12,1994-05-13,1994-03-03,1993-09-30,1993-06-30,1993-03-31,1992-12-31,1992-09-30,1992-06-30,1992-03-31,1991-12-31,1991-09-30,1991-06-30,1991-03-31,1990-12-31,1990-09-30,1990-06-30,1990-03-31,1989-12-31,1989-09-30,1989-06-30,1989-03-31,1988-12-31,1988-09-30,1988-06-30,1988-03-31,1987-12-31,1987-09-30,1987-06-30,1987-03-31,1986-12-31,1986-09-30,1986-06-30,1986-03-31,1985-12-31,1985-09-30
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
totalAssets,72090000000.00,73354000000.00,74438000000.00,74438000000.00,72801000000.00,74202000000.00,74007000000.00,75196000000.00,73795000000.00,73269000000.00,72785000000.00,72548000000.00,69043000000.00,68793000000.00,66712000000.00,67887000000.00,68539000000.00,68427000000.00,67610000000.00,67173000000.00,71637000000.00,68415000000.00,70908000000.00,76250000000.00,72248000000.00,71151000000.00,70887000000.00,52666000000.00,39497000000.00,39831000000.00,39637000000.00,41247000000.00,41725000000.00,44125000000.00,43095000000.00,41275000000.00,42514000000.00,41475000000.00,41662000000.00,42953000000.00,44132477000.00,42903346000.00,42686613000.00,67234944000.00,63257738000.00,61859790000.00,62415801000.00,60276893000.00,59628176000.00,62004241000.00,61651363000.00,59462266000.00,57373620000.00,53381402000.00,53358622000.00,52416623000.00,49846820000.00,47630017000.00,45437597000.00,42419204000.00,41753012000.00,44073719000.00,41177572000.00,39713924000.00,37621909000.00,37153222000.00,36286117000.00,36178172000.00,33299872000.00,34061267000.00,28531500000.00,29141203000.00,28830959000.00,27817213000.00,28857214000.00,28767494000.00,27564226000.00,27686181000.00,28053333000.00,26715342000.00,26154769000.00,25890854000.00,24882580000.00,24259102000.00,23660355000.00,23053101000.00,22765776000.00,23296423000.00,22719399000.00,22122582000.00,21978525000.00,15283254000.00,14980161000.00,14964081000.00,14960923000.00,14471044000.00,13574225000.00,13145098000.00,13316957000.00,13216213000.00,12603034000.00,12684540000.00,12115102000.00,12061068000.00,11575997000.00,11433526000.00,11200394000.00,11125600000.00,10669342000.00,10553874000.00,9312020000.00,9412580000.00,9069882000.00,8990323000.00,8751092000.00,8523724000.00,8356158000.00,8082936000.00,7747416000.00,7688569000.00,7526400000.00,7350900000.00,7136100000.00,6941200000.00,6881300000.00,6510400000.00,6384200000.00,6255300000.00,5868300000.00,5816200000.00,5767300000.00,5563200000.00,5685100000.00,5413400000.00,5173500000.00,4851600000.00,,,,4825100000.00,,,,4385700000.00,,,,3865600000.00,,,,3468400000.00,
intangibleAssets,9282000000.00,9834000000.00,10454000000.00,10454000000.00,10850000000.00,11592000000.00,12225000000.00,12739000000.00,13312000000.00,13681000000.00,14181000000.00,14784000000.00,15208000000.00,15800000000.00,16200000000.00,17025000000.00,17500000000.00,18091000000.00,18472000000.00,18942000000.00,19477000000.00,19951000000.00,20943000000.00,21473000000.00,18578000000.00,18653000000.00,19405000000.00,4539000000.00,4674000000.00,5311000000.00,5458000000.00,5562000000.00,5844000000.00,5785000000.00,5979000000.00,6198000000.00,6094000000.00,5428000000.00,5613000000.00,5735000000.00,5926873000.00,5642826000.00,6057601000.00,8588285000.00,8959751000.00,8983552000.00,9792287000.00,9989636000.00,10793177000.00,11739355000.00,12207800000.00,12151628000.00,12646677000.00,10266399000.00,10663369000.00,6291989000.00,5913066000.00,5996480000.00,6065213000.00,5151106000.00,5683311000.00,6009853000.00,5524952000.00,5720478000.00,5851748000.00,5814378000.00,5999777000.00,6403619000.00,5694118000.00,5896146000.00,4656050000.00,9960894000.00,10084522000.00,10321114000.00,10693557000.00,10856718000.00,10215062000.00,10397818000.00,9106354000.00,8539290000.00,8122661000.00,8295560000.00,7866512000.00,7651781000.00,7731345000.00,7646667000.00,7274823000.00,7294320000.00,5227908000.00,5204647000.00,5533021000.00,1555260000.00,2409451000.00,,,1574851000.00,,,1349822000.00,1349822000.00,,,1112126000.00,1112126000.00,,,979793000.00,979793000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
earningAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherCurrentAssets,8967000000.00,8479000000.00,8881000000.00,2663000000.00,2796000000.00,2568000000.00,2401000000.00,2346000000.00,8539000000.00,8244000000.00,8058000000.00,1867000000.00,7507000000.00,6982000000.00,7262000000.00,1786000000.00,7392000000.00,7467000000.00,7063000000.00,1568000000.00,12000000.00,17000000.00,20000000.00,1687000000.00,6695000000.00,6545000000.00,6474000000.00,2319000000.00,552000000.00,66000000.00,76000000.00,2013000000.00,139000000.00,93000000.00,173000000.00,4572000000.00,1100000000.00,252000000.00,249000000.00,4470000000.00,538976000.00,533183000.00,537235000.00,4743426000.00,4996752000.00,4968950000.00,4866340000.00,4703246000.00,4805055000.00,4725604000.00,4710078000.00,6493311000.00,6039803000.00,6035538000.00,5937462000.00,3575025000.00,3824023000.00,3766829000.00,3917922000.00,1258554000.00,3366066000.00,3428638000.00,3401225000.00,3323588000.00,3153035000.00,1630363000.00,1554500000.00,2870885000.00,2706006000.00,2495497000.00,101533000.00,129902000.00,138106000.00,232277000.00,233020000.00,247056000.00,218531000.00,233018000.00,2824869000.00,2952178000.00,2963263000.00,2982049000.00,2725586000.00,2786973000.00,2158487000.00,2087912000.00,2103432000.00,2680887000.00,2430700000.00,2395670000.00,2639638000.00,2298741000.00,2241217000.00,2188601000.00,2388770000.00,2145175000.00,1946866000.00,1813300000.00,2015484000.00,1809152000.00,1665416000.00,1663572000.00,1841436000.00,1716972000.00,1534975000.00,1450087000.00,1544295000.00,1410806000.00,1320238000.00,1309583000.00,1262070000.00,1237035000.00,1140831000.00,1160736000.00,1085426000.00,549091000.00,487124000.00,469005000.00,466673000.00,458026000.00,1154600000.00,1159300000.00,1068900000.00,1006900000.00,1037700000.00,921300000.00,869700000.00,864400000.00,823700000.00,805300000.00,684400000.00,579400000.00,750500000.00,714200000.00,569200000.00,500500000.00,,,,377300000.00,,,,295400000.00,,,,258000000.00,,,,215800000.00,
totalLiab,213000000.00,35950000000.00,36562000000.00,37533000000.00,36917000000.00,37486000000.00,38378000000.00,39172000000.00,39157000000.00,39240000000.00,38997000000.00,39545000000.00,37448000000.00,37978000000.00,36350000000.00,36586000000.00,36520000000.00,36533000000.00,36481000000.00,36451000000.00,40739000000.00,37641000000.00,39307000000.00,45152000000.00,40030000000.00,39363000000.00,39340000000.00,31949000000.00,18601000000.00,19036000000.00,18795000000.00,19921000000.00,20506000000.00,20999000000.00,21107000000.00,19636000000.00,19521000000.00,17771000000.00,18173000000.00,17686000000.00,20344546000.00,20475700000.00,20003338000.00,40421712000.00,36153397000.00,37287305000.00,36872367000.00,35750748000.00,34939204000.00,35534538000.00,36931031000.00,36985802000.00,35890896000.00,33386768000.00,32346282000.00,29517894000.00,28472070000.00,27709949000.00,27454457000.00,24939653000.00,22407177000.00,25114917000.00,23198028000.00,21935384000.00,22013749000.00,21819069000.00,21966976000.00,22123986000.00,17666471000.00,18875761000.00,14089355000.00,14725932000.00,14567928000.00,13435302000.00,14679666000.00,14441711000.00,14608882000.00,14860315000.00,14541291000.00,13643084000.00,14289982000.00,13998018000.00,13511173000.00,13594549000.00,13113182000.00,13164305000.00,13319973000.00,14236991000.00,14048334000.00,13564180000.00,13879031000.00,6712348000.00,6666500000.00,6779687000.00,7087356000.00,7043449000.00,6904572000.00,6705827000.00,7254719000.00,7502552000.00,7229142000.00,7374571000.00,6973390000.00,7062391000.00,6733705000.00,6496356000.00,6344226000.00,6305418000.00,5955372000.00,5913378000.00,4746353000.00,5015733000.00,4793775000.00,4747114000.00,4621121000.00,4474324000.00,4397669000.00,4226756000.00,3995658000.00,4013640000.00,3938300000.00,3810900000.00,3696300000.00,3593600000.00,3537400000.00,3159200000.00,3106600000.00,3052300000.00,2856900000.00,2862200000.00,2835900000.00,2729600000.00,2982400000.00,2672500000.00,2427100000.00,2125200000.00,,,,2360500000.00,,,,2292200000.00,,,,2086700000.00,,,,1597700000.00,
totalStockholderEquity,71877000000.00,37174000000.00,74219000000.00,36686000000.00,35675000000.00,36490000000.00,35399000000.00,35802000000.00,34422000000.00,33800000000.00,33562000000.00,32784000000.00,31386000000.00,30578000000.00,30218000000.00,31088000000.00,31817000000.00,31686000000.00,30925000000.00,30524000000.00,30705000000.00,30577000000.00,31399000000.00,30897000000.00,32032000000.00,31602000000.00,31362000000.00,20538000000.00,20776000000.00,20675000000.00,20722000000.00,21211000000.00,21111000000.00,23008000000.00,21874000000.00,21526000000.00,22888000000.00,23602000000.00,23390000000.00,25171000000.00,23696237000.00,22336064000.00,22588186000.00,26720961000.00,27014175000.00,24486960000.00,25453691000.00,24439833000.00,24603800000.00,26378853000.00,24629650000.00,22388135000.00,21403932000.00,19911709000.00,20860099000.00,22855627000.00,21335055000.00,19879112000.00,17943299000.00,17479551000.00,19345835000.00,18958802000.00,17979544000.00,17778540000.00,15608160000.00,15334153000.00,14319141000.00,14054186000.00,15633401000.00,15185506000.00,14442145000.00,14415271000.00,14263031000.00,14381911000.00,14177548000.00,14325783000.00,12955344000.00,12825866000.00,13512042000.00,13072258000.00,11864787000.00,11892836000.00,11371407000.00,10664553000.00,10547173000.00,9888796000.00,9445803000.00,9059432000.00,8671065000.00,8558402000.00,8099494000.00,8570906000.00,8313661000.00,8184394000.00,7873567000.00,7427595000.00,6669653000.00,6439271000.00,6062238000.00,5713661000.00,5373892000.00,5309969000.00,5141712000.00,4998677000.00,4842292000.00,4937170000.00,4856168000.00,4820182000.00,4713970000.00,4640496000.00,4565667000.00,4396847000.00,4276107000.00,4243209000.00,4129971000.00,4049400000.00,3958489000.00,3856180000.00,3751758000.00,3674929000.00,3588100000.00,3540000000.00,3439800000.00,3347600000.00,3343900000.00,3351200000.00,3277600000.00,3203000000.00,3011400000.00,2954000000.00,2931400000.00,2833600000.00,2702700000.00,2740900000.00,2746400000.00,2726400000.00,,,,2464600000.00,,,,2093500000.00,,,,1778900000.00,,,,1870700000.00,
deferredLongTermLiab,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
