,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
filing_date,2023-11-14,2023-08-10,2023-05-12,2023-03-16,2022-11-14,2022-08-05,2022-05-05,2022-03-17,2021-11-08,2021-08-06,2021-05-07,2021-03-24,2020-11-12,2020-08-07,2020-05-12,2020-03-16,2019-11-12,2019-08-09,2019-05-09,2019-03-08,2018-11-07,2018-08-08,2018-05-09,2018-03-09,2017-11-07,2017-08-04,2017-05-03,2017-03-14,2016-11-04,2016-08-05,2016-05-13,2016-03-24,2015-12-16,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
totalAssets,926382000.00,933513000.00,942886000.00,927690000.00,986761000.00,1120015000.00,1284192000.00,1203336000.00,1434233000.00,1207951000.00,1171266000.00,1174545000.00,1100611000.00,926624000.00,904091000.00,1018443000.00,993125000.00,1004160000.00,994696000.00,950856000.00,1020989000.00,998928000.00,955343000.00,1006915000.00,979519000.00,926837000.00,917633000.00,952603000.00,924811000.00,802927000.00,812700000.00,836748000.00,730869000.00,766623000.00,696041000.00,754694000.00,,,,588720000.00
intangibleAssets,,,,,,,,,,,,,,,,,119000.00,119000.00,119000.00,0.00,3519000.00,3519000.00,3422000.00,3422000.00,3422000.00,3422000.00,3422000.00,3422000.00,3422000.00,3422000.00,3254000.00,3254000.00,3254000.00,3254000.00,3254000.00,3254000.00,,,,3254000.00
earningAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherCurrentAssets,,,,-186001000.00,4659000.00,175420000.00,175151000.00,175109000.00,175085000.00,175076000.00,175074000.00,175040000.00,175002000.00,774000.00,334000.00,514000.00,356000.00,661000.00,630000.00,868000.00,425000.00,332481.47,745000.00,,,,,,,,,,,,,,,,,
totalLiab,30713000.00,33946000.00,29652000.00,27301000.00,97728000.00,30831000.00,160684000.00,65534000.00,303252000.00,78917000.00,60450000.00,66328000.00,42280000.00,26759000.00,37379000.00,69743000.00,54629000.00,70304000.00,54911000.00,34808000.00,46045000.00,35685000.00,16945000.00,42538000.00,39192000.00,35832000.00,31752000.00,74351000.00,22743000.00,44014000.00,44681000.00,79461000.00,95292000.00,107582000.00,66311000.00,103433000.00,,,,85239000.00
totalStockholderEquity,895669000.00,899567000.00,906001000.00,890196000.00,879255000.00,887294000.00,920039000.00,935346000.00,931188000.00,932465000.00,913295000.00,901389000.00,854167000.00,852687000.00,820803000.00,897337000.00,888797000.00,884188000.00,889004000.00,866248000.00,923825000.00,911936000.00,887794000.00,918147000.00,898208000.00,886920000.00,881831000.00,874022000.00,898069000.00,754984000.00,764267000.00,751549000.00,629559000.00,653098000.00,624211000.00,582927000.00,,,,495375000.00
deferredLongTermLiab,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,
