,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31
filing_date,2023-11-03,2023-08-09,2023-05-05,2023-02-24,2022-11-08,2022-08-09,2022-04-27,2022-02-23,2021-10-28,2021-07-30,2021-04-28,2021-02-26,2020-10-28,2020-07-29,2020-05-05,2020-02-27,2019-10-30,2019-07-31,2019-05-02,2019-02-27,2018-10-30,2018-07-31,2018-05-01,2018-02-28,2017-11-01,2017-08-03,2017-05-09,2017-02-27,2016-10-26,2016-08-02,2016-04-27,2016-02-24,2015-10-28,2015-07-29,2015-04-29,2015-02-25,2014-10-29,2014-07-30,2014-04-30,2014-02-25,2013-10-31,2013-08-06,2013-05-08,2013-02-28,2012-10-31,2012-08-09,2012-05-10,2012-02-23,2011-10-26,2011-07-27,2011-04-27,2011-02-24,2010-10-27,2010-07-28,2010-05-07,2010-02-26,2009-10-28,2009-07-27,2009-05-06,2009-03-02,2008-11-06,2008-08-06,2008-05-07,2008-02-29,2007-11-08,2007-08-09,2007-05-10,2007-03-01,2006-11-09,2006-08-14,2006-05-15,2006-03-22,2005-11-14,2005-08-29,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
totalAssets,2683700000.00,2825800000.00,2792800000.00,2794700000.00,2829200000.00,3090900000.00,3100500000.00,3091300000.00,3072000000.00,3174200000.00,3001700000.00,3048700000.00,2695800000.00,2776600000.00,2653200000.00,2788600000.00,2722100000.00,2952800000.00,2827400000.00,2786400000.00,2803200000.00,2847600000.00,2754700000.00,2799100000.00,2856700000.00,2883300000.00,2698100000.00,2064500000.00,2156600000.00,2224500000.00,1939700000.00,1953400000.00,2026700000.00,2194300000.00,2046500000.00,2226400000.00,2309500000.00,2415000000.00,2302500000.00,2382900000.00,2389600000.00,2462000000.00,2400900000.00,2507700000.00,2552700000.00,2527400000.00,1044900000.00,1116700000.00,1050300000.00,1135800000.00,1094200000.00,1149600000.00,1097300000.00,1064000000.00,1062700000.00,1106800000.00,1078000000.00,1100100000.00,1199800000.00,1282200000.00,1657700000.00,1814200000.00,1887700000.00,1898500000.00,1889700000.00,1863200000.00,1807000000.00,1849600000.00,1867100000.00,1891000000.00,1880200000.00,1929500000.00,1884100000.00,877500000.00,545198000.00,540414000.00,536654000.00,537802000.00,531602000.00,530583000.00,546337000.00,542664000.00,552029000.00,551978000.00,567347000.00,573136000.00,687793000.00,719170000.00,704544000.00,716722000.00,728428000.00,761308000.00,777744000.00,784189000.00,820639000.00
intangibleAssets,814400000.00,833200000.00,842400000.00,847000000.00,838500000.00,864600000.00,896100000.00,902200000.00,919400000.00,947300000.00,947900000.00,977000000.00,726800000.00,724300000.00,725900000.00,758600000.00,756800000.00,771800000.00,776200000.00,787000000.00,802000000.00,801100000.00,838100000.00,839900000.00,848400000.00,841900000.00,834800000.00,565700000.00,575200000.00,583000000.00,522600000.00,520900000.00,525500000.00,547500000.00,549300000.00,571400000.00,584700000.00,602100000.00,603800000.00,607000000.00,616900000.00,624900000.00,639900000.00,646600000.00,656700000.00,657900000.00,129600000.00,130400000.00,132400000.00,135100000.00,137700000.00,138200000.00,140300000.00,140100000.00,143000000.00,145800000.00,147500000.00,148800000.00,149300000.00,149900000.00,209600000.00,215800000.00,229400000.00,229800000.00,230900000.00,230700000.00,232000000.00,233600000.00,234500000.00,237100000.00,238200000.00,674400000.00,643800000.00,115900000.00,117100000.00,117600000.00,,,,117300000.00,,,,,,,,,,,,,,,
earningAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherCurrentAssets,41100000.00,47600000.00,41200000.00,40800000.00,53900000.00,56200000.00,50600000.00,39600000.00,52000000.00,68300000.00,45700000.00,30500000.00,35000000.00,44300000.00,54100000.00,41200000.00,45300000.00,47900000.00,49100000.00,44200000.00,48300000.00,53400000.00,51500000.00,29200000.00,38200000.00,60800000.00,41000000.00,26800000.00,30600000.00,42100000.00,35000000.00,25300000.00,30500000.00,40100000.00,39500000.00,35800000.00,41600000.00,49000000.00,53800000.00,28100000.00,32200000.00,45500000.00,50800000.00,29000000.00,39400000.00,49800000.00,34700000.00,26900000.00,32600000.00,31600000.00,33900000.00,25300000.00,27400000.00,28200000.00,30600000.00,21400000.00,27100000.00,30900000.00,67800000.00,72300000.00,36600000.00,38500000.00,40500000.00,29800000.00,37500000.00,36700000.00,38700000.00,30000000.00,44700000.00,50100000.00,45100000.00,25300000.00,38900000.00,24100000.00,13849000.00,6809000.00,12227000.00,11831000.00,12411000.00,4997000.00,13036000.00,13873000.00,17243000.00,5707000.00,14234000.00,9123000.00,5200000.00,5106000.00,12691000.00,14148000.00,12660000.00,3683000.00,21446000.00,23042000.00,28283000.00
totalLiab,1845700000.00,1995400000.00,1983000000.00,1984600000.00,2047900000.00,2218000000.00,2219000000.00,2226500000.00,2287000000.00,2393500000.00,2292900000.00,2306000000.00,1970600000.00,2065000000.00,1935300000.00,2014900000.00,1955200000.00,2174800000.00,2062600000.00,1996700000.00,2054100000.00,2099300000.00,1989700000.00,2025000000.00,2135200000.00,2166300000.00,1980900000.00,1355800000.00,1432500000.00,1525800000.00,1327000000.00,1372200000.00,1465700000.00,1590700000.00,1463400000.00,1545400000.00,1581500000.00,1665700000.00,1592800000.00,1680600000.00,1751400000.00,1851000000.00,1767800000.00,1868500000.00,1872900000.00,1938800000.00,1113200000.00,1178600000.00,1082900000.00,1164100000.00,1171200000.00,1229400000.00,1194600000.00,1189600000.00,1180700000.00,1224000000.00,1180900000.00,1207200000.00,1201100000.00,1285600000.00,1301000000.00,1406500000.00,1442700000.00,1460200000.00,1453500000.00,1455100000.00,1415800000.00,1465600000.00,1436600000.00,1487000000.00,1473200000.00,1521200000.00,1471800000.00,905800000.00,470192000.00,462568000.00,471965000.00,480724000.00,474913000.00,476374000.00,494481000.00,497340000.00,504076000.00,509847000.00,521275000.00,526169000.00,567932000.00,595315000.00,567314000.00,580028000.00,589761000.00,613629000.00,633196000.00,637451000.00,673748000.00
totalStockholderEquity,838000000.00,830400000.00,809800000.00,810100000.00,781300000.00,872900000.00,881500000.00,864800000.00,785000000.00,780700000.00,708800000.00,742700000.00,725200000.00,711600000.00,717900000.00,773700000.00,766900000.00,778000000.00,764800000.00,789700000.00,749100000.00,748300000.00,765000000.00,774100000.00,721500000.00,717000000.00,717200000.00,708700000.00,724100000.00,698700000.00,612700000.00,581200000.00,561000000.00,603600000.00,583100000.00,681000000.00,728000000.00,749300000.00,709700000.00,702300000.00,638200000.00,611000000.00,633100000.00,639200000.00,679800000.00,588600000.00,-68300000.00,-61900000.00,-32600000.00,-28300000.00,-77000000.00,-79800000.00,-97300000.00,-125600000.00,-118000000.00,-117200000.00,-102900000.00,-107100000.00,-1300000.00,-3400000.00,356700000.00,407700000.00,445000000.00,438300000.00,436200000.00,408100000.00,391200000.00,384000000.00,430500000.00,404000000.00,407000000.00,408300000.00,412300000.00,-28300000.00,75006000.00,77846000.00,64689000.00,57078000.00,56689000.00,54209000.00,51856000.00,45324000.00,47953000.00,42131000.00,46072000.00,46967000.00,119861000.00,123855000.00,137230000.00,136694000.00,138667000.00,147679000.00,144548000.00,146738000.00,146891000.00
deferredLongTermLiab,,,137300000.00,144100000.00,139200000.00,147700000.00,142900000.00,145200000.00,156600000.00,157400000.00,153100000.00,170600000.00,170700000.00,168400000.00,167300000.00,177500000.00,183000000.00,182300000.00,173400000.00,176200000.00,173900000.00,170000000.00,174800000.00,177100000.00,250200000.00,240900000.00,225600000.00,146700000.00,147800000.00,140600000.00,135400000.00,142300000.00,168000000.00,169000000.00,160300000.00,172200000.00,185100000.00,176200000.00,166100000.00,169100000.00,159100000.00,156000000.00,167400000.00,165000000.00,158300000.00,136600000.00,86900000.00,85600000.00,83100000.00,84000000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
