,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-03-31,2020-06-30
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-03-31,
filing_date,2023-11-09,2023-08-14,2023-05-11,2023-03-15,2022-11-10,2022-08-10,2022-05-12,2022-03-14,2021-11-12,2021-08-16,2021-05-24,2021-03-08,2020-12-07,,
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,
totalAssets,539600000.00,481500000.00,505900000.00,573800000.00,637600000.00,691200000.00,737900000.00,768400000.00,805700000.00,13653000.00,500999587.00,41800000.00,,,
intangibleAssets,400000.00,400000.00,400000.00,400000.00,400000.00,400000.00,400000.00,500000.00,500000.00,,,,,,
earningAssets,,,,,,,,,,,,,,,
otherCurrentAssets,3100000.00,1200000.00,2100000.00,1600000.00,1000000.00,1400000.00,400000.00,300000.00,400000.00,199000.00,396997.00,,,,
totalLiab,175100000.00,205200000.00,95800000.00,80500000.00,80400000.00,73000000.00,74200000.00,69500000.00,83800000.00,86838000.00,49565517.00,5900000.00,,,
totalStockholderEquity,364500000.00,276300000.00,410100000.00,493300000.00,557200000.00,618200000.00,663700000.00,698900000.00,721900000.00,-73185000.00,-48723289.00,35900000.00,,,
deferredLongTermLiab,,,,,,,,,,,,,,,
otherCurrentLiab,2800000.00,1000000.00,47500000.00,36700000.00,25100000.00,28000000.00,19400000.00,600000.00,1600000.00,667000.00,4167091.00,100000.00,,,
commonStock,,,,,,,,,,5000.00,500158609.00,,,,
capitalStock,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5000.00,,,,,
retainedEarnings,-1039700000.00,-988100000.00,-804000000.00,-690900000.00,-595500000.00,-504500000.00,-432800000.00,-373600000.00,-330300000.00,-153598000.00,-48748289.00,-25800000.00,,,
otherLiab,,,,,26700000.00,16400000.00,24100000.00,30700000.00,41400000.00,215000.00,243000.00,,,,
goodWill,,,,,,,,,,,,,,,
otherAssets,,,,,900000.00,1200000.00,2100000.00,2700000.00,500000.00,235000.00,39000.00,,,,
cash,461400000.00,407600000.00,299200000.00,69400000.00,112500000.00,654800000.00,704200000.00,746900000.00,796200000.00,5937000.00,445231.00,36600000.00,,,
cashAndEquivalents,,,,,,,,,,,,,,,
totalCurrentLiabilities,117000000.00,157700000.00,64000000.00,53300000.00,43800000.00,43700000.00,34300000.00,28300000.00,29700000.00,23706000.00,4285516.00,3800000.00,,,
currentDeferredRevenue,93400000.00,134500000.00,,,,,,11700000.00,,,,200000.00,,,
netDebt,-442700000.00,-386100000.00,-280300000.00,-47200000.00,-89100000.00,-628200000.00,-675300000.00,-723800000.00,-774800000.00,-3223000.00,-445231.00,-33400000.00,,,
shortTermDebt,5200000.00,7600000.00,10100000.00,13000000.00,13500000.00,13700000.00,13100000.00,12600000.00,8700000.00,1329000.00,,1400000.00,,,
shortLongTermDebt,2300000.00,4600000.00,7000000.00,9300000.00,9400000.00,9400000.00,9500000.00,9500000.00,7000000.00,,,600000.00,,,
shortLongTermDebtTotal,18700000.00,21500000.00,18900000.00,22200000.00,23400000.00,26600000.00,28900000.00,23100000.00,21400000.00,2714000.00,,3200000.00,,,
otherStockholderEquity,1404200000.00,1264400000.00,1214200000.00,1185000000.00,1153900000.00,1122700000.00,1096500000.00,1072500000.00,1052200000.00,80408000.00,-500133609.00,61700000.00,,,
propertyPlantEquipment,,,,,21000000.00,20400000.00,18600000.00,10400000.00,7000000.00,6259000.00,5567000.00,,,,
totalCurrentAssets,475700000.00,422600000.00,465900000.00,545500000.00,615300000.00,669200000.00,716800000.00,754800000.00,797700000.00,6678000.00,842228.00,37400000.00,,,
longTermInvestments,,,,,,,,,,,,,,,
netTangibleAssets,,,,,556800000.00,617800000.00,663300000.00,698400000.00,721400000.00,-73666000.00,-41744000.00,,,-972000.00,
shortTermInvestments,0.00,0.00,150700000.00,461800000.00,488100000.00,,,-900000.00,,,,,,,
netReceivables,,,,,,,,,,,,,,,
longTermDebt,,,,,2300000.00,4700000.00,7000000.00,9300000.00,11700000.00,,,300000.00,,,
inventory,,,,,,,,,,,,,,,
accountsPayable,15600000.00,14600000.00,6400000.00,3600000.00,5200000.00,2000000.00,1800000.00,3400000.00,19400000.00,21710000.00,118425.00,2100000.00,,,
totalPermanentEquity,,,,,,,,,,,,,,,
noncontrollingInterestInConsolidatedEntity,,,,,,,,,,,,,,,
temporaryEquityRedeemableNoncontrollingInterests,,,,,,,,,,,,,,,
accumulatedOtherComprehensiveIncome,,,-100000.00,-800000.00,-1200000.00,,,,,,,,,,
additionalPaidInCapital,,,,,,,,,,,,,,,
commonStockTotalEquity,,,,,,,,,,,,,,,
preferredStockTotalEquity,,,,,,,,,,,,,,,
retainedEarningsTotalEquity,,,,,,,,,,,,,,,
treasuryStock,,,,,,,,,,,,,,,
accumulatedAmortization,,,,,,,,,,,,,,,
nonCurrrentAssetsOther,4100000.00,6100000.00,4200000.00,4500000.00,900000.00,1200000.00,2100000.00,2700000.00,500000.00,235000.00,,,,,
deferredLongTermAssetCharges,,,,,,,,,,,,,,,
nonCurrentAssetsTotal,63900000.00,58900000.00,40000000.00,28300000.00,22300000.00,22000000.00,21100000.00,13600000.00,8000000.00,6975000.00,500157359.00,4400000.00,,,
capitalLeaseObligations,16400000.00,16900000.00,11900000.00,12900000.00,11700000.00,12500000.00,12400000.00,4300000.00,2700000.00,2714000.00,,2300000.00,,,
longTermDebtTotal,,,,,,,,,,,,,,,
nonCurrentLiabilitiesOther,11800000.00,11000000.00,11000000.00,11000000.00,11200000.00,1000000.00,300000.00,400000.00,500000.00,215000.00,,300000.00,,,
nonCurrentLiabilitiesTotal,58100000.00,47500000.00,31800000.00,27200000.00,36600000.00,29300000.00,39900000.00,41200000.00,54100000.00,63132000.00,45280001.00,2100000.00,,,
negativeGoodwill,,,,,,,,,,,,,,,
warrants,,,,,,,,,,,,,,,
preferredStockRedeemable,,,,,,,,,,,,,,,
capitalSurpluse,,,,,,,,,,,,,,,
liabilitiesAndStockholdersEquity,539600000.00,481500000.00,505900000.00,573800000.00,637600000.00,691200000.00,737900000.00,768400000.00,805700000.00,13653000.00,500999587.00,41800000.00,,,
cashAndShortTermInvestments,461400000.00,407600000.00,449900000.00,531200000.00,600600000.00,654800000.00,704200000.00,746900000.00,796200000.00,5937000.00,445231.00,36600000.00,,,
propertyPlantAndEquipmentGross,,,,,,,,,,,,,,,
propertyPlantAndEquipmentNet,59400000.00,52400000.00,35400000.00,23400000.00,21000000.00,20400000.00,18600000.00,10400000.00,7000000.00,6259000.00,,3900000.00,,,
accumulatedDepreciation,,,,,,,,,,,,,,,
netWorkingCapital,358700000.00,264900000.00,401900000.00,492200000.00,571500000.00,625500000.00,682500000.00,726500000.00,768000000.00,-17028000.00,,33600000.00,,,
netInvestedCapital,366800000.00,280900000.00,417100000.00,502600000.00,568900000.00,632300000.00,680200000.00,717700000.00,740600000.00,-73185000.00,,36800000.00,,,
commonStockSharesOutstanding,277683468.00,251018612.00,247274541.00,240476894.00,240252605.00,238062232.00,239802805.00,110836238.00,88443192.00,240633554.00,240633554.00,240633554.00,240633554.00,,
investments,-15800000.00,142900000.00,302600000.00,26900000.00,-487600000.00,-1500000.00,-600000.00,-487600000.00,-1100000.00,-800000.00,-1100000.00,-1500000.00,,,
changeToLiabilities,,,,,3100000.00,0.00,-1600000.00,-17700000.00,-2261000.00,15487000.00,3674000.00,,610000.00,238000.00,552000.00
totalCashflowsFromInvestingActivities,,,,,-489100000.00,-1500000.00,-600000.00,-500000.00,-1081000.00,-789000.00,-1130000.00,,-85000.00,-251000.00,-64000.00
netBorrowings,,,,,-2500000.00,-2500000.00,-2500000.00,-2500000.00,20000000.00,20000000.00,20000000.00,,-5000.00,905000.00,905000.00
totalCashFromFinancingActivities,136500000.00,22600000.00,-4800000.00,-2800000.00,-2400000.00,-2300000.00,-2400000.00,100000.00,822100000.00,22000.00,40000.00,4600000.00,45775000.00,825000.00,825000.00
changeToOperatingActivities,,,,,3400000.00,5200000.00,3200000.00,1100000.00,-300000.00,-27000.00,-373000.00,,-1221000.00,408000.00,-87000.00
changeInCash,53900000.00,108400000.00,234100000.00,-43100000.00,-542300000.00,-49400000.00,-39800000.00,-49300000.00,790300000.00,-17600000.00,-13100000.00,-4500000.00,37970000.00,-3459000.00,-3511000.00
beginPeriodCashFlow,414800000.00,306400000.00,72300000.00,115400000.00,657700000.00,707100000.00,746900000.00,796200000.00,5900000.00,23500000.00,36600000.00,41100000.00,,,
endPeriodCashFlow,468700000.00,414800000.00,306400000.00,72300000.00,115400000.00,657700000.00,707100000.00,746900000.00,796200000.00,5900000.00,23500000.00,36600000.00,41100000.00,,
