,2023-08-31,2023-05-31,2023-02-28,2022-11-30,2022-08-31,2022-05-31,2022-02-28,2021-11-30,2021-08-31,2021-05-31,2021-02-28,2020-11-30,2020-08-31,2020-05-31,2020-02-29,2019-11-30,2019-08-31,2019-05-31,2019-02-28,2018-11-30,2018-08-31,2018-05-31,2018-02-28,2017-11-30,2017-08-31,2017-05-31,2017-02-28,2016-11-30,2016-08-31,2016-05-31,2016-02-29,2015-11-30,2015-08-31,2015-05-31,2015-02-28,2014-11-30,2014-08-31,2014-05-31
date,2023-08-31,2023-05-31,2023-02-28,2022-11-30,2022-08-31,2022-05-31,2022-02-28,2021-11-30,2021-08-31,2021-05-31,2021-02-28,2020-11-30,2020-08-31,2020-05-31,2020-02-29,2019-11-30,2019-08-31,2019-05-31,2019-02-28,2018-11-30,2018-08-31,2018-05-31,2018-02-28,2017-11-30,2017-08-31,2017-05-31,2017-02-28,2016-11-30,2016-08-31,2016-05-31,2016-02-29,2015-11-30,2015-08-31,2015-05-31,2015-02-28,2014-11-30,2014-08-31,2014-05-31
filing_date,2023-10-17,2023-07-25,2023-04-25,2023-01-10,2022-10-19,2022-07-27,2022-04-26,2022-01-12,2021-10-20,2021-07-29,2021-04-28,2021-01-13,2020-10-21,2020-08-04,2020-05-13,2020-01-08,2019-10-16,2019-07-24,2019-04-24,2019-01-15,2018-10-18,2018-07-25,2018-05-11,2017-11-30,2017-08-31,2017-05-31,2017-02-28,2016-11-30,2016-08-31,2016-05-31,2016-02-29,2015-11-30,2015-08-31,2015-05-31,2015-02-28,2014-11-30,2014-08-31,2014-05-31
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
totalAssets,26322500000.00,25817200000.00,26168200000.00,30214700000.00,28754100000.00,28220000000.00,28123000000.00,27936100000.00,27344300000.00,26781900000.00,26598000000.00,26319300000.00,26469600000.00,25987800000.00,24735100000.00,24991600000.00,24698500000.00,24981200000.00,20776600000.00,20981700000.00,21816800000.00,21820200000.00,21812300000.00,,22334500000.00,23183200000.00,23755000000.00,23451500000.00,23773900000.00,24426900000.00,23770000000.00,24354800000.00,24007500000.00,24469400000.00,25761800000.00,,,
intangibleAssets,2460700000.00,2473200000.00,2465400000.00,2408800000.00,2363500000.00,2309600000.00,2285000000.00,2239500000.00,2181300000.00,2149100000.00,2108800000.00,2076400000.00,2077800000.00,2085500000.00,2087200000.00,2123900000.00,2177900000.00,2271200000.00,2834500000.00,2893300000.00,2968900000.00,3036600000.00,3142500000.00,,3250500000.00,3374200000.00,3497800000.00,3579200000.00,3681700000.00,3785800000.00,3882500000.00,3976600000.00,4001000000.00,4093000000.00,4235000000.00,,,
earningAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherCurrentAssets,392700000.00,306200000.00,42300000.00,513700000.00,474100000.00,326600000.00,101400000.00,440300000.00,414700000.00,313100000.00,101600000.00,420600000.00,374800000.00,309000000.00,127800000.00,447800000.00,336400000.00,361900000.00,88700000.00,443600000.00,347800000.00,377400000.00,73300000.00,,321600000.00,328500000.00,133700000.00,391300000.00,356100000.00,351700000.00,101600000.00,389200000.00,449500000.00,549800000.00,797500000.00,,,
totalLiab,24105900000.00,23817200000.00,24557500000.00,29395700000.00,24367100000.00,24149400000.00,25098400000.00,25625400000.00,25384400000.00,25083500000.00,25273700000.00,24944600000.00,24968000000.00,24792900000.00,22457000000.00,22581000000.00,22353000000.00,22926800000.00,19325900000.00,19591600000.00,20454200000.00,20428900000.00,20414100000.00,,21738300000.00,21997300000.00,22383800000.00,22243400000.00,22558700000.00,22973700000.00,22156800000.00,22497300000.00,22090100000.00,22405400000.00,23593300000.00,,,
totalStockholderEquity,2216600000.00,2000000000.00,1610700000.00,819000000.00,4387000000.00,4070600000.00,3024600000.00,2310700000.00,1959900000.00,1698400000.00,1324300000.00,1374700000.00,1501600000.00,1194900000.00,2278100000.00,2410600000.00,2345500000.00,2054400000.00,1450700000.00,1390100000.00,1362600000.00,1391300000.00,1398200000.00,,596200000.00,1185900000.00,1371200000.00,1208100000.00,1215200000.00,1453200000.00,1613200000.00,1857500000.00,1917400000.00,2064000000.00,2168500000.00,,,
deferredLongTermLiab,,816200000.00,854000000.00,896900000.00,858400000.00,806900000.00,799800000.00,684900000.00,598300000.00,534600000.00,107000000.00,566600000.00,,,35400000.00,,,,,,,,,,,,,,,,,,,,,,,
otherCurrentLiab,1172500000.00,1317700000.00,2515200000.00,5749500000.00,2745200000.00,2469600000.00,2642300000.00,1202000000.00,1190000000.00,1127300000.00,713400000.00,1135500000.00,1148200000.00,1255500000.00,784600000.00,1006100000.00,1021200000.00,990200000.00,721500000.00,988300000.00,1048300000.00,922000000.00,720800000.00,,1402900000.00,1338000000.00,1031300000.00,785500000.00,779100000.00,848900000.00,762000000.00,716300000.00,727100000.00,722200000.00,1244600000.00,,,
commonStock,5900000.00,5900000.00,5900000.00,5900000.00,5900000.00,5900000.00,5900000.00,5900000.00,5900000.00,5900000.00,5900000.00,5900000.00,5800000.00,5800000.00,2800000.00,2800000.00,2800000.00,2800000.00,2800000.00,2800000.00,2800000.00,2800000.00,2800000.00,,,,,,,,,,,,,,,
