,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2001-12-31,2001-09-30,2000-09-30,2001-06-30,2001-03-31,2000-12-31,2000-06-30,2000-03-31
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2001-12-31,2001-09-30,2000-09-30,,,,,
filing_date,2023-11-15,2023-08-09,2023-05-09,2023-02-07,2022-11-17,2022-08-10,2022-05-11,2022-02-09,2021-11-17,2021-08-11,2021-05-12,2021-02-10,2020-11-19,2020-08-05,2020-05-06,2020-02-05,2019-11-13,2019-08-07,2019-05-08,2019-02-06,2018-11-13,2018-08-08,2018-05-09,2018-02-07,2017-11-14,2017-08-09,2017-05-10,2017-02-08,2016-11-16,2016-08-10,2016-05-11,2016-02-10,2015-11-25,2015-08-12,2015-05-13,2015-02-11,2014-11-17,2014-08-06,2014-05-07,2014-02-05,2013-11-13,2013-08-07,2013-05-08,2013-02-06,2012-11-19,2012-08-08,2012-05-07,2012-02-06,2011-11-21,2011-08-05,2011-05-06,2011-02-09,2010-11-22,2010-08-06,2010-05-07,2010-02-10,2009-11-27,2009-08-07,2009-05-08,2009-02-10,2008-12-01,2008-08-08,2008-05-09,2008-02-13,2007-12-13,2007-08-09,2007-05-07,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,,,,,,,,
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,,,,,
totalAssets,11233398000.00,11426443000.00,11529061000.00,11542929000.00,11268040000.00,11375181000.00,11314274000.00,11558585000.00,11851061000.00,14780069000.00,11983833000.00,12616528000.00,13119937000.00,13186028000.00,13249367000.00,15415761000.00,14670365000.00,14989220000.00,14737023000.00,14767650000.00,18959505000.00,18987551000.00,14617332000.00,18953732000.00,18611642000.00,17752591000.00,17369231000.00,13508996000.00,13726745000.00,13878327000.00,13989215000.00,13529403000.00,14014298000.00,14236126000.00,14016005000.00,14253269000.00,6123377000.00,5753742000.00,5645278000.00,5837421000.00,5665623000.00,5539368000.00,7777735000.00,5808025000.00,5664568000.00,5863640000.00,6013232000.00,5994615000.00,5789328000.00,5886631000.00,5665358000.00,5620040000.00,5242909000.00,3999840000.00,3939343000.00,3833525000.00,3789881000.00,3735197000.00,3559499000.00,3535325000.00,3596190000.00,2920991000.00,2701933000.00,2531155000.00,2491821000.00,2437189000.00,2076196000.00,1878630000.00,1825774000.00,,,,1424924000.00,,,,840243000.00,763541000.00,711694000.00,,,,,
intangibleAssets,,22354000.00,26800000.00,31300000.00,35600000.00,40400000.00,45500000.00,50200000.00,54900000.00,61700000.00,66800000.00,72000000.00,76900000.00,82000000.00,87300000.00,94300000.00,233000000.00,255200000.00,277200000.00,296700000.00,319900000.00,343200000.00,368200000.00,411800000.00,415100000.00,410300000.00,426800000.00,449800000.00,479400000.00,493200000.00,532700000.00,591600000.00,659400000.00,753200000.00,854493000.00,858900000.00,90200000.00,86700000.00,92100000.00,98400000.00,83100000.00,87400000.00,94100000.00,100700000.00,96973000.00,101933000.00,108796000.00,113514000.00,119140000.00,128386000.00,131043000.00,137863000.00,108645000.00,62514000.00,61796000.00,67025000.00,61979000.00,65395000.00,67343000.00,73145000.00,80297000.00,58420000.00,44497000.00,33876000.00,30928000.00,33916000.00,44068000.00,17414000.00,18168000.00,,,,32216000.00,,,,238279000.00,,,,,,,
earningAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherCurrentAssets,319228000.00,2714945000.00,755062000.00,784816000.00,12000.00,38000.00,-15000.00,8000.00,-9000.00,13000.00,656529000.00,-9000.00,-12000.00,-24000.00,39000.00,-4000.00,-28000.00,-39000.00,39000.00,1208837000.00,21000.00,-15000.00,18000.00,-28000.00,43000.00,6000.00,41000.00,-4000.00,-40000.00,-7000.00,-4000.00,-47000.00,-50000.00,9000.00,493033000.00,11000.00,-24000.00,17000.00,25000.00,41000.00,-38000.00,46000.00,-35000.00,34000.00,157636000.00,152288000.00,117099000.00,111950000.00,107706000.00,129850000.00,128093000.00,126608000.00,163454000.00,181430000.00,191372000.00,3791000.00,74527000.00,163947000.00,81359000.00,81535000.00,75802000.00,80666000.00,56348000.00,70971000.00,67087000.00,80016000.00,56665000.00,58650000.00,52827000.00,,,,64072000.00,,,,15413000.00,18867000.00,16840000.00,,,,,
totalLiab,2217255000.00,8971678000.00,8792186000.00,8850036000.00,8662661000.00,8797337000.00,8664621000.00,8932346000.00,9021484000.00,11963091000.00,9160864000.00,9596351000.00,9706393000.00,9300159000.00,9583844000.00,11556357000.00,10771015000.00,10492208000.00,10342149000.00,10689850000.00,14681131000.00,14727417000.00,10352707000.00,14622951000.00,14396956000.00,13836242000.00,13641041000.00,9949109000.00,10174256000.00,10119120000.00,10324864000.00,10010508000.00,10383355000.00,10496059000.00,14016005000.00,10413957000.00,3850897000.00,3470269000.00,3454841000.00,3714462000.00,3591529000.00,3497503000.00,5685144000.00,3697899000.00,3440080000.00,3351830000.00,3522930000.00,3520640000.00,3394191000.00,3350405000.00,3229256000.00,3330644000.00,3104440000.00,1984241000.00,1985928000.00,1960920000.00,2035476000.00,2041421000.00,1957025000.00,2059781000.00,2122447000.00,1450762000.00,1288511000.00,1182722000.00,1192247000.00,1135466000.00,2357466000.00,2185212000.00,2097967000.00,,,,1655081000.00,,,,585193000.00,,,,,,,
totalStockholderEquity,2212332000.00,2454765000.00,2594340000.00,2555634000.00,2476654000.00,2451010000.00,2531442000.00,2510672000.00,2712470000.00,2708037000.00,2822969000.00,2908204000.00,3292558000.00,3744894000.00,3531502000.00,3673002000.00,3690576000.00,4303004000.00,4199936000.00,4077800000.00,4092780000.00,4077732000.00,4040752000.00,4104369000.00,3996126000.00,3708618000.00,3544392000.00,3378413000.00,3366921000.00,3551842000.00,3458440000.00,3314581000.00,3407748000.00,3474924000.00,3429567000.00,3550220000.00,2186517000.00,2197512000.00,2100189000.00,2036266000.00,2021443000.00,1985730000.00,2035979000.00,2049468000.00,2169464000.00,2455750000.00,2433830000.00,2412306000.00,2339711000.00,2481310000.00,2383630000.00,2236617000.00,2090012000.00,1970694000.00,1911240000.00,1839893000.00,1729718000.00,1666301000.00,1551465000.00,1428039000.00,1422993000.00,1448751000.00,1387138000.00,1326189000.00,1278485000.00,1283905000.00,-298174000.00,-324491000.00,-290894000.00,,,,-239881000.00,,,,255050000.00,,,,,,,
deferredLongTermLiab,,,,,,,,,,,,,,,,,,,,,0.00,0.00,6467000.00,32327000.00,20515000.00,0.00,0.00,12887000.00,0.00,0.00,32608000.00,32607000.00,230037000.00,236112000.00,252016000.00,293228000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
