,2023-08-31,2023-05-31,2023-02-28,2022-11-30,2022-08-31,2022-05-31,2022-02-28,2021-11-30,2021-08-31,2021-05-31,2021-02-28,2020-11-30,2020-08-31,2020-05-31,2020-02-29,2019-11-30,2019-08-31,2019-05-31,2019-02-28,2018-11-30,2018-08-31,2018-05-31,2018-02-28,2017-11-30,2017-08-31,2017-05-31,2017-02-28,2016-11-30,2016-08-31,2016-05-31,2016-02-29,2015-11-30,2015-08-31,2015-05-31,2015-02-28,2014-11-30,2014-08-31,2014-05-31,2014-02-28,2013-11-30,2013-08-31,2013-05-31,2013-02-28,2012-11-30,2012-08-31,2012-05-31,2012-02-29,2011-11-30,2011-08-31,2011-05-31,2011-02-28,2010-11-30,2010-08-31,2010-05-31,2010-02-28,2009-11-30,2009-08-31,2009-05-31,2009-02-28,2008-11-30,2008-08-31,2008-05-31,2008-02-29,2007-11-30,2007-08-31,2007-05-31,2007-02-28,2006-11-30,2006-08-31,2006-05-31,2006-02-28,2005-11-30,2005-08-31,2005-05-31,2005-02-28,2004-11-30,2004-08-31,2004-05-31,2004-02-29,2003-11-30,2003-08-31,2003-05-31,2003-02-28,2002-11-30,2002-08-31,2002-05-31,2002-02-28,2001-11-30,2001-08-31,2001-05-31,2001-02-28,2000-08-31,2000-11-30,2000-05-31,2000-02-29
date,2023-08-31,2023-05-31,2023-02-28,2022-11-30,2022-08-31,2022-05-31,2022-02-28,2021-11-30,2021-08-31,2021-05-31,2021-02-28,2020-11-30,2020-08-31,2020-05-31,2020-02-29,2019-11-30,2019-08-31,2019-05-31,2019-02-28,2018-11-30,2018-08-31,2018-05-31,2018-02-28,2017-11-30,2017-08-31,2017-05-31,2017-02-28,2016-11-30,2016-08-31,2016-05-31,2016-02-29,2015-11-30,2015-08-31,2015-05-31,2015-02-28,2014-11-30,2014-08-31,2014-05-31,2014-02-28,2013-11-30,2013-08-31,2013-05-31,2013-02-28,2012-11-30,2012-08-31,2012-05-31,2012-02-29,2011-11-30,2011-08-31,2011-05-31,2011-02-28,2010-11-30,2010-08-31,2010-05-31,2010-02-28,2009-11-30,2009-08-31,2009-05-31,2009-02-28,2008-11-30,2008-08-31,2008-05-31,2008-02-29,2007-11-30,2007-08-31,2007-05-31,2007-02-28,2006-11-30,2006-08-31,2006-05-31,2006-02-28,2005-11-30,2005-08-31,2005-05-31,2005-02-28,2004-11-30,2004-08-31,2004-05-31,2004-02-29,2003-11-30,2003-08-31,2003-05-31,2003-02-28,2002-11-30,2002-08-31,2002-05-31,2002-02-28,2001-11-30,2001-08-31,2001-05-31,2001-02-28,2000-08-31,,,
filing_date,2023-10-12,2023-06-22,2023-03-23,2022-12-16,2022-10-12,2022-06-23,2022-03-17,2021-12-16,2021-10-15,2021-06-24,2021-03-18,2020-12-17,2020-10-22,2020-06-25,2020-03-19,2019-12-19,2019-10-29,2019-06-27,2019-03-28,2018-12-20,2018-10-24,2018-06-28,2018-03-22,2017-12-21,2017-10-26,2017-06-22,2017-03-23,2016-12-21,2016-10-28,2016-06-23,2016-03-24,2015-12-17,2015-10-30,2015-06-25,2015-03-26,2014-12-18,2014-10-24,2014-06-26,2014-03-27,2013-12-19,2013-10-29,2013-06-28,2013-03-28,2012-12-20,2012-10-30,2012-06-29,2012-03-23,2011-12-20,2011-10-21,2011-06-24,2011-03-25,2010-12-20,2010-10-26,2010-06-25,2010-03-26,2009-12-18,2009-10-19,2009-05-31,2009-02-28,2008-11-30,2008-08-31,2008-05-31,2008-02-29,2007-11-30,2007-08-31,2007-05-31,2007-02-28,2006-11-30,2006-08-31,2006-05-31,2006-02-28,2005-11-30,2005-08-31,2005-05-31,2005-02-28,2004-11-30,2004-08-31,2004-05-31,2004-02-29,2003-11-30,2003-08-31,2003-05-31,2003-02-28,2002-11-30,2002-08-31,2002-05-31,2002-02-28,2001-11-30,,,,,,,
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,,,
totalAssets,51245305000.00,50128275000.00,47727289000.00,47115774000.00,47263390000.00,46095198000.00,44317837000.00,43674743000.00,43175843000.00,42124884000.00,39985401000.00,38268311000.00,37078593000.00,35057319000.00,33503430000.00,33170712000.00,29789880000.00,28156360000.00,27390208000.00,26706412000.00,24449083000.00,23250793000.00,23132979000.00,22974153000.00,22689890000.00,21135592000.00,20078773000.00,20443741000.00,20629201000.00,19191047000.00,18147778000.00,17993875000.00,18266058000.00,17308727000.00,16991565000.00,17630033000.00,17930452000.00,17002384000.00,16357209000.00,16515938000.00,16867049000.00,16523758000.00,16358730000.00,16408020000.00,16665415000.00,15535915000.00,15808096000.00,15290845000.00,15731510000.00,14903969000.00,13893673000.00,12868874000.00,12835253000.00,11917658000.00,11890088000.00,12184819000.00,12255734000.00,11827664000.00,10557359000.00,10932055000.00,12398525000.00,11917405000.00,10908314000.00,10747500000.00,10747162000.00,10049016000.00,9554359000.00,9214573000.00,9418080000.00,9011171000.00,8124652000.00,8123180000.00,8957352000.00,9080128000.00,9342839000.00,8912221000.00,7987679000.00,8671928000.00,7518997000.00,6703266000.00,6459240000.00,6367207000.00,5851495000.00,5648016000.00,5478948000.00,5434962000.00,5199070000.00,5422671000.00,6061356000.00,4929277000.00,5474293000.00,5451297000.00,,,
intangibleAssets,2072957000.00,1939083000.00,2005944000.00,1930808000.00,1930808000.00,1821295000.00,1844093000.00,1945448000.00,1710938000.00,1216809000.00,1208546000.00,1080985000.00,1029218000.00,1032006000.00,908121000.00,870261000.00,840779000.00,687110000.00,731883000.00,696928000.00,687110000.00,688239000.00,728825000.00,692179000.00,710382000.00,642752000.00,573063000.00,551292000.00,510151000.00,505404000.00,531815000.00,522722000.00,464907000.00,419750000.00,381336000.00,389041000.00,397880000.00,2354811000.00,2312145000.00,1931120000.00,326000000.00,1472955000.00,1439238000.00,1386630000.00,1215383000.00,1205678000.00,1232474000.00,1225298000.00,1131991000.00,983389000.00,966819000.00,895233000.00,841234000.00,805282000.00,813783000.00,838818000.00,825152000.00,803748000.00,771899000.00,786847000.00,839957000.00,816650000.00,781237000.00,690331000.00,643728000.00,,504543000.00,527350000.00,527648000.00,469480000.00,404273000.00,375894000.00,378488000.00,235308000.00,242926000.00,230109000.00,219693000.00,210852000.00,209877000.00,199657000.00,188659000.00,189031000.00,179036000.00,169328000.00,167603000.00,153422000.00,153422000.00,,,,,,,,
earningAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherCurrentAssets,2105138000.00,2257485000.00,2318814000.00,2158309000.00,1940290000.00,2080776000.00,2122107000.00,1857166000.00,1765831000.00,1657604000.00,1665232000.00,1401232000.00,1393225000.00,1354698000.00,1447245000.00,1214878000.00,1225364000.00,1235017000.00,1213889000.00,1150445000.00,1024639000.00,958067000.00,1175150000.00,1163493000.00,1082161000.00,1079163000.00,958745000.00,819829000.00,792204000.00,743396000.00,766136000.00,745271000.00,1490756000.00,627342000.00,1517611000.00,1446711000.00,1317201000.00,694339000.00,796371000.00,1529087000.00,1363194000.00,1288063000.00,673211000.00,1342815000.00,1464433000.00,1147692000.00,1208069000.00,1081078000.00,587224000.00,1189746000.00,1956612000.00,1104679000.00,490243000.00,1006835000.00,1062476000.00,2420577000.00,599501000.00,485251000.00,475552000.00,463178000.00,594832000.00,414822000.00,430269000.00,418092000.00,407998000.00,434796000.00,446830000.00,464492000.00,479501000.00,502194000.00,501630000.00,477037000.00,509818000.00,481509000.00,520146000.00,624692000.00,475426000.00,278875000.00,251189000.00,279700000.00,229323000.00,260501000.00,281815000.00,310508000.00,330347000.00,337475000.00,234952000.00,219234000.00,399440000.00,352907000.00,261072000.00,171537000.00,,,
totalLiab,24786712000.00,24066346000.00,23270011000.00,23449824000.00,24516302000.00,24083475000.00,23160858000.00,22736085000.00,23078729000.00,22230920000.00,21142974000.00,19842095000.00,19579420000.00,18573674000.00,17582624000.00,17569504000.00,14962189000.00,14013402000.00,13661663000.00,13650844000.00,13724495000.00,13098057000.00,12694553000.00,13080716000.00,12979690000.00,12258932000.00,11463624000.00,12409590000.00,12439825000.00,11484489000.00,10774262000.00,11588463000.00,11618487000.00,10842496000.00,10441922000.00,11613669000.00,11645115000.00,10857086000.00,10570522000.00,11099677000.00,11439220000.00,10713698000.00,10418859000.00,11414048000.00,12040987000.00,10947822000.00,10814951000.00,11071661000.00,11380638000.00,10727537000.00,9845902000.00,9557764000.00,9560530000.00,8456258000.00,8449185000.00,8870942000.00,8781950000.00,8220117000.00,7650299000.00,8326635000.00,9205850000.00,8729263000.00,8121215000.00,8098659000.00,7943644000.00,7455449000.00,6859135000.00,6760065000.00,6655947000.00,6808906000.00,6376175000.00,6344756000.00,6279479000.00,6225069000.00,6255731000.00,6047669000.00,5574910000.00,5491192000.00,5413750000.00,4818583000.00,4781446000.00,4828320000.00,4569612000.00,4391458000.00,4520926000.00,4365535000.00,4369711000.00,4543531000.00,5371242000.00,6185060000.00,3526022000.00,3082844000.00,,,
totalStockholderEquity,25692839000.00,25332431000.00,23762619000.00,22974611000.00,22106540000.00,21389094000.00,20560023000.00,20353199000.00,19528272000.00,19342845000.00,18308027000.00,17906501000.00,17001902000.00,16014606000.00,15474589000.00,15167138000.00,14408739000.00,13737324000.00,13337033000.00,12678856000.00,10364753000.00,9797325000.00,9682687000.00,9102130000.00,8949477000.00,8167356000.00,7964245000.00,7417093000.00,7555262000.00,7127325000.00,6811661000.00,5900425000.00,6133725000.00,5911214000.00,5990851000.00,5481501000.00,5732035000.00,5603631000.00,5272315000.00,4927831000.00,4960186000.00,5324867000.00,5452349000.00,4506633000.00,4145833000.00,4106004000.00,4468553000.00,3766360000.00,3878951000.00,3713803000.00,3592907000.00,2909396000.00,2835746000.00,2996630000.00,2959496000.00,2809267000.00,2886593000.00,2949421000.00,2385906000.00,2072207000.00,2540506000.00,2464314000.00,2090141000.00,1963415000.00,2063332000.00,1878062000.00,1924119000.00,1724025000.00,1894255000.00,1482645000.00,1161105000.00,1165465000.00,1696914000.00,1771136000.00,1887101000.00,1754693000.00,1471806000.00,1852355000.00,1164897000.00,1039989000.00,794208000.00,727091000.00,596215000.00,582560000.00,438626000.00,494878000.00,261717000.00,352752000.00,282188000.00,,1948271000.00,2368453000.00,,,
deferredLongTermLiab,,1090082000.00,1090602000.00,1083023000.00,1031299000.00,1098933000.00,1082111000.00,1021792000.00,731445000.00,977046000.00,714586000.00,869643000.00,870634000.00,846967000.00,796972000.00,729960000.00,698456000.00,720965000.00,746830000.00,737532000.00,743853000.00,768061000.00,782694000.00,809347000.00,800346000.00,757597000.00,794371000.00,783071000.00,865832000.00,924855000.00,852006000.00,652439000.00,638045000.00,697142000.00,691682000.00,732445000.00,743565000.00,675625000.00,674721000.00,704435000.00,692215000.00,651718000.00,682544000.00,648628000.00,659308000.00,596836000.00,601835000.00,615549000.00,625697000.00,616149000.00,604260000.00,577093000.00,565078000.00,547778000.00,572309000.00,615870000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
