,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
filing_date,2023-11-07,2023-08-07,2023-05-08,2023-03-07,2022-11-07,2022-08-08,2022-05-09,2022-03-09,2021-11-09,2021-08-06,2021-05-07,2021-03-12,2020-11-09,2020-08-10,2020-05-11,2020-03-10,2019-11-06,2019-08-07,2019-05-09,2019-03-11,2018-11-07,2018-08-08,2018-05-10,2018-03-16,2017-11-09,2017-08-08,2017-05-10,2017-03-16,2016-11-14,2016-08-09,2016-05-10,2016-03-10,2015-11-06,2015-08-07,2015-05-11,2015-03-02,2014-11-10,2014-08-08,2014-05-09,2014-03-03,2013-11-12,2013-08-09,2013-05-10,2013-03-18,2012-11-09,2012-08-07,2012-05-09,2012-03-15,2011-11-08,2011-08-08,2011-05-10,2011-03-14,2010-11-05,2010-08-06,2010-05-07,2010-03-16,2009-11-09,2009-08-10,2009-05-11,2009-03-16,2008-11-10,2008-08-08,2008-05-12,2008-03-17,2007-11-14,2007-08-09,2007-05-10,2007-03-30,2006-11-13,2006-08-10,2006-05-12,2006-03-29,2005-09-30,2005-06-30,2005-03-31
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
totalAssets,2261496000.00,2266656000.00,2321559000.00,2376652000.00,2426386000.00,2356426000.00,2087125000.00,2284275000.00,2061750000.00,1815617000.00,1656419000.00,1654084000.00,1810357000.00,1856125000.00,2089118000.00,2454326000.00,2472193000.00,2519737000.00,2197460000.00,2130913000.00,2009419000.00,1892162000.00,1789801000.00,1912075000.00,1929659000.00,1914283000.00,1995820000.00,2053543000.00,2157478000.00,2389844000.00,2426279000.00,2760432000.00,2786042000.00,2774224000.00,2933206000.00,2729139000.00,2592381000.00,2558749000.00,2341908000.00,2151427000.00,2273064000.00,2402480000.00,2368563000.00,2478251000.00,2335822000.00,2266906000.00,2318426000.00,2299627000.00,2170243000.00,1972433000.00,1937636000.00,1934200000.00,1937445000.00,1934371000.00,1785145000.00,1795184000.00,1769115000.00,1774558000.00,1899428000.00,1936031000.00,2002945000.00,2004021000.00,2019739000.00,2072148000.00,2326236000.00,2385825000.00,2127914000.00,1802829000.00,2369379000.00,2224094000.00,2038886000.00,2045547000.00,2002546000.00,,
intangibleAssets,8125000.00,8376000.00,8628000.00,8880000.00,9131000.00,12170000.00,2987000.00,3877000.00,3041000.00,3126000.00,3210000.00,3294000.00,,,,,,,,,,,,,,,,213000.00,25886000.00,26726000.00,25511000.00,26228000.00,25806000.00,24370000.00,9229000.00,9736000.00,10254000.00,10771000.00,11283000.00,11822000.00,11728000.00,12196000.00,12660000.00,13192000.00,17104000.00,17877000.00,18831000.00,19813000.00,21232000.00,21678000.00,20960000.00,,,,,,,,,,,,,,,,,,,,,,,,
earningAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherCurrentAssets,,,,,69236000.00,45075000.00,25126000.00,266277000.00,1906028000.00,1606693000.00,-31716000.00,-16931000.00,50607000.00,32979000.00,85995000.00,32077000.00,35263000.00,31546000.00,26564000.00,30664000.00,25554000.00,31026000.00,78167000.00,130605000.00,152770000.00,278255000.00,,1554974000.00,1393758000.00,1682364000.00,1632433000.00,2113359000.00,2052659000.00,1981145000.00,1991788000.00,1933902000.00,1732565000.00,1679193000.00,1610021000.00,1352775000.00,1578019000.00,1662153000.00,1708722000.00,1808903000.00,8507000.00,6573000.00,1204000.00,1626000.00,,,,590000.00,,,,,,,,,,,,,,,,,,,,,,,
totalLiab,1813269000.00,1822655000.00,1879774000.00,1935338000.00,1978907000.00,1909100000.00,1644423000.00,1836080000.00,1618481000.00,1362659000.00,1320613000.00,1319702000.00,1492556000.00,1549480000.00,1747061000.00,1897928000.00,1912167000.00,1961785000.00,1639637000.00,1577094000.00,1449074000.00,1336275000.00,1239622000.00,1240599000.00,1199002000.00,1210311000.00,1290775000.00,1350453000.00,1438919000.00,1613413000.00,1638643000.00,1933672000.00,1932766000.00,1881575000.00,1984489000.00,1777028000.00,1648465000.00,1636822000.00,1561714000.00,1377503000.00,1489650000.00,1625036000.00,1710815000.00,1864906000.00,1748331000.00,1791203000.00,1855666000.00,1869937000.00,1736979000.00,1539053000.00,1510433000.00,1585874000.00,1607714000.00,1632558000.00,1545498000.00,1566354000.00,1599743000.00,1608656000.00,1729920000.00,1749726000.00,1763844000.00,1753673000.00,1766421000.00,1800542000.00,2151938000.00,2095227000.00,1832497000.00,1485278000.00,2139392000.00,1998555000.00,1811009000.00,1850214000.00,1788764000.00,,
totalStockholderEquity,437703000.00,434551000.00,433753000.00,435468000.00,442549000.00,442314000.00,442702000.00,448195000.00,443269000.00,452958000.00,335806000.00,334382000.00,317801000.00,306645000.00,342057000.00,556398000.00,560026000.00,557952000.00,557823000.00,553819000.00,560345000.00,555887000.00,550179000.00,671476000.00,730657000.00,705377000.00,706355000.00,704299000.00,719752000.00,777561000.00,788706000.00,818864000.00,843338000.00,873819000.00,931126000.00,935523000.00,932414000.00,922316000.00,780250000.00,773924000.00,783414000.00,777444000.00,657957000.00,613345000.00,587491000.00,475703000.00,462760000.00,429690000.00,433264000.00,433380000.00,427203000.00,348326000.00,329731000.00,301813000.00,239647000.00,228830000.00,169372000.00,165902000.00,169508000.00,186305000.00,239101000.00,250348000.00,253318000.00,271606000.00,174298000.00,290598000.00,295417000.00,317551000.00,229987000.00,225539000.00,227877000.00,195333000.00,213782000.00,,
deferredLongTermLiab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460000.00,,4036000.00,4036000.00,4112000.00,,,,,,,,,10192000.00,9798000.00,,,,,,,,,,,,,,,,,,,,,,,,,
otherCurrentLiab,-22859000.00,-22778000.00,-18204000.00,-17312000.00,-14058000.00,-16590000.00,-10780000.00,-12962000.00,-6508000.00,-9015000.00,-6157000.00,-49676000.00,-129206000.00,-238522000.00,-282726000.00,-7816000.00,-5752000.00,-10487000.00,-6587000.00,-862214000.00,-16730000.00,-8071000.00,-9898000.00,-5153000.00,-4660000.00,-2787000.00,-2417000.00,-4480000.00,-12933000.00,-156629000.00,-161119000.00,-197913000.00,-168273000.00,-157278000.00,-145584000.00,-120424000.00,-44242000.00,-9948000.00,-13511000.00,-12650000.00,-12829000.00,-11258000.00,-10877000.00,-18029000.00,-16653000.00,-12050000.00,-12351000.00,-9571000.00,-141738000.00,-20951000.00,-7335000.00,-4978000.00,-12204000.00,-11743000.00,-4848000.00,-7917000.00,-8657000.00,-4630000.00,-7034000.00,-4712000.00,-4640000.00,-4599000.00,-76965000.00,-7142000.00,-22390000.00,-8155000.00,-9161000.00,-10152000.00,-781524000.00,-82152000.00,-141797000.00,-1140752000.00,-1105473000.00,,
