,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31
filing_date,2023-11-03,2023-08-02,2023-05-02,2023-02-15,2022-11-02,2022-07-29,2022-05-03,2022-02-15,2021-11-03,2021-07-30,2021-05-04,2021-02-18,2020-10-29,2020-08-06,2020-05-08,2020-02-20,2019-11-08,2019-07-26,2019-05-01,2019-02-21,2018-10-30,2018-07-26,2018-05-01,2018-03-01,2017-11-01,2017-08-03,2017-05-02,2017-03-07,2016-11-03,2016-08-04,2016-05-05,2016-03-01,2015-11-05,2015-07-30,2015-05-07,2015-03-05,2014-11-10,2014-08-06,2014-05-07,2014-03-17,2013-11-13,2013-08-07,2013-04-01,2013-04-01,2012-11-07,2012-08-14,2012-06-01,
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
totalAssets,2363176000.00,2400011000.00,2444320000.00,2523002000.00,2727186000.00,2696334000.00,2515805000.00,2631838000.00,2466685000.00,2256835000.00,2090803000.00,1929497000.00,1949058000.00,2021233000.00,2101355000.00,1784134000.00,1674697000.00,1671447000.00,1618440000.00,1603324000.00,1731512000.00,1817516000.00,1744155000.00,1770219000.00,1587468000.00,1662570000.00,1429000000.00,1373703000.00,1565139000.00,1332071000.00,1422115000.00,1378982000.00,1502186000.00,1544838000.00,1589781000.00,1867653000.00,1402478000.00,1421588000.00,1257861000.00,1176915000.00,839806000.00,581059000.00,387859000.00,387859000.00,220253000.00,171259000.00,84901000.00,7587000.00
intangibleAssets,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60978000.00,61800000.00,60148000.00,60077000.00,58525000.00,58889000.00,59614000.00,58558000.00,60132000.00,59640000.00,60878000.00,0.00,0.00,0.00,0.00,0.00,0.00,
earningAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherCurrentAssets,,,,,,24772000.00,,,,-108457000.00,60320000.00,-7489000.00,9200000.00,96404000.00,-132193000.00,-42413000.00,-36780000.00,-124226000.00,-1708000.00,-52425000.00,-55643000.00,-52324000.00,-66887000.00,-945000.00,-873000.00,-857000.00,-865000.00,-203000.00,-38291000.00,-1518000.00,-27667000.00,-38302000.00,-3197000.00,-3384000.00,-3579000.00,-21790000.00,-11045000.00,-63432000.00,-2267000.00,-5698000.00,,-3312000.00,-1746000.00,,1922000.00,2087000.00,77251000.00,
totalLiab,1680218000.00,1708820000.00,1726017000.00,1775462000.00,1960109000.00,1910334000.00,1826471000.00,1953210000.00,1793942000.00,1577798000.00,1514830000.00,1456482000.00,1479709000.00,655407000.00,1635290000.00,1357795000.00,1248953000.00,1245690000.00,1193338000.00,1177737000.00,1307354000.00,1395320000.00,1323441000.00,1351049000.00,1166968000.00,1245588000.00,1011110000.00,944030000.00,1099871000.00,877774000.00,968114000.00,922494000.00,1010562000.00,1055688000.00,1102626000.00,1386767000.00,1001439000.00,1017753000.00,853773000.00,770699000.00,429159000.00,186183000.00,222421000.00,222421000.00,53570000.00,3601000.00,55630000.00,1150000.00
totalStockholderEquity,682958000.00,691191000.00,718303000.00,747540000.00,767077000.00,786000000.00,689334000.00,678628000.00,672743000.00,679037000.00,575973000.00,473015000.00,469349000.00,465126000.00,466065000.00,426339000.00,425744000.00,425757000.00,425102000.00,425587000.00,424158000.00,422196000.00,420714000.00,419170000.00,420500000.00,416982000.00,417890000.00,419029000.00,418260000.00,407291000.00,406982000.00,409471000.00,407573000.00,405099000.00,403069000.00,402954000.00,401039000.00,403835000.00,404088000.00,406216000.00,410647000.00,394876000.00,165438000.00,165438000.00,166683000.00,167658000.00,29271000.00,6437000.00
deferredLongTermLiab,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
