,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-09-30
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,
filing_date,2023-11-13,2023-08-14,2023-04-05,2023-03-31,2022-11-10,2022-08-04,2022-05-16,2022-03-28,2021-11-15,2021-08-23,2021-03-31,
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,
totalAssets,83933622.00,82630033.00,348536442.00,348536442.00,348035240.00,346518982.00,346660861.00,346735255.00,347376722.00,1230487.00,834714.00,
intangibleAssets,,,,,,,,,,,,
earningAssets,,,,,,,,,,,,
otherCurrentAssets,605307.00,18058.00,424370.00,424370.00,648775.00,873181.00,1033837.00,1238043.00,1456948.00,1205487.00,809714.00,
totalLiab,20676494.00,19655113.00,16227765.00,16227765.00,16197864.00,15700505.00,15686837.00,14631647.00,14434601.00,1205487.00,809714.00,
totalStockholderEquity,63257128.00,62974920.00,332308677.00,-15610990.00,331837376.00,330818477.00,330974024.00,332103608.00,332942121.00,25000.00,25000.00,
deferredLongTermLiab,,12075000.00,12075000.00,,12075000.00,12075000.00,12075000.00,12075000.00,,1205487.00,,
otherCurrentLiab,5301494.00,4280113.00,67640.00,67640.00,67640.00,67640.00,67640.00,67640.00,67640.00,1205487.00,809714.00,
commonStock,83164554.00,82358388.00,347920530.00,347919667.00,347005882.00,345000863.00,345000863.00,345000863.00,345000863.00,863.00,863.00,
capitalStock,83164554.00,82358388.00,351735208.00,347920530.00,347005882.00,345000863.00,345000863.00,345000863.00,345000863.00,863.00,,
retainedEarnings,-19907426.00,-19383468.00,-15611853.00,-15611853.00,-15168506.00,-14182386.00,-14026839.00,-12897255.00,-12058742.00,-465.00,-465.00,
otherLiab,,,,,359080019.00,357075000.00,357075000.00,357075000.00,357075000.00,,,
goodWill,,,,,,,,,,,,
otherAssets,,,,,347237399.00,345609264.00,345223744.00,345066821.00,345030968.00,1205487.00,,
cash,56597.00,16517.00,106393.00,106393.00,149066.00,36537.00,403280.00,430391.00,888806.00,25000.00,25000.00,
cashAndEquivalents,,,,,,,,,,,,
totalCurrentLiabilities,8601494.00,7580113.00,4152765.00,4152765.00,4122864.00,3625505.00,3611837.00,2556647.00,2359601.00,1205487.00,809714.00,
