,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,1999-12-31,1999-09-30,1999-06-30,1999-03-31,1998-12-31,1998-09-30,1998-06-30,1998-03-31,1997-12-31,1997-09-30,1997-06-30,1997-03-31,1996-12-31,1996-09-30,1996-06-30,1996-03-31,1995-12-31,1995-09-30,1995-06-30,1995-03-31,1994-12-31,1994-09-30,1994-06-30,1994-03-31,1993-12-31,1993-09-30,1993-06-30,1993-03-31,1992-12-31,1992-09-30,1992-06-30,1992-03-31,1991-12-31,1991-09-30,1991-06-30,1991-03-31,1990-12-31,1990-09-30,1990-06-30,1990-03-31,1989-12-31,1989-09-30,1989-06-30,1989-03-31,1988-12-31,1988-09-30,1988-06-30,1988-03-31,1987-12-31,1987-09-30,1987-06-30,1987-03-31,1986-12-31,1986-09-30,1986-06-30,1986-03-31,1985-12-31,1985-09-30
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,1999-12-31,1999-09-30,1999-06-30,1999-03-31,1998-12-31,1998-09-30,1998-06-30,1998-03-31,1997-12-31,1997-09-30,1997-06-30,1997-03-31,1996-12-31,1996-09-30,1996-06-30,1996-03-31,1995-12-31,1995-09-30,1995-06-30,1995-03-31,1994-12-31,1994-09-30,1994-06-30,1994-03-31,1993-12-31,1993-09-30,1993-06-30,1993-03-31,1992-12-31,1992-09-30,1992-06-30,1992-03-31,1991-12-31,1991-09-30,1991-06-30,1991-03-31,1990-12-31,1990-09-30,1990-06-30,1990-03-31,1989-12-31,1989-09-30,1989-06-30,1989-03-31,1988-12-31,1988-09-30,1988-06-30,1988-03-31,1987-12-31,1987-09-30,1987-06-30,1987-03-31,1986-12-31,1986-09-30,1986-06-30,1986-03-31,1985-12-31,1985-09-30
filing_date,2023-11-08,2023-08-08,2023-05-09,2023-03-10,2022-11-09,2022-08-08,2022-05-09,2022-03-30,2021-11-09,2021-08-06,2021-05-07,2021-03-31,2020-11-06,2020-08-07,2020-05-08,2020-03-13,2019-11-07,2019-08-07,2019-05-09,2019-03-15,2018-11-09,2018-08-09,2018-05-10,2018-03-15,2017-11-09,2017-08-04,2017-05-12,2017-03-10,2016-11-04,2016-08-15,2016-05-13,2016-03-11,2015-11-12,2015-08-14,2015-05-13,2015-03-06,2014-11-14,2014-08-14,2014-05-02,2014-03-06,2013-11-08,2013-08-13,2013-05-10,2013-03-08,2012-11-09,2012-08-14,2012-05-14,2012-03-07,2011-11-07,2011-08-05,2011-05-12,2011-03-11,2010-11-12,2010-08-12,2010-05-10,2010-03-09,2009-11-13,2009-08-14,2009-05-05,2009-03-10,2008-10-29,2008-08-05,2008-05-05,2008-03-12,2007-11-09,2007-08-07,2007-05-15,2007-03-15,2006-11-07,2006-08-03,2006-05-10,2006-03-16,2005-11-14,2005-07-28,2005-04-28,2005-03-18,2004-10-28,2004-07-28,2004-04-28,2004-03-05,2003-10-24,2003-07-21,2003-04-30,2003-03-14,2002-11-12,2002-08-14,2002-05-15,2002-03-26,2001-11-14,2001-08-14,2001-05-14,2001-03-28,2000-11-14,2000-08-14,2000-05-15,2000-03-30,1999-11-15,1999-08-16,1999-05-17,1999-03-31,1998-11-13,1998-08-12,1998-05-04,1998-03-27,1997-11-03,1997-08-12,1997-05-14,1997-03-28,1996-11-14,1996-08-13,1996-05-15,1996-03-29,1995-11-13,1995-08-11,1995-05-12,1994-12-31,1994-09-30,1994-06-30,1994-03-31,1993-12-31,1993-09-30,1993-06-30,1993-03-31,1992-12-31,1992-09-30,1992-06-30,1992-03-31,1991-12-31,1991-09-30,1991-06-30,1991-03-31,1990-12-31,1990-09-30,1990-06-30,1990-03-31,1989-12-31,1989-09-30,1989-06-30,1989-03-31,1988-12-31,1988-09-30,1988-06-30,1988-03-31,1987-12-31,1987-09-30,1987-06-30,1987-03-31,1986-12-31,1986-09-30,1986-06-30,1986-03-31,1985-12-31,1985-09-30
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
totalAssets,156269000.00,161846000.00,157468000.00,164377000.00,174484000.00,176545000.00,153077000.00,144439000.00,141430000.00,139138000.00,135314000.00,129867736.00,123017000.00,123251000.00,108122000.00,110749000.00,114224000.00,117030000.00,110615000.00,109478000.00,115183000.00,118578000.00,107246000.00,114730000.00,110938000.00,109362000.00,100204000.00,92067000.00,99372000.00,104727000.00,88290000.00,81421000.00,86576000.00,89421000.00,78800000.00,79308000.00,84942000.00,87987000.00,61781000.00,68079000.00,70737000.00,74736000.00,65494000.00,67828000.00,67660000.00,69154000.00,52885000.00,55221736.00,55344000.00,50270000.00,51367000.00,49581018.00,49769000.00,50269000.00,41909000.00,42309473.00,44071000.00,48632000.00,42672000.00,45424072.00,47099000.00,51540000.00,43016000.00,42222393.00,42850000.00,43001000.00,34440000.00,35020966.00,38724000.00,36382000.00,30442000.00,28193966.00,28321000.00,28198000.00,21906000.00,23008603.00,24435000.00,24609000.00,19605000.00,20022897.00,21799000.00,20924000.00,17760000.00,17613996.00,19925000.00,22773000.00,20644000.00,20173370.00,22813000.00,24916000.00,21763000.00,21118215.00,23206000.00,23803000.00,21611000.00,20767450.00,23400000.00,26200000.00,25500000.00,28900000.00,33600000.00,32800000.00,30700000.00,29900000.00,31500000.00,32300000.00,29600000.00,27300000.00,29800000.00,32700000.00,36100000.00,37000000.00,44800000.00,47400000.00,45800000.00,42900000.00,44100000.00,44700000.00,42400000.00,42000000.00,44500000.00,44600000.00,43800000.00,43700000.00,48600000.00,52000000.00,48500000.00,41100000.00,39500000.00,38100000.00,38000000.00,37800000.00,37200000.00,35500000.00,33400000.00,27800000.00,,,,32800000.00,,,,30900000.00,,,,29600000.00,,,,30200000.00,
intangibleAssets,19546000.00,27969.00,20274000.00,20790000.00,21295000.00,21624624.00,16888000.00,17231000.00,17615000.00,18019000.00,18361000.00,18721423.00,16072000.00,15164000.00,15478000.00,15793000.00,16107000.00,16422000.00,16736000.00,16664000.00,16959000.00,17268000.00,17576000.00,17896000.00,18929000.00,19227000.00,19525000.00,13988000.00,16768000.00,13596000.00,17224000.00,11950991.00,8613000.00,12174000.00,12374000.00,12554611.00,12761000.00,14251000.00,4035000.00,4071897.00,4105000.00,4156000.00,4200000.00,4240401.00,4275000.00,4288000.00,3264000.00,3284663.00,3326000.00,1850000.00,3354000.00,1866231.00,,,1863648.00,1863648.00,,,1845391.00,1845391.00,89000.00,89000.00,89000.00,1658880.00,89000.00,89000.00,89000.00,877796.00,89000.00,89000.00,89000.00,857612.00,89000.00,89000.00,89000.00,745010.00,89000.00,89000.00,89000.00,447100.00,89000.00,89000.00,89000.00,364667.00,89000.00,89000.00,156000.00,157017.00,161000.00,162000.00,168000.00,172096.00,174000.00,180000.00,188000.00,,400000.00,400000.00,400000.00,500000.00,500000.00,500000.00,500000.00,500000.00,500000.00,500000.00,500000.00,800000.00,1700000.00,1800000.00,1900000.00,800000.00,800000.00,800000.00,900000.00,900000.00,900000.00,900000.00,900000.00,900000.00,2900000.00,3000000.00,3100000.00,900000.00,3100000.00,3000000.00,500000.00,500000.00,500000.00,500000.00,500000.00,500000.00,600000.00,300000.00,300000.00,300000.00,,,,1300000.00,,,,1400000.00,,,,1600000.00,,,,1700000.00,
earningAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherCurrentAssets,3779000.00,4330000.00,4210000.00,3572000.00,3990000.00,3647000.00,3810000.00,2635000.00,2458000.00,2234000.00,2477000.00,1640904.00,2142000.00,2438000.00,1926000.00,1578248.00,1787000.00,2085000.00,2281000.00,2149295.00,2270000.00,2525000.00,2766000.00,1000.00,-1000.00,2417000.00,2879000.00,2293579.00,1995000.00,2424000.00,2733000.00,2134917.00,2171000.00,2425000.00,2476000.00,2077420.00,1839000.00,1000.00,1755000.00,1.00,1884000.00,2115000.00,1000.00,1925212.00,1911000.00,1859000.00,1926000.00,1269861.00,1075000.00,1298000.00,-1000.00,1402345.00,1174000.00,1213000.00,1229000.00,1133187.00,1207000.00,961000.00,1245000.00,1088394.00,951000.00,1121000.00,1228000.00,1210544.00,1302000.00,1287000.00,1755000.00,1119559.00,1105000.00,1222000.00,1307000.00,866910.00,1007000.00,818000.00,843000.00,763733.00,647000.00,771000.00,873000.00,546185.00,491000.00,772000.00,1030000.00,1249819.00,988000.00,1593000.00,1205000.00,1047586.00,816000.00,780000.00,1128000.00,432537.00,685000.00,801000.00,1000.00,508011.00,200000.00,400000.00,1200000.00,100000.00,900000.00,-100000.00,100000.00,200000.00,100000.00,1500000.00,-100000.00,400000.00,100000.00,400000.00,800000.00,700000.00,1600000.00,900000.00,-100000.00,1000000.00,1200000.00,1100000.00,1300000.00,1200000.00,1100000.00,1200000.00,1300000.00,600000.00,1900000.00,1800000.00,1800000.00,1300000.00,1300000.00,1200000.00,1400000.00,1400000.00,1500000.00,1400000.00,1500000.00,1500000.00,,,,1300000.00,,,,1100000.00,,,,1200000.00,,,,600000.00,
totalLiab,70363000.00,78195000.00,77352000.00,85347000.00,95503000.00,96723000.00,75304000.00,67357000.00,64881000.00,64686000.00,70687000.00,67151293.00,62421000.00,64244000.00,52297000.00,55044000.00,59200000.00,62228000.00,57747000.00,57145000.00,62692000.00,66354000.00,56755000.00,64792000.00,60218000.00,60014000.00,53601000.00,45946000.00,53625000.00,59201000.00,45145000.00,38237000.00,42878000.00,46886000.00,39334000.00,39880000.00,45803000.00,50149000.00,26741000.00,33074000.00,36285000.00,41526000.00,34592000.00,36962000.00,37282000.00,39715000.00,25105000.00,27446809.00,27783000.00,25346000.00,25653000.00,24229207.00,24556000.00,25348000.00,17310000.00,17768223.00,19299000.00,24524000.00,20415000.00,22536409.00,21697000.00,26796000.00,20062000.00,19175650.00,20525000.00,22332000.00,15879000.00,16889607.00,21012000.00,19823000.00,15679000.00,14128972.00,14341000.00,13892000.00,7744000.00,9026139.00,11420000.00,12776000.00,8820000.00,9844273.00,12235000.00,11482000.00,8983000.00,9134191.00,10562000.00,13531000.00,11855000.00,11501471.00,14266000.00,16257000.00,13898000.00,13225595.00,15474000.00,16317000.00,14473000.00,13849459.00,16700000.00,19700000.00,19100000.00,24200000.00,27200000.00,26500000.00,24500000.00,23600000.00,24700000.00,25700000.00,23200000.00,20800000.00,22900000.00,25300000.00,27400000.00,27500000.00,26500000.00,28900000.00,27600000.00,24800000.00,25900000.00,26700000.00,24600000.00,24000000.00,25800000.00,25900000.00,25100000.00,24700000.00,28000000.00,31200000.00,28100000.00,20500000.00,19100000.00,18300000.00,18300000.00,18000000.00,17400000.00,15900000.00,14400000.00,9600000.00,,,,13100000.00,,,,11000000.00,,,,10300000.00,,,,9100000.00,
totalStockholderEquity,85906000.00,83651000.00,80116000.00,79030000.00,78981000.00,79822000.00,77773000.00,77082000.00,76549000.00,74452000.00,64627000.00,62716443.00,60596000.00,59007000.00,55825000.00,55705000.00,55024000.00,54802000.00,52868000.00,52333000.00,52491000.00,52224000.00,50491000.00,49938000.00,50720000.00,49348000.00,46603000.00,46121000.00,45747000.00,45526000.00,43145000.00,43184000.00,43698000.00,42535000.00,39466000.00,39428000.00,39139000.00,37838000.00,35040000.00,35005000.00,34452000.00,33210000.00,30902000.00,30866000.00,30378000.00,29439000.00,27780000.00,27774927.00,27561000.00,24924000.00,25714000.00,25351811.00,25213000.00,24921000.00,24599000.00,24541250.00,24772000.00,24108000.00,22257000.00,22887663.00,25402000.00,24744000.00,22954000.00,23046743.00,22325000.00,20669000.00,18561000.00,18131359.00,17712000.00,16559000.00,14763000.00,14064994.00,13980000.00,14306000.00,14162000.00,13982464.00,13015000.00,11833000.00,10785000.00,10178624.00,9564000.00,9442000.00,8777000.00,8479805.00,9363000.00,9242000.00,8789000.00,8671899.00,8547000.00,8659000.00,7865000.00,7892620.00,7732000.00,7486000.00,7138000.00,6917991.00,6700000.00,6500000.00,6400000.00,4700000.00,6400000.00,6300000.00,6200000.00,6300000.00,6800000.00,6600000.00,6400000.00,6500000.00,6900000.00,7400000.00,8700000.00,9500000.00,18300000.00,18500000.00,18200000.00,18100000.00,18200000.00,18000000.00,17800000.00,18000000.00,18700000.00,18700000.00,18700000.00,19000000.00,20600000.00,20800000.00,20400000.00,20600000.00,20400000.00,19800000.00,19700000.00,19800000.00,19800000.00,19600000.00,19000000.00,18200000.00,,,,19700000.00,,,,19900000.00,,,,19300000.00,,,,21100000.00,
deferredLongTermLiab,,,305000.00,305285.00,,,,,,,,110221.00,,,,49284.00,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
