,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,1999-12-31,1999-09-30,1999-06-30,1999-03-31,1998-12-31,1998-09-30,1998-06-30,1998-03-31,1997-12-31,1997-09-30,1997-06-30,1997-03-31,1996-12-31,1996-09-30,1996-06-30,1996-03-31,1995-12-31,1995-09-30,1995-06-30,1995-03-31,1994-12-31,1994-09-30,1994-06-30,1994-03-31
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,1999-12-31,1999-09-30,1999-06-30,1999-03-31,1998-12-31,1998-09-30,1998-06-30,1998-03-31,1997-12-31,1997-09-30,1997-06-30,1997-03-31,1996-12-31,1996-09-30,1996-06-30,1996-03-31,1995-12-31,1995-09-30,1995-06-30,1995-03-31,1994-12-31,1994-09-30,1994-06-30,1994-03-31
filing_date,2023-10-24,2023-08-01,2023-05-04,2023-02-14,2022-11-01,2022-08-02,2022-05-03,2022-02-22,2021-11-01,2021-07-26,2021-05-03,2021-02-18,2020-10-19,2020-07-20,2020-04-20,2020-02-20,2019-10-21,2019-07-22,2019-04-22,2019-02-21,2018-10-22,2018-07-23,2018-04-23,2018-02-22,2017-10-23,2017-07-24,2017-04-24,2017-02-23,2016-10-24,2016-07-27,2016-04-27,2016-03-11,2015-10-30,2015-07-31,2015-05-01,2015-03-06,2014-10-31,2014-08-01,2014-05-02,2014-03-07,2013-11-01,2013-08-02,2013-05-03,2013-03-11,2012-11-02,2012-08-03,2012-05-04,2012-03-12,2011-11-04,2011-08-05,2011-05-10,2011-03-15,2010-11-05,2010-08-09,2010-05-10,2010-03-12,2009-11-04,2009-08-07,2009-05-08,2009-03-13,2008-11-07,2008-08-08,2008-05-08,2008-03-13,2007-11-08,2007-08-07,2007-05-09,2007-03-14,2006-11-07,2006-08-08,2006-05-05,2006-03-16,2005-11-04,2005-08-05,2005-05-05,2005-03-15,2004-11-05,2004-08-06,2004-05-06,2004-03-15,2003-11-13,2003-08-14,2003-05-12,2003-03-24,2002-11-14,2002-08-09,2002-05-09,2002-03-26,2001-11-06,2001-08-03,2001-05-02,2001-03-23,2000-11-02,2000-08-09,2000-05-04,2000-03-22,1999-11-02,1999-08-06,1999-05-04,1999-03-22,1998-11-03,1998-08-10,1998-05-12,1998-03-23,1997-11-13,1997-08-05,1997-05-14,1997-03-28,1996-11-06,1996-08-07,1996-05-10,1995-12-31,1995-09-30,1995-06-30,1995-03-31,1994-12-31,1994-09-30,1994-06-30,1994-03-31
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
totalAssets,7647106000.00,7272006000.00,6986427000.00,6713189000.00,6556101000.00,6038232000.00,5638590000.00,5226906000.00,4997500000.00,4764523000.00,4278402000.00,3886183000.00,3547614000.00,3111642000.00,2908945000.00,2664530000.00,2523321000.00,2304443000.00,2150337000.00,2028189000.00,1748634000.00,1748634000.00,1527247000.00,1494634000.00,1366973000.00,1286840000.00,1158240000.00,1111925000.00,1038813000.00,973104000.00,825553310.00,792550000.00,749237000.00,705067000.00,653046000.00,593580000.00,522823000.00,481159000.00,466486000.00,462742000.00,443619000.00,410852000.00,380207000.00,370093000.00,332678000.00,315076000.00,291583000.00,293943958.00,282023000.00,281363000.00,280678000.00,285042367.00,274057000.00,270353000.00,266952638.00,261788718.00,260940000.00,259925000.00,257021701.00,256896835.00,258567190.00,247900384.00,241881675.00,239347506.00,230792630.00,227677615.00,224595139.00,223514599.00,218612175.00,216260090.00,216598101.00,223459607.00,215729849.00,217198742.00,216000297.00,215702360.00,209575946.00,193970734.00,190525492.00,191685714.00,188145780.00,184118124.00,184285410.00,178162172.00,166309542.00,165645582.00,166161711.00,167511346.00,165406120.00,165590489.00,164372786.00,166052090.00,161235651.00,160078112.00,157032795.00,158195537.00,152900000.00,151900000.00,148400000.00,149647872.00,146200000.00,135100000.00,133400000.00,130491504.00,123700000.00,123500000.00,121800000.00,121381870.00,119100000.00,117200000.00,112600000.00,108900000.00,101500000.00,93300000.00,88900000.00,89700000.00,89800000.00,90300000.00,
intangibleAssets,849191000.00,825998000.00,803654000.00,799448000.00,763458000.00,739319000.00,716509000.00,672020000.00,645594000.00,601545000.00,545376000.00,473592000.00,422373000.00,368812000.00,354685000.00,343514000.00,335840000.00,307303000.00,289928000.00,280153000.00,270606000.00,270606000.00,208663000.00,195158000.00,184920000.00,172928000.00,140652000.00,109824000.00,102602000.00,100511000.00,76650860.00,76552000.00,65571624.00,61515812.00,56520276.00,47479602.00,38307803.00,29459224.00,29160682.00,27705499.00,27903865.00,26926820.00,23174203.00,21342122.00,21825887.00,24712993.00,16308407.00,16150299.00,13531175.00,8539863.00,8561163.00,8152000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
earningAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherCurrentAssets,,,,,1027000.00,840000.00,,7674000.00,16498000.00,12580000.00,13549000.00,3017000.00,1515000.00,7043000.00,20049000.00,26554000.00,1449000.00,16909000.00,3024000.00,20000.00,2803000.00,1436000.00,8874000.00,7975000.00,1779000.00,5409000.00,,,12292000.00,,,,,,,,,,,,,,,,3280616.00,3280534.00,,,,,,,,760000.00,9772416.00,,,,,,,,,-1315003.00,,,,-1195870.00,,,,-6445145.00,,,,-1214821.00,,,,-1626426.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
totalLiab,2401712000.00,2293961000.00,2188583000.00,2082799000.00,2007394000.00,2063992000.00,1962849000.00,1807590000.00,1655899000.00,1644372000.00,1478526000.00,1359934000.00,1282227000.00,925666000.00,1151933000.00,972968000.00,1032907000.00,836520000.00,860915000.00,789703000.00,682763000.00,680256000.00,614384000.00,583444000.00,544156000.00,490888000.00,470688000.00,426415000.00,463382000.00,414416000.00,375098679.00,338930000.00,349552000.00,334440000.00,300177000.00,237545000.00,236207000.00,194166000.00,175292000.00,170526000.00,200593000.00,166818000.00,136890000.00,172128000.00,135163000.00,117107000.00,93823000.00,131719677.00,119392000.00,113142000.00,112448000.00,117912091.00,98986000.00,94714000.00,121562876.00,121961834.00,121643000.00,121297000.00,118978677.00,118914691.00,120746000.00,110300594.00,104428398.00,101837516.00,94379971.00,91311506.00,88262451.00,87217406.00,82456366.00,80015563.00,80214007.00,86853912.00,81481583.00,82629981.00,81321844.00,112195518.00,106653887.00,92036885.00,88623341.00,89676539.00,87206466.00,125120209.00,125611240.00,119752441.00,108584479.00,108104538.00,108785712.00,110181292.00,108198213.00,108565642.00,107394267.00,108917396.00,103967414.00,102692439.00,99343166.00,100302975.00,94700000.00,93500000.00,89700000.00,90173958.00,85900000.00,75200000.00,72900000.00,69874148.00,62600000.00,61800000.00,91200000.00,91070819.00,89000000.00,86500000.00,81500000.00,77500000.00,69600000.00,61000000.00,56100000.00,56400000.00,55900000.00,55900000.00,
totalStockholderEquity,5244281000.00,4976840000.00,4796544000.00,4628998000.00,4547174000.00,3972584000.00,3674073000.00,3417687000.00,3339886000.00,3118395000.00,2798023000.00,2524487000.00,2263570000.00,2184101000.00,1755086000.00,1689331000.00,1488219000.00,1465639000.00,1287066000.00,1236075000.00,1065871000.00,1065871000.00,910309000.00,908661000.00,820299000.00,793379000.00,684989000.00,682978000.00,572979000.00,556302000.00,448043432.00,451124000.00,397197000.00,368210000.00,350523000.00,353620000.00,284131000.00,284487000.00,288581000.00,289569000.00,240392000.00,241365000.00,240656000.00,195309000.00,194860000.00,195288000.00,195073000.00,159545556.00,159927000.00,165317000.00,165314000.00,164239342.00,171882000.00,172412000.00,142112112.00,136763317.00,136244000.00,135596000.00,132712449.00,132635403.00,131968000.00,131742753.00,131584346.00,131613810.00,130583173.00,130520785.00,130470646.00,130418600.00,130270700.00,130327180.00,130439399.00,130627060.00,128447823.00,128741484.00,128830448.00,97631987.00,97058494.00,96146012.00,96105584.00,96187436.00,95235146.00,53166570.00,52873081.00,52622724.00,52017671.00,51846864.00,51693365.00,51631953.00,51517302.00,51349563.00,51300469.00,51427086.00,51535018.00,51629432.00,51892407.00,52033550.00,52300000.00,52500000.00,52700000.00,53426071.00,54100000.00,54400000.00,54900000.00,54966009.00,55400000.00,55900000.00,24800000.00,24442037.00,24300000.00,24800000.00,25100000.00,25300000.00,25700000.00,26000000.00,26400000.00,26800000.00,27100000.00,27500000.00,
deferredLongTermLiab,,,,,763458000.00,739319000.00,,672020000.00,645594000.00,601545000.00,545376000.00,473592000.00,422373000.00,368812000.00,354685000.00,343514000.00,335840000.00,307303000.00,289928000.00,5102000.00,1554000.00,2320000.00,2185000.00,2312000.00,2157000.00,2499000.00,2355000.00,2528000.00,705000.00,1013953.00,1129798.00,1245643.00,1361488.00,1477333.00,1593178.00,1709023.00,1824868.00,1940713.00,2056558.00,2172403.00,2288248.00,2404093.00,2519938.00,2635783.00,2751628.00,2867473.00,2983318.00,3099163.00,3215008.00,9705979.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
