,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-03-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,1999-12-31,2018-06-30
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-03-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,1999-12-31,
filing_date,2023-11-07,2023-08-08,2023-05-09,2023-03-15,2022-11-08,2022-08-09,2022-03-31,2022-03-17,2021-09-30,2021-06-30,2021-03-31,2021-03-18,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,,2018-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,
totalAssets,466900000.00,507302000.00,467672000.00,529168000.00,531759000.00,520463000.00,581886000.00,617972000.00,637979000.00,464386000.00,461705000.00,513692000.00,521526000.00,373842000.00,,137682000.00,,200839000.00,200839000.00,150558000.00,,1474500000.00,1415000000.00,1345100000.00,1336100000.00,1322700000.00,1307500000.00,1316900000.00,1921000000.00,2051800000.00,2234500000.00,2205100000.00,1764800000.00,1737400000.00,1716500000.00,1598200000.00,1611400000.00,1574200000.00,1568500000.00,1514700000.00,1535000000.00,1516200000.00,1499200000.00,1432900000.00,1428100000.00,1354600000.00,1250600000.00,1290100000.00,1296900000.00,1293300000.00,951800000.00,1063400000.00,1144200000.00,1574400000.00,2290000000.00,2340900000.00,2499700000.00,2697000000.00,2972300000.00,3722000000.00,3970500000.00,4001300000.00,2425671000.00,1814519000.00,
intangibleAssets,12358000.00,13536000.00,13586000.00,14360000.00,14598000.00,14575000.00,13851000.00,13582000.00,13316000.00,12010000.00,,10179000.00,,187477000.00,,8434000.00,,8419000.00,8419000.00,6674000.00,,81900000.00,85400000.00,89800000.00,94600000.00,94900000.00,99800000.00,105800000.00,520400000.00,525500000.00,528200000.00,537800000.00,360300000.00,365200000.00,370200000.00,374800000.00,380500000.00,386600000.00,393100000.00,398900000.00,405500000.00,262400000.00,263700000.00,270300000.00,273100000.00,249600000.00,,,26700000.00,,,3800000.00,3800000.00,143600000.00,144000000.00,140100000.00,,,,,,,,,
earningAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherCurrentAssets,21283000.00,22004000.00,27173000.00,28039000.00,18243000.00,12151000.00,18246000.00,17298000.00,14310000.00,12751000.00,10120000.00,1656000.00,12003000.00,10532000.00,,1743000.00,1478000.00,3237000.00,3237000.00,180000.00,,51900000.00,36600000.00,38800000.00,30100000.00,33000000.00,42900000.00,45800000.00,42600000.00,33700000.00,33400000.00,37400000.00,32500000.00,30500000.00,32300000.00,37300000.00,46400000.00,53200000.00,47200000.00,44100000.00,33400000.00,34900000.00,34200000.00,35600000.00,41700000.00,61500000.00,42000000.00,76800000.00,48600000.00,44700000.00,54200000.00,75700000.00,171100000.00,167900000.00,197400000.00,224800000.00,349100000.00,281000000.00,279500000.00,406900000.00,96300000.00,190287000.00,62052000.00,52085000.00,
totalLiab,521081000.00,515891000.00,429987000.00,440441000.00,426976000.00,405117000.00,419219000.00,451884000.00,450671000.00,220468000.00,163737000.00,178187000.00,145467000.00,177540000.00,,26526000.00,,22850000.00,22850000.00,24315000.00,,1040100000.00,985600000.00,989800000.00,977000000.00,943300000.00,940800000.00,947400000.00,1006800000.00,1015900000.00,1223400000.00,1218300000.00,757200000.00,735800000.00,736500000.00,718800000.00,737900000.00,746400000.00,757200000.00,731700000.00,761100000.00,738800000.00,750200000.00,720000000.00,768800000.00,759100000.00,642300000.00,656900000.00,669200000.00,675800000.00,285400000.00,371100000.00,412000000.00,475600000.00,549000000.00,513200000.00,606300000.00,664000000.00,828800000.00,1145200000.00,1057800000.00,1144428000.00,655076000.00,418514000.00,
totalStockholderEquity,-54181000.00,-8589000.00,37685000.00,88727000.00,104783000.00,115346000.00,162667000.00,166088000.00,187308000.00,243918000.00,297968000.00,335505000.00,376059000.00,196302000.00,,111156000.00,,177989000.00,177989000.00,126243000.00,249166000.00,429600000.00,424600000.00,350400000.00,354300000.00,379400000.00,366700000.00,369500000.00,914200000.00,1035900000.00,1011100000.00,986800000.00,1007600000.00,1001600000.00,980000000.00,879400000.00,873500000.00,827800000.00,811300000.00,783000000.00,773900000.00,777400000.00,749000000.00,712900000.00,659300000.00,595500000.00,608300000.00,633200000.00,627700000.00,617500000.00,666400000.00,692300000.00,732200000.00,1098800000.00,1741000000.00,1827700000.00,1893400000.00,2033000000.00,2143500000.00,2576800000.00,2912700000.00,2856872000.00,1770595000.00,1396005000.00,
deferredLongTermLiab,,,,,954000.00,894000.00,713000.00,631000.00,926000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
