,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2010-02-04,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,1999-12-31,1999-09-30,1999-06-30,1999-03-31,1998-12-31,1998-09-30,1998-06-30,1998-03-31,1997-12-31,1997-09-30,1997-06-30,1997-03-31,1996-12-31,1996-09-30,1996-06-30,1996-03-31,1995-12-31,1995-09-30,1995-06-30,1995-03-31,1994-12-31,1994-09-30,1994-06-30,1994-03-31,1993-12-31,1993-09-30,1993-06-30,1993-03-31,1992-12-31,1992-09-30,1992-06-30,1992-03-31,1991-12-31,1991-09-30,1991-06-30,1991-03-31,1990-12-31,1990-09-30,1990-06-30,1990-03-31,1989-12-31,1989-09-30,1989-06-30,1989-03-31,1988-12-31,1988-09-30,1988-06-30,1988-03-31,1987-12-31,1987-09-30,1987-06-30,1987-03-31,1986-12-31,1986-09-30,1986-06-30,1986-03-31,1985-12-31,1985-09-30
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2010-02-04,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,1999-12-31,1999-09-30,1999-06-30,1999-03-31,1998-12-31,1998-09-30,1998-06-30,1998-03-31,1997-12-31,1997-09-30,1997-06-30,1997-03-31,1996-12-31,1996-09-30,1996-06-30,1996-03-31,1995-12-31,1995-09-30,1995-06-30,1995-03-31,1994-12-31,1994-09-30,1994-06-30,1994-03-31,1993-12-31,1993-09-30,1993-06-30,1993-03-31,1992-12-31,1992-09-30,1992-06-30,1992-03-31,1991-12-31,1991-09-30,1991-06-30,1991-03-31,1990-12-31,1990-09-30,1990-06-30,1990-03-31,1989-12-31,1989-09-30,1989-06-30,1989-03-31,1988-12-31,1988-09-30,1988-06-30,1988-03-31,1987-12-31,1987-09-30,1987-06-30,1987-03-31,1986-12-31,1986-09-30,1986-06-30,1986-03-31,1985-12-31,1985-09-30
filing_date,2023-10-24,2023-07-25,2023-04-25,2023-02-14,2022-10-25,2022-07-26,2022-04-26,2022-02-17,2021-10-26,2021-07-27,2021-04-28,2021-02-18,2020-10-30,2020-07-30,2020-05-01,2020-02-18,2019-10-31,2019-08-01,2019-04-26,2019-02-19,2018-11-06,2018-07-31,2018-05-01,2018-02-16,2017-10-31,2017-08-01,2017-05-02,2017-02-17,2016-11-01,2016-08-02,2016-05-03,2016-02-19,2015-11-03,2015-08-04,2015-05-06,2015-02-20,2014-11-05,2014-08-05,2014-05-02,2014-02-26,2013-11-01,2013-08-07,2013-05-07,2013-02-28,2012-11-05,2012-08-27,2012-05-09,2012-02-06,2011-11-07,2011-08-25,2011-05-10,2011-02-09,2010-11-08,2010-08-30,2010-05-10,2010-02-08,2009-12-31,2009-11-06,2009-08-26,2009-05-11,2009-02-09,2008-11-10,2008-08-29,2008-05-09,2008-02-08,2007-11-08,2007-08-27,2007-05-09,2007-02-06,2006-11-07,2006-09-11,2006-05-09,2006-02-08,2005-11-08,2005-09-09,2005-05-06,2005-02-08,2004-11-05,2004-09-08,2004-05-14,2004-02-13,2003-11-12,2003-09-03,2003-05-13,2003-02-13,2002-11-12,2002-09-20,2002-05-13,2002-02-13,2001-11-13,2001-09-28,2001-05-09,2001-02-14,2000-11-14,2000-09-28,2000-05-12,2000-02-11,1999-11-12,1999-09-22,1999-05-14,1999-02-12,1998-09-30,1998-09-24,1998-05-15,1998-02-13,1997-10-01,1997-09-29,1997-05-15,1997-02-13,1996-09-30,1996-09-30,1996-05-15,1995-12-31,1995-11-14,1995-08-17,1995-05-12,1995-02-13,1994-11-14,1994-09-27,1994-05-10,1994-02-09,1993-09-30,1993-06-30,1993-03-31,1992-12-31,1992-09-30,1992-06-30,1992-03-31,1991-12-31,1991-09-30,1991-06-30,1991-03-31,1990-12-31,1990-09-30,1990-06-30,1990-03-31,1989-12-31,1989-09-30,1989-06-30,1989-03-31,1988-12-31,1988-09-30,1988-06-30,1988-03-31,1987-12-31,1987-09-30,1987-06-30,1987-03-31,1986-12-31,1986-09-30,1986-06-30,1986-03-31,1985-12-31,1985-09-30
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
totalAssets,37105000000.00,37137000000.00,38833000000.00,37028000000.00,58304000000.00,61828000000.00,64866000000.00,35716000000.00,52298000000.00,34951000000.00,35729000000.00,33581000000.00,31099000000.00,44341000000.00,48395000000.00,43997000000.00,41804000000.00,42616000000.00,43151000000.00,40833000000.00,39664000000.00,38755000000.00,41100000000.00,39963000000.00,38969000000.00,37817000000.00,39630000000.00,39769000000.00,39853000000.00,40098000000.00,39681000000.00,40157000000.00,40877000000.00,40568000000.00,41715000000.00,44027000000.00,41821000000.00,39930000000.00,41444000000.00,43752000000.00,41448000000.00,40238000000.00,43226000000.00,45136000000.00,30712000000.00,30712000000.00,30851000000.00,29123000000.00,29788000000.00,31028000000.00,32808000000.00,42610000000.00,25870000000.00,31548000000.00,32326000000.00,33529000000.00,24426000000.00,31861000000.00,31585000000.00,31975000000.00,33901000000.00,34707000000.00,37056000000.00,36513000000.00,33490000000.00,29392000000.00,25118000000.00,25351416000.00,25045614000.00,21972020000.00,21269030000.00,20546481000.00,20098708000.00,19852793000.00,18598105000.00,18981797000.00,19375223000.00,18893383000.00,19368821000.00,21112047000.00,19938630000.00,17686389000.00,17182879000.00,17554765000.00,17869478000.00,16888579000.00,15416273000.00,15318181000.00,15194587000.00,14591696000.00,14339931000.00,14154984000.00,15097847000.00,14436706000.00,14423100000.00,14628698000.00,14911300000.00,14679900000.00,14029900000.00,13945800000.00,14253500000.00,13851400000.00,13833500000.00,13688800000.00,13688800000.00,12022900000.00,11354400000.00,11634200000.00,11634200000.00,10784900000.00,10449900000.00,10402800000.00,10640400000.00,10134200000.00,9756900000.00,9939900000.00,9625000000.00,9267700000.00,8746900000.00,8748000000.00,8661600000.00,8451900000.00,8404100000.00,8269100000.00,7931400000.00,7861100000.00,7524500000.00,6992600000.00,6963600000.00,6826000000.00,6260600000.00,6022000000.00,6073000000.00,5918300000.00,5450000000.00,5523300000.00,5261600000.00,4988100000.00,4728300000.00,,,,4397600000.00,,,,3862100000.00,,,,3315400000.00,,,
intangibleAssets,6392000000.00,6542000000.00,6583000000.00,2382000000.00,6364000000.00,6547000000.00,6750000000.00,2565000000.00,5705000000.00,5266000000.00,5249000000.00,1962000000.00,5275000000.00,5212000000.00,5194000000.00,2091000000.00,5401000000.00,5545000000.00,5459000000.00,1545000000.00,4065000000.00,3834000000.00,3970000000.00,1544000000.00,3939000000.00,3866000000.00,3780000000.00,1457000000.00,3852000000.00,3865000000.00,3889000000.00,1503000000.00,3213000000.00,3256000000.00,3124000000.00,1273000000.00,732000000.00,753000000.00,758000000.00,197000000.00,552000000.00,545000000.00,544000000.00,208000000.00,0.00,345000000.00,596000000.00,591000000.00,607000000.00,344000000.00,594000000.00,587000000.00,531000000.00,262000000.00,519000000.00,0.00,524000000.00,531000000.00,256000000.00,493000000.00,501000000.00,501000000.00,246000000.00,329000000.00,323000000.00,319000000.00,234000000.00,320322000.00,319799000.00,321649000.00,227183000.00,,323845000.00,345022000.00,325167000.00,344622000.00,343987000.00,337921000.00,337474000.00,338095000.00,342669000.00,338427000.00,344720000.00,315329000.00,301118000.00,307749000.00,153668000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
earningAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherCurrentAssets,11036000000.00,10898000000.00,13457000000.00,11627000000.00,53000000.00,249000000.00,241000000.00,10546000000.00,151000000.00,11628000000.00,176000000.00,135000000.00,284000000.00,263000000.00,395000000.00,278000000.00,210000000.00,249000000.00,172000000.00,223000000.00,203000000.00,256000000.00,312000000.00,372000000.00,179000000.00,175000000.00,321000000.00,451000000.00,460000000.00,185000000.00,604000000.00,687000000.00,2594000000.00,1733000000.00,2599000000.00,2714000000.00,2760000000.00,2180000000.00,2714000000.00,2750000000.00,2784000000.00,2585000000.00,3426000000.00,,11710000000.00,9856000000.00,9659000000.00,8258000000.00,3995000000.00,4279000000.00,741000000.00,3919000000.00,586000000.00,624000000.00,538000000.00,538000000.00,366000000.00,313000000.00,330000000.00,430000000.00,538000000.00,587000000.00,512000000.00,387000000.00,690000000.00,540000000.00,571000000.00,535907000.00,762978000.00,428790000.00,344049000.00,331555000.00,628496000.00,304159000.00,271319000.00,423571000.00,433410000.00,362433000.00,294943000.00,224540000.00,387540000.00,296545000.00,241668000.00,423351000.00,322033000.00,323478000.00,279635000.00,309067000.00,289739000.00,289439000.00,284226000.00,335225000.00,304187000.00,261242000.00,234138000.00,214164000.00,204000000.00,257000000.00,231100000.00,431100000.00,516900000.00,566100000.00,552000000.00,602300000.00,602300000.00,604500000.00,463000000.00,361400000.00,361400000.00,1033000000.00,927800000.00,701200000.00,443600000.00,604900000.00,770500000.00,750600000.00,1009000000.00,1422400000.00,1130500000.00,1000200000.00,1066600000.00,1360700000.00,1578500000.00,1084900000.00,575600000.00,610700000.00,527200000.00,399200000.00,355800000.00,485800000.00,327500000.00,282700000.00,260500000.00,311600000.00,491300000.00,413200000.00,499500000.00,450100000.00,466200000.00,,,,62900000.00,,,,49600000.00,,,,32300000.00,,,
totalLiab,11524000000.00,11858000000.00,13636000000.00,12412000000.00,33985000000.00,37141000000.00,40849000000.00,12949000000.00,30083000000.00,13277000000.00,14868000000.00,13559000000.00,11758000000.00,24945000000.00,29348000000.00,24714000000.00,22856000000.00,23584000000.00,24192000000.00,21788000000.00,20618000000.00,19990000000.00,22304000000.00,21588000000.00,21339000000.00,20372000000.00,22475000000.00,22564000000.00,22257000000.00,22388000000.00,21768000000.00,22242000000.00,22999000000.00,22010000000.00,22958000000.00,24397000000.00,21560000000.00,19711000000.00,21382000000.00,23558000000.00,21882000000.00,21225000000.00,24250000000.00,26216000000.00,12543000000.00,12543000000.00,12300000000.00,10958000000.00,11379000000.00,12190000000.00,16128000000.00,26706000000.00,10483000000.00,16917000000.00,17557000000.00,9134000000.00,9601000000.00,17618000000.00,18086000000.00,18548000000.00,20207000000.00,21174000000.00,23566000000.00,23351000000.00,21166000000.00,17572000000.00,13865000000.00,14672067000.00,14272930000.00,11682275000.00,11462150000.00,11371083000.00,11233356000.00,11202345000.00,10164633000.00,10408691000.00,10844527000.00,10989927000.00,11670605000.00,13228473000.00,12332748000.00,10469360000.00,10113682000.00,10698025000.00,11026051000.00,10153769000.00,8661452000.00,8823940000.00,8733821000.00,8155347000.00,8008248000.00,7928489000.00,8707933000.00,8290693000.00,8312857000.00,8562292000.00,8732200000.00,8440100000.00,7789300000.00,7694900000.00,7720900000.00,7429200000.00,7328600000.00,7174000000.00,7174000000.00,5890300000.00,5304300000.00,5609600000.00,5609600000.00,4709700000.00,4305100000.00,4334000000.00,4658100000.00,4145000000.00,3902700000.00,4132000000.00,4136000000.00,3933800000.00,3701500000.00,3887900000.00,3943500000.00,3693000000.00,3520800000.00,3476100000.00,3258100000.00,3232400000.00,3032100000.00,2621500000.00,2681700000.00,2720900000.00,2338300000.00,2172600000.00,2203200000.00,2166900000.00,1876800000.00,2073400000.00,1919100000.00,1832300000.00,1694800000.00,,,,1767100000.00,,,,1494400000.00,,,,1239500000.00,,,
totalStockholderEquity,25265000000.00,24975000000.00,25197000000.00,24317000000.00,23997000000.00,24393000000.00,23722000000.00,22528000000.00,21969000000.00,21603000000.00,20779000000.00,19948000000.00,19256000000.00,19293000000.00,18905000000.00,19167000000.00,18873000000.00,18955000000.00,18861000000.00,18947000000.00,18987000000.00,18710000000.00,18732000000.00,18269000000.00,17570000000.00,17411000000.00,17121000000.00,17157000000.00,17538000000.00,17655000000.00,17899000000.00,17915000000.00,17863000000.00,18544000000.00,18757000000.00,19630000000.00,20261000000.00,20184000000.00,20062000000.00,20154000000.00,19538000000.00,19013000000.00,18976000000.00,,18169000000.00,18169000000.00,18551000000.00,18165000000.00,18409000000.00,18838000000.00,16680000000.00,15886000000.00,15387000000.00,14609000000.00,14744000000.00,14744000000.00,14795000000.00,14207000000.00,13499000000.00,13427000000.00,13694000000.00,13533000000.00,13490000000.00,13162000000.00,12324000000.00,11820000000.00,11253000000.00,10679349000.00,10772684000.00,10289745000.00,9806880000.00,9175398000.00,8865352000.00,8650448000.00,8433472000.00,8573106000.00,8530696000.00,7903456000.00,7698216000.00,7883574000.00,7605882000.00,7217029000.00,7069197000.00,6856740000.00,6843427000.00,6734810000.00,6754821000.00,6494241000.00,6460766000.00,6436349000.00,6331683000.00,6226495000.00,6389914000.00,6146013000.00,6110243000.00,6066406000.00,6179100000.00,6239800000.00,6240600000.00,6250900000.00,6532600000.00,6422200000.00,6504900000.00,6514800000.00,6514800000.00,6132600000.00,6050100000.00,6024600000.00,6024600000.00,6075200000.00,6144800000.00,6068800000.00,5982300000.00,5989200000.00,5854200000.00,5807900000.00,5489000000.00,5333900000.00,5045400000.00,4860100000.00,4718100000.00,4758900000.00,4883300000.00,4793000000.00,4673300000.00,4628700000.00,4492400000.00,4371100000.00,4281900000.00,4105100000.00,3922300000.00,3849400000.00,3869800000.00,3751400000.00,3573200000.00,3449900000.00,3342500000.00,3155800000.00,3033500000.00,,,,2630500000.00,,,,2367700000.00,,,,2075900000.00,,,
deferredLongTermLiab,,1351000000.00,1362000000.00,1402000000.00,1639000000.00,1579000000.00,1604000000.00,1412000000.00,1351000000.00,1371000000.00,1385000000.00,1302000000.00,1344000000.00,1347000000.00,1347000000.00,1194000000.00,1302000000.00,1305000000.00,1250000000.00,1067000000.00,965000000.00,1002000000.00,1037000000.00,1053000000.00,1754000000.00,1606000000.00,1682000000.00,1669000000.00,1642000000.00,1685000000.00,1621000000.00,1563000000.00,1678000000.00,1618000000.00,1614000000.00,1662000000.00,1522000000.00,1489000000.00,1480000000.00,1448000000.00,1282000000.00,0.00,0.00,,0.00,0.00,873000000.00,897000000.00,836000000.00,859000000.00,517000000.00,546000000.00,395000000.00,439000000.00,425000000.00,425000000.00,553000000.00,316000000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
