,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30
filing_date,2023-11-17,2023-08-02,2023-05-03,2023-02-07,2022-11-22,2022-08-05,2022-05-06,2022-02-04,2021-11-23,2021-08-05,2021-05-06,2021-02-05,2020-11-30,2020-08-06,2020-05-05,2020-02-07,2019-11-22,2019-08-07,2019-05-09,2019-02-11,2018-11-29,2018-07-30,2018-05-07,2018-01-30,2017-11-22,2017-07-31,2017-05-01,2017-02-08,2016-11-29,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
totalAssets,9424000000.00,9482000000.00,9479000000.00,9273000000.00,9158000000.00,9315000000.00,9854000000.00,10719000000.00,10762000000.00,9804000000.00,9975000000.00,10544000000.00,10261000000.00,9619000000.00,10646000000.00,10364000000.00,10342000000.00,10574000000.00,10574000000.00,10358000000.00,10942000000.00,12338000000.00,13089000000.00,12643000000.00,13170000000.00,12060000000.00,11919000000.00,11257000000.00,13033000000.00,10232000000.00,10314000000.00,10034000000.00,10437000000.00,,,,11206000000.00
intangibleAssets,408000000.00,421000000.00,455000000.00,463000000.00,467000000.00,504000000.00,537000000.00,549000000.00,555000000.00,428000000.00,432000000.00,445000000.00,443000000.00,350000000.00,381000000.00,395000000.00,405000000.00,426000000.00,441000000.00,449000000.00,460000000.00,501000000.00,534000000.00,533000000.00,543000000.00,102000000.00,100000000.00,102000000.00,113000000.00,116000000.00,121000000.00,122000000.00,129000000.00,,,,2499000000.00
earningAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherCurrentAssets,491000000.00,547000000.00,493000000.00,459000000.00,411000000.00,456000000.00,459000000.00,472000000.00,1113000000.00,758000000.00,537000000.00,476000000.00,421000000.00,498000000.00,477000000.00,540000000.00,494000000.00,592000000.00,631000000.00,657000000.00,707000000.00,786000000.00,882000000.00,851000000.00,831000000.00,833000000.00,869000000.00,823000000.00,810000000.00,745000000.00,651000000.00,808000000.00,872000000.00,,,,1683000000.00
totalLiab,6821000000.00,6940000000.00,6892000000.00,6719000000.00,6738000000.00,6817000000.00,7181000000.00,7999000000.00,7804000000.00,7949000000.00,8089000000.00,8705000000.00,8683000000.00,8005000000.00,8728000000.00,8242000000.00,8102000000.00,8248000000.00,7907000000.00,7607000000.00,8178000000.00,8144000000.00,8655000000.00,8185000000.00,8550000000.00,7964000000.00,8090000000.00,7828000000.00,8658000000.00,5204000000.00,5311000000.00,4250000000.00,4639000000.00,,,,5567000000.00
totalStockholderEquity,2228000000.00,2174000000.00,2197000000.00,2192000000.00,2073000000.00,2123000000.00,2285000000.00,2344000000.00,2376000000.00,1467000000.00,1489000000.00,1452000000.00,1213000000.00,1250000000.00,1541000000.00,1743000000.00,1848000000.00,1919000000.00,2257000000.00,2366000000.00,2392000000.00,3840000000.00,4069000000.00,4108000000.00,4279000000.00,3927000000.00,3632000000.00,3258000000.00,4210000000.00,4848000000.00,4810000000.00,5604000000.00,5626000000.00,,,,5453000000.00
deferredLongTermLiab,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,
otherCurrentLiab,3604000000.00,689000000.00,992000000.00,807653111.56,1009000000.00,1006000000.00,1020000000.00,883000000.00,808000000.00,787000000.00,735000000.00,791000000.00,1056000000.00,764000000.00,741000000.00,853000000.00,609000000.00,666000000.00,587000000.00,759000000.00,611000000.00,690000000.00,615000000.00,652000000.00,652000000.00,695000000.00,717000000.00,707000000.00,624000000.00,581000000.00,530000000.00,581000000.00,662000000.00,,,,1970000000.00
commonStock,,,,,2073000000.00,2123000000.00,,2344000000.00,2376000000.00,1467000000.00,1489000000.00,1452000000.00,1213000000.00,1250000000.00,1541000000.00,1743000000.00,1848000000.00,1919000000.00,2257000000.00,2366000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4486000000.00,5137000000.00,5018000000.00,6001000000.00,5873000000.00,,,,5177000000.00
capitalStock,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
retainedEarnings,,-1038000000.00,-1111000000.00,-1175347724.91,-1108000000.00,-1153000000.00,-1123000000.00,-1042000000.00,-988000000.00,-1948000000.00,-1877000000.00,-1946000000.00,-2096000000.00,-2060000000.00,-1735000000.00,-1716000000.00,-1545000000.00,-1541000000.00,-1220000000.00,-1070000000.00,-1028000000.00,327000000.00,299000000.00,492000000.00,734000000.00,454000000.00,250000000.00,84000000.00,4452000000.00,5137000000.00,84000000.00,,,,,,
otherLiab,,,,,673000000.00,723000000.00,539000000.00,775000000.00,798000000.00,776000000.00,782000000.00,779000000.00,523000000.00,537000000.00,543000000.00,555000000.00,559000000.00,523000000.00,530000000.00,533000000.00,564000000.00,697000000.00,717000000.00,731000000.00,393000000.00,739000000.00,670000000.00,641000000.00,891000000.00,464000000.00,481000000.00,564000000.00,500000000.00,,,,447000000.00
goodWill,2094000000.00,2115000000.00,2135000000.00,2128000000.00,2057000000.00,2122000000.00,2198000000.00,2209000000.00,2212000000.00,2069000000.00,2059000000.00,2109000000.00,2057000000.00,2039000000.00,2018000000.00,2157000000.00,2150000000.00,2182000000.00,2165000000.00,2175000000.00,2182000000.00,2216000000.00,2293000000.00,2545000000.00,2515000000.00,2190000000.00,2114000000.00,2082000000.00,2179000000.00,2169000000.00,2184000000.00,2131000000.00,2160000000.00,,,,2334000000.00
otherAssets,1412000000.00,1394000000.00,,-388207916.44,1219000000.00,1292000000.00,10630000000.00,12496000000.00,6520000000.00,1028000000.00,995000000.00,1583000000.00,657000000.00,764000000.00,767000000.00,626000000.00,599000000.00,619000000.00,857000000.00,865000000.00,888000000.00,1270000000.00,1041000000.00,6020000000.00,6169000000.00,5587000000.00,5291000000.00,5129000000.00,5147000000.00,4465000000.00,4555000000.00,4458000000.00,4492000000.00,,,,4300000000.00
cash,1110000000.00,908000000.00,826000000.00,901000000.00,947000000.00,892000000.00,1118000000.00,2080000000.00,1521000000.00,1000000000.00,984000000.00,1820000000.00,1692000000.00,1032000000.00,1640000000.00,965000000.00,924000000.00,1025000000.00,491000000.00,406000000.00,687000000.00,378000000.00,353000000.00,390000000.00,709000000.00,669000000.00,729000000.00,709000000.00,105000000.00,120000000.00,66000000.00,58000000.00,44000000.00,,,,45000000.00
cashAndEquivalents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
totalCurrentLiabilities,3738000000.00,3720000000.00,3671000000.00,3418000000.00,3501000000.00,3387000000.00,3658000000.00,3742000000.00,3494000000.00,3631000000.00,3661000000.00,3584000000.00,3819000000.00,3083000000.00,4223000000.00,3683000000.00,3835000000.00,3963000000.00,4004000000.00,3675000000.00,4192000000.00,4025000000.00,4435000000.00,3993000000.00,4328000000.00,3832000000.00,4087000000.00,3830000000.00,4260000000.00,3889000000.00,3967000000.00,3654000000.00,4011000000.00,,,,4936000000.00
currentDeferredRevenue,,383000000.00,,,,,,401000000.00,372000000.00,535000000.00,526000000.00,546000000.00,374000000.00,474000000.00,433000000.00,305000000.00,487000000.00,531000000.00,527000000.00,316000000.00,472000000.00,467000000.00,539000000.00,533000000.00,680000000.00,633000000.00,618000000.00,609000000.00,781000000.00,776000000.00,703000000.00,565000000.00,672000000.00,,,,
netDebt,1425000000.00,1626000000.00,1707000000.00,1739000000.00,1631000000.00,1835000000.00,1818000000.00,1576000000.00,2175000000.00,2757000000.00,2684000000.00,2541000000.00,2615000000.00,3495000000.00,2923000000.00,2789000000.00,2814000000.00,2752000000.00,2892000000.00,3003000000.00,2743000000.00,3061000000.00,3325000000.00,3111000000.00,2769000000.00,2730000000.00,2623000000.00,2752000000.00,3459000000.00,-62000000.00,105000000.00,20000000.00,15000000.00,,,,
shortTermDebt,134000000.00,2000000.00,2000000.00,13000000.00,14000000.00,20000000.00,170000000.00,174000000.00,184000000.00,215000000.00,22000000.00,19000000.00,210000000.00,380000000.00,846000000.00,14000000.00,30000000.00,15000000.00,10000000.00,10000000.00,8000000.00,17000000.00,175000000.00,40000000.00,38000000.00,6000000.00,19000000.00,104000000.00,79000000.00,29000000.00,139000000.00,46000000.00,24000000.00,,,,10000000.00
shortLongTermDebt,134000000.00,2000000.00,2000000.00,13941168.27,14000000.00,20000000.00,170000000.00,174000000.00,184000000.00,215000000.00,22000000.00,19000000.00,210000000.00,380000000.00,846000000.00,14000000.00,30000000.00,15000000.00,10000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,3399000000.00,19000000.00,104000000.00,38000000.00,66000000.00,178000000.00,,8000000.00,,,,10000000.00
shortLongTermDebtTotal,2535000000.00,2534000000.00,2533000000.00,2640000000.00,2578000000.00,2727000000.00,2936000000.00,3656000000.00,3696000000.00,3757000000.00,3668000000.00,4361000000.00,4307000000.00,4527000000.00,4563000000.00,3754000000.00,3738000000.00,3777000000.00,3383000000.00,3409000000.00,3430000000.00,3439000000.00,3678000000.00,3501000000.00,3478000000.00,3399000000.00,3352000000.00,3461000000.00,3564000000.00,58000000.00,171000000.00,78000000.00,59000000.00,,,,
otherStockholderEquity,2228000000.00,3966000000.00,3995000000.00,4150197943.14,4026000000.00,4018000000.00,4008000000.00,3998000000.00,3991000000.00,3993000000.00,3985000000.00,3980000000.00,3974000000.00,3968000000.00,3966000000.00,3963000000.00,3962000000.00,3959000000.00,3956000000.00,3954000000.00,3951000000.00,3960000000.00,3955000000.00,3952000000.00,3942000000.00,3966000000.00,4008000000.00,3899000000.00,165000000.00,420000000.00,,,-247000000.00,,,,276000000.00
