,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31
filing_date,2023-11-02,2023-08-08,2023-05-02,2023-02-28,2022-11-03,2022-08-04,2022-05-06,2022-03-01,2021-11-09,2021-08-04,2021-05-05,2021-02-25,2020-11-05,2020-08-05,2020-05-07,2020-03-10,2019-11-12,2019-08-06,2019-05-07,2019-03-11,2018-11-08,2018-08-09,2018-05-09,2018-03-15,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,,,,,,,,,,,,,,,,,,,,
totalAssets,17431000000.00,17334000000.00,17546000000.00,17873000000.00,17568000000.00,17315138000.00,17015000000.00,16894000000.00,16021922000.00,16075886000.00,16011648000.00,16117000000.00,16366067000.00,15958240000.00,16262743000.00,16084000000.00,16947089000.00,16977169000.00,17033697000.00,17209000000.00,16967584000.00,17816000000.00,17858924000.00,17015000000.00,17086997000.00,,,17176481000.00,2319515000.00
intangibleAssets,4823000000.00,5004000000.00,5020000000.00,5092000000.00,5186000000.00,5237681000.00,5286000000.00,5413000000.00,5520747000.00,5649464000.00,5809295000.00,5907000000.00,6046728000.00,6234528000.00,6475283000.00,6670000000.00,6815587000.00,7225974000.00,7349315000.00,7488000000.00,7488118000.00,7569000000.00,7715553000.00,7857000000.00,7974823000.00,,,8308749000.00,1149912000.00
earningAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherCurrentAssets,239000000.00,302000000.00,325000000.00,342000000.00,-1000000.00,215353000.00,215412000.00,179000000.00,178015000.00,198967000.00,188930000.00,210000000.00,200401000.00,176545000.00,165628000.00,151000000.00,141221000.00,127630000.00,133834000.00,130000000.00,107364000.00,96000000.00,102349000.00,73000000.00,73855000.00,,,53426000.00,30399000.00
totalLiab,14192000000.00,14016000000.00,14231000000.00,14440000000.00,14361000000.00,13935739000.00,13735000000.00,13645000000.00,13281606000.00,13221264000.00,13033738000.00,13078000000.00,13227591000.00,13164125000.00,13367917000.00,12900000000.00,13235905000.00,13087310000.00,12885666000.00,12984000000.00,12531590000.00,13154000000.00,13135288000.00,13582000000.00,14290295000.00,,,13371505000.00,1616618000.00
totalStockholderEquity,3239000000.00,3318000000.00,3315000000.00,3433000000.00,3207000000.00,3379399000.00,3280000000.00,3249000000.00,2740316000.00,2854622000.00,2977910000.00,3039000000.00,3138476000.00,2794115000.00,2894826000.00,3184000000.00,3711184000.00,3889859000.00,4148031000.00,4225000000.00,4435994000.00,4662000000.00,4723636000.00,3433000000.00,2796702000.00,,,3804976000.00,702897000.00
deferredLongTermLiab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
