,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-05-27,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,1999-12-31,1999-09-30,1999-06-30,1999-03-31,1998-12-31,1998-09-30,1998-06-30,1998-03-31,1997-12-31,1997-09-30,1997-06-30,1997-03-31,1996-12-31,1996-09-30,1996-06-30,1996-03-31,1995-12-31,1995-09-30,1995-06-30,1995-03-31,1994-12-31,1994-09-30,1994-06-30,1994-03-31,1993-12-31,1993-09-30,1993-06-30,1993-03-31,1992-12-31,1992-09-30,1992-06-30,1992-03-31,1991-12-31,1991-09-30,1991-06-30,1991-03-31,1990-12-31,1990-09-30,1990-06-30,1990-03-31,1989-12-31,1989-09-30,1989-06-30,1989-03-31,1988-12-31,1988-09-30,1988-06-30,1988-03-31,1987-12-31,1987-09-30,1987-06-30,1987-03-31,1986-12-31,1986-09-30,1986-06-30,1986-03-31,1985-12-31,1985-09-30
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-05-27,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,1999-12-31,1999-09-30,1999-06-30,1999-03-31,1998-12-31,1998-09-30,1998-06-30,1998-03-31,1997-12-31,1997-09-30,1997-06-30,1997-03-31,1996-12-31,1996-09-30,1996-06-30,1996-03-31,1995-12-31,1995-09-30,1995-06-30,1995-03-31,1994-12-31,1994-09-30,1994-06-30,1994-03-31,1993-12-31,1993-09-30,1993-06-30,1993-03-31,1992-12-31,1992-09-30,1992-06-30,1992-03-31,1991-12-31,1991-09-30,1991-06-30,1991-03-31,1990-12-31,1990-09-30,1990-06-30,1990-03-31,1989-12-31,1989-09-30,1989-06-30,1989-03-31,1988-12-31,1988-09-30,1988-06-30,1988-03-31,1987-12-31,1987-09-30,1987-06-30,1987-03-31,1986-12-31,1986-09-30,1986-06-30,1986-03-31,1985-12-31,1985-09-30
filing_date,2023-11-08,2023-08-09,2023-05-09,2023-03-16,2022-11-10,2022-08-11,2022-05-16,2022-03-09,2021-11-04,2021-08-12,2021-05-06,2021-03-05,2020-11-05,2020-08-06,2020-05-07,2020-03-06,2019-11-06,2019-08-07,2019-05-08,2019-03-11,2018-11-07,2018-08-08,2018-05-09,2018-03-12,2017-11-09,2017-08-09,2017-05-09,2017-03-31,2016-11-09,2016-08-09,2016-05-09,2016-03-11,2015-11-06,2015-08-07,2015-05-08,2015-03-13,2014-11-07,2014-08-11,2014-08-11,2014-05-12,2014-03-13,2013-11-08,2013-08-08,2013-05-09,2013-03-15,2012-11-13,2012-08-14,2012-05-14,2012-03-23,2011-11-14,2011-08-12,2011-05-13,2011-03-21,2010-11-12,2010-08-12,2010-05-13,2010-03-23,2009-11-13,2009-08-12,2009-05-14,2009-03-24,2008-11-14,2008-08-13,2008-05-13,2008-03-31,2007-11-14,2007-08-13,2007-05-15,2007-03-30,2006-11-14,2006-08-11,2006-05-15,2006-03-31,2005-11-14,2005-08-11,2005-05-16,2005-03-24,2004-11-12,2004-08-11,2004-05-14,2004-03-24,2003-11-13,2003-08-13,2003-05-14,2003-03-28,2002-11-13,2002-08-14,2002-05-14,2002-03-28,2001-11-13,2001-08-13,2001-05-11,2001-03-22,2000-11-13,2000-08-11,2000-05-12,2000-03-17,1999-11-12,1999-08-06,1999-05-12,1999-03-17,1998-11-12,1998-08-12,1998-05-14,1998-03-24,1997-11-12,1997-08-12,1997-05-12,1997-03-21,1996-11-12,1996-08-13,1996-05-15,1996-03-26,1995-11-13,1995-08-11,1995-05-15,1994-12-31,1994-09-30,1994-06-30,1994-03-31,1993-12-31,1993-09-30,1993-06-30,1993-03-31,1992-12-31,1992-09-30,1992-06-30,1992-03-31,1991-12-31,1991-09-30,1991-06-30,1991-03-31,1990-12-31,1990-09-30,1990-06-30,1990-03-31,1989-12-31,1989-09-30,1989-06-30,1989-03-31,1988-12-31,1988-09-30,1988-06-30,1988-03-31,1987-12-31,1987-09-30,1987-06-30,1987-03-31,1986-12-31,1986-09-30,1986-06-30,1986-03-31,1985-12-31,1985-09-30
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
totalAssets,410595000.00,343482000.00,371563000.00,384159000.00,462123000.00,504623000.00,470117000.00,374703000.00,370425000.00,365006000.00,332302000.00,296187000.00,256460000.00,261334000.00,253656000.00,330842000.00,313845000.00,301764000.00,314635000.00,278870000.00,313312000.00,303127000.00,284508000.00,282704000.00,248529000.00,243950000.00,264163000.00,246872000.00,232911000.00,251526000.00,237915000.00,243215000.00,288801000.00,339572000.00,319524000.00,340814000.00,455900000.00,483144000.00,388152000.00,464612000.00,448082000.00,474680000.00,427217000.00,417818000.00,419501000.00,388655000.00,344035000.00,412534000.00,378840000.00,353587000.00,359388000.00,345957000.00,301305000.00,250900000.00,251192000.00,268909000.00,249401000.00,240381000.00,241452000.00,208987000.00,210926000.00,347456000.00,497246000.00,420845000.00,357075000.00,304697000.00,302946000.00,290347000.00,289287000.00,277396000.00,305987000.00,299163000.00,312662000.00,310282000.00,240486000.00,252920000.00,238854000.00,226225000.00,215703000.00,214020000.00,210261000.00,191431000.00,218964000.00,256821000.00,202120000.00,195265000.00,217187000.00,215234000.00,227027000.00,332460000.00,314030000.00,323335000.00,448044000.00,380463000.00,379318000.00,353795000.00,293000000.00,234300000.00,165900000.00,136000000.00,122300000.00,115800000.00,89500000.00,95800000.00,114300000.00,114200000.00,93800000.00,98600000.00,110900000.00,106700000.00,95100000.00,93800000.00,80400000.00,83200000.00,71200000.00,70200000.00,62300000.00,59800000.00,60800000.00,51100000.00,50300000.00,57400000.00,58800000.00,66500000.00,58100000.00,62900000.00,50600000.00,19500000.00,20600000.00,19100000.00,18500000.00,18400000.00,19600000.00,19900000.00,17100000.00,17900000.00,18300000.00,16400000.00,15400000.00,,14300000.00,,,,13600000.00,,,,15500000.00,,,,25400000.00,
intangibleAssets,8407000.00,8837000.00,9294000.00,9745000.00,10379000.00,2938000.00,3126000.00,3317000.00,3509000.00,3700000.00,3902000.00,4106000.00,4304000.00,4491000.00,1465000.00,1597000.00,1704000.00,1936000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
earningAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherCurrentAssets,2168000.00,1842000.00,1968000.00,3118000.00,1714000.00,1283000.00,1204000.00,2389000.00,1334000.00,1082000.00,1138000.00,2964000.00,1264000.00,849000.00,960000.00,1559000.00,1264000.00,1123000.00,1011000.00,1557000.00,997000.00,615000.00,697000.00,1264000.00,967000.00,529000.00,586000.00,105176000.00,96413000.00,887000.00,698000.00,84660000.00,117794000.00,577000.00,781000.00,170761000.00,259018000.00,1365000.00,21490000.00,627000.00,290997000.00,831000.00,293444000.00,292763000.00,277317000.00,1540000.00,1010000.00,854000.00,2064000.00,4691000.00,16285000.00,13958000.00,2764000.00,2152000.00,956000.00,197268000.00,1581000.00,3090000.00,1783000.00,7085000.00,8697000.00,4287000.00,20567000.00,12294000.00,3768000.00,6921000.00,12722000.00,8140000.00,4539000.00,3612000.00,4692000.00,4795000.00,7586000.00,3567000.00,3702000.00,2677000.00,8345000.00,7332000.00,8308000.00,6050000.00,5140000.00,6759000.00,9786000.00,19698000.00,3349000.00,3240000.00,10740000.00,14210000.00,28630000.00,3236000.00,1565000.00,1310000.00,2604000.00,4628000.00,4215000.00,1589000.00,1600000.00,1000000.00,1500000.00,-100000.00,800000.00,1100000.00,1200000.00,1100000.00,1700000.00,100000.00,1700000.00,1400000.00,2600000.00,500000.00,1000000.00,1300000.00,1000000.00,900000.00,800000.00,800000.00,500000.00,700000.00,500000.00,600000.00,600000.00,700000.00,600000.00,600000.00,500000.00,700000.00,900000.00,800000.00,400000.00,500000.00,400000.00,600000.00,500000.00,700000.00,900000.00,900000.00,400000.00,500000.00,500000.00,,400000.00,,,,300000.00,,,,300000.00,,,,100000.00,
totalLiab,316534000.00,251761000.00,280408000.00,290982000.00,292872000.00,337171000.00,304596000.00,214317000.00,212343000.00,210155000.00,181285000.00,147095000.00,112376000.00,119444000.00,114330000.00,179201000.00,163964000.00,151656000.00,163936000.00,132272000.00,162045000.00,153103000.00,137179000.00,135585000.00,104176000.00,95636000.00,114639000.00,95560000.00,80504000.00,96038000.00,84903000.00,90705000.00,126959000.00,176494000.00,159857000.00,183317000.00,290806000.00,320977000.00,320977000.00,305492000.00,293397000.00,319176000.00,277942000.00,273945000.00,283643000.00,257749000.00,221392000.00,295277000.00,268158000.00,245234000.00,260061000.00,250219000.00,211150000.00,160858000.00,163912000.00,183314000.00,165600000.00,153377000.00,155087000.00,125356000.00,129165000.00,257254000.00,400768000.00,329192000.00,267633000.00,215276000.00,216380000.00,215067000.00,214919000.00,202381000.00,232649000.00,229863000.00,247006000.00,250673000.00,186174000.00,200494000.00,189279000.00,177585000.00,171415000.00,170850000.00,168029000.00,148880000.00,177086000.00,216373000.00,162020000.00,154730000.00,176841000.00,175443000.00,187831000.00,289027000.00,269548000.00,277224000.00,403731000.00,337386000.00,338458000.00,315721000.00,257000000.00,199600000.00,132800000.00,105300000.00,92200000.00,86100000.00,59900000.00,66600000.00,86200000.00,87200000.00,68400000.00,73900000.00,88100000.00,87400000.00,76700000.00,77100000.00,64700000.00,67400000.00,56800000.00,56300000.00,49100000.00,47100000.00,48800000.00,40200000.00,40000000.00,47500000.00,49200000.00,57300000.00,49300000.00,53600000.00,42000000.00,11900000.00,13200000.00,12400000.00,13600000.00,13800000.00,15100000.00,16000000.00,13500000.00,14800000.00,15500000.00,14400000.00,13700000.00,,16000000.00,,,,17900000.00,,,,21700000.00,,,,33300000.00,
totalStockholderEquity,94061000.00,91721000.00,91155000.00,93177000.00,169251000.00,167452000.00,165521000.00,160386000.00,158082000.00,154851000.00,151017000.00,149092000.00,144084000.00,141890000.00,139326000.00,151641000.00,149881000.00,150108000.00,150699000.00,146598000.00,151267000.00,150024000.00,147329000.00,147119000.00,144353000.00,148314000.00,149524000.00,151312000.00,152407000.00,155488000.00,153012000.00,152510000.00,161842000.00,163078000.00,159667000.00,157497000.00,165094000.00,162167000.00,162167000.00,159120000.00,154685000.00,155504000.00,149275000.00,143873000.00,135858000.00,130906000.00,122643000.00,117257000.00,110682000.00,108353000.00,99327000.00,95738000.00,90155000.00,90042000.00,87280000.00,85595000.00,83801000.00,87004000.00,86365000.00,83631000.00,81761000.00,90202000.00,96478000.00,91653000.00,89442000.00,89421000.00,86566000.00,75280000.00,74368000.00,75015000.00,73338000.00,69300000.00,65656000.00,59609000.00,54312000.00,52426000.00,49575000.00,48640000.00,44288000.00,43170000.00,42232000.00,42551000.00,41878000.00,40448000.00,40100000.00,40535000.00,40346000.00,39791000.00,39196000.00,43433000.00,44482000.00,46111000.00,44313000.00,43077000.00,40860000.00,38074000.00,36000000.00,34700000.00,33100000.00,30700000.00,30100000.00,29700000.00,29600000.00,29200000.00,28100000.00,27000000.00,25400000.00,24700000.00,22800000.00,19300000.00,18400000.00,16700000.00,15700000.00,15800000.00,14400000.00,13900000.00,13200000.00,12700000.00,12000000.00,10900000.00,10300000.00,9900000.00,9600000.00,9200000.00,8800000.00,9300000.00,8600000.00,7600000.00,7400000.00,6700000.00,4900000.00,4600000.00,4500000.00,3900000.00,3600000.00,3100000.00,2800000.00,2000000.00,1700000.00,,-1700000.00,,,,-4300000.00,,,,-6200000.00,,,,-7900000.00,
deferredLongTermLiab,,15233000.00,14579000.00,15996000.00,15054000.00,10979000.00,11878000.00,11320000.00,11060000.00,11093000.00,11900000.00,12732000.00,7547000.00,7519000.00,10059000.00,6352000.00,5763000.00,5283000.00,5104000.00,4271000.00,2655000.00,2516000.00,2646000.00,3363000.00,5943000.00,6226000.00,7212000.00,7157000.00,6850000.00,6062000.00,6680000.00,8039000.00,11132000.00,12803000.00,11306000.00,12250000.00,16073000.00,16416000.00,16416000.00,18072000.00,18664000.00,18099000.00,16662000.00,16324000.00,15675000.00,14826000.00,11296000.00,0.00,0.00,12668000.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
