,2023-06-30,2022-12-31,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2010-06-30,2009-12-31,2009-06-30,2008-12-31,2008-06-30,2007-12-31,2007-06-30,2006-12-31,2006-06-30,2005-12-31,2005-06-30,2004-12-31,2004-06-30,2003-12-31,2003-06-30,2002-12-31,2002-06-30,2001-12-31,2001-06-30,2000-12-31,2000-06-30
date,2023-06-30,2022-12-31,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2010-06-30,2009-12-31,2009-06-30,2008-12-31,2008-06-30,2007-12-31,2007-06-30,2006-12-31,2006-06-30,2005-12-31,2005-06-30,2004-12-31,2004-06-30,2003-12-31,2003-06-30,2002-12-31,2002-06-30,2001-12-31,2001-06-30,2000-12-31,2000-06-30
filing_date,2023-06-30,2022-12-31,2022-06-30,,2021-12-31,,2021-06-30,,2020-12-31,,2020-06-30,,2019-12-31,,2019-06-30,,2018-12-31,,2018-06-30,,2017-12-31,,2017-06-30,,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2010-06-30,2009-12-31,2009-06-30,2008-12-31,2008-06-30,2007-12-31,2007-06-30,2006-12-31,2006-06-30,2005-12-31,2005-06-30,2004-12-31,2004-06-30,2003-12-31,2003-06-30,2002-12-31,2002-06-30,2001-12-31,2001-06-30,2000-12-31,2000-06-30
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
totalAssets,343081083.00,355067818.00,371937395.00,,508019028.00,,566491581.00,,527741318.00,,403368960.00,,483908946.00,483908946.00,462777530.00,462777530.00,503278642.00,503278642.00,541952412.00,541952412.00,94930392.00,94930392.00,75668148.00,75668148.00,67798099.00,68617388.00,62332776.00,72487547.00,79769399.00,93012859.00,101559044.00,124281537.00,145659248.00,146882338.00,139930508.00,174976009.00,185678162.00,146231323.00,195400000.00,171200000.00,120500000.00,190100000.00,214900000.00,224600000.00,185600000.00,146500000.00,175700000.00,173700000.00,179100000.00,141100000.00,151400000.00,110200000.00,86000000.00,91000000.00,138800000.00,164200000.00,183700000.00,197200000.00
intangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
earningAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,205000.00,,318000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
totalLiab,38334511.00,61900590.00,57367211.00,,66442773.00,,54689433.00,,50268437.00,,42076257.00,,44579136.00,44579136.00,42736797.00,42736797.00,62459849.00,62459849.00,60998288.00,60998288.00,3006240.00,3006240.00,538457.00,538457.00,413410.00,1540785.00,1776672.00,587668.00,2299895.00,711048.00,3929841.00,4471062.00,4354466.00,4721291.00,5461203.00,5145879.00,17525510.00,5057756.00,4600000.00,1100000.00,8200000.00,3000000.00,24400000.00,1400000.00,9900000.00,1100000.00,32100000.00,1200000.00,20100000.00,800000.00,4600000.00,2600000.00,900000.00,1000000.00,4500000.00,5900000.00,29300000.00,1100000.00
totalStockholderEquity,304746572.00,293167228.00,314570184.00,,441576255.00,,511802148.00,,477472881.00,,361292703.00,,439329810.00,439329810.00,420040733.00,420040733.00,440818793.00,440818793.00,480954124.00,480954124.00,91924152.00,91924152.00,75129691.00,75129691.00,67384689.00,67076603.00,60556104.00,71899879.00,77469504.00,92301811.00,97629203.00,119810475.00,141304782.00,142161047.00,134469305.00,169830130.00,168152652.00,141173567.00,190900000.00,170100000.00,112400000.00,187100000.00,190400000.00,223200000.00,175700000.00,145400000.00,143600000.00,172500000.00,159000000.00,140300000.00,146800000.00,107600000.00,85100000.00,90100000.00,134300000.00,158200000.00,154500000.00,196100000.00
deferredLongTermLiab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherCurrentLiab,-69693.00,-4667281.00,-49807.00,,-7648608.00,7612767.00,-1620139.00,,-6850130.00,6817486.00,-26960.00,,-2364361.00,2283830.00,-115368.00,,-11615247.00,11610293.00,-8996287.00,28152.00,-2168177.00,2600796.00,-162596.00,259563.00,-143856.00,-140641.00,-1407975.00,-162622.00,-1891161.00,-215044.00,-3191409.00,-3566869.00,-3566868.00,-4293227.00,-5101409.00,-4719566.00,-16918076.00,-467158.00,3800000.00,200000.00,7400000.00,900000.00,23400000.00,100000.00,8700000.00,100000.00,31300000.00,400000.00,19400000.00,200000.00,3900000.00,800000.00,200000.00,300000.00,2300000.00,400000.00,14000000.00,
commonStock,50752.00,50752.00,50752.00,50752.00,50752.00,50752.00,50752.00,50752.00,50752.00,50752.00,50752.00,50752.00,50752.00,50752.00,50752.00,50752.00,59782.00,59782.00,60499.00,60499.00,9358.00,9358.00,9358.00,9358.00,9358.00,9387.00,9387.00,9387.00,9387.00,9386.00,9387.00,9387.00,9387.00,9387.00,9281.00,8254.00,7626.00,7626.00,,,,,,,,,,,,,,,,,,,,
capitalStock,50752.00,50752.00,50752.00,,50752.00,,50752.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retainedEarnings,-113671470.00,-125250814.00,-119874079.00,-119874079.00,7131992.00,7131992.00,61725836.00,61725836.00,27396569.00,27396569.00,-89077511.00,-89077511.00,-11040404.00,-11040404.00,-27561334.00,-27561334.00,-77765037.00,-77765037.00,3572219.00,-27298297.00,106779.00,34518787.00,912052.00,17724326.00,-14631.00,-3000202.00,-1407975.00,-4462625.00,-1882465.00,-8060137.00,-3228711.00,-6222332.00,-2003827.00,-1787554.00,194406.00,13963585.00,19368297.00,-3510712.00,-800000.00,1700000.00,400000.00,,,1600000.00,,,,,,,,,,,,,,
otherLiab,,,1089747.00,1089747.00,1978590.00,1978590.00,1370674.00,1370674.00,837102.00,837102.00,,,28387.00,28387.00,182305.00,182305.00,28152.00,28152.00,123290.00,123290.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodWill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherAssets,137475.00,141648.00,178209.00,329257.00,126144.00,,164726.00,,147909.00,,189852.00,,273559.00,,435997.00,,903944.00,,1017374.00,,9802.00,,54.00,,9936.00,68617388.00,10294.00,20979.00,101255.00,79.00,323416.00,309376.00,326238.00,65270.00,17212.00,181510.00,24695.00,49798.00,195400000.00,171200000.00,120500000.00,-100000.00,214900000.00,224600000.00,185600000.00,100000.00,-100000.00,173700000.00,179100000.00,141100000.00,151500000.00,110200000.00,86000000.00,91000000.00,138800000.00,164200000.00,183700000.00,197200000.00
cash,111437.00,346873.00,619935.00,,,,,,,,,,293497.00,293497.00,90071.00,251677.00,153936.00,153936.00,709748.00,709748.00,27726.00,504942.00,1347973.00,1347973.00,4081.00,,136.00,680.00,301.00,561124.00,457524.00,2359301.00,1908178.00,403548.00,933488.00,1861987.00,8041382.00,371.00,1700000.00,300000.00,2000000.00,,3200000.00,200000.00,6300000.00,,1300000.00,400000.00,1200000.00,200000.00,,,,100000.00,700000.00,600000.00,,1300000.00
cashAndEquivalents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
