,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,2001-12-31
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,
filing_date,2023-11-08,2023-08-09,2023-05-10,2023-02-28,2022-11-08,2022-08-09,2022-05-09,2022-03-01,2021-11-09,2021-08-09,2021-05-10,2021-03-01,2020-11-06,2020-08-10,2020-05-11,2020-02-25,2019-11-08,2019-08-08,2019-05-08,2019-02-22,2018-11-06,2018-08-08,2018-05-08,2018-02-23,2017-11-09,2017-08-07,2017-05-09,2017-02-27,2016-11-09,2016-08-09,2016-05-10,2016-02-26,2015-11-09,2015-08-10,2015-05-07,2015-02-27,2014-11-10,2014-08-08,2014-05-08,2014-03-03,2013-11-08,2013-08-08,2013-05-08,2013-03-07,2012-11-09,2012-08-06,2012-05-07,2012-03-01,2011-11-08,2011-08-05,2011-05-06,2011-03-10,2010-11-09,2010-08-06,2010-05-10,2010-03-10,2009-11-09,2009-08-10,2009-05-11,2009-03-16,2008-11-10,2008-08-11,2008-05-12,2008-03-14,2007-11-02,2007-08-03,2007-05-09,2007-03-13,2006-11-03,2006-08-09,2006-05-09,2006-03-14,2005-11-04,2005-08-04,2005-05-13,2005-03-14,2004-11-09,2004-08-04,2004-05-06,2004-03-04,2003-10-23,2003-08-14,2003-05-01,2003-03-28,2002-10-29,2002-07-31,2002-04-01,2001-11-14,2001-08-13,2001-05-15,2001-03-28,2000-11-13,2000-08-14,2000-05-12,
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,,USD,USD,USD,,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,,,,,,,,,,
totalAssets,76712897000.00,77645425000.00,74495726000.00,73926141000.00,70184997000.00,71663266000.00,74899344000.00,78349109000.00,78317963000.00,73882299000.00,72677666000.00,71389674000.00,68665076000.00,68608296000.00,65549556000.00,69696552000.00,68329993000.00,66371304000.00,64482164000.00,61625564000.00,63448998000.00,61627503000.00,61301324000.00,62030736000.00,60379715000.00,59635590000.00,57548610000.00,56053472000.00,55848221000.00,53721328000.00,51262936000.00,49041163000.00,47128421000.00,46247482000.00,45388715000.00,43989734000.00,42953529000.00,42003696000.00,40544496000.00,39621499000.00,38713147000.00,37288550000.00,36852969000.00,35133478000.00,34597773000.00,33133602000.00,33038533000.00,30874719000.00,29875937000.00,28566771000.00,27834876000.00,26426763000.00,24568425000.00,23421014000.00,22507750000.00,21312004000.00,21296479000.00,18865714000.00,17508622000.00,17087813000.00,17143451000.00,17053269000.00,16557973000.00,16394372000.00,16164120000.00,15800678000.00,15098204000.00,14990123000.00,15013769000.00,14778961000.00,14655318000.00,14042794000.00,13240455000.00,12418835000.00,11662977000.00,11114066000.00,10277968000.00,9968643000.00,9906940000.00,8989177000.00,6634396000.00,6332943000.00,6128971000.00,6042266000.00,5619918000.00,5333678000.00,4392445000.00,4194531000.00,3872297000.00,3015445000.00,2528126000.00,2265252000.00,2105660000.00,1919090000.00,
intangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2058000.00,2088000.00,2148000.00,2195000.00,2243000.00,2290000.00,2338000.00,2270000.00,2298000.00,2177000.00,
earningAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherCurrentAssets,,,,,927177000.00,740829000.00,1126315000.00,1722577000.00,1403403000.00,-46700275000.00,1920004000.00,1709036000.00,1327388000.00,1123248000.00,679932000.00,1828815000.00,1460372000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4619756000.00,4510932000.00,3566074000.00,3084641000.00,3828695000.00,2970088000.00,2477139000.00,2214467000.00,2066710000.00,1885024000.00,
totalLiab,866115000.00,867681000.00,50821000.00,70735685000.00,66974369000.00,67779880000.00,69727174000.00,72025982000.00,71942755000.00,67586564000.00,66748906000.00,64814958000.00,62546342000.00,63546237000.00,62026799000.00,65126433000.00,64203277000.00,62873829000.00,61542627000.00,59226463000.00,60959702000.00,59200678000.00,58754334000.00,59180579000.00,57617048000.00,56984182000.00,55112379000.00,53761877000.00,53035359000.00,51107938000.00,49028620000.00,47096628000.00,44978512000.00,44339720000.00,43061995000.00,41849858000.00,40978453000.00,40089886000.00,38889547000.00,38236812000.00,37318479000.00,35846474000.00,35122740000.00,33413241000.00,32882820000.00,31555951000.00,31664949000.00,29466040000.00,28516400000.00,27527239000.00,26873699000.00,25488716000.00,23522036000.00,22502545000.00,21699850000.00,20557381000.00,20545195000.00,18252988000.00,17000921000.00,16595608000.00,16622913000.00,16460155000.00,15933071000.00,15782737000.00,15545089000.00,15198975000.00,14491631000.00,14395057000.00,14448896000.00,14278760000.00,14166134000.00,13523436000.00,12892141000.00,12071356000.00,11345693000.00,10792562000.00,9964027000.00,9688888000.00,9608010000.00,8725461000.00,6440089000.00,6137478000.00,5948405000.00,5864302000.00,5541393000.00,5269058000.00,4349878000.00,4116455000.00,3801744000.00,2950667000.00,2469474000.00,2227809000.00,2082732000.00,1871941000.00,
totalStockholderEquity,2053576000.00,2571915000.00,2605485000.00,3169223000.00,3207698000.00,3882217000.00,5171086000.00,6323127000.00,6375208000.00,6295735000.00,5928760000.00,6574716000.00,6118734000.00,5062059000.00,3522757000.00,4570119000.00,4126716000.00,3497475000.00,2939537000.00,2399101000.00,2489296000.00,2426825000.00,2546990000.00,2850157000.00,2762667000.00,2651408000.00,2436231000.00,2291595000.00,2812862000.00,2613390000.00,2234316000.00,1944535000.00,2149909000.00,1907762000.00,2326720000.00,2139876000.00,1975076000.00,1913810000.00,1654949000.00,1384687000.00,1394668000.00,1442076000.00,1730229000.00,1720237000.00,1714953000.00,1577651000.00,1373584000.00,1408679000.00,1359537000.00,1039532000.00,961177000.00,938047000.00,1046389000.00,918469000.00,807900000.00,754623000.00,751284000.00,612726000.00,507701000.00,492205000.00,520538000.00,593114000.00,624902000.00,611635000.00,619031000.00,601703000.00,606573000.00,595066000.00,564873000.00,500201000.00,489184000.00,519358000.00,348314000.00,347479000.00,317284000.00,321504000.00,313941000.00,279755000.00,298930000.00,263716000.00,93438000.00,94718000.00,79950000.00,77478000.00,78525000.00,64620000.00,42567000.00,78076000.00,70553000.00,64778000.00,58652000.00,37443000.00,22928000.00,47149000.00,
deferredLongTermLiab,,,,,2649102000.00,2380288000.00,1957518000.00,1546073000.00,1545494000.00,1466217000.00,376895000.00,564003000.00,1426945000.00,1937083000.00,2414533000.00,1966723000.00,1952353000.00,1943534000.00,,,,,,,,,,,110551000.00,,,,,,,3895000.00,,,,,,,33313000.00,49303000.00,73835000.00,29808000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
