,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,1999-12-31,1999-09-30,1999-06-30,1999-03-31,1998-12-31,1998-09-30,1998-06-30,1998-03-31,1997-12-31,1997-09-30,1997-06-30,1997-03-31,1996-12-31,1996-09-30,1996-06-30,1996-03-31,1995-12-31,1995-09-30,1995-06-30,1995-03-31,1994-12-31,1994-09-30,1994-06-30,1994-03-31,1993-12-31,1993-09-30,1993-06-30,1993-03-31,1992-12-31,1992-09-30,1992-06-30,1992-03-31,1991-12-31,1991-09-30,1991-06-30,1991-03-31,1990-12-31,1990-09-30,1990-06-30,1990-03-31,1989-12-31,1989-09-30,1989-06-30,1989-03-31,1988-12-31,1988-09-30,1988-06-30,1988-03-31,1987-12-31,1987-09-30,1987-06-30,1987-03-31,1986-12-31,1986-09-30,1986-06-30,1986-03-31,1985-12-31,1985-09-30
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,1999-12-31,1999-09-30,1999-06-30,1999-03-31,1998-12-31,1998-09-30,1998-06-30,1998-03-31,1997-12-31,1997-09-30,1997-06-30,1997-03-31,1996-12-31,1996-09-30,1996-06-30,1996-03-31,1995-12-31,1995-09-30,1995-06-30,1995-03-31,1994-12-31,1994-09-30,1994-06-30,1994-03-31,1993-12-31,1993-09-30,1993-06-30,1993-03-31,1992-12-31,1992-09-30,1992-06-30,1992-03-31,1991-12-31,1991-09-30,1991-06-30,1991-03-31,1990-12-31,1990-09-30,1990-06-30,1990-03-31,1989-12-31,1989-09-30,1989-06-30,1989-03-31,1988-12-31,1988-09-30,1988-06-30,1988-03-31,1987-12-31,1987-09-30,1987-06-30,1987-03-31,1986-12-31,1986-09-30,1986-06-30,1986-03-31,1985-12-31,1985-09-30
filing_date,2023-10-25,2023-07-26,2023-03-31,2023-01-30,2022-10-26,2022-07-27,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2013-03-28,2012-09-30,2012-06-30,2012-03-31,2012-03-29,2011-09-30,2011-06-30,2011-03-31,2011-03-28,2010-09-30,2010-06-30,2010-03-31,2010-03-26,2009-09-30,2009-06-30,2009-03-31,2009-03-31,2008-09-30,2008-06-30,2008-03-31,2008-03-28,2007-09-30,2007-06-30,2007-03-31,2007-03-30,2006-09-30,2006-06-30,2006-03-31,2006-03-28,2005-09-30,2005-06-30,2005-04-01,2004-12-31,2004-09-30,2004-06-30,2004-05-18,2003-12-31,2003-09-30,2003-06-30,2003-05-20,2002-12-31,2002-09-30,2002-06-30,2002-05-13,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,1999-12-31,1999-09-30,1999-06-30,1999-03-31,1998-12-31,1998-09-30,1998-06-30,1998-03-31,1997-12-31,1997-09-30,1997-06-30,1997-03-31,1996-12-31,1996-09-30,1996-06-30,1996-03-31,1995-12-31,1995-09-30,1995-06-30,1995-03-31,1994-12-31,1994-09-30,1994-06-30,1994-03-31,1993-12-31,1993-09-30,1993-06-30,1993-03-31,1992-12-31,1992-09-30,1992-06-30,1992-03-31,1991-12-31,1991-09-30,1991-06-30,1991-03-31,1990-12-31,1990-09-30,1990-06-30,1990-03-31,1989-12-31,1989-09-30,1989-06-30,1989-03-31,1988-12-31,1988-09-30,1988-06-30,1988-03-31,1987-12-31,1987-09-30,1987-06-30,1987-03-31,1986-12-31,1986-09-30,1986-06-30,1986-03-31,1985-12-31,1985-09-30
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
totalAssets,29225681000.00,29311652000.00,29646416000.00,23494808000.00,23273755000.00,23186108000.00,23330519000.00,10186776000.00,10051444000.00,9918990000.00,9552816000.00,9614755000.00,9201507000.00,9059029000.00,9695930000.00,8789885000.00,8306705000.00,8090680000.00,7912944000.00,7852843000.00,8355839000.00,8278687000.00,7876444000.00,7865601000.00,7875200000.00,7695042000.00,7397269000.00,7107951000.00,7172879000.00,7024195000.00,6716564000.00,6683180000.00,6805608000.00,6749815000.00,6767125000.00,6840538000.00,6674869000.00,6708478000.00,4995126000.00,4959359000.00,5440070000.00,5250800000.00,5250820000.00,5255842000.00,5218625000.00,5067550000.00,4998423000.00,5034262000.00,5544051000.00,5641656000.00,5523201000.00,5500351000.00,5511972000.00,4494772000.00,4309745000.00,4247357000.00,4113303000.00,3812633000.00,3630004000.00,3378824000.00,3221864000.00,2976867000.00,2819484000.00,2735498000.00,2531554000.00,2411346000.00,1535457000.00,1521488000.00,1413259000.00,1362174000.00,1066184000.00,976069000.00,766727000.00,736355000.00,718164000.00,718164000.00,687523000.00,650627000.00,637120000.00,637120000.00,602838000.00,588724000.00,593807000.00,593807000.00,433491000.00,434960000.00,395512000.00,395512000.00,446034000.00,450112000.00,370692000.00,364752000.00,333520000.00,326769000.00,307468000.00,294244000.00,271510000.00,275243000.00,276064000.00,278103000.00,276953000.00,289876000.00,,234053000.00,,,,300636000.00,302798963.51,307332933.03,301146455.68,282511145.00,278111868.38,268000116.46,255212974.51,256234760.66,258323765.79,247540876.82,245264322.76,144113115.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
intangibleAssets,4174000.00,14668000.00,11654000.00,13318000.00,50455000.00,56061000.00,61667000.00,,,,,,,,,,,,,,696809000.00,696809000.00,696809000.00,696809000.00,696809000.00,696809000.00,696809000.00,696809000.00,696809000.00,696809000.00,696809000.00,696809000.00,696809000.00,696809000.00,601190000.00,582461000.00,638393000.00,39017000.00,39017000.00,39017000.00,235414000.00,235414000.00,229279000.00,229279000.00,229279000.00,229279000.00,229279000.00,229279000.00,200064000.00,200064000.00,200064000.00,200064000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
earningAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherCurrentAssets,38954000.00,36879000.00,35836000.00,259952000.00,299550000.00,4861000.00,2537000.00,198846000.00,24962000.00,35810000.00,162661000.00,159212000.00,19559000.00,163754000.00,18706000.00,179218000.00,21707000.00,241672000.00,13584000.00,165824000.00,206527000.00,200898000.00,145682000.00,150626000.00,174968000.00,149762000.00,130087000.00,136810000.00,168500000.00,181342000.00,186850000.00,194689000.00,171835000.00,146529000.00,127830000.00,123401000.00,130176000.00,122224000.00,101779000.00,116993000.00,142967000.00,115242000.00,97988000.00,92977000.00,99227000.00,100575000.00,92109000.00,110369000.00,117782000.00,101477000.00,92572000.00,89776000.00,87148000.00,86292000.00,65515000.00,61159000.00,46617000.00,136565000.00,36074000.00,6189000.00,158711000.00,56111000.00,78165000.00,48692000.00,77322000.00,142816000.00,152646000.00,146940000.00,89714000.00,107117000.00,75833000.00,90787000.00,71432000.00,56407000.00,44615000.00,44615000.00,41529000.00,42082000.00,42740000.00,42740000.00,23609000.00,32053000.00,32649000.00,32649000.00,18511000.00,29567000.00,21637000.00,21637000.00,19995000.00,23719000.00,18217000.00,22317000.00,3405000.00,810000.00,6001000.00,6221000.00,9949000.00,6817000.00,6493000.00,7235000.00,6338000.00,4966000.00,,6575000.00,,,,7516000.00,7267175.12,8201403.03,7046078.42,5205889.25,7201508.60,5968497.98,6558545.71,5275840.93,4473138.80,3908540.16,5062961.54,4909513.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
totalLiab,9292415000.00,9358449000.00,9860375000.00,7253463000.00,7147056000.00,6915096000.00,7068452000.00,4205941000.00,4156814000.00,4054518000.00,3863498000.00,3931542000.00,3717488000.00,3822287000.00,4655332000.00,3678371000.00,3525055000.00,3444971000.00,3345840000.00,3302831000.00,3406984000.00,3346529000.00,2936395000.00,2918610000.00,2955649000.00,2844616000.00,2618767000.00,2615477000.00,2714415000.00,2644948000.00,2461450000.00,2542160000.00,2650352000.00,2590046000.00,2667383000.00,2772048000.00,2705101000.00,2418367000.00,1889521000.00,1982210000.00,1980633000.00,1833974000.00,1787439000.00,1845630000.00,1828573000.00,1793739000.00,1746575000.00,1819099000.00,1821287000.00,1814672000.00,1781738000.00,1834901000.00,1897342000.00,1545233000.00,1504612000.00,1495596000.00,1426615000.00,1145588000.00,1011245000.00,861068000.00,1058297000.00,839533000.00,693875000.00,676564000.00,637630000.00,580910000.00,247941000.00,269083000.00,192453000.00,197057000.00,180446000.00,321002000.00,255656000.00,240059000.00,247938000.00,247938000.00,238788000.00,86278000.00,236385000.00,236385000.00,206805000.00,192176000.00,196114000.00,196114000.00,214991000.00,219847000.00,184197000.00,184197000.00,229421000.00,230752000.00,231953000.00,228297000.00,201376000.00,193656000.00,171321000.00,155105000.00,132416000.00,131178000.00,129452000.00,131461000.00,127693000.00,132387000.00,,133955000.00,,,,148493000.00,145416908.29,144256821.08,140554585.09,155370131.39,147222593.43,141060354.62,140367135.98,146226347.83,138369093.59,133324647.69,133155888.59,29154959.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
totalStockholderEquity,19933266000.00,19953203000.00,19786041000.00,16241345000.00,16126699000.00,16271012000.00,16262067000.00,5980835000.00,5894630000.00,5864472000.00,5689318000.00,5683213000.00,5484019000.00,5236742000.00,5040598000.00,5111514000.00,4781650000.00,4645709000.00,4567104000.00,4550012000.00,4948855000.00,4932158000.00,4940049000.00,4946991000.00,4919551000.00,4850426000.00,4778502000.00,4492474000.00,4458464000.00,4379247000.00,4255114000.00,4141020000.00,4155256000.00,4159769000.00,4099742000.00,4068490000.00,3969768000.00,4290111000.00,3105605000.00,2977149000.00,3459437000.00,3416826000.00,3463381000.00,3410212000.00,3390052000.00,3273811000.00,3251848000.00,3202972000.00,3722764000.00,3826984000.00,3741463000.00,3665450000.00,3614630000.00,2949539000.00,2805133000.00,2751761000.00,2686688000.00,2667045000.00,2618759000.00,2517756000.00,2163567000.00,2137334000.00,2125609000.00,2058934000.00,1893924000.00,1820241000.00,1287516000.00,1252405000.00,1220806000.00,1165117000.00,885738000.00,655067000.00,511071000.00,496296000.00,470226000.00,470226000.00,448735000.00,564349000.00,400735000.00,400735000.00,396033000.00,396548000.00,397693000.00,397693000.00,218500000.00,215113000.00,211315000.00,211315000.00,214888000.00,217399000.00,136778000.00,133890000.00,128881000.00,129802000.00,132836000.00,135821000.00,135823000.00,140451000.00,143034000.00,143089000.00,144489000.00,152523000.00,,94992000.00,,,,146816000.00,152023431.13,157657327.81,155160518.47,126994368.84,130740790.24,126721402.16,114631972.91,109794527.38,119954672.19,114216229.13,112108434.17,114958155.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deferredLongTermLiab,,,,,,,,,,,,,,,,,,,,,,,,827341000.00,,,,819562000.00,,,,802114000.00,,,,797192000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
