,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31
filing_date,2023-09-30,2023-06-30,2023-05-16,2023-03-02,2022-09-30,2022-06-30,2022-05-16,2021-12-31,2021-09-30,2021-06-30,2021-05-17,2020-12-31,2020-09-30,2020-06-30,2020-06-15,2019-12-31,2019-09-30,2019-06-30,2019-05-01,2018-12-31,2018-09-30,2018-07-02,2018-05-16,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-05-02,2015-12-31,2015-09-30,2015-06-30,2015-04-30,2014-12-31,2014-09-30,2014-06-30,2014-04-30,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31
currency_symbol,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN,PEN
totalAssets,6050102000.00,6006339000.00,5946815000.00,5965161000.00,6080181000.00,5963293000.00,5900572000.00,5900572000.00,6367928000.00,6183345000.00,6156656000.00,6156656000.00,6106941000.00,6115452000.00,6404464000.00,6404464000.00,7333657000.00,7220420000.00,7430396000.00,7430396000.00,8156162000.00,8667670000.00,9046636000.00,8667670000.00,9481336000.00,9006390000.00,9475365000.00,9046636000.00,9719085000.00,8904745000.00,8991811000.00,8991811000.00,8358416000.00,8229341000.00,7729899000.00,7729899000.00,7147150000.00,6820795000.00,6312876000.00,6312876000.00,6306227000.00,5343331000.00,4932105000.00,4992626000.00,,,
intangibleAssets,,,737859000.00,787336000.00,,,686311000.00,686311000.00,,,733044000.00,733044000.00,,,795948000.00,795948000.00,,,753807000.00,753807000.00,,823266000.00,815766000.00,823266000.00,,,,815766000.00,,,696212000.00,696212000.00,,,598527000.00,598527000.00,,,406305000.00,406305000.00,,,,413179000.00,,,
earningAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherCurrentAssets,565644000.00,637143000.00,-1000.00,458583000.00,718813000.00,-1000.00,269426000.00,269426000.00,-3000.00,806968000.00,776778000.00,282467000.00,771613000.00,987126000.00,1003705000.00,510565000.00,243157000.00,266755000.00,547229000.00,547229000.00,37892000.00,376086000.00,265571000.00,376086000.00,1121510000.00,1023237000.00,1035646000.00,265571000.00,67576000.00,54968000.00,359207000.00,359207000.00,49924000.00,49833000.00,311525000.00,311525000.00,62134000.00,61653000.00,287474000.00,287474000.00,24760000.00,24660000.00,25486000.00,266167000.00,,,
totalLiab,4693062000.00,4709286000.00,4587997000.00,4658664000.00,4630387000.00,4206140000.00,4447306000.00,4447306000.00,4911047000.00,4668826000.00,4467480000.00,4467480000.00,4368728000.00,4397347000.00,4528379000.00,4528379000.00,4538926000.00,4439548000.00,4940465000.00,4940465000.00,5618075000.00,6078592000.00,6556899000.00,6078592000.00,6266455000.00,5822317000.00,6301905000.00,6556899000.00,6448689000.00,5683458000.00,5808766000.00,5808766000.00,5307372000.00,5080593000.00,4549977000.00,4549977000.00,3886222000.00,3599372000.00,3116036000.00,3116036000.00,3196873000.00,3490042000.00,3143385000.00,3215736000.00,,,
totalStockholderEquity,1116684000.00,1048159000.00,1069479000.00,1045466000.00,1198866000.00,1503828000.00,1199816000.00,1199816000.00,1165252000.00,1198793000.00,1361142000.00,1595296000.00,1411355000.00,1397019000.00,1477810000.00,1477810000.00,2390909000.00,2394784000.00,2088360000.00,2088360000.00,2133005000.00,2123330000.00,1980424000.00,2123330000.00,2693806000.00,2676927000.00,2647329000.00,1980424000.00,2735660000.00,2679081000.00,2654556000.00,2654556000.00,2542253000.00,2628972000.00,2691178000.00,2691178000.00,2810512000.00,2777227000.00,2765779000.00,2765779000.00,2672079000.00,1435033000.00,1369593000.00,1392207000.00,,,
deferredLongTermLiab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherCurrentLiab,520902000.00,639419000.00,571120000.00,603259000.00,549551000.00,592848000.00,745737000.00,745737000.00,721532000.00,640440000.00,650439000.00,676649000.00,924437000.00,689205000.00,763979000.00,825163000.00,210778000.00,237724000.00,577073000.00,577073000.00,866389000.00,555399000.00,624640000.00,555399000.00,249493000.00,255898000.00,1312852000.00,624640000.00,1216776000.00,1157727000.00,492870000.00,492870000.00,1075292000.00,1094562000.00,479189000.00,479189000.00,814434000.00,909360000.00,777703000.00,777703000.00,922884000.00,1017961000.00,1087048000.00,1069744000.00,,,
commonStock,1196980000.00,1196980000.00,1196980000.00,1196980000.00,1196980000.00,1196980000.00,871918000.00,871918000.00,871918000.00,871918000.00,871918000.00,871918000.00,871918000.00,871918000.00,871918000.00,871918000.00,871918000.00,871918000.00,729434000.00,729434000.00,660054000.00,660054000.00,660054000.00,660054000.00,660054000.00,660054000.00,660054000.00,660054000.00,660054000.00,660054000.00,660054000.00,660054000.00,660054000.00,660054000.00,660054000.00,660054000.00,660054000.00,660054000.00,660054000.00,660054000.00,660054000.00,558284000.00,558284000.00,558284000.00,,,
capitalStock,1196980000.00,1196980000.00,1196980000.00,1196980000.00,1196980000.00,1196980000.00,1196980000.00,871918000.00,871918000.00,871918000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retainedEarnings,-1309785000.00,-1364924000.00,-1336542000.00,-1359750000.00,-1230811000.00,-926631000.00,-829714000.00,-829714000.00,-832123000.00,-790234000.00,-635101000.00,-635101000.00,-565909000.00,-580561000.00,-510766000.00,-510766000.00,410361000.00,402457000.00,375417000.00,375417000.00,606374000.00,589167000.00,443377000.00,589167000.00,1153943000.00,1156701000.00,1116756000.00,443377000.00,1173179000.00,1137122000.00,1064044000.00,1064044000.00,983025000.00,1017056000.00,1113697000.00,1113697000.00,1049112000.00,949305000.00,948112000.00,948112000.00,832349000.00,754632000.00,696364000.00,723972000.00,,,
otherLiab,,,,,806799000.00,554978000.00,552228000.00,567867000.00,721682000.00,687861000.00,693533000.00,598697000.00,653707000.00,598906000.00,677347000.00,621348000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodWill,,,49477000.00,16559000.00,,,57080000.00,57080000.00,,,58946000.00,58946000.00,,,57367000.00,57367000.00,,,93288000.00,93288000.00,,116804000.00,144520000.00,116804000.00,,,,144520000.00,,,184808000.00,184808000.00,,,182257000.00,182257000.00,,,75087000.00,75087000.00,,,,91929000.00,,,
otherAssets,,,,,2114093000.00,2005154000.00,1971747000.00,1886106000.00,2151477000.00,2048696000.00,1993993000.00,1989920000.00,2061953000.00,1993039000.00,1964389000.00,1920762000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cash,625903000.00,540408000.00,501090000.00,490117000.00,510396000.00,557173000.00,370398000.00,370398000.00,464657000.00,330886000.00,399153000.00,399153000.00,324408000.00,425255000.00,396539000.00,396539000.00,800692000.00,791747000.00,801140000.00,801140000.00,545063000.00,626180000.00,606950000.00,626180000.00,848774000.00,572399000.00,521430000.00,606950000.00,696269000.00,563394000.00,554002000.00,554002000.00,730519000.00,720354000.00,818402000.00,818402000.00,897259000.00,914734000.00,959415000.00,959415000.00,1058824000.00,418903000.00,653040000.00,780114000.00,,,
cashAndEquivalents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
totalCurrentLiabilities,2752125000.00,2768231000.00,2661411000.00,2691465000.00,2684556000.00,2064390000.00,2347717000.00,2347717000.00,2932076000.00,2714222000.00,2546959000.00,2546959000.00,2377028000.00,2491245000.00,2680846000.00,2680846000.00,2586231000.00,2657842000.00,2891614000.00,2891614000.00,3247051000.00,3549185000.00,4536966000.00,3549185000.00,3866458000.00,3557936000.00,3650283000.00,4536966000.00,3937499000.00,3662475000.00,4092277000.00,4092277000.00,3696350000.00,3857338000.00,3796130000.00,3796130000.00,3193449000.00,2949571000.00,2416325000.00,2416325000.00,2568153000.00,2442169000.00,2342131000.00,2618115000.00,,,
currentDeferredRevenue,284833000.00,463649000.00,350194000.00,367392000.00,420874000.00,347383000.00,315644000.00,315644000.00,409768000.00,369721000.00,278490000.00,,-9165000.00,354526000.00,270714000.00,,726242000.00,745912000.00,301868000.00,301868000.00,-25511000.00,316891000.00,510367000.00,316891000.00,1088150000.00,1054712000.00,89118000.00,510367000.00,-121494000.00,-100186000.00,526161000.00,526161000.00,-39730000.00,-88632000.00,573585000.00,573585000.00,87939000.00,100499000.00,135521000.00,135521000.00,84913000.00,55863000.00,55209000.00,115531000.00,,,
netDebt,1159414000.00,1216470000.00,1248716000.00,1298640000.00,1307128000.00,1229883000.00,1472500000.00,1472500000.00,1526090000.00,1476471000.00,1443534000.00,1352002000.00,1472309000.00,1306530000.00,1336114000.00,1262987000.00,888803000.00,797596000.00,1350134000.00,1350134000.00,1861517000.00,2118764000.00,2811193000.00,2118764000.00,1941508000.00,2204317000.00,2659227000.00,2811193000.00,2300935000.00,2157834000.00,2115998000.00,2115998000.00,1953231000.00,1689913000.00,989202000.00,989202000.00,635774000.00,222826000.00,-163593000.00,-163593000.00,-149198000.00,804325000.00,272389000.00,65360000.00,,,
shortTermDebt,689748000.00,652371000.00,651362000.00,645830000.00,678492000.00,200284000.00,311178000.00,311178000.00,731381000.00,540614000.00,520863000.00,520863000.00,460799000.00,424589000.00,508542000.00,508542000.00,391552000.00,476371000.00,877201000.00,877201000.00,986360000.00,1168675000.00,2045125000.00,1168675000.00,1174602000.00,1133548000.00,1180195000.00,2045125000.00,1129286000.00,1060681000.00,1359656000.00,1359656000.00,1381487000.00,1527381000.00,1481480000.00,1481480000.00,1171089000.00,819376000.00,486119000.00,486119000.00,553039000.00,469341000.00,349424000.00,452819000.00,,,
shortLongTermDebt,674581000.00,641253000.00,633640000.00,637648000.00,658890000.00,181628000.00,247100000.00,291519000.00,701239000.00,512681000.00,517269000.00,511330000.00,424227000.00,397801000.00,359526000.00,480547000.00,361658000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shortLongTermDebtTotal,1785317000.00,1756878000.00,1749806000.00,1788757000.00,1817524000.00,1787056000.00,1842898000.00,1842898000.00,1990747000.00,1807357000.00,1842687000.00,1751155000.00,1796717000.00,1731785000.00,1732653000.00,1659526000.00,1689495000.00,1589343000.00,2151274000.00,2151274000.00,2406580000.00,2744944000.00,3418143000.00,2744944000.00,2790282000.00,2776716000.00,3180657000.00,3418143000.00,2997204000.00,2721228000.00,2670000000.00,2670000000.00,2683750000.00,2410267000.00,1807604000.00,1807604000.00,1533033000.00,1137560000.00,795822000.00,795822000.00,909626000.00,1223228000.00,925429000.00,845474000.00,,,
otherStockholderEquity,1142092000.00,1142092000.00,1142092000.00,1142092000.00,1142092000.00,1142092000.00,1131574000.00,1131574000.00,1131574000.00,1131574000.00,1131574000.00,1358479000.00,1131574000.00,1132179000.00,1132179000.00,-177506000.00,1131051000.00,1131051000.00,992144000.00,992144000.00,872212000.00,881795000.00,882464000.00,881795000.00,882056000.00,882056000.00,882464000.00,882464000.00,879349000.00,879349000.00,897532000.00,897532000.00,898417000.00,898417000.00,899311000.00,899311000.00,976110000.00,1027533000.00,1027533000.00,1027533000.00,,,,6656000.00,,,
propertyPlantEquipment,,,,,341210000.00,337246000.00,344228000.00,348924000.00,417051000.00,434434000.00,448380000.00,469987000.00,484996000.00,475007000.00,497391000.00,522683000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
