,2023-10-31,2023-07-31,2023-04-30,2023-01-31,2022-10-31,2022-07-31,2022-04-30,2022-01-31,2021-10-31,2021-07-31,2021-04-30,2021-01-31,2020-10-31,2020-08-31,2020-07-31,2020-05-31,2020-04-30,2020-02-29,2020-01-31,2019-11-30,2019-10-31,2019-08-31,2019-07-31,2019-04-30,2019-02-28,2019-01-31,2018-10-31,2018-07-31,2018-04-30,2018-01-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-07-31,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2012-07-31,2012-04-30,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-07-31,2010-04-30,2010-01-31,2009-10-31,2009-07-31,2009-04-30,2009-01-31,2008-10-31,2008-07-31,2008-04-30,2008-01-31,2007-10-31,2007-07-31,2007-04-30,2007-01-31,2006-10-31,2006-07-31,2006-04-30,2006-01-31,2005-10-31,2005-07-31,2005-04-30,2005-01-31,2004-10-31,2004-07-31,2004-04-30,2004-01-31,2003-10-31,2003-07-31,2003-04-30,2003-01-31,2002-10-31,2002-07-31,2002-05-31,2002-04-30,2001-10-31,2001-07-31,2001-04-30,2001-01-31,2000-10-31,2000-07-31,2000-04-30,2000-01-31,1999-10-31,1999-07-31,1999-04-30,1999-01-31,1998-10-31,1998-07-31,1998-04-30,1998-01-31,1997-10-31,1997-07-31,1997-04-30,1997-01-31,1996-10-31,1996-07-31,1996-04-30,1996-01-31,1995-10-31,1995-07-31,1995-04-30,1995-01-31,1994-10-31,1994-07-31,1994-04-30,1994-01-31,1993-10-31,1993-07-31,1993-04-30,1993-01-31,1992-10-31,1992-07-31
date,2023-10-31,2023-07-31,2023-04-30,2023-01-31,2022-10-31,2022-07-31,2022-04-30,2022-01-31,2021-10-31,2021-07-31,2021-04-30,2021-01-31,2020-10-31,2020-08-31,2020-07-31,2020-05-31,2020-04-30,2020-02-29,2020-01-31,2019-11-30,2019-10-31,2019-08-31,2019-07-31,2019-04-30,2019-02-28,2019-01-31,2018-10-31,2018-07-31,2018-04-30,2018-01-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-07-31,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2012-07-31,2012-04-30,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-07-31,2010-04-30,2010-01-31,2009-10-31,2009-07-31,2009-04-30,2009-01-31,2008-10-31,2008-07-31,2008-04-30,2008-01-31,2007-10-31,2007-07-31,2007-04-30,2007-01-31,2006-10-31,2006-07-31,2006-04-30,2006-01-31,2005-10-31,2005-07-31,2005-04-30,2005-01-31,2004-10-31,2004-07-31,2004-04-30,2004-01-31,2003-10-31,2003-07-31,2003-04-30,2003-01-31,2002-10-31,2002-07-31,2002-05-31,2002-04-30,2001-10-31,2001-07-31,2001-04-30,2001-01-31,2000-10-31,2000-07-31,2000-04-30,2000-01-31,1999-10-31,1999-07-31,1999-04-30,1999-01-31,1998-10-31,1998-07-31,1998-04-30,1998-01-31,1997-10-31,1997-07-31,1997-04-30,1997-01-31,1996-10-31,1996-07-31,1996-04-30,1996-01-31,1995-10-31,1995-07-31,1995-04-30,1995-01-31,1994-10-31,1994-07-31,1994-04-30,1994-01-31,1993-10-31,1993-07-31,1993-04-30,1993-01-31,1992-10-31,1992-07-31
filing_date,2023-11-21,2023-09-06,2023-05-25,2023-03-13,2022-11-23,2022-09-07,2022-05-26,2022-03-14,2021-11-23,2021-09-02,2021-06-02,2021-03-11,2020-12-03,2020-09-09,2020-09-09,2020-06-04,2020-06-04,2020-03-12,2020-03-12,2019-12-11,2019-12-11,2019-09-05,2019-09-05,2019-06-06,2019-03-14,2019-03-14,2018-12-12,2018-08-30,2018-06-01,2018-03-16,2017-12-07,2017-08-24,2017-05-23,2017-03-10,2016-12-02,2016-08-24,2016-05-25,2016-03-10,2015-12-04,2015-08-27,2015-05-27,2015-03-11,2014-12-05,2014-08-28,2014-05-29,2014-03-13,2013-12-09,2013-08-29,2013-05-30,2013-03-12,2012-11-29,2012-08-23,2012-05-24,2012-03-15,2011-11-30,2011-08-25,2011-05-26,2011-03-11,2010-11-19,2010-08-25,2010-06-09,2010-03-26,2009-12-02,2009-09-03,2009-06-04,2009-03-30,2008-12-04,2008-09-08,2008-06-05,2008-04-02,2007-12-06,2007-09-06,2007-06-07,2007-04-04,2006-12-01,2006-08-30,2006-05-31,2006-04-05,2005-12-05,2005-09-07,2005-06-03,2005-04-14,2004-12-06,2004-09-03,2004-06-07,2004-04-01,2003-12-05,2003-09-12,2003-06-13,2003-04-02,2002-12-17,2002-09-13,2002-06-12,2002-05-01,2001-12-05,2001-09-05,2001-06-07,2001-04-27,2000-12-11,2000-09-06,2000-06-01,2000-04-12,1999-11-24,1999-09-03,1999-06-10,1999-04-21,1998-11-24,1998-09-15,1998-06-12,1998-04-24,1997-12-09,1997-09-10,1997-06-16,1997-04-16,1996-11-27,1996-09-13,1996-06-14,1996-04-30,1995-10-31,1995-07-31,1995-04-30,1995-01-31,1994-10-31,1994-07-31,1994-04-30,1994-01-31,1993-10-31,1993-07-31,1993-04-30,1993-01-31,1992-10-31,1992-10-31
currency_symbol,,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
totalAssets,3520786000.00,3431907000.00,3373894000.00,3420956000.00,3672477000.00,3629217000.00,3701518000.00,3786643000.00,3750015000.00,3495022000.00,3400666000.00,3434806000.00,3498215000.00,3627976000.00,3627976000.00,3630111000.00,3630111000.00,3328679000.00,3328679000.00,3452252000.00,3452252000.00,3359159000.00,3359159000.00,3255353000.00,1903378000.00,1903378000.00,1981482000.00,1850749000.00,1730914000.00,1816313000.00,1801780000.00,1686323000.00,1633193000.00,1782660000.00,1822540000.00,1693188000.00,1596296000.00,1612246000.00,1887836000.00,1760209000.00,1672760000.00,1691700000.00,1772072000.00,1680061000.00,1651877000.00,1694164000.00,1840086000.00,1780085000.00,1667044000.00,1756053000.00,1833133000.00,1978882000.00,1916452000.00,1950802000.00,1910452000.00,1866502000.00,1832338000.00,1879998000.00,1909124000.00,1849703000.00,1975190000.00,2138148000.00,2095908000.00,2010314000.00,1913297000.00,1963676000.00,1971419000.00,1945324000.00,1868495000.00,1867680000.00,1982823000.00,1847515000.00,1841083000.00,1987484000.00,1840294000.00,1736566000.00,1617258000.00,1605649000.00,1428583000.00,1463940000.00,1356623000.00,1293659000.00,1057225000.00,950872000.00,889049000.00,865071000.00,833363000.00,773984000.00,760026000.00,741339000.00,741107000.00,701740000.00,684563000.00,672721000.00,627424000.00,570303000.00,550783000.00,543046000.00,420822000.00,356799000.00,348512000.00,354628000.00,315503000.00,263682000.00,226947000.00,210948000.00,194999000.00,159720000.00,149785000.00,144795000.00,134570000.00,105410000.00,99730000.00,110438000.00,115594000.00,97360000.00,87901000.00,87901000.00,139700000.00,134500000.00,107300000.00,104100000.00,108400000.00,82900000.00,71400000.00,44300000.00,44300000.00,40100000.00,40100000.00,,,
intangibleAssets,88201000.00,90312000.00,92399000.00,94536000.00,96530000.00,98651000.00,100679000.00,102701000.00,52943000.00,54255000.00,56301000.00,57065000.00,37729000.00,38318000.00,38318000.00,39005000.00,39005000.00,39847000.00,39847000.00,40576000.00,40576000.00,41451000.00,41451000.00,42400000.00,43268000.00,43268000.00,44164000.00,45064000.00,45966000.00,46666000.00,46979000.00,47520000.00,48462000.00,49373000.00,49993000.00,50761000.00,51432000.00,51832000.00,46756000.00,47154000.00,47419000.00,47206000.00,47864000.00,48510000.00,49087000.00,49271000.00,44427000.00,44658000.00,37931000.00,38136000.00,38459000.00,38682000.00,39556000.00,39832000.00,40088000.00,40295000.00,40454000.00,40454000.00,6700000.00,,5300000.00,11413000.00,11210000.00,11165000.00,11181000.00,10831000.00,10706000.00,10741000.00,11370000.00,11402000.00,11479000.00,11722000.00,9950000.00,9950000.00,9950000.00,9950000.00,,9950000.00,10136000.00,10136000.00,10136000.00,10136000.00,10136000.00,10136000.00,10136000.00,10136000.00,15614000.00,23614000.00,23614000.00,23614000.00,23614000.00,23966000.00,23966000.00,23966000.00,23966000.00,24625000.00,,23780000.00,23780000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
earningAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherCurrentAssets,103789000.00,117871000.00,127735000.00,102563000.00,146362000.00,171326000.00,139195000.00,122013000.00,66593000.00,118721000.00,88347000.00,120619000.00,130909000.00,155141000.00,155141000.00,144733000.00,144733000.00,65658000.00,65658000.00,54427000.00,54427000.00,69541000.00,69541000.00,70936000.00,102907000.00,102907000.00,87995000.00,93493000.00,87832000.00,78400000.00,61553000.00,110496000.00,94769000.00,77536000.00,77768000.00,90852000.00,82767000.00,77218000.00,143727000.00,136451000.00,136077000.00,132950000.00,126540000.00,127701000.00,132913000.00,129202000.00,158468000.00,162071000.00,144689000.00,132035000.00,124529000.00,142176000.00,123791000.00,123708000.00,111632000.00,139373000.00,133710000.00,101786000.00,103667000.00,140604000.00,135686000.00,107195000.00,106550000.00,108037000.00,108619000.00,105107000.00,97106000.00,110848000.00,133494000.00,82490000.00,88403000.00,105547000.00,97258000.00,81452000.00,76514000.00,70923000.00,67481000.00,12183000.00,75360000.00,75495000.00,104735000.00,73610000.00,61962000.00,61122000.00,50591000.00,44405000.00,51701000.00,48585000.00,52927000.00,47999000.00,47162000.00,49500000.00,45100000.00,42500000.00,47200000.00,60000000.00,49900000.00,43800000.00,30600000.00,36300000.00,31800000.00,20200000.00,19000000.00,28600000.00,21600000.00,10900000.00,13975000.00,14000000.00,11900000.00,10189000.00,11000000.00,10300000.00,9200000.00,8800000.00,8900000.00,9600000.00,7908000.00,7908000.00,8200000.00,9000000.00,5900000.00,3700000.00,10100000.00,9100000.00,10400000.00,6600000.00,6600000.00,2600000.00,2600000.00,,,
totalLiab,1782497000.00,1758908000.00,1754878000.00,1821793000.00,2209945000.00,2256294000.00,2318512000.00,2362971000.00,2353318000.00,2219491000.00,2225103000.00,2348141000.00,2430018000.00,2630076000.00,2630076000.00,2633128000.00,2633128000.00,2080826000.00,2080826000.00,2191867000.00,2191867000.00,2130582000.00,2130582000.00,2013602000.00,615823000.00,615823000.00,686070000.00,590172000.00,523533000.00,569522000.00,638581000.00,562024000.00,515320000.00,578091000.00,650580000.00,592791000.00,518988000.00,560870000.00,678563000.00,594531000.00,527355000.00,551954000.00,651825000.00,546214000.00,502719000.00,527986000.00,647377000.00,576412000.00,459919000.00,534866000.00,549562000.00,500468000.00,445921000.00,533951000.00,527910000.00,499515000.00,465874000.00,528927000.00,507840000.00,471713000.00,468833000.00,559631000.00,572603000.00,540457000.00,479827000.00,554645000.00,586615000.00,540007000.00,504025000.00,527216000.00,567899000.00,472677000.00,444983000.00,570172000.00,507507000.00,443178000.00,394159000.00,450097000.00,358881000.00,327688000.00,297728000.00,330173000.00,236782000.00,214596000.00,207763000.00,221401000.00,224852000.00,178154000.00,173980000.00,163857000.00,201564000.00,177719000.00,167064000.00,170669000.00,175520000.00,145171000.00,155772000.00,175351000.00,125778000.00,94777000.00,74883000.00,90127000.00,92655000.00,70282000.00,55818000.00,59751000.00,71499000.00,50324000.00,50976000.00,53987000.00,61144000.00,38596000.00,31905000.00,39382000.00,51031000.00,35765000.00,26891000.00,26891000.00,84700000.00,76600000.00,48100000.00,38300000.00,54900000.00,32800000.00,20100000.00,23000000.00,23000000.00,35700000.00,35700000.00,,,
totalStockholderEquity,1738289000.00,1672999000.00,1619016000.00,1599163000.00,1462532000.00,1372923000.00,1383006000.00,1423672000.00,1396697000.00,1275531000.00,1175563000.00,1086665000.00,1068197000.00,997900000.00,997900000.00,996983000.00,996983000.00,1247853000.00,1247853000.00,1260385000.00,1260385000.00,1228577000.00,1228577000.00,1241751000.00,1287555000.00,1287555000.00,1295412000.00,1260577000.00,1207381000.00,1246791000.00,1163199000.00,1124299000.00,1117873000.00,1204569000.00,1171960000.00,1100397000.00,1077308000.00,1051376000.00,1209273000.00,1165678000.00,1145405000.00,1139746000.00,1120247000.00,1133847000.00,1149158000.00,1166178000.00,1192709000.00,1203673000.00,1207125000.00,1221187000.00,1283571000.00,1478414000.00,1470531000.00,1416851000.00,1382542000.00,1366987000.00,1366464000.00,1351071000.00,1401284000.00,1377990000.00,1506357000.00,1578517000.00,1523305000.00,1469857000.00,1433470000.00,1409031000.00,1384804000.00,1405317000.00,1364470000.00,1340464000.00,1414924000.00,1374838000.00,1396100000.00,1417312000.00,1332787000.00,1293388000.00,1223099000.00,1155552000.00,1069702000.00,1136252000.00,1058895000.00,963486000.00,820443000.00,736276000.00,681286000.00,643670000.00,608511000.00,595830000.00,586046000.00,577482000.00,539543000.00,524021000.00,517499000.00,502052000.00,451904000.00,425132000.00,395011000.00,367695000.00,295044000.00,262022000.00,273629000.00,264501000.00,222848000.00,193400000.00,171129000.00,151197000.00,123500000.00,109396000.00,98809000.00,90808000.00,73426000.00,66814000.00,67825000.00,71056000.00,64563000.00,61595000.00,61010000.00,61010000.00,55000000.00,57900000.00,59200000.00,65800000.00,53500000.00,50100000.00,51300000.00,21300000.00,21300000.00,4400000.00,4400000.00,,,
deferredLongTermLiab,,,,,,,,,,,,,,,,,,,,,,,,,47377000.00,47377000.00,48220000.00,49569000.00,53630000.00,47977000.00,,50439000.00,,56551000.00,45114000.00,47677000.00,,54738000.00,50104000.00,53877000.00,,54516000.00,58988000.00,62779000.00,,59510000.00,65004000.00,67461000.00,,59571000.00,63220000.00,69598000.00,,73350000.00,71880000.00,77925000.00,,79131000.00,78606000.00,,83709000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
