,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
date,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
filing_date,2023-10-27,2023-07-31,2023-05-02,2023-03-02,2022-11-03,2022-08-11,2022-03-31,2022-03-30,2021-09-30,2021-06-30,2021-03-31,2021-03-02,2020-09-30,2020-07-02,2020-05-05,2020-03-05,2019-10-01,2019-07-30,2019-04-04,2019-03-08,2018-09-30,2018-06-30,2018-03-31,2018-03-09,2017-09-30,2017-06-30,2017-03-31,2017-03-20,2016-09-30,2016-06-30,2016-03-31,2016-03-23,2015-09-30,2015-06-30,2015-03-31,2015-03-30,2014-09-30,2014-06-30,2014-03-31,2014-03-18,2013-09-30,2013-06-30,2013-03-31,2013-03-13,2012-11-07,2012-06-30,2012-03-31,2012-03-23,2011-09-30,2011-07-18,2011-03-31,2011-03-23,2010-09-30,2010-06-30,2010-03-31,2010-03-16,2009-09-30,2009-06-30,2009-04-01,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2008-03-21,2007-09-30,2007-06-30,2007-03-31,2007-03-22,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
currency_symbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
totalAssets,71593664000.00,69928407000.00,69684403000.00,69726918000.00,69811154000.00,69747591000.00,70208185000.00,74569768000.00,41499328000.00,41824093000.00,42064963000.00,42048039000.00,44421118000.00,45193774000.00,47144828000.00,43749244000.00,43549014000.00,43067924000.00,44716954000.00,43208915000.00,42149536000.00,42019387000.00,42493720000.00,42040144000.00,41006730000.00,41019489000.00,41442898000.00,41620453000.00,41797800000.00,42922807000.00,43717710000.00,43914479000.00,43202087000.00,44056479000.00,44083750000.00,43891098000.00,43865284000.00,43938330000.00,9499487000.00,9446201000.00,9286867000.00,8972557000.00,8649373000.00,8581418000.00,9133814000.00,9289079000.00,9255899000.00,9107632000.00,9553384000.00,9571037000.00,9789055000.00,9600607000.00,9338580000.00,9098359000.00,8709529000.00,6769501000.00,6417628000.00,6130827000.00,5410826000.00,5410826000.00,5269507000.00,5217726000.00,4594650000.00,4394227000.00,4253206000.00,4411287000.00,4030054000.00,3922992000.00,3551347000.00,,,3061233000.00,,,
intangibleAssets,3021028000.00,3151893000.00,3334938000.00,3549663000.00,3800675000.00,3974113000.00,4118287000.00,4653399000.00,802254000.00,828217000.00,849973000.00,874548000.00,912896000.00,973449000.00,1018045000.00,1058915000.00,1171947000.00,1218095000.00,1323272000.00,1383666000.00,1470459000.00,1559175000.00,1676811000.00,1799276000.00,1978654000.00,2147554000.00,2357851000.00,2506932000.00,2774749000.00,3013094000.00,3246109000.00,3541957000.00,3847785000.00,4060979000.00,4261009000.00,4428346000.00,4676042000.00,4719034000.00,7746000.00,9354000.00,11566000.00,13487000.00,15497000.00,18100000.00,20950000.00,23825000.00,26700000.00,29678000.00,34232000.00,48809000.00,53364000.00,58637000.00,64568000.00,70498000.00,80177000.00,31399000.00,34602000.00,37893000.00,47099000.00,47099000.00,50888000.00,54788000.00,45427000.00,41855000.00,43161000.00,46100000.00,49080000.00,34229000.00,30455000.00,,,38571000.00,,,
earningAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherCurrentAssets,611966000.00,971590000.00,782106000.00,452431000.00,168398000.00,237525000.00,326014000.00,490321000.00,415674000.00,241888000.00,271455000.00,246518000.00,284928000.00,406271000.00,520058000.00,515543000.00,961339000.00,695350000.00,859657000.00,395146000.00,682586000.00,305783000.00,929141000.00,995245000.00,532395000.00,960864000.00,520550000.00,436572000.00,768430000.00,1270108000.00,418947000.00,490502000.00,394546000.00,399042000.00,414578000.00,731470000.00,704627000.00,841405000.00,266993000.00,278844000.00,280572000.00,255254000.00,296012000.00,284533000.00,310309000.00,290835000.00,303652000.00,241926000.00,210631000.00,191026000.00,210134000.00,55211000.00,233954000.00,246462000.00,214485000.00,148278000.00,121067000.00,128184000.00,120825000.00,120825000.00,553100000.00,511980000.00,411518000.00,237130000.00,286046000.00,364295000.00,250080000.00,117768000.00,254561000.00,,,273387000.00,,,
totalLiab,55221543000.00,53537899000.00,53560780000.00,53531868000.00,54166636000.00,54636240000.00,55478407000.00,57922408000.00,31569374000.00,32372594000.00,32857729000.00,33115553000.00,35541629000.00,35490711000.00,37692842000.00,34367039000.00,34309023000.00,33989749000.00,35747173000.00,34328301000.00,33225944000.00,33295571000.00,33845441000.00,33401330000.00,32404135000.00,32442242000.00,32865915000.00,33038189000.00,33370773000.00,34507980000.00,35258454000.00,35488670000.00,35065799000.00,36234139000.00,35815111000.00,35948550000.00,36220729000.00,36664652000.00,7013471000.00,7016969000.00,6924942000.00,6698352000.00,6455357000.00,6458511000.00,6915755000.00,6974266000.00,6907433000.00,6824315000.00,7308466000.00,7254815000.00,7496374000.00,7383210000.00,7358060000.00,7176905000.00,6849744000.00,5356169000.00,5082873000.00,4835768000.00,4284771000.00,4284771000.00,4111622000.00,4111850000.00,3561185000.00,3413072000.00,3313089000.00,3521921000.00,3184554000.00,3161144000.00,2979558000.00,,,2641570000.00,,,
totalStockholderEquity,16293654000.00,16311872000.00,16045416000.00,16117507000.00,15567684000.00,15034429000.00,14653130000.00,16570743000.00,9854952000.00,9383537000.00,9139325000.00,8864470000.00,8811373000.00,9633977000.00,9382926000.00,9314897000.00,9174916000.00,9013009000.00,8906178000.00,8828048000.00,8869852000.00,8669467000.00,8592625000.00,8579710000.00,8546475000.00,8520758000.00,8519654000.00,8524447000.00,8369518000.00,8351710000.00,8392850000.00,8348963000.00,8059825000.00,7746243000.00,8192083000.00,7863777000.00,7564190000.00,7194613000.00,2483164000.00,2425372000.00,2358302000.00,2272453000.00,2193034000.00,2122039000.00,2215120000.00,2310606000.00,2342958000.00,2277236000.00,2238909000.00,2310360000.00,2286194000.00,2211350000.00,1768726000.00,1717219000.00,1665614000.00,1258009000.00,1213844000.00,1177882000.00,1109037000.00,1109037000.00,1126560000.00,1073266000.00,1002886000.00,950373000.00,907882000.00,856033000.00,813815000.00,729911000.00,539769000.00,,,419663000.00,,,
deferredLongTermLiab,,,,,27562000.00,30751000.00,33869000.00,30065000.00,52822000.00,144414000.00,207431000.00,20722000.00,16360000.00,19095000.00,22724000.00,26393000.00,23321000.00,27250000.00,33664000.00,36814000.00,40718000.00,53402000.00,48824000.00,43241000.00,38574000.00,33810000.00,36017000.00,33700000.00,34381000.00,39000000.00,,45524000.00,,,,203965000.00,,,,148315000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
