,0
A,Diagnostics & Research
AA,Aluminum
AACT,Shell Companies
AAIC,REIT - Mortgage
AAIC-P-B,
AAIC-P-C,
AAIC-PB,REIT - Mortgage
AAIC-PC,REIT - Mortgage
AAIN,
AAMC,Mortgage Finance
AAN,Rental & Leasing Services
AAP,Specialty Retail
AAT,REIT - Diversified
AAU,Gold
AB,Asset Management
ABBV,Drug Manufacturers - General
ABEV,Beverages - Brewers
ABG,Auto & Truck Dealerships
ABM,Specialty Business Services
ABR,REIT - Mortgage
ABR-PD,REIT - Mortgage
ABR-PE,REIT - Mortgage
ABR-PF,REIT - Mortgage
ABT,Medical Devices
AC,Asset Management
ACA,Engineering & Construction
ACCO,Business Equipment & Supplies
ACEL,Gambling
ACHR,Aerospace & Defense
ACI,Grocery Stores
ACM,Engineering & Construction
ACN,Information Technology Services
ACP-PA,
ACR,REIT - Mortgage
ACR-PC,REIT - Mortgage
ACR-PD,REIT - Mortgage
ACRE,REIT - Mortgage
ACRO,Shell Companies
ACRO-WT,
ACU,Household & Personal Products
ADC,REIT - Retail
ADCT,Biotechnology
ADEX,Shell Companies
ADEX-WT,
ADM,Farm Products
ADNT,Auto Parts
ADRT,Shell Companies
ADT,Security & Protection Services
ADVE,
AE,Oil & Gas Refining & Marketing
AEE,Utilities - Regulated Electric
AEF,Asset Management
AEFC,Other
AEG,Insurance - Diversified
AEL,Insurance - Life
AEL-PA,Insurance - Life
AEM,Gold
AENZ,Engineering & Construction
AEO,Apparel Retail
AEON,Biotechnology
AEON-WT,
AER,Rental & Leasing Services
AES,Utilities - Diversified
AESI,Oil & Gas Equipment & Services
AETH,
AEVA,Software - Infrastructure
AEVA-WT,
AFG,Insurance - Property & Casualty
AFGB,
AFGC,
AFGD,
AFGE,Insurance
AFL,Insurance - Life
AG,Silver
AGCO,Farm & Heavy Construction Machinery
AGE,Biotechnology
AGGH,
AGI,Gold
AGL,Medical Care Facilities
AGM,Credit Services
AGM-A,Credit Services
AGM-PC,Credit Services
AGM-PD,Credit Services
AGM-PE,Credit Services
AGM-PF,Credit Services
AGM-PG,Credit Services
AGO,Insurance - Specialty
AGR,Utilities - Regulated Electric
AGRO,Farm Products
AGS,Gambling
AGTI,Health Information Services
AGX,Engineering & Construction
AHH,REIT - Diversified
AHH-PA,REIT - Diversified
AHL-PC,Insurance - Property & Casualty
AHL-PD,Insurance - Property & Casualty
AHL-PE,Insurance - Property & Casualty
AHLT,
AHT,REIT - Hotel & Motel
AHT-PD,REIT - Hotel & Motel
AHT-PF,REIT - Hotel & Motel
AHT-PG,REIT - Hotel & Motel
AHT-PH,REIT - Hotel & Motel
AHT-PI,REIT - Hotel & Motel
AI,Software - Application
AIC,Investment Banking & Investment Services
AIDB,
AIG,Insurance - Diversified
AIG-PA,Insurance - Diversified
AIM,Biotechnology
AIN,Textile Manufacturing
AINC,Asset Management
AIR,Aerospace & Defense
AIRC,REIT - Residential
AIRI,Aerospace & Defense
AIT,Industrial Distribution
AIU,Education & Training Services
AIV,REIT - Residential
AIZ,Insurance - Specialty
AIZN,
AJG,Insurance Brokers
AJX,REIT - Mortgage
AJXA, REIT - Mortgage
AKA,Internet Retail
AKO-A,Beverages - Non-Alcoholic
AKO-B,Beverages - Non-Alcoholic
AKR,REIT - Retail
AL,Rental & Leasing Services
AL-PA,Rental & Leasing Services
ALB,Specialty Chemicals
ALC,Medical Instruments & Supplies
ALCC,Shell Companies
ALE,Utilities - Diversified
ALEX,REIT - Retail
ALG,Farm & Heavy Construction Machinery
ALIT,Software - Application
ALK,Airlines
ALL,Insurance - Property & Casualty
ALL-P-J,
ALL-PB,
ALL-PH,Insurance - Property & Casualty
ALL-PI,Insurance - Property & Casualty
ALL-PJ,Insurance - Property & Casualty
ALLE,Security & Protection Services
ALLG,Specialty Retail
ALLY,Credit Services
ALSN,Auto Parts
ALTG,Rental & Leasing Services
ALTG-PA,Rental & Leasing Services
ALUR,Medical Devices
ALUR-WT,
ALV,Auto Parts
ALX,REIT - Retail
AM,Oil & Gas Midstream
AMAX,
AMBC,Insurance - Specialty
AMBI,Waste Management
AMBO,Education & Training Services
AMBP,Packaging & Containers
AMC,Entertainment
AMCR,Packaging & Containers
AME,Specialty Industrial Machinery
AMG,Asset Management
AMH,REIT - Residential
AMH-P-G,
AMH-P-H,
AMH-PG,REIT - Residential
AMH-PH,REIT - Residential
AMK,Asset Management
AMN,Medical Care Facilities
AMP,Asset Management
AMPD,
AMPE,Biotechnology
AMPS,Utilities - Renewable
AMPX,Electrical Equipment & Parts
AMPY,Oil & Gas E&P
AMR,Coking Coal
AMRC,Engineering & Construction
AMRX,
AMS,Medical Care Facilities
AMT,REIT - Specialty
AMTB,Banks - Regional
AMTD,Asset Management
AMWL,Health Information Services
AMX,Telecom Services
AN,Auto & Truck Dealerships
ANET,Computer Hardware
ANF,Apparel Retail
ANVS,Biotechnology
AOMR,REIT - Mortgage
AON,Insurance Brokers
AORT,Medical Devices
AOS,Specialty Industrial Machinery
AP,Metal Fabrication
APAM,Asset Management
APCA,Shell Companies
APCB,
APD,Specialty Chemicals
APG,Engineering & Construction
APH,Electronic Components
APIE,
