,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,commonStock,capitalStock,retainedEarnings,otherLiab,goodWill,otherAssets,cash,cashAndEquivalents,totalCurrentLiabilities,currentDeferredRevenue,netDebt,shortTermDebt,shortLongTermDebt,shortLongTermDebtTotal,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,noncontrollingInterestInConsolidatedEntity,temporaryEquityRedeemableNoncontrollingInterests,accumulatedOtherComprehensiveIncome,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,nonCurrrentAssetsOther,deferredLongTermAssetCharges,nonCurrentAssetsTotal,capitalLeaseObligations,longTermDebtTotal,nonCurrentLiabilitiesOther,nonCurrentLiabilitiesTotal,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurpluse,liabilitiesAndStockholdersEquity,cashAndShortTermInvestments,propertyPlantAndEquipmentGross,propertyPlantAndEquipmentNet,accumulatedDepreciation,netWorkingCapital,netInvestedCapital,commonStockSharesOutstanding,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,beginPeriodCashFlow,endPeriodCashFlow,totalCashFromOperatingActivities,issuanceOfCapitalStock,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,salePurchaseOfStock,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeReceivables,cashFlowsOtherOperating,exchangeRateChanges,cashAndCashEquivalentsChanges,changeInWorkingCapital,stockBasedCompensation,otherNonCashItems,freeCashFlow,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,sellingAndMarketingExpenses,grossProfit,reconciledDepreciation,ebit,ebitda,depreciationAndAmortization,nonOperatingIncomeNetOther,operatingIncome,otherOperatingExpenses,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,adjusted_close,10%DDret
2023-09-30,0.6241387851536557,0.8253639796695523,,0.8765018208713927,1.0351017762384769,0.5069360389354572,,1.009722140374796,0.5832834480694403,1.90515708358032,0.6822701569851514,,0.6495406198953567,0.5965132281385654,0.0,-0.0539832494571523,1.0800123681811276,0.620579508741796,1.0176119627502394,0.4902824713668969,-1.849923129920004,0.2416055279603177,0.4401279631133103,5.190852109961492,0.0580569008872509,0.616507623563923,,-0.4881734943190229,1.0272246903461235,0.0,,1.3753286476367967,,,,,,,,,,,-0.4498396673869585,,0.99958588780559,0.1246191946967152,0.0,-0.0084254772520528,1.0381608878638922,,,,7.913395913554313,0.6241387851536557,-0.099711936001109,,1.639311493257137,,-0.1867582470758483,1.366846799547563,0.4002161943233017,-0.1133050912064005,,-0.2408891640533203,,-0.5997675771658577,,-0.4115217545358692,0.3621522033146834,0.1984104699612498,3.253074209724357,-0.0301015321606443,0.8689374338474539,0.0,,,-0.0898644520992653,0.2869817054552281,-3.8301785947447486,,5.919476797405578,,,,,2.3653822053633067,,0.9374830328983678,-5.101528960094959,,,-1.134152160971544,1.2746310255999005,1.244376864039214,,1.3068137100284851,0.7904255899874447,-0.1136228794660726,1.7000679623795345,1.2584758291839324,,-0.3911128811517771,1.3738401872838946,0.3268347534129422,-0.0895313431677292,0.3831452603434782,1.8491421509288657,,,,-0.4165705614284084,1.190632600047967,1.4132091451792526,0.9410399812327508,-3.4922542048602185,,-0.1250919919032128,-0.2662594992422682,,16.64,-0.0836923076923076
2023-06-30,0.6389590120340709,0.8447482455164717,,41.1648027570881,1.095008108137914,0.5107042538421975,,1.5141261823566994,0.5832834480694403,1.90515708358032,0.7234265715867174,,0.6454311806621534,0.5909843930601101,0.0261674115269636,-0.0223767289816492,1.275558366610013,0.6646195120828144,1.0082831726378654,0.4969556377233511,-1.876039819339364,0.2506199493507348,0.4401567722210153,1.0162579017378035,0.2347944718980633,0.6038111554728721,0.5546518215326164,-0.2604022081018247,1.0136731642026604,0.0364678620000495,,1.2662837465699193,,1.8718185660565616,,,,2.84424778761062,,0.8708326414817986,,,-0.4498390579600073,,0.9490049167593578,0.205196109277251,0.0364662598707824,0.0084254772520528,1.052440582426819,,0.0298091464020398,,7.915899709056867,0.6389590120340709,0.0187632309670751,0.3593520176767356,1.465223151582974,,-0.1039878666353329,1.4348733483612344,0.3962839735318368,0.4542462090684055,0.9344453505388698,0.7591108359466796,-0.130864393159104,0.361799323001492,,0.6038703336516357,0.1387541458098311,0.3544660825369621,1.203058023596058,1.3506570040556438,0.864933172899761,0.0081758032334689,,,-1.5109792840077143,-0.2075294924374707,0.2654327984721806,0.0,3.362398751811388,-0.4797059084360573,0.0018709115709362,,0.6016097321827171,-1.8130610794121,,-1.2736518706933857,-3.454133348850516,,,1.193475413739731,-1.5247464068161658,1.184204119938281,,1.285867595273322,0.7830740593883603,2.325935871074282,3.414510870756704,1.2539371163544764,0.9872665078478868,-0.2451372703863162,1.3208814617949285,0.3266623026054149,0.3311441746904847,-0.0326264877660725,0.8957701273457982,,0.0937942718602579,,0.696976097775023,1.16416725933843,1.3506069163597851,0.9013065126509195,5.486526956794883,,0.0571627034367472,0.0,,18.82,-0.0951115834218915
2023-03-31,0.5303165816864984,0.8508070993149309,,38.358335633048185,1.0582751552778322,0.4770871772747854,,1.5379351473086014,0.5469919185872494,1.3301719027860106,0.6072753500662885,,0.6322395427967248,0.1453923369544532,-0.2985750713520418,-0.3905081990063523,1.207093457106572,0.5628838958630268,1.3154258286570937,0.6517624537616765,0.5459354546498424,0.2660874318762781,0.4157502313717902,0.5342326838028182,0.1092859307017859,0.140766684320469,0.4830293726458481,-0.2784033557169986,0.4514664143803216,-0.0312401180042648,,0.8705450998604503,,0.0,,,,1.9858407079646017,,-0.2358426883001031,,,0.3563554013434512,,0.8228792628540669,0.3369344572722656,-0.0312401292175161,-0.9130038621445328,1.026038006608211,,0.0,,5.794730673317753,0.5303165816864984,-0.1009032128665332,0.129281412996409,1.3830186732134817,,-0.1716929218469016,0.9060367402515932,0.3655943724478364,-0.4624489290515755,0.0,-0.0076640228302167,-0.1570214259034985,1.711273620696861,,-0.3366220863434835,0.2629016134697912,0.1248438855631809,0.519778357110077,4.088996560635156,0.7796648159909569,0.079701308155854,,,-0.8498378414684462,0.1613282533304219,1.9077296356506503,0.500422512987826,2.0149383572268604,0.0,-0.9290825196150864,,-0.0032219474670657,-1.3321817182266231,1.0,0.7696994208222876,-2.232225607354545,,,-2.0479285629241577,-0.249646491592719,1.2151878916246426,,1.105177274974159,0.6265275847361801,-1.0116332313997982,-0.6485400339682936,-0.3182094260879252,-0.9793997139482482,-0.9166679244125556,1.3196737988128102,0.3324587613808734,-0.30922789054442,1.21701255526965,-0.1422482309240698,,-0.6458251179365845,,-0.998117017032458,1.052419257680811,1.3364550110988842,0.9286340391487654,-3.700546489048802,,-0.1830024810429855,-0.4066294068168015,,23.67,-0.1073088297422899
2022-12-31,0.4935196369731961,0.8997107947637538,,5.1892172794801565,1.095672318126581,0.4216573367405431,0.681152716145819,1.7769138806394609,0.4636336426219695,0.0094842916419679,0.6904937924827238,,0.6322395427967248,0.0,-0.1083653206690638,-0.1850546064317743,1.2848041008330195,0.4407222890901828,1.164710698917095,0.6446709361598651,0.5059534441623394,0.2764481032477783,0.3490750496650634,0.2633727825080674,-0.0453496004148051,0.203212762138267,0.365292503832308,-0.6914827850674682,0.3330626632195284,0.0399919095506426,0.0,0.9135499876669144,,-0.1281814339434384,,,,0.0141592920353982,,0.5570529523965956,,,0.3121250215013446,,0.8277786041773392,0.4075251807152505,0.0399910265613783,-0.8968380152447661,1.0501708437415975,,0.1548712372920645,,0.0,0.4935196369731961,-0.2345224447831912,0.0,1.3360569810117788,,-0.2756594447920462,0.0250261246654451,0.3292709847387235,0.1848444802080144,-0.0906124343508944,0.434978448522789,-0.0786974680535591,0.1640542665715971,,-0.3316120690571,0.3851977008826993,0.2524502514877919,1.796913005123718,0.0,0.7088490729641875,-0.176218359873197,,,0.9448045302040255,-0.1613282533304219,4.66910828893694,-0.067088307084249,2.524606744644259,1.1299333876583946,0.3032257271570325,,0.0,0.1165835631978628,,0.2937627773530064,-1.7865076479812476,,,-0.4761200142874152,-0.496086040018461,0.9949372518534548,,1.215461473301825,0.4965150534454451,-0.168985826130513,1.4635946682417087,1.0770203479156408,-0.1766669854905476,-0.0198146098788717,1.1047480907396507,0.364443107070835,-1.1588258469847028,0.7411606767249319,-0.6528728317435284,,-1.5832128408476829,,-3.247040298512806,1.0350978702273037,1.13962638513414,0.6403867755748104,-1.097811188212113,,0.223524173753404,0.1839831981975992,,26.04,-0.0312018489984592
2022-09-30,0.4787953784774708,0.847778574217912,,1.7397800485677433,1.1128774406080633,0.4135358056830146,0.9158182461991315,1.8328836999565925,0.4630350194552529,0.0,0.5967348110833507,-0.6874881847354861,0.5629822130580393,-0.0804826112127179,0.1501328571225285,-0.0262659324942141,1.2683134657312878,0.4661457524626625,0.9159091356732842,0.5976260223943857,0.4564567677566695,0.2612659508208044,0.3494993969729407,-0.2758160151039565,0.0616537087265357,0.1516650470177902,0.3464074050705499,-0.5430250304174415,0.4361153861245417,0.110517368802093,,0.7272830756650762,,,,,,0.0,,-0.3362717178215026,,,0.2876388560263869,,0.7580187060188168,0.1748122143809919,0.1105168700646087,-0.8929023861901454,1.0791959654798704,,-0.752582981025024,,0.0368799649007679,0.4787953784774708,-0.0747673317244987,,1.221180837286803,,-0.2084449251335683,-0.0922469702404193,0.3262693347066835,-0.6280287746095545,0.8623668212156026,0.6567378882662203,0.0,-0.2336632291008394,-0.3854851903495767,-0.0536671036925558,0.4047832008407534,0.3781536554775048,2.088676890029639,-0.0301015321606443,0.6689865624358161,1.6444812693573514,,,0.1635218466242559,-0.4741354288825519,0.3773691029800227,0.229080450091837,4.366816034632676,0.7554987392012208,0.0,,0.1787467040430909,1.083977805500767,,0.130330897696574,-4.029595033354146,,,-0.563269913084891,0.1220086805953343,0.9336280024555924,,0.9902778330526965,0.4233303959683916,-0.1503688133701422,1.4275491373162468,1.0318373565190184,0.0,0.0,1.1194827807761984,0.3884595215721882,-0.0792589743861147,-0.3638349676606691,0.1038420478624674,,1.0440491317238458,,-0.3893791479677186,0.943253906008774,1.078817492143095,0.825016428943111,-1.4970426768325766,,-0.0571627034367472,-0.2466931026129308,,23.04,0.0980902777777778
2022-06-30,0.4774818849657212,0.8881419841124313,,1.6679225949498262,1.09637916924849,0.4168544397555373,0.0,1.7479839026033064,0.4630350194552529,0.0,0.6320282433454016,-0.4616142521975852,0.5652940058584353,-224.7532356706016,0.1798244890748561,0.0223767289816492,1.1542765540956068,0.3162476695861314,0.8922873214715703,0.5910757668384009,0.4069218157924954,0.2628198530922057,0.349616427041931,2.264121125517723,0.1370024641379895,-0.1202112997975415,-0.8778753559818617,-0.3835011638284104,0.4660185116558907,0.1797971357512075,,0.5082731540073894,,,,,,0.0,,0.0,,,0.1797568782591962,,1.021354941217019,0.1424071148382435,0.17979720028715,1.315183715979518,1.0959099414854188,,-1.0627366352808716,,0.0470510317523174,0.4774818849657212,0.0120939069544931,,2.156916051546838,,-0.1481273373520376,-0.0250261246654451,0.3262693347066835,0.1133050912064005,0.2922235728157995,-0.2038594357606163,0.043010265871354,0.1170989210796777,-1.6641332751242617,-2.223105765811704,1.226053736328344,0.3982848310993009,0.3642311337133749,,0.5534597524266798,-2.59259753078545,,,-1.894245930844344,-0.3880074520401004,4.285245092482721,0.901834279368362,1.9154652543736483,-0.8350765877391572,3.703106569829509,,-1.2164216163071264,-2.681723248200856,,6.6903591300476455,-2.235695643445091,,,-7.0024150494106445,0.3380988776108068,0.8822400576734909,,1.0209565658323383,0.2112316117255449,1.1825947535869243,2.2245199109138296,0.9008910916316908,0.3473595451050524,1.4187105848810506,0.9998783324607567,0.3847183948701164,-0.9177610695758226,-0.425157031361228,-0.034823069349621,,0.4859133330412303,,-2.6089311950832306,0.8991701371940054,0.9893184227778654,0.6201552351454234,-30.828512735943345,,-0.6426752626049602,-1.090246637661883,,20.65,0.2426150121065376
2022-03-31,0.4722303132979202,0.2202167112694396,,1.1828057536072472,1.059641211956344,0.4430786605682991,1.301637828911529,1.1329028573488626,0.4630350194552529,0.0,0.9200930018815366,0.5316119576432423,0.3957877228550672,2.6669117249364485,1.103652077215446,1.535849066412455,0.861408013230592,0.1630720155443022,0.0530235574026256,0.5216179076301661,0.3578908253486265,0.2417714975057656,0.3496587438844035,-1.5608859803339534,0.4902332644140644,0.1202112997975415,0.3605059228465181,-0.1344548263985326,0.1570818201239051,0.2483665655539965,,0.5321358914568322,,,,,,0.0,,2.744647516216184,,,0.5282010036347747,,0.565166673054532,-0.158703730055669,0.2483657573582196,0.0110230522628277,1.1464849600290066,,-28.52361661497025,,0.0507287825854841,0.4722303132979202,0.4476562718855107,-0.870718587003591,0.957000677594442,,0.1039878666353329,0.4119621900996562,0.3292194730531429,3.547642902455115,-6.712319293998577,4.101803245670976,-0.1764439564917205,-8.070944594286892,-0.3807758246968579,1.1275535104227263,0.8091360492959826,1.242436954778345,-6.637276632479156,,0.3233508023649946,0.1758321972898325,,18.170453665475204,-0.9908613912370424,-2.6003267531987224,-86.98829097441534,-0.7115619940248642,1.4592630848328023,-0.148451317438512,-0.7658208416569449,,0.93839094240495,-15.036260592799406,,-11.616887177169216,-7.8558571032177635,,,11.35384641028694,0.0529239727798526,0.7543077240610417,,0.6024680054047341,-0.2112316117255449,-0.7745643427802924,-0.6236138318272852,-0.4488493374883636,4.189103155837405,-0.6643488438556354,0.7908641647264324,0.3780948760993739,1.650536940140965,0.5748429686387719,-0.1661670136799315,,-0.7744672771619273,,4.189466969658244,0.5319927063475106,0.7981143656623971,0.3393685104408023,45.5979218424284,,0.981968425447074,1.2343281474091243,,25.37,-0.1336223886480095
2021-12-31,0.6939930348964231,0.2714555278972514,,10.402475144923931,1.1676318438127942,0.4052537869927091,1.2224214873476744,1.034972179913201,0.4630350194552529,0.0,0.511597522054621,0.2843262204507335,0.3892764806542927,-0.8062303561090622,0.8240791616338994,1.0778350815254385,1.3165693364681998,0.0967174628177849,0.3084270037739115,0.5163037673201961,0.3315987062861225,0.2490871941790698,0.3489243382535002,-1.7415795913792034,1.7040038279005796,-0.7824803789863324,0.0,0.9201584456158703,0.0003381014871233,0.3191362817170561,,3.062110170309213,,,,,,0.0,,-1.1474499058703906,,,-0.4285548216870065,,0.4159502003936352,-0.1246191946967152,0.3191354989231874,44.17299490563409,1.1370080341477848,,354.921470201892,,-0.0130983076018583,0.6939930348964231,0.8592267611520055,-0.9569636356198225,0.9254149408070708,,0.7849917025875417,-0.1846789156731422,0.3729410884286515,-0.1883103655556018,6.6853565738005365,-0.3935685261767676,92.75460379622189,0.5615516880191753,0.3033959042708713,-2.331569055110614,1.6704876423647588,0.813903437867533,0.4273889444754917,0.5891399316230673,0.1878648988652263,-0.8936311486693402,,-1.989462584839933,0.0770165069069299,-0.315599508447652,6.161958472811902,0.4668757055454211,2.4361710309226323,0.6163440349242099,-1.7835537810104831,,-1.2861744734830949,13.707821914775533,,-3.613238988414747,-2.886920718113734,,,-4.586548874866056,0.2162988651725481,3.163871979903658,,0.6186874782649786,-0.4599738336571633,-8.043042178526257,-4.72856315665264,0.4865000032590796,-0.488706961556513,-8.416615099085222,1.891842138921348,0.2086531591932117,0.8938087526358933,-0.4591091059287031,-0.0204039188288705,,0.0,,2.186374064676426,0.4359166109632335,2.624798453805875,0.0,14.57093827636426,,-0.7972902927917722,-1.30386319870267,,28.73,-0.0713539853811347
2021-09-30,0.6522511827074925,0.1983246701111867,,10.343838910281512,0.8951427020700576,0.4217098790563759,-0.0841817538008683,0.8938475018591896,0.4539060161628255,-0.1446354475400118,0.8045996291050085,-0.2843262204507335,0.1994152362507742,4.306898423681043,1.6818554371909409,2.483097885436476,0.7234371965431838,0.0468491492717757,-0.6704336717851012,0.3617660672255794,-0.5309473838655763,0.0967283512933365,0.3381525743097212,0.0973774232901025,1.8403625522024083,-0.5376518011143259,-0.5449789350830015,0.5445686856140658,1.2650488950119676,-1.036578055786771,,0.5908521918164626,,,,,,,,,,,1.204214553024182,,0.2891031201401652,-0.8641947128623058,-1.0365793251974156,0.0986592346951654,0.9703974485130692,,,,-0.9492712174145158,0.6522511827074925,0.9718366688733024,,0.6809845442612524,,0.9431878796208216,-0.206723110767055,0.3208641007878082,1.4003498556215517,-0.4319014476995459,1.992498059689259,-15.591130830437686,-0.2523801558299254,0.5136969645647508,3.2053102289283992,0.4857646710521489,1.6992533257600129,0.5037404442011043,-0.0301015321606443,0.2278403306501683,0.9074231669562506,,,1.8872270571265,0.6662985056542359,0.1148196188773511,1.6758495436377203,1.1198060160339167,,,,,0.1962153025369446,,15.44136367873152,-1.0302497112513105,,,-17.013082033575426,4.0403073231885145,0.6661344060477195,,0.4899112817341793,-0.3865818610016514,-0.6883541889193596,0.5042689272647786,0.5318109876018685,,-0.7895029988719237,0.6707573496393872,0.1384656805295999,-1.7403543063998843,-0.4639658371828706,0.0052450882059298,,,,-4.786371792083938,0.3887940596337632,0.7131584061175507,0.1227321851735691,-59.986109326365685,,-1.6732092965730154,-2.326144685922411,,38.78,-0.091542031975245
2021-06-30,0.710439932561575,0.251483177699579,,10.353804473215398,0.948252501754291,0.4819971631932443,-0.088985930370198,0.8787436737394391,0.4539060161628255,-0.1446354475400118,1.4630019842706647,0.8038304630569478,0.2013070046395835,-0.4090156069398899,0.5191489429217877,0.5782790745580133,0.72268149472946,0.0012492008862265,0.3474136749642416,0.3703103563996567,-0.5708273261970681,0.0976484635641312,0.3386187707640966,0.0,2.4235820132010155,-1.2194808046694363,-0.4271229797452923,2.7361171906831694,0.2410720280421504,-0.9813192816513704,,0.6621050643742019,,,,,,,,,,,-0.1797568782591962,,0.1375216308547227,-0.8938291074769524,-0.9813208901651111,0.1005043880356727,1.0427898499310306,,,,-0.9087537300267308,0.710439932561575,1.628243014894127,,0.6626631794239545,,1.298238511654163,0.7777344673206417,0.3171786939267391,-1.523731650987434,0.4540900760435472,-0.95429480695078,0.8846079840635647,3.161176345637252,-0.3033959042708713,-1.577419887584295,1.0684312232761506,0.4815225427956237,0.4744101720264235,,0.1638814172584849,-1.1178860055604027,,,-2.3217351602554874,0.6662985056542359,38.16992901838176,-0.3211397874418886,0.9319732111216352,,,,,-1.0038613747681886,,-5.702332396747436,-0.8011704495723077,,,5.840844862483629,-2.323297349668913,0.4259885288085202,,0.4473977371830789,-0.5040057539559947,0.0893459252126537,0.9734985408077336,0.4593154273571886,,0.0223643448028398,0.5245179993981212,0.1388105821446545,0.420248835385008,-0.4684614103825299,-0.0052450882059298,,,,0.9328400666149782,0.3634011130686876,0.4866562204788059,0.1320182747608366,22.76238613324196,,0.6087829562730032,0.5933705931831985,,31.71,-0.0614947965941343
