,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,commonStock,capitalStock,retainedEarnings,otherLiab,goodWill,otherAssets,cash,cashAndEquivalents,totalCurrentLiabilities,currentDeferredRevenue,netDebt,shortTermDebt,shortLongTermDebt,shortLongTermDebtTotal,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,noncontrollingInterestInConsolidatedEntity,temporaryEquityRedeemableNoncontrollingInterests,accumulatedOtherComprehensiveIncome,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,nonCurrrentAssetsOther,deferredLongTermAssetCharges,nonCurrentAssetsTotal,capitalLeaseObligations,longTermDebtTotal,nonCurrentLiabilitiesOther,nonCurrentLiabilitiesTotal,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurpluse,liabilitiesAndStockholdersEquity,cashAndShortTermInvestments,propertyPlantAndEquipmentGross,propertyPlantAndEquipmentNet,accumulatedDepreciation,netWorkingCapital,netInvestedCapital,commonStockSharesOutstanding,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,beginPeriodCashFlow,endPeriodCashFlow,totalCashFromOperatingActivities,issuanceOfCapitalStock,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,salePurchaseOfStock,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeReceivables,cashFlowsOtherOperating,exchangeRateChanges,cashAndCashEquivalentsChanges,changeInWorkingCapital,stockBasedCompensation,otherNonCashItems,freeCashFlow,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,sellingAndMarketingExpenses,grossProfit,reconciledDepreciation,ebit,ebitda,depreciationAndAmortization,nonOperatingIncomeNetOther,operatingIncome,otherOperatingExpenses,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,adjusted_close,10%DDret
2023-09-30,0.7766993425686781,0.9710434538146508,,2.517956499747092,0.1490467197073929,2.105682284271967,,0.6058554201328432,0.7692307692307693,1.0909090909090908,1.5076338932055149,,15.920757634325474,,0.3811272778641051,,0.6422805724115768,-0.1041357766997279,-0.0558394524974358,0.0,,0.0,-0.7895739285895124,,1.497337617111146,,,,-0.0919524113321041,-0.447857115665818,2.966038773545992,0.907999395130803,,,,0.1779608650875386,,,,,,,-0.7572901600335931,,0.4727712672977359,-0.7898742646853829,,-0.3368969544515318,-0.0235842682892826,,,,,0.7666103531087357,0.3811272778641051,,0.2255187728119655,,1.115957599991139,0.7993560823274999,-1.0917440082902046,-0.0991224193446556,,,,0.6736547208713033,,0.496956281128943,-0.3991064780342517,0.3811272778641051,-0.6291834293791454,-0.3478260869565217,0.8617330016583747,,-1.236498010233087,-0.104411045943304,0.5351573859267061,-0.651640625,0.9372338369075583,,0.2262414923115704,,,,,0.6806657276299207,-0.5464256368118324,-11.244613434727505,-0.6394373327547552,,,-1.3163059573506897,,0.551610894060359,,-1.5177373136493888,0.8617330016583747,-1.2357551438572527,-1.3037727711486722,0.8617330016583747,,-1.4346728895883645,0.1259109811833491,0.4911531421598535,-1.0124566293157389,,-0.6662236987818383,,,,-0.9913218970736628,-0.4795223831890071,0.5570995596728998,0.0056392246910245,3.1636734173990573,,-0.7085901281701663,,,30.3963,-0.0909383572209442
2023-06-30,0.7489786334820381,0.9942026122436576,,3.4769853313100656,-0.1015066186964287,2.2310900772992586,1.411845565931397,0.7353453279164248,0.7692307692307693,1.0909090909090908,1.5569581256151526,,15.920757634325474,,-0.4363610679474502,,0.4946218264995558,-0.1088574431024803,-0.1540486326050847,0.0436120401337792,,-0.2248325853638946,-0.6689387359245309,,1.458753660308402,,1.5933052255014692,,0.1441401019356557,-0.7165713850653088,2.8555960401484946,0.5938000907303795,,,,0.1454994850669413,,0.8979591836734694,,1.6393561796931304,,,-0.9127513647179584,,0.4498458483347865,-0.3657754607042293,-1.088995923984349,0.6636677490149775,-0.2081060734423895,,,,-0.6902414541395411,0.7379889241585164,-0.4363610679474502,,0.2052187821707207,,1.2319262762646346,0.7293956708281804,-0.6448595589500392,0.2278552938948166,0.1419696613255961,0.153564956570643,0.3105238095238095,-0.0265671970662763,,0.3208510114984935,-0.963061283952216,-0.4363610679474502,-0.0115037512232249,-0.3844393592677345,0.806592039800995,-0.7774816788807462,-1.1324616259238205,0.0328690127077223,0.2263694934312135,-1.090703125,1.0778206697791028,0.09695007667405,-0.2644735736492731,0.4584756546781863,-1.804792984903592,,0.3848016139878951,-0.7527615093780117,0.3122432210353328,0.1622306717363751,0.0853041151370507,,,0.4685066048706215,,1.1010701545778834,,0.6514019369581777,0.806592039800995,0.581541876547426,0.8711260807952188,0.806592039800995,0.6825450072682545,0.4950117132029052,0.91082472104418,0.4173276388041488,0.4244354701097776,,-0.5590254706533776,,,,0.1416302276039914,0.7446241885292713,1.1120260765139818,0.7693320726683326,1.0441981913132086,,0.7714571402599764,0.6010074509392381,,34.5998,0.0348788143284065
2023-03-31,0.6955799483446818,1.0173921632690277,,0.0,-0.1177606672534759,2.1282852184887204,1.2628733241081005,0.5612948990778358,0.6923076923076923,0.9090909090909092,1.4427458009586378,,15.920757634325474,,-1.051560954937138,,0.7747216393504603,1.235032461456519,-0.1619634574714313,0.1659531772575251,,-0.3210345069927612,-0.4799545066818311,,1.2192964718746022,,1.4907642474391058,,0.3634910508346244,-0.8330142351384214,2.809157156606627,0.362377135944352,,,,0.166096807415036,,0.8163265306122449,,1.5200927502323978,-0.3661971830985915,,-16.04866327625624,,0.4424799435959266,-0.1751930636482756,-1.2406073788128824,0.6680955375591976,-0.3515420070649854,,,,-0.4882313494691507,0.6828551731452511,-1.051560954937138,,0.2019585322068795,,0.549538672839848,0.5270175971921873,-0.4109257856610311,-0.1057516257339478,-2.319697484556204,-0.176623133162532,0.2867142857142857,0.0,,-2.007686158765296,0.924924730486581,-1.051560954937138,-1.465412634554746,1.8993135011441649,0.7510364842454395,-0.7401732178547635,-1.1426947129050598,-0.4425708699902248,0.3786438509308742,-0.98234375,0.2050107490349299,-0.7360708808996422,0.1818754726493572,0.6557497823320608,0.288974141796622,,-2.16186953597848,-1.883275261324041,-0.0353327855382087,-0.4233206590621039,-1.3156143776668836,,,0.5001631348665222,,1.3508861332880358,,0.7449490369618049,0.7510364842454395,0.5903867497652181,0.8707564026206075,0.7510364842454395,0.1382086548138208,0.5750775603976157,0.4353110717667888,-0.0018303843807199,0.2788237301632444,,0.0496124031007751,,,,0.0268191501289382,0.4253272106385706,1.3643277863555785,0.2632369825082731,-0.2763979110941281,,0.8523952367966549,0.7178087942071572,,37.6903,-0.0496467260807157
2022-12-31,0.8321026062455975,1.0405513216980344,,0.7450682852807283,0.4497038891784954,2.0027953935952043,1.2708277966660864,1.0906687302508544,0.3076923076923077,0.0,1.3194272179500517,,15.920757634325474,,1.0079813532984885,,2.259286564963421,1.7393294657895115,-0.5223512112768101,0.2529765886287625,,-0.4269148519622903,-0.3123614849206009,,1.9047009219109243,,1.3666148099715163,,1.0025308646302904,-0.9404999428982176,2.4952220541729684,2.184969000453652,,,,0.1962512873326467,,0.4081632653061224,,1.39132033298169,-0.2816901408450704,,-1.1019922549339802,,0.4450031080646978,-0.0941202709860882,-1.3805564140392208,-0.3319044624408024,-0.4555993333948177,,,,-0.3090629646753052,0.8238138167713391,1.0079813532984885,,0.2019925640436628,,-0.176445177940476,0.3067106999495644,-0.4002377105429174,-0.3339225961234926,0.4245846076099363,-0.4024557895394614,-0.4751904761904761,-0.9120669845916552,,0.1721084670724958,0.5175952604487034,1.0079813532984885,1.4937697075133196,0.2334096109839817,0.6759950248756219,-0.4443704197201865,-1.1341671404206937,-3.3712732160312804,0.2878892644122341,-0.72125,0.2342996725498351,0.6984154029647299,0.5042013276195277,0.5381756077958609,1.960839021473768,,0.2221250840618695,0.3893913559196382,0.5127362366474938,-0.2991128010139417,1.0060389093801982,,,0.5478487112345545,,0.7878376082894514,,0.6915194602633392,0.6759950248756219,0.6218389823273286,0.8937175247992443,0.6759950248756219,0.0970591524097059,0.6083991353033222,0.4765677111211759,-0.3093349603416717,0.5921164893919573,,0.4952380952380952,,,,0.2738423590088575,0.4663290637638256,0.795676788471436,0.3475045586546904,-0.0196153356260349,,0.8040359967275702,0.6480218281036835,,36.8904,0.0118562459887116
2022-09-30,0.7152970180793613,1.063710480127041,,2.049570055639858,0.3138689250279874,1.851964032181732,0.9776853217987372,0.7857741665054492,0.3076923076923077,0.0,1.2015539853883763,0.2153863356815386,15.920757634325474,-1.6557943622421427,0.5636389320525498,,1.449517004102157,-0.0957289072509249,-0.1913717516995997,0.3493645484949833,,-0.1239721695129664,-0.2025854849829205,0.5538404447637107,1.267047114066818,,1.21831969276787,,1.4408682057501805,-0.7613570966318906,0.533514368211192,1.9526992287917733,,,,-0.0489392378990731,,0.4081632653061224,,1.2682340898883446,-0.1971830985915492,,-15.359912284794476,,0.4542613861551362,0.473166243831721,-1.1473080219953231,0.855371741725169,-0.2244666407860278,,,,-0.191722167380991,0.703212903128054,0.5636389320525498,,0.2101431889532657,,-0.1705969008561966,0.2797449201666447,-0.261073712022181,0.0842224887934844,-0.7831420829303569,0.0114041117290508,-0.2783095238095238,-0.749547507751389,-0.1847386550846188,0.24011559982783,0.0386545372138949,0.5636389320525498,1.0292704142655211,-0.8832951945080092,0.7093698175787728,0.1085942704863424,1.151506537805571,-0.0669599217986314,1.554343541393371,-0.956796875,0.7380691570062033,0.4310785483046515,-0.0174355096210402,2.178889558636394,-0.7137661302376563,,0.2965030262273033,0.92019423233746,0.1347576006573541,0.4258555133079847,0.8443263180733348,,,-0.5528347820267207,,0.8877187022252421,,-0.5383401646777177,0.7093698175787728,-0.5040553231452233,-0.4538826477172373,0.7093698175787728,0.7134071340713407,-0.5844119429444912,2.272656153497756,-0.3563148261134838,-0.4657300494852397,,0.5643410852713179,,,,-0.560242179616549,1.3370298714467197,0.896551724137931,2.1813162693320725,0.0196153356260349,,-0.0537769293700572,-0.5898835134851506,,31.3861,-0.0199387627006859
2022-06-30,0.7966658840103311,1.0868696385560477,,2.656297420333839,0.5086440431732141,1.8830856601987696,0.8255972727522658,0.7463726059199072,0.3076923076923077,0.0,1.1783082204386688,0.2193447389019344,16.693853884808657,-1.717032076898153,0.041178132504591,,1.557042666212972,-0.1506614651561172,0.0269394497744456,0.3548494983277592,,0.0432416694276276,-0.0348366641868653,0.5128911343449234,1.8295850277471968,,1.2313665366491555,,2.717938291771535,-0.6583499600287525,0.4309088409184655,2.169575079389082,,,,-0.053058702368692,,0.4081632653061224,,1.2439602678058512,-0.1126760563380281,,-15.025661363318248,,0.421443560465417,0.7606010761381694,-1.0131901965700825,0.9805433987448182,-0.0777277085125138,,,,-0.0123871763152523,0.7872256608004606,0.041178132504591,,0.1692096956702995,,0.5353831839881262,0.3932734093782601,-0.0766349521513595,0.4027400719742408,1.4174138066236244,0.3266575017184278,-1.749,-2.3677542219494154,-2.098472367829864,-0.3382524749431224,0.1687332059956618,0.041178132504591,2.6366206371642926,0.5080091533180778,0.6865671641791045,0.8734177215189873,0.9991472427515634,0.4148338220918866,-1.3312955986222672,-0.19390625,0.2518730266587782,-0.1376725166127108,-0.3931182253592135,-0.6083986337150894,-0.8293059638284092,,-0.3360457296570275,0.3746015271702869,-0.0419063270336894,0.2661596958174905,2.342409777970637,,,1.8684881999113216,,0.3831040144952155,,2.0652363161522,0.6865671641791045,1.969777170665073,2.5170976155757736,0.6865671641791045,0.0129710388012971,2.036451125643321,2.7825750401449336,-0.3056741915802318,1.4945679995449632,,0.4908084163898117,,,,0.9854019508913556,2.5604072213610563,0.3869159947389489,2.741676234213548,-0.0226722710482741,,1.950586310335424,2.302602581593032,,32.5779,0.0882684273694743
2022-03-31,0.7199577365578774,1.0316158983671575,,-0.01896813353566,0.8050283292171223,1.4993153494241993,0.7135381823846922,2.318436834977752,0.2307692307692307,-0.1818181818181818,0.9322992102041306,0.257959670505796,16.566679551604174,-1.6920833783345934,0.1830767057493996,,0.6290100001890395,-0.1030417320454316,0.6988372831819049,0.1836120401337792,,0.8066122506350211,-0.0203473539481422,0.5102696703423905,1.478345203591783,,0.8786147498478118,,2.0777206794775624,0.0,0.7041454695448921,0.0,,,,-0.0959011328527291,,0.3265306122448979,,0.9870713696326548,-0.0845070422535211,,-1.169085055755144,,0.4124789840591742,0.9018929995260532,-0.1560023558087596,1.1516357149274228,0.6409876394927109,,,,0.0030905463436171,0.7080250607959151,0.1830767057493996,,0.1665892442379846,,1.1034192483634793,0.4808931939560174,-0.0230699861764002,-6.059284045709957,-0.2292042414895748,-6.069143285633944,2.024809523809524,2.520610038245432,-1.7880035944286357,0.0439033388673676,-0.1035967496519796,0.1830767057493996,0.6042622594324236,2.320366132723112,0.5120232172470979,-131.16255829447036,0.9997157475838544,0.0,-0.7175712614784131,-0.475546875,1.0309583921552548,-0.5310955869824502,-0.1192756911183934,-0.7644163150492265,0.0277016591101589,,0.0819098856758574,-1.1635035955222774,1.0829909613804438,0.0608365019011406,0.5347870109206625,,,1.7727154844268946,,0.4666779910537342,,1.9392252167289348,0.5120232172470979,1.865004695637326,2.3564929863835204,0.5120232172470979,0.3596108688359611,1.925451568845593,1.122098241857784,-0.4313605857230018,1.406063363858711,,0.6733111849390919,,,,0.9156183428635496,1.3405729536951785,0.4713215531537714,1.0332106436145068,0.0822825117819386,,1.874811380783565,2.193252177563228,,49.6387,-0.05891572502906
2021-12-31,0.2940302888001878,,,-0.0500758725341426,0.0536759616124152,1.1383688278908346,0.2782049284738959,1.1481911394853936,0.1538461538461538,-0.3636363636363636,0.6952684265697893,0.1863953184986395,1.0,0.2395507074198077,-0.1139991524226585,,0.6775931492088697,-0.0849036233031511,0.0,0.163010033444816,,-0.008614198367519,0.0203473539481422,0.4722107793237984,0.540572318707078,,1.0711188269865248,,0.8311050974838579,-0.7613570966318906,0.2288945414546954,0.626342053530924,,,,-0.1896601441812564,,0.2448979591836734,,0.7395577652207518,-0.028169014084507,,0.4998367004152475,,0.137090267377002,1.1138308846078786,-1.1473080219953231,1.2335818884197287,-0.1353543109494405,,,,0.0465747833077176,0.2682580928643399,-0.1139991524226585,,0.1285450538979215,,-0.3404627670768583,-0.5015717947477873,0.0,0.2738809268261885,0.0634132315654651,0.1991189152033993,-0.0037857142857142,-0.0234194249020255,2.102815635764565,0.2686466211646068,-0.6125805302858622,-0.1139991524226585,-0.0844840708926824,0.6636155606407322,0.4270315091210613,0.2591605596269153,1.0,-0.29136119257087,-0.1701228456771375,0.06734375,-0.2395013853660822,-1.584937808826035,-0.2603562725821359,-0.0551871944277007,0.298689651736336,,0.3277067921990585,-0.0460375120468529,0.5234182415776499,1.6020278833967048,0.0228538366963187,,,0.093547388587252,,0.3905781099597984,,0.1654575791650041,0.4270315091210613,0.1638179800221975,0.293483395288657,0.4270315091210613,-0.1999329084199932,0.1130618041045957,1.015950920245399,-0.2092739475289811,0.1895227802741596,,0.3508305647840531,,,,-0.0435026348245319,0.6994498898614235,0.3942357179619146,0.9300837441750524,0.0389759266335498,,0.4390873556949368,0.1213663553363417,,45.7596,-0.1079380064511053
2021-09-30,0.2305265320497769,,,1.355336368234699,0.1668390062982301,0.918277330809276,0.4215687172954793,1.058102792287354,0.0769230769230769,-0.5454545454545454,0.6009090254383087,0.266390845726639,1.0,-0.084242358786046,-0.6692329425060036,,0.6079888088621713,-0.0625044985388745,0.1327094660216205,0.2009364548494983,,0.0592552433159643,-0.026096338333184,0.4658545802423322,0.2893572086544294,,0.8614133579840522,,0.6121187052629365,-0.7613570966318906,0.0,0.5283230001512172,,,,-1.5594644696189497,,0.1632653061224489,,0.6410252660824516,-0.028169014084507,,0.2200811832221341,,0.1208532367677795,1.4907580361872368,-1.1473080219953231,-0.3177997099477649,0.0098403622145533,,,,-0.0030905463436171,0.2026909294767384,-0.6692329425060036,,0.1221913099704773,,-0.6304398391723802,-0.742550383794278,-0.1569428486108172,0.6594481974872151,0.5454862290996855,0.580734862213335,-1.4316190476190476,-1.7276862300706677,-0.1465478508312116,-0.0309905921416712,-0.8060474602609343,-0.6692329425060036,1.792736761987605,-0.2334096109839817,0.4359452736318407,-0.0606262491672218,1.0,-0.0560850439882697,-0.1275242815692711,0.084453125,-0.3690521518572106,0.0,-0.7936728006049911,0.0,-0.076179562552937,,0.0,0.4570761361109052,0.3640098603122432,0.1546261089987325,1.8131554205539888,,,0.950582684279655,,0.4465205820734952,,1.1008923065762268,0.4359452736318407,1.0468709980363695,1.3573761064673142,0.4359452736318407,-0.0581460360058146,1.0706681500375366,0.964730102523984,-0.0585723001830384,0.7875547466014448,,0.1320044296788483,,,,0.4279403520574055,0.9608804093192388,0.4509635729398982,0.8733875869521173,0.2004840147751878,,1.1792018907372055,1.1894217651379997,,38.396,0.1042556516303781
2021-06-30,0.098341746888941,,,2.1130500758725344,0.1535417930728013,0.6438996687174633,0.2910713794778273,0.7253498420068356,0.0769230769230769,-0.5454545454545454,0.4391609119061527,0.2939133027693913,1.0,-0.0232206501782049,-0.8802797005226727,,-0.0921189436473279,-0.0733297824866483,0.3712161781924791,-0.3674916387959866,,0.2930735018021546,-0.067460982079216,0.3389655090236238,0.1645584788095291,,0.5999834659812564,,0.4569297317003064,-0.223928557832909,-0.0964526330262615,-0.1729925903523363,,,,-1.6253759011328528,,0.1632653061224489,,0.4721237505352983,-0.028169014084507,,0.272803620585079,,-0.0016537407331695,-0.556190582397056,-0.4475628458636313,-0.3644005801044701,0.3142224119182486,,,,-0.0473245115312365,0.0662111076599065,-0.8802797005226727,0.7927119964956786,-0.0046487489046002,,0.0054052257900158,-0.6284277216230595,-0.2459849265411138,0.8446871645937244,-0.0274111055928762,0.7640754858464038,-1.2172142857142858,-1.4523191211420117,-1.0628276171933504,-0.8218040951853901,-0.1667907669396872,-0.8802797005226727,0.7253017288246167,-0.7414187643020596,0.4989635157545605,0.2618254497001999,1.0,0.2196358748778103,-0.3932483343780493,0.060859375,-0.1171674096290265,0.5685806781393764,-1.0198722796403663,-0.3442502176679392,-1.311892780628768,,-0.8648957632817754,-0.5945955964118912,1.3870172555464255,0.0,1.0229984812323714,,,0.9592497469318096,,0.5735802049714059,,1.1184119844753164,0.4989635157545605,1.0627166396311791,1.3889219773674806,0.4989635157545605,0.1842782064184278,1.0678461274070858,0.820867130563676,0.0665039658328248,0.7955178886297708,,-0.0496124031007751,,,,0.4342190828568225,0.8581659887413899,0.5792874706925144,0.7164347943540218,0.476627181250796,,1.1860739932733388,1.199338860321125,,28.8429,0.1239126440129112
