,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,commonStock,capitalStock,retainedEarnings,otherLiab,goodWill,otherAssets,cash,cashAndEquivalents,totalCurrentLiabilities,currentDeferredRevenue,netDebt,shortTermDebt,shortLongTermDebt,shortLongTermDebtTotal,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,noncontrollingInterestInConsolidatedEntity,temporaryEquityRedeemableNoncontrollingInterests,accumulatedOtherComprehensiveIncome,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,nonCurrrentAssetsOther,deferredLongTermAssetCharges,nonCurrentAssetsTotal,capitalLeaseObligations,longTermDebtTotal,nonCurrentLiabilitiesOther,nonCurrentLiabilitiesTotal,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurpluse,liabilitiesAndStockholdersEquity,cashAndShortTermInvestments,propertyPlantAndEquipmentGross,propertyPlantAndEquipmentNet,accumulatedDepreciation,netWorkingCapital,netInvestedCapital,commonStockSharesOutstanding,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,beginPeriodCashFlow,endPeriodCashFlow,totalCashFromOperatingActivities,issuanceOfCapitalStock,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,salePurchaseOfStock,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeReceivables,cashFlowsOtherOperating,exchangeRateChanges,cashAndCashEquivalentsChanges,changeInWorkingCapital,stockBasedCompensation,otherNonCashItems,freeCashFlow,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,sellingAndMarketingExpenses,grossProfit,reconciledDepreciation,ebit,ebitda,depreciationAndAmortization,nonOperatingIncomeNetOther,operatingIncome,otherOperatingExpenses,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,adjusted_close,10%DDret
2023-07-31,3.426353352895469,,,0.300888142605302,5.227143891969955,-1.1488671589312076,-1.7636349610429685,0.970832736444103,0.0,0.0,1.179420482963624,,,-0.8638602606850561,-0.0716053646462902,-0.5916576881637678,0.9634942051122866,,6.779809659702778,1.3771990221348112,,6.241955237799192,-1.2937492388064962,13.277316825130349,0.2056735911034155,,1.8851257623981577,,,1.251530874989722,0.5419323233774223,0.1616247586055864,,,,,,-1.0,,0.5391598531281836,,,0.3024219776295483,,7.425997537015703,-0.0148778449688519,0.9417509591907918,4.032094998253709,5.755367588724141,,,,0.2547656072545559,3.426353352895469,-0.1150035804703666,,8.461438905042195,,-0.5317890285675222,-0.6234892728572037,-0.8610919051650717,1.0351769053306383,-0.1966735754320411,0.8431512567008962,,-0.0742778292757307,,-0.2050050789546587,0.0019613985861585,-0.2401473385174663,0.0251227922374244,,1.7194395796847637,3.3842052649116963,-0.8373846023545355,0.3361664190193165,-3.0077610999487847,0.0033935255645592,-0.1911272816216712,6.312837684600916,-0.5583929032813711,,-0.2140173875711065,,-0.3027218357134139,0.3681756313958764,0.0984671343206027,9.365938430983118,0.0574381976129714,,,-2.2226214492924354,,0.7322113798384726,,-0.154352239160193,1.6843817052512704,-2.2397515576233173,-1.4304285149685956,1.3832149281392518,,-1.7070457708764113,0.3165355634123687,2.240857503152585,3.1621322512219865,2.272114347357066,-3.0605037151404035,,,,4.304913819319776,0.0569565767926296,0.5014529388862871,0.2748374886978632,-3.654358455572416,,-8.083573976558519,-5.166935805612022,,10.25,-0.1073170731707316
2023-04-30,3.842395635872616,,,0.116392323700971,5.142082744512342,-0.5686737414174452,,0.984365119674482,0.0,0.0,1.3281627720180944,,,3.8030084874204304,0.0501007310193979,-0.1848545482530398,0.9485482815107584,,7.025404506784406,1.4703327430933006,,6.4852409076779605,-1.2963593425191575,1.4390304928247428,0.5169720452083245,,2.427290252945506,,,1.2878823941802948,0.9265811408597516,0.0542515280017519,,,,,,-1.0,,0.8370524477443152,,,0.3464741668473478,,7.923497664704981,0.1506250033312585,0.971049877921172,0.5037775040899983,5.660971936467341,,,,0.2132510963954362,3.842395635872616,0.0042176249358616,,8.392608933510289,,-0.0260894404418065,-0.614080481013282,-0.8641078879673231,0.8480022866009269,-0.7446578701541335,0.6587345489655727,,1.1559864609029888,,0.1605565303044294,-0.1775610553414059,-0.1128873052940751,-0.986188404740496,,1.2970227670753065,2.811062979006998,-1.636402134327094,0.1722139673105497,,-0.0247418863888774,2.409062280245819,0.7311730412625569,-0.3980277323227973,,-0.4186326070623591,,0.2770901989503234,-0.3594041437717397,0.0,17.443892750744787,-0.9272188281390972,,,-4.240925355991106,,1.138127632587404,,-0.0981221313872325,1.3152343308865049,-4.402226342199057,-3.4818070929164664,-1.6167305630757491,-0.0709342560553633,-3.300429012469428,-1.663160640431525,1.7298865069356872,-2.396753665959605,1.7257281553398058,-2.2784907845218565,,,,-2.7906452024289514,0.0390718502233466,-5.996535516597358,0.1808820818862486,-2.969482380711516,,-6.667572617632071,-4.335505442939377,,8.8,-0.048235294117647
2023-01-31,4.048059733094699,,,0.1791694756985591,4.8904741295685525,-0.0660081460735606,,0.8875315989541054,0.0,0.0,1.456338171626222,,,1.2653834495301606,-0.1016289644851205,-0.6920116977066338,1.2126205923662996,,6.382019976308421,1.456542835063822,,5.870466272925086,-1.2979302823334553,1.0022114965536166,0.6981680441422987,,2.9071013774963546,,,0.4215045201383088,1.1486572595645623,0.5757630054351072,,,,,,-1.0,,1.0937548462212,,,0.3120894818064713,,8.13011594186449,0.1563743114658663,0.2727589815137775,2.6493262991489126,5.087561976017609,,,,0.3310677406391417,4.048059733094699,-0.144414184301188,,8.962391218454618,,-0.1651110498033404,-0.8383233532934131,-0.8652797029414463,2.007308956534166,-0.9241081854273704,1.8009594979230994,0.004718920535247,-0.9943325412377828,,-0.578138947886847,0.296661536156476,-0.271541035703108,0.6538730521330341,,1.8585814360770576,31.86071309563479,-1.5641568561023125,0.6812667161961367,,0.0021389494467524,-1.9606811997431743,0.1126482477087474,0.2563947980363448,,-0.1772673607384351,,-0.8945441230318565,0.2602796121725395,-0.1782281111977137,12.03409467063886,0.5601319825741757,,,-0.4873433565506781,,0.9040630909480716,,0.472933009548269,1.8442010163749287,-0.4668244695529825,-0.113351321996116,1.5117829823573232,-0.0726643598615917,-0.4006942097636135,0.8009641084463157,1.2812105926860025,-0.5125272833471671,1.2459546925566345,-1.5918170413972788,,,,-0.3855518604628349,0.5144448004242297,0.901984460607018,0.9097454533844004,-2.3712696004046534,,-0.4032452457796436,-0.6572942986872352,,15.9887,0.0006129328838492
2022-10-31,4.736158856793581,,,0.6807502104156808,5.639323560913843,-0.0226751497457382,,0.8618270164365206,0.0,0.0,1.4691950834597334,0.6901835775911038,,1.2230600181873297,0.2991768836700627,0.6476835462521163,1.529389346995602,-0.1776466623115619,7.042318409433556,1.4140844340256908,,6.5344917625116565,-1.299870610116204,14.889998224345833,1.469885559923738,,-0.0441978811694807,,,1.1074230667699512,1.875482970345897,0.8748880129009138,,,,,,-1.0,,1.1195039378156757,-0.8795121984250049,,0.3432601680972362,,8.583196091005567,0.2869406964906597,0.8256016742239275,0.5409827025238506,5.741864479108162,,,,0.2817954676497824,4.736158856793581,0.2482083551826603,,9.47356570455996,,0.5263934021987788,-0.66078841195275,-0.8655486440830483,-0.193136114003389,0.5198724311069594,-0.3670632725517214,-0.026154967481498,1.195806624012271,-0.3547242098146374,0.3576815341521224,-0.0573164253510767,0.147555191756747,-0.8495143664892626,,1.3381786339754815,-25.418860379873376,-1.5669518082493437,-0.7437072808320951,,0.0004936037184813,2.472571620753967,-4.462919729452101,0.5115407802945483,,1.4103681442524418,,0.5897473452947638,-1.1567021222967182,-0.0405300077942322,14.824892419728569,-0.90563761503364,,,-2.277739327629622,,0.8452934055169917,,-0.0405155132883255,1.3205646527385655,-2.375384304442968,-1.574743462523777,1.0950451514435744,0.0276816608996539,-1.8069844833807789,0.4396725776691683,1.0002522068095838,-1.4665682929078667,0.9455231930960086,-1.161825726141079,,,,-1.6033236214524658,0.13051691947369,0.7401298899151935,0.3658176941754266,-1.9747091552857865,,-3.3330259571129286,-2.3775671105876093,,18.1129,-0.1187109739467451
2022-07-31,4.328565978263258,,,0.4855347070720606,4.92172000399499,0.2339149338966646,,1.098041769223089,0.0,0.0,1.5360313688396945,0.7031750168741688,,-0.1276144286147317,0.0,-0.3523164537478836,1.2124669225780873,,6.3379852735300455,1.3370670200546606,,5.843512589368977,-1.3020786103398592,15.233151463300455,0.8046570818963275,,0.1698892438470448,,,0.2103195038883142,1.189390674666755,0.4862579386410241,,,,,,-1.0,,1.2533598478793533,-0.8799695662638588,,0.275000956547247,,8.61438178526636,0.251435698418348,0.1025462155563306,0.6005404312420728,5.127622569902202,,,,0.229919801513113,4.328565978263258,-0.0448601924996194,,9.688930369679962,,0.0,-0.8929839535295291,-0.8660096860400803,-0.5055837977991466,-0.6688536314806165,-0.6749072183612097,0.004401211033864,-0.1469855580952266,-0.9838676357353466,-0.4290023701788407,0.2849203862865548,-0.165274333726557,0.2546247917459854,,1.3254816112084062,-30.5184938353882,-0.079867874989413,0.6158803863298663,,-0.0005553041832915,-0.245256367138533,5.443775930842194,0.8408836448195677,,-0.2159922721906193,,-0.6580007323324789,0.3799381626926114,-0.0519615484541439,15.41459781529295,0.1090093573582862,,,-1.9204229189061832,,0.8643655023050586,,0.0581050097686462,1.3153246753246752,-2.037732768974242,-1.3261814656116098,1.105002089503425,0.3650519031141868,-1.5581916179326067,0.6406906935778773,0.407061790668348,-1.3005010913338866,0.3112189859762675,-0.2539805075750265,,,,-1.3913495590413687,0.2913480199072961,0.7817149757091189,0.6933859097367455,-1.1158320687910976,,-2.7227062049552284,-2.0192070216767672,,18.6319,0.2321932003268345
2022-04-30,4.768807914874747,,,0.7273305892057803,5.222023875806316,0.4458169043146756,-1.073393504589987,1.086292095160784,0.0,0.0,1.5915558352421146,1.0325320609207616,,-0.5256138223704153,0.2892534392448052,0.6145143912575035,1.466320192517511,,6.374310117381004,1.3357709760669276,,5.916117500777122,-1.3042301019371008,15.42825550049234,1.4566611630719837,,0.3466906345638915,,,0.2890811288012221,1.8513832565369048,0.9084592566047502,,,,,,-1.0,,1.364561090420646,-0.8808596791776981,,0.282347239404645,,8.676439909425739,0.2636520898687691,0.166027206138821,2.8581827539934928,5.268985814989215,,,,0.1919871402861985,4.768807914874747,0.2384875191005407,,9.811378625629388,,0.6061217165416233,0.2254615348427723,-0.871734290339895,-0.3263306179947327,-1.1587605091078934,-0.4982952316775121,2.4980189878149064,1.502918273251829,-1.2673953462166885,0.2034967833287161,0.0673958347521691,0.1371789007391,-1.1335930939323489,,1.3351138353765324,-27.592802399200263,0.0822393495384094,-0.4267236255572065,,-0.2144091152153346,3.2470113431375545,-12.181005616403636,0.7594953061751787,,0.5157454116131802,,0.3451971194922494,-2.4649476567357294,-0.1015848272278514,10.895895398874544,-1.2065217951692315,,,-0.484840006479259,,0.7881977921249289,,0.28202865752101,1.3545341614906832,-0.5360089862136247,-0.228732765998584,1.0978796082635318,1.7197231833910034,-0.4516716594019028,0.5285641790071489,0.116015132408575,-0.5497556026929816,0.0,0.1914503522146096,,,,-0.4330714068493285,0.3236332146702574,0.615227928024511,0.5843832407634512,-0.8133535660091047,,-0.3585624499502536,-0.6310580010258944,,30.4336,-0.1296504747885819
2022-01-31,4.520111779828095,,,0.6282907546909088,4.874094669787657,0.5097533533526432,-1.1178585204042275,1.1658946899287062,0.0,0.0,1.6035061814137956,1.056510087745678,,-0.4884055774477114,0.1054049386979796,0.0,1.8418461273676672,-0.6194789685891541,5.502897506999784,1.391449025779935,,5.086378613615169,-1.3000829635859898,15.342313838802886,1.0944710162411238,,0.4000363070232384,,,-0.8676761425845064,1.4795927763474366,1.4010631308606585,,,,,,-1.0,,1.388494563881844,-0.8893520704358783,,0.2876528881349879,,8.632555658337543,0.2645356876990982,-0.7663062434600628,0.6760169849818937,4.4661755022972,,,,0.5548547166844303,4.520111779828095,0.0583926789248439,,9.75744121490877,,-0.5512474639335337,-1.1719994354724894,-0.8324304635029125,-0.1589187644188563,-0.7664204810836058,-0.3333500960503686,0.004718920535247,-0.5699041936779301,-1.2598831859071873,-0.5617016037184105,0.527071386736042,-0.0550593446806461,0.563702101576655,,1.337215411558669,-24.860379873375543,-0.0537816549504531,0.0947028231797919,-3.3260055942953946,-1.864423511990457,-0.0212553887547008,1.3383316212863032,0.5169236069244681,,3.331930879038317,,-0.8684730867813988,-0.5592159432709919,1.012730579371265,11.964250248262164,0.4428582476219936,,,0.7053262454166606,,0.9434063514601272,,0.7617323348547841,1.3314963297571991,0.7109603044118733,0.683696186839464,1.09933317586351,0.3131487889273356,0.4645363056814081,0.9905336455622336,-0.0395964691046658,0.062098435242399,-0.1663969795037756,0.429605326642864,,,,0.347920774596074,0.7284949731782924,0.9564231183736112,1.2108271204840435,0.1905243635137413,,1.6125280076358723,0.5263027908125463,,38.9052,-0.0696719204630743
2021-10-31,4.729988594302744,,,1.1225687043837649,5.01780640598973,0.6102093750203238,-1.5161922394507443,1.42597922391377,0.0,0.0,1.5794708741955497,1.076465045409892,,-0.3703773870869961,0.4939158464283658,1.298599353547791,2.0112025275606764,,5.443399337712686,1.3473705697571376,,5.083873173764377,-1.250813984457451,1.3860917851781305,1.3651154099074163,,3.599959746561192,,,-0.8828226089139118,1.6248172171331543,1.4898564574249935,,,,,,-1.0,,1.3403580179462282,-0.833631986940086,,0.2374787965360235,,8.719988195835628,0.2709174907953624,-0.7785141262643879,3.506589952390581,4.488140052235096,,,,0.42050914682089,4.729988594302744,0.4389713054902425,,9.839213530955252,,-0.4013027630001636,0.0,-0.8129898609813944,-0.4985606663808415,1.273937412424101,-0.6679875687690466,-0.0058122149958884,-0.6485662265353016,-0.6302702499671343,-6.8981438729337885,6.594494463135241,0.3511808748826348,-0.4327201147050961,,1.2263572679509631,0.0,0.0132125010586939,-1.290427191679049,-2.0052397273765905,-2.047262556044589,-0.0360534442168343,0.670499873264051,0.8404530186891741,,1.284404851347,,-10.91861345050653,-1.5291038631513505,1.2062873473629514,10.993214167494209,-0.5471193256515351,,,-0.3504690099986747,,0.8051413525320982,,0.3314847070889434,1.20085827216262,-0.401386799749692,-0.1464701751193478,0.9942402383850864,0.4134948096885813,-0.3557424092286367,0.4474994795720535,-0.0015132408575031,-0.4768053121829751,-0.1256742179072276,0.3713210460291421,,,,-0.3399550702885115,0.2793655703716797,0.6444164828158238,0.4286423358087976,0.2100826167593997,,-0.1400988457214039,-0.5027832133290271,,40.4284,0.0277056814653833
2021-07-31,4.31131760771992,,,1.0071143530712314,4.2988757776168045,0.8550503823238835,-1.7388876031782767,0.8896094969779318,0.0,0.0,1.588130899266081,0.9964313639006396,,-0.2911109427099121,5.622011166753008,18.439279667538862,1.334815734556955,0.2377054978342369,4.345207166702563,1.240168291311807,,4.761821572894001,-1.197880272199079,14.713320634715654,0.994163666497932,,0.6881364828360521,,,-0.8828226089139118,0.396630533670722,0.4210565609508451,,,,,,-1.0,,1.3577018234913787,-0.7744314757715082,,0.2331679569426199,,8.302384100698601,0.0254904945127508,-0.7785141262643879,1.002297751879561,4.215235871814312,,,,0.2950221026330963,4.31131760771992,5.462365591397849,15.059268292682926,9.36268197797522,,0.09901096459639,0.1159622393820664,-0.7546488433352968,-0.4763888038218901,-0.1246642923867351,-0.6461423959286713,-0.440242580548703,-1.2653801907672055,-1.295490825774222,-9.892603195124204,15.312012204257869,5.713291763969473,-0.4094064659327485,,1.1531523642732049,-30.041986004665112,0.039806894215296,-0.2088744427934621,-3.400701256746641,-3.178026407798938,-0.0266364998318402,-7.518403393855308,0.8100508138833864,,-0.3213480734141891,,-15.668082509459294,-1.7482902320579388,1.8131982333073529,10.900529625951672,-0.5212229010388472,,,0.4969444403540031,,0.8084278743264877,,0.5302175377925826,1.1429474872953134,0.4934877158615221,0.5008714739425026,0.9476533968057852,-0.3096885813148789,0.3084192981149799,0.5540948274060282,0.0015132408575031,0.0,-0.122437971952535,0.3666891826691112,,,,0.2686561307474224,0.4172946121751318,0.6480220282462604,0.6118334641938148,0.0691283088855167,,1.2200247518745906,0.2958375287345403,,54.5648,-0.1399530712843552
2021-04-30,4.740401536473263,,,0.5370394409014585,4.527733612217323,1.1273342804961903,-1.6611895394584586,0.1158616258828534,0.0,0.0,1.571991409664931,1.0414336026517506,,-0.2881555016671718,12.989926898060208,,1.6123618124429502,2.1784039512172795,3.2899728085289683,1.2430001474250036,-0.4620380135874284,4.7818464407833385,-1.1132785308708857,1.260867810618412,1.7815340994210975,,3.808218015781716,,,-0.7440679946511336,0.2408498068118616,0.373001652431862,,,,,,-1.0,,1.325378571888696,-0.6809111407541829,,0.2498246330047062,,8.144221918290212,-0.0352029639614083,-0.6666794558772235,3.5829856068822266,4.242723088000446,,,,0.1256093512484056,4.740401536473263,12.67984956385924,14.77540650406504,9.185820154598964,,0.8770651698889869,-1.1400061829203545,-0.729176275209276,0.0440579000020416,-0.0662146777206912,-0.1333641767326782,-0.0406294385886222,-0.6940689455265724,-0.5120851878979097,1.6129220919136886,13.847147118514783,13.417435057900184,1.02941883291345,,1.0273204903677755,-0.1146284571809396,0.2308799864487168,0.0924182763744427,-1.7573178899263286,-2.07317675126486,-0.0220258660225639,0.0397550661028028,0.2607871845663594,,1.053944402704733,,2.5806664225558404,0.0534270975113844,2.0392309690828787,10.56454816285998,0.9181244038872992,,,1.5207115404438292,,0.8309200078568412,,0.7883979843955942,1.0244155844155844,1.5785963316659088,1.279744557197408,0.8522993622472155,1.5813148788927336,1.0954423868902037,0.7204244351162206,0.0701134930643127,0.3894063758492422,-0.0490830636461704,0.2617002798417446,,,,0.7657082315547838,0.6078557845629224,0.6900472275669057,0.8789571991890036,0.4377002191873209,,3.059622897910651,1.3759902730018807,,62.8787,-0.0823903802082423
