,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,commonStock,capitalStock,retainedEarnings,otherLiab,goodWill,otherAssets,cash,cashAndEquivalents,totalCurrentLiabilities,currentDeferredRevenue,netDebt,shortTermDebt,shortLongTermDebt,shortLongTermDebtTotal,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,noncontrollingInterestInConsolidatedEntity,temporaryEquityRedeemableNoncontrollingInterests,accumulatedOtherComprehensiveIncome,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,nonCurrrentAssetsOther,deferredLongTermAssetCharges,nonCurrentAssetsTotal,capitalLeaseObligations,longTermDebtTotal,nonCurrentLiabilitiesOther,nonCurrentLiabilitiesTotal,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurpluse,liabilitiesAndStockholdersEquity,cashAndShortTermInvestments,propertyPlantAndEquipmentGross,propertyPlantAndEquipmentNet,accumulatedDepreciation,netWorkingCapital,netInvestedCapital,commonStockSharesOutstanding,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,beginPeriodCashFlow,endPeriodCashFlow,totalCashFromOperatingActivities,issuanceOfCapitalStock,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,salePurchaseOfStock,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeReceivables,cashFlowsOtherOperating,exchangeRateChanges,cashAndCashEquivalentsChanges,changeInWorkingCapital,stockBasedCompensation,otherNonCashItems,freeCashFlow,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,sellingAndMarketingExpenses,grossProfit,reconciledDepreciation,ebit,ebitda,depreciationAndAmortization,nonOperatingIncomeNetOther,operatingIncome,otherOperatingExpenses,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,adjusted_close,10%DDret
2023-10-31,1.198850023957834,-0.0629370629370629,,-0.1118012422360248,0.6457182320441989,0.9407252440725244,,0.0,-0.6666666666666666,,-0.0008590450282768,,0.9748245976062732,,-0.4518272425249169,,-0.1902985074626865,1.3142857142857145,1.0298152551673678,,,0.6934189406099518,0.1466642161367395,,-0.0192012288786482,,,,1.2269938650306749,,0.5220588235294118,0.2206896551724138,,,,-0.4932249322493225,,,,,,,0.2448979591836734,,1.244414655942806,,,,0.4925903971547125,,,,,1.198850023957834,-0.462360369111219,,0.8154269972451791,,,,-0.4478178368121442,,,,,,,1.4888507718696398,-0.699623352165725,-1.4784248997877858,1.217097862767154,,-1.181818181818182,,,,,,,,-1.7227722772277227,,,,,,,-11.252747252747254,1.459090909090909,-0.5361930294906166,,1.765625,,,,0.6276067527308838,,,0.7944827586206896,,,1.314194577352472,-0.0246636771300448,-2.8125,,,,,,,-1.8604651162790693,0.3937881308929561,-0.4715909090909091,0.1270417422867513,0.3809523809523809,,,,,103.37,0.3526168133887974
2023-07-31,1.1566842357450886,0.0,,-0.0124223602484472,0.7831491712707183,0.7405857740585774,,0.194888178913738,-0.6666666666666666,0.0,-0.0976447848808075,,0.9847296739579036,-0.4384485666104553,-0.6995728523967727,0.6620370370370371,0.1026119402985074,1.3642857142857143,1.26028900676788,-0.5922330097087378,-0.1257606490872211,0.7512038523274478,0.1457452674140782,0.6553191489361702,-0.1390168970814132,1.1263157894736842,,,1.374233128834356,1.3849573916265283,0.6225490196078431,0.4551724137931034,,,,-0.3414634146341463,,,,,,,0.3724489795918367,,1.274798927613941,,0.7946651847735482,-1.1802575107296138,0.5174866627148785,,,,-0.6605783866057838,1.1566842357450886,-0.7158814958717824,,0.6528925619834711,,1.591208791208791,0.5928297055057619,-0.4326375711574952,-4.914285714285715,,-3.443548387096774,,-1.048,,0.2950257289879931,-0.844632768361582,-0.6955906625795802,1.4870641169853769,,0.1515151515151515,-1.3012048192771084,-4.489795918367347,0.9428571428571428,0.7456647398843931,-1.172069825436409,9.686746987951809,,1.4851485148514851,,,,,0.8066298342541437,0.6885245901639344,6.153846153846154,1.3636363636363635,-0.4932975871313673,,-0.484375,,-0.2317073170731707,,-0.3932472691161867,0.1333333333333333,-0.1614906832298136,-0.2041379310344827,0.1408450704225352,,-0.4401913875598086,0.5560538116591929,0.0625,-0.3896103896103896,0.5641025641025641,1.7333333333333334,,,,-0.0930232558139534,0.3582917359955629,-0.3693181818181818,1.0018148820326678,0.2539682539682539,,0.0300751879699248,-0.4124513618677042,,121.525,-0.0638913803744086
2023-04-30,1.2127455678006709,0.6899766899766899,,-0.1366459627329192,-0.1032642599473812,0.896094839609484,,-0.0383386581469648,-0.6666666666666666,0.0,-0.0243396091345121,,0.9830788278992983,-0.5299325463743676,-0.8457522543901281,-0.0509259259259259,-0.0727611940298507,1.4142857142857144,1.3319919517102616,-0.7702265372168284,,0.6912787586944891,0.1417018930343686,0.5787234042553191,-0.2012288786482335,1.0421052631578946,-0.3730924945499844,,1.5644171779141105,1.3834753612449056,0.6985294117647058,0.6413793103448275,,,,-0.3712737127371274,,-0.6666666666666666,,-0.3958179126572909,,,0.211734693877551,,1.363270777479893,,0.7935537649347041,-1.2260371959942775,0.5103734439834025,,,,-0.6672754946727549,1.2127455678006709,-0.8654686741136474,,0.5785123966942148,,1.6483516483516485,0.8066581306017926,-0.4174573055028463,-4.228571428571429,-0.2959183673469387,-0.3306451612903225,-1.002441008950366,-1.32,,-0.490566037735849,-0.7740112994350282,-0.8408394246639943,0.749156355455568,,0.1515151515151515,-0.4337349397590361,-4.489795918367347,0.3714285714285714,0.630057803468208,0.0748129675810473,3.1234939759036147,-0.074074074074074,0.5346534653465347,1.2103004291845494,-0.3594202898550724,,-0.5338078291814946,0.0552486187845303,0.360655737704918,0.0659340659340659,0.7272727272727273,-0.4075067024128686,,1.4296875,,-0.1341463414634146,,0.663356504468719,0.1333333333333333,1.248447204968944,1.1475862068965517,0.647887323943662,0.9090909090909092,1.1547049441786283,0.0964125560538116,0.0625,1.0129870129870129,0.4615384615384615,1.4666666666666666,,,,1.162790697674419,0.4581253466444814,-0.2784090909090909,0.1996370235934664,-0.7619047619047619,,0.987468671679198,1.073929961089494,,132.7284,-0.0911206654052181
2023-01-31,1.2735984666986104,0.717948717948718,,-0.2111801242236025,0.9164364640883976,0.7761506276150628,,0.3322683706070287,-0.6666666666666666,0.0,-0.0698689956331877,,1.3186132893107718,-0.4574198988195616,-0.7745609871855719,0.2962962962962963,0.4309701492537313,1.4285714285714286,1.451252972379733,0.0,-0.0020283975659229,0.945960406634564,0.1389450468663848,0.4737588652482269,-0.1021505376344086,1.0842105263157895,-0.6060417315478044,-0.1208053691275167,1.7423312883435582,1.3834753612449056,0.7181372549019608,1.0620689655172413,,,,-0.3658536585365853,,-0.6666666666666666,,-0.425240562546262,,,0.2576530612244898,,1.3623771224307415,,0.7935537649347041,-1.1487839771101571,0.5275637225844695,,,,-0.6718417047184171,1.2735984666986104,-0.7926177756192326,,0.4765840220385675,,1.0285714285714285,0.8911651728553137,-0.4250474383301708,-5.771428571428571,-2.2448979591836733,-0.7661290322580645,0.4328722538649308,0.172,,0.4425385934819897,-0.9595103578154426,-0.7701013911813251,0.2902137232845894,,0.0303030303030303,-0.6265060240963856,-4.530612244897959,-1.542857142857143,-0.0520231213872832,0.1246882793017456,1.180722891566265,0.6419753086419753,1.2871287128712872,0.1974248927038626,1.263768115942029,,0.3345195729537366,-0.9558011049723756,1.6721311475409837,0.1978021978021978,0.1772727272727272,-0.4396782841823056,,1.6875,,-0.0853658536585365,,0.8381330685203575,0.0148148148148148,1.515527950310559,1.313103448275862,0.2816901408450704,0.0909090909090909,1.4290271132376395,0.0874439461883408,0.125,0.5714285714285714,0.1538461538461538,0.4,,,,0.7674418604651163,0.5446478092068774,-0.2727272727272727,0.1814882032667876,-1.3968253968253967,,1.238095238095238,1.4630350194552528,,151.2383,-0.0958044357811481
2022-10-31,1.0804983229516052,0.7435897435897436,,-0.062111801242236,0.8591160220994475,0.5529986052998606,,0.3322683706070287,-0.6666666666666666,0.0,-0.1320065860118834,-0.2955613577023498,1.3103590590177463,-0.475548060708263,-0.9615567157095396,-0.6157407407407407,0.291044776119403,1.0,1.4475946588622646,-0.6537216828478964,-0.1386071670047329,0.7298020331728197,0.1352692519757397,0.3404255319148936,-0.3325652841781874,1.231578947368421,-0.979757085020243,-0.1677852348993288,1.5766871165644172,1.3834753612449056,0.5392156862745098,1.3379310344827586,,,,-0.5907859078590786,,-0.6666666666666666,,-0.4653960029607698,,,0.1479591836734693,,1.3163538873994638,,0.7935537649347041,-1.1659513590844064,0.5228215767634855,,,,-0.6779299847792999,1.0804983229516052,-0.9839728023312287,,0.3471074380165289,,0.0395604395604395,0.2227912932138284,-0.4098671726755218,0.0,-0.0816326530612244,-0.8629032258064516,-0.6997558991049634,-1.124,0.9523809523809524,-0.2915951972555746,-0.943502824858757,-0.9559066257958028,0.9741282339707537,,0.2121212121212121,-0.0240963855421686,0.7346938775510204,-0.7714285714285715,-1.0115606936416186,-0.1745635910224439,0.8313253012048193,-0.1481481481481481,1.0495049504950495,,,,,-0.143646408839779,0.4918032786885246,0.6813186813186813,0.8954545454545455,-0.4825737265415549,,2.0390625,,-0.048780487804878,,1.012909632571996,0.1925925925925926,1.795031055900621,1.583448275862069,0.3943661971830985,,1.716108452950558,0.195067264573991,0.0,1.324675324675325,-0.2564102564102564,-0.1333333333333333,,,,1.441860465116279,0.7509706045479756,-0.2784090909090909,0.3593466424682395,-1.3968253968253967,,1.318295739348371,1.5875486381322956,,137.3794,0.0284926269877434
2022-07-31,1.065165309056061,0.8088578088578089,,-0.2111801242236025,-0.1134772127637146,0.4149232914923291,,-0.0447284345047923,-0.6666666666666666,0.0,-0.1849810294222922,-0.0323759791122715,1.3202641353693767,-0.4422428330522766,-0.944470811580446,-0.5324074074074074,0.3675373134328358,1.2642857142857142,1.5390524967989756,-0.1877022653721682,-0.0412440838404327,0.8828250401284109,0.1326961955522881,0.2099290780141844,-0.4001536098310292,1.2105263157894737,-1.2563064465898477,-0.1275167785234899,1.392638036809816,1.3819933308632828,0.4705882352941176,1.186206896551724,,,,-0.5880758807588076,,-0.6666666666666666,,-0.4996299037749815,,,0.3494897959183674,,1.3413762287756923,,0.79244234509586,-1.0314735336194565,0.5969176052163604,,,,-0.6821917808219178,1.065165309056061,-0.960660514813016,,0.2203856749311294,,-0.5274725274725275,0.1523687580025608,-0.4022770398481973,0.6857142857142857,0.3775510204081632,-0.2661290322580645,-0.2408462164361269,-1.208,0.419047619047619,-0.62778730703259,-0.835216572504708,-0.9398726715397312,0.4251968503937008,,0.4242424242424242,-0.1204819277108433,0.7346938775510204,-1.9142857142857144,-1.439306358381503,-1.112219451371571,2.921686746987952,-0.1975308641975308,1.5247524752475248,,,,,-0.5966850828729282,0.6229508196721312,-0.0439560439560439,0.2863636363636364,-0.514745308310992,,1.5859375,,-0.1707317073170731,,0.7229394240317776,0.4,1.4223602484472049,1.28,0.5352112676056338,-0.2727272727272727,1.3333333333333333,0.0358744394618834,-0.25,0.8311688311688312,-0.5641025641025641,0.1333333333333333,,,,1.0,0.4603438713255685,-0.3522727272727273,0.1488203266787658,-1.2698412698412698,,1.1228070175438596,1.284046692607004,,129.9653,0.0023492239029977
2022-04-30,1.0512697652132248,0.9230769230769232,,-0.186335403726708,-0.1120370505546332,0.4365411436541143,,-0.1789137380191693,-0.6666666666666666,0.0,-0.1789677142243539,0.0323759791122715,1.3437886917044986,-0.4384485666104553,-0.8353108685334599,0.0,0.2014925373134328,1.3571428571428572,1.4497896469727456,-0.203883495145631,-0.0446247464503042,0.875334403424291,0.1292041904061753,0.0851063829787234,-0.4362519201228879,1.1263157894736842,-1.288695110557459,-0.0268456375838926,1.0613496932515338,1.379029270100037,0.2916666666666667,0.8068965517241379,,,,-0.5094850948509485,,-0.6666666666666666,,-0.4957438934122872,,,0.3724489795918367,,1.3494191242180518,,0.7902195054181718,-0.9742489270386266,0.6141078838174274,,,,-0.6879756468797564,1.0512697652132248,-0.8343856240893638,,0.0991735537190082,,-0.3428571428571428,0.1830985915492957,-0.3870967741935484,0.5142857142857142,-0.0204081632653061,-0.314516129032258,0.3417412530512612,-0.252,0.3523809523809524,0.0137221269296741,-0.9030131826741996,-0.8314076868663051,0.2317210348706411,,0.4848484848484848,-0.3373493975903614,0.7755102040816326,-1.5714285714285714,-0.7109826589595376,-0.6683291770573566,0.9397590361445785,-0.6666666666666666,0.8118811881188119,,,,,-0.4640883977900552,0.5573770491803278,-0.0879120879120879,0.1727272727272727,-0.5254691689008043,,1.0859375,,-0.4878048780487805,,0.4131082423038729,0.4592592592592592,1.105590062111801,0.9489655172413792,0.2816901408450704,,1.0079744816586922,-0.0986547085201793,-0.125,0.5974025974025974,-0.6666666666666666,-0.6666666666666666,,,,0.7906976744186046,0.2140876317249029,-0.5056818181818182,0.029038112522686,-2.095238095238096,,0.8471177944862155,0.8560311284046692,,116.4463,-0.040953321062932
2022-01-31,0.9899377096310492,0.9953379953379954,,-0.3726708074534161,0.8218232044198895,0.4588563458856345,,-0.2044728434504792,-0.6666666666666666,0.0,-0.1792540625671129,0.1765013054830287,1.3598844407758977,-0.422849915682968,-0.9046037019458948,-0.3379629629629629,-0.2257462686567164,1.2285714285714286,1.3751600512163893,,,0.6880684858212948,0.1288366109171108,-0.0170212765957446,-0.5660522273425499,1.1473684210526316,-1.2974151354718155,0.1342281879194631,0.9631901840490796,1.379029270100037,0.1495098039215686,0.6137931034482759,,,,-0.4146341463414634,,-0.6666666666666666,,-0.4959289415247964,,,0.4668367346938775,,1.367739052725648,,0.7902195054181718,-0.8311874105865522,0.6550088915234143,,,,-0.6885844748858447,0.9899377096310492,-0.8819815444390481,,0.0,,-0.0791208791208791,0.0,-0.3719165085388994,-4.342857142857143,0.1836734693877551,-0.3629032258064516,0.3417412530512612,-1.944,-1.4,-1.516295025728988,-0.5508474576271186,-0.8993161990096675,0.1057367829021372,,0.4848484848484848,0.0240963855421686,0.7755102040816326,-1.1142857142857143,-0.5260115606936416,-1.730673316708229,0.466867469879518,1.6790123456790125,1.2475247524752475,-0.5064377682403434,1.1710144927536232,-0.1176470588235294,-1.6192170818505338,-1.0607734806629834,1.6721311475409837,0.4615384615384615,-0.0045454545454545,-0.5040214477211796,,0.9765625,,-0.1097560975609756,,0.6077457795431976,0.4592592592592592,0.9813664596273292,0.8717241379310345,0.4507042253521127,-4.0,1.1100478468899522,0.0156950672645739,-0.125,0.0,-0.6666666666666666,-0.6666666666666666,,,,0.2558139534883721,0.3627287853577371,-0.3181818181818182,0.0943738656987295,-2.7301587301587302,,0.8922305764411027,0.926070038910506,,137.6433,-0.0956072689335406
2021-10-31,1.171058936272161,1.1165501165501166,,-0.4347826086956521,-0.1033493271284174,0.6227336122733612,,0.4504792332268371,-0.6666666666666666,0.0,-0.1251342257856682,0.2182767624020887,1.385885266198927,-0.4123102866779089,-0.5524442335073564,1.3796296296296295,0.0055970149253731,0.8571428571428571,1.1029815255167368,,,0.6869983948635634,0.1343503032530784,-0.0992907801418439,-0.3164362519201228,1.0210526315789474,-1.0831516661476177,0.4429530201342282,0.8619631901840491,1.3775472397184143,0.0294117647058823,0.4137931034482758,,,,-0.3712737127371274,,-0.6666666666666666,,-0.4609548482605477,,,0.5306122448979592,,1.3914209115281502,,0.7891080855793275,-0.8140200286123033,0.6662714878482513,,,,-0.6794520547945205,1.171058936272161,-0.476930548810102,,-0.0798898071625344,,0.8043956043956044,0.2996158770806658,-0.3567362428842505,0.4571428571428571,-0.010204081632653,-0.0403225806451612,-0.6509357200976403,-1.056,0.8095238095238095,-0.0445969125214408,-0.6026365348399246,-0.5465692053760905,0.9426321709786276,,0.5454545454545454,-0.0240963855421686,0.6122448979591837,-0.1714285714285714,-0.6763005780346821,-0.1795511221945137,0.2379518072289156,-3.45679012345679,0.7326732673267327,,,,,0.0,0.2295081967213114,-1.6043956043956045,0.9,-0.514745308310992,,1.984375,,-0.4512195121951219,,0.5680238331678252,0.5185185185185185,1.7826086956521738,1.5944827586206896,0.5070422535211268,,1.2312599681020733,-0.0582959641255605,-0.125,-0.7792207792207793,1.2820512820512822,-0.6666666666666666,,,,-0.4418604651162791,0.331669439822518,-0.4829545454545454,0.0798548094373865,4.253968253968254,,1.6892230576441103,2.1634241245136185,,153.6846,-0.0638946206475172
2021-07-31,1.0685194058457117,1.2354312354312351,,-0.1739130434782608,-0.1092457862693719,0.3138075313807531,,0.1757188498402556,-0.6666666666666666,0.0,-0.1990120982174815,0.6652741514360313,1.4073462649607924,-0.4451939291736931,-0.6056003796867584,1.1203703703703705,0.0354477611940298,0.8714285714285714,1.2383391256630694,-0.3495145631067961,-0.075050709939148,0.8250401284109149,0.1319610365741591,-0.2127659574468085,-0.4447004608294931,1.4210526315789471,-1.699781999377141,1.2013422818791946,0.7085889570552147,1.376065209336791,0.0,0.2068965517241379,,,,-0.8373983739837398,,-0.6666666666666666,,-0.5086972612879349,,,0.3316326530612244,,1.370420017873101,,0.7879966657404834,-0.6165951359084406,0.7925311203319502,,,,-0.6834094368340944,1.0685194058457117,-0.6197183098591549,0.0665362035225048,-0.1900826446280991,,0.0,-0.1024327784891165,-0.349146110056926,-0.2285714285714285,-0.2448979591836734,-0.0725806451612903,-0.4719283970707892,-0.648,0.8380952380952381,-0.0686106346483705,-0.647834274952919,-0.5984437632633812,0.4611923509561305,,0.5454545454545454,-13.542168674698797,0.6122448979591837,-0.5714285714285714,-0.5953757225433526,-0.0648379052369077,-0.0692771084337349,-1.037037037037037,0.4554455445544554,,,,,-0.0939226519337016,0.2295081967213114,-0.4835164835164835,0.4454545454545454,-0.546916890080429,,1.0390625,,-0.2804878048780488,,0.3773584905660377,0.5185185185185185,1.031055900621118,0.926896551724138,0.5070422535211268,0.3636363636363636,0.8548644338118022,-0.0919282511210762,-0.125,0.7012987012987013,1.3846153846153846,-0.9333333333333332,,,,0.8837209302325582,0.1674986134220743,-0.4204545454545454,-0.014519056261343,0.3809523809523809,,0.7969924812030075,0.7782101167315175,,149.2561,0.0663553678739646
