,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,commonStock,capitalStock,retainedEarnings,otherLiab,goodWill,otherAssets,cash,cashAndEquivalents,totalCurrentLiabilities,currentDeferredRevenue,netDebt,shortTermDebt,shortLongTermDebt,shortLongTermDebtTotal,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,noncontrollingInterestInConsolidatedEntity,temporaryEquityRedeemableNoncontrollingInterests,accumulatedOtherComprehensiveIncome,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,nonCurrrentAssetsOther,deferredLongTermAssetCharges,nonCurrentAssetsTotal,capitalLeaseObligations,longTermDebtTotal,nonCurrentLiabilitiesOther,nonCurrentLiabilitiesTotal,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurpluse,liabilitiesAndStockholdersEquity,cashAndShortTermInvestments,propertyPlantAndEquipmentGross,propertyPlantAndEquipmentNet,accumulatedDepreciation,netWorkingCapital,netInvestedCapital,commonStockSharesOutstanding,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,beginPeriodCashFlow,endPeriodCashFlow,totalCashFromOperatingActivities,issuanceOfCapitalStock,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,salePurchaseOfStock,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeReceivables,cashFlowsOtherOperating,exchangeRateChanges,cashAndCashEquivalentsChanges,changeInWorkingCapital,stockBasedCompensation,otherNonCashItems,freeCashFlow,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,sellingAndMarketingExpenses,grossProfit,reconciledDepreciation,ebit,ebitda,depreciationAndAmortization,nonOperatingIncomeNetOther,operatingIncome,otherOperatingExpenses,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2023-09-30,-1.0064047241176923,,,-0.6157723155069247,0.5625442502631093,-1.8700974186170212,,3.6851487800353335,-0.8653431319992718,,-0.4472261545648037,,,,-0.31909711041353467,,3.0113039149116907,,-0.16918612492880983,,,,-491.1178982364802,,-0.3724669449598462,,,,,,,,,,,,,,,,,,,,-1.0064727471401922,,,,-0.27711909681554,,,,,-1.9573280946138125,-0.31909711041353467,,,,,,-4.203757013333333,,,,,,,-9.584382726832546,-0.2974151697198258,-13.987944087644403,-10.733640766423619,,,,,,,,,,0.0,,,,,,,0.9805309464288157,-13.292923856600826,,,0.40033389558649357,,0.8703344114145943,,,,,0.0,,,-0.8703344114145943,0.8703344114145943,,,,,,,,,,0.8703344114145943,,0.30831463043332846,,,,
2023-06-30,-0.9967632452445866,,,-0.6863579835956766,0.6442670775528608,-0.9687487283807795,,1.6427777377332984,-0.8557021465073454,-6.107887004522697,-0.48206619187982047,,,,-0.2974151697198258,,2.188661294409679,,3.693312821519972,0.13937778065205733,4.050209033455311,4.050209033455311,,,-0.3875207736846491,,0.0,,,,,1.5378132999661906,,,,,,0.0,,-1.3466529319210545,,,-942.0951523710689,,-0.996769569104949,,,,0.27045626063512407,,-6.378138535119751,,,-0.9956864495028735,-0.2974151697198258,,,,-3.0305222799995177,-1.838131852254939,-2.826822346666667,-2.074073818015578,5.028009153039921,0.9964,3.1343278903988225,0.002993264962265944,,0.08021075018201472,-0.25190324452074325,-0.2974151697198258,0.2140261557618005,,,,,,,0.0,-2.9336594412908426,0.0,0.0,3.5687219281427844,-0.81412530696448,,1.149768316740836,0.9017047667725872,,-0.009775525622180188,0.0,,,0.0,,0.9041380378958546,,,,-1.6597299371330387,-0.6201957710032163,-0.003346081535500969,-0.06836368809323017,-0.9041380378958546,0.9041380378958546,,,,,,,,,0.0,0.9041380378958546,,0.0,,-0.10993269128333344,0.0,
2023-03-31,-1.0107305668255075,,,-0.6812724210773028,0.5461109490351383,-0.9766419224009011,,1.1720136288931715,-0.86968886010765,-6.19414791090493,-0.44000344259844393,,,,-0.25190324452074325,,1.350866722235718,,1.8376566399253424,0.0,1.7071129952206698,1.7071129952206698,,,-0.3573071722260446,,-0.004575522142962506,,,,,1.67945905835775,,,,,,0.0,,-1.2097905921337495,,,-955.396969403424,,-1.0108465088851575,,,,0.5371170526618196,,-6.4682161692776,,,-1.0096386822926764,-0.25190324452074325,,,,-1.9102670207561148,-1.8674310138228574,-1.4134111466666666,-1.3333333333333333,4.740914574666258,1.536670878,2.0,-0.5358651471236024,,0.16221011005295718,-0.32153357948255984,-0.25190324452074325,0.08959423363993742,,,1.538985164,,,,-17007.515193588086,0.5616959616976519,1.1944437216762356,0.0,1.7373906187349006,-1.8601558005430023,,2.1525095196586688,0.8095503565640348,,0.7500028884874088,-0.15108827093966964,,,-1.0196400374085233,,0.8469264279139901,,,,-1.5684838150203464,0.619226720608887,0.8015629476961921,-0.8631250027555623,-0.8469264279139901,0.8469264279139901,0.09463884741486539,,,,,,,0.6247811551456072,0.0,0.8469264279139901,,-0.8175960486331539,,-0.8860494040825742,-0.6190146783598022,
2022-12-31,0.0233425537004355,,,-0.6583904204731775,-0.17305534452007937,0.03469126036458524,,0.7428363876033046,0.16055017926722048,0.15969301745309705,-0.13638203647703426,,,,-0.32153357948255984,,0.6670044243528639,,0.5215755215984036,-0.10154667871634039,0.0,0.0,0.0,,-0.3911644326402897,,0.5816735121339051,,,,,0.8349493931630623,,,,,,0.0,,-0.22187761066617623,,,24.393679992250394,,0.026038447147986494,,,,-0.27045626063512407,,0.1667588460056562,,,0.023317336917467974,-0.32153357948255984,,,,-1.0062699507509345,0.0643544214106216,-1.3333333333333333,0.0,8.703652099394963,,,-0.0009977549874219814,,0.013811780953932984,-0.18278522656857574,-0.32153357948255984,0.5779121262347386,0.0,,,,,,,,1.0434226966990094,0.0,-0.39380961847545176,-1.8513070788278227,,0.33779877964857546,1.5642286579371376,,0.6141175352643049,0.4418392094282367,,,-1.0068626233470501,,1.4504628644078235,,,,-2.5310569605974806,0.1959137455756763,0.6569421969339695,-0.7209830045553183,-1.4504628644078235,1.4504628644078235,-0.09463884741486539,,,0.0,,,,0.3736023302044649,0.0,1.4504628644078235,,-0.6713700888017847,,-0.8763236535866741,-1.7337616426747688,
2022-09-30,0.007621186738417482,,,-0.3565985527260898,-0.8002787352800764,0.05343296500025324,,0.0,0.14439178101900804,0.0600385797912338,0.1326608631767859,0.0,,10.396442517890174,-0.18278522656857574,-0.8833314818929127,0.03381887501263181,,0.47312032951977495,-0.10154667871634039,0.0,0.0,0.0,,-0.18358181617777242,,-0.4800106918267671,,,,,0.032739459934756306,,,,,,0.0,,0.653525005160602,,,9.026520616872357,,0.009775813509748469,,0.0,,-0.9561780126406046,,0.06269506608042674,,,0.007612953628432859,-0.18278522656857574,,,,-0.12668582529324998,0.10034459004956721,0.0,0.0,0.22902960151456678,1.0,,0.0004988774937109907,0.36130317316764216,-0.017549384315431214,0.0,-0.18278522656857574,0.5409527293990077,0.0,,1.0,,,,0.0,-0.1971642129202549,-0.4006521621238174,0.0,-0.1812772294909075,-1.0059707014360537,,-0.04570583107767124,-0.06079176396458935,,-0.1404845915112896,0.3969622094778957,,,0.46730262763930436,,-0.10721598286168567,,,,-0.04673333545625752,-0.4946770223506386,-0.14616956980573917,0.06836368809323017,0.10721598286168567,-0.10721598286168567,0.9919188024311909,,29.16539837398374,0.0,,,,-1.0212505439708957,0.0,-0.10721598286168567,,0.14065576726960305,,0.2457628149147569,0.28369539752482104,
2022-06-30,-0.0008449999725528646,,,-0.07666834030232528,-0.6682578646393648,0.0384096002718598,,-0.030775754315297655,0.13465686800072812,0.0,0.0865328409935859,-0.024635694298129087,,0.5657677760665373,0.0,-0.626370065911279,0.0075859612409141,,0.40928610679565547,-0.10154667871634039,0.0,0.0,0.0,,0.04243261298877625,,0.5838289572601018,,,,,0.0009181120883365544,,,,,,0.0,,0.5034352189813458,,,0.49121749927810937,,0.000743141680031636,,0.0,,-0.7310924344213388,,0.0,,,-0.0008440871255186931,0.0,,,,-0.05150218144910724,0.07149484342245122,0.0,0.0,-0.8605331372257051,1.0,-0.522387981733137,-0.0004988774937109907,-0.3381038036153487,-0.08362852349426053,0.2755725537685921,0.0,-0.08959423363993742,0.0,,1.0,,,,0.0,-0.733731904757625,-0.24605466702235992,0.0,0.44165602477230836,0.06768041205685499,,-0.8537642794880029,-0.27469533730347495,,0.0,-0.3686632728522134,,,0.2888528789652613,,-0.1530735720860099,,,,0.026404392838449805,-0.25253462786039854,0.003346081535500969,-0.07858931368448133,0.1530735720860099,-0.1530735720860099,0.600550652595419,,0.03746341463414634,0.0,,,,-0.7615702047646061,0.0,-0.1530735720860099,,-0.010519423786701398,,0.10993269128333344,0.4652234555701238,
2022-03-31,-4.171103580543813e-05,,,0.07666834030232528,-0.4495652053160984,0.027473544030725074,,0.024338863867135064,0.13465686800072812,0.0,0.0,0.14736090259786863,,0.8334779138762621,0.2755725537685921,-0.23897467229504554,0.0,,0.08307744351729382,-0.11896890129784757,-0.29288700477933016,-0.29288700477933016,0.0,,0.27480205278741743,,0.5774895505053158,,,,,-0.0009181120883365544,,,,,,0.0,,0.22187761066617623,,,0.7236519184678398,,0.0009891205048660884,,0.0,,-0.3763967370886831,,0.0,,,-4.166597569116123e-05,0.2755725537685921,,,,0.0,0.048726350764203646,0.0,0.0,-1.5085665403514743,1.0,0.0,0.0,-0.8053473636234915,-0.12949928073410844,0.6155561306500565,0.2755725537685921,-0.696325448728329,0.0,,1.0,,,,0.0,-0.46544805883893997,-0.9804950499659554,0.0,-0.9418194438360687,-0.028210419657414585,,-1.4147015644354728,-0.41759506582067324,,-0.6591593110450571,-1.105371093881068,,,1.1829148184452796,,-0.13651793344730004,,,,0.0,-1.321512471792693,-0.6981873227213266,0.6109200365278874,0.13651793344730004,-0.13651793344730004,2.4368656337298074,,1.3717723577235772,0.0,,,,-1.980000721889389,0.0,-0.13651793344730004,,0.6988006070564716,,0.7904634551318432,1.5507780505182767,
2021-12-31,4.171103580543813e-05,,,0.3090282372979641,0.13949687992680262,-0.003940585060187843,,0.1471992670622663,0.13465686800072812,0.0,-0.24856801918695065,0.6067095918705068,,0.12770634757518412,0.6155561306500565,0.23897467229504554,-0.004405255094902817,,-0.49559578220759254,0.8984533212836596,,,0.0,,0.5789021063095159,,0.5638479784643105,,,,,-0.36560309014401426,,,,,,0.0,,-0.3839974413842121,,,0.11087869502565204,,0.00034063979397235385,,0.0,,0.5708836545048728,,0.0,,0.13655501095242087,4.166597569116123e-05,0.6155561306500565,,,,0.06005167862592305,-0.015134409981295196,0.0,0.0,0.8789820433888127,0.0,0.0,-0.0010226988621075308,2.625104347581496,-0.04374543497707377,0.8351254551093744,0.6155561306500565,0.5377140706458693,0.0,,0.0,,,,-1.0,535.5522618943978,-0.8055077995971609,0.0,0.14758257716917747,0.028210419657414585,,0.0,0.6315592943036435,,0.4527670412504297,0.39302975112772975,,,-0.5326973723606957,,0.5612738887893703,,,,0.1302934254981434,0.2363143979871901,0.31131764680639434,0.43961541816239097,-0.5612738887893703,0.5612738887893703,-0.3193874964943747,,0.0,0.0,,,,0.07535217646245597,0.0,0.5612738887893703,,-0.49774114133378805,,0.5907932419175967,1.2322723650394447,
2021-09-30,0.00038393701778595266,,,0.5672079211121561,-0.0018961037849681733,0.003940585060187843,,-0.18572241186803998,0.13465686800072812,0.0,-0.18620732664545847,0.5663758118465086,,-0.12770634757518412,0.8351254551093744,0.5476468192253573,-0.2881840247926146,,-0.5722761432194938,0.8984533212836596,,,0.0,,0.8189052194334726,,0.5638479784643105,,,,,-0.36560309014401426,,,,,,0.0,,-0.3839974413842121,,,-0.11087869502565204,,0.00010596016952891372,,0.0,,0.4877063214072617,,0.0,,0.13655501095242087,0.00038352225355000165,0.8351254551093744,,,,0.4804498796764865,0.0,0.0,0.0,0.8789820433888127,0.0,0.0,-0.0010293748407283713,0.7588485080500792,-0.013811780953932984,1.0126623956022391,0.8351254551093744,0.580386992087393,0.0,,0.0,,,,-1.0,-1.0190201173983282,-0.8055077995971609,0.0,,0.028210419657414585,,0.0,0.06079176396458935,,-0.4953949847369967,0.4448442518330222,,,0.9205937779192453,,0.0,,,,-0.21773084221635078,-1.1034883056348805,-0.5238953975286527,0.43961541816239097,0.0,0.0,,,-0.07544715447154472,0.0,,,,,0.0,0.0,,0.5225741394310988,,0.5907932419175967,1.2322723650394447,
2021-06-30,0.0007058627353839468,,,0.8454732533153645,0.4789785234590672,-0.021465202616431145,,-0.2659260130801629,-0.02748742408829448,-1.0,0.8436481829877425,-1.271040055912194,,-0.3583490592477719,1.0126623956022391,0.7972209879286084,-0.3565486904714355,,-0.6342775030335951,1.4068539859902334,,,-1.3333333333333333,,1.041000535220984,,-0.4293312376496249,,,,,-0.45213118339668806,,,,,,916824848.0,,2.9669113104042237,,,-0.31113000103358984,,-0.00010596016952891372,,0.0,,1.2937978994939339,,-1.0442567668387597,,-0.13655501095242087,0.0007051001972473114,1.0126623956022391,,,,0.6110007828906658,-0.048787375570235776,0.0,0.0,0.0,0.0,0.0,-0.0010128759642563615,0.181756204956528,-0.01836912467627173,1.196598689179641,1.0126623956022391,0.5567381511237759,0.0,,0.0,,,,31554.70007257581,-1.0101474340461054,1.1340314224315724,0.0,,0.04658405635664812,,-0.0557301463504152,-0.11570362409382709,,1.1807358993476498,0.41612925306107656,,,-1.3179585427716307,,-0.16418602990037426,,,,0.04412752076690786,1.655755450860919,1.2598055955111036,-1.3136904934597675,0.16418602990037426,-0.16418602990037426,-0.43295189639598936,,-0.6688130081300813,-2870.0,,,,-0.07535217646245597,0.0,-0.16418602990037426,,-1.2809249323462022,,-1.1131197124808643,-0.8001212717370635,
