,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,commonStock,capitalStock,retainedEarnings,otherLiab,goodWill,otherAssets,cash,cashAndEquivalents,totalCurrentLiabilities,currentDeferredRevenue,netDebt,shortTermDebt,shortLongTermDebt,shortLongTermDebtTotal,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,noncontrollingInterestInConsolidatedEntity,temporaryEquityRedeemableNoncontrollingInterests,accumulatedOtherComprehensiveIncome,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,nonCurrrentAssetsOther,deferredLongTermAssetCharges,nonCurrentAssetsTotal,capitalLeaseObligations,longTermDebtTotal,nonCurrentLiabilitiesOther,nonCurrentLiabilitiesTotal,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurpluse,liabilitiesAndStockholdersEquity,cashAndShortTermInvestments,propertyPlantAndEquipmentGross,propertyPlantAndEquipmentNet,accumulatedDepreciation,netWorkingCapital,netInvestedCapital,commonStockSharesOutstanding,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,beginPeriodCashFlow,endPeriodCashFlow,totalCashFromOperatingActivities,issuanceOfCapitalStock,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,salePurchaseOfStock,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeReceivables,cashFlowsOtherOperating,exchangeRateChanges,cashAndCashEquivalentsChanges,changeInWorkingCapital,stockBasedCompensation,otherNonCashItems,freeCashFlow,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,sellingAndMarketingExpenses,grossProfit,reconciledDepreciation,ebit,ebitda,depreciationAndAmortization,nonOperatingIncomeNetOther,operatingIncome,otherOperatingExpenses,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,adjusted_close,10%DDret
2023-09-30,-0.3176852696850233,,,,-0.4154734761541119,-0.1648792152681779,,,-0.0435525192143467,-0.3323924386280044,-0.389841285940825,,,-0.0153105469259725,-0.6760572876034172,,,,0.6398295549409467,,,0.0528297298940244,1.1033696283621124,,-0.6800609190698446,0.2602552766890564,,-0.1995635487997592,1.3294181615538554,-0.1006958191581418,,,,,,-0.1606801030941508,,,,,,,-1.875288312527164,,0.1107113011316767,,,,0.4506941855109337,,,,,-0.3176852696850233,-0.6226382964921101,,,,,-0.3234703937018884,0.1626137754114152,,,,,,,-0.0633112966269362,-0.3420397669775456,-0.524885949373149,-0.414861517676199,,,,,,,,,,0.0,,,,,,,0.0488972003740168,-0.4109656264638308,,,-0.459259823332318,,-0.030747941928372,,0.1648550724637681,,,-0.2321824965758277,,,-0.2157654494382022,-0.2509908373202468,0.2245237456399248,-0.2749921160517187,0.60418648905804,0.0549450549450549,,,,-0.0535968660968661,-0.4536017812901809,-0.0104697966529508,-0.579577666361966,-0.2404201426811981,,-1.0192261475606823,,,4.21,-0.0614657210401891
2023-06-30,-0.3307906754411571,,,,-0.4155013146884295,-0.1448181979719127,,,-0.0435525192143467,-0.3323924386280044,-0.3851125679350918,,,-0.0158628291914234,-0.6264940718695522,,,,0.6018931887308812,,,0.0525055216712933,1.1558297712667245,,-0.6575322596519947,0.1246501471243171,,-0.3195123786590413,1.3663558444429904,-0.1014544635554343,,,,,,-0.5818984000954903,,,,,,,-1.7084586938829944,,0.0883193064369167,,,,0.4495755927445002,,,,,-0.3307906754411571,-0.5873728937253694,,,,,-0.2774581023163459,0.1827958803438992,0.4576029874469993,,,,0.0021897970771748,,0.0,-0.3478926783907228,-0.3224195831936911,-0.6434136455753209,0.0,,,-1.0290454884414617,,0.0885750962772785,0.0307076101468624,-0.0100703495453632,,0.0,,,,,-0.0814700591107684,,-0.6166327484736813,-0.637371461711762,,,0.0231114833993298,,0.0039636935056406,,0.0834270364817591,,,-0.2173995182543805,,,-0.2020277387640449,-0.2230056690945411,0.1926482425543332,1.2235887732576474,0.4874269403289384,-0.0549450549450549,,,,0.1579415954415954,-0.1577863497140945,0.035352366159108,-0.4410034809746729,0.3606999279622615,,0.3603701033405431,,,4.63,-0.0712742980561555
2023-03-31,-0.3332823555827086,,,,-0.415529426149554,-0.1594762029532853,,,-0.0435525192143467,-0.3323924386280044,-0.3878485015756975,,,-0.0170305258984839,-0.5462259335240351,,,,0.5409888426722417,,,0.0522785759153816,1.0801504544601743,,-0.6596872199458151,-1.090835715750334,-0.5493687117774709,-1.6363910000752502,1.2505251188426854,-0.1035028034281243,,,,,,,,-0.0324650811627029,-2.557512953367876,0.0,,,-1.694473477657637,,0.0864422003806401,,0.0,-0.7029702970297029,0.4484460333823175,,,,-0.3430849353822414,-0.3332823555827086,-0.5907461766756945,,,,,-0.311878176847728,0.1601392179595024,0.4101010501680864,-0.898352096589982,0.1287512806114357,-0.1450898233781656,-0.1613574134977201,,-0.5728578552011453,-0.1102343899570604,-0.3282742960323377,-0.5443818959693763,0.0,-0.1790400157052645,-0.3104095129508587,-1.028970917225951,,-0.0663243474540008,0.0307076101468624,-0.167137540968586,-0.1370665373351489,0.0,-0.1340184114750588,4.163906339234723,,-0.7557869474336146,-0.2469802107427396,-0.2974677586369199,0.1453715417193773,-0.5392697017688652,,,-0.2953472433749619,,-0.0148462602903581,,0.1781296851574212,,-0.1449494904240874,-0.1926510178056959,-0.1986649713922441,,-0.1823209269662921,-0.2416137992055058,0.2024148108398175,-0.3885209713024282,0.6619546010602148,0.4020319303338171,,,,-0.0696225071225071,-0.349421394298617,0.004883913702589,-0.5374920362316833,-0.0757558153045337,,-0.4911079067531843,-0.3314606741573033,-2.423076923076923,2.86,-0.1013986013986014
2022-12-31,-0.2821342111684443,,,,-0.4155575376106786,-0.1528654939057996,,,-0.045260461144321,-0.3330767256864254,-0.3859772998129448,,,-0.0397906696111778,-0.4899785219644216,,,,1.7259885160100756,,,0.737500759863022,1.078611099181045,,1.0459120506830084,0.0,,20.16690495898864,1.2262218742738018,1.5014283851542771,,,,,,,,,,,,,0.1117853243601289,,0.0677362691870151,,,,0.4473164740201347,,,,,-0.2821342111684443,0.6165728742641216,,,,,0.8856369776335936,0.1999570969584636,0.3757386097208193,,,,0.2095133974359496,,0.4322733195000723,-0.2998386346853376,-0.0905428604649572,-0.3011033551002026,0.0,0.8308084939305697,,-1.0290454884414617,,-0.4403080872913992,-0.2977303070761015,0.2249571505786248,,0.0,,,,,0.1751220765869956,0.6998023157300197,-0.8564985424344096,-0.2982757466931364,,,-0.0496497106305208,,-0.0018059431948776,,0.0396364317841079,,0.5407906119173019,0.0456713739196146,-3.621106166560712,,0.51171875,-0.1304211001600846,0.1751006171183257,-0.5827814569536424,0.760636128856871,1.0020733982998131,,,,-0.0970441595441595,-0.1870981904851507,0.0662987551247488,,-0.5107708038017336,,0.3028118240807498,,,2.83,-0.0559440559440558
2022-09-30,-0.2632286604810738,,,-0.079837209143823,-0.204441556272322,-0.1622921541876357,,,-0.0418445772843723,-0.2814130527756394,-0.3884017999426546,1.5030845029602948,,0.015535486372522,-0.6133857281824574,,7.71931522864185,,2.324883671973112,,,1.019922595286823,1.0796237734322198,,0.1979196344855809,0.0337687203122979,-0.6027322943381338,21.89118820076755,1.0838137052069678,2.162293002690817,,9.078744157691526,,,,,,-0.0309550773876934,-2.405181347150259,-0.2235355923299185,,,-1.5966508749195618,,0.0733123783541894,,0.8366224666282318,0.4797372472775086,8.930263417629899,,,,-0.3580659679804539,-0.2632286604810738,-0.5567052107490958,,,,,1.3499688869933648,0.18935185073598,0.4365358761388154,-0.5256975036710719,0.0,0.0180571038052398,0.0295850709280812,0.537189222927286,0.0136724090784796,-0.3115034324316932,-0.2802054621187768,-0.3331682053591533,0.0,-0.9150934136046854,-0.3917400275926662,-1.0278523489932887,,-0.1904150620453573,-0.8058744993324433,0.3267399723107417,-0.2973754406909287,0.0,-0.2581888246628131,-0.1764705882352941,,-0.0500503212820314,0.0491904394757131,0.0,0.1625873164292393,-0.3300394816087083,,,-0.043519646664636,,-0.0273705936158735,,0.0455084957521239,-1.4973343488194972,0.3161134810609978,0.0351863222028054,-2.04481881754609,,0.2843223314606741,-0.2443685321925211,0.074966460960558,0.8287606433301797,0.4779121924697567,0.8254198631557123,,,,0.1022079772079772,-0.1831676440764784,0.0003733878977514,,-0.2624962238282248,,0.1876952655611631,0.5124398073836276,-1.8461538461538465,2.72,0.0477941176470587
2022-06-30,-0.2604347989743732,,,-0.0810256812202669,-0.2014049726172534,-0.1638341510132906,,,-0.0375747224594363,0.2814130527756394,-0.3901936804354087,1.6166935784374612,,0.0391011867109254,-0.6406715016325233,,6.548934047195312,,2.9917100401431505,,,1.3807136633502868,1.080977773156447,,-0.0535942769227581,-0.0593381821886195,-0.7088676267508385,-0.6509142900142976,0.6837983633890076,3.006540937162907,,11.245884982727087,,,,,,-0.0271800679501698,-0.705699481865285,-0.947465195692146,,,-1.4821051413825987,,0.0579379653541948,,1.8102946176474937,0.172143491307133,4.045028842146821,,,,-0.319552497910371,-0.2604347989743732,-0.5796775919949401,,,,,1.957371685066456,0.18462769560051,-0.0686781312023029,0.4340022842225485,-0.1702938154862179,0.1944436664295277,0.1697386011204787,-0.6499531883907209,-0.5402049252843056,-0.0877252960643273,-0.291873850089257,-0.3618104030623733,0.0,-0.4100382815823054,0.0,-1.025466070096943,,-0.1382113821138211,-1.3020026702269694,0.2399668468625985,-0.1025200992370684,0.0,-0.2059516163562406,-2.495145631067961,,-0.7164976387706123,-0.0012850167052171,0.3801186105619881,-0.0409768439579781,-0.3584127054939662,,,-0.1728221139201949,,-0.0177545324483429,,-0.0464142928535732,-0.8761614623000762,-0.1453831463415865,-0.2851745147121334,-0.8181818181818182,,-0.1827598314606741,-0.2376732540055368,-0.0062248457204185,0.4856512141280353,-0.0498844637759956,-0.1573709309558366,,,,0.0537749287749287,-0.2446974211015983,0.0113360565757342,,0.0742685845746287,,-0.1876952655611631,0.0,-0.6153846153846154,3.25,-0.0584615384615384
2022-03-31,-0.3035698727284739,,,0.0259581044424149,-0.2473306393637967,-0.1505856275053683,,,-0.0290350128095644,0.8832435206569156,-0.3899336106977086,1.1947170123794146,,0.0337339575299411,-0.5239003342097913,,4.172905512573254,,2.8588311301785025,,,1.355664525541529,1.0860411444123212,,0.1314007759929135,-0.5242588604362924,-0.578171236930361,-0.6485062833922793,0.8549498796344135,2.9479261744170886,,,,,,,,-0.0196300490751226,1.1067357512953369,-0.8423955870764381,,,-0.9101316496658346,,-0.0188327393693018,,1.144352299436782,-0.5202627527224913,3.977244313820104,,,,-0.1755288368803446,-0.3035698727284739,-0.4813658552407518,,,,,1.932684038678012,0.2188858546101085,0.2746898582917662,-0.0300212106379507,0.5025026398099051,-0.4026787364788787,-0.5050740889491011,-1.4430458753770936,0.3102510897714295,-0.225460164647321,-0.0680268386602556,-0.4478721008781806,2.0,-0.4029709125413081,-0.0092423458289707,-1.022856077554064,,0.4411638853230638,-0.9030707610146862,-0.4763695633351854,-0.1069969594657613,0.0,0.3737957610789981,-0.3158195316961736,,0.3068049856777889,-0.0047802621434078,-0.1125858985220747,-0.0025301138551234,-0.443666213111463,,,-0.2308102345415778,,-0.0295517977343621,,-0.1216891554222888,-0.8597105864432597,-0.0970305115404324,-0.3260756624002267,-0.8010171646535282,,-0.3030196629213483,-0.2398442025184827,-0.0715320633217064,2.358877325764743,-0.2343346472747043,-0.2154260833506116,,,,0.3181980056980057,-0.2950836809148974,0.0077814037891403,,0.1308298282713266,,-0.5491468397019947,-0.407035848047084,0.7307692307692307,3.47,-0.0835734870317003
2021-12-31,-0.3345900533371167,,,-0.0721526083341284,-0.2811399934388395,-0.1324250008282209,,,-0.0239111870196413,0.8343169959798136,-0.3876950604304544,0.6544942657226845,,0.0,-0.5357469636992305,,-1.3426165176144698,,0.8162851978483852,-0.2940166555152434,,0.2103787157301777,1.092212128130418,,-0.6197479318079392,-1.284632332870563,-0.2734267113829157,-0.6397772593874633,0.98140255802253,0.2653121703156672,,,,,,-0.641792034517973,,-0.0151000377500943,0.9523316062176166,0.0619910690832676,,,0.11039387247006,,0.0514202839166042,,0.5749257173267107,-0.9998988548117014,6.785899151185489,,,,0.0,-0.3345900533371167,-0.5282269181492353,,,,,0.0,0.2985858868275611,0.4387529448764462,0.0,0.2854509681208125,-0.2488474487023644,-0.3063239351826582,0.1626963486944762,-0.105904872203188,-0.1862948882750321,-0.2058040996669106,-0.3566764242287773,4.832214765100671,-0.7918070870006216,-0.2643654152403582,-1.0230797912005969,-0.2056737588652482,0.339323919554985,-1.135113484646195,-0.293576747747831,-0.7760637206439217,0.0,0.2718903874973239,15.309537407195888,,-0.1939304792134396,0.1269082498072475,0.271862938906147,-0.3210494472251251,-0.3533269389484955,,,-0.0383033810539141,,-0.0227736473016394,,-0.7999750124937531,,0.0196662958585859,-0.302177301279932,-2.1424030514939605,,-0.0157127808988764,-0.1856252194892798,-0.1471424738395492,0.4932198044780826,-0.4417561506048661,-1.478540327596931,,,,0.0548433048433048,-0.2153437660070457,0.096558110358527,-0.1891360350128805,-0.2006367206562405,,0.2361211247296323,0.4674959871589085,0.6153846153846154,3.5,-0.0799999999999999
2021-09-30,-0.3144341877678142,,,-0.0689100816510134,-0.2603912787876373,-0.1307685589256619,,0.2120395327942497,-0.0162254483347566,0.7145667607561372,-0.3897073500259094,0.3645095847306753,,-0.0487437566875988,-0.5146734471765533,,-0.0687154207590864,,0.5649948822927329,-0.2957082951066901,,0.0789568600433628,1.101242560347926,0.0,0.0,0.300956406013486,-0.2285953837048727,,0.617386340818486,-0.0395585637913253,,-0.3735013208697419,,,,,,,,,,,-1.9253612994810976,,0.1174321344425454,,,,0.5223937885201676,,,,,-0.3144341877678142,-0.4735975738311088,,,,,-0.2203779705929649,0.2862130995679969,0.6629673021319277,0.1736009136890194,0.5465913945769232,-0.4757698146395021,-0.5464521295532179,0.1818370955997087,0.5603114092232463,-0.4303257391351913,-0.166626768896154,-0.2207610898446295,,-0.5236396950561136,-0.3847447412289513,-1.023676360924683,,0.6191698759092854,-1.0630173564753005,-0.4111358900364903,-0.1503105821783655,0.0,,,,,0.2789514263685428,,-0.0117705296738353,-0.218687961455243,,,-0.2079652756625038,,-0.0386284213242019,,-0.2207021489255372,-0.305255975628332,-0.2372748352596542,-0.3604590752373305,-0.6513032422123332,,-0.3349719101123595,-0.2189739075704988,-0.1427958143278776,0.0239672027751497,-0.3784151148565992,-0.1042919344806137,,,,-0.0113960113960113,-0.3218866622761627,0.0419538641913538,-0.4074310037579753,0.1925499035623823,,-0.2546262917567892,-0.0777153558052434,,3.7,-0.0297297297297298
2021-06-30,-0.2748221065147196,,,-0.1681930794291244,-0.2204312461892594,-0.1184958302839743,,0.2090232319342831,-0.0068317677198975,0.5267299632195707,-0.3890695289941998,0.0520018217198691,,-0.0346389349055067,-0.5953557359838962,,-0.0680154587357494,,0.6863680248553613,,,0.1127677250714271,1.1094773199395107,,-0.0621156944307744,0.7722139434410503,0.0,-11.19527428700429,0.5847714407546369,0.0395585637913253,,-0.3687258687258687,,,,,,0.0,0.0,-0.4933018124507486,,,-0.0341757294477655,,0.1630360637707101,,-0.1633775333717681,0.5300963126959688,0.6138880968569737,,,,0.4910949656014917,-0.2748221065147196,-0.5415254374726326,,,,,-0.1296398582085899,0.3228172675904479,0.2478470350070195,-0.183716756403981,-0.5349576558773813,0.3866270439229877,0.4570745190878126,-0.1626963486944762,-1.7493606138107416,0.3074419495118015,-0.4107327282551451,-0.278766043683855,,-0.3345221346072048,-0.4049895629475992,-1.0242729306487697,,-0.0466409927257167,-0.9012016021361816,0.5732500245874561,0.1564289578242459,0.0,-0.1143224149004495,-0.6105082809822958,,-2.171402028334753,0.0012850167052171,,0.4404598206919311,-0.2761482010216145,,,-0.4867118489186719,,-0.0317564556605764,,-0.3823713143428285,-0.3052555369383092,-0.3868431553983364,-0.7041515137203042,-0.2225051811824539,-0.6188206178874982,-0.6543627106741573,-0.2472144815036099,-0.1404346659511671,-0.6218858404288868,-0.2834035612341987,0.1673232427949409,,,,-0.1025641025641025,-0.4695748528658492,-0.0042864930661867,,0.190504961308763,,-1.072819033886085,-0.987426431246656,0.0,4.06,-0.108374384236453
2021-03-31,-0.313451045434337,,,-0.2226029497962132,-0.263413943175547,-0.0861650960585717,,0.2024772173020151,0.0,,-0.3840098722472431,-0.0520018217198691,,-0.0348171465996239,-0.068363720419544,,-0.066496392217018,,0.5079233723150185,,,0.234888857368645,1.1161342968808277,,0.4083028133628259,0.0757915523345945,0.5294436772538962,-6.7147264654977805,0.9105143344471192,0.3253209421415108,,-0.3583621215200162,,,,,,0.0060400151000377,0.0,1.5508274231678487,,,0.0614938184026742,,0.0608791386533101,,-0.1355122917498189,-0.366021959744215,-0.4980479459566161,,,,0.680447502089629,-0.313451045434337,-0.0978414232659217,,,,,0.1561033930656449,0.3265130352134346,0.7365371511304217,0.1736009136890194,0.6535954996777932,-0.5750264680674669,-0.6520837695140818,-0.9649433059398732,0.6550531615435345,0.0231381451193829,0.3272620325976184,-0.31456879081288,,-0.2114975624120668,-0.3930318539637517,-1.0242729306487697,-47.301654846335694,0.5592640136927685,-0.1089452603471295,-0.5655837818617706,0.0934171501053927,0.0,0.4919717405266538,-0.2027412906910337,,0.7216846016876984,-0.0115651503469545,-0.0706015249929398,-0.00478521533469,-0.311614730878187,,,-0.4298659762412428,,-0.0447264113328798,,-0.3530109945027486,-0.3052552505712109,-0.5230540848915871,-0.6079913096868653,-0.2225048823903369,-0.4347120514432926,-0.5650017556179775,-0.2491665108387797,-0.1112959484840354,-0.0239672027751497,-0.3902405871958679,-0.3837860252954592,,,,-0.0181623931623931,-0.4499221208224877,-0.0074826934709392,,0.1652685148606883,,-0.9503725066089882,-0.851123595505618,0.0,4.04,-0.0693069306930693
