,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,commonStock,capitalStock,retainedEarnings,otherLiab,goodWill,otherAssets,cash,cashAndEquivalents,totalCurrentLiabilities,currentDeferredRevenue,netDebt,shortTermDebt,shortLongTermDebt,shortLongTermDebtTotal,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,noncontrollingInterestInConsolidatedEntity,temporaryEquityRedeemableNoncontrollingInterests,accumulatedOtherComprehensiveIncome,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,nonCurrrentAssetsOther,deferredLongTermAssetCharges,nonCurrentAssetsTotal,capitalLeaseObligations,longTermDebtTotal,nonCurrentLiabilitiesOther,nonCurrentLiabilitiesTotal,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurpluse,liabilitiesAndStockholdersEquity,cashAndShortTermInvestments,propertyPlantAndEquipmentGross,propertyPlantAndEquipmentNet,accumulatedDepreciation,netWorkingCapital,netInvestedCapital,commonStockSharesOutstanding,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,beginPeriodCashFlow,endPeriodCashFlow,totalCashFromOperatingActivities,issuanceOfCapitalStock,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,salePurchaseOfStock,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeReceivables,cashFlowsOtherOperating,exchangeRateChanges,cashAndCashEquivalentsChanges,changeInWorkingCapital,stockBasedCompensation,otherNonCashItems,freeCashFlow,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,sellingAndMarketingExpenses,grossProfit,reconciledDepreciation,ebit,ebitda,depreciationAndAmortization,nonOperatingIncomeNetOther,operatingIncome,otherOperatingExpenses,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,adjusted_close,10%DDret
2023-09-30,-0.2499808698097124,,,,-1.2700992568513805,0.5335903818653673,,-2.498141929706738,3.0,12000.0,-0.6825699378116636,,,,-0.3526193158362429,,0.1055069568811131,,0.960060554788726,0.1795368754803068,-0.3224089554829192,0.0,0.5887061529614721,,-0.8265536742899261,,,,,,,,,,,0.0221169036334913,,,,,,,,,,0.0400616332819722,,,-2.729218956814974,,,,,-0.2499808698097124,-0.7816700576322264,,,,,-0.2723038823443251,4.900009676824308,0.6910500181664042,,,,-1.847092792533903,,-0.4061902101217385,-0.2595456167479481,-0.3526193158362429,1.559982243924093,,0.6273584905660378,,,,0.0360230547550432,-0.093304535637149,0.0452084400971457,,-0.1113155473781048,,,,,9.28873504402137,-0.4507962433646386,-0.6972468232576049,1.575445278368993,,,-2.0591007514966244,,-0.2895578997273912,,-1.1930530371713508,1.092436974789916,-2.109697355266745,-1.992701379617268,0.8733766233766234,,-3.94016875479417,,0.0804134548002803,-0.0199146514935988,0.0095400340715502,0.0,,,,-0.2382485511912427,-1.3752201169261111,,,,,-2.6889442682374263,,,3.9294,-0.1159818263517898
2023-06-30,0.0989253281939854,,,,-0.7933256326644655,0.6525247603410836,,-8.282963957913589,1.0,0.0,-0.163884556884037,,,10.396862793725589,-0.3155493671240353,,-0.1843745694999311,,1.8771390830698904,0.8259972256994959,0.3224089554829192,0.1014939372621992,0.0140950571292846,,-0.7895400544235747,-0.0593181337222928,0.8694999691548815,,3.9423379566485512,,,0.8199032480995162,,,,0.0331753554502369,,1.5,,0.0,,,0.0310199617559691,,0.1622245817361623,0.1053929121725731,,-0.0043673907651637,-2.1710704811700543,,-0.0959681226446042,,4.11551094890511,0.0989253281939854,-0.736568796874069,,,,,0.242770615375852,-0.0831768409402244,0.6502361632554197,,0.1440123262404966,-0.5454259891200366,-0.017570507820518,,0.0882138805641624,-0.2686276842127358,-0.2595456167479481,-0.8538453001886583,,0.2216981132075471,-2.8035160289555328,,,0.1772334293948126,0.0677321814254859,0.6158508054633364,-0.685194969882701,1.091996320147194,0.135432391632521,-2.023861742258093,,0.025865913482979,-3.427345925201294,-0.3495304205798285,0.3375048132460531,-0.9343564467346251,,,-0.4212626841591305,,-0.0148156927817944,-0.6874212558423085,-0.1423957388939256,0.3697478991596639,-0.3892574752340271,-0.3230974632843791,0.3149350649350649,0.0542570951585976,-0.6578027784880253,-0.8693365695792881,0.0986334968465311,-0.054054054054054,0.3332197614991482,0.4385342789598109,,0.196916608269096,,-0.2691564713457823,-0.325233030452443,-0.2079517534062988,-0.502288080191763,-0.0109312591969728,,-0.5013593112822836,-0.539192652712516,,33.053,-0.0683417541524217
2023-03-31,0.1295407508644176,,,,-0.7885961953243992,0.6860314601980827,,-8.30929035146631,1.0,0.0,-0.0170199657290282,,,10.768491536983074,-0.2973012685507175,,-0.181102768976443,,1.848434925864909,0.8306758370025955,0.3270756800015427,0.1025135967201458,0.0146590994324574,,-0.7713196843572394,-0.0640386676466505,0.889412066862145,,5.079044001930462,,,0.8212854181064271,,,,0.0315955766192733,,1.5,,0.1513492063492063,,,0.0299758165348359,,0.1106772004966976,0.1639445300462249,,-0.0042210408100701,-2.1683024215029905,,-0.0959681226446042,,4.112080291970803,0.1295407508644176,-0.714367194749253,,,,,0.2882965478518671,-0.065180971734601,0.8352105284405151,,0.2037203652885869,-0.7010770497498942,-0.5345594373058554,,0.1195035641116811,-0.2841749522456776,-0.2686276842127358,-0.3439129952280546,,0.1981132075471698,-2.701137538779731,,,0.2377521613832853,-0.4520086393088552,0.5125554243443774,-0.0737609637535665,-0.0634774609015639,0.1716627129609661,-2.4561803666988333,,0.064855911146977,-0.4384077056211904,-0.3135973866884443,-0.2624181748170966,-0.349277472835219,,,-0.2777565490595677,,-0.037335545810122,-0.6852265799634221,-0.122903445149592,0.3277310924369748,0.0220848859401981,0.0788607031597685,0.2824675324675325,0.2061769616026711,0.0581266513253217,-0.9486245954692556,0.1354239663629993,0.0,0.6235093696763203,0.693853427895981,,0.1469866853538892,,-0.2202189311010946,-0.3133056279495668,-0.2416796962251507,-0.5120941381564611,-0.5385747319739331,,-0.3142274580879021,-0.3627723195215719,,38.2647,0.1837045632136147
2022-12-31,0.2315375868199217,,,,-0.6523420596222583,0.7227413802235051,,-10.037698679203045,1.0,0.0,0.0980380831359864,,,,-0.3128205487024119,,1.55539674886348,,2.133962628196566,0.9934412442786094,0.489427554887044,0.1282622673050884,0.5969267695077131,,-0.7868153825194831,-0.0651092924774099,0.9112277490239724,,6.575319470382105,,,1.0268140981340703,,,,0.0315955766192733,,1.5,,0.2699206349206349,,,0.028188381495269,,0.0963581502210544,0.2200308166409861,,-0.0040808529583488,-2.173168494647869,,-0.0959681226446042,,4.106240875912409,0.2315375868199217,-0.7332487720164469,,,,,0.4266428693489281,-0.0616837069494718,0.2874328852286948,,,,-0.0377683812964407,,0.0157464316554071,-0.2782835032430957,-0.2841749522456776,-0.3072910886694041,,-0.1037735849056603,,,,,0.063585313174946,0.8929613867783694,,-0.0101195952161913,,,,,0.5651290541048988,-0.340819382060705,-0.4317481709664998,-0.3155595384787723,,,-0.4431707213518447,,0.0119710797676899,-0.7184722617354197,0.3915302583862194,-0.2100840336134453,-0.2178496773607198,-0.1675122385402759,-0.1331168831168831,,-0.391886133128782,-5.523135517799353,0.102312543798178,0.4466571834992888,0.8143100511073254,1.24822695035461,,,,0.1841596909207984,-0.2950858162522599,-1.797102524011615,-1.459002614948791,-0.3931048980449863,,-0.5704576347983689,,,11.7352,0.7007635148953575
2022-09-30,0.2175218306613351,,,2.973809071930157,-0.7340509266357959,0.756858217255442,,-10.008685918961271,1.0,0.0,0.2566472207782206,,,13.768801537603077,-0.3202653251142255,,-0.1899194103871056,,2.163616664440388,1.009178391389035,0.5051247191769594,0.1296752672067533,0.0196434732604945,,0.4704739881162387,,0.2052597851417175,9.068403506605756,,,,,,,,0.0394944707740916,,,,,,,,,,0.0061633281972265,,,-2.1215310006206165,,,,,0.2175218306613351,-0.7423064808587798,,,,,0.4791560993736929,-0.0653714842131683,-2.628597957288765,-0.4494620397029853,-0.6731072023032975,0.4580436055227951,2.717736086593593,-2.319742489270386,-1.183081898376255,-0.0246853112602243,-0.2782835032430957,-0.4184885140383975,,0.0047169811320754,,,,,-0.9237149028077754,1.2090416880194292,0.1319877417309521,-0.1205151793928242,,,,,0.3276394010083527,-0.3576970191915067,-0.4642857142857143,-0.4210821104514394,,,-0.4283955334776886,,-0.1454308403460945,-0.7184714488925015,-0.0485112194016319,-0.0168067226890756,-0.2852858311369626,-0.2294615042278593,0.0162337662337662,,-0.5183669990624734,-2.4384340614886733,0.0220742817098808,0.3157894736842105,0.4211243611584327,1.107565011820331,,,,0.0656793303283966,-0.4265689934493202,-0.6482850122850122,-0.917942253214208,-0.2005465629598486,,-0.5403262347077481,-0.575929090132422,,9.2706,-0.1180182512458739
2022-06-30,-0.1288858755131784,,,-17.70525716454735,-1.48982046537936,0.8143636459933267,,,1.0,0.0,0.4101349660178286,,,9.2750325500651,-0.0246853112602243,,-0.1967040914726546,,-0.0266262968075159,0.0098888829815513,,-0.0296699722392417,0.0308043103232742,,-1.1114844920757458,,0.2394336584450787,-2.067415730337079,-0.388862076924691,,,,,,,0.0552922590837282,,,,,,,,,-0.0334911008332283,-0.1152542372881356,,,-2.7319870164820377,,,,,-0.1288858755131784,-0.3771548238258604,,-0.0163632784408885,,,,0.3671659303208169,-0.910540551451294,-0.0166691923018639,-0.1624454541364883,0.4580436055227951,-0.0950230578704654,-2.385290674990246,-1.5170417026464165,0.2979170019381608,-0.0246853112602243,-0.511596937076906,,0.0,,,,,-0.5864362850971923,0.0340233060760678,0.0011624220648842,-0.1205151793928242,,,,,-1.694183159003687,-0.3576970191915067,0.1157104351174432,-0.5150666517307046,,,-0.476797010996476,,-0.1357117458812374,,-0.1707275611967361,-0.0252100840336134,-0.4161592293010997,-0.3578104138851802,0.0097402597402597,,-0.7638285178556209,-0.6840614886731392,,-0.0796586059743954,-0.4068143100511073,0.185579196217494,,,,-0.292337411461687,-0.3819586297574605,-0.026580299307572,-0.5794290695140554,-0.0147151566113096,,-0.5734028092433168,-0.6071123451516446,,6.0288,0.595292595541401
2022-03-31,-0.0721395026862346,,,-0.2169292085784779,-1.436583628923167,0.8488194481224511,,-0.6413252742332661,1.0,0.0,0.5692446908873872,-0.3071339173967459,,-0.5312790625581251,0.2979170019381608,,-0.0982401157184185,,-0.7096783768941923,-0.0023876384129454,,-0.0295428930189635,0.0304882866214966,-0.0069162436548223,0.0951120084674419,,0.2599097811759166,-0.5983454747499691,0.6227836414377741,,0.4690031551121344,-0.0331720801658604,,,,0.0758293838862559,,,,,,,-0.0064347661424408,,-0.0271564057804092,-0.0893682588597842,,-0.0038543956594143,-1.132883340564706,,,,,-0.0721395026862346,0.0098068426563604,,-0.0135470107789531,,-0.126828809333396,0.0276399697289438,0.5348834396272003,-0.7125671147713052,-0.8822548871041067,-0.1977484367267983,0.4580436055227951,-0.0936546382582755,-0.2768240343347639,-1.579756522916984,0.6334777041541013,0.2979170019381608,-0.0592609033403617,,-0.0141509433962264,,,,,0.0677321814254859,-0.0497760745081437,-0.0339215893479869,-0.1205151793928242,,,,,-0.4974038678606366,-0.3615080985436232,,-0.0584742914752996,,,-0.4034305608627351,,-0.1430603295010074,,-0.1031844968268359,-0.0504201680672268,-0.2814686903571753,-0.2264352469959946,-0.0097402597402597,,-0.5112077047643399,-1.1148867313915858,0.0,-0.0853485064011379,-0.7638841567291311,-0.433806146572104,,,,-0.2974887314874436,-0.385245709187387,-0.1235202144293053,-0.7169317934190456,-0.1475719991591339,,-0.4750792931581332,0.5795600170867151,,8.2765,-0.1649006222437021
2021-12-31,-0.0259351993721738,,,-0.1846650218257733,-1.3274522030386977,0.8359726709390393,,-0.6110588762032684,1.0,0.0,0.7116039969964766,0.0,,-0.5176390352780705,0.6334777041541013,,-0.065556550489048,,-1.4203363165471896,-0.0024843039357367,,-0.0294279165815689,0.5865019876490737,-0.0043781725888324,0.1837127497179266,,0.2522752996068191,-2.1075441412520064,-0.4031307048282518,,,0.0753282653766413,,,,0.0853080568720379,,,,,,,-0.0060454238565946,,-0.0262565911422247,-0.0659476117103235,,-0.0019641704499413,-1.0553557011593997,,,,,-0.0259351993721738,0.4180677455328639,,-0.0133863107697128,,0.0,0.0111916109030051,0.3558001977700968,-0.7125671147713052,-0.0942567055614487,-0.1977484367267983,0.4580436055227951,0.0073347291213377,0.3568084276238782,-0.375306886100811,0.7201701663179844,0.6334777041541013,-0.2582399289756963,,-0.0471698113207547,,0.3518896393159936,,,1.3601727861771058,-0.0099373899868541,-0.0356123850787276,0.8196872125114996,,,,,0.3827225524870193,-0.3702191370627467,-0.6057951482479784,-0.2020835667077405,,,-0.8449878996306203,,-0.1819367073604361,,0.7493766999093382,-0.1092436974789916,-0.365082250295374,-0.309568313306631,-0.0551948051948051,,28.484616040228417,-0.9251618122977346,15.355991590749824,5.869132290184922,-0.7638841567291311,-0.433806146572104,,,,5.093367675466839,0.3807377145406306,-0.1601518874246147,-0.5789932447156243,-1.088921589236914,,-1.538287267784323,-1.5216787697565144,,,
2021-09-30,0.0259351993721738,,,0.2123742645663313,-1.3420494001315246,0.9067994279963985,,-0.7034698903066935,1.0,0.0,1.0347137988794548,0.0,,-0.5162750325500651,0.7201701663179844,,-0.1037160765945722,,-1.6033067664039655,-0.0026003025630863,,-0.0293341200142207,-0.013675025626922,-0.0021573604060913,0.2848888997565261,,0.294365666991065,-2.1075441412520064,-0.4031307048282518,,,-0.0056668970283344,,,,0.0853080568720379,,,,,,,-0.0060064896280099,,-0.0259806479865147,-0.0468412942989214,,-0.0019641704499413,-1.0549492797003466,,,,,0.0259351993721738,0.5235423813942401,,-0.0132456982616276,,0.1963823681610763,0.1018745812639522,0.5554209872175199,1.5563360381090792,-0.8919533262615548,0.4422263709568582,,-0.0391368009086306,-0.5261412407335154,2.2465247794652985,0.2651291990568084,0.7201701663179844,-0.2160692486960381,,-0.0424528301886792,0.7249224405377456,0.3518896393159936,,,-0.2336069114470842,0.8648425837213966,0.0979604776497939,0.8196872125114996,,,,,-0.6945594100383776,-0.3914522934531101,-0.5136696187909126,-0.2167581494343004,,,-0.8772555513098119,,0.3210856939670499,,-0.0979714415231187,-0.1008403361344537,-0.6079251113332728,-0.5472185135736538,-0.0487012987012987,,-1.1262251768516152,-0.3414239482200647,-0.054134548002803,-2.335704125177809,-0.7638841567291311,-0.433806146572104,,,,-2.334835801674179,-0.385245709187387,0.313826222917132,-0.7269557637829592,-0.5621189825520286,,-0.927956502038967,-0.9413712088850918,,13.0765,0.0274385347761251
2021-06-30,0.0824324348372332,,,0.2093376352249003,-1.0918389946879017,0.8184905460515862,,-0.7335571972240877,1.0,0.0,1.2540865245769075,0.2002503128911139,,-0.5233430466860933,0.2651291990568084,,-0.127066400330624,,-0.6371610490226636,-0.0026969680858776,,-0.0292403234468725,-0.1509573217991349,0.0,0.3961114041491863,,0.2418861601100856,2.8071366835411777,-0.3459722601086933,,,-0.0754664823773324,,,,0.0853080568720379,,1.5,,1.4612698412698413,-0.2184617769395716,,-0.0062082397215848,,-0.0261186195643697,-0.0277349768875192,,-0.0007317497754683,-0.8458509311994376,,0.0,,3.316532846715329,0.0824324348372332,0.6476091564582996,-0.0115179263611646,-0.0131091032537734,,0.3995624970597921,-0.0111916109030051,0.5678511704421402,2.7002139598724315,-0.0178814971965449,0.7779589725133834,-1.0815997258591887,-1.547737318171244,-0.6517752633632462,2.558608895887303,-0.2543958465984229,0.2651291990568084,0.0416158029075574,,0.0141509433962264,2.293691830403309,0.3495904583991953,,4.6671469740634,0.058401727861771,-0.0081326173659232,-0.6137588502589031,0.8196872125114996,-1.118826827690317,-0.5388191946661988,,3.124848690777039,-0.3574384829558281,-0.7164829181979039,0.6825182903350019,0.04335162988686,,,0.5455780579968581,,0.0736043617399549,,0.0406278331822302,0.0,-0.1965827501590475,-0.1422340898976413,0.0292207792207792,3.768781302170284,-0.3533623114293019,-1.258495145631068,-0.0499299229152067,-1.0469416785206258,-0.7475298126064736,-0.4621749408983451,,,,-1.168061815840309,-0.385245709187387,0.080634353361626,-0.9934626280235346,2.017237754887534,,0.8674671499773449,0.7512815036309269,,11.3235,-0.1402569876804874
