,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,commonStock,capitalStock,retainedEarnings,otherLiab,goodWill,otherAssets,cash,cashAndEquivalents,totalCurrentLiabilities,currentDeferredRevenue,netDebt,shortTermDebt,shortLongTermDebt,shortLongTermDebtTotal,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,noncontrollingInterestInConsolidatedEntity,temporaryEquityRedeemableNoncontrollingInterests,accumulatedOtherComprehensiveIncome,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,nonCurrrentAssetsOther,deferredLongTermAssetCharges,nonCurrentAssetsTotal,capitalLeaseObligations,longTermDebtTotal,nonCurrentLiabilitiesOther,nonCurrentLiabilitiesTotal,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurpluse,liabilitiesAndStockholdersEquity,cashAndShortTermInvestments,propertyPlantAndEquipmentGross,propertyPlantAndEquipmentNet,accumulatedDepreciation,netWorkingCapital,netInvestedCapital,commonStockSharesOutstanding,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,beginPeriodCashFlow,endPeriodCashFlow,totalCashFromOperatingActivities,issuanceOfCapitalStock,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,salePurchaseOfStock,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeReceivables,cashFlowsOtherOperating,exchangeRateChanges,cashAndCashEquivalentsChanges,changeInWorkingCapital,stockBasedCompensation,otherNonCashItems,freeCashFlow,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,sellingAndMarketingExpenses,grossProfit,reconciledDepreciation,ebit,ebitda,depreciationAndAmortization,nonOperatingIncomeNetOther,operatingIncome,otherOperatingExpenses,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,adjusted_close,10%DDret
2023-09-30,0.3624557666774559,0.2986232662325541,,-1.248735310140867,0.8380710139542036,-0.0117893115940469,,0.0338881527282731,-0.365201700461816,0.7171903881700554,-0.2995837680747338,,-0.3095900014961675,-0.0336003987539628,0.2334036078491228,0.419262513312034,0.3325406478237455,0.5108798085577239,3.423911680625909,-0.3755789345954761,,1.846844795475864,5.0781733257590105,2.1562240961031858,0.0057014278681483,,,,-0.2000247722640723,0.2888297342310922,-0.3103143549821805,0.1522320336681594,,,,0.5573387877818882,,,,,,,-1.292843674174277,,0.7145920977789257,0.6412744336121349,-0.2128245752094647,,1.0846129785751262,,,,7.214972216955679,0.3624557666774559,0.2223935757631062,,0.7787738494054722,,-1.4915109073504962,0.0,-4.544620837852772,-1.1084600958533029,,-1.6441838108056144,,-0.1658116025621565,,0.0503168095415579,0.214324353317919,0.2334013813103369,0.0308891560120933,,0.0473365884522367,0.6561880206267354,-2.887563102340524,0.6782154196244442,0.2126319688831265,-0.3533317854655212,-0.0722752851889707,,0.1562402088772846,,,,,-3.08579437776374,-0.0107809623981067,0.8423452095613606,0.226501333107622,,,-0.9963471107659562,,0.1821882440849602,-0.28725285138149,-0.0396587383660806,0.0473365884522367,-4.0718506661531615,-0.9488925112666604,0.0473365884522367,,-0.9284509223663469,0.7840245710259549,-1.9930015552099527,-0.6286621532562459,0.8663562683221245,-3.1627906976744184,,,,-1.0749505043838974,0.5463928657261581,0.75389313134862,5.138159389963871,-0.4814276579666337,,-0.1302807476105748,-0.9612838065312536,,10.39,-0.0719105323208875
2023-06-30,0.3823984986282012,0.3126476086386053,,,0.8629233351699748,-0.0004274191998425,,0.831776368141445,-0.3652322843074288,0.7147258163894024,-0.2917245848513781,,-0.3095900014961675,-0.0062226024693928,0.224398294332567,0.3564297124600639,0.3750995899415671,0.6421363602672568,3.458172425898992,-0.6612994381952079,,1.862209594758092,5.105062172568327,2.221717827088912,0.0084888391070448,,,,-0.0692947786823407,0.2822151679501962,-0.2471933629064609,0.1624201941485548,,,,0.552016657386018,,,,,,,-0.955790786802854,,0.7511836295040435,0.6716168696762875,-0.1648914486406255,,1.1007918405124557,,,,7.169469278224219,0.3823984986282012,0.2137792581101428,,0.7856500984888787,,-1.6901607133860648,0.041119923443866,-4.498014339411552,-0.7440091685767868,,-0.6588732935973851,,-1.153638323062445,,-0.3139875405995421,0.2681724911611176,0.2243961536993932,0.4840758144222246,,0.0725283782265013,0.4837366124553748,-2.891846412727551,0.6783785592677958,-0.1676093863535982,0.0991409333642907,-0.0704425568909409,,-0.09466318537859,,,,,-3.115879658875553,-0.0599526689455692,0.8514070466498374,0.6440898895425113,,,-0.5574539074409641,,-0.2807620173496681,-0.2952032078763997,-0.008136139667863,0.0725283782265013,0.1294274813753926,0.082997004274212,0.0725283782265013,,-0.5194568133418148,0.3197856162002549,0.8709175738724728,-0.3527649631537954,1.022934988791171,0.4032430125880094,,,,-0.6408032431413218,0.2326696520520557,0.6050602957436475,2.858047476861104,-5.132011858396791,,0.2052307546961848,-0.5627501589795384,,13.9655,0.0169731053825472
2023-03-31,0.3870817766369094,0.3266827722965131,,,0.8802949731551364,-0.0080888366423898,,0.0339508376269586,-0.3655992904547818,0.685150955021565,-0.2942982214836825,,-0.3095900014961675,0.7061130209645723,0.2806624247569805,0.7490015974440895,0.3163359776353767,0.8066835378702046,3.5992777972817094,-0.3755789345954761,,1.9587485216351053,5.082370763113047,2.267386804039597,0.032486315369842,,,,-0.2116902566181355,0.4325138673385623,-0.1792875705656296,0.0593747100844234,,,,0.5383070259104684,,,,,,,-1.195563214992627,,0.7291253919098271,0.6324051061472288,-0.05722856933803,,1.1522349510975836,,,,7.126285239255036,0.3870817766369094,0.2676004927681708,,0.7539107992696007,,-0.7454783616303088,0.1830822543461555,-4.505436451575493,-0.7144717649510315,,0.0574120361468948,,-0.71716098479099,,0.8813162238432458,0.1170635509368416,0.2806597473957339,0.6675651719909178,,0.1399784379591819,0.2131098770329234,-2.633623986538167,0.7466336762054555,0.261273455198256,-0.0619921058741583,1.268623926502896,,-0.1425796344647519,,,,,-3.0827542640555907,-0.0575861162240336,0.8356049579882313,0.7914173261669982,,,-0.531854919895303,,-0.2324342510032658,-0.2219166368143106,0.0326875114058032,0.1399784379591819,0.2349047406997316,0.1555452889233692,0.1399784379591819,,0.2936914013883895,0.3718418812924295,1.0451010886469674,-0.6757534000359475,1.1774443869632696,0.2120759547685086,,,,-1.1490525124917508,0.2883733674520235,0.6514317009909789,3.023675734135848,-7.001220717316747,,0.4030294918830402,-0.3277971047020536,,9.4572,0.2308564946114577
2022-12-31,0.4091115624211867,0.3411020903953274,,-1.2963654759125225,0.9326571930139286,-0.0178431738715487,,0.1089916263422839,-0.3731840841667431,0.0739371534195933,-0.302898432886071,,-0.3118369533924923,0.6201299742126695,0.1227737128793154,-0.3526357827476038,0.3970648449019026,0.7375610169312057,3.8369652439941824,-0.3755789345954761,,2.031351531382118,5.08145553241179,2.3377607749360947,0.0640979025881385,,,,0.0092783389070927,0.5495973845416542,-0.0718737463881444,0.1510512865926169,,,,0.5432027977939623,,,,,,,-1.1770027004322854,,0.7320806873981583,0.6378580240738888,-0.0535701219830875,,1.1903764580639142,,,,7.08798693248939,0.4091115624211867,0.1165670484099101,,0.7722714267228364,,0.0675348884074764,0.2401078745523351,-4.557391236723083,-0.8075640758491353,,-12.760007690828688,,-1.0350323305303422,,-0.5357542196901124,0.2089377135540182,0.1227725416873354,0.3179008972911278,,0.129230717999309,-24.13694962316541,-2.6464739176992502,0.699720571072413,-0.353569749383789,-0.0424889714418388,0.3185187795909256,,0.0276971279373368,,,,,-3.130211623499684,-0.1969497764922429,0.8878584904336645,0.4786660459604723,,,-1.064342623752409,,-0.2448433343928266,-0.2794296081444931,0.0029959243262972,0.129230717999309,-3.494590138285453,-0.7523601147150865,0.129230717999309,,-3.991509251320629,0.493120032818196,0.8713063763608087,-0.6674255586843209,1.0232798758406625,-3.4597823767868574,,,,-1.1359479588950694,0.3701630196898434,0.6542372355925723,3.728775303881692,24.72045573446492,,-0.1843518241509077,-1.02551154004414,,10.9504,0.2202730482397515
2022-09-30,0.4290617821710737,0.3558785098054068,,-1.2589306560821854,0.9595533117207622,-0.0082988170815071,,0.1035032152129284,-0.3740710156895128,0.0024645717806531,-0.2936954666310921,1.958011631598919,-0.3183768797291991,0.6494477664366225,0.2187699733847196,0.3171592119275825,0.3404110265983303,0.8391270740462299,3.9725914037815335,-0.3755789345954761,,2.139075053357078,5.070451724210482,0.8208784865831377,0.1240408464564354,,-1.067744446636003,,0.0526523212737447,0.699293465624659,-0.0085550833415696,0.0190268957315993,,,,0.5427764392815859,,,,,,,-1.3070272530943203,,0.6936371155436727,0.6386223559375505,0.0535701219830875,,1.25445901873236,,,,7.038735835022679,0.4290617821710737,0.2083953095770406,,0.7534291383301462,,1.3083530656456244,0.4327838110842069,-4.545166581394239,0.2355699103979995,0.044638375101363,0.0861372812920592,-1.720057789549723,-1.129079262924623,0.755570357569561,0.5074809648048559,0.1219297865201622,0.2187678864425535,0.8092618900180916,,0.1459392183552075,-24.577052756842523,1.587272449135689,0.7429483934928197,-0.1133543248749768,-0.8528906431390759,-0.4559734019431619,0.6237353203855024,0.0996762402088772,,,,,-3.0781348704990523,0.0057849066526426,0.9951157412427116,0.7920267467941936,,,-1.3787787269537204,,0.2382410180058105,-0.2815096432739753,0.0389318085041669,0.1459392183552075,0.1445919435785723,0.1379021783662689,0.1459392183552075,,0.1899217302320436,0.4622171195373487,0.5758164852255054,-0.7375232161044875,0.7611657182272805,-2.6575634734371665,,,,-1.246252474780805,0.3789868188694623,0.6357093404151984,3.6031473600890287,-12.97529500668488,,-0.4917728196003716,-1.3906781880073318,,9.3174,-0.0709878554824131
2022-06-30,0.4590640319143613,0.2963562139686129,,-1.438607414325369,0.9945118591509592,0.0109700436512615,,0.1105796437756507,-0.3741321833807383,-0.0024645717806531,-0.2751093892944311,1.99377376462662,-0.2674769376854343,0.6813563563649826,0.1278582807864386,-0.3171592119275825,0.2917324716660313,0.7929606844484917,4.25771101860675,-0.3755789345954761,,2.2612525658976903,5.037440299606556,0.8242831537329821,0.1521263166045062,,-1.0479737355323095,,0.0958461417198707,0.8718748072333177,0.1117335162758789,-0.0821209591039816,,,,0.5489953927552133,,,,,,,-1.2790638982128113,,0.7173138273755713,0.6364627336919024,0.2193022668934406,,1.3264343763775812,,,,6.992649525281841,0.4590640319143613,0.1214308527626956,,0.7590688847033112,,2.288478008967706,0.6897301686264844,-4.550405719392314,0.2668785163575745,-1.348017144843032,-10.674908671409344,14.27006982903925,8.700069821802616,0.78412996375318,0.7844097758372823,-0.0125627395171653,0.1278570610905483,-0.1322502701586954,,0.1581188576280922,-25.439309797699327,1.614808015909439,0.8019421983694401,-0.0241070283670765,-0.4143487346180636,13.927043315828428,0.5759474266519149,0.3743916449086162,,,,,-4.004441724573595,0.0218248750986063,0.9953708605301124,0.0243768250878158,,,-1.1751661057899732,,0.2208876323669638,-0.2254989195373077,0.0249406898229819,0.1581188576280922,-0.2091010843794004,0.0610128516926867,0.1581188576280922,,-0.2164726055812152,0.5418092362443944,0.3083203732503888,-0.9289437421364808,0.523883428177272,-2.6212929379133776,,,,-1.5474686527764685,0.4184617099361783,0.6784847013113162,3.941708007116043,-7.912689647154566,,-0.1682281251476168,-1.0063591815359294,,13.8187,-0.0975954531138991
2022-03-31,0.1285906974987007,-0.2770078156491534,,-1.3040184709575324,0.3591035481349547,0.0228976210535797,,0.1212500065296769,-0.3752026179771844,-0.088724584103512,-0.2664595163452217,1.7849935336983374,-0.401905155944403,2.059332576592439,-0.0126684918961717,-1.29765708200213,0.2424246091536014,0.017831238551053,1.2877401073273484,-0.3755789345954761,,0.6011439485596988,5.050968882156157,0.3801834918127411,0.0354024246501741,,-0.2142659569129213,,-0.3119954058710266,-0.6006586096124737,-0.13216629942501,-0.0437804147795798,,,,0.5509140060609068,,,,,,,-1.2646351532107742,,0.2035677876913522,-0.2773755203484122,-0.7075004143751595,,0.4417533532954942,,,,6.933597794857585,0.1285906974987007,-0.0129944791714194,,0.0234288507713764,,-0.2137387273918081,-0.7598921254476649,-4.448569974554707,-0.6625338612210877,-0.2482449704598988,0.0957508171505479,-0.4480134842282687,-0.5652833854467078,0.6157565368876798,-0.4958734891645812,0.0724731295692285,-0.0126683710459037,-0.1072863925011231,,0.1982625490661305,0.7973026576755256,1.3755545357197492,0.7020965535704575,0.1129268952940003,-0.2647318319015556,-0.2396644697423607,0.2529225929431211,0.0618694516971279,,,,,-4.131475047378395,0.1235866421246384,0.7976738223374794,0.1684201616657497,,,0.0437771449938159,,0.0563055653140468,-0.2479748546864347,0.0,0.1982625490661305,0.5580522090770138,0.2742469280008833,0.1982625490661305,,0.664988798849462,0.0554739392357249,-0.5132192846034215,0.0,-0.2048629073978272,-0.4510347770428846,,,,-0.0856981238804563,0.0601643780905066,0.4900592107302656,1.65169006026693,-5.4693948729872695,,0.6780771229274591,-0.0010848015561291,,18.9418,-0.017429869088966
2021-12-31,0.1251211236599817,-0.2726414405250471,,-1.4487508755545178,0.3688996809369434,0.0082770158337299,,0.0705100635381098,-0.3814723063277976,-0.5939617991373999,-0.2839364858028836,1.844266674927012,-0.4016631765094142,2.4435303651763145,0.0761826628635752,-0.6777156549520766,0.2910507217875562,0.4450185830306752,1.2409473895380911,-0.349200026642697,-1.063568253968254,0.6074312475360585,5.1120158219192495,0.3583623746305643,0.1191702010671474,,-0.2780410889997117,,-0.2356743122881689,-0.5532083493477962,-0.1230501793573368,-0.0500805438183673,,,,0.5480324105979494,,,,,-0.2385380865336867,,-1.3093491201061425,,0.0865705107948659,-0.3191829343674897,-0.6776355380082816,,0.433688615897904,,,,6.883165371096883,0.1251211236599817,0.0719989049596203,,-0.0127172865954479,,-0.5108317799385359,-0.7731444562049616,-4.3944322152412525,-1.014534277974578,-0.7781596323898521,-0.164083830032686,0.5151456778232603,-0.3384232415530797,0.7737426763024673,0.4252702199030935,-0.000438235099436,0.0761819361239363,0.2956811034616738,,0.1279153502582866,0.0002975009916699,1.4312375707511091,0.2927164423845159,-0.0004274295809765,-1.80975156721616,0.3445059269963228,0.271411242485237,0.0679268929503916,,,,,-3.560940461149716,0.03786484354457,0.8241807162984233,0.4468746032417792,,,-0.2103719043920959,,-0.2712749050638205,-0.3013277557576528,-0.0238700650891173,0.1279153502582866,-3.143111603220643,-0.6684216796403967,0.1279153502582866,,-0.2812180214066432,0.0690141088940774,-0.5159409020217729,-0.2152057995326823,-0.2072771167442662,-0.3238745466183059,,,,-0.4243424153860658,0.0339716268415326,0.5340539199983466,1.5978965352393044,-5.148288089286752,,0.5129351745421908,-0.1972468484644447,,23.1339,-0.1071011379495907
2021-09-30,0.1082034625625358,-0.2694708137310865,,-1.2264248839079566,0.3327430453223305,0.0121369841243887,,0.2848645570876596,-0.3819616478576016,-0.6333949476278496,-0.2967170309406043,1.617102012684793,-0.401602681650667,1.5333358381847595,0.0,-1.20926517571885,0.3055974085436572,-0.017831238551053,1.1149505993279505,-0.3755789345954761,,0.5119866505349302,5.28527846157083,0.2777505327251658,0.0506871481403394,,-0.2652029649064042,,-0.2152709747885912,-0.6006586096124737,-0.1147421847293361,-0.1027249955721984,,,,0.548289695907142,,,,,-0.1649938861488789,,-1.2493988022915818,,0.1423487935634736,-0.411949225793379,-0.7075004143751595,,0.3754794668383632,,,,6.822057257864571,0.1082034625625358,-0.0008760323036911,,-0.1462487958476513,,-0.2402388029623658,-0.8052168365497543,-4.292705619111939,-1.0400083350698062,0.5184538749662123,-0.18288790617189,0.0341921502528292,-1.1024255487082966,0.4991611760769435,-1.7641233161173526,0.3020626721841683,0.0,-0.0784613703420391,,0.1351665230584797,0.0009916699722332,3.615113966651369,0.6952614208208016,-0.108396141735649,-3.4587880195031344,-0.0679989191602345,0.6413708527173116,-0.0832167101827676,,,,,-12.652301800379028,-0.0420720483828556,3.018028004444178,0.2473062761860425,,,0.1560387723991141,,0.0566475771989598,-0.2423587598368328,-0.0009276719995133,0.1351665230584797,0.5933878130679151,0.2387340661384193,0.1351665230584797,,0.0874242885195121,0.0443738237593616,-0.5241057542768274,0.0651249176202744,-0.2145197447835833,-0.2722423725197354,,,,0.0167813707928726,0.0510410341492638,0.4872536761286722,1.594887107265731,-4.848805440911469,,0.766757467445559,0.1042531702390304,,25.7364,-0.119827121750176
2021-06-30,0.0722136963418357,-0.26858888170478,,-1.175992943679145,0.2496380107892005,0.0258889817354309,,0.1732018575624977,-0.3820533993944398,-0.640788662969809,-0.3172642524987791,1.5168472326552107,-0.4117139651841285,1.4199184636390367,0.3160731490932679,0.996072949946752,0.2002852054225336,0.1015660571150242,0.7225600581774412,-0.3755789345954761,,0.4118724595913595,5.630699152096614,0.2224425937097201,0.0421104176879239,,-0.1881648835290369,,-0.3406411512346721,-0.6006586096124737,-0.224353644994564,-0.2114633673219813,,,,0.5501568521509971,,-0.3820533993944398,,,-0.0314467311809966,,-1.3551735451375997,,0.0809704250624445,-0.5630612260601258,-0.7075004143751595,,0.3045997720874847,,,,6.753788265492147,0.0722136963418357,0.3014737418442305,0.0518366439565325,-0.2378650199134448,,0.2108922363847045,-0.7472922617407821,-4.142844442625299,-0.4936445092727651,0.3068463528594046,0.2204191501634301,0.0209968697327233,-1.1096505874138611,0.6451576841472759,-0.6966615196208935,0.421527386270003,0.3160701339336818,0.1575055549484573,,0.1566869383150805,0.0359976199920666,1.5162918770078018,0.907543744431291,0.0665080427999487,-3.2530763872765265,-0.0146618263842385,-0.0070115570722083,-0.2016919060052219,,,,,0.4972560012634239,0.0389166447541414,-0.3829570111244765,0.4598078632189259,,,0.4878476716426496,,0.0399038649201755,-0.1520967909680252,0.0296033822008638,0.1566869383150805,0.6734224746958081,0.2730788564521424,0.1566869383150805,,0.3870343225378211,0.0782921751777763,-0.473950233281493,0.2394104607273381,-0.1700293153992067,-0.3767868572647749,,,,0.2910342226831338,0.0866659623107672,0.5256373161935664,1.6780225550356975,-2.7161541591582865,,1.038435497331087,0.4269629297123405,,29.7794,-0.101907018002984
