,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,commonStock,capitalStock,retainedEarnings,otherLiab,goodWill,otherAssets,cash,cashAndEquivalents,totalCurrentLiabilities,currentDeferredRevenue,netDebt,shortTermDebt,shortLongTermDebt,shortLongTermDebtTotal,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,noncontrollingInterestInConsolidatedEntity,temporaryEquityRedeemableNoncontrollingInterests,accumulatedOtherComprehensiveIncome,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,nonCurrrentAssetsOther,deferredLongTermAssetCharges,nonCurrentAssetsTotal,capitalLeaseObligations,longTermDebtTotal,nonCurrentLiabilitiesOther,nonCurrentLiabilitiesTotal,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurpluse,liabilitiesAndStockholdersEquity,cashAndShortTermInvestments,propertyPlantAndEquipmentGross,propertyPlantAndEquipmentNet,accumulatedDepreciation,netWorkingCapital,netInvestedCapital,commonStockSharesOutstanding,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,beginPeriodCashFlow,endPeriodCashFlow,totalCashFromOperatingActivities,issuanceOfCapitalStock,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,salePurchaseOfStock,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeReceivables,cashFlowsOtherOperating,exchangeRateChanges,cashAndCashEquivalentsChanges,changeInWorkingCapital,stockBasedCompensation,otherNonCashItems,freeCashFlow,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,sellingAndMarketingExpenses,grossProfit,reconciledDepreciation,ebit,ebitda,depreciationAndAmortization,nonOperatingIncomeNetOther,operatingIncome,otherOperatingExpenses,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,adjusted_close,10%DDret
2023-09-30,1.058945992134363,0.426252169999357,,,1.7402080386029148,0.706302802764787,,0.233102714209686,0.7576601671309192,1.0,-1.685890467357163,,,0.7634385968107489,0.5042313832978026,0.0645675470217514,0.2843118934609012,0.6954243968086129,2.030917582710305,-0.789344862292982,,1.7326761319882664,0.8902863263576921,0.8541213305816062,0.8801403193548732,,,,16.654918414918416,2.0559234307831145,,0.9075077655145066,,,,0.878548644338118,,,,,,,0.9918385259736092,,1.0016898678502224,-0.5949192841947191,1.573891776866034,0.6048612650265438,2.0006832536728822,,,,0.8073952491277941,1.051424402744611,0.3577589681580008,,-0.0054523679627508,,0.2103222702332596,0.1199533951119059,0.6924729578217997,0.0828803596764386,,-1.3607957976089844,,-0.4486062138247622,,0.276452229940602,0.3896213286457189,0.4855470894154642,1.1244894242526733,,0.9958322701369396,-3.598507462686567,-5.005885500267523,,-0.4369295576878071,,0.0017606650118339,,0.0267486960010699,,,,,0.7951113386229843,1.9172932330827068,-0.3551601423487544,0.8160625495424083,,,0.6069286326355735,,1.540561322568243,,1.6507314025924449,0.9958322701369396,1.0256851278523105,1.5040458015267175,1.018350197221746,,0.8990399247433805,1.3699301010640663,1.5891117478510028,,1.0989636950106376,-1.2872377020983832,,,,3.600962590242835,1.6219209897496594,1.100542005420054,1.454246464442027,0.8045619491964748,,0.6205755029284441,0.7169437242641452,,18.697,-0.0726038678285582
2023-06-30,1.0607568985549154,0.4645406030990806,,,1.7246401541288543,0.7157404051693269,,0.2170185086630004,0.7576601671309192,1.0,-1.611209540506909,,,-1.2135013430103396,0.4071633581586791,-0.0214080776870448,0.0779858230245044,0.7867922714601557,2.047227007156684,-0.8328300850947021,,1.7306968124646682,0.8869146776230595,0.8628296243905026,0.8184618346327847,,0.7702189703318867,,16.56018648018648,2.05366482174089,,0.6428524221796312,,-0.9679488374694684,,0.8365231259968102,,0.7739251040221914,,-1.7357719525565634,,,0.9984417164363356,,1.0100341807864082,-0.4394944312351395,1.5717073034936018,0.7409260256044918,2.00873116329448,,,,0.8043017329704429,1.0532285132357566,0.2871019750100765,,-0.0047893897268955,,0.2335834636416628,0.163026788778699,0.6922383628069884,0.0,-0.3117906683480454,0.0531940586885641,,-0.4483733617191138,,-0.1201047015000503,0.4375778217241632,0.3876933954803837,0.8312303249473164,,0.9920047631198436,-1.732089552238806,-5.005885500267523,,0.3901240346360871,,-0.673180165098424,0.278839623556806,0.0317640765012705,0.3447485969533845,-0.3966297117516629,,-0.0116718741725361,-0.0230355771691835,1.918796992481203,-0.1177935943060498,0.6102904085897528,,,0.6390011017260374,,1.4363706266820453,,1.653299554043971,0.9920047631198436,1.0606581814012157,1.5238931297709923,1.0144915108900705,,0.9381069640040948,1.2884555451671786,1.613753581661891,-0.0606060606060606,1.1019147621988885,-1.3168214654282766,,,,3.599868737694159,1.5559525670515195,1.076074332171893,1.3010347357502468,0.705028512182478,,0.6428147016382311,0.7482080219612628,,18.6037,0.0739584061235131
2023-03-31,1.0688326466589764,0.4960457789493988,,,1.7359360479463648,0.7199019086578631,,-101.36822186742356,0.7576601671309192,1.0,-1.5384344945946071,,,-1.2133878639778677,0.4555035669130743,0.0214080776870448,0.1563204644267543,0.7835720465250409,2.0355419012271136,38.469347607283375,,1.7287056229589195,0.8835414301929625,0.8724993700670286,0.8545470101924043,,0.7747755454298331,,16.70097902097902,2.051392667816853,,0.7414909787852753,,-0.9453321648984768,,0.5686602870813398,,0.7739251040221914,,-1.65737067676667,,,1.0016889596621388,,1.014913181024801,-0.2915780252784382,1.5695097298310798,0.8118924737991958,2.011911284076096,,,,0.8012067499965163,1.0612739548516428,0.3222893994357114,,-0.0041318725967721,,0.2357115760059957,0.1786159432070666,0.6921543577480054,-0.0849072248530522,0.0250105086170659,-0.0163627581209998,1.808036368969057,0.7778923557980174,,1.9123124937078424,-0.2537903757415952,0.4364248699842771,1.1338553997450374,,0.9986391086161436,0.0,-5.005647702276916,,-0.4753100865902177,,6.4345090342319455,-0.285048995828078,0.3410458740136418,-0.5023479555606459,-0.2135698447893569,,1.6989037758830694,0.275275147171743,1.806015037593985,-0.6750889679715303,0.6532031418894574,,,1.2840004896560169,,1.586312956555171,,1.5625119297575871,0.9986391086161436,0.8257080610021786,1.883282442748092,1.5938947007374378,,0.7415543812079795,1.2799519166555362,1.24756446991404,0.8539944903581267,1.058060531192094,-0.8771929824561403,,,,1.93918179829359,1.4680988856383572,1.1123112659698025,1.234346143142662,-18.62726801451529,,1.0900602665308547,1.3815769406740888,,17.7117,-0.0109080438354308
2022-12-31,1.03519097729658,0.5654214620973446,,,1.632217227053856,0.7270825421282783,,-1.5982496599846254,0.7576601671309192,1.0,-1.5040916303146092,,,0.777039969486749,-0.2413964949195714,-0.5958540752184539,1.002528933238654,0.7963087570893012,2.029255385271084,0.6443407448073932,-0.4524236162886236,1.6114094268430743,0.880288084922703,0.8783295840685166,0.4282200190372295,,0.7826378710890347,,16.308438228438227,1.917545531966768,,0.7430110369440222,,-0.9143251356440996,,0.7647527910685805,,0.7739251040221914,,-1.620372769859464,,,1.007199327885412,,1.0232697192463225,-0.1454135902890752,1.4400559382386824,0.8743311275053035,1.7848789979785766,,,,0.7982217782657388,1.027758535199066,-0.1849926105065162,,-0.003480908793527,,-0.4473662296325768,-0.1410339782149244,0.6883716639864803,-0.1214645022203386,-0.9684741488020177,-0.0463108320251177,,-0.4475084824695629,,-0.6859458371086278,0.0,-0.2661159023881957,0.4164737102271249,,1.0164157523177682,-0.0328358208955223,-4.914333273883836,,0.2707699508542008,,3.1843214223864225,-0.1092461433976908,0.4045071552761803,0.2279234910090482,0.4619068736141907,,-0.4879097601016787,-0.7491681597133351,3.556390977443609,-0.2818505338078292,0.1222526482669164,,,0.2728608152772677,,1.5916955017301038,,1.3945409429280398,1.0164157523177682,0.5226464854947827,1.1798473282442747,1.030354999142514,,0.4490496084995711,1.319531632607631,0.5805157593123209,,0.9781758287008442,-0.0763673890608875,,,,3.168015751476701,1.3897585921972353,1.129578010065815,1.3017431123029828,-30.27475375842405,,0.3889313301078007,0.3892023791368004,,24.5098,-0.007877725561283
2022-09-30,1.0567179843498575,0.6179836687455796,,-0.215049166310389,1.6553256781037364,0.742869171757506,1.0212026863597767,-1.677369759328248,0.7465181058495822,0.0,-1.415107344580498,3.64297173886215,,0.7804968770500215,0.0144245411002519,-0.3692668612112443,1.1600702619875174,0.8664808228395655,1.9777130578394984,0.6406350077774727,-0.4525583037855709,1.6094746197525405,0.8763664849482822,0.8798709194385548,0.596785061122341,,0.7999232016545861,,16.66293706293706,1.91533771623134,-2.8516873889875667,0.9532747339898222,,-0.8564316745287416,,0.9186602870813396,,0.7628294036061026,,-1.5245091199043157,,,1.010332084971844,,1.0287544268036046,0.0,1.437920590954086,0.9868389112286146,1.7917272778795836,,,,0.7946236772064772,1.0492047561782494,0.0012226252855031,,-0.0028354060960138,,-0.3600396013953015,-0.064795245578858,0.6868815055385622,-0.1387112822686149,0.3754728877679697,-0.0604395604395604,-0.015984748496847,-0.4357328188410618,0.3765309028766733,0.1466827745897513,-0.0490917747015307,-0.0082242503744638,1.2830866092567057,,1.15412094922174,-0.5402985074626866,0.9302657392545032,,-0.6906154926281302,,3.192749523754546,0.0316289900067915,0.3902634746556105,-0.7130912839308212,0.4530376940133038,,0.2128687178944023,0.7198617865369848,1.7548872180451127,0.0,0.7300208978885926,,,0.7579875137715755,,1.3467896962706651,,1.7354804004928075,1.15412094922174,0.9732828804036234,1.5974809160305343,1.1624935688561138,,0.8839886008355698,1.368193758069543,0.5169054441260745,,0.9705579575869878,0.0,,,,3.1607963246554363,1.6141048259228656,1.205613627564847,1.3129759404963697,-30.20632452047693,,0.7253204312027841,0.8685374409028519,,23.8776,0.0406406003953495
2022-06-30,1.0552752921009738,0.7053944576609015,,0.1325352714835399,1.645449249036525,0.7452025304094011,1.0979337673365412,-99.19271480101708,0.7465181058495822,0.0,-1.355506931948023,3.6824632852030112,,0.7829051542947085,-0.0350600330389361,-0.413096610183346,0.1580147251186605,0.8316351052580986,1.9945836515068105,37.59758440845457,,1.615614368019894,0.8731674953238158,0.8819318906743876,0.5451813349589844,,0.8024780773039979,,16.263123543123545,1.9223438063488247,-3.092362344582593,0.7543123389068799,,-0.839632315924897,,0.6716905901116428,,0.7628294036061026,,-1.4603010066779627,,,1.0104858895833224,,1.0325753841656993,0.1436616193217369,1.444696716002905,1.0130977635647869,1.9069232174006128,,,,0.7916885772392606,1.0477674780328046,-0.0347977965873975,,-0.0021953645042326,,-0.0325601191742924,-0.0339691829693455,0.6866782353333778,-0.4345967459600892,-0.4253888188314418,-0.3028317836010143,,-0.4206972257334841,0.3765309028766733,-0.633746098862378,0.1857101003442466,-0.0581093527589382,0.8706194552124256,,1.099515182444501,-0.5791044776119403,0.9302657392545032,,0.3470629534285046,,-1.0135657795993769,0.3816823517997477,0.923699344656948,0.3025999312793494,0.4565853658536585,,-0.4439760631255626,-0.0884310212439211,1.7548872180451127,0.6448398576512455,0.1569863803415724,,,0.4175541681968417,,1.0530565167243369,,1.4513873223550642,1.099515182444501,0.6651760119252379,1.3432824427480916,1.107357228605728,,0.5866142821569875,1.1820488847335382,0.5702005730659025,0.1046831955922865,-0.0199711756228124,-0.0639834881320949,,,,0.0035003281557646,1.3073538935661806,1.0967479674796747,1.0321552356616996,-30.40124416796268,,0.4892623716153128,0.5345432362360836,,27.2529,-0.077103721071886
2022-03-31,1.059377655640698,0.7866006558220279,,-0.4839675074818298,1.6400786688031153,0.7525602491346477,,-98.87895452663946,0.7465181058495822,0.0,-1.2756357176890731,3.193631988152536,,0.7776451909932672,0.2016205690449163,-0.2034625665170798,0.2134270159833564,0.5880515235989618,1.947345989238337,37.58667307164425,,1.6141988726484453,0.8699685056993494,0.8744398460296336,0.6676720035079838,,0.8105342997758781,,16.007645687645688,1.9207285791926911,-2.665482534043813,0.8357015398850043,,-0.8082896724031846,,0.4807814992025518,,0.7628294036061026,,-1.3742549586364996,,,0.9982104313062926,,1.0242299598399376,0.2805656363408835,1.4431345064097263,0.8559668175917424,1.8937021013986235,,,,0.7887534772720439,1.0518544463137236,0.1374848851269649,,-0.0015618762393296,,0.052832702610176,0.0,0.6865963815594781,-1.9864752814578688,-0.0472887767969735,-1.574145634585195,-0.1525150315295498,-0.5290732486195197,0.3765309028766733,-3.3080640289942616,1.3933384604116312,0.1804869426070129,0.4668938782943518,,1.042102577188058,-0.8373134328358209,0.9300279412638964,,-0.2838754973086824,,-0.0921318478323616,-1.2110216357815078,0.6962016851678481,-0.314969648379338,-1.372949002217295,,-2.694804850924112,0.2475044791400051,0.9849624060150376,-2.601779359430605,0.0,,,0.4084955318888481,,0.8723567858515956,,1.373718093321071,1.042102577188058,0.6681573214080954,1.2951908396946563,1.0511061567484137,,0.5894917411393631,1.061350785806509,0.6383954154727793,0.0606060606060606,-0.0189417335803994,-0.1458548331613347,,,,0.0026252461168234,1.1874316085665155,1.008091366627952,0.873681281149594,-30.608605495075167,,0.4829810712163653,0.5255452188500839,,34.4304,-0.092636158743436
2021-12-31,1.0664434151552376,0.7594033305471614,,-0.4275331338178709,1.6470318706546738,0.7578103061014116,1.0082597843707382,-99.16273431494294,0.7465181058495822,0.0,-1.195246399874175,4.014068863383932,,0.7964350772095226,1.4189115608590124,0.8747231009424785,0.0965479438402411,0.7898683072190714,1.7137291115412618,37.59067618263336,,1.6147181843675302,0.8676120285846749,0.8123395945898878,1.33817820130266,,0.8162827699870545,,15.40009324009324,1.9213211677719848,-2.704558910597987,0.694732668032516,,-0.785691645069267,,0.1465709728867623,,0.7628294036061026,,-1.287650752516695,,,0.9338784723848446,,0.962103282544682,0.4154674008259291,1.443707644101144,1.154566275105806,1.916523403799772,,,,0.7865913896400212,1.0588936896028418,1.023565766492006,,-0.0009327568590122,,0.6763141093849755,0.0288932242273162,0.6846875095758421,-0.9412761880193842,-0.7864649012189996,-0.7179084651612124,,-0.3984764819373295,-0.0415835944175448,-1.7055270311084263,2.018018018018018,1.4076306902230038,0.4433748731690818,,1.047801309857957,0.044776119402985,0.7479935794542536,,0.5815586239176223,-0.0966925718416772,7.347976678404433,0.916852624429999,1.899023672595961,0.5321269041346924,0.0918847006651884,,-1.3460361171424031,-0.441259278218582,4.822556390977444,-0.2167259786476868,-0.6643727030337969,,,0.0368466152527849,0.0184872279097505,1.7039600153787005,,1.3461625223411824,1.047801309857957,0.3395252837977296,1.0938931297709924,1.0707425827473849,0.6802827965435978,0.298757712420109,1.190641556475669,0.8286532951289398,1.0413223140495869,1.0078923889918332,-0.3742690058479532,,,,0.022095821483264,1.1998034793094978,1.180758807588076,0.9418878235130416,-0.3566614826334888,,0.2252779899838723,0.161659295409486,,33.8081,-0.0751417559697232
2021-09-30,1.100917206939485,0.8122227223043785,,0.1603249251817015,1.713858204445073,0.7683572955435715,1.0,0.1765714623617763,0.7465181058495822,0.0,-1.1038843888922298,4.1042823645563375,,0.917403025336996,2.016916304438108,1.4043911490391296,0.7060083965566643,0.7242141689897145,1.596966844843814,-0.8030469393357124,,1.613305656491619,0.8625345717894198,0.8110543116754585,0.8180447267943658,,0.8278310360362929,,-0.0307692307692307,1.919709326836305,-2.603611604499704,1.4983808076135088,,-0.7392090690433128,,0.0968102073365231,,0.7628294036061026,,-1.1892255556663012,,,1.0258871663928828,,1.0529882765070582,0.5501188837442123,1.4421487095804877,1.1794741897012109,1.9168823481256176,,,,0.7819327801968028,1.0932381089067205,1.4588606744592234,,-0.0003101908055731,,0.0,0.0794631405914124,0.6840599639759443,-7.475926369515948,0.401744430432955,-6.071156865112909,,-0.3690705874525979,2.933067502136144,-9.871639987919057,5.613253497399839,2.0424051280619984,1.18271457189687,,1.0648975078676532,0.5074626865671642,0.7457344985434873,-59.52395514780836,0.3657851626491926,-0.0966925718416772,-6.528488137158691,0.1752207237799553,0.1222415407248896,0.3209254380941473,1.0064745011086476,,-8.219011809564158,1.6150499104171998,0.9774436090225564,-0.7736654804270463,0.8049290192404699,,,0.3327212633125229,0.2232382466951595,0.7512495194156094,,1.323743254264346,1.0648975078676532,0.5850246531361083,1.2726717557251908,1.087978048362202,-0.0455616653574234,0.5150098220955648,0.9495570099283202,0.670487106017192,-0.4683195592286501,0.9889506554114336,-0.1843825249398004,,,,-0.0078757383504703,1.045222090712164,1.0044521873790166,0.6243327345864852,0.031104199066874,,0.4304388422035481,0.452035992069544,,33.4305,-0.0376811594202899
2021-06-30,1.0951557993211962,0.5313444351572044,,2.0607097050021377,1.6758045843000944,0.7793713039421001,0.9782054910840644,0.1015906806220803,0.7465181058495822,0.0,-1.0302951802491522,3.492410218437616,,0.6561448720961713,5.640918445508827,4.61426224282106,0.4611378953794022,0.6920599826972988,0.8979240290529381,-0.7877436178973374,,1.611893128615708,0.8601621077201004,0.5664275693185145,2.9089742355696733,,0.8398906574052425,,-0.1872261072261072,1.9180974859006248,-3.919478981645944,1.2155178111162517,,-0.6998489735796991,,0.0867623604465709,,0.7628294036061026,,-1.1099471743247284,,,0.802842725533358,,0.8295511819905987,0.5506194468777375,1.4405897750598315,1.0236941814689338,1.903765137060057,,,,0.7797560243990269,1.087498322571018,4.096815800080613,-0.5391636068030766,0.0003101908055731,,1.899867686926913,0.1324626528658393,0.6838209089798627,-0.0546885076744486,0.1277847835224884,-0.3604033329308054,0.0036662267194603,-0.3198057348147162,-2.59698091711763,-0.6007751937984496,5.836061671427525,5.695739949947436,0.2104742825922939,,0.8068384792038785,-0.2895522388059701,0.5637001367338446,-283.9418960244648,0.8525626023870817,-0.0966925718416772,0.0005195404952952,-1.1741534879208304,0.3167045606526681,0.7973886152788913,-2.6958758314855875,,-0.4162262352380448,0.1721269516252879,0.9774436090225564,-1.5711743772241993,0.0269150392736182,,,0.1603623454523197,-10.48981214590995,0.7885428681276432,,1.0334033212445124,0.8068384792038785,0.4396284829721362,0.9442748091603054,0.8278168410221232,-0.1146897093479968,0.377113133940182,0.7166644405859045,0.7507163323782235,-0.2038567493112947,-0.0145494475327705,-0.2807017543859649,,,,-0.0026252461168234,0.7559347015342013,0.7770421989934185,0.3921876185898246,-0.0145152928978745,,0.3109243697478991,0.2842763458898886,,33.067,-0.027102549369462
