,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,commonStock,capitalStock,retainedEarnings,otherLiab,goodWill,otherAssets,cash,cashAndEquivalents,totalCurrentLiabilities,currentDeferredRevenue,netDebt,shortTermDebt,shortLongTermDebt,shortLongTermDebtTotal,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,noncontrollingInterestInConsolidatedEntity,temporaryEquityRedeemableNoncontrollingInterests,accumulatedOtherComprehensiveIncome,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,nonCurrrentAssetsOther,deferredLongTermAssetCharges,nonCurrentAssetsTotal,capitalLeaseObligations,longTermDebtTotal,nonCurrentLiabilitiesOther,nonCurrentLiabilitiesTotal,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurpluse,liabilitiesAndStockholdersEquity,cashAndShortTermInvestments,propertyPlantAndEquipmentGross,propertyPlantAndEquipmentNet,accumulatedDepreciation,netWorkingCapital,netInvestedCapital,commonStockSharesOutstanding,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,beginPeriodCashFlow,endPeriodCashFlow,totalCashFromOperatingActivities,issuanceOfCapitalStock,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,salePurchaseOfStock,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeReceivables,cashFlowsOtherOperating,exchangeRateChanges,cashAndCashEquivalentsChanges,changeInWorkingCapital,stockBasedCompensation,otherNonCashItems,freeCashFlow,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,sellingAndMarketingExpenses,grossProfit,reconciledDepreciation,ebit,ebitda,depreciationAndAmortization,nonOperatingIncomeNetOther,operatingIncome,otherOperatingExpenses,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,adjusted_close,10%DDret
2023-09-30,0.7623056667732158,,,,3.788856013937592,0.6571650179099227,,-0.3078969480025181,0.7599225628012143,0.0,-1.2588133255082394,,,,-0.4764555792977971,,-0.8987235259964828,,0.670317758574922,97362.0,,1.3919290736777743,,,-0.4036850137185402,,,,-0.361893357548278,4325203.0,,-0.6527883146777568,,,,1.2616031087989998,,,,,,,,,1.123237371424917,0.3202463249765279,,,4.56125586352885,,,,,0.7942125965768513,-0.4478373935194512,,1.5212907854711044,,-0.3493569084688301,-0.1613776534253723,1.470863476750823,12300.0,,,,-0.1917882254796806,,0.0692481380597278,-0.4288844020617876,-0.4764555792977971,0.3683250671842967,,-0.1417477658599092,,,,0.7112657604309686,,0.3205790013700902,,-0.605277682274172,,,,,-0.0790820095541924,0.1279379732800717,0.160692391124944,0.5745547401967093,,,-0.0250066610981709,,0.1084554113160329,-0.6789345403899721,-0.3056565142265964,-0.1415242086687989,-0.0402528390280933,-0.0616136614317978,-0.1435057818336353,,0.241914337317753,-0.0770016552681244,0.0306465891122584,,0.0388173472797991,0.5668594255021964,,,,0.1330873872308154,-0.168000988604567,-0.0775571101370267,-0.2122388497700143,0.143214765981709,,-1.3529432445001213,,,0.13,0.0
2023-06-30,0.7685140401365054,,,1.05833557340192,3.751262780965088,0.6650140981544305,,,0.7599225628012143,0.0,-1.243445245320235,,,,-0.4527623677817459,,-0.6880253780197403,,0.6337075462182218,94268.0,,1.2149521771411105,,2.126739667295058,-0.380683994332411,,,1.646087318732716,-0.3414692156516347,4100060.0,,-0.2693901954847185,,,,1.2373675592822089,,,,,,,,,1.1241650361290627,0.3970473718917574,1.4326215665340192,,4.468952490509034,,,,,0.8007525119753538,-0.4261665544345224,,1.522313103709268,,-0.3112318960534792,-0.1449456803708123,1.470863476750823,-352203.0,,-1.2015609060563477,,-0.1917876296031462,,-0.2620585456536708,-0.3529355437705422,-0.4527623677817459,-0.0496178565589062,,-0.1417256730036342,,,,-0.0743085323802836,,-0.0377363405688024,,-0.0968170349454169,,,,,0.1179581607358807,-0.019658569956987,0.1414137841597698,0.4622648177523261,,,-0.0483193326556333,,0.2507219143632494,-0.6330605849582173,-0.3056673473477811,-0.1415021506562258,-0.1130765351436013,-0.1363516991438626,-0.1434834149723769,,0.1434809035002293,0.0087600670414024,0.0139715203285557,,0.3796406248888952,0.5414881341979365,,,,0.1158632602868142,-0.168000988604567,0.0090545973416222,-0.2122311312246112,0.2461027429870926,,-1.3927760063548715,-1.514365013006317,,0.13,0.0769230769230769
2023-03-31,0.7791506803917411,,,1416734.422351352,3.769595902417413,0.6752041579512542,,-0.2887478829352066,0.7599225628012143,0.0,-1.2276247048529232,,,,-0.3749181830585327,,-0.7924544707443153,0.0,0.5658802454673136,91246.0,,1.1958474909376775,0.0830637487526339,2.114980156030088,-0.3083803716641669,,,2.0401596807355404,-0.1254676923647997,4056175.0,-974396239842.0,-0.5691769653759926,,,,1.2129913146622424,,,,,,,-2662519.704450072,,1.1164794115305632,0.4720490332562573,1.4143259244880133,,4.514337694539962,,,,,0.811957174343902,-0.3549668861374922,,1.5138432824865655,,-0.1396679212871479,-0.0988058384383044,1.470863476750823,-318583.0,,-0.5706603757531139,,-0.1912966273388154,,-0.3318163817841253,-0.2658626044302657,-0.3749181830585327,-0.3707001001999807,,-0.1418140444287339,,,,0.6498695146363703,,-0.0046870603269784,,-0.3637909004081084,,,,,-0.2593831909689352,-0.30352832013588,-0.4006625639574638,0.1965724140125577,,,0.193548202258809,,-0.1323257371467791,-0.7183669916434541,-0.3056240148630422,-0.1415903827065181,-0.0123492790878432,-0.03297945445314,-0.1435728824174103,,0.2796306764650462,-0.1849882971147205,0.0122303382494746,,-0.3112285167777122,0.0,,,,-0.7663907014467108,-0.168000988604567,-0.1866114905154539,-0.2122620054062235,0.2356634692689961,,-0.9795135497164116,-1.065027715842933,,0.19,-0.0526315789473684
2022-12-31,0.7904517756671018,,,1416734.422351352,3.831670984008654,0.6843537107774719,,896894.7772755648,0.7599225628012143,0.0,-1.2164984119810884,,,,-0.2856723125227943,,-0.4181595326046408,0.0,0.4814854979946072,88295.0,,1.10283617941215,1789232.7453455343,2.104359471919801,-0.2359035601938966,,,2.6338572150093587,-0.109112981002221,3929020.0,-974396239842.0,-0.0367970511920011,,,,1.2129913146622424,,,,,,,-2662519.704450072,,1.1095383003883004,0.5425113356177805,1.3138406289430262,,4.506816973425295,,,,,0.8238617752250763,-0.2733387413811708,,1.5061939405614675,,0.0,-0.0661411131510857,1.470863476750823,-232241.0,,-3.09682400219967,,-0.1912966273388154,,-0.1443197601863232,-0.2086892108725297,-0.2856723125227943,0.1172507473073875,0.0,-0.1253548665039159,,,,-0.1525997505581,0.0,0.0801892321965065,,-0.4292383716161756,,,,,0.320081861808949,0.062199715343907,-3952913.880555752,0.376299481094604,,,-7.893387007589875,,0.3877131029909086,-0.3792130919220056,-0.3136946901456513,-0.1251571633395831,-0.1719265941578554,-0.1959388185654008,-0.1269095707799324,,0.0639351828333082,0.1617264629143675,0.0027902251618655,1.0,0.4757773779980516,1.297161249401143,,,,22.82120718984196,-0.168000988604567,0.1624678261661952,-0.2065116890809365,-19.651965429702425,,-17.18451600844646,-18.684600675089804,,0.24,0.0
2022-09-30,0.9430323864492622,,,1.049755752071574,3.036771884984679,0.8721779080812798,,,0.7599225628012143,0.0,-1.0212995216481628,2.006334504339045,,,-0.227072139860628,-1.0,-0.7437375360770092,,0.4268555933047436,85413.0,,1.050178626020876,0.0721833991553842,2.3637881356937527,-0.1911140093236769,,2.062234613832696,2.8384845366887954,-0.1947469975920244,3848537.0,,-0.2944458314926082,,,,1.1914911397095176,,,,,,,,,1.2790876672096114,0.6113276091516476,1.2581287003785304,,3.613795318121285,,,,,0.9845905567554522,-0.2197404813373381,,1.6930431428604165,,0.1238748381274718,0.8570433822562752,1.470863476750823,-548129.0,-3.939735545957696,-0.9818428686709102,-31331.0,-0.1912966273388154,,-0.2686402606833891,-0.131690785457452,-0.227072139860628,0.3358795587846874,0.0,-0.1257525379168645,,,,-0.8425895842285642,0.0,-0.2303363786609979,3.443923337074261,-0.1897944070916809,,,,,-0.7875313958642276,-0.4545061374055406,0.1934374336846573,0.2571306195860527,,,0.6350773039000046,,-0.2418121072400996,-0.5541260445682451,-0.3134996939643265,-0.1255542075658983,0.1918549667398436,0.1773913633419122,-0.1273121742825829,,0.5556469484907736,-0.4720990826384465,-0.0027902251618655,,-0.3748195658202555,-0.041174366898562,,,,0.0985496026416823,-0.168000988604567,-0.4776242240853736,-0.2066506228981918,0.8424867468116914,,-0.2251030775289874,-0.2447529573888269,,0.22,0.0
2022-06-30,0.9488004599490254,,,1.1082136907951616,3.122375734346747,0.8747249346004812,,,0.7599225628012143,0.0,-1.018742576144281,2.2108759681861763,,,-0.1481521957526758,1.0,0.0275489511372146,,0.3332975377820957,82597.0,,0.7650111368301524,0.0721833991553842,2.345363956839576,-0.1246706201327284,,2.0653132846747546,,-0.3676180564482257,3502343.0,,0.3378675582479236,,,,1.1914911397095176,,,,,,,,,1.2672413469767456,0.6785319331296529,0.9439871881976124,,3.54692686490032,,,,,0.9906666592211724,-0.1475568768396376,,1.6799880927166924,,0.223037026596756,0.8351004320096034,1.470863476750823,-539864.0,0.0535524829345791,-0.9670380849255416,-31331.0,-0.1912966273388154,,-0.3656820729640867,-0.0392173819634016,-0.1481521957526758,-0.027668191327461,0.0,-0.1257083522043147,,,,0.1634578097324264,0.0,-0.222211682016183,10.146793195736564,-0.6018393819174535,,,,,0.0780833611495674,0.8049004883188777,-1.252797033788404,0.4656074166835392,,,-0.1982884558936328,,1.136052682167766,-0.2988161559888579,-0.3135213602066959,-0.1255100915407521,-0.8732419669712094,-0.9157179561251466,-0.1272674405600662,,-0.8840101154325197,0.9209513692035628,-0.0292342686557271,,-0.561838259867883,-0.2561285838635888,,,,0.0712348390290658,-0.168000988604567,0.9292533645567478,-0.2066351858073856,1.3624806598477868,,-1.649017954292097,-1.792965362938189,,0.2236,-0.0496422182468694
2022-03-31,0.9707277308480664,,,1.028046666783759,3.2247380498472027,0.893189461928286,,,0.7599225628012143,0.0,-0.9769623773727398,2.7650335958949555,,,0.0516236781055571,,0.0360559730064034,,0.144896534833118,82677.0,,0.5623348036860724,0.05166053033551,2.3264790461806144,0.0426340029648293,,2.068802000243517,4.003221384219037,-0.4031485843949712,3287296.0,,0.3445889693245314,,,,1.116265067218558,,,,,,,,,1.246251576347839,0.7441686106051286,0.7566242841890711,,3.66932554510942,,,,,1.0137648990029036,0.0351668038441672,,1.656856647451064,,0.4221665804292448,0.8261657526225624,-0.3206686113264147,-408612.0,-0.2743089299643533,-0.7319313122519662,-23504.0,-0.1910493385770468,,-0.4878680108202878,0.1751790492460323,0.0516236781055571,-0.3755969026047802,0.0,0.0,,,,2.081749866370411,0.0,-0.263887984369912,11.371427036799698,1.5102298465319826,,,,,0.5304409921913903,0.0939679643943981,-4.090725283534932,-1.197153356017199,,,1.6153159157662138,,1.118536547336189,-0.6890146239554318,-0.3751618197476966,-0.0055806771809859,-0.1659921165059723,-0.1836395031251641,0.0,,2.0264804124283344,0.8310892509258294,-0.0688404249962875,,-0.5018238962405694,-0.0587183449281034,,,,0.5699893089809827,-0.168000988604567,0.8302689692729491,-0.1627166624639186,6.004151152637151,,-2.0291407350379047,-2.206270128824477,,0.3584,-0.0516183035714286
2021-12-31,0.9707277308480664,,,1.028046666783759,3.2247380498472027,0.893189461928286,,,0.7599225628012143,0.0,-0.9769623773727398,2.617273379515061,,,0.0516236781055571,,0.0360559730064034,,0.144896534833118,82677.0,,0.5623348036860724,0.0427227799597219,2.3131947619283824,0.0426340029648293,,2.089163342333852,4.405636725114004,-0.4031485843949712,3227545.0,,0.3445889693245314,,,,1.116265067218558,,,,,,,,,1.246251576347839,0.824268531030029,0.718703290303795,,3.66932554510942,,,,,1.0137648990029036,0.0351668038441672,,1.656856647451064,,0.6031493843404824,0.899205098934608,-0.3206686113264147,-582260.0,1.1519142546062964,-1.042980445683998,-30916.0,-0.1910493385770468,,-0.4878680108202878,0.1751790492460323,0.0516236781055571,-0.3755969026047802,0.0,0.0,,,,2.081749866370411,12175330.0,-0.263887984369912,-27.97414452951008,1.5102298465319826,,,,,0.5304409921913903,-0.4545061374055406,-4.090725283534932,-1.197153356017199,,,1.6153159157662138,,1.118536547336189,-0.6890146239554318,-0.3751618197476966,0.0,-0.1659921165059723,-0.1836395031251641,0.0,,2.0264804124283344,0.8310892509258294,-0.0688404249962875,-1.0,-0.4871331764237412,0.0953177821712697,,,,0.5699893089809827,-0.168000988604567,0.8302689692729491,-0.1627166624639186,6.004151152637151,,0.8905684895387156,0.9683087142326272,,0.2973,-0.1055243135957659
2021-09-30,0.9748897091888216,,,1.004655349115125,2.3760755732233907,0.9308716051559236,,,0.7875053310781277,2501905.0,-0.9870783434458014,1.6429527017596677,,,0.1663756672868865,,-0.1756575201456263,,0.0013853530144769,70724.0,,0.0675573219199021,0.0393724113736943,2.276180476206877,0.1468716286436319,,2.138168872666896,5.638408867810472,-0.1973013901367177,3138982.0,,0.1999887240533445,,,,1.1077100851100672,,,,,,,,,1.2218317928437257,-0.8043219332489303,0.1805105309133262,,2.685811750909344,,,,,1.018149136974139,0.1401239511915997,,1.6299452106607075,,0.8546125984832934,1.0771869840199435,1.470863476750823,-775140.0,-0.3919581331316716,-1.3884791376146297,-34127.0,-0.1929626981289476,,-0.3830494104541277,0.2704219719878386,0.1663756672868865,0.4094238291485517,0.0,-0.0010383642449214,,,,0.8045654156142245,12175330.0,-0.4534937301475151,21.612589101011704,-0.0177194506809592,,,,,0.0798426239555232,0.8638761981898389,0.0220962721935346,0.5855968622936536,,,-0.5402545203657705,,0.9084881348188568,0.3046135097493036,-0.3746526630520152,-0.0010367265909341,-0.7427548941315202,-0.7756239385822085,-0.0010512424791429,,-0.5113517591578783,0.7438093938882904,-0.0842969212561239,,-0.5710821784360712,0.0178138853838419,,,,0.0143591445078181,-0.168000988604567,0.7421905905955134,-0.1630794340978629,0.4546870601727731,,-2.233311898250853,-2.428263966307445,,0.4017,-0.0540204132437142
2021-06-30,0.9806306688871254,,,1.0288972337178806,2.312685720950922,0.9392568103432032,,,0.7875053310781277,2501905.0,-0.9617101571034212,1.653857640569145,,,0.2639954055989569,,-0.040083695856438,,-0.0936297552610905,104851.0,,-0.063144516748919,0.017888494126316,2.249212044863975,0.2336967540568936,,2.149017130193748,6.226625258974917,-0.1668439022814244,2955220.0,,0.2323302513095314,,,,1.0528520827881398,,1.639775344501473,,,,,,,1.2042066088602914,-0.688019602397136,0.0021547122197418,,2.578824089165391,,,,,1.0241966776963392,0.2294111986819014,2.489889200002648,1.6105216549764942,,1.043030613181177,1.1004099405298384,1.470863476750823,-753687.0,-3.1627925281522247,-1.3500511853231123,-33330.0,-0.2414104397568823,,-0.7022149979905852,0.4165613109713635,0.2639954055989569,-0.6038201766705936,,-0.0034022998663382,,,,-2.41040529068366,-82102.0,-0.4324049077493042,1.8309851620300608,-0.0339808831220269,,,,,-0.8493053237536047,-0.3601450016120027,0.0050488080922402,-0.1111117056012327,,,0.2635487257703368,,-0.1496748856975277,0.8463091922005571,-0.3734935190852512,-0.0033969339362523,0.4265195237491057,0.4242880841080589,-0.0034444966337873,,0.5933704933885438,-0.2434293231303222,-0.0970078053649057,,0.9466483684483727,5.582547790470921,,,,0.0012297305125895,-0.168000988604567,-0.2546945411336905,-0.1639053184559914,-0.4077207781647803,,-0.8599084595889359,-0.9349722841570668,,0.501,-0.0974051896207585
