,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,commonStock,capitalStock,retainedEarnings,otherLiab,goodWill,otherAssets,cash,cashAndEquivalents,totalCurrentLiabilities,currentDeferredRevenue,netDebt,shortTermDebt,shortLongTermDebt,shortLongTermDebtTotal,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,noncontrollingInterestInConsolidatedEntity,temporaryEquityRedeemableNoncontrollingInterests,accumulatedOtherComprehensiveIncome,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,nonCurrrentAssetsOther,deferredLongTermAssetCharges,nonCurrentAssetsTotal,capitalLeaseObligations,longTermDebtTotal,nonCurrentLiabilitiesOther,nonCurrentLiabilitiesTotal,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurpluse,liabilitiesAndStockholdersEquity,cashAndShortTermInvestments,propertyPlantAndEquipmentGross,propertyPlantAndEquipmentNet,accumulatedDepreciation,netWorkingCapital,netInvestedCapital,commonStockSharesOutstanding,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,beginPeriodCashFlow,endPeriodCashFlow,totalCashFromOperatingActivities,issuanceOfCapitalStock,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,salePurchaseOfStock,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeReceivables,cashFlowsOtherOperating,exchangeRateChanges,cashAndCashEquivalentsChanges,changeInWorkingCapital,stockBasedCompensation,otherNonCashItems,freeCashFlow,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,sellingAndMarketingExpenses,grossProfit,reconciledDepreciation,ebit,ebitda,depreciationAndAmortization,nonOperatingIncomeNetOther,operatingIncome,otherOperatingExpenses,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,adjusted_close,10%DDret
2023-09-30,1.0613717148238009,,,,-0.0267416875505383,0.4528306099656012,,,3.0250154058292,0.8299220364590014,,,,0.386357331527368,,,,,,,,,-0.3244945691588621,,,3.74810112959032,,,,,,,,,,-1.1114185893666333,,,,,,,-0.2880975441080922,,0.5313321800783829,,,,,,,,,1.0613717148238009,,,,,,,0.8763968312260637,0.4232874440205673,,0.3696268819550513,,-0.9728577255367272,,0.0951548034821433,-0.7211048769961157,-0.5407542901578213,0.4782589333428337,,,0.0,-3.936406454574824,,,-0.3027701911822083,-0.1857014265841084,,0.0,,,,,0.2656264341441028,,0.2845281197200096,0.5820502879929109,,,0.4051308965176586,,,,0.0737341942847995,,,0.3113018597997138,,,0.2406839151726602,-0.0117163037855728,,0.7756521739130435,,,,,,1.0847528043207313,-0.0466072577142762,0.5007172162754111,,,,0.5349958495964395,0.2026335877862595,,30.1461,-0.1002213005048831
2023-06-30,1.2122501654252702,,,,-0.0274709897268672,0.5165471885922664,,,3.434975198140318,0.9831513233847864,,,,0.4429058235225384,,,,,,,,,-0.3256338904619589,,,4.39776326003476,4.43826190804281,,,,,,,,,-0.9162198623266112,,,,,,,-0.3306400859751854,,0.5828260844707523,,,-0.2425683709869203,-0.0458990180603103,,,,,1.2122501654252702,,,,,,,0.8926079429200986,,,0.3696268819550513,,-1.175534873373132,,1.6248353001421163,-0.7211048769961157,-0.614742943993779,0.575626135594428,,,0.0,-4.130349764499838,,,-0.2073091429314605,-0.1770819126592291,-0.0411072282508736,0.0,,,,-0.4989155881726351,-0.2795777879761358,,0.3778766249439674,0.6829585733274258,,,0.508860212398123,,,,0.0971197797857365,,0.3179532083732385,0.421173104434907,,0.4079242485383684,0.3113033060804136,,,0.6316521739130435,,,,,,0.9987536352305776,-0.0096644915147083,,,,,0.5979936772575546,0.3387786259541985,,30.8455,-0.0683081810961081
2023-03-31,1.2308795958533398,,,,-0.0243167578142449,0.5236198618957605,,,3.506391131123436,1.0098442154473284,831813000.0,,,-1.1819713954817483,-0.4032866663168389,,,,0.2750084397122154,,,,-0.9614224586614728,,-0.3144467129567793,4.480115958754955,4.511010059253135,,,,,,,,,-0.98142446988827,,,,,,,-0.3360328785807436,,0.5893535728306637,,,0.7859690844233056,-0.0104343904389003,,,,,1.2308795958533398,-0.2138336876533965,,,,,,0.8953884895860658,,,,,-1.3110979272498051,,1.9107484997209447,11.83360667529852,-0.614742943993779,0.6407513627133136,,,,-4.275696723402085,,,0.734815970867473,-0.1546057117918223,-0.0593847710134265,0.0,,,,-0.383217053496486,-0.0372648003671408,,0.2707630771352712,0.7504522965588539,,,0.7330204988886144,,,,0.1476563084530887,,0.4769024490354357,0.6586061720825669,,0.6804868664308036,0.4639126505391034,,,0.8973913043478261,,,,,,1.157457415870378,0.0701692660373935,,,,,0.7194857031843309,0.6013358778625955,,34.3683,-0.1058504493966823
2022-12-31,1.2768063167003172,1.7218794911647122,,,-0.0228362743962973,0.542597919103229,,,3.6551595799852334,1.0654488961103747,831813000.0,,0.229264596616774,-0.4191349649021146,-0.1893162617410925,,-0.0906122018413151,,0.0133045805495119,0.0,,,-0.9618022324291718,,-0.1209171158801358,4.678519007023016,4.706214689265536,0.0008056156611085,0.7924225724256779,,,-2.833138173302108,,,,-1.072607146563354,,,,,,,-0.3490251242296144,,-0.1818643489763274,,0.0,1.2687277051129608,-0.7898362067198295,,,,,1.2768063167003172,-0.1271062383369285,,-0.5227873122609965,,,,0.6302576465033314,0.0716536739094377,,-0.0161466288457342,,-1.10204308650673,,-0.7722970523759932,12.476286385651944,10.952485728929185,0.5686433431899961,,1.4009763783958693,-1.101557632398754,-4.028328033871214,,,-0.291195213941995,5.308311284471237,0.8678729078535957,22.573317634272257,,,,-0.3206087141774477,0.4862781092244149,0.8153850596286564,-7.257142857142857,-0.474551395657953,,,0.5942825388984935,,0.0071011100412806,-0.7468435426008969,0.1045934231520776,-1.789957098765432,-1.179744993843207,-1.8138600940118537,-0.0892959975560867,0.5117915896357886,-1.1266572647596629,-0.3418309826132665,0.0303162217659137,0.3151304347826087,,,,,,0.8097216452014956,0.0207583162454714,0.0054908998365055,4.0,31.99628093044162,,0.6548983592659967,0.4617557251908397,,30.6103,0.0968464176829268
2022-09-30,1.0967197017255128,0.0017218511057251,,-2.55288814820284,1.5026560273634175,0.0931263600650732,,0.5933730324809184,0.6542138756185212,-0.0562044440643662,285773000.0,0.0,0.0002160160177084,-0.8491462601337145,-0.3999317835965786,,-0.0261166579795549,,0.2709051350674856,0.0,,,-0.5473859286955686,,-0.3134508589735152,0.0596784571806726,0.0830370676588121,0.0,4.222058744918557,,,-0.2336261709601873,,,,-1.376699297796534,,,,,,,-0.0465644939098661,,0.2389782386199564,,0.0,498.7039239001189,17.15809434000943,,,,,1.0967197017255128,-0.2125047353824136,,-0.8269663963348174,,,,0.2091180945385866,0.4232874440205673,-0.0172966047405509,0.3307876936504473,,-1.0392673069079312,-0.1099809281627463,-0.8142530825484319,-0.7211048769961157,11.544615874025768,0.5101624568028786,,,-0.1109034267912772,0.8474945163319787,,,-0.1410456496293406,-0.1778456670576362,-0.1157347802096744,0.0,,,,-0.5462501935410267,0.0703074804956402,,0.3672287162511637,0.6151140894993354,,,0.3478327982217831,,,,0.0608164422938057,,0.2037706936653441,0.2506110770488453,,0.2121266153023207,0.2016751087664726,,,-0.0459130434782608,,,,,,0.5941005400914001,-0.0670137380911804,,,,,0.5230744776672965,0.1768702290076335,,31.8163,-0.0784377818916718
2022-06-30,-0.0219114253719947,,,,-0.0260999016353689,-0.0035189206737929,,,-0.0555097956668436,-0.3214754635766308,158117000.0,0.0454111810723144,,-1.181975640700352,-0.4032901258855014,,,,0.2750126710566006,0.0,,,-0.4526148339023584,,-0.3144477398854442,-0.930376659865768,-0.9110376188507648,1.2451974908095984,,,,,,,,-0.979072261233526,,,,,,,0.01826837735333,,0.1605039038061224,,0.0,0.2045184304399524,-0.0304831799266107,,,,,-0.0219114253719947,-0.2138350580743661,,,,,,0.121819421856146,0.3839221540332835,-0.0172966047405509,0.3307876936504473,,-1.7825280878045162,-0.2968849332485696,-1.0449191891876342,-0.7211048769961157,-0.614742943993779,0.8703997292386618,,,-0.1109034267912772,1.4812535069969903,,,6.239042788399011,-0.2290899502650409,-0.0444638587456317,0.0,,,,0.0669064053057598,0.0163377696190913,,0.6029447260439296,0.9884525919361984,,,0.7014077550012349,,,,0.1405292728718508,,0.4544862498289779,0.6251216022889843,,0.6420480672678985,0.4423905504529309,,,-0.304695652173913,,,,,,0.4395513086830079,0.0589105182432395,,,,,0.7319192525741333,0.628206106870229,,37.1393,-0.0336139884165828
2022-03-31,0.245244023481905,,,,-0.0251299297408515,0.1087480457263199,,,0.6654342003306914,-0.0520106611935405,94353000.0,0.1469185269986643,,0.0804767366716664,,,,,,0.0,,,-0.3349757150690113,,2.159427135517933,0.2234129519334473,0.2437187083735244,1.3524652527456245,,,,,,,,-0.5849043550451416,,,,,,,-0.057286500429381,,0.2519562590761655,,0.0,0.5208085612366231,-0.0195772944384084,,,,,0.245244023481905,3.087514024266984,,,,,,0.1429620691464246,0.3839221540332835,-0.0172966047405509,0.3307876936504473,,-3.1338203122103154,-1.4157660521296884,-1.464283864879949,12.476286385651944,-0.614742943993779,1.5163970928782642,,,0.0,2.763190559589193,,,0.4585121602288984,-0.1835192711600883,0.4904588927717491,0.0,,,,0.0196742457138666,-0.3067462138595686,,1.136940105513603,1.657943804460198,,,1.287817979748086,,,,0.2727343909046776,,0.8703023669448625,1.246253832004905,,1.355080284161826,0.8416213035162572,,,0.5356521739130434,,,,,,0.9414208558371416,0.2677580908506182,,,,,1.0460606488758588,1.3070992366412213,,41.0823,-0.0963431940275982
2021-12-31,0.320601596565941,0.2360111211822436,,-2.466435319473597,-0.0209510282704872,0.1394591133123716,,,0.8246114985448355,0.0074844999358618,,0.5842396489219615,1.0560617235466276,-2.20395166181393,6.343312168756888,,,,-7.976651199209298,0.0,,,-0.3318544017533651,,1.6881947751700053,0.5488668603892313,0.5596068164071472,0.522023372615541,,,,,,,,-0.4394825140959563,,,,,,,-0.078598557693389,,0.2777525794414608,,0.0,1.8834720570749108,0.0274082122137717,,,,,0.320601596565941,2.458661475630904,,6.968262178788494,,,,0.1052584859136456,0.3839221540332835,-0.0172966047405509,-0.3726816495745145,,-1.650784233749861,2.090909090909091,-0.7183618045926088,13.074013331415143,11.544615874025768,0.8039385086750508,,0.4934509489441326,-2.119626168224299,1.39973814422472,,,0.9026531408505656,-0.1870470890955875,0.8401002391024462,22.4367358029164,,,,0.1183015887244453,0.7058283616337769,0.9465584784345432,-1.1247474225026723,-0.2237391079604194,,,2.5146023709557914,,6.149031065661764,1.464708520179372,-9.469429088953964,1.7385802469135805,-1.1684520892050896,2.545677498467198,0.0945194173196274,2.846760949333233,1.6768217070556335,12.708013133126466,1.6819530002281542,0.8862608695652174,,,,,,1.1508101371001247,0.704672270385865,5.801431347749638,3400.602409638554,-155.05697269356108,,1.7390014305646315,2.804618320610687,,41.4896,-0.0640859396089623
2021-09-30,0.1645567875260863,,,,-0.0268292038116978,0.0751852233911767,,,0.4486665568429338,-0.1330311711634668,,-0.0309101316542644,,0.0502355624127123,,,,,,0.0,,,-0.3646568629619151,,,-0.1250586777862502,-0.1015019980708281,,,,,,,,,0.690480369435124,,,,,,,-0.0344671483352354,,0.2243354944612362,,0.0,-0.0332936979785969,-0.0386830938275148,,,,,0.1645567875260863,,,,,,,0.1538744032317297,0.3839221540332835,-0.0172966047405509,-0.3726816495745145,,-1.721791686751455,-0.2396694214876033,-1.0260700456268952,-0.7211048769961157,8.874909425092342,0.8380508746303752,,,-2.119626168224299,1.501385795174372,,,-0.0815450643776824,-0.1479865070056281,-0.1246551407025933,0.0,,,,-0.0646851946062298,0.0328591096833409,,-0.0148546601841315,0.9549272633289028,,,1.336224993825636,,,,0.2836476641384482,,0.904627171979751,1.2975270795013285,,1.4139396953800245,0.8745770192732087,,,-0.2852173913043478,,,,,,0.4511840465309514,0.2849980484104165,,,,,1.0945938785962803,1.4119847328244275,,41.459,0.0269664005402926
2021-06-30,0.2807235022650537,,,,-0.0259649807327481,0.1238936946568226,,,0.7845624439441363,-0.0074844999358618,,0.0595306239267315,,0.0937742686516386,,,,,,0.0,,,-0.3650526619624542,,,0.3764949955004156,0.3995039272426622,,,,,,,,,0.6905846276246151,,0.3870180646772961,,,,,-0.0673109407382115,,0.2641015546798755,,0.0,0.248513674197384,-0.0289661958549435,,,,,0.2807235022650537,,,,,,,0.1936414668695241,0.0942113119920384,-0.0172966047405509,0.0449487235435304,,-1.1362675664652009,-8.738080101716465,-0.8443564766600883,-0.7211048769961157,-0.614742943993779,0.5832680180982579,,,-2.119626168224299,1.1849483940079235,,,-0.0815450643776824,0.087904494330942,-0.3513426521979033,0.0,,,,-0.134325039494011,-2.421110601193208,,-0.2868452811972001,0.6908783783783784,,,1.3821005186465791,,,,0.293990217726065,,0.9371569298125598,1.3461189454322502,,1.4697209996340057,0.9058092856091974,,,-0.8104347826086956,,,,,,0.1375155795596177,0.3013364265570111,,,-43.78050028093044,,1.134172833401035,1.4975190839694656,,38.2354,0.1135492240175334
