,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,commonStock,capitalStock,retainedEarnings,otherLiab,goodWill,otherAssets,cash,cashAndEquivalents,totalCurrentLiabilities,currentDeferredRevenue,netDebt,shortTermDebt,shortLongTermDebt,shortLongTermDebtTotal,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,noncontrollingInterestInConsolidatedEntity,temporaryEquityRedeemableNoncontrollingInterests,accumulatedOtherComprehensiveIncome,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,nonCurrrentAssetsOther,deferredLongTermAssetCharges,nonCurrentAssetsTotal,capitalLeaseObligations,longTermDebtTotal,nonCurrentLiabilitiesOther,nonCurrentLiabilitiesTotal,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurpluse,liabilitiesAndStockholdersEquity,cashAndShortTermInvestments,propertyPlantAndEquipmentGross,propertyPlantAndEquipmentNet,accumulatedDepreciation,netWorkingCapital,netInvestedCapital,commonStockSharesOutstanding,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,beginPeriodCashFlow,endPeriodCashFlow,totalCashFromOperatingActivities,issuanceOfCapitalStock,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,salePurchaseOfStock,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeReceivables,cashFlowsOtherOperating,exchangeRateChanges,cashAndCashEquivalentsChanges,changeInWorkingCapital,stockBasedCompensation,otherNonCashItems,freeCashFlow,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,sellingAndMarketingExpenses,grossProfit,reconciledDepreciation,ebit,ebitda,depreciationAndAmortization,nonOperatingIncomeNetOther,operatingIncome,otherOperatingExpenses,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,adjusted_close,10%DDret
2023-07-31,2.304385585866385,1.703582355633718,,0.5405454054540545,2.677624012928288,1.8430710438539843,,1.6813030763281,0.4450704225352113,0.0,1.4725644114732812,,1.2286811521824423,-0.3670787627660204,1.4561115749152875,1.0557768924302788,2.324088400697461,-0.6175025793436918,4.8550508210625845,1.3234360903639968,-0.1712191872085276,3.8820127797447657,3.129427764596888,2.628755200098245,1.7911474606315487,0.1257305497602829,,,1.990270329341559,1.8326172239865497,0.9541527262031692,1.8844450199764624,,,,0.2721413225113392,,,,,,,0.4956292819420192,,2.5923604313056487,-0.8394160583941606,1.4437270126685735,-2.616443475814342,2.861425933884803,,,,0.8473625140291807,2.304385585866385,1.482812149042901,,3.5888340387696696,,0.5156079458633486,-1.1269420691316392,0.6930003701930484,-2.234833266372037,,-2.5315618363933625,,-3.618634484548505,,2.359960728311317,0.8983058468517529,1.374563847082648,3.179258177019512,,2.2937482158150155,0.7515605493133583,-3.228469288267793,,,-2.159294924106414,-0.0211150615597199,,0.9582804568527918,,,,,2.566786842925179,1.6922438822065533,-22.82877526753865,3.229869837859445,,,5.503149880706646,,0.8512257767234686,,2.0463221999069434,1.2339735951575237,4.8388883274381005,3.60008746036952,1.9733352345643804,,4.468024721324944,1.4222869643623453,5.667582020523197,0.6060606060606061,1.7219730941704037,-1.8035714285714288,,,,2.295946941783346,1.3898062994477676,1.5189621212371789,1.4049778661345769,1.5359019264448337,,3.438470953770832,4.63621515378014,,46.0214,-0.1637868469885749
2023-04-30,2.28336084212316,1.8585688244316487,,0.4939567042729251,2.717738028535833,1.7401436722302484,2.2584615384615385,1.7496844957288205,0.4450704225352113,0.0,1.3249543248429545,,1.227765447064848,-0.367187461785501,0.9355595933801504,0.0,2.1520976137561827,,5.194321389340786,1.3455299771082785,-0.1712191872085276,4.077375764169828,3.239889894199848,0.9831447738053206,1.7374611024167388,-0.0607927932906862,3.970172198119605,14400000.0,1.9345544837371536,1.9443302820848123,1.301224309717269,1.5736577302625314,,,,-0.122543168616217,,0.4472573839662447,,2.4018632331615324,,,0.3717433211049346,,2.5916342969589947,-0.6496350364963503,1.5414793624846752,-2.288900926777443,3.0339815436322635,,,,0.8888888888888888,2.28336084212316,0.9537248246774316,,3.672189754656343,,0.6500764025321982,-1.0549199084668193,0.6972350195678912,-0.9089995982322218,,0.1219250934921917,-0.0619669670457706,-1.1048699553232115,,-1.4868796858264903,1.4558625892415529,1.0855382626139702,0.2784192666603827,,2.331810828813398,-0.3096129837702871,-3.244718882027949,,,-0.7510084170766397,1.9109130711546525,-1.000688547165481,0.7996510152284264,,,,-0.9247524752475248,-2.2625183602617174,1.73372044794691,-3.74435196195006,0.1794288855022859,,,2.983245315390183,,1.7437857855978702,,2.121709886977366,1.2625708974786711,2.9187266296109144,2.3291789657811304,2.115927563097105,-0.5,2.742760050040144,1.4245864089602458,5.7253938430409015,0.5367965367965368,1.8654708520179373,-1.8392857142857144,,,,2.178039793662491,1.3459491962094363,1.5206159268091806,1.3433392535637108,-17.37828371278459,,1.698521796441013,2.0782880713119067,,41.2626,0.05210241954428
2023-01-31,2.2749169423448823,2.013555293229581,,0.3711319466135838,2.749070866597448,1.678493771762215,2.473846153846154,1.4855802581322604,0.4450704225352113,0.0,1.2591927054100422,,1.2260044756848594,-0.2006605639413829,1.2636055591022934,0.6653386454183267,2.580277662439843,0.0,5.141298775937745,4.971382279475393,0.8281145902731513,4.084589166671676,3.188816006318909,1.0092412078043689,1.683033219917194,-0.0442129405750445,3.7993929004234337,15600000.0,1.8603861233505825,1.66579488137493,1.2100444869296665,1.6978202994374598,,,,-0.1384578658391024,,0.4472573839662447,,2.168331313993709,,,0.3055284110023549,,2.611512224698643,-0.5948905109489051,1.2977523498161014,2.008625287124638,2.816033506693773,,,,0.8698092031425365,2.2749169423448823,1.287149666824727,,3.729612581156051,,-0.2383759004584152,1.037697217873058,0.7014696689427342,-1.200281237444757,,-0.088549790464736,1.4390538320641135,3.700202065142836,,1.3246162084969653,0.9342772495865788,1.1882184044646846,-2.0050193232161373,,2.3222951755638026,0.3146067415730337,-3.2122196945076373,,-0.7971747240053779,-0.8162932220382849,1.583008585756649,-3.7352044329322274,1.418305837563452,,,,0.5603960396039604,-6.806961321048649,1.4019079220240565,-1.6040428061831151,-2.338871261898219,,,1.932391496662467,,1.641388843853197,,1.8001342843175945,2.311138649254087,2.0576856998484083,1.7579534273532305,2.172964494510196,0.125,1.9473458184737755,1.457468466710222,5.34961699667582,0.0,1.5426008968609866,-1.6071428571428572,,,,1.264259395725866,1.3531925639388442,1.5442653464888054,1.385487395756437,-15.889667250437828,,1.1938612183410224,1.336378484621986,,46.172,-0.0677878367841982
2022-10-31,2.247091742404386,2.1613144137415983,,0.2504248571897484,2.719334606271457,1.6527952171394713,,1.6110981524100272,0.4450704225352113,0.0,1.2183568610847662,,1.2216372666624873,-0.367187461785501,0.970917841182537,0.0717131474103585,2.777682013421699,0.0,4.772365207154345,4.971382279475393,0.8281145902731513,3.740750314083568,3.217916244762699,2.7408163578588645,1.5419953009606076,-0.0594111388977161,3.701246871107189,14500000.0,1.7672277962949858,1.4470390435269942,0.8791499687488511,1.9689974443839289,,,,-0.1734701997294501,,0.4472573839662447,,2.023315525478207,,,1.7045853825246036,,2.6532649496312373,-0.4963503649635036,1.1063342868818962,-2.021827771408895,2.644282727215657,,,,0.8805836139169473,2.247091742404386,0.9896628316154632,,3.7240555334302727,,-0.9893036454922506,-1.1948693243406,0.7057043183175772,-14.830253113700282,,-10.289064702234416,0.944661666762886,1.6610125502845596,,0.8069439485897894,0.7524218246494038,0.9048972723210466,2.4251814497125084,,2.2747169093158246,-84.82896379525593,-2.968475788105297,,-2.554450945861501,-1.7769124950453496,3.018832771817604,2.09121610544608,1.2914022842639594,,10.045141128032144,,0.4316831683168317,0.5371433658254329,1.0700953961012027,-4.219976218787158,2.377944887201139,,,2.5221563949280217,,1.7966908721659514,,1.994493165046028,1.2339735951575237,2.368954017180394,1.9465398491308623,2.058890631684015,-0.625,2.2348899303545755,1.4713801065275196,4.251192368839428,0.0606060606060606,0.9506726457399104,-0.9285714285714286,0.0,,,1.367428150331614,1.372838958602169,1.554270870199416,1.389507305271929,-13.0,,1.5855380849260898,1.9121889101126703,,43.5951,-0.012684911836422
2022-07-31,2.099011808708834,2.1854055746946446,,0.568075092515631,2.495514364958711,1.6035285580181489,1.523076923076923,1.690116681495304,0.4450704225352113,0.0,1.1550701413079314,0.7237534309240622,1.0873808086521457,-0.2184872031361841,0.792162255070471,-0.2908366533864542,2.573603393095853,,4.527274665480147,4.968927403170473,0.8281145902731513,3.5147303690256497,3.3123435491007136,0.8158205793408347,1.510109756717005,-0.0552661757188056,3.597373487295036,14800000.0,1.7027335698718804,1.3030076592564916,1.005625206809074,1.849405276528323,,,,-0.7177528447521286,,0.4472573839662447,,1.7985724419779905,,,0.5447564733084493,,2.4356061792217565,-0.4270072992700729,0.980302411115652,1.7877440296971912,2.411203881213491,,,,0.9162738496071828,2.099011808708834,0.8079762409843021,,3.5610488001407785,,-0.7360838244924689,0.7358785980970733,0.718408266442106,-1.732623543591804,-1.5533259643454356,-0.4869486779546351,0.5447393419650777,-0.1260589881912389,-0.5919540229885057,1.3335415922884684,0.4526601351925219,0.7318622184615092,0.6271797530398718,,2.017794271576744,-0.3720349563046192,1.2076698082547936,,-2.281770152814861,-2.541677353167479,1.6842366749988356,-0.6728089445555592,2.100412436548224,,,,0.7188118811881188,-2.2358125250367205,1.6922438822065533,-195.42092746730083,0.3443175856296999,,,3.304935259898668,,1.7779180995127613,,2.0769484477793028,2.0061007578285115,2.7570288024254674,2.433038154586203,3.22814772565236,-0.25,2.5933864854267417,1.4032015741997717,2.8348027171556582,0.6320346320346321,0.0358744394618834,-0.0535714285714285,,,,2.340162122328666,1.3235245235129145,1.5052355349895643,1.3204379508693969,-8.621716287215412,,1.8830618585820544,2.349583367937325,,43.3439,0.0048092284559722
2022-04-30,2.08694099895868,2.3299525404129224,,0.5151333866279839,2.484837251351728,1.5894143259455538,1.5446153846153847,1.822928593842481,0.4450704225352113,0.0,1.077817916328946,0.7434097666971637,1.085408520706558,-0.367187461785501,0.4975101900505819,-0.8884462151394422,2.591572579791211,,4.496499302456003,4.964017650560632,0.8281145902731513,3.4447002530702044,3.460814153405768,0.6884085780513639,1.4633937267787036,-0.0414496317891042,3.5226575445529607,15800000.0,1.6642161846469703,1.260788342985242,1.1159233795360124,1.5713725296028702,,,,-0.4599347497413861,,0.4472573839662447,,1.524235214353424,,,0.5735919986757018,,2.444773625348261,-0.4525547445255474,0.943359215365754,1.8221779899805568,2.382712889678696,,,,0.9723905723905724,2.08694099895868,0.5084928498340363,1.3907196437883589,3.3850756221578018,,-0.9041693953285308,0.6958930507045646,0.7311122145666349,-6.282643631980715,-7.607232945044355,-3.8921316219720734,1.7466056461474675,4.245221808204957,-0.4655172413793103,0.200017850767583,0.4066966761424667,0.4466396022095245,-1.368767084550853,,2.02730992482634,-33.58052434456929,1.2564185895352615,,-1.6057490200534,-2.4297605446618014,1.5277368069679702,-3.187645496573658,0.8155139593908629,,,,0.1198019801980198,-6.726843815373659,1.9825798423890504,-3.684898929845422,-1.56939066130362,,,2.74197785700882,,1.7471990169893592,,1.8943688931556224,2.015633191935561,2.2032137443153106,1.7907510659232535,1.830742906031656,-0.5,2.081782026625838,1.3457154592522609,1.880907645613528,0.4155844155844156,-0.5201793721973094,0.5357142857142857,,,,1.9717022844509948,1.2604179224731438,1.463890395689521,1.261844724295115,-5.8196147110332745,,1.5817719612089256,1.9066522714060288,,46.8824,-0.092465296746691
2022-01-31,2.040811237753866,2.392589558890843,,0.5087803819214662,2.4179805586724856,1.570240274828066,0.5107692307692308,-0.6266458078011042,0.4450704225352113,0.0,1.0148847536458363,0.5632862534309241,1.0465967114916062,-0.3674048598244619,0.4523302067475322,-0.9800796812749004,2.5584579357383377,13.153882874697793,3.929194417794093,1.3062519562295556,-0.1718854097268487,2.9779329995130954,3.583153931353132,0.7498119521667715,1.417864135695978,-0.0483579037539549,3.464863331003341,15300000.0,1.6321482220643706,1.233327106295535,0.965917864627376,1.5576613256449026,,,,-0.4408371130739237,,0.4472573839662447,,1.3007476788057228,,,0.7668968168783942,,2.3989363947157387,-0.1058394160583941,0.9193297915815284,1.7726266812801037,2.295630254535621,,,,1.0186307519640854,2.040811237753866,0.4625720631909955,1.4709474908740825,3.622176325124339,,-0.9818816852215674,0.4800674455016259,0.7649894095653784,-0.2460827641623141,-3.089476518436641,-0.0810328303234172,1.473692773582034,3.481452644458039,-5.086206896551724,-1.4511781506604784,0.730439300755899,0.4029054677175535,-2.5399425016495427,,2.055856884575126,-2.244694132334582,1.2564185895352615,-41.72866949983655,-1.5413660550284989,-0.8722516262911236,-0.0720396217919855,-5.709039640643955,0.7520621827411168,,,,-0.8504950495049505,-9.44638803578582,2.065532973869764,-1.2473246135552911,-2.801059284982637,,,4.484465056429777,,1.6840542362468107,,2.213588630594444,2.0442304942567087,3.476584133400708,2.911337050399038,3.1853700270925422,-0.625,3.239427152379708,1.3543383764943877,1.418413065471889,0.8744588744588745,-0.7892376681614349,0.8214285714285714,,,,2.752837140751658,1.2985200212141372,1.4700921665845277,1.275609868999676,0.9229422066549912,,2.606157612277564,3.4126179996124355,,40.2863,0.1540945681286194
2021-10-31,2.001878626024496,2.5331213311169467,,0.4304266572077485,2.395329112048324,1.508989833758314,,2.1769923876284336,0.4450704225352113,0.0,0.9054588331378456,0.8449079368709973,1.040820725365243,-0.3674048598244619,0.7705544369690124,-0.3346613545816733,2.604664415812114,-1.214986371825867,3.438271759433066,1.3234360903639968,-0.1718854097268487,2.6286840950486003,3.665703587346741,2.70704450209539,1.3047075298454256,-0.0967158075079099,-2.5030400537329984,11800000.0,1.4718084091513723,1.0108350457687278,0.9762123607485568,1.7701849869933997,,,,-0.3739953847378053,,0.4472573839662447,,0.9121555875022757,,,1.092631455286246,,2.40583467100895,0.0,0.7246424192889253,-1.9386823551149128,2.2301170706109787,,,,1.0498316498316498,2.001878626024496,0.7860141256332825,,3.683303850107899,,-1.3935821872953504,0.2813440924966879,0.7734587083150644,-72.14242667738047,3.395232831675311,-53.180839268599776,2.5506489553210137,8.331016072520994,-0.1781609195402299,-39.50901463762942,9.575407550996957,0.710945893269697,0.9759402394193608,,1.6752307545913028,1.0012484394506866,1.2076698082547936,31.23635174893756,-2.1889829385142683,-0.387278789433188,2.0276669409554566,-0.2268926850060657,0.9741434010152284,,0.3174760652810159,,-21.96435643564357,-0.4064628121244492,1.650767316466197,-1.187871581450654,0.8914482724161191,,,1.803715518859073,,2.1584933996637967,,4.5635641884927765,1.662933129974739,1.447276402223345,1.1347982945227943,1.0750035648082132,-0.25,1.3610545773661706,1.135661195234056,1.360601242954184,0.1645021645021645,-0.8609865470852018,0.8571428571428571,0.0,,,1.544288872512896,1.059885783005571,1.312815256687163,0.73962193360084,1.0980735551663747,,1.0319178985029658,1.1038396589430557,,42.1376,0.0169389719380431
2021-07-31,1.6965381427670774,0.7897243168148274,,0.2991312266063837,1.8865197449267488,1.470508578390578,,-0.6260379729619868,0.4450704225352113,0.0,0.8679817812029603,0.475368824336688,0.6510121006909347,-0.367187461785501,9.46475470215587,17.298804780876495,2.1418295070731213,11.196661482314171,0.9606696422364048,1.3381653481935178,-0.1718854097268487,1.950624259874848,3.6223501708896655,2.7515619483290608,1.5999825000268804,-0.1063873882587009,-0.5724009200213995,11000000.0,1.0482963223063135,0.5830375490379227,0.9629765800213244,1.2781051116130089,,,,-0.3867271425161136,,0.4472573839662447,,0.779067504535667,,,1.007192861605498,,1.735884969427475,0.1240875912408759,0.3503064977523498,-2.1436064114354343,1.6995729570590858,,,,1.0334455667789002,1.6965381427670774,9.622770720507123,4.086375305868667,3.7370219781237553,,0.2628247107618424,-1.932674936769842,0.7311122145666349,-0.7282040980313379,7.091063685060794,0.2647473361772499,0.2182935597810399,-0.2447027417829931,-0.7988505747126436,6.215726526240628,8.18251490065398,9.126914556811592,1.7300169667263643,,1.503948996098582,-0.1223470661672908,1.2076698082547936,,-0.6835577269026113,-0.3592995873067686,0.1291744942476983,2.724023738483229,0.5617068527918782,,-2.063594424326604,,3.372277227722772,4.142431121199982,2.024056408129407,3.390011890606421,1.7558647912658956,,,-1.7080663753585503,,3.402616241861576,,1.9591551867317671,0.4141842619512892,-1.1883981808994442,-0.710068875040997,0.7470412091829459,-0.625,-1.0700001867169555,1.035060494075912,1.4473189767307415,-1.3593073593073592,-0.7713004484304933,0.8035714285714286,0.0,,,-1.0496683861459102,0.90846963019631,1.240461262912087,0.8230655099072497,0.9229422066549912,,-0.7720553620186423,-1.5537469202447194,,44.5457,-0.0262337508215875
2021-04-30,1.6368074691677232,0.8748464188489243,,0.3944262972041485,1.7618868954396252,1.4964734392788426,,-0.6260379729619868,0.4450704225352113,0.0,0.9150048746684296,0.4907365050320219,0.6510121006909347,-0.3674048598244619,8.095604773363453,,2.036324710904665,9.260998783473722,1.17795112093698,3.461633351949479,0.3984010659560293,1.9172622733037985,3.583747813770352,0.9555132554533872,1.4497496799395806,-0.0884258811500891,0.019078598828756,,0.9818314389647244,0.3969736596301139,0.9776830030515828,1.2636321741018208,,,,-0.4090077186281531,,0.4472573839662447,,0.9460553822201856,,,0.964473564765124,,1.7323450644875376,0.22992700729927,0.1874948917041275,1.9884688225685208,1.564683403916948,,,,1.018855218855219,1.6368074691677232,8.23117122962889,4.385224036262987,4.0130220151707405,,0.0,-0.0227628567987474,0.7438161626911637,-0.7683808758537566,2.5846441629113173,0.2346794956119745,-0.3674194513401596,-2.117049478152865,0.0862068965517241,5.1179043198857554,7.035426835665646,7.801580133294036,2.632552549721934,,1.5134646493481778,-0.4344569288389513,1.1914202144946375,,0.9525270313772274,-0.1541187717130266,0.0757658091260538,2.9600970523623724,0.5458439086294417,,0.1587380326405079,,2.7485148514851487,3.7329416477500335,2.314392368311904,-2.258026159334126,2.71521722837085,,,1.4016030882234674,,1.834236417472332,,1.5810388187691782,1.500881750154902,1.216856998484083,1.2277249371378594,2.3725937544560103,-1.0,1.1594002651380773,0.9138797637665592,1.880907645613528,-0.2164502164502164,-0.4484304932735426,0.5357142857142857,,,,0.8957995578481945,0.8631241637259089,1.1533057092675956,0.8064986100858311,0.660245183887916,,0.9151680632708784,0.9266672203305372,,49.0371,-0.0737217331367475
