,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,commonStock,capitalStock,retainedEarnings,otherLiab,goodWill,otherAssets,cash,cashAndEquivalents,totalCurrentLiabilities,currentDeferredRevenue,netDebt,shortTermDebt,shortLongTermDebt,shortLongTermDebtTotal,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,noncontrollingInterestInConsolidatedEntity,temporaryEquityRedeemableNoncontrollingInterests,accumulatedOtherComprehensiveIncome,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,nonCurrrentAssetsOther,deferredLongTermAssetCharges,nonCurrentAssetsTotal,capitalLeaseObligations,longTermDebtTotal,nonCurrentLiabilitiesOther,nonCurrentLiabilitiesTotal,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurpluse,liabilitiesAndStockholdersEquity,cashAndShortTermInvestments,propertyPlantAndEquipmentGross,propertyPlantAndEquipmentNet,accumulatedDepreciation,netWorkingCapital,netInvestedCapital,commonStockSharesOutstanding,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,beginPeriodCashFlow,endPeriodCashFlow,totalCashFromOperatingActivities,issuanceOfCapitalStock,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,salePurchaseOfStock,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeReceivables,cashFlowsOtherOperating,exchangeRateChanges,cashAndCashEquivalentsChanges,changeInWorkingCapital,stockBasedCompensation,otherNonCashItems,freeCashFlow,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,sellingAndMarketingExpenses,grossProfit,reconciledDepreciation,ebit,ebitda,depreciationAndAmortization,nonOperatingIncomeNetOther,operatingIncome,otherOperatingExpenses,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,adjusted_close,10%DDret
2023-09-30,4.965892837487338,0.714773277950848,,,5.101753315618609,4.619878034466849,,0.0001643311700236,2.51948338303631,0.0031672116553388,1.0728371041373943,,-0.7889908256880734,0.3528724052099805,6.582265736749996,,1.5747945248971136,,3.4077819411619754,0.0163583835375606,-0.174156689421799,3.71620260556809,6.093204615435072,,0.0822450340871173,-0.1479262503220108,,,13.71881956702374,0.1357558769853569,,,,,,-13.213956746386406,,,,,,,-0.878385630192241,,-0.7192523270056751,,,,-1.087579642579643,,,,,4.965892837487338,7.4893374769574095,,,,,0.208480365723368,2.289638852705156,2.261814538704069,,,,-1.7399126854226024,,1.4534433054059517,4.473951649522145,4.583446148322291,1.9830607851146096,-0.2497491983974366,1.2249442022178814,,6.315349700673737,,,11.685660818421844,-0.1468458633455031,,0.0,,,,,-16.166866189667097,0.6734956310407175,7.741460431191117,0.9282847887057863,,,0.8747431864953118,0.0002053325627024,1.4248292906482465,0.4834307982180286,0.4818306714505018,1.226010181430798,5.25136211756729,4.407101158086122,0.0490348914904419,,-0.0258794996517072,-0.2255315846025006,7.595301170679906,-0.4722633136094674,0.8586944788128908,0.5011829762755268,,,,-0.2920086451073426,0.1703349057526207,-1.1870232558139535,-0.4474408171269434,0.019884817336967,,0.2253876574045166,,,17.1467,-0.0947550379838967
2023-06-30,5.058312388909312,0.7300519210799584,,,5.261860886003749,4.477829946300008,,-0.0001643311700236,2.420261174901192,0.0022427282532399,1.0881514515178785,,-0.7173088685015291,0.355526989316789,6.193316365732298,,1.708610971107151,,3.467337123683708,0.0509952599429845,-0.1308052265520639,3.750520094483473,5.879760343437167,,0.0767709435064361,0.1479262503220108,,,4.531159254991698,0.1448783864061591,,,,,,-13.213956746386406,,,,,,,-0.8837913731537935,,-0.7187033227039308,,,,-1.088250777000777,,,,,5.058312388909312,7.048131492294313,,,,,0.2067898164186607,2.219352829679124,1.140819754250523,,,,-2.6987588330447667,,-4.985301200998409,5.370435459969184,4.321707424424795,6.2252601203492,-0.7380305068866163,1.2105146981887938,,5.990420066655076,,,-0.1370443518675474,9.430899666580585,,0.0,,,,,4.503747818339121,0.7283035321627592,-0.1081690928135821,3.111851029462799,,,0.8574959493244814,-7.604909729721509e-05,1.4901157308787605,0.5113235084582073,0.5167060200537081,1.211568120461305,4.881468750088599,4.352977267318269,1.226782989132921,,-0.0258821671326157,-0.2253930909240975,7.523084027810913,-0.5167899408284023,0.855197398779818,0.5243414765399568,,,,-0.0071307994077053,2.6827699879715388,-1.1923255813953488,-0.4470965660339444,0.018534012164095,,0.1357321261317514,,,17.5004,-0.0369591552193092
2023-03-31,5.214411446655301,0.7454482519903081,,,5.468209686231418,4.473972010138786,,-0.0405544621734035,2.4331233129927807,0.0023625686942527,1.0889115797090263,,-0.645565749235474,0.3544139392893024,5.62249803305801,,18.153646298405544,,5.236310064506664,4.307607001226377,5.196763682757255,5.426900040725579,4.259035836500271,,0.0687372211481852,0.2513524454421668,,,7.176216499283135,0.2261259122886452,,,,,,,,,,,,,-0.9281774804848896,,-0.423901128810977,,,,2.184028749028749,,,,,5.214411446655301,6.400621859170757,,,,,0.875332520317451,2.2039943304830616,4.840333559242125,,,,-2.458403903232181,,4.804800311216737,4.492692929045252,5.189515267346578,-2.766093257980802,-0.2604272504229937,1.2141405735602055,,5.778250418287689,,,-0.0377428768133007,6.99295309991654,,0.0,,,,,-6.052110328095534,1.744877479001723,-6.690448074392482,-1.516223736512856,,,0.9859760221667042,-0.0058481755821558,1.537513686486114,0.6448743192395239,0.5184433505659763,0.0734596542141045,1.2136637538017088,1.0462228712699766,0.0743821603222252,,-0.0136257592284859,-0.2252824758432951,7.238508465331687,-0.1505177514792899,0.8182336898820743,0.5249352842390447,,,,0.0547047003689495,2.826353277728657,-1.1914883720930232,-0.4468466397404271,0.0008561441236512,,0.5995681132271828,,,16.3285,0.0321584958814344
2022-12-31,5.377820312412936,0.7789338871581862,,,5.723934658365842,4.3259092558314025,,-0.0430359414681146,2.330226208260065,0.0014038451661502,1.0293980136844314,,-0.5738226299694189,0.3713698310864813,3.713462096801929,,19.163992480795205,,5.60372734005654,4.569123704421396,-0.3449568932451584,5.667964613017822,4.07096392003265,,-0.0162506715980276,0.3734736687152688,,-0.0070898438388408,4.807070552297938,0.2876202931320565,,,,,,,,,,,,,-0.9326154873943934,,-0.7625613328388416,,,,-1.3616158158508158,,,,,5.377820312412936,-0.4493135503503699,,,,,0.3058221529417697,2.135039299454016,2.9410378053451987,,,,-3.853858450500224,,-1.379484462654798,4.735707004643948,4.33984922371555,11.66279121874891,-0.146160115165529,1.209996715992878,,5.560266919609828,,,0.0123470048821111,24.843333664719463,,0.0,,,,,-4.010546169194513,0.5218354114975339,11.75676284721148,5.91068446496788,,,0.9946729612502296,-0.0107761570870153,1.5240211555051408,0.5686513829610631,0.5331383653021131,1.2110496875034251,-0.6440559803939426,-0.5023549078210074,0.0755820310361558,,-0.0263849860208075,-0.2296530422594574,6.807934215530917,-0.6994822485207101,0.7833577899592996,0.60816114456434,,,,-0.0379736274465456,3.104055422277883,-1.2557816744186046,-0.4565675816789688,0.0232309697607105,,0.8326829014465605,,,15.5622,0.1400334112058051
2022-09-30,5.639972851828367,0.7956524749048114,,60.2330872437576,6.124929269776865,4.122400495305041,,-0.0022889592435311,2.207117172240566,0.0002568009450274,0.9314867956511054,0.6867796468440344,-0.5020795107033639,0.3777080869831257,2.563320939320997,,2.573663469284895,,4.175221263007312,0.2749043332459501,0.1494390357732281,4.217841476557912,3.819783461126242,,-0.0162068164542521,0.5556545099915358,0.954141941858815,-0.0069590586332986,1.3097819982085683,0.3043065905747269,,,,,,,,,,,,,-0.9369268615993251,,-0.7625607833661061,,,,-1.3615520202020202,,,,,5.639972851828367,-0.4457788715563691,,,,,0.3547788213015474,2.083278284572452,0.0432094763827091,0.0,0.6369956841947051,-0.7345743620712084,0.4219970892159558,-0.8633906368256028,3.778750299824909,4.043911979525139,4.57508997016001,1.5519006738135457,-0.5874511498371127,1.1268235748200863,-2.8795324600130274,5.248328728877532,,,0.0153441638306804,31.080204310710045,0.0,0.0,,,,,-1.5122414170653125,0.6892622875278802,-1.7077535474533307,0.7063558813160593,,,0.6295820009682818,0.0061903965199933,1.381348521454724,0.5937162608266615,0.5171809980580842,1.1278041668382432,-0.9216793885154634,-0.5035930281693561,1.1419671280419534,,-0.028291764509444,-0.2296534025828371,5.094878100100491,-1.3935650887573965,0.4947703943942329,0.3533248592026276,,,,-0.15515140004431,1.966888120214892,-1.2557969302325582,-0.4565683339823573,0.0190385255760399,,-0.6072171922156312,-0.5593194002020045,,17.4468,-0.0890994337070407
2022-06-30,5.57379922335001,0.8485981308411215,,-2.1703522468242893,6.05744862865024,4.049933667194025,,0.0012173268905998,2.151993723276611,-0.0002568009450274,0.952390320907678,0.5156718185999192,-0.4303975535168196,0.3761073369690964,2.184513373874221,,1.146062272879403,,4.022895350227477,-0.094614119803681,-0.3130497091574372,4.047884597737162,3.704931316056348,,-0.0162075753276889,0.81108453244029,0.8796232543716264,-0.0069490987709008,3.188382089612484,0.2872562022784479,,,,,,,,,,,,,-0.9446432897426486,,-0.7625602343618044,,,,-1.3616325505050506,,,,,5.57379922335001,-0.44584003596294,,,,,0.2791086655168313,1.9384716558349,0.0805787193918142,0.0,0.0338486533685468,0.3997555814666783,4.987561384670449,0.4750243269542653,5.450291842146236,3.049189244067264,3.905423500452089,-3.4135228465659355,0.146160115165529,1.1230497045355556,0.5725555475139321,4.950673948167264,,,,15.770867811745866,-0.2674275107344287,0.0,,,,,0.5919609661023942,0.7106598927604582,-10.859160793304564,-1.8494719601783105,,,0.7963804941305249,-0.0013384641124309,1.3852221835750675,0.5889603609239582,0.5198166701848523,1.1240270124308374,-0.9214725779645232,-0.5042463049880436,1.1381425401412997,,-0.0282903440891976,-0.2296533761031656,3.1526553433946063,-0.5465236686390532,0.2174239521512143,0.2593362343313632,,,,-0.0121505633233384,2.154705381449564,-1.2557887441860465,-0.4565683135567925,0.0224668955779718,,-0.1357321261317514,0.0,,18.0568,-0.0163816401577245
2022-03-31,5.113153712366641,0.9213014884042922,,-16.59288275992473,5.518793585628466,3.803439228322714,,-0.000719271338477,1.9994855144763364,-0.0008217630240879,0.910790069975948,0.0,-0.3586544342507645,0.238563646823447,2.2546396674104545,,1.934557519138652,,3.663719138132972,0.1094789731191322,-0.0576070983327712,3.704770099907636,3.3654712664106468,,1.584979883046271,1.0463474772752364,0.6309911122090182,3.395390845219429,3.235318876714388,0.1178469270396275,,,,,,,,,,,,,-0.9094360131073336,,-0.7159564274603911,,,,-1.1069512432012432,,,,,5.113153712366641,128.6081971214141,,,,,0.1154817474898288,1.810596845601412,-11.930029171700504,0.0,-0.820478245621569,0.2979316320307623,4.983808442057637,-0.5249756730457347,-0.5279827679567497,3.137888603463036,2.942519116342244,34.57185426988797,0.8743467928410849,1.1338533331932314,0.0,4.45534825690091,,,,17.338051362215865,1.6384970779916164,0.0,,,,,-0.9801989694269796,1.8177044161090927,43.44000302168284,17.702552958831294,,,0.7360320841475668,0.0,1.5212356007219725,0.763771816807106,0.5086908463726774,1.134840042695176,2.094005307837774,2.0122120853483407,1.1490913604059163,,-0.0075793802532878,-0.22540458210232,2.261019203629732,-0.1269970414201183,0.0531038957803719,0.0715074365136065,,,,0.0586755583917637,2.1246044817623746,-1.2309302325581395,-0.4469324730129482,-0.014803172730948,,-0.561686960141534,-0.4546655271540673,,19.4689,-0.066197884831706
2021-12-31,4.665422171369327,0.9261336102457598,,-3.4550603312978807,5.0357993793573295,3.4168344294382007,,-0.0419557705744181,1.837790064182069,-1.3303487356833472,0.8364763609354696,0.5251209008682564,-0.2869113149847094,0.244765835083778,2.681978474876073,,2.6601845935674024,,4.957501678898456,5.445372715197466,0.1774686047313933,4.981376598068626,3.0349502770441696,,1.3675790871752147,0.2110477312037684,0.3782418186946703,2.908743771727143,5.265085961372949,-0.1178469270396275,,,,,,,,,,,,,-0.897229866671465,,-0.7154069547249423,,,,5.995456487956488,,,,,4.665422171369327,111.0859199878681,,,,,-0.1154817474898288,1.5526818126240332,-0.2108436220054807,0.0,-1.5193767490463002,1.987967638413332,11.823506895398523,-3.967077521894258,-1.28252248521864,3.363330594210109,3.028381235489052,8.683904798059107,2.167452048230913,1.1177218876632773,0.3396178620539914,3.9930394933236633,,,-0.1633326196417203,11.508146659178747,0.4197493090189599,0.0,,,,,-6.391733590198214,0.2590578033781563,8.553174232465807,4.377377020114385,,,1.3134366468032035,-0.0371499840296895,1.570156906601371,0.4192904184491383,0.4856665646593205,1.1186945591497937,3.4863485695042025,2.9287401907531203,0.0174632933301436,,0.0,-0.2296276400607254,1.7270853050174706,0.5743343195266272,-0.0531038957803719,-0.0715074365136065,,,,0.1770770545311501,2.8413219810130537,-1.242,-0.4171499339532303,-0.0161117507410816,,1.8551618274534287,2.804288711055862,,21.592,-0.0939190440904038
2021-09-30,3.612575993740531,0.8883973693319488,,-0.5122364738486069,3.8487248397032654,2.699824204168499,,,1.6834444070829957,-4.662118436595847,0.5466327746372498,0.4033350521929397,-0.2151681957186544,0.3245647545322007,2.492415729682921,,2.2901984440378818,,2.419325932905724,0.2015326115867877,0.0576070983327712,2.515713903184497,2.6201580041844714,,0.0246843049323031,-0.5420233319839547,0.0,2.180867300772838,0.508072463494864,-0.3818268068847809,,,,,,,,,,,,,-0.8835434923162941,,-0.7148574819894935,,,,4.677908896658897,,,,,3.612575993740531,2.85000281298568,,,,,-0.4269096207464499,1.474836282439627,-0.0558328667825677,0.0,-0.6232845926466694,2.4980791424346616,12.869240679353288,0.0984971348253865,10.139636160705356,1.5187741564800914,3.2466119781018525,-30.810846081418312,0.3459286718103276,1.1134300351828308,0.7196569443439241,3.1625202100831222,,,-0.0038244791151144,35.17893063341601,-1.5910636518475456,0.0,,,,,0.0,0.5098227208406481,-48.83245600241362,-15.951560375932385,,,0.8246032458646111,-0.0116431167962036,1.518972337460648,0.4050227187410284,0.5078006397477558,1.1143989717845084,2.181837505501892,2.080971931023205,1.128393590590614,,-0.0290116557344167,-0.2254483485028543,1.2787569163149022,0.1269970414201183,-0.1424763549702309,-0.192347303278004,,,,0.101555830248192,2.060224524917836,-1.2488837209302326,-0.4469444070508388,0.0,,-0.2424549901134353,0.2249242483101546,,21.3808,-0.0849687570156402
2021-06-30,2.485586597307648,0.8978816199376947,,-0.4473460044432722,2.451640173568883,2.391443353388542,,,1.6595575791986152,-7.042166715173512,0.4194342645332178,-0.3307875628893565,-0.1434250764525994,0.2987392069065528,1.1804030892416657,,1.298002066326159,,1.677778244365391,-0.0552862195662124,-0.2638269678532506,1.7201694777045713,2.583881931740049,,0.0062189812373911,-0.648953004820962,-0.0668905696210293,,0.4031783706787285,-0.6708972363295536,,,,,,,,3.3413819931126616,,,,,-0.8825457939988144,,-0.7143080092540446,,,,3.23513209013209,,,,,2.485586597307648,1.3617170049852958,,,,,-0.7513945157908813,1.386036127240187,-0.0659987624127059,0.0,-0.1942906834431967,-0.1591417663296762,3.5864555020894224,0.5287598659314521,-1.4528395814669444,1.775082127337026,1.461057654956004,9.48789577215108,2.385984201103313,1.09685460491352,-0.6603821379460085,3.450413464346177,,,-0.603607584163606,27.28685883754223,0.3635753551795531,0.0,,,,,0.6764418275964044,0.2973482548469799,7.3100157620653885,4.791211309870479,,,0.8161093481604677,0.994151824417844,1.5941387923127133,0.3248151095711136,0.5074733129131627,1.0978091171323725,1.981724572287491,1.9105051509170947,1.111595400595586,,-0.0298759195487565,-0.2252777794487172,0.9447026060765686,0.2829142011834319,-0.2389521096953815,-0.3992521734289611,,,,0.1278783733679797,2.068272019523404,-1.249813953488372,-0.4465480592924326,0.0004341045136453,,-0.3364814236653137,-0.0608344339989122,,21.0746,-0.0716739582245926
