,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,commonStock,capitalStock,retainedEarnings,otherLiab,goodWill,otherAssets,cash,cashAndEquivalents,totalCurrentLiabilities,currentDeferredRevenue,netDebt,shortTermDebt,shortLongTermDebt,shortLongTermDebtTotal,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,noncontrollingInterestInConsolidatedEntity,temporaryEquityRedeemableNoncontrollingInterests,accumulatedOtherComprehensiveIncome,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,nonCurrrentAssetsOther,deferredLongTermAssetCharges,nonCurrentAssetsTotal,capitalLeaseObligations,longTermDebtTotal,nonCurrentLiabilitiesOther,nonCurrentLiabilitiesTotal,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurpluse,liabilitiesAndStockholdersEquity,cashAndShortTermInvestments,propertyPlantAndEquipmentGross,propertyPlantAndEquipmentNet,accumulatedDepreciation,netWorkingCapital,netInvestedCapital,commonStockSharesOutstanding,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,beginPeriodCashFlow,endPeriodCashFlow,totalCashFromOperatingActivities,issuanceOfCapitalStock,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,salePurchaseOfStock,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeReceivables,cashFlowsOtherOperating,exchangeRateChanges,cashAndCashEquivalentsChanges,changeInWorkingCapital,stockBasedCompensation,otherNonCashItems,freeCashFlow,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,sellingAndMarketingExpenses,grossProfit,reconciledDepreciation,ebit,ebitda,depreciationAndAmortization,nonOperatingIncomeNetOther,operatingIncome,otherOperatingExpenses,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,adjusted_close,10%DDret
2023-09-30,4.970021646294762,0.4449559353233868,,,5.113898429243124,4.7857604105734985,,0.0001643311700236,2.623107088009902,0.0031672116553388,1.0728371041373943,,-0.0327569283903852,1.6343956075290285,6.7198323632009656,1.3985866255105042,1.5747945248971136,,3.4077819411619754,0.111105817941798,-0.0268645100090988,3.71620260556809,6.093204615435072,,0.0822450340871173,-0.5763129401620409,,,13.71881956702374,6.3381135718069865,,,,,,-13.528211328799772,,,,,,,-0.878385630192241,,-0.7192523270056751,,4.005729778817151,,-1.087579642579643,,,,2.471023940925204,4.965892837487338,7.4893374769574095,,,,,0.3137709290984146,2.289638852705156,2.120199753875588,,5.640298352420007,,-1.7399126854226024,,1.4534433054059517,4.473951649522145,4.583446148322291,1.9830607851146096,-0.2497491983974366,1.2249442022178814,133.18792643531114,-9.100667669332752,,,24.683172340129104,-0.1468458633455031,,0.0,,,,,-16.166866189667097,0.6734956310407175,7.741460431191117,0.9282847887057863,,,0.8815844998417771,-1.318722743735679,1.4236222494065105,0.4834307982180286,0.4984694464284788,1.226010181430798,5.599934812518302,4.407101158086122,0.0490348914904419,,-0.0225377420684701,-0.2135167060124022,7.550846978669529,-0.107043429844098,2.3872449327118628,0.8568224959166556,,,,-0.4045589453885084,0.1727694567929085,-1.109608695652174,-0.4983726999165647,0.0226041869151928,,2.400608512453648,2.310591490367689,,14.3789,-0.0801062197403361
2023-06-30,5.062475984777688,0.4516489200473391,,,5.274107519801927,4.638860908827693,,-0.0001643311700236,2.5199615305272647,0.0022427282532399,1.0881514515178785,,-0.021875757828965,1.668077715009821,6.323349206716693,1.2612047722619817,1.708610971107151,,3.467337123683708,0.145784304666927,-0.0031366323330685,3.750520094483473,5.879760343437167,,0.0767709435064361,3.3458793305287844,3.0943092038945057,,4.531159254991698,6.380785769456054,,0.7124663561168458,,0.0254601092340626,,-13.528211328799772,,2.720123915609552,6.08458807421482,1.581411881781425,,,-0.8837913731537935,,-0.7187033227039308,,2.710588156428738,0.706496658304569,-1.088250777000777,,,,2.3458974781511546,5.058312388909312,7.048131492294313,,,,,0.3121335610100185,2.219352829679124,1.24038040389636,,0.8221013832507528,-0.3169391561853058,-2.6987588330447667,,-4.985301200998409,5.370435459969184,4.321707424424795,6.2252601203492,-0.7380305068866163,1.2105146981887938,0.2347340092980148,-8.71760228996433,,,-0.322307620861004,9.430899666580585,-0.1866622443749495,0.0,,3.234392252426369,,-3.2710309475445656,4.503747818339121,0.7283035321627592,-0.1081690928135821,3.111851029462799,,,0.8643289474812762,0.6939906866730726,1.488808336509616,0.5113235084582073,0.5346814309746718,1.211568120461305,5.206097223268732,4.352977267318269,1.226782989132921,0.2635827925289452,-0.0225404636399993,-0.2133776129099674,7.47921969307239,-0.1489420935412026,2.380073369856082,0.8788593122323755,,26.40963855421687,,0.0067243209585095,2.6924641648214283,-1.1145652173913043,-0.4979720976674346,0.0211913721493055,,2.355375027073147,2.2467589885932315,4226.785,13.9871,0.041173652865855
2023-03-31,5.218633798786319,0.4583934592526268,,,5.480587160601245,4.634871211344508,,-0.0405544621734035,2.533332250941681,0.0023625686942527,1.0889115797090263,,-0.0109853029923219,1.6539550241667818,5.741474363403234,1.0595844940087042,18.153646298405544,,5.236310064506664,4.407509641453053,2.91284116916727,5.426900040725579,4.259035836500271,,0.0687372211481852,3.3879359885109626,3.08854500156905,,7.176216499283135,6.731031146892469,,0.2617302055581532,,0.0255726815667114,,,,2.734556682113164,6.08458807421482,1.5823911255857426,,,-0.9281774804848896,,-0.423901128810977,,2.8710602181806566,0.5666484335213233,2.184028749028749,,,,2.3423944809423016,5.214411446655301,6.400621859170757,,,,,0.9596452816359492,2.2039943304830616,4.06443086066389,,3.304258688072006,-0.3582517254716171,-2.458403903232181,,4.804800311216737,4.492692929045252,5.189515267346578,-2.766093257980802,-0.2604272504229937,1.2141405735602055,0.3953291176020442,-8.467471682185877,,,-0.1122811498630009,6.99295309991654,-0.8927656834220467,0.0,,-2.323105331708752,,2.841662392377568,-6.052110328095534,1.744877479001723,-6.690448074392482,-1.516223736512856,,,0.9928709627763088,0.8061941015596127,1.5361334357464704,0.6448743192395239,0.5364853465821592,0.0734596542141045,1.3008650548158274,1.0462228712699766,0.0743821603222252,2.174701186151196,-0.0100355228565207,-0.2132665190684124,7.196968495117315,0.1957126948775055,2.3042708262379947,0.8794243588045734,,10.93631669535284,,0.0959973434425296,2.8364623353305016,-1.1137826086956522,-0.497681260434566,0.0027019900396379,,2.589392025727693,2.5425283363038567,4226.785,10.4904,-0.1018264317852512
2022-12-31,5.382104172245365,0.4730622255008176,,,5.736474281493025,4.481751622650575,,-0.0430359414681146,2.4263664876263533,0.0014038451661502,1.0293980136844314,,-9.484815567872696e-05,1.8690961336462188,3.7954612052683663,0.3852887774359795,19.163992480795205,,5.60372734005654,4.669340512516467,-0.1203498522578615,5.667964613017822,4.07096392003265,,-0.0162506715980276,-0.5712672238536416,2.9422059947980865,-0.0206165796503769,4.807070552297938,6.998400999314082,,0.2884960102231587,,0.0188933898295512,,,,2.619094550084277,6.08458807421482,1.5057220959653743,,,-0.9326154873943934,,-0.7625613328388416,,2.993561168178753,0.7399701982383009,-1.3616158158508158,,,,2.232141938513049,5.377820312412936,-0.4493135503503699,,,,,0.4080505431948876,2.135039299454016,2.640104283500159,,2.029942364886412,-1.4957616151190225,-3.853858450500224,,-1.379484462654798,4.735707004643948,4.33984922371555,11.66279121874891,-0.146160115165529,1.209996715992878,-7.60208161536489,-8.210487021893874,,,-0.0063391074165234,24.843333664719463,1.5223954994144149,0.0,,-1.203950674341414,,-1.0196495973152764,-4.010546169194513,0.5218354114975339,11.75676284721148,5.91068446496788,,,1.0015720948037423,-1.5321901101337867,1.5226616444118286,0.5686513829610631,0.5517435638572158,1.2110496875034251,-0.6771100210933545,-0.5023549078210074,0.0755820310361558,-1.433959102295413,-0.0230534785845765,-0.2176560020342115,6.76991110214898,-0.3208518930957684,2.23274981268306,0.9586191674391912,,39.28055077452668,,-0.0378040242627201,3.11496689410735,-1.1738828695652177,-0.5089934429764374,0.0261039466496948,,2.707004338266662,2.681581638464805,4226.785,11.6656,-0.0041390522482767
2022-09-30,5.644355386846159,0.4803859944669911,,52.182537313443504,6.137723153477054,4.271292362634941,,-0.0022889592435311,2.2983895922312296,0.0002568009450274,0.9314867956511054,2.1409067835101125,0.0107956066809644,1.949517701681676,2.6230422980791173,-0.0209556736058034,2.573663469284895,,4.175221263007312,0.3699623666632137,0.1502515381156421,4.217841476557912,3.819783461126242,,-0.0162068164542521,3.799642222117333,2.741816703288252,-0.0204596538140158,1.3097819982085683,7.070950927023257,,0.2804149371434776,,0.0081614941170355,,,,2.48095235640686,6.08458807421482,1.379586853582804,,,-0.9369268615993251,,-0.7625607833661061,,3.026801396971087,0.5167839246530986,-1.3615520202020202,,,,2.0848935628750755,5.639972851828367,-0.4457788715563691,,,,,0.4554671351057489,2.083278284572452,1.0879194629116544,0.0,0.1042096073487375,0.2158215866462427,0.4219970892159558,-0.8629472427672371,3.778750299824909,4.043911979525139,4.57508997016001,1.5519006738135457,-0.5874511498371127,1.1268235748200863,-13.65852933854255,6.228716939985408,,,0.5169158965309061,31.080204310710045,-0.2770539362564467,0.0,,-0.3233574219570606,,2.2010225518982485,-1.5122414170653125,0.6892622875278802,-1.7077535474533307,0.7063558813160593,,,0.6363051178907463,0.5721782836868948,1.3802083153958424,0.5937162608266615,0.5351746130314288,1.1278041668382432,-0.9727047610561572,-0.5035930281693561,1.1419671280419534,-0.275988934103443,-0.0249989223291157,-0.2176563639171317,5.070846936090085,-0.9739699331848553,-0.8406978894002939,0.7161258994393679,,1.4182444061962134,,-0.2069756807631329,1.97451377218206,-1.1738971304347825,-0.5089943184258858,0.0217190455786784,,1.9805382863518524,1.7588030346878056,4226.785,9.921,0.175849208749118
2022-06-30,5.57815685036931,0.5035794458348148,,46.481867370368725,6.0701997245772485,4.196350551872209,,0.0012173268905998,2.2410865047408755,-0.0002568009450274,0.952390320907678,1.940463277138048,0.0216767772423845,1.929206936660469,2.236897389667306,-0.1547553124366146,1.146062272879403,,4.022895350227477,0.0,-0.1028858565607619,4.047884597737162,3.704931316056348,,-0.0162075753276889,3.806654086830265,2.669172382781312,-0.0204477032288534,3.188382089612484,6.996817977963802,,1.306579222513946,,0.0103629086221669,,,,2.419097642819956,6.08458807421482,1.4065160582015284,,,-0.9446432897426486,,-0.7625602343618044,,2.9928358746667123,0.263997082696745,-1.3616325505050506,,,,2.0175643133239376,5.57379922335001,-0.44584003596294,,,,,0.3821774073345048,1.9384716558349,-3.5689282103209283,0.0,-3.2279044512336696,0.6006696475699975,4.987561384670449,0.4803204006386082,5.450291842146236,3.049189244067264,3.905423500452089,-3.4135228465659355,0.146160115165529,1.1230497045355556,4.171758818962136,5.877806374878086,,,1.5123763525751173,15.770867811745866,-1.8786437817911896,0.0,,3.0611222217553884,,3.244691081831486,0.5919609661023942,0.7106598927604582,-10.859160793304564,-1.8494719601783105,,,0.8031840274752633,0.7185305639736862,1.3840760232306266,0.5889603609239582,0.5379113001799721,1.1240270124308374,-0.9724845630856748,-0.5042463049880436,1.1381425401412997,0.6899723352586075,-0.0249974731058843,-0.2176563373228516,3.144487922687925,-0.1769209354120267,1.0721729738145511,0.6266896216836622,,-6.709122203098107,,-0.0005228024337715,2.1628737272545937,-1.1738894782608695,-0.5089942946568191,0.0253047971429518,,2.218414439011584,2.0198997280254867,4662.785,11.0332,0.138463908929413
2022-03-31,5.117337950711987,0.5354279848338847,,30.299069127627394,5.531203133973552,3.9414375099537753,,-0.000719271338477,2.0825479626842296,-0.0008217630240879,0.910790069975948,1.0876379278099868,0.0325672320790277,0.1840140294519971,2.3083819999677133,-0.1299858157222997,1.934557519138652,,3.663719138132972,0.2043382760838676,0.0369274420378633,3.704770099907636,3.3654712664106468,,1.584979883046271,3.5137677769545004,2.42679407966516,4.061933320541516,3.235318876714388,6.260247704416458,,0.963448939805744,,0.0087618798911623,,,,2.247966268562857,6.085146920755561,1.3529240608814306,,,-0.9094360131073336,,-0.7159564274603911,,2.655361183961407,0.3323147921107066,-1.1069512432012432,,,,1.818564195552275,5.113153712366641,128.6081971214141,,,,,0.2236978567919531,1.810596845601412,-8.79361372162543,0.0,-7.947673471485333,-0.4036482929851394,4.983808442057637,-0.5233052907630126,-0.5279827679567497,3.137888603463036,2.942519116342244,34.57185426988797,0.8743467928410849,1.1338533331932314,0.840162523565957,5.293858024310055,,,2.500476013560581,17.338051362215865,5.691264632623432,0.0,,0.2097294231334817,,-0.4879933390406394,-0.9801989694269796,1.8177044161090927,43.44000302168284,17.702552958831294,,,0.7428065224859371,0.69251238081159,1.5198803713620963,0.763771816807106,0.5263590669812735,1.134840042695176,2.238193554975424,2.0122120853483407,1.1490913604059163,0.5592306894350539,-0.0038665366714376,-0.2133891538239501,2.260134514418559,0.2178452115812917,0.7351970963441572,0.4479583278153004,,-2.278829604130809,,0.1017301425438863,2.132685851681019,-1.1506521739130435,-0.4977811439286825,-0.0136761779746638,,2.00350944114462,1.807656659625416,3583.785,14.0328,-0.089005757938544
2021-12-31,4.669437881906783,0.5375447511851844,,-3.234785890384465,5.047902673253726,3.5416288742897195,,-0.0419557705744181,1.9144589060458577,-1.3303487356833472,0.8364763609354696,1.892981378075824,0.0434576869156709,0.2627091331651484,2.743998180111848,0.0209556736058034,2.6601845935674024,,4.957501678898456,5.546642187541267,0.165593169966675,4.981376598068626,3.0349502770441696,,1.3675790871752147,3.152232089232448,2.1804021838186904,3.47801789445147,5.265085961372949,5.2354803985658815,,1.0162912380019165,,0.0,,,,2.066525775374608,5.218141220520845,1.2571885783652383,,,-0.897229866671465,,-0.7154069547249423,,2.185843146094782,0.4318426165192296,5.995456487956488,,,,1.6248043823472038,4.665422171369327,111.0859199878681,,,,,0.0,1.5526818126240332,-13.287300490798104,0.0,-11.808771031053642,2.980406244967007,11.823506895398523,-3.97788713868841,-1.28252248521864,3.363330594210109,3.028381235489052,8.683904798059107,2.167452048230913,1.1177218876632773,2.6905792281463423,4.748833922584407,,,-0.3779083267542841,11.508146659178747,1.3904891059903357,0.0,,-4.251427671106256,,-0.9591089754473447,-6.391733590198214,0.2590578033781563,8.553174232465807,4.377377020114385,,,1.3204894618118488,1.4145169635597603,1.5687264792980231,0.4192904184491383,0.5024523544469472,1.1186945591497937,3.720667050838198,2.9287401907531203,0.0174632933301436,0.0,0.0038665366714376,-0.2176304898904729,1.7305616965729078,0.8777839643652561,0.5173937158815574,0.3118703924425021,,-17.542168674698797,,0.2726685107170443,2.8514742903532087,-1.161,-0.4631234409474338,-0.0150448271123492,,3.222870843041381,3.328973772938706,3392.285,14.7605,-0.08570170387182
2021-09-30,3.616195409082954,0.5210139583758215,,-0.6741301475241325,3.860075439563223,2.800130370522077,,,1.7540102610728665,-4.662118436595847,0.5466327746372498,1.7062064174837692,0.0543481417523141,1.2752201983897016,2.550763684400104,-0.0460002933710083,2.2901984440378818,,2.419325932905724,0.2965025013516094,0.0999884827514542,2.515713903184497,2.6201580041844714,,0.0246843049323031,-0.5801267153457922,1.8116742736403544,2.604657459694971,0.508072463494864,4.087729001634201,,0.6454858465798157,,-0.0333214104640348,,,,1.8933325773312784,3.04391522297977,0.8837942753925623,,,-0.8835434923162941,,-0.7148574819894935,,1.659977439051414,0.268461059660109,4.677908896658897,,,,1.3816425986969407,3.612575993740531,2.85000281298568,,,,,-0.3016309906416943,1.474836282439627,0.346180159193798,0.0,-6.8582678875088,6.8126989855837445,12.869240679353288,0.1024280371067513,10.139636160705356,1.5187741564800914,3.2466119781018525,-30.810846081418312,0.3459286718103276,1.1134300351828308,4.331037573919411,3.769719828333909,,,-0.0405424232573259,35.17893063341601,-6.308897222454167,0.0,,-0.8171181883114155,,6.17259982199043,0.0,0.5098227208406481,-48.83245600241362,-15.951560375932385,,,0.8314203858833557,-1.5490427969546898,1.5176205870091886,0.4050227187410284,0.5254347422121839,1.1143989717845084,2.331711373968273,2.080971931023205,1.128393590590614,0.4111204454072034,-0.0257334113579767,-0.213433109652858,1.285895177472883,0.45684855233853,0.3341150369281968,0.1968834150002207,,-11.263339070567984,,0.1636371617704866,2.0681198703697645,-1.1674347826086957,-0.497795031473319,0.0018065440612586,,2.164570052177337,2.124896939751085,1512.285,14.6566,-0.0050079827517977
2021-06-30,2.4887818096732746,0.5251686430481436,,-0.6176666413176496,2.4621049172660854,2.4812172903663248,,,1.7291789231603798,-7.042166715173512,0.4194342645332178,1.3324000106869005,0.0652385965889572,0.9475384087465084,1.2133379118160807,-0.5094198061926549,1.298002066326159,,1.677778244365391,0.0393751460249656,-0.0759444085165713,1.7201694777045713,2.583881931740049,,0.0062189812373911,-0.5811615003052562,1.746466201111202,,0.4031783706787285,2.8308870430671456,,0.3028835468677452,,-0.0497382089753132,,,,1.866528868110287,1.4902324242762937,0.7199293452554154,,,-0.8825457939988144,,-0.7143080092540446,,1.0841296666587854,0.0372270529578562,3.23513209013209,,,,1.360376642080638,2.485586597307648,1.3617170049852958,,,,,-0.6159082559263848,1.386036127240187,0.3383987779523453,0.0,-4.488270916877736,1.5777891474271637,3.5864555020894224,0.534250768097426,-1.4528395814669444,1.775082127337026,1.461057654956004,9.48789577215108,2.385984201103313,1.09685460491352,-2.840455459198229,4.109122354653047,,,-1.3091069521200018,27.28685883754223,1.0553282093455598,0.0,,-0.4278908449224822,,-1.0654506899446774,0.6764418275964044,0.2973482548469799,7.3100157620653885,4.791211309870479,,,0.8229223931250449,18.002439204671447,1.592671501960564,0.3248151095711136,0.5250948702180513,1.0978091171323725,2.1186445765503388,1.9105051509170947,1.111595400595586,0.3487080101016531,-0.0266152005334155,-0.2132618023470455,0.9545693657081809,0.6035634743875279,0.136269425009974,0.0,,1.889845094664372,,0.2016394904046373,2.076190618033672,-1.168304347826087,-0.4973338047504871,0.0022605764259057,,2.117131335936731,1.9915015184292368,2262.785,13.8313,0.0543622074569996
