,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,commonStock,capitalStock,retainedEarnings,otherLiab,goodWill,otherAssets,cash,cashAndEquivalents,totalCurrentLiabilities,currentDeferredRevenue,netDebt,shortTermDebt,shortLongTermDebt,shortLongTermDebtTotal,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,noncontrollingInterestInConsolidatedEntity,temporaryEquityRedeemableNoncontrollingInterests,accumulatedOtherComprehensiveIncome,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,nonCurrrentAssetsOther,deferredLongTermAssetCharges,nonCurrentAssetsTotal,capitalLeaseObligations,longTermDebtTotal,nonCurrentLiabilitiesOther,nonCurrentLiabilitiesTotal,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurpluse,liabilitiesAndStockholdersEquity,cashAndShortTermInvestments,propertyPlantAndEquipmentGross,propertyPlantAndEquipmentNet,accumulatedDepreciation,netWorkingCapital,netInvestedCapital,commonStockSharesOutstanding,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,beginPeriodCashFlow,endPeriodCashFlow,totalCashFromOperatingActivities,issuanceOfCapitalStock,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,salePurchaseOfStock,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeReceivables,cashFlowsOtherOperating,exchangeRateChanges,cashAndCashEquivalentsChanges,changeInWorkingCapital,stockBasedCompensation,otherNonCashItems,freeCashFlow,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,sellingAndMarketingExpenses,grossProfit,reconciledDepreciation,ebit,ebitda,depreciationAndAmortization,nonOperatingIncomeNetOther,operatingIncome,otherOperatingExpenses,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,adjusted_close,10%DDret
2023-09-30,0.852097494391253,0.2176541368497447,,2.675917924167736,-0.5092654261233626,2.942375515174725,,1.0102292335895913,0.8242486497433079,,1.375915649684534,,0.8209014617739314,-0.7075809386628324,1.3604858843762682,-1.5808140516804594,0.7496238297169895,-0.1477064324190922,0.4011293521107615,-0.2593126365112849,,0.5681542981387142,4.09127479948706,1.094769020384191,0.8001089473721918,,,0.0784885043864272,0.619794191221646,0.4680223313336681,1.875185686962996,4.1182385147866265,,,,-1.483273216020489,,,,,,,,,0.98783587357882,,0.0642443094678008,,0.7673987458079992,,,,,0.852097494391253,0.7487968141908407,,1.1932257028238695,,,,0.8860103626943006,,,-1.463057790782736,,-6.790288179236213,,-4.595220702284577,1.548853778935928,,3.1192228323770594,,1.2275755279816836,-12.540567291853309,6.60811132972383,,,-2.239379375432291,,,8.50318506055794,,,,,-9.793557295363613,,,,0.7199365020980443,,1.5202804891199997,,0.6175891188630094,,0.9636278979559132,0.4536104557210044,1.6579807295472533,1.5151802566942754,0.5362776025236593,,1.3635752508807517,0.968929804508784,-0.4960564456328787,0.0,-0.2358974358974359,1.7419354838709675,,,,0.3234075344406208,1.0464612017427988,0.7535880976236697,1.1811686136237567,0.9003723736084225,,0.9573320255026974,0.960383567670679,,95.0041,0.1413769250221003
2023-06-30,0.8784509418561064,0.3109769764355181,,2.4930166279953485,0.7389831592449718,1.1658952806033664,,0.9797991933347444,0.8186983934759102,0.5546875,1.346911116699546,,0.8194911207527302,-0.7088757472214308,1.65759025138829,-0.8201317345043067,0.934484856412236,-0.1869492381227288,0.4244312279117636,0.3161349338211959,0.710986517153918,0.6588508764176201,-1.3834775645891897,1.0464324438855757,0.8576296580340744,0.0079903653949704,1.0296117562942355,0.057750257355885,1.0166247973633613,0.4753430635050692,1.9783418693907369,4.486463497305145,,0.9374946733257198,,-1.4006118055955206,,1.5014646790265804,,2.787703476326757,,,,,1.0024074748318432,,0.0721571275278864,0.4033369107482265,0.7812929503361967,,,,,0.8784509418561064,0.9150432135609048,4.852675839405923,1.1601869225129935,-0.8911671374158396,-0.3097151205259313,0.9248719408081958,0.8963730569948186,0.1226049066613386,,-0.5803100128042726,0.0076,-1.26467327039044,,-1.954827402336184,1.8955319562244288,1.6146193078075244,0.1445127927306754,,0.9274095051193832,-11.427946998815132,-3.611474774166679,-2.104197752897813,-0.7253304317323443,-0.9174574496279873,-0.0576599848354239,0.1863308353015209,1.6715662939558342,-0.6008403361344538,-1.126006435642802,,-0.697355293668981,-1.2404819668541844,0.5763351109050159,-1.912840216056856,-0.0357232233903754,0.8586768366558417,,1.4589081510355706,,0.6537406770403563,,0.948841092738028,0.4599106009393516,1.3220967024406978,1.501688494089933,1.0569212701950512,2.779549498136896,1.188425790007473,0.9547538015167024,-0.5679617104464868,0.1688311688311688,0.0,2.0,,,,0.5198333402586022,1.013547343891567,0.7790707603194251,1.1173553917857215,0.9132350198406318,,0.8974987739087789,0.8624363644246124,,107.9023,-0.0526235307310408
2023-03-31,0.9010515249667876,0.4157961078543215,,2.6436853186947333,0.7603595516182942,3.062264767094332,,1.225346210468086,0.8233799139797152,0.0703125,1.3219107493301845,,0.785420250819501,-0.7148462533527449,2.197708048256504,0.0756628947812869,1.095460933939672,,0.1671396826090333,0.3007336606492803,0.7115204912561741,0.6538274695781966,1.4873299769220911,0.968061489756752,0.97520171704451,-0.0328492799571006,1.070412222161373,0.020882262634921,0.9550960114615904,0.4799077553295899,1.6525363701393192,5.069731869614479,,0.8693132425383947,,-1.3965696828363534,,1.4900258379435398,,2.672343694453865,,,,,0.980532848837352,,0.0770910023182927,0.5452725552919385,0.8063702950944068,,,,,0.9010515249667876,1.2173775950867889,4.74950180763475,1.0681274084428838,-0.8409683796721108,0.0272705137570002,0.8622652248150257,0.9067357512953368,-0.0914671525886177,,0.0245655175441086,-0.0356,-1.44296644478253,,-1.0899449191370618,2.084034947042686,1.9631812401129067,0.0854125932675022,,0.939830168134375,-0.0272013987226541,-3.611474774166679,-3.793971165153117,0.7356869676566847,-1.2859149057201404,-0.0724868380788187,1.1604815181059631,0.7485709925106563,1.2016806722689075,-1.7667980597568995,,-0.4385711026590075,-0.32937815399067,2.4188268026895434,-3.0943789572494573,0.0438358767012065,0.6618591527482686,,1.329149493371349,,0.6657911964328053,,0.9216746366400528,0.4378600926751361,1.2631383359805044,1.3600249867443432,0.8463238315863983,2.148444056530934,1.1333788165901568,0.9079729916428328,-0.6488551333617958,0.0584415584415584,-0.2461538461538461,2.290322580645161,,,,0.3914010826083836,0.9674679428998424,0.7601642686419292,1.0378503940858743,0.3858665243200483,,0.8415890142226582,0.7709119286045173,,99.7235,0.0002336460312763
2022-12-31,0.9010515249667876,0.4157961078543215,,0.3131929834490256,0.794275363700804,1.140914087205942,,1.225346210468086,0.8233799139797152,0.93359375,1.290544785341109,,0.785420250819501,-0.7431162402154734,2.197708048256504,0.5627427799358217,1.095460933939672,,0.2815858746941629,0.3007336606492803,0.6933653717794687,0.7187188757367764,-1.345650272915661,0.9117470317001124,0.97520171704451,-0.0506056475014793,1.011611550764616,0.020882262634921,1.0971934355800126,0.4718980130714687,1.6525363701393192,5.069731869614479,,0.8437452059931477,,-1.3965696828363534,,1.5104128047125074,,2.5276109907077933,,,,,0.980532848837352,0.2530864197530864,0.0684334484407873,-0.8077973226405984,0.8063702950944068,,,,,0.9010515249667876,1.2173775950867889,4.623185936961631,1.0681274084428838,-0.7519796727627733,-0.0272705137570002,0.6055776892430279,0.917098445595855,-0.0188123930856022,0.2170087976539589,-0.1123570392591201,0.6028,-1.5122208183067305,,0.3524789247437875,2.008738329351066,2.1527085049637216,1.2506715260164003,,0.9419002786368736,0.0305970580585498,-3.4190317530984764,-1.5211765170904277,1.10349554372665,-1.7545669332057738,0.8830214820510645,0.075186126525175,2.4201372864664905,1.6554621848739497,0.170980457395829,,0.0,0.730044884222719,0.3661179380168483,0.6916574418124123,1.1754750168098285,0.8909420307390504,,0.9048036129018684,,0.7073654883367542,,0.9498727303113688,0.4536104557210044,0.8968818170611219,1.0321751554588343,0.7351751834318315,1.665044143811474,0.7914203453613751,1.0376834190203803,-0.5230209199379817,0.3376623376623376,-0.3076923076923077,1.8387096774193548,,,,0.7162591460765834,1.0360883495715014,0.8781243362819583,1.174891903279032,-0.0900513862716976,,0.5620402157920549,0.3132897495040419,,105.7152,-0.0511721550121336
2022-09-30,0.866921308590233,0.4827451014702024,,0.3630410826107623,0.7727592563446495,1.0891600164584088,,1.1045623583796167,0.8161887123810869,0.3515625,1.283255150502404,0.6875225688791106,0.7471925862974681,-0.7908802892659867,2.1217168780083138,0.3681810504982266,0.7952737621501429,,0.1585228431201211,-0.2285100901674538,0.0878387398211186,0.6291233181350044,-1.2939350709116892,0.6897742095268576,0.9492797796594284,-0.054156921010355,0.0514914970301842,0.0496853835106741,0.6015560168989712,0.5386458652224786,1.4476243154525394,4.371577302759367,,0.7585184175089914,,-1.6783056391503033,,1.4966677456691764,,2.4939742575949584,,,,,0.9371969756073204,,0.1405797307533326,0.8591038748899086,0.8915428984623818,,,,,0.866921308590233,1.1779165815179016,4.331984464112151,0.9164056308987656,-0.610836412353458,0.8224981738495252,-0.1741605008537279,0.9689119170984456,-0.0071357353083318,0.0,-0.4957401983081607,0.0172,-1.638941586882927,0.1348684210526315,0.8799857616040783,1.8369679202420577,2.077002745910969,1.6978630352877442,,0.9584611626568628,0.7675273820189001,1.3173643922965346,-1.5705850963961383,1.7471605518490896,-2.1197923063497504,0.0296537064867894,0.1274895188905143,1.3808591123982978,2.4495798319327733,0.0,,0.2342677939669233,1.5140179325006269,0.4650436664348095,0.1633732931061048,1.8843822221034767,1.07485363701334,,1.672834586644152,,0.6248194304984788,,1.047190541396521,0.4599106009393516,1.7294454161656694,1.6973190518528911,0.8141492229100764,1.1145053543254222,1.5687503336180206,1.0029522116897802,-0.3432577579039615,0.5714285714285714,0.2358974358974359,1.1935483870967742,,,,0.9882333387476344,1.0997218080838829,0.8029093802606158,1.1937220343132062,-0.4502054807735595,,0.956351152525748,0.9587778758141862,,94.4168,0.0696602723244168
2022-06-30,0.8961311028135396,0.6081899329423833,,0.2775871983334993,0.792633712652526,1.130880657070911,,1.052831289946377,0.8098662465460514,-0.16015625,1.2510164837509483,0.7208247512065883,0.7813376847054974,-0.7698756170931706,1.9483620208796293,-0.0756628947812869,0.6577586406100244,,0.2802508713930638,-0.7474863255362443,-0.5059404618875984,0.6529328902780253,-1.2298665343043949,0.7503122519377453,0.9568716927194392,-0.1074260236434912,-0.1840384650210187,0.0957703769118791,0.760087839857606,0.664217953527217,1.5246413747311696,4.901821277586035,,0.9034039579320572,,-1.5289492031990777,,1.4845831635572544,,2.345214621011434,,,,,0.9816351921945548,,0.2763078334780952,0.8905619069259819,0.978635839041571,,,,,0.8961311028135396,1.0853407436015392,4.380839457349591,0.9577842975017068,-0.6183336294190798,1.3503774044314585,0.4866249288560045,0.9740932642487048,0.0966567782674045,0.0,0.184040024879634,0.006,-0.5632885512942832,0.2039473684210526,1.7448682448032,1.5070223246628058,1.9042989830718768,1.3334118052648427,,0.9729519361743528,0.7241785394329971,1.323108960089615,-4.357228969238219,-0.698085352023458,0.4432494715544379,-0.0708394099406637,0.2517100757581949,0.7413033129717178,-0.5672268907563025,0.0323476541019135,,0.4975920585033874,-2.017392194877337,0.6999922714274673,0.2230182776374621,1.5495215321657738,0.7586547349978947,,2.714410838705605,,0.663983618523938,,1.233916942171212,0.4882612544219144,2.812135418434673,2.512221513155143,0.808299294059836,0.832522071905737,2.579612936372371,1.0598924903746416,-0.1634945958699413,0.6428571428571429,-0.5743589743589743,0.5483870967741935,,,,1.071336564286011,1.268679611720206,0.7770157068762191,1.3527320297129006,-0.6045572355600718,,1.5282000980872976,1.8948962281495445,,105.5497,-0.0695132245757212
2022-03-31,0.8920654997631864,0.7152068848586778,,0.2149959760777847,0.8237901538241004,1.0750313087172425,,1.0509586720845403,0.80383335929888,-0.6484375,1.1898246194711153,0.790384930861024,0.8136270712435252,-0.7555607891397789,1.61537293458374,-0.9282215841918596,0.6937980609519876,,0.4734622582430385,-0.7479530307838781,-0.5064744359898545,0.6756414417439122,-1.2303269070225311,0.7925480954802251,0.8524315914344275,-0.0559325577647929,0.7590632125763181,0.2455466054657954,0.7560794498965785,0.6927257458652613,1.4275532030344722,5.290666859125591,,0.9374946733257198,,-1.4820605791927386,,1.4730520737558024,,2.062855565585382,,,,,1.0275202344381176,,0.3071212779238403,,1.0146139214987329,,,,,0.8920654997631864,0.9154933391909682,4.401088566388793,0.9866531346665496,-0.6095325485159585,0.482590698806915,0.0535002845759817,1.0259067357512954,-0.0330838637022659,0.0,0.1067190516260459,-0.5964,-4.998515451461157,-0.7730263157894737,-3.0956145454649424,2.062334880138504,1.5725605527782174,0.993585658351597,,0.9750220466768516,-0.056100627113256,1.3345980956757766,-5.128002806407305,-2.615457836536333,-6.997005475148514,0.0049422844144649,1.317391695201981,0.31977789971329,-2.9327731092436973,-0.4251405967680072,,-1.0691873154885745,-4.2810260865266105,2.715603987943427,-0.6205322178774481,1.2087235959525793,0.800599487306066,,3.6332424145982,,0.6820593976126114,,1.434742389781561,0.5040116174677827,3.769762219121449,3.2367291650083043,0.8112242584849562,0.6579609923125986,3.4737092318778693,1.0839916954611806,-0.0646248567512302,1.2597402597402598,-0.6974358974358974,0.1935483870967742,,,,1.7890462393901734,1.3959465287449686,0.7967442199309974,1.3809772262641622,-0.758908990346584,,1.9489946051986269,2.583738034584997,,114.5262,-0.0890669558581355
2021-12-31,0.9168552537471348,0.8021053260671697,,0.1943821004845853,0.8515235779162865,1.0956612696581485,,1.0643010743501269,0.8118450335631235,0.0,1.099114867640188,0.633529681555271,0.8174869519331285,-0.8021738972493159,2.175807815164144,0.5066711704104037,0.7585276865073569,,0.4482185594586197,-0.3979240950585248,-0.105993859297824,0.8074886678306978,-1.0842352978006289,0.816481740154297,0.9078320380885594,0.0381761902204142,-0.422295730940346,0.2075264859098013,0.6173891572450295,0.7108122606416639,1.178297993005451,4.776624783529738,,0.8693132425383947,,-1.4618499653969028,,1.4883653610121308,,1.644291428892568,-0.8561311916176794,,,,1.0405761135749874,0.4135802469135802,0.3266705931311107,-0.8523628680250357,1.033591371586027,,,,,0.9168552537471348,1.2292309033451236,4.350626501005384,1.003012142393294,-0.541731628965987,0.6540053567080594,0.8292544109277177,1.0621761658031088,-0.0694112434537737,2.228739002932551,-0.1437686846433902,-0.1588,-2.144351163878687,-0.6644736842105263,0.6512565098489386,1.932395925302618,2.130890525792269,1.9805589893865887,,1.099228676826769,0.0883955148397537,1.2369404431934052,0.4946935185825666,-0.7014909869870688,-2.688638905228864,-0.2882999241771199,0.0163448101141685,2.449208004622244,-0.5714285714285714,-0.2895885224361788,,0.1239440072731977,-0.0468653438004329,0.2548264935466419,0.5155627255769765,2.050625117817231,1.0103232488469227,,2.670573454359584,,0.8393186756840704,,1.363903276412157,0.5103117626861299,2.9282655341896,2.498729750550801,0.5889269621758225,0.4565443620128235,2.5829491165794813,1.1092722341303929,-0.0376603824461272,0.6688311688311688,0.3282051282051282,0.0967741935483871,0.0,,,1.101555919027239,1.3107694541845083,0.9315557258053164,1.2653811440821474,0.591668864035398,,1.4997547817557626,1.8483311643112503,,135.7026,-0.1012176627419075
2021-09-30,0.8876454595238281,0.898978491071967,,2.5155044922788385,0.8509996467306659,1.0250177309523167,,0.9678612544655352,0.80291636043731,-0.72265625,1.0399764216247789,0.8362985905196175,0.8225344882195328,-0.8676336632673386,2.0446702748400094,0.1709170748184428,0.7248908941881912,-0.1041033149706071,0.4346257985747019,-0.3059831612746653,-0.000800961153384,0.7655810683072884,-1.021087506629607,0.7564129848938813,0.8567405150630822,0.0310736432026627,-0.5506971970516318,0.1383989958079937,1.0286499672464435,0.7237311997676658,1.2268420788537997,4.200720910870775,,0.8181771694479009,,-1.63687388086884,,1.4712993481059815,,1.3714075095546383,-0.7691780967372727,,,,1.018046971212157,,0.3406343897077324,,1.0461865244713442,,,,,0.8876454595238281,1.1456575780300282,4.2921290748921335,0.9619542406477396,-0.5241294671597445,0.406135865595325,0.2413204325554923,1.0984455958549222,-0.1200100938219452,0.0,-0.1276601485488927,-0.0556,-1.3943410335846873,-0.2203947368421052,0.8614015098989731,1.7640243218533007,2.000245517982484,1.6200477726612328,,1.0247046987368185,-1.269868219518539,1.2455572948830262,1.0480696068065258,-1.399646154527281,-1.411966140699035,-0.0345959909012543,0.0686482024795076,1.3372530351646674,-1.4327731092436975,-0.1663593639526984,,0.1979472057549972,-0.8131813414414509,0.3537522219646031,-0.1433723416265897,1.7976984264813058,0.7199365020980443,,2.961653686417162,,0.6519330991314889,,1.2961590757627757,0.5292121983411717,3.248070006807011,2.7483273587311268,0.6064767487265437,0.4565443620128235,2.863188253976727,0.9419953988238288,-0.0106959081410242,1.025974025974026,0.4615384615384615,0.0,0.0,,,1.5170720467191223,1.2030513739441135,0.7815368244512725,1.0859718400620977,0.6045315102676073,,1.6086316821971556,2.026562960381962,,113.4638,0.0793768585222775
2021-06-30,0.8766787559110806,0.9613627805776744,,2.4049391595516783,0.8538987326244335,0.9931769475646158,,0.9374312142106884,0.796545631504297,-1.23828125,0.9720596125289572,0.8826063588448084,0.8363409845323446,-0.8821642926471635,1.874745574701695,-0.2641445701739571,0.6891341359665571,-0.2139831709407895,0.5254060230494388,-0.3045830455317639,0.000800961153384,0.7727377027086588,-0.9705232364209758,0.7493736776368013,0.7975783096855216,0.0186441859215976,-0.6201888996114355,0.0185780129648607,0.969526215321289,0.732429952112507,1.3099271488634732,4.200720910870775,,0.928971994477304,,-1.601707412864086,,1.459122517275648,,1.0580173834399849,-0.6995522285402034,,,,1.029724921152523,,0.3500366794026576,,1.0651639745586383,,,,,0.8766787559110806,1.033426254267566,0.9603471018703748,0.9571427677869326,-0.4938146329378823,0.1081081081081081,-0.0535002845759817,1.1191709844559583,0.1433634093764859,0.0,0.184040024879634,-0.0076,-1.2278358376648015,-0.4177631578947368,0.8042191969601883,1.606110581972264,1.8309590289895223,1.0556408677879288,,1.080597682304281,0.0016978296679478,1.251301862676107,0.2970592013597241,0.0613712448617482,-1.0629011822959424,-0.0840188350459035,0.1863308353015209,0.9884044172956238,0.3697478991596639,-0.2587812328153087,,0.1648046690116146,0.43340643352297,0.5763351109050159,-0.3137865831447534,1.1742875675547302,0.6618591527482686,,0.9539014833694116,28.25,0.6838669755214787,,0.873531549884147,0.4788110365943935,1.1952468836930092,1.1765370153252932,0.5596773179246207,0.5908221155460069,0.938212274474218,1.048079154547907,-0.0106959081410242,-0.4935064935064935,0.4205128205128205,0.0,0.0,,,-0.250760205642709,1.0624194358524868,0.7507110228031812,1.360054858448413,0.7202953263574915,,0.7150564001961746,0.5637776791169337,,110.9284,0.0003434647935064
