,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,commonStock,capitalStock,retainedEarnings,otherLiab,goodWill,otherAssets,cash,cashAndEquivalents,totalCurrentLiabilities,currentDeferredRevenue,netDebt,shortTermDebt,shortLongTermDebt,shortLongTermDebtTotal,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,noncontrollingInterestInConsolidatedEntity,temporaryEquityRedeemableNoncontrollingInterests,accumulatedOtherComprehensiveIncome,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,nonCurrrentAssetsOther,deferredLongTermAssetCharges,nonCurrentAssetsTotal,capitalLeaseObligations,longTermDebtTotal,nonCurrentLiabilitiesOther,nonCurrentLiabilitiesTotal,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurpluse,liabilitiesAndStockholdersEquity,cashAndShortTermInvestments,propertyPlantAndEquipmentGross,propertyPlantAndEquipmentNet,accumulatedDepreciation,netWorkingCapital,netInvestedCapital,commonStockSharesOutstanding,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,beginPeriodCashFlow,endPeriodCashFlow,totalCashFromOperatingActivities,issuanceOfCapitalStock,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,salePurchaseOfStock,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeReceivables,cashFlowsOtherOperating,exchangeRateChanges,cashAndCashEquivalentsChanges,changeInWorkingCapital,stockBasedCompensation,otherNonCashItems,freeCashFlow,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,sellingAndMarketingExpenses,grossProfit,reconciledDepreciation,ebit,ebitda,depreciationAndAmortization,nonOperatingIncomeNetOther,operatingIncome,otherOperatingExpenses,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,adjusted_close,10%DDret
2023-09-30,-0.2601031643686142,,,,-0.387729813114837,0.1616976715535296,,-0.2494250425894378,0.0,,1.559584416852849,,0.0,,0.362016055278935,0.2811018090275745,-0.480355675832407,,-0.5676141056812679,-0.6764687295936638,,,-0.457686529794692,,0.0544903863744672,0.377137729988397,,,0.2911775693584223,,,-0.7300813008130081,,,,,,,,,,,0.4784849386738514,,-0.7508954385458594,,,-1.075261864735549,0.2412263432816232,,,,,-0.2872177633428063,0.3851486878428906,,,,0.0,-0.0978962341843228,-0.3492591976027967,,,,,,,-0.1688324770827037,0.7161654787943716,-2.82196663584976,-0.1746261924738953,,,,,,,,,,0.0,,,,,,,2.215671720920369,-0.202393705866768,,,-0.2293167165709045,-0.0203846257007215,1.1009482418016594,,2.112787356321839,,-0.1651727982162764,0.2343031621801846,533.875,,-0.0842883548983364,-0.4981499513145083,-1.4448398576512456,-0.220573911740466,-0.1208287895310796,,,,,-0.2724692526017029,0.4278292297266772,-0.5622756144711406,-0.5987970194811024,-0.2969822869919601,,-0.0973322407356824,-0.2704293790590104,,35.8928,-0.091135653261096
2023-06-30,-0.1893661343120722,,,,-0.3059707154237159,0.2417354523428196,,-0.2432921635434412,0.0,0.0,1.560365771771112,,0.0,0.9698966585673092,0.3434000609694136,0.2397254259118318,-0.3372154834968346,,-0.5486394320026722,-0.7744612727234428,,,-0.328092138207311,,0.0294834412555871,-0.4190647438807892,0.1256364281830396,0.6374119104778131,0.2543699246937612,,,-0.0946045824094604,,,,,,,,,,,0.4620686414260875,,-0.6488644035477404,,0.0,-1.2256562782878573,0.1141822190723679,,-0.2816177442813698,,-0.4995886874875897,-0.2129852284438337,0.359541531257644,,,,-0.052090180809489,0.0188365650969529,-0.2833361078741468,0.508637142392706,,0.2645305231346258,,-0.3944898815141029,,-0.1071152748396628,0.8433546108788271,0.6501117382243858,0.0641644316622128,,1.6076555023923444,0.0993006993006993,-0.1804757998359311,,-1.6218581687612208,-2.569615069615069,-0.1193515088955006,-0.1020371715343676,0.0,,,,-0.1427461482510084,0.017424832239647,-0.4071598015958594,0.4309193086629201,0.0811878678969255,,,0.0332605001213886,-0.0175951506048333,0.9867641248518372,,5.7011494252873565,1.6076555023923444,1.5434559643255297,0.6128522795072474,10.625,-0.0315497715510707,0.2144177449168207,-0.472444011684518,0.6192170818505338,0.0302689743013411,0.0,1.1701668302257116,,,,0.2148315260898042,2.0126496498757622,-0.6368406517536592,-0.5029176766316545,-0.3136645470258956,,0.1933897842119639,0.0460683081810961,,35.2946,-0.0468910258226471
2023-03-31,-0.0963892470985021,,,,-0.4145613635788888,0.3738450166317605,,-0.3344761499148211,0.0,0.0,1.502594342502045,,0.0,,0.540473529112895,0.4657221474152567,-0.2357318900111148,,-0.7495099676591602,-0.8046257872896173,,,-0.0738107160741111,,0.0553576792687636,-0.4064912040473634,0.2439300591827655,0.6450650507240765,-0.3956625179417605,,,0.6875092387287509,,,,,,,,,,,0.6080609032096368,,-0.5817747978499168,,0.0,-1.2719513772145352,-0.6674016326744888,,-0.2806459077085813,,-0.4995886874875897,-0.1154138429988653,0.6306251528811545,,,,-0.0541561621867618,0.2115145616530658,-0.2500416181122024,-0.0710244726071217,,-0.1251461681685057,,-0.1478714480444584,,3.094002887747221,-0.9207771015916,0.7606388366294493,3.707055177531294,,1.6076555023923444,-0.2497902097902098,,,0.4084380610412926,-0.2485667485667485,-0.1661788815350051,4.018954863136839,0.0,,,,6.161062619850559,3.5038557075594112,-1.1841708000862627,-0.6556038596119181,4.407390768451003,,,0.8134930268943379,0.000590081270284,0.49446858949032,,-0.2349137931034483,1.6076555023923444,-0.4505685618729097,-1.5567332327238268,-2455.625,0.6642342088737793,-0.872951324707332,-0.1326192794547225,0.2064056939501779,-0.0086910916310781,-0.0544009970400373,0.8887144259077527,,,,0.1391456225893312,-0.7058203448535502,0.7484120408726871,-0.7769099560104139,1.2868809565341497,,1.5338250022762452,1.3900855020324254,,36.7367,-0.1439786371666481
2022-12-31,-0.2471282610852098,,,-1.0701057235036109,-0.4740156285562552,0.0493203564535337,,-0.088820272572402,0.0,0.0,0.6355833913245187,,0.0,,0.5677776648714562,0.5774691177331538,-0.289083264872179,,-0.7773401795447424,-0.8631853895898721,,,-0.0087464530128526,,0.1465589476846215,0.3549935018293371,0.0130408796976601,0.9955897157902888,-0.1043473131599127,,,-0.4099039172209904,,,,,,0.0,,0.7308663991677813,-0.3309343845309995,,0.4994752424066793,,-0.8424543519601729,,0.0,-1.361825940773309,-0.7403732577368297,,-0.2610769535898453,,-0.4995886874875897,-0.2736016988851066,0.6681832477198868,,,,0.0307296670591549,-0.261795313318859,-0.240719160978858,0.1592476964285241,,0.029653967992024,,-1.5397137464611512,,-1.0934152647661262,-0.2108510522217427,-0.7723880516603416,-0.6304410031572975,,1.6076555023923444,0.0226573426573426,-14.575881870385562,,0.2646992818671454,0.3349713349713349,-1.4181796101766957,-1.2113252925978402,0.0,,,,-2.085019506711632,-0.7103399695992288,1.627345266335993,-1.6404410985049305,-0.743707594659663,,,0.6695530198807693,-0.0360486012391706,5.762346898459107,,-0.0258620689655172,1.6076555023923444,-0.0016053511705685,-1.019338083037939,-1813.25,0.4385136744548624,0.3677141096734442,0.365141187925998,0.0142348754448398,0.1823630778452086,0.9531079607415486,0.870657507360157,,,,0.510297649370497,0.8220766508546044,-0.4810825738746203,0.9402998473830684,0.9579930543442065,,1.174815624146408,1.0078960893332711,,40.8031,-0.0868686718247733
2022-09-30,0.3388354329927586,,,0.0219838443374273,1.307007561388868,-0.1753316085581701,,0.828896933560477,0.0,0.0,0.0756937577067233,1.323201893592985,0.0,0.9721843787872456,0.7453002743623616,-1.1244950529828464,1.969973743133749,,-0.9582831648968536,-0.837318054473069,,,0.0087464530128526,,0.3409319333178244,0.4453841367762827,-0.366843271274564,0.8944397119182219,0.054719911913329,,,6.769992609016999,,,,,,0.0,,0.1112957483889271,-0.3225119445147654,,0.4950265511677814,,-0.455356912785574,,0.0,-1.322125953704901,-0.7081397485366302,,-0.2638205738463572,,-0.4995886874875897,0.341317676941174,0.9123737638466646,,,,-0.320378811410574,-0.5894437373661751,-0.2367238222074246,-0.0414044010714162,0.0,0.6644844019006971,,0.1004770892314144,1.8500570059769903,-0.8514153319230382,0.3560938592706117,-0.1554637513441989,-1.015252996037616,,1.6076555023923444,1.3272727272727274,-0.1312551271534044,,0.4052962298025134,0.368959868959869,-0.0093266136377436,0.4604412482587005,0.0,,,,-1.6084606228922833,-0.9330997664330998,,2.4927367193298697,-1.2007003720726637,,,-1.372582341992393,-0.0402864576348469,0.9085341762149348,,-0.1803160919540229,1.6076555023923444,3.551036789297658,1.4028708805671568,10.625,-1.1787748208137545,10.185089340727048,-0.5039922103213242,-0.0213523131672597,-0.9817936614969656,-0.2017136625642623,-0.0392541707556427,,,,-1.7512553671494069,-0.6766056772833371,-0.3164871582435791,-0.7693688841009068,-2.706331964288546,,-1.5642356368933807,-1.810587300845676,,36.4532,0.0091432302239582
2022-06-30,1.6606685844658269,,,1.000093079069954,-0.384745719849278,-0.0102665188287955,,-0.1908645655877342,0.0,0.0,0.881368347800608,0.0,0.0,1.0211673820767388,-0.0439995935372421,-0.3037000175633745,-0.2270010792699624,,-0.1537756441627244,-0.8046257872896173,,,-0.2736437990318811,,1.440876146509259,-0.0683148718022634,-0.1590879472972305,0.6838457368543328,0.0164965886077193,908000.0,,0.229120473022912,,-1.5501618122977343,,,,0.0,,1.0028506194355504,-0.3154235932797287,,0.1430160246871035,,-0.3368034261153685,,0.4946207272232057,-0.4798913746282167,-0.57206604194556,,1.015757635858786,,-1.5094318214052704,1.7284698583221427,0.1758045916762763,,,,1.051728995254022,-0.3487010556262633,-0.2280672548693191,-0.2366420768927868,0.0,-0.2364823656836861,,-0.0982751389325783,1.4884433337555998,0.0307746549813639,0.4018133031777444,0.3372102294889781,0.1592810479705513,,1.244019138755981,-0.8911888111888112,-0.1312551271534044,,17.4028276481149,0.0102375102375102,-0.1509259821482785,0.8098679588993797,0.0,,,,0.1287938901011704,0.1430875319764208,-3.070519732585724,6.038808185770332,0.1941459031689532,,,-2.301070917968223,-0.0247834133519298,0.6777953378111419,,0.2277298850574712,1.244019138755981,0.0706354515050167,0.1675499245428701,249.75,-1.9647257530153093,0.5673444239063463,-0.6858812074001948,-0.1637010676156583,-1.4496141455008615,-0.2515033494313756,-0.3709519136408243,,,,-2.6600684084127795,-0.6814245915217227,-0.5098039215686274,-0.9790825029176766,-2.560314616006724,,-2.84694527906765,-3.061720319581367,,35.5309,0.0485633631571391
2022-03-31,3.2892470985021327,,,0.9985522624657934,2.8990971853425385,0.6620877992690238,,0.0056005110732538,0.0,0.0,2.4484733057417376,0.2389585238581957,0.0,1.7286818743544892,0.000416624326796,-0.2397254259118318,3.844359606308091,,-0.1990476412419504,-0.6156341499378594,,,-0.2517776664997496,,2.62299636143528,0.5509740049150673,4.056881962513088,1.150815070084411,5.982992194105272,2145000.0,,18.227642276422763,,-1.996763754045308,,,,0.0,,2.7369999594698657,-0.2942549797274762,,0.5499772866116324,,0.0067254520998356,,1.1684597575922648,-0.1898357687831372,-0.2066829409139827,,1.028933624223192,,-1.5845459960854396,3.43752537397333,-0.1122479644966278,,0.075020417687551,,1.084055102468342,0.6319083626562851,-0.2220742467121691,-0.4535374394284366,0.0,-0.3822899628141436,,0.082704204676523,-1.212833830456163,0.544776871159464,0.1438441432192083,0.3769403337277035,0.699445654229857,,1.6076555023923444,-0.5857342657342657,-0.1312551271534044,,-14.631956912028723,0.4295659295659295,-0.0329831805209788,1.0779268713760135,0.0,,,,1.1409938504265027,0.7422422422422422,-2.920207030407591,3.402926518926943,0.8356314291967608,,,-1.234199239297564,0.1300324544698656,1.0436586329514026,,-0.4116379310344827,1.6076555023923444,2.680758082497213,1.0604008001965397,10.625,-1.061453844654728,7.780160197165743,-0.4656280428432327,-0.2562277580071174,-0.9719037986064284,-0.3217946720673002,-0.8086359175662414,,,,-1.7320427916454406,-0.670582034485355,-0.3965755316210991,-0.6465571415746476,-2.2341542316170058,,-1.3367021760903215,-1.7814325094612904,,41.4462,-0.1037947990406839
2021-12-31,2.487183811129848,,,0.9983116888696048,0.4928558784108439,0.9763870066937704,,0.8211882453151619,0.0,0.0,3.2389114749294947,0.7417827747592662,0.0,1.2136606508540146,0.3196423127730922,-0.6726772437210936,0.4493951255658113,,-0.524423936882281,-0.0179891727929559,,,-0.2811216825237856,17190000.0,1.7985802596006388,0.5707231587115125,0.7046478917544072,0.7535758537907535,1.1607581745610414,5280000.0,,-0.1800443458980044,,-1.8942826321467097,,,,0.0,,3.611694294708116,-0.2895454855962613,,0.9068751076927896,,0.1138997830333077,,2.876208634073267,-0.0646579593948015,0.8672073916581358,,1.0099993388866852,,-1.5182821320171334,2.5958277380469066,0.3268616556592235,,-0.9039785322599464,,1.1860827981767352,1.1428913678221158,-0.2204095222240719,3.942972963570257,0.0,2.573257865069608,,-0.0513526266121421,-10.588025289924335,-3.941103388066217,2.536273503256109,0.1527656557428275,-4.702103409978224,,1.6076555023923444,18.17174825174825,-0.1214109926168991,1.2384333295896792,0.4800269299820466,0.4852579852579852,-0.0566397474042139,-6.117277262498661,0.0,,0.7060733780142334,,-7.692835416253389,-4.559114670225782,0.1539788656458917,-0.383734492630686,-5.579108638306206,,,0.4481400555690432,-0.0561650081806721,-0.0294350059265112,,1.4576149425287357,1.6076555023923444,-2.076967670011148,-0.8118485241989261,10.625,0.2392542387561984,0.6067775723967961,1.5287244401168452,-0.0711743772241993,0.1458005544317075,-0.1892506620968998,0.0392541707556427,0.0,,,0.4392693399315915,2.767713274602816,0.3916045291355979,2.518538468444205,0.4809945925373844,,0.8233633797687335,0.6121571742279119,,42.5241,-0.0711619999012324
2021-09-30,4.777601428429719,,,0.9981742182432112,6.504488784361328,0.8910106361135066,,0.9390332197614992,0.0,0.0,2.886178564016164,0.6114368712679542,0.0,3.119642036262037,2.755654913118585,2.997014226333353,8.075484463345093,,-3.007371847156518,0.0408232047690266,,,-0.1788015356367885,,3.870768841599342,-0.6594826447194255,0.6299077431908363,0.7322794857895144,0.7543404313887414,5590000.0,,34.40133037694013,,-0.8597626752966558,,,,0.0,,3.221362082708494,-0.287021968263153,,0.761384106893905,,0.1296491942341488,,3.0450769440283265,0.8176645545066598,0.9730424967845236,,0.9923938913129712,,-1.2971378322412277,4.999427459063323,3.677709054058776,,-1.3509508808773771,,1.1330535349230313,0.989653365276634,-0.2120858997835858,15.288097352531173,0.0,10.200001502931611,,-0.0629390793750655,10.004053758363757,5.153403176521944,-0.4446163842060103,2.231781928362545,5.119700856980732,,1.588516746411483,14.806433566433569,2.008203445447088,-2.376769486940344,-0.5213195691202872,-0.0221130221130221,-0.1143481692877527,6.05103049208825,0.0,,0.3802943411870379,,10.216541030218872,5.150854558261965,-2.24800517576019,-0.3922171561870427,6.085012268030549,,,0.0790105473281001,0.2008422069039508,-0.4209798498617147,,0.0510057471264367,1.588516746411483,-0.4969453734671126,-0.1901519671498262,10.5,-0.1403824083497542,1.573875539125077,-1.168062317429406,0.199288256227758,-0.1729227541769686,0.0454899517058731,-0.710107948969578,0.0,,,-0.1798995706280474,-0.8121376402379339,-1.7735432201049437,-1.0465930514408834,0.0436402848036028,,0.3940635527633616,-0.1284866607484932,,36.9038,-0.0441038592231692
2021-06-30,2.5329629997024106,,,0.9981226667583136,0.8312975747919986,0.9172313252022504,,1.02131601362862,0.0,0.0,2.8127800363818385,0.999784818978966,0.0,1.9278496504540217,-0.0439386241235646,-1.4012206545284234,0.6940511284009085,,-0.1538377882904927,0.2820550628778464,,,-0.085995660156902,,1.3637232161208066,0.8867096194546341,0.5975347254989193,0.7806745140556028,0.6762421596964155,7508000.0,,0.2478935698447893,,-0.4757281553398058,,,,0.0,,3.1401396938623867,-0.2645835593649416,,0.6691520857156283,,0.6575946072696726,,4.0898815198147895,0.3958360274149747,1.475024280127044,,0.9710795980431046,,-1.1804952769977024,2.643869127551711,-0.1732606492644232,,-1.5800956714502392,,0.2417920582520064,1.0172344089241596,-0.2007657732645247,1.6692343539637895,0.0,1.0447403380294673,,-0.0567526475830974,-0.1225570923496827,-0.067358382861556,-0.3409168687785499,-0.358605351797617,-0.0855622753881147,,3.4832535885167464,1.4772027972027972,-0.1050041017227235,-2.3367237818068176,-0.7152154398563735,-0.2256347256347256,0.0229279251927864,-0.8539927847694341,0.0,,2.016444413735922,,-0.0644548039410169,0.1233270307344381,-9.407591114945008,0.0422012511928745,-0.0966236997615509,,,1.817080736964204,10.507255317436902,1.1965626234689846,,-1.261494252873563,3.4832535885167464,-8.893467112597547,-3.48738286596708,22.875,1.696909984625712,-1.3451632778804683,0.899902629016553,-0.0427046263345195,1.1061661796658424,0.052531546969933,1.537585868498528,0.0,,,2.304926861218252,-0.6985919734959717,2.8743441038387187,-0.2551395996049915,2.373574792661074,,2.550122917235728,2.507872728122226,,38.3342,-0.0833746367473431
