,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,commonStock,capitalStock,retainedEarnings,otherLiab,goodWill,otherAssets,cash,cashAndEquivalents,totalCurrentLiabilities,currentDeferredRevenue,netDebt,shortTermDebt,shortLongTermDebt,shortLongTermDebtTotal,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,noncontrollingInterestInConsolidatedEntity,temporaryEquityRedeemableNoncontrollingInterests,accumulatedOtherComprehensiveIncome,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,nonCurrrentAssetsOther,deferredLongTermAssetCharges,nonCurrentAssetsTotal,capitalLeaseObligations,longTermDebtTotal,nonCurrentLiabilitiesOther,nonCurrentLiabilitiesTotal,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurpluse,liabilitiesAndStockholdersEquity,cashAndShortTermInvestments,propertyPlantAndEquipmentGross,propertyPlantAndEquipmentNet,accumulatedDepreciation,netWorkingCapital,netInvestedCapital,commonStockSharesOutstanding,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,beginPeriodCashFlow,endPeriodCashFlow,totalCashFromOperatingActivities,issuanceOfCapitalStock,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,salePurchaseOfStock,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeReceivables,cashFlowsOtherOperating,exchangeRateChanges,cashAndCashEquivalentsChanges,changeInWorkingCapital,stockBasedCompensation,otherNonCashItems,freeCashFlow,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,sellingAndMarketingExpenses,grossProfit,reconciledDepreciation,ebit,ebitda,depreciationAndAmortization,nonOperatingIncomeNetOther,operatingIncome,otherOperatingExpenses,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,adjusted_close,10%DDret
2023-09-30,0.4786491511475509,0.4021358543417367,,0.3112244897959184,0.467697907188353,0.6038526007434473,,0.1475457031812293,-0.2,0.0,0.6331910620135576,,0.3205136338835949,,0.2864368651231678,,0.4544600938967136,0.5995260663507109,0.620021528525296,1.0638297872340423,1.08881199538639,0.6463963963963963,0.7653846153846153,,0.206939668646452,,,,0.1373337457469842,0.0594837261503928,0.8372093023255814,0.2290502793296089,,,,-0.9608553044920162,,,,,,,-0.4392547311395,,0.549244175706918,-0.296943231441048,,-0.2585724282715185,0.482795129698253,,,,,0.4786491511475509,0.2864368651231678,,0.2546236559139785,,0.0,-0.6869158878504673,0.7272727272727273,0.5981308411214953,,,,-1.670926517571885,,-0.2723468851565693,0.4480831996459589,0.2864368651231678,1.1233524794434746,,0.718409236690186,,-1.1612903225806452,0.652605459057072,0.5537056928034372,0.0,0.2935377875136911,,-0.2978723404255319,,,,,1.0417952522255194,-0.5555555555555556,-0.1346283296470814,1.2006071864256405,,,0.327972915785019,,0.5841784989858012,,0.3845288115246098,0.7307692307692307,0.3458652759432998,0.438491397900992,0.8042895442359249,,0.2985915492957746,0.2344909468685069,0.5254237288135594,0.0,0.5806451612903226,-2.6666666666666665,,,,0.2484897819287948,0.194658448895737,0.6279434850863422,0.1897865853658536,0.2857369632510517,,0.5719769673704415,,,5.6785,-0.1008694422845833
2023-06-30,0.5652717242220122,0.4350490196078431,,0.6428571428571429,0.6493175614194723,0.5923707899712426,,0.2087231898661292,-0.2,0.0,0.6201355761988451,,0.3134080267982895,,0.4079978761754391,,0.5253521126760563,0.533175355450237,0.9466400123020144,0.9383614900685656,0.7058823529411765,0.9698761261261262,0.7627090301003344,,0.5792435135979994,,,,0.5975873801422827,0.5218855218855218,1.096094778411584,0.4703910614525139,,,,-0.95662763510046,,,,,,,-0.6027551032858695,,0.5656055486395163,-0.3318777292576419,,-0.2767669699090272,0.6863797927852984,,,,,0.5652717242220122,0.4079978761754391,,0.327741935483871,,1.0297029702970295,0.319626168224299,0.7198515769944341,0.0934579439252336,,,,-0.2571884984025559,,-1.6735885409571258,1.0662720584167726,0.4079978761754391,-0.5571518051094794,,0.7953816549069916,,-2.290322580645161,0.8933002481389578,-1.4473684210526316,,0.1358159912376779,,-0.1914893617021276,,,,,-1.0576112759643916,0.1111111111111111,-0.1538609481680931,-0.5544111123433515,,,0.8675412611087601,,0.5517241379310345,,0.7484243697478992,0.8076923076923077,0.8170045888424406,0.8673982843724541,0.8742277654738314,,0.9464788732394366,0.3864648263579697,0.5084745762711864,1.0595238095238095,0.967741935483871,-2.2,,,,1.011096354055096,0.4288649203903441,0.609105180533752,0.3894817073170731,0.238114136042543,,1.0134357005758157,,,5.0551,0.057585408795078
2023-03-31,0.5451552927550367,0.4511554621848739,,0.3163265306122449,0.6342735820442826,0.5612490397202669,-0.9877622377622378,2.125017993378437,-0.2,0.0,0.5883337517783915,,0.3385314232784763,,1.032569967444005,,0.3863849765258216,,0.8583730585883439,0.8553050116632501,0.4567474048442906,1.0149211711711712,0.7568561872909699,-0.7113997113997114,0.3932478899656143,,-0.0133601756954612,,-0.158985462418806,0.5937149270482603,1.3111013602457218,0.5810055865921788,,,,-0.9521650951871508,,-0.2,,0.6049948804701064,-1.226502311248074,,-0.6100760154715278,,0.5844566957140317,-0.1397379912663755,0.4296969696969697,0.5108467459762072,0.7123950691976102,,,,-0.5926839293053843,0.5451552927550367,1.032569967444005,0.7802780090044127,0.3638709677419355,-1.0083303151032237,0.7336633663366336,0.2560747663551402,0.6938775510204082,0.4859813084112149,-1.7936024371667936,0.9245283018867924,0.4886456908344733,1.5798722044728437,,2.592413833369013,0.1687226862864413,1.032569967444005,-0.6517717925823261,,0.8723540731237973,-0.6842105263157895,-1.1774193548387095,-0.598014888337469,0.8147153598281418,,2.230010952902519,0.3178807947019867,-0.6382978723404256,0.6919801277501775,0.1720116618075801,,1.3143939393939394,-0.7757121661721068,0.9629629629629628,0.0769304740840465,-0.6237246312520794,,,-0.3306178586542531,,0.4300202839756592,,-0.0937875150060024,0.8846153846153846,-0.3703754136085731,-0.1629366943020079,0.944165986711738,-0.2105263157894736,-0.2169014084507042,0.0943900267141585,0.2372881355932203,-0.75,1.096774193548387,-1.0,,1.434782608695652,,-0.291332847778587,-0.0385208012326656,0.5117739403453689,0.0381097560975609,-2.508135566314787,,-0.1420345489443378,-0.4428571428571428,,5.0885,-0.0902230519799546
2022-12-31,0.5463135115364687,0.4592086834733893,,0.2959183673469387,0.6362147406733394,0.5617022690928538,-0.75,0.865481502806967,-0.2,0.0,0.6072474684073981,,0.3375163365520041,,0.1257527700540737,,0.7835680751173709,-0.0687203791469194,0.7707212055974165,0.9206898989184986,0.6228373702422145,0.7519707207207207,0.7493311036789297,-0.6363636363636364,0.3547983744920288,,-0.0276354319180087,,0.3377667800804206,0.225215114104003,1.0715225976305398,0.9720670391061452,,,,-0.9674316791011036,,-0.2,,0.6251168588345279,-1.177195685670262,,-0.4905011164391083,,0.5945580650898097,-0.0087336244541484,0.0317171717171717,-0.2659202239328201,0.5868562353475005,,,,-0.6428277846280313,0.5463135115364687,0.1257527700540737,0.7679707848876238,0.4206451612903226,-0.8533140166606302,-0.2257425742574257,-0.6280373831775701,0.7087198515769945,1.2897196261682242,-0.0327494287890327,1.7358490566037736,-0.5477428180574555,-1.5319488817891374,,-0.5487028783839013,0.387232394755767,0.1257527700540737,0.8195023788264456,,0.7953816549069916,-2.6578947368421053,-1.1451612903225807,1.1166253101736974,-0.3216970998925886,0.0,0.2913472070098576,-0.6357615894039735,-0.0638297872340425,-0.0589070262597586,1.1574344023323615,,-0.2026515151515151,0.6456528189910979,-0.4814814814814814,-0.8270025964035004,0.8692885660419208,,,0.5157638595006347,,0.3245436105476673,,0.3939075630252101,0.8076923076923077,0.5855199553370825,0.4408875257583745,-0.2098146637137195,1.263157894736842,0.7718309859154929,0.4939151083407539,0.0847457627118644,0.3809523809523809,0.9032258064516128,-0.6,,3.1739130434782608,,0.5226854033674649,0.4586543400102722,0.401883830455259,0.5777439024390244,-3.0002381141360424,,0.7216890595009597,0.3607142857142857,,5.2353,0.0320298794635277
2022-09-30,0.5673443262519431,0.4443277310924369,,0.9642857142857144,0.7130118289353958,0.5181922493244994,-0.9213286713286714,0.6657550021592055,-0.2,0.0,0.5879989957318604,0.8419462073133878,0.3258428391975739,-0.2947281882643099,0.3465187441490031,,0.3826291079812207,-0.4834123222748815,0.9580193756727664,0.3605004594613699,-0.825836216839677,0.9679054054054054,0.7459866220735786,0.6421356421356421,0.4545170365739293,,-0.0851024890190336,,0.1348592638416331,0.63112607557052,1.385695480473892,0.6916201117318436,,,,-1.003366868929331,,-0.2,,0.6046387392601167,-1.177195685670262,,-0.0707688177946972,,0.5964076115952338,-0.0436681222707423,0.4701010101010101,0.6990902729181245,0.8117673750283597,,,,-0.6592683929305384,0.5673443262519431,0.3465187441490031,0.7417899626755458,0.4189247311827957,-0.6823614632379572,0.9356435643564356,-0.1766355140186916,0.686456400742115,-0.0373831775700934,-0.5674028941355674,0.3962264150943396,-0.4875512995896033,-1.3562300319488818,-0.376551724137931,-0.4669637817955355,0.5766996736184101,0.3465187441490031,0.8341618135053374,,0.7440667094291212,,1.1451612903225807,0.7791563275434243,0.5204081632653061,-1.6869565217391305,0.1642935377875136,12.304635761589404,-0.0425531914893617,0.4975159687721788,-0.119533527696793,,-0.1079545454545454,0.5180563798219584,-0.8888888888888888,18.40561592460813,0.8831512698236664,,,-1.95196783749471,,0.2961460446247465,,0.2457232893157263,0.7564102564102564,0.4520758724928171,0.5367326400536733,0.8276022846485604,3.087719298245614,0.6338028169014085,0.4672009498367468,-0.0677966101694915,-0.3095238095238095,1.2258064516129032,0.3333333333333333,,42.95652173913044,,0.0257058395098753,0.3877760657421674,0.4458398744113029,0.5327743902439024,-17.033097864909912,,-2.637236084452975,-2.7642857142857142,,4.5584,-0.0530449280449279
2022-06-30,0.7268737236733823,0.4900210084033613,,1.0816326530612246,0.919381255686988,0.6565782844210712,-0.6241258741258742,0.7089391104073701,-0.2,0.0,0.7148715373671437,0.8325778180719251,0.6108284376546421,-0.320316514232864,0.5379424052313152,,0.7906103286384977,-0.0687203791469194,1.2643395355989544,0.837633420513183,0.3506343713956171,1.2868806306306306,0.7451505016722408,0.9177489177489178,0.8580806502031885,,-0.2564055636896047,,0.5839777296628519,0.928544706322484,1.7411145239139971,1.1385474860335196,,,,-0.9650829738835724,,-0.2,,0.7396162578462361,-1.177195685670262,,-0.8394645972888222,,0.6907344833718656,0.6812227074235808,0.7913131313131313,-0.2837648705388383,0.937608712092566,,,,-0.6633785450061652,0.7268737236733823,0.5379424052313152,0.7802780090044127,0.5832258064516129,-0.7750814922129663,1.3534653465346536,1.6607476635514018,0.7402597402597403,0.2242990654205607,1.226961157654227,0.660377358490566,0.2484268125854993,0.1773162939297124,0.8482758620689655,0.0818558667263491,0.5711677822647563,0.5379424052313152,-0.2586324080120474,,0.9108402822322,-0.1052631578947368,1.1451612903225807,-0.3275434243176178,-1.173469387755102,-1.6869565217391305,0.4863088718510405,-1.5364238410596027,-0.2978723404255319,-0.6217175301632364,-1.2215743440233235,,0.1837121212121212,-0.636246290801187,-0.2592592592592592,-3.76959323011828,-0.2369551957413774,,,1.1267456622936944,,0.2920892494929006,,0.4820678271308523,0.9230769230769232,0.7598142676234698,0.8314563665117171,0.944165986711738,1.649122807017544,0.952112676056338,0.5924606708222024,-0.288135593220339,0.6785714285714286,0.967741935483871,0.9333333333333332,,0.8260869565217391,,0.7369007326164261,0.5695942475603493,0.3924646781789639,0.7065548780487805,-0.3492340661957298,,1.5124760076775432,1.0964285714285715,,6.0046,-0.0061286347133863
2022-03-31,0.7327257764637752,0.5451680672268907,,0.7959183673469388,0.9205944798301486,0.669570859768566,-0.791958041958042,3.103857780336836,-0.2,0.0,0.6613105699221692,0.927470534904805,0.6608214589333976,-0.2950364813482684,0.532353393228912,,0.6892018779342723,,1.2151314777794864,0.7033293277726727,-0.0784313725490196,1.2407094594594594,0.775418060200669,-0.2683982683982684,0.5820568927789934,,-0.4123352855051244,,0.0754716981132075,0.8713056490834269,1.7402369460289602,0.7899441340782123,,,,-0.9122371064891204,,-0.2,,0.6826336642478743,-1.1371340523882896,,-0.4343741230157277,,0.7603770229414903,1.3973799126637554,0.7294949494949495,0.8317004898530441,0.9717915752854874,,,,-0.5252774352651048,0.7327257764637752,0.532353393228912,0.819661126178137,0.7733333333333333,-0.8185440057950019,0.693069306930693,1.511214953271028,0.7179962894248608,0.2242990654205607,-2.643564356435644,0.660377358490566,0.8596443228454173,2.623003194888179,-2.3158620689655174,2.0163478193176734,-0.1217016097803839,0.532353393228912,-1.7312392553007183,,1.013470173187941,,1.1774193548387095,-0.9032258064516128,0.7663802363050484,0.3739130434782609,3.734939759036144,0.423841059602649,-0.3404255319148936,0.6600425833924769,-0.4810495626822157,,0.990530303030303,-2.0190356083086054,0.7037037037037037,0.3461871333782094,-1.7660114228679162,,,-0.2697841726618705,,0.6896551724137931,,-0.0881602641056422,1.0256410256410255,-0.4330124320864935,-0.1916902285905976,1.0723860589812333,-0.2456140350877192,-0.2816901408450704,0.3478777085188483,-0.4745762711864407,-0.5952380952380952,0.4516129032258064,1.1333333333333333,,0.1304347826086956,,-0.1799408765691273,0.1617873651771957,0.6373626373626373,0.3330792682926829,-1.7779188824509882,,-0.1036468330134357,-0.4071428571428571,,7.2803,-0.1062593574440613
2021-12-31,0.7271175592063154,0.5558473389355743,,0.2346938775510204,0.929693660903852,0.6443410913612215,-0.7115384615384616,2.0296530876637395,-0.2,0.0,0.6782157502719893,0.9948624962224236,0.6699572394716473,-0.2885623265851402,-0.1676703600720982,,1.3450704225352113,-0.0687203791469194,0.889435645086883,0.6768219410475719,-0.1614763552479815,0.8015202702702703,0.7618729096989967,1.3073593073593073,0.487964989059081,,-0.5089677891654466,,0.5357253325085061,0.2910587355031799,1.3593681439227732,1.7396648044692735,,,,-0.9561578940569536,,-0.2,,0.7006187953523572,-1.1001540832049306,,-0.3514037849115999,,0.7752445313889383,1.4759825327510918,0.1028282828282828,-0.185444366689993,0.771836950767602,,,,-0.6017262638717632,0.7271175592063154,-0.1676703600720982,0.918342686823662,0.8154838709677419,-1.399492937341543,-0.988118811881188,-0.111214953271028,0.7421150278293135,-0.5046728971962616,1.1035795887281037,-0.0754716981132075,-0.6478796169630643,-1.8210862619808303,1.0055172413793103,-0.5915185956444738,0.1120207999114897,-0.1676703600720982,1.1979823287178326,,1.0262989095574089,,1.1612903225806452,-0.3647642679900744,-0.7738990332975295,0.6347826086956522,-0.0219058050383351,-2.609271523178808,0.4893617021276595,-0.3577004968062455,0.7317784256559767,-0.1724137931034483,-0.2272727272727272,0.7465430267062314,0.0,0.3461871333782094,1.226946323610957,,,1.269572577232332,,0.5963488843813387,,1.0091536614645855,1.0384615384615383,1.2064434428573374,1.2531748694110318,1.084042429187551,0.1403508771929824,1.1830985915492958,0.7663995250816266,-0.3728813559322034,-0.3571428571428571,0.0,0.2666666666666666,,0.782608695652174,,-0.0085686131699584,0.8228043143297381,0.6467817896389325,0.868140243902439,0.0476228272085086,,2.053742802303263,1.6,,7.4501,-0.0227916403806659
2021-09-30,0.7153524947422963,0.5859593837535014,,0.8673469387755102,1.003093721565059,0.5237820782530727,-0.3129370629370629,0.8133007053404347,-0.2,0.0,0.6008871035233074,1.211846479298882,0.6742713580591542,-0.2717089713287431,0.0684653970294401,,0.7699530516431925,0.6232227488151659,1.1505459018914348,0.5107089842369407,-0.4752018454440599,1.0881193693693694,0.755685618729097,1.072150072150072,0.3682400750234448,,-0.8702415812591509,,0.2047633776678008,0.77665544332211,1.2356296621325142,0.905027932960894,,,,-1.0263841800611369,,-0.2,,0.6183501758447224,-1.0970724191063177,,-0.2123064533840916,,0.7887604481593455,-0.3755458515283842,0.6272727272727273,-0.1616515045486354,1.0486273916660365,,,,-0.6329634196465269,0.7153524947422963,0.0684653970294401,0.9181189191124476,0.6752688172043011,-1.327055414704817,-0.1544554455445544,0.2925233644859813,0.738404452690167,0.0,0.1393754760091393,0.4339622641509434,-0.5882352941176471,-1.6293929712460065,0.9227586206896552,-0.7043963956950743,0.3858494219173535,0.0684653970294401,0.9780908085344564,,1.0647851186658115,,1.0,-0.9280397022332506,0.2518796992481203,0.0347826086956521,0.0547645125958378,0.5827814569536424,-0.0851063829787234,0.3200851667849538,1.0,,-0.2234848484848484,0.6352670623145401,0.074074074074074,0.8847004519665352,1.035641011422868,,,0.5554380025391451,,0.7058823529411765,,0.6171218487394958,1.0769230769230769,0.5201595882296872,0.6565390329227968,1.1190115398065044,-0.2456140350877192,0.4788732394366197,0.6506381715642624,-0.2203389830508474,0.3928571428571428,-0.064516129032258,-0.4,,0.1304347826086956,,0.5312540165374234,0.5988700564971752,0.7472527472527473,0.6951219512195121,-0.2539884117787126,,0.7754318618042226,0.4107142857142857,,7.681,-0.0162999609425856
2021-06-30,0.7776524734066872,0.6348039215686274,,1.6989795918367347,1.132302092811647,0.5172857905793253,-0.2849650349650349,0.8636821649632935,-0.2,0.0,0.5777889363126621,1.2898156542762165,0.6821382801893137,-0.2576302538279724,0.3451214911484022,,0.655868544600939,0.0545023696682464,1.4325695832692604,0.6255743267123772,-0.1337946943483275,1.402027027027027,0.7493311036789297,1.152958152958153,0.530478274460769,,-0.9994509516837482,,0.4967522424992267,1.1859334081556303,0.960070206230803,0.7977653631284917,,,,-0.9951464006679718,,-0.2,,0.5937764323554289,-1.0970724191063177,,-0.0024403040618861,,0.8245420593988974,-0.8384279475982532,1.0692929292929292,-0.13296011196641,1.2464644936852454,,,,-0.6642005754212906,0.7776524734066872,0.3451214911484022,0.1411974257762502,0.7234408602150537,-1.27345164795364,0.6,1.3439252336448595,0.7365491651205937,-0.6915887850467289,0.4166031987814166,-0.2641509433962264,0.1543091655266757,0.5207667731629393,-0.0868965517241379,0.1752719771130529,0.3471261824417768,0.3451214911484022,-0.5118408251929049,,1.0904425914047466,-0.8947368421052632,1.0,-0.5607940446650124,-1.0918367346938775,0.008695652173913,1.0449069003285871,0.6357615894039735,0.1063829787234042,-0.5677785663591199,-1.1399416909620992,,0.1723484848484848,-1.4552373887240355,0.4444444444444444,0.7885373593614771,-0.5266857047798602,,,1.087071519255184,,0.539553752535497,,0.7465486194477791,1.1025641025641026,1.0702760113835972,0.9057363300905736,-0.0233127404126355,2.912280701754386,0.7971830985915493,0.5325022261798753,-0.1525423728813559,-0.5952380952380952,-0.1290322580645161,-0.7333333333333333,,,,-0.1799408765691273,0.5531587057010786,0.6185243328100472,0.5746951219512195,1.269942058893563,,1.8656429942418429,1.425,,7.6612,-0.0915391844619641
