,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,commonStock,capitalStock,retainedEarnings,otherLiab,goodWill,otherAssets,cash,cashAndEquivalents,totalCurrentLiabilities,currentDeferredRevenue,netDebt,shortTermDebt,shortLongTermDebt,shortLongTermDebtTotal,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,noncontrollingInterestInConsolidatedEntity,temporaryEquityRedeemableNoncontrollingInterests,accumulatedOtherComprehensiveIncome,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,nonCurrrentAssetsOther,deferredLongTermAssetCharges,nonCurrentAssetsTotal,capitalLeaseObligations,longTermDebtTotal,nonCurrentLiabilitiesOther,nonCurrentLiabilitiesTotal,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurpluse,liabilitiesAndStockholdersEquity,cashAndShortTermInvestments,propertyPlantAndEquipmentGross,propertyPlantAndEquipmentNet,accumulatedDepreciation,netWorkingCapital,netInvestedCapital,commonStockSharesOutstanding,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,beginPeriodCashFlow,endPeriodCashFlow,totalCashFromOperatingActivities,issuanceOfCapitalStock,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,salePurchaseOfStock,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeReceivables,cashFlowsOtherOperating,exchangeRateChanges,cashAndCashEquivalentsChanges,changeInWorkingCapital,stockBasedCompensation,otherNonCashItems,freeCashFlow,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,sellingAndMarketingExpenses,grossProfit,reconciledDepreciation,ebit,ebitda,depreciationAndAmortization,nonOperatingIncomeNetOther,operatingIncome,otherOperatingExpenses,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,adjusted_close,10%DDret
2023-09-30,-0.0827084613352072,0.0,,1.9064885522171329,5.582917981537736,-0.2109464771696401,,-0.0274425341001475,,0.0,-1.3186683770137664,,,,0.1782325274362571,,2.706125210331847,0.4306800210859251,-0.1836554991823556,-0.7368421052631579,-1.3928571428571428,-0.6292134831460674,0.7690942127357407,,-0.0983652762119503,,,-0.1962111841676974,,,,0.8767123287671232,,,,,,,,,,,0.53125,,1.2836279784780935,0.4895028826280866,,1.0140845070422535,0.9763560500695412,,,,,-0.0827084613352072,-0.0990632983252909,,1.884057971014493,,-0.3901227352425482,-0.4085439229843562,44.598204752578695,-1.2951541850220265,,,,8.551724137931034,,0.6683069176632145,0.3236122683807483,0.2632176451508271,-0.6804264005443411,2.0,1.7777777777777777,,,,,,-4.228571428571429,,7.945945945945946,,,,,-1.495268138801262,-2.073122529644269,0.5482233502538071,-0.8974526453298498,0.8439437091640141,,0.3877159309021113,,-0.72,,,1.7575757575757576,0.0,0.2273057019877158,0.2253521126760563,,0.5492730210016155,-0.5764973929018489,,0.0,,3.398,,,,0.1304347826086956,0.0,-0.2750457209509958,,-0.7157594936708861,,0.3857965451055662,,,4.91,0.0041666666666667
2023-06-30,-0.3637237597899173,0.0,,0.1815703383063936,7.35836257999823,-0.4243120653159963,,-0.0997077474330794,,0.0,-1.1995136825843635,,,,0.0894463239541216,,4.118167467517824,0.863995782814971,-0.0887248941255398,-0.3759398496240601,-0.8452380952380952,0.0,0.4041268979344625,,-0.2480270574971815,,,-0.1962111841676974,,,,0.7984344422700587,,,,,,,,,,,1.15625,,1.1299000768639509,0.5438920918089851,,0.9389671361502347,0.3866481223922114,,,,,-0.3637237597899173,-0.2517740562021004,,1.5458937198067633,,-0.6642314436002338,-0.6669675090252708,12.500837196313206,12.687224669603523,,,,1.4106583072100314,,1.2919837500715226,0.1515692576280601,0.1758027894907557,-0.4604218643683375,,0.6666666666666666,,,,,0.0,-2950633.442857143,,3.783783783783784,,,,,1.2050473186119874,0.0573122529644268,15.0253807106599,-0.4428478118876551,0.7497068185625733,,-2.1535508637236083,,3.568888888888889,,,0.5454545454545454,-1.5320113314447592,-1.968370653382986,0.0375586854460093,,-1.6348949919224556,1.8585953189305044,,1.0,1.7560975609756098,2.731333333333333,,,,0.1521739130434782,0.0,1.67187477499532,,-0.475253164556962,,-2.1573896353166986,,,4.12,0.0461165048543688
2023-03-31,-0.2457070079431888,0.0,,0.9986368606851648,0.9054177603444716,-0.1006350166313879,,1.7671435970009937,,0.0,-0.7743900538158944,,,,-0.0894463239541216,,0.86734782382431,,0.0887248941255398,0.0,-0.2738095238095238,-0.5842696629213483,0.2730728263820722,,-0.1259864712514092,,,0.1962111841676974,,,,0.1565557729941291,,,,1.2727272727272727,,,,,,,0.5625,,0.5488086087624904,0.0,,0.9389671361502347,-0.4867872044506258,,,,,-0.2457070079431888,-0.1317059324439398,,0.7246376811594203,,-0.2638807714786674,-0.2572202166064982,7.993975316250757,26.75770925110132,,,,-0.3072100313479624,,2.730445728671969,-0.2199738126413522,0.0,-0.6101156724880925,,0.5555555555555556,,,,,,-1.5857142857142856,,5.567567567567568,,,,,0.9779179810725552,0.025691699604743,2.0913705583756346,-0.7015022860875245,0.8020606466744848,,-0.7946257197696737,,0.28,,,0.4242424242424242,-0.7456090651558074,-0.7834792281278715,0.8075117370892019,,-0.5137318255250404,0.5708059040191638,1.1,,,1.0646666666666669,,,,0.0,0.0,0.6422533588698645,,-0.1271518987341772,,-0.7946257197696737,,,2.86,-0.1013986013986014
2022-12-31,0.0827084613352072,0.0,,0.5447110149191807,0.0029492435190373,0.1006350166313879,,1.3335523170034025,,0.0,-0.513219589863076,,,,-0.4686855351101576,,0.4961229552275053,,0.4796846827959243,0.4360902255639097,0.2738095238095238,0.1573033707865168,0.19684217121614,,0.0983652762119503,,,1.0063146930538376,,,,-0.0626223091976516,,,,0.0,,,,,,,0.65625,,0.1890853189853958,0.108778418361797,,0.9389671361502347,-0.7426981919332406,,,,,0.0827084613352072,0.0990632983252909,,0.144927536231884,,0.0,0.0,-0.1885768144168696,2.466960352422908,,,,-0.1818181818181818,,-0.4417234079075356,-0.1515692576280601,-0.3796626662341875,-0.689498752551599,0.0,1.3333333333333333,,,,,,-0.2285714285714285,,1.1891891891891893,,,,,0.2082018927444795,0.0573122529644268,-1.2791878172588833,-0.581319399085565,0.6638465404590383,,-0.45489443378119,,0.28,,1.0,2.121212121212121,-0.7014164305949009,-0.6222695104060872,1.9530516431924885,,-0.4507269789983845,0.4519330349504246,0.3,,,0.4646666666666667,,,,0.2826086956521739,10800000.0,0.5472113819967456,,0.7462658227848101,,-0.45489443378119,,,1.77,0.5644171779141104
2022-09-30,0.391293246901653,0.0,,0.0,-0.0029492435190373,0.255216208043544,,0.8678431644133972,,0.0,-0.292921957138948,0.1275854454449542,,0.0,-0.3975575542536513,,0.1665307821742675,,0.4094091995471508,0.5112781954887218,0.2976190476190476,0.4269662921348314,0.1156513021866711,0.8235888271628918,0.2950958286358512,,-0.0446402435454598,1.0747998177202005,,-0.6094420600858369,,0.0626223091976516,,,,-0.7272727272727273,,,,,,,-0.46875,,0.0046118370484242,-0.0217556836723594,,0.9577464788732394,-0.2197496522948539,,,,,0.391293246901653,0.2960544990065285,,0.0289855072463768,,0.2317358270017533,0.1994584837545126,-0.4585608890290569,-42.863436123348016,0.7355540448674371,-607.0919825978868,-0.1664198575558846,-0.1567398119122257,1.0984854967057414,-6.154374320535561,0.7091219299289767,-0.3097632176451508,-0.3175323202540258,,1.0,,,,,,0.1285714285714285,0.5866468817130089,0.2162162162162162,,,,,0.2839116719242902,0.0454545454545454,1.1573604060913705,-0.1058131939908556,0.40835985927291,,-0.3704414587332054,,0.1333333333333333,,,0.9090909090909092,-0.5393767705382436,-0.3578855733423611,2.347417840375587,,-0.2197092084006462,0.1727619030465675,1.0,,,0.998,,,,-0.5,0.0,0.3240067393401782,,0.1196835443037974,,-0.3704414587332054,-0.5485501371375343,,2.61,0.0038314176245211
2022-06-30,0.6505431607944665,0.0,,0.3631406766127872,-0.4394372843365676,0.4027819776232235,,0.9842704525608984,,0.0,-0.0827848022343814,-0.3778492038177491,,0.2339181286549707,0.4974007756415546,,0.1630613908789702,,-0.4947796553314604,0.5413533834586466,0.2976190476190476,1.146067415730337,0.0341993692696476,0.7769705916631056,0.4470124013528748,,0.0446402435454598,,,-0.1974248927038626,,-0.1878669275929549,,,,,,,,,,,-0.375,,-0.0046118370484242,0.0652670510170782,,0.0,-0.6258692628650904,,,,,0.6505431607944665,0.4499006528526824,,0.0,,0.3895382817066043,0.3901925391095066,-3.0951851883059747,-0.0352422907488986,-0.1074099252209381,-1.0012430080795525,-0.1664198575558846,-0.1504702194357366,1.7145546333532986,-0.5138181610116153,0.7875252946077848,0.5697372688939345,-0.1995917441596734,,0.2222222222222222,,,,,,0.2,0.1690923364937496,0.2162162162162162,,,,,0.1198738170347003,0.0217391304347826,-1.177664974619289,0.0300457217504898,0.2156977718210755,,0.0,,0.2044444444444444,,,0.0606060606060606,-0.3852691218130311,-0.3433766987474005,-0.0375586854460093,,0.0,0.0358779932098376,8.0,,0.0,0.3313333333333333,,,,-1.7391304347826086,0.0,0.2145644629408291,,0.4804430379746835,,0.0,-0.2822100705525176,,3.08,-0.0292207792207791
2022-03-31,0.876419485025705,0.0,,-0.5447110149191807,-0.3686554398796708,0.5128515270638041,,0.6390033221924463,,0.0,0.0827848022343814,0.0,,0.935672514619883,0.5789256539318426,,-0.1630613908789702,,-0.5737766782674326,0.4511278195488721,0.3214285714285714,1.6629213483146068,-0.0341993692696476,0.6371158851637465,0.5811724915445321,,0.1112347052280311,,,0.1974248927038626,,-0.2035225048923679,,,,,,,,,,,-0.09375,,-0.03228285933897,0.0543892091808985,,-0.0657276995305164,-0.0361613351877607,,,,,0.876419485025705,0.5901220550667046,,-0.0869565217391304,,0.5561075394506136,0.5342960288808665,-1.0,0.0440528634361233,-0.5424881033310673,0.1174642635177128,-0.1664198575558846,-0.1567398119122257,1.0300333704115685,-0.4039594896149224,0.8506923778915209,0.649854038274408,0.0,,0.1111111111111111,,,,,,0.1285714285714285,0.1656414724836731,-0.2702702702702703,,,,,-0.334384858044164,-0.0217391304347826,-0.9543147208121828,0.2834748530372306,0.0,,0.2399232245681382,,0.0,,,-0.0606060606060606,-0.2164305949008498,0.0,1.164319248826291,,0.2407108239095315,-0.2324865142332249,-0.1,,,-0.2686666666666666,,,,-1.2173913043478262,0.0,0.0,,0.3285443037974683,,0.2399232245681382,-0.1097100274275068,,4.81,-0.1434511434511433
2021-12-31,1.0239404248341155,100000.0,,-0.6354961840723776,-0.6458843306691834,0.5980042334442093,,-0.1157666837292864,,0.0,0.2194894128975719,0.3238707461294992,,1.4035087719298245,0.6493935143163627,,-0.3712248685968047,-0.4306800210859251,-0.6551218080422659,0.3759398496240601,0.3214285714285714,0.3595505617977528,-0.0968547022827426,0.0,0.6882750845546787,,0.1626075756688718,-0.1985547815897402,,0.592274678111588,,-0.0782778864970645,,,,,,,,,,,0.09375,,-0.2628747117601844,-0.8267159795496574,,-0.056338028169014,0.0361613351877607,,,,,1.0239404248341155,0.7113255747942094,,-0.4830917874396135,,0.68468731735827,0.6471119133574007,-156.2413147653503,-42.863436123348016,-4.920462270564242,0.2417650714729645,-0.1664198575558846,0.0,0.3112860443227517,-0.5126737998512331,0.928937031305797,0.714401556925073,-0.2744386482195509,0.0,0.0,,,,,,4.771428571428571,-0.1656414724836731,-0.3243243243243243,,,,,-2.630914826498423,-0.2430830039525691,0.0812182741116751,-0.0300457217504898,-0.163343943709164,,0.54510556621881,,-0.1866666666666666,,,-0.1818181818181818,0.0385269121813031,0.256323451177637,-0.0751173708920187,,0.4345718901453958,-0.4486190034491143,0.0,,,-0.3353333333333333,,,,-2.065217391304348,0.0,-0.1728035943147617,,0.6070253164556962,,0.54510556621881,0.1097100274275068,,6.04,-0.1009933774834437
2021-09-30,1.2043512790916144,100000.0,,-0.5447110149191807,0.1975993157755035,0.6536437859086786,,-0.0756193429887687,,0.0,0.3194777514400745,0.848933925460657,,-0.3118908382066276,0.7307533624886542,,-0.3226533904626433,,-0.740659985743637,-0.2105263157894736,-0.2738095238095238,-0.0224719101123595,-0.1498506714563187,-0.2641700011654559,0.8091882750845547,,0.196270710145776,,,1.0042918454935623,,1.1741682974559686,,,,,,,,,,,-0.59375,,-0.4350499615680246,-1.0007614489285326,,-0.0469483568075117,0.7538247566063978,,,,,1.2043512790916144,0.8512631280158955,,-0.6473429951690821,,0.8059614260666277,0.7160048134777377,-183.1965635829836,0.0,-0.7222297756628144,-0.4804226227470478,1.10288414075171,51.53605015673981,-0.1678788397364593,9.095382502717856,-0.3253580922906003,0.7943561466104444,0.1383533681106827,,-0.1111111111111111,,,,,,582.2714285714286,4.5846453805871645,0.0,,,,,-0.8643533123028391,3.073122529644269,0.0203045685279187,0.4297844546048334,-0.0921427374769643,,-2.015355086372361,,3.391111111111111,,,-0.303030303030303,-1.030028328611898,-1.2654962841160065,-0.0938967136150234,,-1.552504038772213,1.062507316985312,0.0,,,-0.3353333333333333,,,,0.0217391304347826,0.0,1.0353815359359475,,-2.525886075949367,,-2.015355086372361,-1.731210432802608,,8.88,-0.1159909909909911
2021-06-30,-2.6265837311520643,,,-0.7271892049171064,0.376795351992214,-1.2697550650136076,,-0.1130768118996718,-1.0,5000.0,0.7275179222746538,-1.1720686017125892,,-0.5185185185185185,-0.5734185988942982,,-0.5306087047027599,,0.5534437502620655,-1.3189473684210526,,-4.221573033707865,-2.686848645600552,-0.321743522007692,-1.4202987598647123,,-0.967399449680932,,,,,1.354990215264188,,,,,,,,,,,-0.6765625,,-0.4665641813989239,-0.9992385510714674,,-0.0737089201877934,1.2563004172461751,,,,,-2.6265837311520643,-1.3918904342889582,,-0.6831400966183575,,-1.4881005260081823,-1.732205174488568,0.0,0.026431718061674,4.103874915023793,-0.1174642635177128,1.10288414075171,-0.0048902821316614,-0.0744416873449131,-0.1499113120100703,-0.2974249097329683,-0.4873499837820305,0.453617600362894,,-0.3333333333333333,,,,,,-0.5142857142857142,-0.5112455030928369,-0.1621621621621621,,,,,1.4195583596214512,-0.950592885375494,-0.0203045685279187,0.8007838014369693,-0.3361534595409616,,0.7438579654510556,,-0.6840444444444445,,-1.0,-0.5454545454545454,0.1272634560906515,0.3777304895939127,-0.1314553990610328,,0.7486752827140549,-0.798807669101159,0.4,-1.0,-0.2439024390243902,0.0,,,,-0.2826086956521739,0.0,-0.4527886180032545,0.0,0.0,,0.7438579654510556,0.2526090631522658,,9.96,-0.1244979919678715
