,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,commonStock,capitalStock,retainedEarnings,otherLiab,goodWill,otherAssets,cash,cashAndEquivalents,totalCurrentLiabilities,currentDeferredRevenue,netDebt,shortTermDebt,shortLongTermDebt,shortLongTermDebtTotal,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,noncontrollingInterestInConsolidatedEntity,temporaryEquityRedeemableNoncontrollingInterests,accumulatedOtherComprehensiveIncome,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,nonCurrrentAssetsOther,deferredLongTermAssetCharges,nonCurrentAssetsTotal,capitalLeaseObligations,longTermDebtTotal,nonCurrentLiabilitiesOther,nonCurrentLiabilitiesTotal,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurpluse,liabilitiesAndStockholdersEquity,cashAndShortTermInvestments,propertyPlantAndEquipmentGross,propertyPlantAndEquipmentNet,accumulatedDepreciation,netWorkingCapital,netInvestedCapital,commonStockSharesOutstanding,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,beginPeriodCashFlow,endPeriodCashFlow,totalCashFromOperatingActivities,issuanceOfCapitalStock,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,salePurchaseOfStock,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeReceivables,cashFlowsOtherOperating,exchangeRateChanges,cashAndCashEquivalentsChanges,changeInWorkingCapital,stockBasedCompensation,otherNonCashItems,freeCashFlow,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,sellingAndMarketingExpenses,grossProfit,reconciledDepreciation,ebit,ebitda,depreciationAndAmortization,nonOperatingIncomeNetOther,operatingIncome,otherOperatingExpenses,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,adjusted_close,10%DDret
2023-08-31,2.5888693547665573,1.950890020746142,,1.485566404275832,2.243070344962638,2.8793756806477,,2.700541956838494,0.0,0.0,1.2274716577319762,,3.0217934679983425,0.8488180989994474,1.910310728237083,1.0321771801358712,2.646181917954416,2.3503391591376093,-1.1274848516204468,11.372304608929486,15.6536475145255,49.64902932311094,1.615428717628241,7.46911118559573,2.545057451735573,0.0691203168839742,,0.0039668534805257,1.7980660401812008,0.9430558508215142,,2.5595195865841367,,,,-0.6227085032850324,,,,,,,12.10078580583992,,2.744822646999733,-2.3849059779508712,0.6412766898993252,1.4840793034166315,1.7720704792872517,,,,1.8856799037304453,2.635576239119037,1.9750847467378432,,6.917332806932938,,0.7295439568821667,1.226954316707836,-0.3720341311700532,-2.9928231820671867,,-5.753525798241696,,-1.2358666117488455,,0.3561766823079582,1.751207534507198,1.910310728237083,2.162124403545172,-0.8073640500743147,4.452554515246769,-5.599190580732656,-2.818319668027635,,,-1.0613023623638695,2.766509752387467,,1.3103161215413937,,,,,1.0463316922294186,1.3483230266533446,7.477933302661424,2.343115814011556,,,1.3030245308493624,-1.180112967046244,1.0950657350932298,2.488686172607619,1.805945382543568,4.452554515246769,1.354459717109485,1.7432600123305677,4.452554515246769,,1.4247636940902124,1.7672141512268518,4.372642340913097,0.5896310397721047,4.320515113575389,3.139140131334407,,,,2.1606566256275648,1.629893570152532,2.508398414647261,1.5483377240313658,-1.594290296712109,,0.6176247715948355,0.9876511145023592,,322.4327,-0.0922756903998881
2023-05-31,2.507352686296161,1.7563623378515192,,1.660057502448908,2.1281961265277087,2.831213535507401,2.0368017673935204,2.2635646963664944,0.0,0.0,1.1641316090242413,,2.7849493251572817,0.4595260100030334,1.7149777656990342,0.8075386460748231,2.4150540641618043,2.5161389295372283,-0.9008007257624068,10.013286809075112,0.4146223369916075,48.80884703786475,1.70634180350387,1.6543949268980096,2.54467435081611,-0.0344733576620026,1.3905177017992243,0.002653980264551,1.884482405599169,0.9743169232949656,,2.389879999884373,,1.856835960203032,,-0.7121466149871826,,0.0,,1.5088846457398253,-0.8962779478415126,,4.5896200936468725,-0.1099304816327785,2.614809705129202,-2.130390332544751,0.6697459158461482,2.700672174254098,1.866929497619928,,,,1.854427522246384,2.551189808221121,1.772855531089807,,7.1440320463286895,,1.4487920684324176,1.124215726670011,-0.3744281038978558,0.0410443450289908,0.8540246690715456,0.6425369437442413,0.0638629283489096,-0.4485917224571226,,2.328456086708324,0.8535194928267125,1.7149777656990342,2.05693493704097,0.6505217351332302,4.091936073735531,0.7917107253044057,-2.822055469645221,,,-0.4763482145097744,-0.3657752855509851,-0.1015608618596519,0.7437363536121395,0.1131656332349421,2.0118938360973577,,2.212574298308566,0.4696694468107626,1.953748210958386,-2.6730006167866422,2.2648119431647884,,,2.1715629142579305,-0.2910200259763796,1.146934537534115,2.5140569953878265,2.0195948272681434,4.091936073735531,1.8611566812605136,2.4720110957649823,6.637149120150056,13.948032366688446,2.0669029306176645,1.7980764568104752,2.18861272695223,0.8117125013695629,3.2060198788869867,2.49427993226779,,346873000.0,,2.385857828330174,1.7381222950874486,2.383599981960258,1.6106408225457365,11.767270783213045,,1.1824728665804998,1.8819948588428044,,303.5547,-0.0358245153179971
2023-02-28,2.3321377146623967,1.8535157463252885,,1.7303008584707305,2.0012074003282776,2.621435968452892,2.0397549956411485,1.858797464844751,0.0,0.0,1.0431445509839103,,2.7273446267391868,0.4155729112017583,0.8346293919021223,-0.2048873448238924,2.2276808962367047,2.525409875884545,0.2947156665473109,10.163414053882589,0.4833763718528082,50.59492432617289,1.6342299026774685,1.7113016665718737,2.066496154454414,0.6941250542504875,1.13714787348902,-0.0014822762115843,1.8641853510143696,1.0265536894746965,,2.5260257658116743,,1.556860499657739,,-0.7367114654386603,,0.0,,1.291394815857831,-0.7619207774393273,,4.41841418938733,-0.1107565848071642,2.6052647294986424,-1.441101022663163,0.7173175498764612,2.653298216055458,1.8411385655054444,,,,1.749412271887057,2.3698064620479102,0.8614764055202082,,7.529756026713456,,0.2093989201668976,0.7694057092405834,-0.3792007661379357,-1.0275746136441906,-1.3650892762385796,-0.5339373675581527,0.9665109034267912,-1.2902259464985624,,0.1680044123396519,0.7209827723448361,0.8346293919021223,1.2161869793448106,-0.096846605274045,3.476070280300022,-0.6834972445377391,-2.822678474084128,,,-1.3696501590802577,-1.010413947669238,2.8627758419665765,0.2478731716578672,0.95344975522524,0.795547965373064,,0.1961754686957983,-0.5916201162674964,3.028354621803354,-0.0691243036036814,1.372759222562482,,,1.287242292421465,-0.4275953725798169,1.1409599382818096,1.9723733740966345,1.5926513632841806,3.476070280300022,1.312165470333033,1.595694717495295,3.601347091435738,0.3961401216263758,1.4703107995451188,1.720183456438087,2.33879781420765,-0.4696710310069026,0.998747987837596,1.1732953372155457,,244390000.0,,1.086473762056538,1.597943040590465,2.0308826511608986,1.5955654733324691,0.2166479550922213,,0.7433419742897903,1.1992008884009484,,262.4662,0.1151150129045187
2022-11-30,2.2875116388008045,1.7443382213243892,,1.5464659702729349,2.0298815435269293,2.516132657572678,1.996711693931968,2.310008442231426,0.0,0.0,0.9905153730584916,,2.6421478835700745,0.4148071988882021,0.7046527397388922,-0.3543642391725528,2.2556035599101323,1.855582723892332,0.5084294693085728,10.248599586184026,0.2598450613298902,52.05107486261005,1.6001446128868846,1.873387805272664,1.986391772856207,0.6898754836698392,1.0614833893842048,-0.0028092663438598,1.891214623447788,1.025217400107308,,2.438283088610292,,1.528274187507265,,-0.7998432501064692,,0.0,,1.1967870855829703,-0.6555030844158702,,4.48054255159504,-0.1196171115917374,2.57926416971312,-0.8615773511746133,0.7161006010989416,2.719197669578262,1.874551337334235,,,,1.5029869348461409,2.3236093426415034,0.7268981692085894,,7.8659785958917245,,-0.1831705824902215,0.5907838309759597,-0.3743173763385342,-1.699269051347719,-3.3036133976695137,-1.273425699286868,-1.2250778816199377,-1.5407985888912417,,-2.40260171323048,1.498858766294998,0.7046527397388922,-0.3918558950673347,0.3773615984554801,3.240513258888807,-1.5747568426659213,-2.8172160601644287,,,-2.1848654345831187,-0.5523082600516647,0.8733667845070404,0.1205482653113384,-1.435560232917832,1.4568662713530507,,-2.140138685097066,-3.0545473352684187,1.6349207420809593,0.0657169089948386,-0.3876100896624294,,,2.1327394600514107,-0.3754613827891382,1.027254033579568,1.9304507119395111,1.8087205298176137,0.968936574070958,2.17067818200532,2.322041369373815,3.3822944081346016,0.4885661154947982,2.4032618523391065,1.5543197645483833,0.8038075092543627,0.9621726744823051,1.309451414262718,1.123735183579069,,,,2.538431625801165,1.5855477848075552,1.656030682700171,1.4833573629756376,0.4815183106121358,,1.1365568932088523,1.8187538520071151,,296.2236,-0.1211243803667228
2022-08-31,2.2982841019691405,1.7443382213243892,,1.2967572478655631,2.199949018571624,2.400130344932326,1.7029563518544286,2.6784104989616915,0.0,0.0,1.1145768448931197,0.7146283200256661,2.5021187250735486,0.7911758155718263,1.467503345398874,0.5229359334988193,2.5237366850751544,1.984628535730813,-0.4664767892755502,10.241101875148692,0.2186894770819883,52.46000779404631,1.1783169098134834,8.596001133098799,2.1798826861683867,0.6585293991796715,1.0204025562083288,-0.0045315301325578,1.688570320200914,1.0564379789635658,,2.6723582651168805,,1.0947610416783264,,-0.8761610670326809,,0.0,,1.4198035704968244,-1.0348624647102729,,4.214606727650793,-0.1318713059186251,2.487068899058452,-0.7045279572607215,0.7445329498100822,1.449674566622233,1.8761124603417083,,,,1.4205479318527814,2.334761046161934,1.5164887879574822,,7.960974093020472,,-0.2813393013011155,0.3944838565668757,-0.3641477931067556,-3.084590045765136,2.300086447878318,-2.7985666764444908,-3.804517133956386,-0.6480768291008603,1.333837978260774,1.1029844820398298,1.0351870132118883,1.467503345398874,2.495809998639304,-0.8350175443972848,3.497869648037586,0.3829853681353196,0.1182406799648447,,0.6649756203065512,0.0213413744995466,-1.024311212320321,1.2072499208684306,1.2629526584441475,0.7643914507937477,1.4582560599402952,,1.1547035152756255,1.3178105530809865,1.194512705571008,1.1182562818815407,2.713281232300455,,,1.6721514712633734,-1.0835533270909474,1.1914162990547952,2.0177864970533763,1.6610867533298077,3.497869648037586,1.7405593671947217,1.946840648509872,3.404919441508994,-0.8259536613559834,1.9358490864612408,1.554497258130192,2.77489864269346,0.6010052591212884,0.2047167641873419,0.0,,,,2.172190626974703,1.5249975319139637,1.7630404156457549,1.4607775128212188,-0.8762363004544239,,0.8683806071082621,1.397827573281145,,282.6916,-0.0798725536945561
2022-05-31,2.213033822232903,1.5852086656463726,,1.4576633137411152,2.1309276275807454,2.304256395457492,2.087069119739207,2.250720171100989,0.0,0.0,1.0103997554921034,0.909126270093624,2.367104384925383,0.7694416668014694,1.0127878375058024,0.0,2.281413437952116,2.0554509636142204,0.2030653337531877,10.61310369190175,0.1530019367333763,55.050367035956,1.1940274122839536,1.942752005424738,2.055523137914063,0.7246984895441736,1.004101882525407,0.0003952736564224,1.7960939984671216,1.2853483969589294,,2.3830712249559274,,0.93665807068224,,-0.7423082186870694,,0.0,,1.2325318257464442,-0.8950908697114461,,0.6453878479346611,-0.1228952436960976,2.421190951130864,0.2779642738031786,0.9529999631227644,3.156491978113418,2.1315006742257165,,,,1.3884481851097654,2.246509563674,1.0459438714424671,,8.301441276780066,,0.0,0.2333357544014226,-0.3637217711066994,-1.4447222500150634,2.1108037179800254,-0.9931875747790556,-2.0366043613707165,-0.6512214173296752,0.8945763834950391,1.1594763354073427,0.551507954825946,1.0127878375058024,1.8599815374812576,0.5009653249161087,3.401670626720604,-0.963080584704172,0.1183630558367728,,-2.4426735283920853,-0.9734518076007196,-0.45002295208864,1.3041096329497175,1.5194864941836266,-1.9486736623468943,1.5076687519535408,,1.1690829647304284,0.2508714950383494,1.511969701061273,-0.288346750619298,1.996965138132972,,,1.9945670667649,-0.3526142507626786,1.0495108659398538,2.273617469632527,1.8877947018238608,3.401670626720604,2.1839400607560315,2.336038512802056,3.4003244327475146,-5.15258581695733,2.41767361767966,1.6473549395999785,2.485457429931253,1.4414511887805412,-0.529115670593045,-0.5591624334035435,,,,3.0244429167621467,1.6623224927771707,1.8056142074955128,1.5592160001826567,-4.523004544239508,,0.98038522738378,1.567627556714882,,291.4549,-0.0782014644461288
2022-02-28,2.0833286689342336,1.6183356515781562,,1.5050018998543395,1.9838011574394847,2.193465741993605,1.991532185928436,1.789831700339984,0.0,0.0,0.8937927704235568,0.9241563693384384,2.351848840172821,0.779197510232752,0.5384514837625014,-0.5455004714629369,2.0235643182836656,2.142277236920491,0.849218194978671,10.539568449055215,0.2052937378954163,56.07689065271161,1.2029192176345764,1.92356663278046,1.679719280636269,0.7509734524093329,0.8564038876237063,0.0245210836144952,1.6433779406883902,1.3098875289782448,,2.1268237568761896,,0.7156049406102144,,-0.5843903514376816,,0.0,,1.0229157415438146,-0.687546395787797,,0.6859121712940166,-0.1388827698356806,2.4264663307195726,0.674474564331778,0.9753475679463068,3.256215367260084,2.179791509314084,,,,1.2846615589925725,2.1122381911887937,0.5556287169382577,,8.427429619943346,,-0.6292001591597873,0.0459539087465496,-0.3489387542040265,0.0376900408453421,0.1988198164502378,-0.03296790236457,-4.1985981308411215,-2.0990599589357424,-0.9794521750196372,-0.3949441297700214,0.6183465899108257,0.5384514837625014,1.063142208503758,-0.2851883915848183,3.438233255029717,0.0564254784536327,0.1245886501941326,,-1.3355873550020516,-2.9299809483502925,-0.5964842800694863,1.9212958078298183,1.0819842121789676,-0.9821562948626456,0.6940553469262026,,-0.3017591868845931,-0.7919203922772594,2.452735545893981,-0.6938186727635457,1.1493575261055482,,,1.4209593446903634,-0.4813362732956776,1.0404271548436308,1.5120750449071918,1.4015290059155587,3.438233255029717,1.467049334572856,1.710807169186267,3.439005072907622,-0.3011006684424788,1.6386240490040302,1.5149721056655254,2.191433104177684,-0.4922825134217158,-0.603623169890385,-0.5849337132945112,,,,1.063544639571138,1.4545810992523638,1.4911966372911118,1.472901345950966,-0.358813151563753,,0.8376234788706886,1.355448826392584,,307.6865,-0.0380273427660948
2021-11-30,2.036398075849624,1.7656110993856802,,1.2015509225389156,1.916064109345516,2.165827377954802,1.648963388488657,1.9609651965902184,0.0,0.0,0.8006549710118798,0.9087910188479345,2.3450498771323707,0.7905432281205452,0.6039990693063918,-0.4701188597958713,1.945863083522113,1.5823846905806742,0.7267026123526013,10.682327750902967,0.2048095545513234,54.87014959797037,1.3630907688504272,1.9175433181130703,1.5635357823063047,0.6963892098072656,0.822298555663907,0.0377486341883478,1.529004626409375,1.4610097083447222,,2.095343496666021,,0.6166119192867199,,-0.6023837204524892,,0.0,,0.8554885433150882,-0.3812243934870942,,4.143747903316924,-0.1596399757078064,2.417184255506095,0.1782912392582964,1.112973411513073,3.2046039662018395,2.123373452372993,,,,1.0702491276014667,2.0636554249319663,0.6238498657006983,,8.233969292514802,,-0.8300080680801272,0.0,-0.3451720760104001,0.0302008989402543,-1.3774330853237469,-4.025433703308353,-2.655763239875389,-0.5985080658610502,-0.731760377035584,-2.99958861940839,1.6076530571363408,0.6039990693063918,-0.3607654166742443,0.1606346628257971,3.1923733624111232,-4.563028391707018,0.1170792216894545,,-4.223762010935079,-0.6294369352413469,-0.6141618887318746,0.5529727426801628,1.3304269721997064,-3.503614002837888,1.295360878447858,,-2.63546988426656,-2.721152559517706,1.23135346061408,-0.1299350465402689,-0.4332756985942554,,,1.880288215364728,-0.4074062887002748,0.9838859837641716,1.634646536692386,1.6430891884246903,3.1923733624111232,1.937973115505629,2.092832472162391,3.1923733624111232,-1.1587676534150877,2.174805592938839,1.4095771128406749,2.1797990481226863,0.8326394214966583,-0.7127781894371056,-0.6339156651385619,,,,2.4070787242464013,1.4393494825705493,1.5165733824863747,1.3454795508527446,-0.8677252071638599,,0.980750543286074,1.5745755597080406,,347.0755,0.0373532559918519
2021-08-31,1.9999902211815483,1.4248527227358607,,1.0969401034769195,1.970704336259915,2.055590496686487,0.0,2.0474894639422065,0.0,0.0,0.6867901239391773,0.8318414072593833,2.074522121977687,0.7342394262377081,1.5741961747266089,0.6456357608274472,2.0661188672664745,1.7725243172712497,-0.5148458958369159,10.810221398755669,0.6875403486120077,55.33709250260464,1.3653459103049623,8.91395130657004,1.7789752029785375,0.7150305942185791,0.9090932667391652,0.0,1.1905609895895912,1.363379597290977,,2.2008844634971947,,0.4633565668872347,,-0.4393213284978504,,0.0,,0.6508018055722286,-0.2123986902143658,,3.6690666565092735,-0.1698021356452982,2.2372042621695423,0.3576765192672732,1.0240623962827746,1.6521379024743763,2.058464008267955,,,,0.963891827898676,2.025965845981562,1.627055630403243,17.64850589792931,8.255435791510669,,-0.3833549058802621,-0.1865233846893916,-0.3434424781076814,-6.274659359575549,0.3971162059375988,-6.310608614790643,-5.042056074766355,-1.0613148164092587,0.274568528587038,-2.238243716651202,2.3273195851103936,1.5741961747266089,1.3093725219612165,-0.9231302575732038,3.061487409720866,0.3966239972277818,-0.0059152046458331,,-0.4242639177356306,-0.8173951260603373,-0.6646384821018713,0.7231597068726269,2.1282011961355622,-0.1865453020739905,-1.9457167060017304,,-1.9564167378985748,0.1564490332140869,0.6238151818746456,-1.342083533403919,1.351139205971004,,,1.2496611680871026,6.118536865315492,0.8808908533525913,1.8219926879797257,1.3660215100047963,3.061487409720866,1.2938982847789229,1.5096274731327175,3.061487409720866,-1.7079961803286927,1.490606386031895,1.1612568633751854,2.8122686409307245,0.1066341623753697,-0.8087487543756547,-0.5563540246974765,,,,1.6708747369956043,1.1505822021155585,1.5481517621705974,1.051269161317357,-1.4921571772253408,,0.6434007204400204,1.048419817181461,,325.8701,0.104857119447289
2021-05-31,1.923295166994124,0.7068509492694895,,0.9729819810197824,1.8355072333190503,2.0308114626835514,1.3948380977802517,1.846532327149375,0.0,0.0,0.7898558045836706,0.8202772289047258,1.652438986075002,0.6576073992401424,2.27996168363547,,1.8695909674253244,1.773998736942224,-1.4577682855624945,10.615338586537282,0.2157843770174306,54.402315945187176,1.0718320031769542,1.662900898582688,2.0837954909145493,0.7051084092840159,1.2593251237184786,0.0019622513658116,1.1286257036505318,1.693645539121896,,1.627462389240748,,0.3209330158989835,,-0.3493629839603376,,0.0,,0.8360756498421712,-0.5220432032041802,,0.3151575673106973,,1.942323728986511,-0.0412961421816606,1.324833130508537,3.0639435454388853,2.025335604570637,,,,0.9945691086736528,1.9465707724114325,2.3576600992697903,3.3155782393859647,7.940990652131333,,1.3919805170805817,-0.2272955289207896,-0.3426563110161252,-1.236286628277536,0.0,-0.7637146157375908,-0.4080996884735202,-0.5099383415593713,0.3886029234300057,0.7239260993808322,1.997896158774836,2.27996168363547,1.2784494464202412,0.096846605274045,2.9960175094962764,0.4169022600565994,-0.0033786865731418,,-4.089503532113447,-0.601300992327116,-0.2614377908389663,1.5474796094306134,0.9878122695175294,-1.4789532581561504,2.0542941658777005,,0.6833671843613838,0.0116562179475806,0.997407577435122,-0.6206721969859826,1.3924019514508867,,,1.477201245170959,-0.5108285256894313,0.5518934549135278,1.4866763727057106,1.327999594150853,2.9960175094962764,1.5480132499645054,1.7245401277339716,2.9960175094962764,-0.1001658541488666,1.7207328450289263,1.0880654707698234,8.36911686938128,0.4082598334611592,-0.7425198661113525,-1.4208896047577748,,,,1.9767375650132977,1.12153696240206,1.268347789831956,1.026111703924364,0.0972360331462176,,0.7600097329333388,1.2353911533348028,,272.4289,0.3315493781798774
