,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,commonStock,capitalStock,retainedEarnings,otherLiab,goodWill,otherAssets,cash,cashAndEquivalents,totalCurrentLiabilities,currentDeferredRevenue,netDebt,shortTermDebt,shortLongTermDebt,shortLongTermDebtTotal,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,noncontrollingInterestInConsolidatedEntity,temporaryEquityRedeemableNoncontrollingInterests,accumulatedOtherComprehensiveIncome,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,nonCurrrentAssetsOther,deferredLongTermAssetCharges,nonCurrentAssetsTotal,capitalLeaseObligations,longTermDebtTotal,nonCurrentLiabilitiesOther,nonCurrentLiabilitiesTotal,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurpluse,liabilitiesAndStockholdersEquity,cashAndShortTermInvestments,propertyPlantAndEquipmentGross,propertyPlantAndEquipmentNet,accumulatedDepreciation,netWorkingCapital,netInvestedCapital,commonStockSharesOutstanding,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,beginPeriodCashFlow,endPeriodCashFlow,totalCashFromOperatingActivities,issuanceOfCapitalStock,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,salePurchaseOfStock,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeReceivables,cashFlowsOtherOperating,exchangeRateChanges,cashAndCashEquivalentsChanges,changeInWorkingCapital,stockBasedCompensation,otherNonCashItems,freeCashFlow,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,sellingAndMarketingExpenses,grossProfit,reconciledDepreciation,ebit,ebitda,depreciationAndAmortization,nonOperatingIncomeNetOther,operatingIncome,otherOperatingExpenses,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,adjusted_close,10%DDret
2023-09-30,0.3019036741790202,-0.1703031473257385,,,0.3362278318171675,-0.0131092373323811,,-0.2510272336359292,-0.696969696969697,-1000.0,-1.072588781150794,,,0.4768080226429826,0.108322026232474,,0.2510272336359292,,0.393416581741937,,,0.5000784651599305,0.1206585335491099,,-0.2028437439396343,-0.3385779069896189,,,-0.0650265957446808,1.2277281858392313,,2.325109361329834,,,,0.1331022530329289,,,,,,,0.6664776526929869,,-0.0109427883894276,0.9290078956402334,,,0.2724007910940292,,,,,0.3019036741790202,-0.0531954362737132,,3.4786836537162924,,,0.2485597525164636,-0.0281538025646604,0.2424912432224941,,,,-0.0824298534129207,,0.5476308741173606,0.0204257664154876,0.3527136984128921,0.1279984769640817,,0.2849553248007727,,-1.0096281600931876,,,0.0373619945894567,-0.3378993309471125,,0.0,,,,,0.0,-0.3605597136348845,0.1659551760939167,0.1573380867498514,,,-0.1168572242340399,1.7954545454545454,-0.3502092884193741,,-0.6143135616819827,0.2849553248007727,-1.2852127510181155,-1.1930004093327875,0.4710391822827938,,-0.0991709081596722,0.7751300306171383,2.275256222547584,0.0,1.152503090234858,0.2422895248680188,,,,-0.4909780841012933,-0.1136969326611329,0.1294687215915096,6.365931721194879,0.1010605875899061,,-0.0554177392932366,,,21.6126,0.1141648852983906
2023-06-30,0.3138334273533519,-0.1541481624509236,,,0.3670302839365179,-0.0216359224482839,,-0.2490922121356903,-0.6666666666666666,0.0,-1.0796680866388593,,,0.4976593653272357,-0.0100471667635846,,0.2490922121356903,,0.4401300612256301,0.4580077616962325,,0.5315506869547826,0.1208128449313249,3.899697311413141,-0.2658362863842315,-0.3385779069896189,-0.4119423326998099,,-0.0559397163120567,1.2350918253659984,,2.310936132983377,,1.1509894942584902,,0.1223836821757099,,-0.946236559139785,0.0,-0.2077668237376492,,,0.666406772452857,,-0.0098276413008745,0.9257580958919784,,0.941588719965683,0.2787678903474451,,,,-0.0135695621646487,0.3138334273533519,-0.0756645213514566,,3.4992121730518164,,,0.2652295562224811,-0.0356028308311013,0.0150856484813588,,0.0,0.077007029820563,-0.4576942527971886,,-0.9492086681275872,0.6061361158698022,0.0117111731911727,0.3568980835131362,,0.2839893745472108,-0.4081071796633459,-1.0097009628160094,,,0.002851502522483,-0.3297288024215004,0.2735445836403832,0.0,,0.4655250795575087,,-0.8374837061762068,0.3942506869583597,-0.0520663846404165,-0.3165243685521167,0.3716577540106952,,,-0.269438906294503,1.306818181818182,-0.2816424157863265,,-0.0722794640923295,0.2839893745472108,0.8503019238870945,0.881839268658753,0.4701873935264054,-0.0144773670495125,-0.2274720701686994,0.8946475340292892,2.139458272327965,134000.0,1.0706118665018542,0.2570158377327035,,,,-0.0006195307054905,0.5343993481692723,0.1999957717595822,6.924964438122333,0.108923564549555,,-0.2434823309150479,-0.2468221145307386,,22.6664,0.0623654395934069
2023-03-31,0.4407673883088419,-0.1379288150865675,,,0.5544802373357487,-0.0237946453932365,,-0.1398232202580028,-0.6666666666666666,0.0,-1.0816833453788417,,,0.5401898998912468,0.477805776313239,,0.1398232202580028,,0.523187777224917,0.5023393275056708,,0.7205347939135652,0.1213522864019253,3.698142322986528,0.0,-0.0831117557643121,-0.4152245673702111,,-0.0308953900709219,1.278810683455102,,1.510586176727909,,0.9777669191302224,,0.1117984268764164,,-0.946236559139785,0.0,-0.2085840629844386,,,0.6663389739622979,,-0.0087092335483197,0.9223023229202426,,0.9382238736957044,-0.8261883996531337,,,,-0.0104705021259477,0.4407673883088419,0.0169407334954329,,3.519560617656327,,,0.4055764627360141,-0.0399882763664236,0.4826179166066887,,0.4253557999563672,-0.241252848842808,-0.418564989645511,,0.3234477720964207,0.4091382842356211,0.608139265367865,-0.0400431526843508,,0.3409804395073654,0.3304706286499485,-1.0096281600931876,,,0.0353147620092125,-0.2767686577362693,0.5168754605747974,0.0,,-0.0092943375258877,,0.147077660319924,-0.0179243288945254,0.1757240481614058,0.3765563856278904,0.0,,,-0.5464458640192049,-1.6590909090909092,-0.2473589794698026,,-0.0766112812896438,0.3409804395073654,0.5517483499508496,0.5957838722881703,0.520442930153322,0.2221793263198533,1.4931335830212236,1.001844405916854,2.0092728160078086,-5000.0,0.930083436341162,0.0480689080300083,,,,-0.0436769147370866,0.4188351920693928,-0.2694234794190397,5.764224751066856,-1.736681701816409,,-0.5491223964427803,-0.574937203460787,,19.9785,0.2052956928698349
2022-12-31,0.5681406231215262,-0.1217094677222115,,,0.7368270783286732,-0.0191552846782069,,-0.1185140946010511,-0.6666666666666666,0.0,-1.0757239021526517,,,0.670636276177463,0.1372682044323835,,0.1185140946010511,,0.7286195895408211,0.5428532289127955,,0.893231995322861,0.1209528922361923,3.4131699210635644,-0.1774915816011706,0.0016197175301205,-0.4106513203961188,-0.4854582785937364,-0.0509751773049645,1.3187646411805682,,1.3545056867891514,,0.7107256291228927,,0.1013198240234635,,-0.946236559139785,0.0,-0.2061673554933206,,,0.6664129359519987,,-0.0074669205637035,0.9190525231719876,,0.9350595811769162,-0.8267436844139909,,,,-0.0127649985007552,0.5681406231215262,-0.0429543412737591,,3.538468464412732,,,0.5394822383911261,0.0,0.5119754330406411,3728000.0,0.4124071198490818,0.1138333386832728,-0.3532486517015692,,0.5458388117847577,0.0753776670300576,0.4075488270528101,0.251110547023734,,-0.5969572567012799,,-1.0097009628160094,,,0.019960517657381,-0.3190518697716613,1.489904200442152,12.356164383561644,-19.062111801242235,0.6297923927867859,,0.3191253701429336,0.3114774889029803,0.201757240481614,0.9637139807897546,0.2458110516934046,,,-0.9450299060096838,-1.0340909090909092,-0.274865457444688,,-0.9241622574955908,-0.5969572567012799,0.1145906473809858,0.1047891936144085,-0.3066439522998296,0.079335971431329,1.0945292743045552,3.239551440481021,1.686920448999512,56000.0,0.7126081582200248,0.0,,,,-0.0247812282196236,0.5002461339987438,-0.249381619838904,16.35810810810811,-1.6557357064488605,,-1.0080973554879475,-1.0839063253241317,,18.9119,0.0190260126662983
2022-09-30,0.6831240231936596,-0.1055544828473965,,-0.8041534793555465,0.8798093962903162,0.0,,-0.0407787864309603,-0.6666666666666666,0.0,-1.0573941742495814,,,0.7707363152170882,0.0522872649738321,,0.0407787864309603,,0.8681373944649476,0.5770033962596322,,1.0383863870640184,0.1210190256857131,3.240845154015075,-0.2445302445302445,-0.0016197175301205,-0.3893011653496049,-0.4854582785937364,-0.0892287234042553,1.3524428181791714,,0.7851268591426072,,0.5988272660640117,,0.0906279162778296,,-0.946236559139785,0.0,-0.1987341794310284,,,0.6663636279588648,,-0.0077799443078588,0.9132166151733608,,0.9293772248931772,-0.828769353261333,,,,-0.0123850656594721,0.6831240231936596,-0.0590855989967406,,3.4788637284473056,,,0.6653695105179348,-0.0068126281309152,-0.5585528525502615,0.0,-0.3610038114548978,0.259605816454274,0.5164176790440648,-0.7128000777529401,0.3286876065254444,-0.1248427635283265,0.0676686225952447,-0.2825866226678512,,0.6848587297754166,1.1518066269010965,-0.3027137214931838,,,-0.0418220369964173,0.6809742991809118,-0.0138540899042004,7.397260273972603,,-0.3901601252715058,,0.1511313376381678,-0.3382794335235679,0.2004555808656036,0.0562966915688367,-0.2431372549019607,,,-0.2862025470968792,-0.9318181818181818,-0.2650986645405621,,-0.0847798508617222,0.6848587297754166,0.2779104058418761,0.3540046391049256,0.823679727427598,0.6642216002316379,1.243445692883895,0.8413810911505404,0.9799902391410444,0.0,0.0598733003708281,-0.7377049180327869,,,,7.063579338650972,0.4939994228582098,-0.275258451195535,6.645448079658606,-1.3040351091064244,,-0.2502223262344957,-0.2573770075863293,,19.7965,-0.1007753895890688
2022-06-30,0.5213787650393497,0.0900431228679925,,-0.8188222823008425,0.6507206710510771,-0.0006357141504559,,-0.1012661251791686,-0.6666666666666666,0.0,-1.0591529006652574,,,0.6758735116142885,-0.3693222200684887,,0.1012661251791686,,0.7531497540065403,0.5248032079325623,,0.8250965429173654,0.1221770094194779,0.5903020950798267,-0.4739514465541863,-0.3385779069896189,-0.3995354856456937,-0.4854582785937364,-0.1410017730496454,1.3009640900082442,,1.2281714785651794,,0.6088443684339115,,0.079562724970004,,-0.946236559139785,0.0,-0.1994473882229022,,,0.5502710398747577,,0.0264439850531162,0.9859938208032956,,0.9328312061636852,-0.8271931413616802,,,,-0.0057325161052413,0.5213787650393497,-0.1438628551804916,,4.481339755998739,,,0.4973989517284702,0.0131532541431511,-1.9215661436591327,0.0,-1.6186555959087818,1.815732032228036,1.6042924063389403,0.6208572261638643,-0.4849671292914536,0.1753501132102596,-0.1362155831798275,0.1538900875745653,,0.8094663124849071,-0.0015614752818462,-0.302640918770362,,,-0.0943920450391167,1.1552836569075855,0.0988946204863669,0.3013698630136986,,0.3108551800777895,,-0.4783339235527694,0.2418093426336926,0.3019850309144158,0.0361970828886517,0.1809269162210338,,,-0.2832729788013183,0.2727272727272727,-0.261510863065577,,-0.1962932021411553,0.8094663124849071,-0.2230023873051537,-0.123891390367035,0.9335604770017036,-0.0403435961779751,0.7867089215403822,-0.289387288354421,0.1022449975597852,0.0,-0.4844715698393078,-0.6965823839955543,,,,4.835127391001317,0.3080239683590501,-0.2699308682691698,5.979018492176387,-0.8669998780933804,,-0.2468523285747718,-0.262147007332606,,17.9071,0.0082202031596406
2022-03-31,-0.1012364403096187,-0.5009976185878869,,-0.8309338650149566,-0.2178815684112419,0.0004138904894457,,0.0375298614429049,-0.6666666666666666,0.0,-1.0608548939707505,,,0.1816527704191182,0.3525715577954384,,-0.0375298614429049,,-0.0545655800735984,0.3694461560450523,,0.0285459328892102,0.1241726835138387,1.567778503175263,-0.0949383826096154,-0.2268616865625133,-0.3696171351405422,-0.4854582785937364,-0.2161347517730496,1.147754231962456,,0.2115485564304462,,,,0.0672710305292627,,-0.946236559139785,0.0,-0.2001375902795543,,,0.6387942962978942,,-0.0672185883933404,-0.0005263760155624,,-0.0277321270396595,-0.8308099625058283,,,,0.0057325161052413,-0.1012364403096187,-0.006831484928113,,0.9623193625354522,,,0.0,0.0366319881037485,-0.0095350511011947,0.0,-0.0194294367516651,-0.2241517670850319,-1.438945429443663,-0.6834483428904655,-3.8660822985147294,2.554993830340349,0.1694704353872616,-0.519355248127935,,2.4052161313692344,0.0054963929920989,-0.3027137214931838,,,-0.1961687504569715,0.2146784562644111,-0.3899778924097273,0.2465753424657534,,-0.3455068949840885,,-3.094055862385943,-0.3255125766222786,-0.0195248942401561,-0.129758093205265,-0.4493166963755199,,,-0.5402612198396876,,-0.2431732110823201,,-0.4926513815402704,2.4052161313692344,-0.505266114309788,-0.2854413971892482,2.340715502555366,0.0225846925972396,0.529338327091136,-0.2366372791323914,0.0,280000.0,-0.8199938195302843,-1.6704640177827177,,,,0.0446062107953225,-0.3137274872264942,-0.2094670302953425,2.8723328591749646,-0.8144581250761916,,-0.542476012169436,-0.610965924948621,,21.3468,-0.1150008432177189
2021-12-31,0.3545679857212876,-0.443715002896312,,-0.6845245069974458,0.4110877013350136,0.015273370610529,,-0.0145962732919254,-0.6666666666666666,0.0,-1.054019787522169,,,0.5739992610356655,-0.359145829295083,,0.0145962732919254,,0.56355518422236,0.5049725222848599,,0.6077818976260443,0.128293705132993,0.0,-0.3497822675904867,-0.225665879479729,-0.3552284435330599,-0.4854582785937364,0.4554521276595745,1.281407484780983,,0.5933508311461068,,,,0.0551126516464471,,-0.946236559139785,0.0,-0.197365778831753,,,0.635894369951709,,-0.0641503035678185,0.0,,0.0024846381397525,-0.8294516313979916,,,,0.0294075468816639,0.3545679857212876,-0.1419311516325961,,0.971503173817134,,,0.4473756837494818,0.0952546512437352,-0.643577563456648,4181000.0,-0.4989861786635525,-0.3239736140981606,1.5245794527071177,0.0981630867917193,2.760886291697102,0.8589244426341451,2.5926585583057835,0.340144688412235,-1.0,0.992030910408114,0.4881171731051497,-0.3029321296616493,,,-0.1781823499305403,-0.403344973671126,-0.9814296241709654,3.150684931506849,4.183229813664596,0.0,,2.032745876626557,0.4684844641724794,0.0026033192320208,-0.527570259694059,0.3628045157456922,,,0.2565813565528746,,-0.2459637233406418,,0.083727838113803,0.992030910408114,0.1617750315966858,0.2628598717423932,1.094548551959114,0.0144773670495125,1.1375524184512948,0.4099376590800103,-0.0356271351878965,0.0,-0.5242583436341162,-0.5257015837732704,,,,4.485092542399133,-0.006823852930692,0.5316589501279043,,-0.7966597586248934,,0.3741633512754505,0.4113363610991297,,21.4031,-0.1173287981647517
2021-09-30,-0.159902619921763,-0.4975220441526678,,0.3110131072715031,-0.3030165793722679,0.0019477199503331,,0.1395843287147635,-0.6666666666666666,0.0,-1.0720313166768212,,,0.0926337107163771,0.8434289591006009,,-0.1395843287147635,,-0.1981012338254976,0.3524517171119318,,-0.0439374124959613,0.1319803207601975,0.7967238411775179,0.1475908393716613,-0.180339096722761,-0.3680135290587176,-0.4915471573432349,0.9092198581560283,1.130994673610406,,-0.5359580052493438,,,,0.0426609785361951,,-0.946236559139785,0.0,-0.2046699171182363,,,0.6666194131732467,,-0.0731236509002693,0.0005263760155624,,0.0049804181545712,0.1623417329491161,,,,0.0505869403673056,-0.159902619921763,0.0863440823948218,,0.9518750281366768,,,-0.0531987986101568,0.0952546512437352,-1.6201679381987428,0.0,-1.367182988334638,0.7197220171412063,1.8459119148606296,-0.3308387598406064,0.7150328707085464,0.4210942460436309,0.8655532919375892,-0.5005711384693489,1.0,1.965708765998551,-0.0015614752818462,-0.3414447700343992,,,0.0255904072530525,-0.357962194586516,-0.045246868091378,1.8630136986301369,,0.202454917411729,,0.450018460054702,-0.1721411963644049,0.0156199153921249,0.3969228032728566,-0.4352346999405823,,,-1.1336615534849657,,-0.2722742674905322,,-0.1245088028713759,1.965708765998551,-1.0434629967701166,-0.8394051030154182,1.953151618398637,-3.557378631406235,0.0386055891673869,-0.2494743443136965,-0.0455100048804294,0.0,-0.7187886279357231,-1.2028341205890525,,,,,-0.2353041027991377,-0.2241813069491131,,-0.791722540533951,,-1.225087760355722,-1.3248420571892523,,20.9223,-0.0970447799716092
2021-06-30,-0.7289541583050503,-0.4920512325416747,,0.1292786538287573,-1.1425589729452998,0.0281580791153023,,0.0796942188246536,-0.6666666666666666,0.0,-1.0478457451400691,,,-0.3041779370346616,0.5341959035988887,,-0.0796942188246536,,-0.8313780689313852,0.1672870731341588,,-0.8351862393648938,0.1324341777667123,0.8057748234316576,-0.016087516087516,0.2680126350621392,-0.3379888966690007,-0.4915471573432349,4.11156914893617,0.9483891949773872,,-0.0972878390201224,,,,0.0302359685375283,,-0.946236559139785,0.0,-0.1948620458639266,,,0.6666656394168097,,-0.0727454138760817,0.0008467788076438,,0.0053369581566881,0.0022653377183398,,,,0.053194322611405,-0.7289541583050503,0.0276448241076602,,0.9547562238328906,,,-0.6247227184389784,0.1167287568864145,-1.2113583801161172,0.0,-1.025480281816665,-0.2802779828587937,1.0329830156849282,0.7952181941879677,-0.1527343559775992,0.5169575790974327,0.4197113683773925,0.2804924482802386,,5.3185220961120505,-0.0015614752818462,-0.4678302968531023,,,-0.2250493529282737,5.610268696989698,-1.6487840825350035,1.7808219178082192,,0.318634136485326,,-0.2213096843707381,0.3176495455506235,-0.765375854214123,-0.9302739238705088,0.2962566844919786,,,0.3772632949505635,,-0.3775164440900936,,-0.244314489928525,5.3185220961120505,0.552871787670271,0.9484240687679084,4.909710391822828,-0.0233568188398803,1.4941579435961458,-0.2456379800066398,0.4630307467057101,0.0,-0.5791872682323856,-1.8588496804667964,,,,,-0.3667566328868972,-0.2197839369146529,,-1.045775935633305,,0.5129885326468523,0.6923603887042347,,20.48,-0.0775439453125
