,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,commonStock,capitalStock,retainedEarnings,otherLiab,goodWill,otherAssets,cash,cashAndEquivalents,totalCurrentLiabilities,currentDeferredRevenue,netDebt,shortTermDebt,shortLongTermDebt,shortLongTermDebtTotal,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,noncontrollingInterestInConsolidatedEntity,temporaryEquityRedeemableNoncontrollingInterests,accumulatedOtherComprehensiveIncome,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,nonCurrrentAssetsOther,deferredLongTermAssetCharges,nonCurrentAssetsTotal,capitalLeaseObligations,longTermDebtTotal,nonCurrentLiabilitiesOther,nonCurrentLiabilitiesTotal,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurpluse,liabilitiesAndStockholdersEquity,cashAndShortTermInvestments,propertyPlantAndEquipmentGross,propertyPlantAndEquipmentNet,accumulatedDepreciation,netWorkingCapital,netInvestedCapital,commonStockSharesOutstanding,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,beginPeriodCashFlow,endPeriodCashFlow,totalCashFromOperatingActivities,issuanceOfCapitalStock,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,salePurchaseOfStock,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeReceivables,cashFlowsOtherOperating,exchangeRateChanges,cashAndCashEquivalentsChanges,changeInWorkingCapital,stockBasedCompensation,otherNonCashItems,freeCashFlow,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,sellingAndMarketingExpenses,grossProfit,reconciledDepreciation,ebit,ebitda,depreciationAndAmortization,nonOperatingIncomeNetOther,operatingIncome,otherOperatingExpenses,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,adjusted_close,10%DDret
2023-09-30,0.3019036741790202,-0.3164351199635883,,,0.3362278318171675,-0.0131092373323811,,-0.2510272336359292,-0.696969696969697,-1000.0,-1.072588781150794,,,0.4768080226429826,0.108322026232474,,0.2510272336359292,,0.393416581741937,,,0.5000784651599305,0.1206585335491099,,-0.2028437439396343,0.0,,,-0.0650265957446808,0.1749953580587596,,2.325109361329834,,,,0.1331022530329289,,,,,,,0.6664776526929869,,-0.0109427883894276,0.5111851971197343,,,0.2724007910940292,,,,,0.3019036741790202,-0.0531954362737132,,3.4786836537162924,,,0.1199555736609543,-0.0281538025646604,0.3207449943052542,,,,-0.0824298534129207,,0.5476308741173606,0.0204257664154876,0.3527136984128921,0.1279984769640817,,0.2849553248007727,,-0.2901959415839338,,,0.1228566558718254,-0.3378993309471125,,0.0,,,,,0.0,-0.3605597136348845,0.1659551760939167,0.1573380867498514,,,-0.1168572242340399,1.0185185185185186,-0.3502092884193741,,-0.6143135616819827,0.2849553248007727,-1.2852127510181155,-1.1930004093327875,0.4710391822827938,,-0.0991709081596722,0.7751300306171383,2.275256222547584,0.0,1.3628940010167767,0.7904316812200222,,,,-0.4909780841012933,-0.1136969326611329,0.1294687215915096,7.080350039777247,0.1983193277310924,,0.2247103819078765,,,18.5468,0.1662244286570231
2023-06-30,0.3138334273533519,-0.2946747870565032,,,0.3670302839365179,-0.0216359224482839,,-0.2490922121356903,-0.6666666666666666,0.0,-1.0796680866388593,,,0.4976593653272357,-0.0100471667635846,,0.2490922121356903,,0.4401300612256301,,,0.5315506869547826,0.1208128449313249,,-0.2658362863842315,0.0,,,-0.0559397163120567,0.2072209183352406,,2.310936132983377,,,,0.1223836821757099,,,,,,,0.666406772452857,,-0.0098276413008745,0.507665423178455,,,0.2787678903474451,,,,,0.3138334273533519,-0.0756645213514566,,3.4992121730518164,,,0.1360453536524948,-0.0356028308311013,0.0076423223992452,,,,-0.4576942527971886,,-0.9492086681275872,0.6061361158698022,0.0117111731911727,0.3568980835131362,,0.2839893745472108,,-0.2901261493901907,,,0.0906766660985171,-0.3297288024215004,,0.0,,,,,0.3942506869583597,-0.0520663846404165,-0.3165243685521167,0.3716577540106952,,,-0.269438906294503,0.2222222222222222,-0.2816424157863265,,-0.0722794640923295,0.2839893745472108,0.8503019238870945,0.881839268658753,0.4701873935264054,,-0.2274720701686994,0.8946475340292892,2.139458272327965,134000.0,1.2955325368581596,0.8034682080924855,,,,-0.0006195307054905,0.5343993481692723,0.1999957717595822,7.705648369132856,0.2057954216169226,,0.0019954547974059,,,20.3586,-0.1001345868576424
2023-03-31,0.4407673883088419,-0.2728277595960033,,,0.5544802373357487,-0.0237946453932365,,-0.1398232202580028,-0.6666666666666666,0.0,-1.0816833453788417,,,0.5401898998912468,0.477805776313239,,0.1398232202580028,,0.523187777224917,,,0.7205347939135652,0.1213522864019253,,0.0,0.0,,,-0.0308953900709219,0.3985481406209091,,1.510586176727909,,,,0.1117984268764164,,,,,,,0.6663389739622979,,-0.0087092335483197,0.5039225649732919,,,-0.8261883996531337,,,,,0.4407673883088419,0.0169407334954329,,3.519560617656327,,,0.2715089072803579,-0.0399882763664236,0.708347096736686,,,,-0.418564989645511,,0.3234477720964207,0.4091382842356211,0.608139265367865,-0.0400431526843508,,0.3409804395073654,,-0.2901959415839338,,,0.1209476734276461,-0.2767686577362693,,0.0,,,,,-0.0179243288945254,0.1757240481614058,0.3765563856278904,0.0,,,-0.5464458640192049,0.7962962962962963,-0.2473589794698026,,-0.0766112812896438,0.3409804395073654,0.5517483499508496,0.5957838722881703,0.520442930153322,,1.4931335830212236,1.001844405916854,2.0092728160078086,-5000.0,1.1799377224199288,0.6184971098265896,,,,-0.0436769147370866,0.4188351920693928,-0.2694234794190397,6.407319013524264,-1.5490002897710808,,-0.3599578737320548,,,18.4738,-0.1079691238402495
2022-12-31,0.5681406231215262,-0.2509807321355036,,,0.7368270783286732,-0.0191552846782069,,-0.1185140946010511,-0.6666666666666666,0.0,-1.0757239021526517,,,0.670636276177463,0.1372682044323835,,0.1185140946010511,,0.7286195895408211,,,0.893231995322861,0.1209528922361923,,-0.1774915816011706,0.0,,-0.4854582785937364,-0.0509751773049645,0.5733989964084194,,1.3545056867891514,,,,0.1013198240234635,,,,,,,0.6664129359519987,,-0.0074669205637035,0.5004027910320126,,,-0.8267436844139909,,,,,0.5681406231215262,-0.0429543412737591,,3.538468464412732,,,0.4007554483844739,0.0,0.6870162438989585,,,,-0.3532486517015692,,0.5458388117847577,0.0753776670300576,0.4075488270528101,0.251110547023734,,-0.5969572567012799,,-0.2901261493901907,,,0.1066303050963013,-0.3190518697716613,,12.356164383561644,,,,,0.3114774889029803,0.201757240481614,0.9637139807897546,0.2458110516934046,,,-0.9450299060096838,-0.2222222222222222,-0.274865457444688,,-0.9241622574955908,-0.5969572567012799,0.1145906473809858,0.1047891936144085,-0.3066439522998296,,1.0945292743045552,3.239551440481021,1.686920448999512,56000.0,1.0010485510930351,0.5759439183372279,,,,-0.0247812282196236,0.5002461339987438,-0.249381619838904,18.25696101829753,-1.4720370906983482,,-0.9097056704173826,,,16.8531,0.045359142480445
2022-09-30,0.6831240231936596,-0.2292203992284184,,-4.326867157159306,0.8798093962903162,0.0,,-0.0407787864309603,-0.6666666666666666,0.0,-1.0573941742495814,,,0.7707363152170882,0.0522872649738321,,0.0407787864309603,,0.8681373944649476,,,1.0383863870640184,0.1210190256857131,26.2218045112782,-0.2445302445302445,0.0,0.0,-0.4854582785937364,-0.0892287234042553,0.7207850979313646,,0.7851268591426072,,,,0.0906279162778296,,,,,,,0.6663636279588648,,-0.0077799443078588,0.4940820702219688,,,-0.828769353261333,,,,,0.6831240231936596,-0.0590855989967406,,3.4788637284473056,,,0.5222624887777797,-0.0068126281309152,-0.5870529756698263,0.0,0.0,0.1297025570984141,0.5164176790440648,-0.8486519607843137,0.3286876065254444,-0.1248427635283265,0.0676686225952447,-0.2825866226678512,,0.6848587297754166,0.5,-0.2901959415839338,,,0.0490199420487472,0.6809742991809118,0.580910792264504,7.397260273972603,,,,,-0.3382794335235679,0.2004555808656036,0.0562966915688367,-0.2431372549019607,,,-0.2862025470968792,-0.3888888888888889,-0.2650986645405621,,-0.0847798508617222,0.6848587297754166,0.2779104058418761,0.3540046391049256,0.823679727427598,,1.243445692883895,0.8413810911505404,0.9799902391410444,0.0,0.4641268429079817,-0.0771122863116467,,,,7.063579338650972,0.4939994228582098,-0.275258451195535,7.392999204455052,-1.1376412634019124,,-0.0059863643922177,-0.0003189792663476,,17.7453,-0.003617859376849
2022-06-30,0.5213787650393497,0.0342443485987992,,-4.53128493644877,0.6507206710510771,-0.0006357141504559,,-0.1012661251791686,-0.6666666666666666,0.0,-1.0591529006652574,,,0.6758735116142885,-0.3693222200684887,,0.1012661251791686,,0.7531497540065403,,,0.8250965429173654,0.1221770094194779,37.328947368421055,-0.4739514465541863,0.0,-0.0304198760534066,-0.4854582785937364,-0.1410017730496454,0.495498288114222,,1.2281714785651794,,,,0.079562724970004,,,,,,,0.5502710398747577,,0.0264439850531162,0.5729051767942791,,,-0.8271931413616802,,,,,0.5213787650393497,-0.1438628551804916,,4.481339755998739,,,0.3601364443659299,0.0131532541431511,-2.658830555548215,0.0,-0.9549795361527968,0.6747097655360801,1.6042924063389403,0.5526960784313726,-0.4849671292914536,0.1753501132102596,-0.1362155831798275,0.1538900875745653,,0.8094663124849071,0.0,-0.2901261493901907,,,0.0,1.1552836569075855,0.5624454148471616,0.3013698630136986,,,,,0.2418093426336926,0.3019850309144158,0.0361970828886517,0.1809269162210338,,,-0.2832729788013183,-1.462962962962963,-0.261510863065577,,-0.1962932021411553,0.8094663124849071,-0.2230023873051537,-0.123891390367035,0.9335604770017036,,0.7867089215403822,-0.289387288354421,0.1022449975597852,0.0,0.0163637519064565,-0.0407083999508055,,,,4.835127391001317,0.3080239683590501,-0.2699308682691698,6.647573587907717,-0.7221095334685599,,-0.0019954547974059,-0.5215311004784688,,16.9081,-0.0592497087194895
2022-03-31,-0.1012364403096187,-0.761871735408223,,-4.44984345683005,-0.2178815684112419,0.0004138904894457,,0.0375298614429049,-0.6666666666666666,0.0,-1.0608548939707505,,,0.1816527704191182,0.3525715577954384,,-0.0375298614429049,,-0.0545655800735984,,,0.0285459328892102,0.1241726835138387,0.5958646616541353,-0.0949383826096154,0.0,0.058507623551711,-0.4854582785937364,-0.2161347517730496,-0.1749953580587596,,0.2115485564304462,,,,0.0672710305292627,,,,,,,0.6387942962978942,,-0.0672185883933404,-0.4955692986478615,,,-0.8308099625058283,,,,,-0.1012364403096187,-0.006831484928113,,0.9623193625354522,,,-0.1199555736609543,0.0366319881037485,-0.0243645271511208,0.0,0.2593695186123562,-0.8669891494043555,-1.438945429443663,-0.8178104575163399,-3.8660822985147294,2.554993830340349,0.1694704353872616,-0.519355248127935,,2.4052161313692344,-0.5,-0.2901959415839338,,,-0.0949036986534856,0.2146784562644111,0.2988147223955084,0.2465753424657534,,,,,-0.3255125766222786,-0.0195248942401561,-0.129758093205265,-0.4493166963755199,,,-0.5402612198396876,,-0.2431732110823201,,-0.4926513815402704,2.4052161313692344,-0.505266114309788,-0.2854413971892482,2.340715502555366,,0.529338327091136,-0.2366372791323914,0.0,280000.0,-0.2596276054905948,-0.9028409789693764,,,,0.0446062107953225,-0.3137274872264942,-0.2094670302953425,3.172633253778838,-0.6721529991306867,,-0.3831273211019345,-0.8869750132908027,,21.2084,-0.1500207464966711
2021-12-31,0.3545679857212876,-0.6847135828691563,,-3.777527482178055,0.4110877013350136,0.015273370610529,,-0.0145962732919254,-0.6666666666666666,0.0,-1.054019787522169,,,0.5739992610356655,-0.359145829295083,,0.0145962732919254,,0.56355518422236,,,0.6077818976260443,0.128293705132993,-0.0620300751879699,-0.3497822675904867,0.0,0.1012757021936874,-0.4854582785937364,0.4554521276595745,0.4099125450501368,,0.5933508311461068,,,,0.0551126516464471,,,,,,,0.635894369951709,,-0.0641503035678185,-0.494999194417936,,,-0.8294516313979916,,,,,0.3545679857212876,-0.1419311516325961,,0.971503173817134,,,0.3118537296780985,0.0952546512437352,-0.8143565730050553,4062000.0,-0.1047748976807639,0.6967865543667957,1.5245794527071177,0.0034722222222222,2.760886291697102,0.8589244426341451,2.5926585583057835,0.340144688412235,-1.0,0.992030910408114,0.5,-0.2904053181651632,,,-0.0781319243224816,-0.403344973671126,-0.2571428571428571,3.150684931506849,,,,,0.4684844641724794,0.0026033192320208,-0.527570259694059,0.3628045157456922,,,0.2565813565528746,,-0.2459637233406418,,0.083727838113803,0.992030910408114,0.1617750315966858,0.2628598717423932,1.094548551959114,,1.1375524184512948,0.4099376590800103,-0.0356271351878965,0.0,-0.0163637519064565,0.1105645062107981,,,,4.485092542399133,-0.006823852930692,0.5316589501279043,,-0.6552303680092727,,0.7334404966465273,0.1840510366826156,,21.1678,-0.0950169597218416
2021-09-30,-0.159902619921763,-0.7571902295238302,,0.7940098191459406,-0.3030165793722679,0.0019477199503331,,0.1395843287147635,-0.6666666666666666,0.0,-1.0720313166768212,,,0.0926337107163771,0.8434289591006009,,-0.1395843287147635,,-0.1981012338254976,,,-0.0439374124959613,0.1319803207601975,0.0,0.1475908393716613,0.0,0.0632740854989918,-0.4915471573432349,0.9092198581560283,-0.2483403603389432,,-0.5359580052493438,,,,0.0426609785361951,,,,,,,0.6666194131732467,,-0.0731236509002693,-0.4944290901880104,,,0.1623417329491161,,,,,-0.159902619921763,0.0863440823948218,,0.9518750281366768,,,-0.171303326792727,0.0952546512437352,-2.2445701722165112,0.0,-0.7640274800233873,0.8208779118294256,1.8459119148606296,-0.4473039215686274,0.7150328707085464,0.4210942460436309,0.8655532919375892,-0.5005711384693489,1.0,1.965708765998551,0.0,-0.3273253886552789,,,0.1118800068177944,-0.357962194586516,1.0410480349344975,1.8630136986301369,,,,,-0.1721411963644049,0.0156199153921249,0.3969228032728566,-0.4352346999405823,,,-1.1336615534849657,,-0.2722742674905322,,-0.1245088028713759,1.965708765998551,-1.0434629967701166,-0.8394051030154182,1.953151618398637,,0.0386055891673869,-0.2494743443136965,-0.0455100048804294,0.0,-0.1763790035587188,-0.4888697577173779,,,,,-0.2353041027991377,-0.2241813069491131,,-0.6505360764995654,,-1.160467823291392,-1.634875066454014,,21.1284,-0.0933293576418469
2021-06-30,-0.7289541583050503,-0.7498211924835823,,-0.040520007694731,-1.1425589729452998,0.0281580791153023,,0.0796942188246536,-0.6666666666666666,0.0,-1.0478457451400691,,,-0.3041779370346616,0.5341959035988887,,-0.0796942188246536,,-0.8313780689313852,,,-0.8351862393648938,0.1324341777667123,0.5169172932330827,-0.016087516087516,0.0,0.1525174909641632,-0.4915471573432349,4.11156914893617,-1.047478318832608,,-0.0972878390201224,,,,0.0302359685375283,,-0.4623115577889447,,,,,0.6666656394168097,,-0.0727454138760817,-0.4940820702219688,,,0.0022653377183398,,,,,-0.7289541583050503,0.0276448241076602,1.6963211747246738,0.9547562238328906,,,-0.72294114401724,0.1167287568864145,-1.681670317822308,0.0,-0.5045605145195868,0.0,1.0329830156849282,0.7359068627450981,-0.1527343559775992,0.5169575790974327,0.4197113683773925,0.2804924482802386,,5.3185220961120505,0.0,-0.4484846369933523,,,-0.1218339867053008,5.610268696989698,-0.8956955708047412,1.7808219178082192,,,,,0.3176495455506235,-0.765375854214123,-0.9302739238705088,0.2962566844919786,,,0.3772632949505635,,-0.3775164440900936,,-0.244314489928525,5.3185220961120505,0.552871787670271,0.9484240687679084,4.909710391822828,,1.4941579435961458,-0.2456379800066398,0.4630307467057101,0.0,-0.0615467717336044,-1.0696101340548518,,,,,-0.3667566328868972,-0.2197839369146529,,-0.8920892494929006,,0.8978438002328031,0.4784688995215311,,20.2179,-0.0524980339204367
