,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,commonStock,capitalStock,retainedEarnings,otherLiab,goodWill,otherAssets,cash,cashAndEquivalents,totalCurrentLiabilities,currentDeferredRevenue,netDebt,shortTermDebt,shortLongTermDebt,shortLongTermDebtTotal,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,noncontrollingInterestInConsolidatedEntity,temporaryEquityRedeemableNoncontrollingInterests,accumulatedOtherComprehensiveIncome,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,nonCurrrentAssetsOther,deferredLongTermAssetCharges,nonCurrentAssetsTotal,capitalLeaseObligations,longTermDebtTotal,nonCurrentLiabilitiesOther,nonCurrentLiabilitiesTotal,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurpluse,liabilitiesAndStockholdersEquity,cashAndShortTermInvestments,propertyPlantAndEquipmentGross,propertyPlantAndEquipmentNet,accumulatedDepreciation,netWorkingCapital,netInvestedCapital,commonStockSharesOutstanding,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,beginPeriodCashFlow,endPeriodCashFlow,totalCashFromOperatingActivities,issuanceOfCapitalStock,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,salePurchaseOfStock,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeReceivables,cashFlowsOtherOperating,exchangeRateChanges,cashAndCashEquivalentsChanges,changeInWorkingCapital,stockBasedCompensation,otherNonCashItems,freeCashFlow,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,sellingAndMarketingExpenses,grossProfit,reconciledDepreciation,ebit,ebitda,depreciationAndAmortization,nonOperatingIncomeNetOther,operatingIncome,otherOperatingExpenses,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,adjusted_close,10%DDret
2023-09-30,9.590665449234354,1.959501030904696,,,7.277756905399622,10.721190846466268,,-49.451203158521785,4.032258064516129,0.8571428571428571,-16.819642594297004,,,-0.2442967712346054,0.8971218332674515,-0.3191430118338618,3.559775091461169,,7.0975318182484335,24.105136134453783,,6.770094991546657,11.08557836578706,2.2529995653404007,3.275813240066459,,,,5.412364140375812,5.481663080167407,0.4152466837938447,14.768171273881418,,,,1.0448350382695757,,,,,,,20.35584140128511,,8.390513453138094,,2.130866562400769,0.6247139588100686,6.876356009576039,,,,2.2057799398088043,9.590665449234354,0.9309619002928892,,,,-0.4587872842119757,1.0039020098928249,5.286754238238792,-0.4922260036977241,,-3.863579428977542,,6.106593033678624,,-4.237558838508062,2.0174640150997467,0.8253914223738279,11.779402789228396,0.5137946222996376,12.747069500618847,-0.2765013198973826,-13.413819925389994,,-3.5549812444915685,-0.0102888691301028,17.909084337515687,,17.33890370419829,,,,,8.37901368207736,2.0229388632872505,-2.9730159401018894,8.421848884715871,,,1.8537528661012728,-2.038095238095238,4.918728373598513,,7.83094738644124,12.368658973399649,2.383091238995789,5.392320180748482,9.576175631182144,,7.8599213283727485,1.864151411698556,-3.192920353982301,0.4933920704845815,1.1982765080554514,-1.274257043612505,,,,-0.8442992456138683,8.566337597552678,0.7841334292243355,1.9819479994611344,-7.628732689788485,,2.627228660492296,3.125145214884617,,54.5362,0.1576042146782892
2023-06-30,9.103819200639382,1.8938646331961824,,,6.934806729946588,10.160254538244509,,-49.59257784008656,4.032258064516129,0.8571428571428571,-15.04635528751772,,,-0.2338222872497217,1.1779356697856067,-0.2930930466393379,2.9018766931569857,,6.797439116406294,24.161203361344537,,6.489941378864344,10.459432803819151,2.090882407300203,3.11587754328548,,2.156603626294697,,4.927905942938212,4.4656192168186095,,12.08125186229464,,-1.7865329512893984,,0.843041112379935,,3.934104298494436,1.0490149115326686,-5.860945564128164,,,19.320653609822767,,7.964188243965184,,1.6606811909836123,0.7281973048563437,6.59806353760655,,,,2.063263588563326,9.103819200639382,1.2219889982597565,,,,-0.1845407135849641,0.8532277839022301,5.037957784402571,-0.0710197524308253,-2.430193357219526,-0.9588992395683376,0.9907295428424594,4.844236598966397,,-0.5024001665532336,2.14290906898953,1.750571399284588,9.491444865206226,-0.3335535667807876,12.150216055600689,-0.2797686715061026,-12.963302046930965,,3.296350394221175,-0.0014438966327776,6.185770678091815,0.1744670345192133,5.277704590238503,2.962784381469848,-0.1813255656672322,,-0.0336445274134775,-3.064936372676124,2.029083256528418,-3.6947582650875033,6.828479336226559,,,2.0067957678388906,-0.2476190476190476,4.647099569734209,,6.9780974401404245,11.789379022388427,10.852520640750186,10.16676006374896,10.84066328834392,-0.6366686028158344,7.662354164417962,7.782122153043927,2.577132743362832,0.4933920704845815,1.0701386286998875,-1.1422616750289465,,1315000.0,,-0.0509153289270125,8.10296981408943,6.813073652750648,3.5934258386097264,-0.3014046786355634,,2.583915053515918,3.0760826419474534,0.0,64.047,-0.0548331693912282
2023-03-31,8.733163202698824,1.83063091309102,,,6.599409345338651,9.782097963047924,,-49.60836463424168,3.584229390681004,0.2857142857142857,-13.40619716055741,,,15.052493158042166,1.8017626070863304,-0.2352231417743058,3.0332861363692167,,6.427330442932067,24.15520672268908,,6.149693551170308,10.014761608546802,1.9851577452702127,3.14865629132829,,2.0550834589042206,,4.939271531147892,4.464461639684651,,12.791778051971448,,-1.650429799426934,,0.7719420523971643,,3.4977089242854027,1.0490149115326686,-5.173021417830696,,,18.53450090174153,,7.634987185260455,,1.6601536556624612,0.4808034579201627,6.250759104388979,,,,1.9620524323986048,8.733163202698824,1.8685046594795007,,,,-0.2389459733911636,0.7314124285174818,4.8853060192994135,-0.0654761173912694,5.257917283405968,-0.9544191064634672,0.842621064053851,4.41971325544644,,-11.54522654022886,5.033575830267955,1.8599826149841028,10.011399446373458,-0.4333693715338259,11.614603273507848,-0.6300512974202569,-12.486819742454824,,-1.821868240465612,-0.4705884582766176,9.564996456885485,-0.2284668177009189,5.209201952293081,-0.9495809691110622,-7.839833018908967,,-0.8000682737257123,2.7022732135889336,1.6038912442396314,-3.58097006069788,7.190583808310965,,,2.009558275090472,-0.165079365079365,4.903993792256817,,7.202406302926903,9.238518814657835,10.441386985355813,8.936383881161742,8.497374389748202,-0.6354058968369215,7.509055161681261,1.7765585353025477,-2.7957522123893805,0.6563876651982379,0.7778943424503559,-0.8412196063296025,,,,20.10372179864274,7.882950562740128,6.570497335577628,1.7955004715074767,-5.924673499349434,,2.6351222617636925,3.141675257379576,0.0,66.4518,-0.089037467758586
2022-12-31,8.378524718898257,1.8187278954235333,,,6.262719742828013,9.43068350267228,,-49.61627161720062,3.584229390681004,0.2857142857142857,-11.959184107680672,,,14.35409891192554,4.46215687538244,0.011570887152912,2.714518386354894,,6.053220666581459,24.14935798319328,,5.844314111603694,9.597799633279651,1.900209436184108,3.560638656822974,,1.950100273243004,,4.566480237870396,4.7228790552509485,-0.2562785088869082,11.521682536165516,,-1.518624641833811,,0.7884467212639533,,3.4977089242854027,1.0490149115326686,-4.566107241252882,,,17.701715699294436,,7.308628386562208,,1.7851688814436757,0.5301296720061022,5.945823195938194,,,,1.8671481434718915,8.378524718898257,4.625658056726176,,,,0.1131650057658215,0.6196562742896623,4.782858205479564,-0.5501352266691683,-1.0098032343939187,-5.921096985832548,0.5759472013397658,2.3158732603901027,,-160.91976637728283,45.32895277274298,4.381176992336991,9.899272266429506,-1.326225799347308,10.914953001436482,4.377897380372681,-12.143668274282758,,15.58656474766075,-0.004512560560421,2.6191244234874125,-3.523788369518513,26.545125374433205,12.357421894947556,2.456675090866664,,-11.167359268945336,12.941803969942226,1.2856116743471582,-20.0607531478694,7.112496693069529,,,2.0088952733500927,-1.8984126984126983,4.285782009876974,,6.274279598781495,10.59048651791366,9.86777848419245,8.379888981685449,7.87899745802447,-0.3664495233284929,7.097115328124082,7.823162172054644,2.1374867256637167,0.5242290748898678,0.6047958036717872,-0.6629100733307604,,,,-0.0430822013997798,7.774818005632747,6.042470084984327,5.141317526606493,-4.974916678843036,,2.585534253776717,3.073005240419137,1000.0,67.3152,-0.0526576503081641
2022-09-30,8.17463854587963,1.7168758731094989,,-0.2380297383413105,6.02272050402711,9.259064145565713,2.2797116460917795,-50.27146433228256,3.584229390681004,0.2857142857142857,-10.572518528594852,1.7369002730464178,,13.484541163144051,41.60228806580382,3.45691082063578,2.7471579515971944,,5.056177119610483,24.461223529411765,,5.60109673351572,9.367199110738705,1.7340103353840732,12.224565166178165,,2.4113372857748088,,4.76935598741318,4.523534410018493,-0.2562785088869082,11.791600737560294,,-1.316618911174785,,0.8035299353958036,,3.4977089242854027,1.0490149115326686,-3.9845043341840425,,,16.670058462464578,,6.8689584620899575,,1.6943488263675686,0.5813628273582507,5.703257438783294,,,,1.81466139428126,8.17463854587963,43.11658404697115,,,,3.976506428460784,0.5525008085970375,4.2974901270744885,-0.2131979677464425,4.189017024066232,-1.0738017042294905,-1.4404096787041056,9.39272116216094,1.4295360760285107,162.21953075216786,4.707382486675762,39.52617507428575,12.793167724681457,3.6304783070054256,10.222836302978946,-0.6448107133079231,9.435927581531695,,-6.813157343469881,-0.0119134559153258,13.47761671743669,8.725337433362006,19.59063099628805,-4.764921409823006,24.818377807572286,,11.260017772592024,6.26754314196886,1.214336712749616,42.57477673128753,9.127850581913815,,,1.9279538108787533,-2.146031746031746,3.7322742586063167,,5.839222273347503,9.918748203385992,9.833913703692588,8.635142733498395,8.500841113962492,-0.6141924363911863,7.072795165479579,6.356257134340245,2.180814159292036,0.5176211453744494,0.6506556762832522,-0.7101505210343497,,,,-0.044760728727044,6.773267848667916,5.528117130602776,2.888050653374646,-5.381955316202921,,2.486897971223033,2.9492057732228525,0.0,64.1168,0.0051889676340678
2022-06-30,7.502490905480724,1.6485622869289354,,-0.2603189526977578,6.202860772147971,8.053907145176318,2.2073923007840515,-1.6517521789325245,3.1362007168458783,-0.2857142857142857,-9.438406022058937,1.4767910544792615,,12.82682834800224,4.212692802086027,-0.011570887152912,2.179452133275497,,6.051233429961494,0.3753210084033613,,5.837686236174514,8.07455841961043,1.613082073716508,3.320965677288384,,1.566851229150934,,4.251440339683335,3.757124910618694,-0.2562785088869082,9.635215064902994,,-1.140401146131805,,0.99892731497822,,3.061313550076369,1.0490149115326686,-3.508828626433894,,,15.890026176242026,,6.540057375023599,,1.3378035525174778,0.4830917874396135,5.938003512423725,,,,1.520444768051341,7.502490905480724,4.367120919814992,,,,0.2871207036023476,0.3408778400383385,4.001221526718337,-0.3125337852628341,2.602330621741933,-1.1540807416082226,0.2196005594012116,5.9224762773959645,1.883706389896211,0.967952598834055,4.464638161616311,4.096676255409826,9.386079123248845,0.6175145654393658,9.428165795971871,4.941571866525306,8.769448835322251,,-1.4448970749423449,-0.0137185523433513,12.975488446304904,0.7005283561137615,6.831950477793059,-0.6614242819062404,3.061002677550891,,0.0684048245110502,7.774050624944932,1.4957499231950846,0.8616465478284334,6.755100991753452,,,1.7362910577640267,-0.1841269841269841,4.154452045744469,,5.533021823380352,9.1474756301748,8.887602365454917,8.123781855516516,8.410056273600809,,6.393196912705646,5.975503763936341,1.9490265486725664,0.4691629955947136,0.4053203446983889,-0.4574295638749517,,,,-0.0570699291269811,6.4254068202548975,5.165178518649247,2.737168260810993,-4.905969963268479,,2.2543403337657497,2.6456860567728704,0.0,67.79,-0.0138663519693171
2022-03-31,6.983791336083251,1.5840097826504376,,,5.880942557042346,7.427803973622272,,-0.6205022674530328,3.1362007168458783,-0.2857142857142857,-8.346790958146844,1.232089455207385,,11.890099459106963,3.9827389537733566,-0.0329027767035346,1.901704819819451,,5.756153757180774,-0.1567798319327731,,5.5526020921767545,7.427143950308087,1.467571203111136,3.192771183184264,,1.3896504867119532,,4.10972566169389,3.653238851506992,-0.2562785088869082,8.668019922359404,,-1.1232091690544412,,0.564936125812748,,3.061313550076369,1.0490149115326686,-3.0509774299038925,,,14.77818129174327,,6.084576301780957,,1.2904602144807216,0.1483600305110602,5.643824034239699,,,,1.373087422550861,6.983791336083251,4.128803599092718,,,,0.3757250305502487,0.1763909985792399,3.751309614465922,-0.5805415148024359,-0.8380095572258482,-1.370673337063015,1.7099954877326955,7.180214162739286,1.883706389896211,-14.086175394868151,7.99158106203267,3.884958448406869,6.32596498116038,0.1227300938995335,8.572497644543153,-3.520530798168931,8.159635694542036,,-5.420749924486472,-0.3149891461808153,3.883057199720264,0.2615108753366025,6.525791195035581,-3.700565443666462,-3.63485206234699,,-0.9764219964468112,-10.039712009264038,1.3630310291858678,-0.8305466060229723,4.623989821521107,,,1.7462360838697202,-0.0634920634920634,4.135873660574505,,5.129715678759545,8.317001400732414,8.621059907700399,7.535901743614484,7.370255679577614,,6.201778104475593,5.503237276514509,1.7251681415929203,0.5154185022026432,0.1682278006744099,-0.2133539174064068,,1015000.0,,-0.045320237836132,5.9873794624497965,4.678316597276735,2.6194261080425703,-4.405948140684192,,2.2650675354935443,2.6579956628861376,0.0,61.7475,0.0826349244908699
2021-12-31,6.449462327801267,1.4581055142222883,,0.5542505174196766,5.386783790157002,6.890054652015848,2.005767559913892,0.2317944145846773,2.6881720430107525,-0.8571428571428571,-7.495792103837003,1.47412560135223,,12.540628624312784,7.0450105059226455,0.2511717843607394,2.0865750554496123,-0.1722370932031951,5.16153394751422,1.5608806722689077,-0.960670108385606,5.045077202050336,6.888189323571777,1.3201931812275218,3.930235372738269,,1.6853844057519682,2454.8122540753234,3.685718186546525,3.6525380761119934,0.93409531798878,9.588278897245312,,-1.179083094555874,,0.0236514273952311,,2.624918175867336,1.0490149115326686,-2.694046807954544,,,13.627964696272535,,5.589364502228531,,1.2901408545329396,0.0675057208237986,5.132969793241211,,,,1.2504165109373977,6.449462327801267,7.302450646042569,,,,-2.14498889864202,0.0,3.70845607256819,0.0,-2.4824186350786195,-0.9015040572205228,1.637682664709911,3.987001566757158,-0.8548205577091409,-41.60938640241763,18.41058021324211,6.961102931364079,6.19986416271085,-1.445662402146275,7.960091015289995,4.09172244636755,7.819642061966647,,-0.3387968702804045,-0.0010828773471725,3.748875150403133,0.6213975917343169,5.662141137583568,0.184078504094743,-1.269748025454531,,-2.8866614385188214,-7.263490125492467,0.972247619047619,0.8161312660725839,4.5361712466917945,,,1.5702643719439764,-0.1904761904761904,3.513177440395015,,4.758623753005447,7.722626206698101,7.907235995141545,6.338238244673427,5.446440410910821,,5.654574444974266,5.915597586932638,1.6090619469026548,0.0704845814977973,0.0454852004496065,-0.0867618680046314,,1919000.0,,-0.1583410778719182,6.035915092546352,4.255552939396801,4.326013741075037,-0.029413048387311,,2.0717755043606414,2.3974716420746383,0.0,65.7037,-0.1018785852242719
2021-09-30,6.151713859379037,1.3833196975601407,,1.6060153702608004,4.903981263362391,6.726873218668078,1.926596466699508,0.1944604125723773,2.6881720430107525,-0.8571428571428571,-6.5612352088935815,1.439604732804577,,-0.0107253097508051,15.154093674593293,1.0034186712042694,2.3849799071883977,,4.466154250935842,-0.1519663865546218,,4.53753647849002,6.683691160879333,1.2178964132957115,6.11542119624869,,1.635379527414584,2312.561551433389,3.643949649875952,3.6518243233948673,0.912074660514864,11.066697703736091,,-1.0558739255014329,,0.0397086012528728,,2.624918175867336,1.0490149115326686,-2.302069812838924,,,12.83568263575598,,5.260348483499962,,1.2898155805120504,0.0,4.622433038378104,,,,1.2038708931872153,6.151713859379037,15.70646296613211,,-1.478345499605111,,1.4306810554035214,-0.1007892923124859,3.648354597017627,-0.0801602930353045,4.1732120057667705,-0.9662862407447032,-0.4578849444509352,3.605235099490814,-1.8091784419157184,-61.86107407317716,33.900781651208085,16.04839117556707,7.064539390560041,-0.1227300938995335,7.202845357848392,-0.6417686962929079,7.1759699061776345,,-5.695604850235082,-0.0048735798460261,4.141041320513505,-0.7311054330391515,5.376734879864381,-3.9106644966158,-2.7789849827758726,,-4.292223185896228,2.058762445403854,-0.0231440860215053,0.5788015826313685,5.138344548448111,,,1.757949114616426,-2.2412698412698413,2.896246925957928,,4.543575651289482,6.987676562011229,7.836652660504196,6.733350571495325,6.429690066188432,,6.112558631403342,4.529057481967582,1.6026902654867257,-0.2092511013215859,0.0387411015361558,-0.0798147433423388,,,,-0.2293987347261007,5.2630321099728885,3.822533559358056,2.095648659571602,1.097454601117949,,2.30156700803906,2.8443982697441794,-1570000.0,60.3921,-0.0228870994716195
2021-06-30,5.8493305523704775,1.25866063307248,,1.1390146117123503,4.867293096454917,6.262313394840222,1.7946276676001205,0.1814723099800342,2.6881720430107525,-100000.85714285714,-6.072929093127509,1.331881419841373,,11.144677890137707,29.355703168102018,2.3208446128857605,1.966722048075428,,4.182089261531114,-0.1496134453781512,,4.536988641677193,6.572212824000255,1.1368667369204264,9.00805924891284,,1.6054984616341528,,3.2197290699496546,3.651375308049184,0.0048235725895244,9.333301337807631,,-0.997134670487106,,-0.048842764086646,,2.624918175867336,,-2.0972617749439664,,,12.049187588903472,,4.906069336100753,,1.2896109535825455,0.1807780320366132,4.626398440209031,,,,1.1784974228954388,5.8493305523704775,30.42458814329853,,-1.478345499605111,,2.946162716648595,-0.1205444609832878,3.3882751201627843,-0.1455168324490167,6.696517536011391,-1.0191046520863345,1.746002828581935,9.174096379807557,-2.341378016756284,130.8498364286765,1.134461168239195,29.55870280768046,7.529951705302275,0.9855546879692474,6.557145193592185,-0.6320793087636003,6.497035252892413,,-5.868343536209035,72.67733409460267,-0.1877377596589498,3.65748675944485,12.255792894761298,-4.042705915309655,9.23083929553122,,9.082814416267109,6.85677243948796,1.16641044546851,2.431923768405242,5.462464936334673,,,0.9693085444349292,9.968253968253968,3.251158146101382,,4.26535592941395,6.360988113380606,8.671286323722663,6.897388086590569,5.853997176353127,1.057882820885157,5.165711849794303,4.341498469712635,1.5294867256637168,0.0,-0.0387411015361558,0.0,,,,-0.1762453693627359,4.928444637856994,3.7162728825459146,1.8841438771386232,-2.4861932620715264,,1.3321383185630784,1.6048209341381998,,63.6949,-0.0398006747792994
