,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,commonStock,capitalStock,retainedEarnings,otherLiab,goodWill,otherAssets,cash,cashAndEquivalents,totalCurrentLiabilities,currentDeferredRevenue,netDebt,shortTermDebt,shortLongTermDebt,shortLongTermDebtTotal,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,noncontrollingInterestInConsolidatedEntity,temporaryEquityRedeemableNoncontrollingInterests,accumulatedOtherComprehensiveIncome,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,nonCurrrentAssetsOther,deferredLongTermAssetCharges,nonCurrentAssetsTotal,capitalLeaseObligations,longTermDebtTotal,nonCurrentLiabilitiesOther,nonCurrentLiabilitiesTotal,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurpluse,liabilitiesAndStockholdersEquity,cashAndShortTermInvestments,propertyPlantAndEquipmentGross,propertyPlantAndEquipmentNet,accumulatedDepreciation,netWorkingCapital,netInvestedCapital,commonStockSharesOutstanding,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,beginPeriodCashFlow,endPeriodCashFlow,totalCashFromOperatingActivities,issuanceOfCapitalStock,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,salePurchaseOfStock,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeReceivables,cashFlowsOtherOperating,exchangeRateChanges,cashAndCashEquivalentsChanges,changeInWorkingCapital,stockBasedCompensation,otherNonCashItems,freeCashFlow,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,sellingAndMarketingExpenses,grossProfit,reconciledDepreciation,ebit,ebitda,depreciationAndAmortization,nonOperatingIncomeNetOther,operatingIncome,otherOperatingExpenses,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,adjusted_close,10%DDret
2023-09-30,-0.7682295497934253,-0.2504310270759466,,-0.4980291181893318,-0.4333194860513013,-0.9678023747691658,,-0.6848103877150539,-0.1075378820590833,0.8535178777393311,-0.8767347685749196,,,,-0.586919557814015,,-0.5874800170891158,,0.5792299048212183,0.9158099472075576,0.9455875628715136,0.2964231430410917,0.082196132661213,,-0.1070283908803673,-0.7812200112259864,,,0.1280096904318413,-0.3368033420758677,-1.0011719500480307,-0.7780840391804287,,,,0.6362290474756599,,,,,,,0.6459143968871596,,0.2760029477549226,1.213786605951166,,1.6202321724709785,0.4918830165694158,,,,,-0.5988764211493708,-0.5109160869962684,,1.096169036334913,,-0.6631217155238973,-1.3518903442259165,1.1632274901266986,0.038781163434903,,,,-0.0656507985585307,,-0.0599807651021003,-0.2025646779193364,-0.45930189687909,-0.4630618591885097,,0.9113924050632912,,,-0.1961342345547254,-0.1035818864799313,,-0.9616231086657496,,-0.3419540229885057,,,,,0.1564910733965175,-0.8345635272118886,0.4713548499956267,0.4031430856820213,0.2656850192061459,,-0.7515947880345017,,-0.8496262848468475,-0.8843901283049528,-0.0184420758630604,1.0097560975609756,0.1387200229764013,0.2172351717640913,0.5977564102564102,,-0.7033115423415123,-0.577870054491286,1.912113760290816,-0.3579439252336449,1.527593220338983,-0.8784480498674667,,,,-0.4027272727272727,-0.7733015594567054,-0.1472000757055998,-0.8820640884225379,-0.2657525643709441,,-0.1731361183290026,,,0.8797,-0.1098901098901098
2023-06-30,-0.7332650231844876,-0.2470572736177061,,-0.4751096700362388,-0.4485027382512638,-0.9048068107943048,,-0.6853968789799144,-0.1075378820590833,0.8535178777393311,-0.7909593774838477,,,,-0.4061524070293735,,-0.5797196633476859,,0.3286172675701655,0.8876910252848014,0.8885230909922268,0.2975116651068942,0.0811091541344894,,0.1044257040892869,-0.6846765286353184,,,0.2507856334776994,-0.3379522829471479,-1.0328722382324689,-0.7459778545402924,,,,0.6206212988055807,,,,,,,1.4630350194552528,,0.3172715166716227,1.4967417759283976,,0.9701492537313432,0.4584925980526302,,,,,0.0,-0.2025646779193364,,1.2618483412322274,,-0.229321810166621,-1.0897364584370188,0.998001919171172,-0.4473684210526316,,,,0.6562175367833498,,0.9742493240731206,-0.5097525908565825,-0.117319851789039,-0.4900570571581016,,0.810126582278481,,,-0.1133048737104233,-0.1778224733059244,,41.34814305364512,,-0.3224066978856251,,,,,0.1612519285871721,-0.9713610865072336,0.6693781159800577,0.2450948101444502,0.4058898847631242,,-0.8372472013213433,,-0.8812344821375735,-0.8445783540404211,0.1391575791181484,0.8926829268292683,0.0,0.1082165076344778,0.5208333333333334,,-0.7412008610486683,-0.3563544866550377,2.5354431733133755,-12.552336448598131,1.111050847457627,-1.3075645917683727,,,,-3.368181818181818,-0.7578553278212752,0.0,-0.8767280525428759,-0.2167678459284069,,-0.1455526683989606,,,2.15,-0.1395348837209301
2023-03-31,-0.7675614488444104,-0.2469140752536043,,-0.3107953461758535,-0.6998133542407788,-0.8408689110010799,,-0.6580159205099746,-0.1075378820590833,0.8535178777393311,-0.7064219854274955,,,,-0.5862374727774989,,-0.5780695670784556,,0.5743355762851843,0.8306751875520978,0.8485291876238378,0.2886840166464228,0.0811091541344894,,-0.08197326847453,-0.596968983686107,,,0.2586019723685563,-0.3390815838035343,-1.0441882804995195,-0.7814318837836559,,,,0.6135702097761718,,,,,,,1.0544747081712065,,0.2289810852392465,1.499254141477585,,0.0,0.0771003080834385,,,,,-0.5874331114833315,-0.5097525908565825,,1.1309241706161135,,-0.6440810938706384,-0.8227344852420237,0.858086949189173,-0.4529085872576177,,,,-0.0458721720768611,,0.2361738262261374,-0.3776625362553708,-0.4580115029402548,-0.2780370799425102,,0.4936708860759494,,,-0.0107909403533736,1.263006891656068,,-0.4763411279229711,,-0.3293600113523485,,,,,6.044258320476086,-0.2627694124594036,0.1229336132248753,1.2920058344704275,0.7074263764404609,,-0.9247641769131952,,-0.8485070690697645,0.106300145570263,0.1571478446593966,0.526829268292683,-0.6550189076635872,-0.3173368404361493,7.822115384615385,,-0.9283915706194944,-0.0015590991185687,1.3721800491820806,-0.6869158878504673,1.0741694915254236,-0.6816579767557018,,,,-0.4827272727272727,-0.7587937105782502,0.2891244174217511,-0.8808098680268985,-1.8209127067196984,,-0.6376174295422746,,,1.95,0.0051282051282051
2022-12-31,-0.714341842677804,-0.244697364577307,,-0.283266577659101,-0.6692303641640143,-0.7703429508237494,,-0.5514722806156113,-0.1075378820590833,0.8535178777393311,-0.5997997671126454,,,,-0.5088013329890428,,-0.5196757642518897,,0.4290288514913147,0.6740761322589608,0.7194025301021186,0.214730889468549,0.0797854696821755,,0.2931318618871184,-0.4797117456408771,,,2.7121553211669656,-0.338331989901759,-1.0411719500480308,-0.7381701604126248,,,,0.546998895914885,,,,,,,0.4124513618677042,,0.1706465667705276,0.010363507890398,,,0.0443631323876025,,,,,0.3241184056445755,-0.3776625362553708,,0.0,,-0.044631516026998,-0.5287342861659708,0.7986945262090197,0.7922437673130194,,,,-0.0669718721416265,,-0.3017749516945736,0.0745967239272981,-0.3115149224841926,-0.636877093978475,2.0,-0.0042194092827004,,,-0.167556029882604,-1.653080540684433,,-1.0903713892709763,,-0.3612530154675749,,,,,-7.51483359047829,-0.3392382639503986,0.0139071109944896,-0.4219639580294547,1.077664852752881,,-0.3448706184621031,,-0.8485713918155738,0.2180168590676732,2.2480849403405005,-0.048780487804878,1.2996026997271553,1.1056141627258398,-0.8157051282051282,,-0.279681952133955,0.3063089486114755,1.2410991125841977,7.217757009345794,0.7069830508474576,-0.6891147942093152,,,,1.4395454545454545,-0.5949604653862526,0.5274314509451371,-0.8813753870445752,-2.1005861419300818,,0.772296622026784,,,3.6,0.0391566265060242
2022-09-30,-0.7120995505030662,-0.244015740364182,,-0.5946659037446754,-0.7086219809024528,-0.7481579890940518,0.2816901408450704,-0.6222399533534855,-0.1116100788531418,0.1464821222606689,-0.5564572414869624,-0.495146124523507,,-0.7400052924053983,-0.2436700072593336,,-0.5568731819329162,,0.0557804524715343,0.6444012225618228,0.7187928669410151,0.2051996840631077,0.0817663245331676,-2.559289544235925,0.2481474325460868,-0.2236868311937569,-0.5934986880463715,,0.2226742392211086,-0.339998117831906,-1.0682516810758886,-0.7469242417072824,,,,0.4790474756599417,,,,,,,0.4046692607003891,,0.3064889394546653,-0.0537018136138808,,,0.0351780086687087,,,,,0.3625246431377199,0.0745967239272981,,-0.0205371248025276,,-0.0014445468356952,-0.4377331092751875,0.3464432536790904,0.6024930747922438,-0.5195116787806083,0.0001969464733736,-75.93617021276596,-0.0218773533087154,0.5379299260687882,0.5151112639352646,0.0406725007687385,0.1900704186406621,-0.1149314785350682,,-0.0210970464135021,,,-0.1108739475868611,-0.2549321186666272,,1.5198074277854194,3.096293664243153,-0.3563927912586916,,,,,-0.7031077804716773,0.3520322802873732,1.8285226974547364,2.126146896908672,0.7952944942381562,,-0.8018939254909158,,-0.5742220163894356,,2.482903086685971,-0.0682926829268292,2.14231008568283,1.7706578616000224,-0.110576923076923,,0.0,0.2723175005016903,1.5729712391745965,-1.5261682242990655,-0.0273898305084745,-1.0277009117124465,,,,-0.6868181818181818,-0.5739258580881499,0.4823156450353687,-0.8768624332995515,-12.302386435001049,,-0.2851089346392165,-1.1276323939300092,,4.82,-0.1099585062240664
2022-06-30,-0.721875286668963,-0.2440816116116689,,-0.788320935850976,-0.7725700945515821,-0.7335628377019994,0.0,-0.6868562874761951,-0.1132974165133226,-0.1464821222606689,-0.4656562919955288,-0.4526556543837357,,-0.738997089177031,-0.2635576581097474,,-0.6022557306127984,,-0.0068980923626812,-0.0026674076132258,-0.0001219326322206,0.0281024538207788,0.0016912015473092,-2.5617962466487936,0.1705384947605301,-0.0694200510601314,-0.513846928023216,,0.1135197522540538,-0.3375431159701962,-1.0787704130643612,-0.7302678275682581,,,,0.3612700324534109,,,,,,,0.4046692607003891,,0.3370137174033899,-0.2289393106697024,,,0.0,,,,,0.1950847131019966,0.0406725007687385,,-0.0574644549763033,,0.0014445468356952,-0.4060156099046191,0.0392229885436952,0.0,-0.8062945451979394,-0.0147024823818535,0.1276595744680851,-0.0463968537836226,4.579395692703311,-0.2972646997732656,0.4902474091434175,0.1524462182240492,-0.6456543787883886,,0.0379746835443038,-0.0504515946937623,,-0.2332503260998458,-0.0091987340648939,,-0.296423658872077,-0.3245777073197398,-0.3367035617993472,,,,,3.0218205862905005,0.2785158941049109,-0.6754132773550249,-0.4974827083235308,1.069822343149808,,-1.0074655900165168,,-0.5814904866658948,,0.0184420758630604,0.0,-1.5089272892633192,-1.141394073369337,-5.793269230769231,,-1.2117909653435854,0.4966734073262221,1.02662247407249,-1.9672897196261685,-0.1667796610169491,-0.759954560018642,,,,-0.7940909090909091,-0.7642788963844854,0.6312664127374672,-0.8714256118523828,0.7342474356290559,,-0.8354187487507495,-1.3940848559925674,,7.95,0.1459119496855345
2022-03-31,-0.6687188558511623,-0.2461551239238643,,-0.5945705384957721,-0.7313149457030519,-0.668178272803456,-0.8497652582159625,-0.7304475917202436,-0.1132974165133226,-0.1464821222606689,-0.3501563646606895,-0.2222109275730622,,-0.7500926170944694,0.0,,-0.6117642061444031,,-0.3782239612244621,0.0026674076132258,-0.0030483158055174,0.0180535367011144,0.0016912015473092,-2.548739946380697,0.5300729661537062,0.0694200510601314,-0.1516531372434028,,0.3827034933549692,-0.2949046436360214,-1.1057829010566762,-0.6896441584252118,,,,0.2186339455987152,,,,,,,0.6439688715953308,,0.3131601742795454,-0.010363507890398,,,0.0750876139864584,,,,,1.1055541556112238,0.4902474091434175,,0.1348736176935229,,0.8255585165998356,-0.0528137058007248,0.0203000217698126,-1.051246537396122,0.2939806647378449,-0.040699416867181,0.0,-0.0464530696807756,-3.9284795885567343,-0.0399708858351209,0.7866896041619919,0.6510544361900197,-0.4617640131322793,,0.0717299578059071,-0.0663279706463449,,-0.0214632989446223,-0.0808660415865597,,-0.7140302613480055,-0.902285027059531,-0.325741450262523,,,,,-0.1564910733965175,0.2371813797854542,-1.1314178255925829,0.3879922834423375,1.086427656850192,,-0.3102367406863645,,-0.7987469929116334,0.515115609871695,1.2894255847863143,0.0390243902439024,-0.1185199368148963,0.5993228306796877,50.645833333333336,,-0.7503356024560539,0.5016131273058458,1.115577889447236,-2.3841121495327102,9.754305084745765,1.3228277649937374,,,,-0.8954545454545455,-0.6700955796045249,0.6761456386477087,-0.8811514191167825,4.595038727234666,,1.0719568259044574,-0.4705597708268814,,14.69,-0.1048332198774676
2021-12-31,-0.6374894635634012,-0.2469255311227324,,-0.6247059571492148,-0.6357540722711102,-0.6634513947468232,-1.2347417840375587,-0.7051739100042793,-0.1132974165133226,-0.1464821222606689,-0.3202631734759604,-0.021118170266836,,-0.7613839640116433,0.1737855232323035,,-0.6014355837542305,1.3703487239431131,-0.6251607749691989,0.0108919144206724,0.0001219326322206,0.0073276119551582,0.0016912015473092,-2.5411528150134046,0.7430159343531926,0.2506291984283619,-0.1243508809101761,,0.5411329120433327,-0.247136854078781,-1.1126609029779058,-0.7413760469408035,,,,0.1078908628592458,,,,,,,0.0038910505836575,,0.2952409272499257,0.1240480489911282,,,0.2053124531033447,,,,,1.6404547677986452,0.7866896041619919,,0.2466429699842022,,1.2528330552165574,0.0528137058007248,-0.0679156121941021,-0.1952908587257617,-0.078611248324042,-0.0195319524245823,0.574468085106383,-0.0554476132252582,1.4694631951141113,-0.4306732039719541,1.3156648133835298,0.979828377606135,-0.7285338665718117,0.0,0.7679324894514767,-0.0651637030764888,,-0.1227321237993596,-0.6069981365908486,,-0.8884456671251719,-1.0206363089706445,-0.3464949623953455,,,,,-1.5722283447211811,0.2436768034642259,-0.4367620047231698,-0.8901331576718581,0.8279449423815621,,-0.8757863828225363,,-0.8127050287522674,0.5466671180473273,0.0683465795904955,0.8439024390243902,-0.4644583792063568,-0.2541716801447612,0.4887820512820512,,-1.10646342528973,0.2833083774563529,1.1803699347802843,-41.26448598130841,-0.1646101694915254,-0.8432611925082287,,,,-10.350454545454545,-0.7651850323113238,0.5031583429936833,-0.8798020123518312,3.2125811178563954,,0.3635818508894663,-0.8135452152369155,,20.31,-0.1669085631349783
2021-09-30,-0.6201750909119231,-0.2476873464197545,,-0.7196897450569013,-0.6393026820820071,-0.6341312098997767,0.1502347417840375,-0.7789081373958083,-0.1132974165133226,-0.1464821222606689,-0.2585767317184324,0.2145108005082592,,-0.829539560730352,0.4838906130482867,,-0.6492557003882627,,-1.0635111899378562,0.0090025006946374,0.0001219326322206,-0.0073276119551582,0.0008751890143534,-2.5367024128686326,0.9886572863864704,0.4509587354469572,0.0404690872699824,,-0.1135197522540538,-0.1903804843718673,-1.142574447646494,-0.741991198599347,,,,0.0,,,,,,,0.0,,-0.0049517111200175,0.1780639082986574,,,0.2645545148789294,,,,,1.9370173280168388,1.3156648133835298,,0.3122037914691943,,1.973375507459341,0.2785835153317836,0.0030658583359798,-2.28393351800554,-0.8788370616046857,-0.07118330578937,0.6170212765957447,2.0106927321043133,1.0933783349405335,2.6686937200327447,0.0,1.5664967647980534,-0.6992794550969299,0.0,0.3417721518987341,-0.0651637030764888,,0.0,-0.5920612854565352,,120.87111416781292,1.4161974525774887,-0.2824606215410813,,,,,-2.324267136874586,0.3749630941836433,0.4871862153415551,-0.8318825577565521,0.6003921254801536,,-1.0967737199486145,,-0.6106544196158645,,-0.0793132483108455,0.3512195121951219,-1.399837250490642,-0.987006930259022,0.1650641025641025,,-1.0272056428872138,0.0100183695836742,0.0566663102747781,0.0738317757009345,-0.1667796610169491,-0.2314526229937956,,,,-0.2977272727272727,-0.7776419827930915,0.3000780713998439,-0.8813025974680426,-2.0819552020096297,,-1.1222466520087948,-1.532962991638278,,27.16,-0.1233431516936672
2021-06-30,-0.770405204956409,-0.2514276876900958,,-0.769247886070316,-1.3127574424265118,-0.5559118100792626,,-0.8487074175800756,-0.1132974165133226,-0.1464821222606689,-0.1302034086240089,0.1259085133418043,,-0.8327758666313839,-0.2874014021719536,,-0.6747456033511658,0.0,0.0,-0.036121144762434,-0.0464563328760859,-0.0233368511180581,0.0,-2.53970509383378,0.0,0.6110195730503902,0.4717206361698143,,-0.7450890765521261,-0.2171301846570567,-1.1453602305475503,-0.7111981261534094,,,,-0.1226036334437418,,0.2061229875956717,,,,,-0.5778210116731517,,0.0,0.3052524142262699,,,-0.7170840652889716,,,,,-0.6361412922639076,0.0,2.042787046123651,0.2679699842022117,,-0.0960000996239197,0.5599599505822974,0.0007409411740337,-2.990304709141274,0.1083903747089125,-0.0886516016886019,1056.0,0.4207291436093651,0.3132433301189328,0.3011884793085211,0.0933954972699394,0.1073377329621914,-0.6937227512413657,,0.2447257383966244,-0.0651637030764888,,-0.0576900272738052,-0.2448756248336241,,27.495048143053644,0.666621111900727,-0.264367816091954,,,,,0.3793696275071633,0.7163664993602992,-0.2683460159188314,-0.8286830094574884,0.7095470550576184,,-1.1103541934299872,,-0.7941672134100061,0.0886962998070347,-0.449222680878155,0.2390243902439024,-1.5147192570963572,-1.077408101780601,0.0913461538461538,,-1.228805414121516,0.11199271391303,-0.3089917673473751,0.2514018691588785,-0.167322033898305,-0.0323322944277766,,,,-0.2545454545454545,-0.8079120822423156,0.3872341432255317,-0.8834358919802684,0.0231316725978647,,-1.1630221866879873,-1.552705946113348,,24.35,-0.0948665297741273
