,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,commonStock,capitalStock,retainedEarnings,otherLiab,goodWill,otherAssets,cash,cashAndEquivalents,totalCurrentLiabilities,currentDeferredRevenue,netDebt,shortTermDebt,shortLongTermDebt,shortLongTermDebtTotal,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,noncontrollingInterestInConsolidatedEntity,temporaryEquityRedeemableNoncontrollingInterests,accumulatedOtherComprehensiveIncome,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,nonCurrrentAssetsOther,deferredLongTermAssetCharges,nonCurrentAssetsTotal,capitalLeaseObligations,longTermDebtTotal,nonCurrentLiabilitiesOther,nonCurrentLiabilitiesTotal,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurpluse,liabilitiesAndStockholdersEquity,cashAndShortTermInvestments,propertyPlantAndEquipmentGross,propertyPlantAndEquipmentNet,accumulatedDepreciation,netWorkingCapital,netInvestedCapital,commonStockSharesOutstanding,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,beginPeriodCashFlow,endPeriodCashFlow,totalCashFromOperatingActivities,issuanceOfCapitalStock,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,salePurchaseOfStock,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeReceivables,cashFlowsOtherOperating,exchangeRateChanges,cashAndCashEquivalentsChanges,changeInWorkingCapital,stockBasedCompensation,otherNonCashItems,freeCashFlow,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,sellingAndMarketingExpenses,grossProfit,reconciledDepreciation,ebit,ebitda,depreciationAndAmortization,nonOperatingIncomeNetOther,operatingIncome,otherOperatingExpenses,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,adjusted_close,10%DDret
2023-09-30,1.665455786625058,,,0.7141403865717192,1.6054379921259845,1.8177565124933543,,0.5030046739372357,1000000.0,0.0,3.226435536294692,,0.0,0.2513842746400886,-0.3291421254801536,0.2,1.6431102772566186,0.6222222222222222,2.6261994455895943,1.7328747492118086,1.848354792560801,2.592732284035686,1.157177401626731,2.076006958383514,0.4376470588235294,0.4981949458483754,,1.6373262739907346,0.6067588325652842,3.06071504125238,1.1061843640606768,1.7891906925002317,,,,0.3058823529411765,,,,,,,0.1518256439286725,,1.6748844006804189,,1.289723504694714,,1.717458542947643,,,,1.9108614232209733,1.665455786625058,-0.3253863854433586,,1.7326303393640938,,-2.432220039292731,0.8647214854111406,0.3265839320705421,-101.73333333333332,,-5.469360269360269,,-0.5965740580881939,,0.405,0.5045329128892393,0.4940218105373801,2.0427432593759915,0.0,1.673913043478261,-1.5714285714285714,-8.375,-0.459946949602122,-0.9239130434782608,1.0588235294117647,-0.1989765205813428,,1.1794378211861924,,,,,-0.1666666666666666,0.5,0.0096364643812185,0.6182065404475043,,,1.8551694433867447,-1.0,,,0.9163547267406248,1.876543209876543,1.8111197425369,1.91,2.1129943502824857,,1.4103635603844549,0.5144124168514412,1.7054263565891472,1.137931034482759,1.5132275132275133,-1.4328358208955223,,,,0.1604492579221821,0.9486348912540492,0.2718446601941747,0.3832844189408209,5.7430007178750895,,3.266115702479339,2.202492211838006,,76.11,-0.0590405177966356
2023-06-30,1.6018723943730648,,,1.108850457782299,1.5677903543307086,1.6706007442849549,,0.4718450923659025,1000000.0,0.0,2.754062838569881,,0.0,0.2148394241417497,-0.3342637644046095,-0.2,0.9977069001459246,0.1555555555555555,2.6233563153031487,1.1481799942676985,1.1187410586552218,2.5895408718357875,1.1395911189272367,1.9974575137160444,0.3611764705882353,0.6173285198555957,1.6002899951667473,4.524156187954997,0.3026113671274961,3.27184260630421,0.8774795799299884,0.9140632242514136,,-1.0,,0.3294117647058823,,1000000.0,,1.123964769291442,,,-2.2268893291819984,,1.618630058218932,,1.3932665871245526,0.8886088709677419,1.787218185205888,,,,1.8808988764044945,1.6018723943730648,-0.3303643765003976,2.0089585666293392,1.669789101809228,,-1.0392927308447937,0.7823780417483566,0.3239712606139778,-122.8,0.1593984962406015,-3.403367003367004,0.6419753086419753,1.0170818468838834,,0.105,0.4572329523058731,0.4940218105373801,0.8803613673803247,-0.0470588235294117,1.173913043478261,-1.2142857142857142,-8.34375,-0.7994694960212202,1.2391304347826086,0.5882352941176471,1.0954561846870257,-0.9444444444444444,1.653598664596065,0.5093167701863354,-0.6292134831460674,,0.16,0.0533333333333333,0.25,-0.0385458575248741,-0.979039586919105,,,0.426963626943652,-1.5,1.0464135021097047,,-0.0147008779691009,1.7530864197530864,0.5326822772167351,0.9166666666666666,2.0,1.7266187050359711,0.2193898871709151,0.4811529933481153,1.1472868217054264,0.0689655172413793,1.3227513227513228,-1.0746268656716418,,,,-0.3369434416365824,0.3933364183248496,0.087378640776699,0.4854935973250397,4.931489746871001,,1.5801652892561984,0.6074766355140186,,81.0209,-0.0356310969540114
2023-03-31,1.5157617573201356,,,1.3448626653102749,1.470226377952756,1.6323232323232324,,0.5208101491208547,1000000.0,0.0,2.650054171180932,,0.0,-0.0631229235880398,-0.318898847631242,1.0,0.5924536168438608,,2.486601748525126,0.7687016337059329,0.6452074391988555,2.450859505331109,1.1228841503627172,1.9150274320888527,0.4117647058823529,0.4151624548736462,1.556790720154664,1.4506949040370616,0.4961597542242703,3.209646710387138,0.499416569428238,0.710114026142579,,-1.0,,0.3529411764705882,,1000000.0,,1.086104903378467,,,-0.0587602604019247,,1.5298881142336904,,1.362763915547025,0.8079637096774194,1.7414570523569963,,,,1.852434456928839,1.5157617573201356,-0.3154304033292804,1.9323130521338807,1.60384327159833,,0.0,0.6513666243801176,0.3226649248856956,-1.0666666666666669,-2.4270676691729323,-0.9117845117845118,1.1851851851851851,1.598271473674674,,0.2764285714285714,0.346866377611352,0.4467218499540139,0.4268418750934907,-0.3294117647058823,1.5543478260869563,-1.5,-8.34375,0.4525198938992042,1.1521739130434785,0.1568627450980392,1.578126006990485,-0.6587301587301587,1.7430629746733994,0.9316770186335404,0.5056179775280899,,0.64,-1.0133333333333334,0.75,-0.2890939314365559,-1.491948364888124,,,0.5518067927166497,0.0,1.0717299578059072,,0.0125229701218267,1.7407407407407407,0.2663411386083675,0.9733333333333334,2.870056497175141,1.6115107913669064,0.3113246970330129,1.1019955654101996,0.9302325581395348,0.0344827586206896,-0.0846560846560846,-0.8656716417910447,,,,-0.3529883674288006,0.9523368810735772,0.0485436893203883,1.1960907422819902,-3.246043884016355,,1.7388429752066117,0.7757009345794392,,85.057,-0.0629702411711997
2022-12-31,1.5001584708779288,,,2.219735503560529,1.4627214566929134,1.5902179691653375,,-6.8105942577342535,1000000.0,0.0,2.507042253521127,,0.0,-0.3233665559246955,-0.318898847631242,1.0,1.100271002710027,35.44444444444444,2.363209894093397,0.8397821725422757,0.7339055793991416,2.3249437876260246,1.1650912288415036,1.851732905125117,1.1247058823529412,0.1949458483754512,1.5089415176413727,0.2064857710125744,0.8463901689708141,2.999788449333616,0.6721120186697783,2.5456568091220912,,-1.0,,0.3764705882352941,,1000000.0,,1.0340475877481268,,,1.6530993489951882,,1.4564795514985984,,1.2598433366187685,0.7202620967741935,1.641587479038569,,,,1.850936329588015,1.5001584708779288,0.8792874503600955,,1.553206294829247,,-0.005893909626719,0.5284280936454849,0.2847811887655127,-121.06666666666666,0.562406015037594,-7.392592592592592,-0.2935528120713306,0.8974251590151913,,0.4907142857142857,0.1576665352778872,0.3363552752594928,1.067104687733727,13.741176470588234,1.6304347826086956,0.7142857142857143,-7.96875,0.3358090185676393,1.2282608695652173,13.019607843137257,0.3138601656160827,-0.5952380952380952,1.653598664596065,-0.1697722567287784,-0.5730337078651685,,1.24,0.7,0.25,-0.2023657520055891,-0.8103648881239243,,,0.0024968633154599,-1.0,1.0464135021097047,,-0.1889335057510379,1.8271604938271604,0.1376095882809899,0.6366666666666667,2.056497175141243,0.6906474820143885,0.1901379022147931,1.2328159645232817,1.0232558139534884,-0.2758620689655172,1.2804232804232805,-0.9552238805970148,,,,-0.4973926995587645,0.922720962517353,0.0517799352750809,1.337236750526864,-8.302381472580294,,1.084297520661157,0.146417445482866,,87.3354,-0.1023484640702139
2022-09-30,1.476070897432772,,,2.5127161749745675,1.4701033464566928,1.4596491228070176,1.195744680851064,-5.871355441798353,1000000.0,0.0,2.4925966052726616,5.7932161830813245,0.0,1.35437430786268,-0.3342637644046095,-0.2,0.9410047946633312,34.8,2.3236903831118063,0.8008025222126683,0.6852646638054364,2.2837455574091536,0.8476588261156298,1.7642178509300148,0.9482352941176472,0.0216606498194945,1.1619139681005315,,0.8248847926267281,2.954093505394542,0.8028004667444574,1.288588115324001,,-1.0,,0.7294117647058823,,1000000.0,,1.0287892730379913,,,0.447325219360317,,1.447183689115695,,1.237433210561809,0.9012096774193548,1.6790013042668157,,,,1.3835205992509363,1.476070897432772,-0.3303643765003976,1.7920865994774169,1.4831923776897549,,0.074656188605108,0.4248644908315073,0.2756368386675376,-0.1333333333333333,-0.3518796992481203,-0.7555555555555555,0.2688614540466392,0.6034115831092619,-2.104815864022663,0.2478571428571428,0.0578110629352253,0.1471554329260281,1.3072032424738154,0.0,1.5543478260869563,-0.1428571428571428,1.5625,-0.9480106100795757,-1.25,0.4313725490196078,0.7252264914428949,0.4047619047619047,1.5879915038726864,-0.8985507246376812,0.3033707865168539,,0.56,-1.1866666666666668,0.25,0.0481823219060926,-0.5177659208261618,,,1.6953701911973085,0.0,1.2151898734177216,,0.8156264888041924,-6.666666666666667,1.3672178448562868,-0.54,-5.062146892655368,1.0359712230215827,1.347680735478479,1.0931263858093123,0.8992248062015504,1.4482758620689655,1.2063492063492065,-0.6567164179104478,,,,0.304853590052146,1.4039796390559929,0.2006472491909385,1.071979597101153,-4.432098380099254,,2.988429752066116,1.947040498442368,,78.1752,-0.0696458323661555
2022-06-30,1.422532120827949,,,2.1424211597151577,1.4420521653543308,1.3231259968102074,1.265531914893617,-5.292677498330737,1000000.0,0.0,2.059227157818707,5.753167143440948,0.0,1.4595791805094132,-0.3342637644046095,-0.2,1.2853867000208463,33.82222222222222,2.2264553273153744,1.0874175981656635,1.0429184549356223,2.1845216508304923,0.8291932292811607,1.6943663856550248,0.8047058823529412,0.1913357400722021,1.0067665538907684,4.7452018530774325,0.5391705069124424,2.703617516395177,0.3593932322053675,1.5741169926763696,,-1.0,,0.7294117647058823,,1000000.0,,0.8710398317339293,,,0.5514859892442683,,1.406262727904358,,1.1145925195829227,0.8765120967741935,1.583454443823365,,,,1.352059925093633,1.422532120827949,-0.3303643765003976,1.727136991414707,1.4273097098811691,,-0.9764243614931236,0.2719409526006228,0.2743305029392553,-102.4,1.2481203007518795,-0.3946127946127946,0.5569272976680384,0.935031546631066,-2.0141643059490084,0.0764285714285714,0.0210222047037183,0.0472999605833661,0.3811088170477596,0.0,1.315217391304348,-0.1428571428571428,1.59375,-0.7888594164456233,-2.097826086956522,0.4313725490196078,0.993985824316412,-0.2142857142857142,1.2032949705401483,-0.5755693581780539,-2.764044943820225,,0.08,-0.78,0.75,0.0096364643812185,-0.9101927710843374,,,0.267164374754215,-1.5,1.0886075949367089,,-0.1072619614782549,1.469135802469136,0.0799023415825102,0.7,2.4180790960451977,1.1510791366906474,0.1358127872962808,0.4501108647450111,0.8992248062015504,0.0,-0.0317460317460317,-0.835820895522388,,,,-0.3690332932210188,0.3304025913928736,0.0420711974110032,0.4854935973250397,-4.182402696713381,,1.3818181818181818,0.4205607476635514,,87.1349,-0.0342150598095397
2022-03-31,1.3336909086476338,,,1.3489318413021365,1.3390748031496065,1.2916533758639022,1.1719148936170212,0.9837525038949476,1000000.0,0.0,1.981220657276996,5.776052308949734,0.0,1.0764119601328903,-0.3342637644046095,-0.2,0.9159891598915988,,2.1007889686544887,1.064488392089424,1.0143061516452074,2.0562849060709363,0.78434820839745,1.6263883313261074,0.3752941176470588,0.6859205776173285,1.1696471725471242,,0.3241167434715822,2.525068753966575,-0.014002333722287,0.8065263743394827,,-1.0,,0.7294117647058823,,1000000.0,,0.8426449322991981,,,0.0816303424851401,,1.353937564388222,,1.027027027027027,0.890625,1.5247251723495434,,,,1.3220973782771537,1.3336909086476338,-0.3303643765003976,1.6639293268632571,1.3729258109410127,,-0.8231827111984283,0.1529235382308845,0.2691051600261267,-0.1333333333333333,-1.542857142857143,-0.4161616161616162,0.8614540466392319,1.263232747642336,-0.0481586402266288,-0.0378571428571428,0.0262777558796478,0.0105111023518591,0.0152443526819103,-0.3294117647058823,1.3043478260869563,-0.0714285714285714,1.5625,0.8238726790450929,0.0108695652173913,0.1568627450980392,1.2737149258786442,-0.5,1.2629378439250378,-0.9648033126293996,0.0898876404494382,,-0.24,-1.5733333333333333,-0.25,-0.1060011081934038,-1.3095043029259896,,,0.4769008932528511,0.0,0.3881856540084388,,-0.0582590349145851,1.4567901234567902,0.177560759072245,0.7666666666666667,2.3954802259887007,1.0935251798561152,0.2277475971583786,0.6385809312638581,0.2170542635658914,-0.0689655172413793,-0.0317460317460317,0.0,,,,-0.4011231448054553,0.6136048125867654,-0.1197411003236245,0.8140230992743148,-2.933924279784013,,1.6727272727272726,0.7009345794392523,,89.8409,-0.0814256330729637
2021-12-31,1.2886364190457615,,,1.8006103763987793,1.295275590551181,1.2465709728867624,1.0970212765957448,0.0044513687959047,1000000.0,0.0,1.836764174792344,5.746628524724152,0.0,1.3266888150609082,-0.3291421254801536,0.2,0.6499895768188451,-1.1555555555555554,1.9421422986708363,0.4270564631699627,0.2188841201716738,1.894683397403351,0.8502967685205539,1.5839689549043223,0.3011764705882352,0.9205776173285198,0.9197680038666022,4.318994043679682,-0.0138248847926267,2.5246456526338057,0.3220536756126021,2.3083341058681746,,-1.0,,0.7058823529411765,,1000000.0,,0.7900617851978441,,,0.5684687234644777,,1.3156999448956612,,1.026819525859833,0.8724798387096774,1.519209986957332,,,,1.3146067415730338,1.2886364190457615,-0.3253863854433586,,1.3389894015630015,,-0.3202357563850687,0.0,0.2677988242978446,-326.6666666666667,0.6947368421052632,-0.6909090909090909,0.869684499314129,1.3726331479794258,-1.6175637393767706,0.1192857142857142,-0.0262777558796478,0.0157666535277887,0.3239424944905956,-0.0470588235294117,1.2065217391304348,0.6428571428571429,1.25,0.0811671087533156,-0.717391304347826,0.4705882352941176,1.3038817897726105,-0.8174603174603174,1.5641343545187305,1.1469979296066253,-1.348314606741573,,0.2,0.0,0.0,-0.163819894480715,-1.378351118760757,,,-0.1822710220285766,-1.0,1.0126582278481011,,-0.5074525284148914,8.641975308641975,-0.1953168349794695,2.23,8.305084745762711,0.8345323741007195,-0.1232762223150856,0.2971175166297117,-0.1240310077519379,-0.2413793103448276,0.8888888888888888,0.1492537313432835,,,,-0.4813477737665463,-0.0046274872744099,-0.0711974110032362,0.4027528338711483,-5.930272480414494,,0.8330578512396695,-0.0903426791277258,,84.7276,-0.0097476238805898
2021-09-30,1.184289440963503,,,2.1912512716174977,1.1654773622047243,1.2401913875598083,1.051063829787234,-0.1157355886935232,1000000.0,0.0,1.8613217768147343,5.364119329791581,0.0,0.6578073089700996,-0.3342637644046095,-0.2,0.2589118198874296,5.111111111111111,1.783779941715829,-0.0773860705073086,-0.4105865522174535,1.7327917603539569,0.8335897999560343,1.4900307774655426,0.5788235294117647,0.6209386281588448,1.111164813919768,5.053606882859034,0.4101382488479262,2.4747196953670403,0.3360560093348891,1.255214610178919,,-1.0,,-1.4823529411764709,,1000000.0,,0.7990009202050743,,,-0.6248514010755731,,1.190541220441314,,1.0023343881309332,0.6365927419354839,1.4318613750698714,,,,1.2861423220973782,1.184289440963503,-0.3303643765003976,1.5371407241508026,1.2638368483031794,,1.0648330058939095,-0.1321646868873255,0.263879817112998,-117.6,0.1834586466165413,-0.7016835016835017,-0.3319615912208505,-0.0461532938922098,-1.5325779036827196,-1.7664285714285717,0.6148994875837603,-0.036788858231507,1.4177247994176658,1.2705882352941176,1.065217391304348,-8.714285714285714,1.21875,-0.6615384615384615,-1.934782608695652,5.490196078431373,-0.2346282688196666,0.1825396825396825,1.486598619118374,-0.989648033126294,0.4044943820224719,,-5.08,-0.4266666666666667,0.25,-0.163819894480715,-0.3008984509466437,,,1.5205897591151116,-1.0,1.19831223628692,,0.4698836180494113,1.1851851851851851,1.3228276550882254,-0.6133333333333333,-5.19774011299435,0.9784172661870504,1.0760551608859172,0.1396895787139689,-0.0930232558139534,1.1724137931034482,0.8253968253968254,0.1194029850746268,,,,0.1764941837144003,0.4877371587228135,0.0,0.1764325103060921,-2.559380754705203,,2.816528925619835,1.7788161993769471,,76.6095,0.0772223991409645
2021-06-30,1.111246556305922,,,1.6785350966429298,1.1141732283464567,1.098989898989899,1.0825531914893618,0.1068328511017137,1000000.0,0.0,1.4510653665583244,5.131181038005721,0.0,0.1860465116279069,0.1369270166453265,36.6,0.1088180112570356,4.511111111111111,1.7226526405572535,-0.2734307824591573,-0.6552217453505007,1.6971059693914556,0.7219169048142449,1.4179044560417502,0.4752941176470588,0.5992779783393501,0.7520541324311262,4.892124420913302,0.0506912442396313,2.495028559339962,0.0186697782963827,1.1365532585519609,,-1.0,,0.3764705882352941,,1000000.0,,0.6496647824372289,,,-0.7188225304273989,,1.1271951891516327,,1.0122944441562485,0.4929435483870967,1.396534376746786,,,,1.2157303370786516,1.111246556305922,0.1276108007471964,1.4700758989672764,1.2061342468686436,,1.2455795677799608,-0.2371122131242071,0.2455911169170476,-115.6,0.0992481203007518,-0.6612794612794612,0.7517146776406035,1.6187840487378784,-0.0991501416430594,1.3335714285714286,0.1156221258704506,0.6043883852319012,0.3315646708315508,5.694117647058824,1.0326086956521738,0.5714285714285714,1.25,-0.5660477453580902,-0.5978260869565217,10.07843137254902,1.1804718920245667,-0.7222222222222222,1.528348630487797,-0.7163561076604554,-1.0112359550561798,,3.6,-0.4666666666666667,0.0,-0.2601845382929003,-1.33015834767642,,,0.2372020149686955,64.0,1.029535864978903,,-0.2733274348329136,1.148148148148148,0.1908778160026634,0.4966666666666666,1.4463276836158192,0.7769784172661871,0.0396991224404513,-0.0620842572062084,-0.0310077519379844,-0.1724137931034483,-0.0317460317460317,0.2388059701492537,,,,-0.4492579221821099,-0.1397501156871818,-0.0809061488673139,0.015818087130891,-3.1211960423234184,,1.375206611570248,0.4205607476635514,,75.2182,0.0971477816600793
