,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,commonStock,capitalStock,retainedEarnings,otherLiab,goodWill,otherAssets,cash,cashAndEquivalents,totalCurrentLiabilities,currentDeferredRevenue,netDebt,shortTermDebt,shortLongTermDebt,shortLongTermDebtTotal,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,noncontrollingInterestInConsolidatedEntity,temporaryEquityRedeemableNoncontrollingInterests,accumulatedOtherComprehensiveIncome,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,nonCurrrentAssetsOther,deferredLongTermAssetCharges,nonCurrentAssetsTotal,capitalLeaseObligations,longTermDebtTotal,nonCurrentLiabilitiesOther,nonCurrentLiabilitiesTotal,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurpluse,liabilitiesAndStockholdersEquity,cashAndShortTermInvestments,propertyPlantAndEquipmentGross,propertyPlantAndEquipmentNet,accumulatedDepreciation,netWorkingCapital,netInvestedCapital,commonStockSharesOutstanding,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,beginPeriodCashFlow,endPeriodCashFlow,totalCashFromOperatingActivities,issuanceOfCapitalStock,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,salePurchaseOfStock,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeReceivables,cashFlowsOtherOperating,exchangeRateChanges,cashAndCashEquivalentsChanges,changeInWorkingCapital,stockBasedCompensation,otherNonCashItems,freeCashFlow,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,sellingAndMarketingExpenses,grossProfit,reconciledDepreciation,ebit,ebitda,depreciationAndAmortization,nonOperatingIncomeNetOther,operatingIncome,otherOperatingExpenses,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,adjusted_close,10%DDret
2023-06-30,0.691724557287475,,,,0.8292297669557172,0.7433381697349524,,-0.009598592275349,0.0,0.0,-4.2462036393972085,,,-0.0012845797640366,-0.3259412559010284,,-0.2758858025812428,,0.8974230091291274,,,-1.206896551724138,6.919307216416167,,0.1174501496041109,-0.2159240682981086,,,0.3511942389508419,,,-0.431342974737132,,,,,,,,,,,-1.7103823484119345,,1.7103823484119345,,,,10.029443368851569,,,,,1.6463705268199234,-0.2911810312116396,,,,,-0.420213107071106,0.981867317212524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0867,-0.0563626712800048
2022-12-31,0.7406764166943326,,,,1.41059906740447,0.6846034736023713,,-1.042298675631013,0.0,0.0,-4.685847852159398,,,-0.0012546193269983,-0.1184260163518863,,0.1304321505310489,,1.4029203274150095,,,0.5172413793103449,6.919307216416167,,-0.4296811133086177,-0.1837086357585069,,,-0.2088894309399143,,,0.5804741518683679,,,,,,,,,,,-1.8374015880654475,,1.8374015880654475,,,,1.0553935920436632,,,,,1.7611859961685823,-0.0930964534484078,,,,,-0.3635487474915357,0.981867317212524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7234,0.0042231838229174
2022-06-30,0.8095690018359212,,,,1.29876173638733,0.7931671467257366,,-0.0051318427846137,0.0,0.0,-4.481704126374422,0.5469969526067401,,-0.0009921262671957,0.122253091098834,,-0.27764325427452,,1.3959365098754075,0.0,,0.5172413793103449,7.248097911230301,,-0.0589606399083322,-0.1446273583615006,-0.3016442575207391,,-0.1057686511275979,0.6593406593406593,,-0.4357193989360113,,,,,,,,,,,-1.991491530317613,,1.991491530317613,,0.6593406593406593,,-0.3107035758072075,,,,-1.237055600256321,1.9227719827586207,0.1366448391881625,,,,,-0.2195237695266691,0.981867317212524,,-37348337.0,,,-0.184042835075929,0.0,0.0,,,0.2404358500640184,,,,0.2782307977226232,,0.0,,,0.0,0.0,,,,,78.36925795053004,,,,,,-2.7428622944651644,,-0.4689015448623947,,0.9326574903698835,,0.5380833660254494,,,,1.3241890427135017,,,,0.9084142169563552,,,,,,1.2570952811775125,,1.6895394736842104,,,,-1.0896807067638152,,5.0094,-0.0797101449275362
2022-03-31,,,,,,,,,0.0,,-4.481704126374422,0.5469969526067401,,9.233673154786096e-05,,,4.691550701456186,,,,,,,,0.556150749056501,,-0.3016442575207391,,-0.0810966431149444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-37348337.0,,,-0.184042835075929,0.0,0.0,,,0.2404358500640184,,,,0.2782307977226232,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,0.5380833660254494,,,,,,,,,,,,,,,,,,,,-1.0896807067638152,,6.0206,-0.0782812344284623
2021-12-31,1.3653040678461064,,,,1.5226535909092165,1.4373887008291475,,-1.7119577754482416,0.0,0.0,0.3404588649672101,1.3852003155369903,,-0.0013659317199629,,,0.3939108885559458,,1.4117919307190732,0.0,,0.5172413793103449,7.248097911230301,,-0.1846118783367031,0.1883644987981416,0.0615912840655787,,0.0673201991436806,0.6593406593406593,,1.2365916027168118,,,,,,,,,,,-3.3044142252165543,,3.3044142252165543,,0.6593406593406593,,1.937430474360128,,,,-1.237055600256321,3.226235900383142,,,,,,0.6351267085278237,0.981867317212524,,0.0,,,-0.184042835075929,0.0,0.0,,,0.2404358500640184,,,,0.2782307977226232,,0.0,,,0.0,0.0,,,,,,,,,,,-1.6798994725339995,,-0.1986972683558981,,0.5159012822208475,,0.1270482144080744,,,,0.5641635162485202,,,,0.1146576362167682,,,,,,0.9391214627347296,,2.1316184210526314,,,,-0.4854317350275643,,6.8722,-0.0663351857268206
2021-09-30,,,,,,,,1.7160186405816522,0.0,,0.3404588649672101,1.3852003155369903,,,,,5.41506287931673,,,,,,,,-0.0212427478151674,,0.0615912840655787,,0.0942745747624511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,-0.184042835075929,0.0,0.0,,,0.2404358500640184,,,,0.2782307977226232,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,0.1270482144080744,,,,,,,,,,,,,,,,,,,,-0.4854317350275643,,7.1115,-0.0805315334317654
2021-06-30,1.6040963823183985,,,,1.2327016199539995,1.7936002863899658,,-0.357856355571768,0.0,0.0,2.413276424152065,0.8119188298537977,,-0.0010889287049112,,,-0.1388630756359096,,1.283912226849592,0.0,,0.0862068965517241,7.568801853356058,,0.3689134232924795,0.3280055755528893,0.2624363308920238,,0.6911807127753826,0.1098901098901098,,-0.0901275772989555,,,,,,0.0004426737494466,,,,,-3.854992069297401,,3.854992069297401,,0.1098901098901098,,0.1538850927560792,,,,0.0,3.786317825670498,,,,,,1.0740454168624922,0.981867317212524,,0.0,,,-0.298598203297814,,0.8512107296046943,,,1.390837592375164,,,,0.4241747009888116,,,,,,0.0,,,,,,,,,,,1.3084861410659998,,-0.279916788868806,,1.2055305037104609,,0.6907391078779591,,,,1.6687889763270678,,,,-0.2387499430050957,,,,,,1.6154951708479732,,2.173947368421053,,,,0.5260025707906757,,7.5935,-0.1073681438072035
2021-03-31,,,,,,,,,0.0,,2.413276424152065,0.8119188298537977,,,,,4.430071212762744,,,,,,,,2.1191482001789934,,0.2624363308920238,,0.7193524188032876,,,-0.0959457170226692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.6907391078779591,,,,,,,,,,,,,,,,,,,,0.5260025707906757,,7.1295,-0.0492741426467494
2020-12-31,1.445846664913721,,,,1.1236367495609771,1.6194696045742047,,-1.532605406954661,0.0,,1.109863764080992,0.3087457781839082,,-0.001209667902053,,,0.3233443335350965,,1.051171165807136,0.0,,-0.6982758620689655,7.568801853356058,,-0.3193722347561676,0.2371850641468157,0.1642551196095623,,-0.0845638519116034,-0.8901098901098901,,1.0608660449639844,,,,,,0.0004426737494466,,,,,-3.4969043022136668,,3.4969043022136668,,-0.8901098901098901,,1.701197734470043,,,,0.0,3.415146724137931,,,,,,0.7818007744539714,0.981867317212524,,0.0,,,-0.5562475342941653,,0.9479899246914842,,,1.6046485759216265,,,,0.752420767700384,,,0.0,,,0.0,,,,,,,,,,,3.682984673548346,,-0.44221941820414,,1.837929620361908,,1.1366099994954997,,,,2.5302704512808765,,,,1.3875903059907673,,,,,,2.1336404853222763,,1.68675,,,,1.3296635638498802,,6.6772,0.0151261007607979
2020-09-30,,,,,,,,1.5373843751818,0.0,,1.109863764080992,0.3087457781839082,,,,,4.086514947486343,,,,,,,,1.7631377091991551,,0.1642551196095623,,-0.0556052976209135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1.1366099994954997,,,,,,,,,,,,,,,,,,,,1.3296635638498802,,5.2153,0.2996759534446724
